context: Blue Castle Academy response:	I was so concerned about the start of school,
context: The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo! response:	Let's communicate!
context: Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate! response:	You really are meddlesome...
context: it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate!\You really are meddlesome... response:	Don't complicate it like, I don't know how to interact with others.
context: Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others. response:	It'll just happen!
context: Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen! response:	Wha You looked into me again!
context: It doesn't matter if they're good or bad.\You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again! response:	Watanuki...
context: You need relationships with others to survive.\That means you, too, Chiyo!\Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again!\Watanuki... response:	Let's go home.
context: That means you, too, Chiyo!\Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again!\Watanuki...\Let's go home. response:	Just one moment, please.
context: Let's communicate!\You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again!\Watanuki...\Let's go home.\Just one moment, please. response:	I told you before, you don't have to do this for me.
context: You really are meddlesome...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again!\Watanuki...\Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me. response:	My name is Kagerou Shoukiin.
context: Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Wha You looked into me again!\Watanuki...\Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin. response:	I am Soushi's old master and Ririchiyo Shirakiin's fiance!
context: It'll just happen!\Wha You looked into me again!\Watanuki...\Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance! response:	He said that Miketsukami used to serve him.
context: Wha You looked into me again!\Watanuki...\Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him. response:	So,
context: Watanuki...\Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So, response:	does that mean he knew I had a fiance?
context: Let's go home.\Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance? response:	Roromiya?
context: Just one moment, please.\I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance?\Roromiya? response:	This, too.
context: I told you before, you don't have to do this for me.\My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance?\Roromiya?\This, too. response:	This, too.
context: My name is Kagerou Shoukiin.\I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance?\Roromiya?\This, too.\This, too. response:	This, too.
context: I am Soushi's old master and Ririchiyo Shirakiin's fiance!\He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance?\Roromiya?\This, too.\This, too.\This, too. response:	This, too.
context: He said that Miketsukami used to serve him.\So,\does that mean he knew I had a fiance?\Roromiya?\This, too.\This, too.\This, too.\This, too. response:	And this.
context: So,\does that mean he knew I had a fiance?\Roromiya?\This, too.\This, too.\This, too.\This, too.\And this. response:	These are good.
context: does that mean he knew I had a fiance?\Roromiya?\This, too.\This, too.\This, too.\This, too.\And this.\These are good. response:	That was unnecessary,
context: Roromiya?\This, too.\This, too.\This, too.\This, too.\And this.\These are good.\That was unnecessary, response:	but I guess I'll thank you anyway.
context: This, too.\This, too.\This, too.\This, too.\And this.\These are good.\That was unnecessary,\but I guess I'll thank you anyway. response:	However, this might give me a cavity.
context: This, too.\This, too.\This, too.\And this.\These are good.\That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity. response:	You should watch out, as well.
context: This, too.\This, too.\And this.\These are good.\That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well. response:	After I said that, she brought me this.
context: This, too.\And this.\These are good.\That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this. response:	But I...
context: And this.\These are good.\That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this.\But I... response:	Don't complicate it like, I don't know how to interact with others.
context: These are good.\That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others. response:	It'll just happen!
context: That was unnecessary,\but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen! response:	Blue Castle Academy
context: but I guess I'll thank you anyway.\However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy response:	Home Economics
context: However, this might give me a cavity.\You should watch out, as well.\After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy\Home Economics response:	I'd like you to split into groups and get to work!
context: You should watch out, as well.\After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work! response:	I'm looking forward to working with you.
context: After I said that, she brought me this.\But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you. response:	To think that I'd have to be on your team...
context: But I...\Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team... response:	Working in a group...
context: Don't complicate it like, I don't know how to interact with others.\It'll just happen!\Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group... response:	I need to be sure not to alienate my classmates.
context: It'll just happen!\Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates. response:	R-Roromiya...
context: Blue Castle Academy\Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya... response:	I have to keep an eye out, and cover for her, as well.
context: Home Economics\I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well. response:	15 grams of garam masala...
context: I'd like you to split into groups and get to work!\I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala... response:	10 grams of coriander.
context: I'm looking forward to working with you.\To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander. response:	That was 0.2 grams too much.
context: To think that I'd have to be on your team...\Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much. response:	This isn't an experiment.
context: Working in a group...\I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment. response:	Sh-She criticized me!
context: I need to be sure not to alienate my classmates.\R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me! response:	There is no manual for cooking.
context: R-Roromiya...\I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking. response:	Today's spices aren't fresh.
context: I have to keep an eye out, and cover for her, as well.\15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh. response:	They've lost some flavor.
context: 15 grams of garam masala...\10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor. response:	We must consider various factors, and then improvise.
context: 10 grams of coriander.\That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise. response:	Cooking is about seeing the possibilities clearly.
context: That was 0.2 grams too much.\This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly. response:	Th-The color of her eyes has changed!
context: This isn't an experiment.\Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed! response:	Th-This is good...
context: Sh-She criticized me!\There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good... response:	Cooking is about seeing the possibilities clearly.
context: There is no manual for cooking.\Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly. response:	Ah, she said it again!
context: Today's spices aren't fresh.\They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again! response:	Let's eat!
context: They've lost some flavor.\We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat! response:	Did you get those injuries during P.E. yesterday?
context: We must consider various factors, and then improvise.\Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday? response:	There was this cat...
context: Cooking is about seeing the possibilities clearly.\Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat... response:	It scratched me when I tried to help it.
context: Th-The color of her eyes has changed!\Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it. response:	When I see a small animal,
context: Th-This is good...\Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it.\When I see a small animal, response:	I can't help thinking of Watanuki,
context: Cooking is about seeing the possibilities clearly.\Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki, response:	and I can't just leave them.
context: Ah, she said it again!\Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them. response:	It's hard to understand her,
context: Let's eat!\Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her, response:	but everything she does is actually for a reason.
context: Did you get those injuries during P.E. yesterday?\There was this cat...\It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason. response:	Maybe she's in her own world, but she's aware of what's going on.
context: There was this cat...\It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on. response:	I see.
context: It scratched me when I tried to help it.\When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see. response:	Do you
context: When I see a small animal,\I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you response:	like Miketsukami?
context: I can't help thinking of Watanuki,\and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you\like Miketsukami? response:	Why do you ask?
context: and I can't just leave them.\It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you\like Miketsukami?\Why do you ask? response:	I just met him.
context: It's hard to understand her,\but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you\like Miketsukami?\Why do you ask?\I just met him. response:	We aren't like you two...
context: but everything she does is actually for a reason.\Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you\like Miketsukami?\Why do you ask?\I just met him.\We aren't like you two... response:	Wait.
context: Maybe she's in her own world, but she's aware of what's going on.\I see.\Do you\like Miketsukami?\Why do you ask?\I just met him.\We aren't like you two...\Wait. response:	Now that I think about it,
context: I see.\Do you\like Miketsukami?\Why do you ask?\I just met him.\We aren't like you two...\Wait.\Now that I think about it, response:	my irregular heartbeat only happens when I see him,
context: Do you\like Miketsukami?\Why do you ask?\I just met him.\We aren't like you two...\Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him, response:	or when touches me!
context: like Miketsukami?\Why do you ask?\I just met him.\We aren't like you two...\Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me! response:	Could this be what's meant by lo...
context: Why do you ask?\I just met him.\We aren't like you two...\Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo... response:	N-No... We just met, so it's too early for that!
context: I just met him.\We aren't like you two...\Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that! response:	I know.
context: We aren't like you two...\Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know. response:	It's that part of puberty when you can't help but think about the opposite sex...
context: Wait.\Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex... response:	Then, it's just a natural reaction, stemming from my body's changes.
context: Now that I think about it,\my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes. response:	In fact, it's rather late for it to happen now!
context: my irregular heartbeat only happens when I see him,\or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now! response:	I see!
context: or when touches me!\Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see! response:	I was sexually attracted to him because he saved me!
context: Could this be what's meant by lo...\N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me! response:	Bye-bye!
context: N-No... We just met, so it's too early for that!\I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me!\Bye-bye! response:	Karuta, let's go home.
context: I know.\It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home. response:	I should probably hurry home.
context: It's that part of puberty when you can't help but think about the opposite sex...\Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home.\I should probably hurry home. response:	Water?
context: Then, it's just a natural reaction, stemming from my body's changes.\In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home.\I should probably hurry home.\Water? response:	Why is there water here?
context: In fact, it's rather late for it to happen now!\I see!\I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home.\I should probably hurry home.\Water?\Why is there water here? response:	I knew it...
context: I see!\I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home.\I should probably hurry home.\Water?\Why is there water here?\I knew it... response:	A nure-onna.
context: I was sexually attracted to him because he saved me!\Bye-bye!\Karuta, let's go home.\I should probably hurry home.\Water?\Why is there water here?\I knew it...\A nure-onna. response:	The nure-onna, or wet woman, is a creature with the
context: Bye-bye!\Karuta, let's go home.\I should probably hurry home.\Water?\Why is there water here?\I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the response:	head of a woman and the body of a snake.
context: Karuta, let's go home.\I should probably hurry home.\Water?\Why is there water here?\I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake. response:	She has long black hair.
context: I should probably hurry home.\Water?\Why is there water here?\I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair. response:	She is called a nure-onna because her hair is always wet.
context: Water?\Why is there water here?\I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet. response:	Some theories claim that she is a water snake's avatar.
context: Why is there water here?\I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar. response:	It's been said that she appears by water, and devours people.
context: I knew it...\A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people. response:	But in terms of appearance and personality, too many different rumors exist for certainty.
context: A nure-onna.\The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty. response:	Hold it!
context: The nure-onna, or wet woman, is a creature with the\head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it! response:	Facing danger is a man's job.
context: head of a woman and the body of a snake.\She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job. response:	Women and children should stand back
context: She has long black hair.\She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job.\Women and children should stand back response:	Watanuki!
context: She is called a nure-onna because her hair is always wet.\Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job.\Women and children should stand back\Watanuki! response:	Are you okay?
context: Some theories claim that she is a water snake's avatar.\It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job.\Women and children should stand back\Watanuki!\Are you okay? response:	I-I won't let her run wild on my turf...
context: It's been said that she appears by water, and devours people.\But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job.\Women and children should stand back\Watanuki!\Are you okay?\I-I won't let her run wild on my turf... response:	Take it easy, and stay back!
context: But in terms of appearance and personality, too many different rumors exist for certainty.\Hold it!\Facing danger is a man's job.\Women and children should stand back\Watanuki!\Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back! response:	You want me to take it easy?
context: Hold it!\Facing danger is a man's job.\Women and children should stand back\Watanuki!\Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy? response:	You must be kidding!
context: Facing danger is a man's job.\Women and children should stand back\Watanuki!\Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy?\You must be kidding! response:	Tanuki are on the same level as foxes,
context: Women and children should stand back\Watanuki!\Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes, response:	when it comes to transformation!
context: Watanuki!\Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation! response:	Did you get her?
context: Are you okay?\I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her? response:	I never expected that they'd come here.
context: I-I won't let her run wild on my turf...\Take it easy, and stay back!\You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her?\I never expected that they'd come here. response:	I just hope no one saw this.
context: Take it easy, and stay back!\You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her?\I never expected that they'd come here.\I just hope no one saw this. response:	Don't worry.
context: You want me to take it easy?\You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her?\I never expected that they'd come here.\I just hope no one saw this.\Don't worry. response:	She'll be gone by tomorrow morning.
context: You must be kidding!\Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her?\I never expected that they'd come here.\I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning. response:	Probably to reappear elsewhere, but whatever.
context: Tanuki are on the same level as foxes,\when it comes to transformation!\Did you get her?\I never expected that they'd come here.\I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever. response:	This time, I guess I won't refuse to thank you.
context: when it comes to transformation!\Did you get her?\I never expected that they'd come here.\I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you. response:	That spell wasn't half bad.
context: Did you get her?\I never expected that they'd come here.\I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad. response:	Stop petting me!
context: I never expected that they'd come here.\I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me! response:	Did you just hear something?
context: I just hope no one saw this.\Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me!\Did you just hear something? response:	Like what?
context: Don't worry.\She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me!\Did you just hear something?\Like what? response:	Chiyo... Watanuki.
context: She'll be gone by tomorrow morning.\Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me!\Did you just hear something?\Like what?\Chiyo... Watanuki. response:	You're falling.
context: Probably to reappear elsewhere, but whatever.\This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me!\Did you just hear something?\Like what?\Chiyo... Watanuki.\You're falling. response:	R-Roromiya...
context: This time, I guess I won't refuse to thank you.\That spell wasn't half bad.\Stop petting me!\Did you just hear something?\Like what?\Chiyo... Watanuki.\You're falling.\R-Roromiya... response:	Watanuki...
context: That spell wasn't half bad.\Stop petting me!\Did you just hear something?\Like what?\Chiyo... Watanuki.\You're falling.\R-Roromiya...\Watanuki... response:	You recognized me...
context: Stop petting me!\Did you just hear something?\Like what?\Chiyo... Watanuki.\You're falling.\R-Roromiya...\Watanuki...\You recognized me... response:	Yes.
context: Did you just hear something?\Like what?\Chiyo... Watanuki.\You're falling.\R-Roromiya...\Watanuki...\You recognized me...\Yes. response:	Of course.
context: Like what?\Chiyo... Watanuki.\You're falling.\R-Roromiya...\Watanuki...\You recognized me...\Yes.\Of course. response:	Yes.
context: Chiyo... Watanuki.\You're falling.\R-Roromiya...\Watanuki...\You recognized me...\Yes.\Of course.\Yes. response:	Of course.
context: You're falling.\R-Roromiya...\Watanuki...\You recognized me...\Yes.\Of course.\Yes.\Of course. response:	With my sixth sense.
context: R-Roromiya...\Watanuki...\You recognized me...\Yes.\Of course.\Yes.\Of course.\With my sixth sense. response:	No, with my fifth sense?
context: Watanuki...\You recognized me...\Yes.\Of course.\Yes.\Of course.\With my sixth sense.\No, with my fifth sense? response:	No...
context: You recognized me...\Yes.\Of course.\Yes.\Of course.\With my sixth sense.\No, with my fifth sense?\No... response:	With my organs?
context: Yes.\Of course.\Yes.\Of course.\With my sixth sense.\No, with my fifth sense?\No...\With my organs? response:	I don't think so...
context: Of course.\Yes.\Of course.\With my sixth sense.\No, with my fifth sense?\No...\With my organs?\I don't think so... response:	Did you hear the rumor?
context: Yes.\Of course.\With my sixth sense.\No, with my fifth sense?\No...\With my organs?\I don't think so...\Did you hear the rumor? response:	I heard, I heard!
context: Of course.\With my sixth sense.\No, with my fifth sense?\No...\With my organs?\I don't think so...\Did you hear the rumor?\I heard, I heard! response:	You mean the story about the big skeleton,
context: With my sixth sense.\No, with my fifth sense?\No...\With my organs?\I don't think so...\Did you hear the rumor?\I heard, I heard!\You mean the story about the big skeleton, response:	the tanuki, and the cosplay girl?
