context: In the great ocean, Ignora, lies a conspicuously large landform. response:	It is surrounded by continents on all four cardinal directions in the shape of a cross.
context: Porkcut letbowl...\I see.\There is much power in that name.\Very interesting.\Huh?\No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist. response:	Magic doesn't exist?!
context: I see.\There is much power in that name.\Very interesting.\Huh?\No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?! response:	Impossible!
context: There is much power in that name.\Very interesting.\Huh?\No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible! response:	I see.
context: Very interesting.\Huh?\No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible!\I see. response:	Then the reason we could not maintain our demon forms was because of a lack of magic, right?
context: Huh?\No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right? response:	Right.
context: No, this isn't that big a deal.\In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right. response:	I never thought we'd look like this underneath, though.
context: In this world, magic, sorcery, demons, and overlords\are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though. response:	Surprisingly enough, humans might be the foundation of all living beings.
context: are all considered fictional concepts and do not exist.\Magic doesn't exist?!\Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings. response:	Surely you jest.
context: Magic doesn't exist?!\Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest. response:	It's probably an effect of this world or the gate through which we got here.
context: Impossible!\I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here. response:	I still have a bit of my magic left.
context: I see.\Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left. response:	However, it is rather difficult to stop it from leaking out.
context: Then the reason we could not maintain our demon forms was because of a lack of magic, right?\Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out. response:	What about you, Alsiel?
context: Right.\I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel? response:	Milord, could it be that this...
context: I never thought we'd look like this underneath, though.\Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this... response:	No, I don't think your magic did that.
context: Surprisingly enough, humans might be the foundation of all living beings.\Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that. response:	I see.
context: Surely you jest.\It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that.\I see. response:	If we ration our magic, we should be able to make it last a while longer.
context: It's probably an effect of this world or the gate through which we got here.\I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer. response:	The problem is that we don't have the means to generate any more.
context: I still have a bit of my magic left.\However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more. response:	However, as long as the concepts of magic and sorcery exist, fictional as they may be,
context: However, it is rather difficult to stop it from leaking out.\What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be, response:	there might be a way to recover our magic.
context: What about you, Alsiel?\Milord, could it be that this...\No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic. response:	The only course of action left to us is to find that method and regenerate our magic.
context: Milord, could it be that this...\No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic. response:	Until we do, we have no choice but to live in this human world and abide by its rules.
context: No, I don't think your magic did that.\I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules. response:	Reality is a cruel mistress.
context: I see.\If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress. response:	Indeed.
context: If we ration our magic, we should be able to make it last a while longer.\The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed. response:	But in order to do that, we must first
context: The problem is that we don't have the means to generate any more.\However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed.\But in order to do that, we must first response:	obtain a family registry and a certificate of residence from the regional council.
context: However, as long as the concepts of magic and sorcery exist, fictional as they may be,\there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council. response:	Milord...
context: there might be a way to recover our magic.\The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord... response:	Huh?
context: The only course of action left to us is to find that method and regenerate our magic.\Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh? response:	Here you go...
context: Until we do, we have no choice but to live in this human world and abide by its rules.\Reality is a cruel mistress.\Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh?\Here you go... response:	Good.
context: Reality is a cruel mistress.\Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh?\Here you go...\Good. response:	Next, we need to create a bank account.
context: Indeed.\But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh?\Here you go...\Good.\Next, we need to create a bank account. response:	This is what we'll use to do that.
context: But in order to do that, we must first\obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh?\Here you go...\Good.\Next, we need to create a bank account.\This is what we'll use to do that. response:	What is that paper?
context: obtain a family registry and a certificate of residence from the regional council.\Milord...\Huh?\Here you go...\Good.\Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper? response:	It's the currency this country uses.
context: Milord...\Huh?\Here you go...\Good.\Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper?\It's the currency this country uses. response:	I borrowed it from that policeman.
context: Huh?\Here you go...\Good.\Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper?\It's the currency this country uses.\I borrowed it from that policeman. response:	We'll also be using this seal.
context: Here you go...\Good.\Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper?\It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal. response:	I made it on a whim earlier.
context: Good.\Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper?\It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier. response:	Impressive.
context: Next, we need to create a bank account.\This is what we'll use to do that.\What is that paper?\It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier.\Impressive. response:	Here you go.
context: This is what we'll use to do that.\What is that paper?\It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier.\Impressive.\Here you go. response:	Thank you.
context: What is that paper?\It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier.\Impressive.\Here you go.\Thank you. response:	Mori Real Es tate
context: It's the currency this country uses.\I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier.\Impressive.\Here you go.\Thank you.\Mori Real Es tate response:	TEL ( 0300000000 )
context: I borrowed it from that policeman.\We'll also be using this seal.\I made it on a whim earlier.\Impressive.\Here you go.\Thank you.\Mori Real Es tate\TEL ( 0300000000 ) response:	Lastly, we'll obtain a base of operations from this realest ate agency.
context: We'll also be using this seal.\I made it on a whim earlier.\Impressive.\Here you go.\Thank you.\Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency. response:	We are looking for a house.
context: I made it on a whim earlier.\Impressive.\Here you go.\Thank you.\Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house. response:	All right, what kind of house are you interested in?
context: Impressive.\Here you go.\Thank you.\Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in? response:	They understood you!
context: Here you go.\Thank you.\Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in?\They understood you! response:	C-Calm down, Alsiel!
context: Thank you.\Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel! response:	Picking up a language like this is a piece of cake for me!
context: Mori Real Es tate\TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me! response:	All right!
context: TEL ( 0300000000 )\Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right! response:	I've got this!
context: Lastly, we'll obtain a base of operations from this realest ate agency.\We are looking for a house.\All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right!\I've got this! response:	The landlord here is a very charitable person.
context: We are looking for a house.\All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right!\I've got this!\The landlord here is a very charitable person. response:	Th-This is...
context: All right, what kind of house are you interested in?\They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right!\I've got this!\The landlord here is a very charitable person.\Th-This is... response:	Yeah, even I can tell what kind of place this is.
context: They understood you!\C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right!\I've got this!\The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is. response:	At least it has two floors.
context: C-Calm down, Alsiel!\Picking up a language like this is a piece of cake for me!\All right!\I've got this!\The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors. response:	It has six rooms too.
context: Picking up a language like this is a piece of cake for me!\All right!\I've got this!\The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too. response:	And here's Apartment 201.
context: All right!\I've got this!\The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too.\And here's Apartment 201. response:	What, just this one room?
context: I've got this!\The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too.\And here's Apartment 201.\What, just this one room? response:	We'll just have to consider ourselves lucky that it's not worn down.
context: The landlord here is a very charitable person.\Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too.\And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down. response:	This is a toilet compared to the old Ca
context: Th-This is...\Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too.\And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca response:	Good day.
context: Yeah, even I can tell what kind of place this is.\At least it has two floors.\It has six rooms too.\And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day. response:	Is that... a person?
context: At least it has two floors.\It has six rooms too.\And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day.\Is that... a person? response:	So you're the two who wish to move into this place.
context: It has six rooms too.\And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day.\Is that... a person?\So you're the two who wish to move into this place. response:	It talked?!
context: And here's Apartment 201.\What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day.\Is that... a person?\So you're the two who wish to move into this place.\It talked?! response:	This is the landlord.
context: What, just this one room?\We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day.\Is that... a person?\So you're the two who wish to move into this place.\It talked?!\This is the landlord. response:	She lives right next door.
context: We'll just have to consider ourselves lucky that it's not worn down.\This is a toilet compared to the old Ca\Good day.\Is that... a person?\So you're the two who wish to move into this place.\It talked?!\This is the landlord.\She lives right next door. response:	I'm Shiba Miki.
context: This is a toilet compared to the old Ca\Good day.\Is that... a person?\So you're the two who wish to move into this place.\It talked?!\This is the landlord.\She lives right next door.\I'm Shiba Miki. response:	Miki, written with the characters for shining beauty.
context: Good day.\Is that... a person?\So you're the two who wish to move into this place.\It talked?!\This is the landlord.\She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty. response:	Oh, but you can call me Mikity.
context: Is that... a person?\So you're the two who wish to move into this place.\It talked?!\This is the landlord.\She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity. response:	Yes, ma'am.
context: So you're the two who wish to move into this place.\It talked?!\This is the landlord.\She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am. response:	Milord.
context: It talked?!\This is the landlord.\She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am.\Milord. response:	Are you really okay with this place?
context: This is the landlord.\She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am.\Milord.\Are you really okay with this place? response:	Apparently, in this world, they like to say that you must work your butt off to attain your objective.
context: She lives right next door.\I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am.\Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective. response:	I'm sure living in this kind of Castle Overlord is just one part of it.
context: I'm Shiba Miki.\Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am.\Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it. response:	Milord...
context: Miki, written with the characters for shining beauty.\Oh, but you can call me Mikity.\Yes, ma'am.\Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord... response:	Let's start a new journey from here...
context: Oh, but you can call me Mikity.\Yes, ma'am.\Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here... response:	Milord...
context: Yes, ma'am.\Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here...\Milord... response:	Milord.
context: Milord.\Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here...\Milord...\Milord. response:	Milord!
context: Are you really okay with this place?\Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here...\Milord...\Milord.\Milord! response:	I had no idea this body required sustenance.
context: Apparently, in this world, they like to say that you must work your butt off to attain your objective.\I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here...\Milord...\Milord.\Milord!\I had no idea this body required sustenance. response:	Well, it is a human body.
context: I'm sure living in this kind of Castle Overlord is just one part of it.\Milord...\Let's start a new journey from here...\Milord...\Milord.\Milord!\I had no idea this body required sustenance.\Well, it is a human body. response:	Also, why the hell did just one of IV drop things cost as much as one month's rent?!
context: Milord...\Let's start a new journey from here...\Milord...\Milord.\Milord!\I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?! response:	This must be what they mean by When it rains, it pours.
context: Let's start a new journey from here...\Milord...\Milord.\Milord!\I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours. response:	Things could've gotten a lot worse if that mysterious landlord hadn't saved us.
context: Milord...\Milord.\Milord!\I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us. response:	Apparently it's called National Health Insur
context: Milord.\Milord!\I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur response:	Anyway,
context: Milord!\I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway, response:	money makes this human world go round.
context: I had no idea this body required sustenance.\Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway,\money makes this human world go round. response:	We can't spare any more magic either.
context: Well, it is a human body.\Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway,\money makes this human world go round.\We can't spare any more magic either. response:	That means there's only one thing we can do.
context: Also, why the hell did just one of IV drop things cost as much as one month's rent?!\This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway,\money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do. response:	And what would that be?
context: This must be what they mean by When it rains, it pours.\Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway,\money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be? response:	Whoops, I screwed up.
context: Things could've gotten a lot worse if that mysterious landlord hadn't saved us.\Apparently it's called National Health Insur\Anyway,\money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up. response:	Fool!
context: Apparently it's called National Health Insur\Anyway,\money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up.\Fool! response:	Resume forms aren't free, you know?!
context: Anyway,\money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?! response:	Here we go... Maou Sadao.
context: money makes this human world go round.\We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao. response:	Ashiya Shirou.
context: We can't spare any more magic either.\That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou. response:	Isn't this name kind of strange?
context: That means there's only one thing we can do.\And what would that be?\Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange? response:	It's too late for that.
context: And what would that be?\Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that. response:	We already got our family registry made.
context: Whoops, I screwed up.\Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that.\We already got our family registry made. response:	Milord.
context: Fool!\Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that.\We already got our family registry made.\Milord. response:	What's up?
context: Resume forms aren't free, you know?!\Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that.\We already got our family registry made.\Milord.\What's up? response:	Maybe you should spend our money a bit more wisely.
context: Here we go... Maou Sadao.\Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that.\We already got our family registry made.\Milord.\What's up?\Maybe you should spend our money a bit more wisely. response:	But I'm being plenty wise about it.
context: Ashiya Shirou.\Isn't this name kind of strange?\It's too late for that.\We already got our family registry made.\Milord.\What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it. response:	Summer's right around the corner, so we need a fridge.
context: Isn't this name kind of strange?\It's too late for that.\We already got our family registry made.\Milord.\What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge. response:	A washing machine will cost less in the long run than using the laundromat.
context: It's too late for that.\We already got our family registry made.\Milord.\What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat. response:	I also need a bicycle to get to and from work.
context: We already got our family registry made.\Milord.\What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work. response:	That's not what I'm talking about.
context: Milord.\What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about. response:	I'm saying you could've paid in installments.
context: What's up?\Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments. response:	I hate loans.
context: Maybe you should spend our money a bit more wisely.\But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans. response:	Oh, come on!
context: But I'm being plenty wise about it.\Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans.\Oh, come on! response:	You know installment payments come with an extra handling fee.
context: Summer's right around the corner, so we need a fridge.\A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee. response:	I don't want to pay for nothing.
context: A washing machine will cost less in the long run than using the laundromat.\I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing. response:	Then let me ask you this, milord.
context: I also need a bicycle to get to and from work.\That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord. response:	How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!
context: That's not what I'm talking about.\I'm saying you could've paid in installments.\I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?! response:	Well, that's...
context: I'm saying you could've paid in installments.\I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's... response:	I-It's not like we're penniless now.
context: I hate loans.\Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now. response:	There's still some money in our wallets.
context: Oh, come on!\You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets. response:	Also, maybe we could get some staff meals where I work.
context: You know installment payments come with an extra handling fee.\I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work. response:	We're going to die.
context: I don't want to pay for nothing.\Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die. response:	Are we going to eat burgers and fries every meal until payday?
context: Then let me ask you this, milord.\How are we supposed to survive until our next paycheck on just konjac, cucumbers, and milk?!\Well, that's...\I-It's not like we're penniless now.\There's still some money in our wallets.\Also, maybe we could get some staff meals where I work.\We're going to die.\Are we going to eat burgers and fries every meal until payday? response:	Supersize me, huh?
