context: Kyousuke! response:	Could you go out shopping for me?
context: Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami. response:	Wow...
context: Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami.\Wow... response:	Why are they out?! I put those away earlier!
context: No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier! response:	They're supposed to be in a box under my bed!
context: Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed! response:	Is this another one of Kirino's traps?!
context: Wait! Wait!!\Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?! response:	Dammit!
context: Kyou-chan?\Emergency escape key!\Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit! response:	Don't look at those!
context: Emergency escape key!\Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit!\Don't look at those! response:	It was all girls with glasses...
context: Sorry to surprise you like that, Manami.\Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit!\Don't look at those!\It was all girls with glasses... response:	That's not it!!
context: Wow...\Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit!\Don't look at those!\It was all girls with glasses...\That's not it!! response:	Well, they are, but that's not it!
context: Why are they out?! I put those away earlier!\They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit!\Don't look at those!\It was all girls with glasses...\That's not it!!\Well, they are, but that's not it! response:	This is a trap!
context: They're supposed to be in a box under my bed!\Is this another one of Kirino's traps?!\Dammit!\Don't look at those!\It was all girls with glasses...\That's not it!!\Well, they are, but that's not it!\This is a trap! response:	My heart is as clear as the blue skies
context: Is this another one of Kirino's traps?!\Dammit!\Don't look at those!\It was all girls with glasses...\That's not it!!\Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies response:	Huh?
context: Dammit!\Don't look at those!\It was all girls with glasses...\That's not it!!\Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies\Huh? response:	Stare.
context: Don't look at those!\It was all girls with glasses...\That's not it!!\Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies\Huh?\Stare. response:	M-Manami-san?
context: It was all girls with glasses...\That's not it!!\Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies\Huh?\Stare.\M-Manami-san? response:	Onii-chan is a pervert who only gets turned on by little sisters!
context: That's not it!!\Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies\Huh?\Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters! response:	Don't read that!
context: Well, they are, but that's not it!\This is a trap!\My heart is as clear as the blue skies\Huh?\Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that! response:	Why did it come back?!
context: This is a trap!\My heart is as clear as the blue skies\Huh?\Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?! response:	Ah, I see...
context: My heart is as clear as the blue skies\Huh?\Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?!\Ah, I see... response:	An ero CG might sometimes pop up at random when you hit the emergency escape key...
context: Huh?\Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key... response:	Oh, those jokers at the game company...
context: Stare.\M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company... response:	I see...
context: M-Manami-san?\Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see... response:	Um... Kyou-chan...
context: Onii-chan is a pervert who only gets turned on by little sisters!\Don't read that!\Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see...\Um... Kyou-chan... response:	Um...
context: Don't read that!\Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see...\Um... Kyou-chan...\Um... response:	Would you like me to call you Onii-chan from now on?
context: Why did it come back?!\Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see...\Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on? response:	Rental Rooms
context: Ah, I see...\An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see...\Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms response:	Kirino's Anime Celebration Party
context: An ero CG might sometimes pop up at random when you hit the emergency escape key...\Oh, those jokers at the game company...\I see...\Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party response:	Super Miss Kiririn
context: Oh, those jokers at the game company...\I see...\Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn response:	Miss Kuroneko
context: I see...\Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko response:	Mr. Kyousuke
context: Um... Kyou-chan...\Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke response:	Myself
context: Um...\Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself response:	Super Miss Kiririn
context: Would you like me to call you Onii-chan from now on?\Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Super Miss Kiririn response:	Miss Kuroneko
context: Rental Rooms\Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Super Miss Kiririn\Miss Kuroneko response:	Mr. Kyousuke
context: Kirino's Anime Celebration Party\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke response:	Myself
context: Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself response:	Ah, whatever.
context: Miss Kuroneko\Mr. Kyousuke\Myself\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Ah, whatever. response:	Excuse me, is there a reservation under Saori Vageena here?
context: Mr. Kyousuke\Myself\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here? response:	Yes, may I have your name please?
context: Myself\Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please? response:	Kousaka.
context: Super Miss Kiririn\Miss Kuroneko\Mr. Kyousuke\Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka. response:	Kousaka Kyousuke?
context: Miss Kuroneko\Mr. Kyousuke\Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke? response:	Yeah.
context: Mr. Kyousuke\Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke?\Yeah. response:	It's room 301.
context: Myself\Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke?\Yeah.\It's room 301. response:	Ah, okay.
context: Ah, whatever.\Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke?\Yeah.\It's room 301.\Ah, okay. response:	Thanks.
context: Excuse me, is there a reservation under Saori Vageena here?\Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke?\Yeah.\It's room 301.\Ah, okay.\Thanks. response:	Kousaka Kyousuke's Personal Harem Party
context: Yes, may I have your name please?\Kousaka.\Kousaka Kyousuke?\Yeah.\It's room 301.\Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party response:	Master.
context: Kousaka.\Kousaka Kyousuke?\Yeah.\It's room 301.\Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party\Master. response:	Miss Kiririn!
context: Kousaka Kyousuke?\Yeah.\It's room 301.\Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn! response:	Ah, geez!
context: Yeah.\It's room 301.\Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn!\Ah, geez! response:	I can't take this anymore!
context: It's room 301.\Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn!\Ah, geez!\I can't take this anymore! response:	Lowering my head to this guy is just wrong!
context: Ah, okay.\Thanks.\Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn!\Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong! response:	What is this?
context: Thanks.\Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn!\Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this? response:	Just a taste of entertainment!
context: Kousaka Kyousuke's Personal Harem Party\Master.\Miss Kiririn!\Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment! response:	What do you think of my maid look?
context: Master.\Miss Kiririn!\Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment!\What do you think of my maid look? response:	Burning with desire?
context: Miss Kiririn!\Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment!\What do you think of my maid look?\Burning with desire? response:	Hell no.
context: Ah, geez!\I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment!\What do you think of my maid look?\Burning with desire?\Hell no. response:	That's strange, I was told you had a glasses fetish...
context: I can't take this anymore!\Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment!\What do you think of my maid look?\Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish... response:	Who told you
context: Lowering my head to this guy is just wrong!\What is this?\Just a taste of entertainment!\What do you think of my maid look?\Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish...\Who told you response:	You little...
context: What is this?\Just a taste of entertainment!\What do you think of my maid look?\Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish...\Who told you\You little... response:	Maybe some sexier clothes were in order?
context: Just a taste of entertainment!\What do you think of my maid look?\Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish...\Who told you\You little...\Maybe some sexier clothes were in order? response:	Look, when it's you and my sister doing it
context: What do you think of my maid look?\Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish...\Who told you\You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it response:	Ouch! Ouch!
context: Burning with desire?\Hell no.\That's strange, I was told you had a glasses fetish...\Who told you\You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch! response:	What's with your attitude?
context: Hell no.\That's strange, I was told you had a glasses fetish...\Who told you\You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude? response:	I do all this and that's how you act?
context: That's strange, I was told you had a glasses fetish...\Who told you\You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act? response:	This is painful in more than one way!
context: Who told you\You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way! response:	Wait...
context: You little...\Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way!\Wait... response:	Where's Kuroneko?
context: Maybe some sexier clothes were in order?\Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way!\Wait...\Where's Kuroneko? response:	It's not what you think.
context: Look, when it's you and my sister doing it\Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way!\Wait...\Where's Kuroneko?\It's not what you think. response:	I said it's not what you think!
context: Ouch! Ouch!\What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way!\Wait...\Where's Kuroneko?\It's not what you think.\I said it's not what you think! response:	No, no! You look lovely, Miss Kuroneko.
context: What's with your attitude?\I do all this and that's how you act?\This is painful in more than one way!\Wait...\Where's Kuroneko?\It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko. response:	Don't you think so, Mr. Kyousuke?
context: I do all this and that's how you act?\This is painful in more than one way!\Wait...\Where's Kuroneko?\It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke? response:	Y-Yeah...
context: This is painful in more than one way!\Wait...\Where's Kuroneko?\It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah... response:	I don't need your flattery.
context: Wait...\Where's Kuroneko?\It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery. response:	I hate to admit it, but that's really cute!
context: Where's Kuroneko?\It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute! response:	Hey, where do they sell these ears and tail?
context: It's not what you think.\I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail? response:	I made them myself.
context: I said it's not what you think!\No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself. response:	Seriously?!
context: No, no! You look lovely, Miss Kuroneko.\Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself.\Seriously?! response:	Oh man, that cosplay is just...
context: Don't you think so, Mr. Kyousuke?\Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself.\Seriously?!\Oh man, that cosplay is just... response:	Damn... someone like her...
context: Y-Yeah...\I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself.\Seriously?!\Oh man, that cosplay is just...\Damn... someone like her... response:	That ends my turn for now.
context: I don't need your flattery.\I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself.\Seriously?!\Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now. response:	That means you're next, Miss Kuroneko.
context: I hate to admit it, but that's really cute!\Hey, where do they sell these ears and tail?\I made them myself.\Seriously?!\Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko. response:	Wait, turn for what?
context: Hey, where do they sell these ears and tail?\I made them myself.\Seriously?!\Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what? response:	Entertainment for Miss Kiririn's anime party, of course.
context: I made them myself.\Seriously?!\Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course. response:	We'll go around and each do something.
context: Seriously?!\Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something. response:	I-I see...
context: Oh man, that cosplay is just...\Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see... response:	Alright.
context: Damn... someone like her...\That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see...\Alright. response:	This is a manga I wrote for today.
context: That ends my turn for now.\That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see...\Alright.\This is a manga I wrote for today. response:	Manga? You?
context: That means you're next, Miss Kuroneko.\Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see...\Alright.\This is a manga I wrote for today.\Manga? You? response:	I look forward to this!
context: Wait, turn for what?\Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see...\Alright.\This is a manga I wrote for today.\Manga? You?\I look forward to this! response:	Watch and be amazed.
context: Entertainment for Miss Kiririn's anime party, of course.\We'll go around and each do something.\I-I see...\Alright.\This is a manga I wrote for today.\Manga? You?\I look forward to this!\Watch and be amazed. response:	Wait right there, you!
context: We'll go around and each do something.\I-I see...\Alright.\This is a manga I wrote for today.\Manga? You?\I look forward to this!\Watch and be amazed.\Wait right there, you! response:	What's wrong?
context: I-I see...\Alright.\This is a manga I wrote for today.\Manga? You?\I look forward to this!\Watch and be amazed.\Wait right there, you!\What's wrong? response:	Why does this character look exactly like me?!
context: Alright.\This is a manga I wrote for today.\Manga? You?\I look forward to this!\Watch and be amazed.\Wait right there, you!\What's wrong?\Why does this character look exactly like me?! response:	And this one kind of looks like me.
context: This is a manga I wrote for today.\Manga? You?\I look forward to this!\Watch and be amazed.\Wait right there, you!\What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me. response:	Of course they so.
context: Manga? You?\I look forward to this!\Watch and be amazed.\Wait right there, you!\What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so. response:	You two are the models for them.
context: I look forward to this!\Watch and be amazed.\Wait right there, you!\What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so.\You two are the models for them. response:	But don't worry.
context: Watch and be amazed.\Wait right there, you!\What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so.\You two are the models for them.\But don't worry. response:	I only used your appearances and the siblings part.
context: Wait right there, you!\What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so.\You two are the models for them.\But don't worry.\I only used your appearances and the siblings part. response:	I've got a bad feeling about this...
context: What's wrong?\Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so.\You two are the models for them.\But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this... response:	Well, whatever. Keep going.
context: Why does this character look exactly like me?!\And this one kind of looks like me.\Of course they so.\You two are the models for them.\But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going. response:	Thank you.
context: And this one kind of looks like me.\Of course they so.\You two are the models for them.\But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you. response:	This is Onii-chan's underwear... Gulp.
context: Of course they so.\You two are the models for them.\But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp. response:	Sniff sniff!
context: You two are the models for them.\But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff! response:	Stop right there!!
context: But don't worry.\I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!! response:	Stop right there!!
context: I only used your appearances and the siblings part.\I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!!\Stop right there!! response:	What's wrong?
context: I've got a bad feeling about this...\Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!!\Stop right there!!\What's wrong? response:	You know exactly what's wrong!!
context: Well, whatever. Keep going.\Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!!\Stop right there!!\What's wrong?\You know exactly what's wrong!! response:	There are limits to what you can and can't do in manga!
context: Thank you.\This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!!\Stop right there!!\What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga! response:	Why are you getting so angry?
context: This is Onii-chan's underwear... Gulp.\Sniff sniff!\Stop right there!!\Stop right there!!\What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry? response:	My only intention was to write a fictional story.
context: Sniff sniff!\Stop right there!!\Stop right there!!\What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story. response:	When you react like that, you make it seem as though I may have accidentally reflected reality.
context: Stop right there!!\Stop right there!!\What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality. response:	Don't tell me you really do sniff
context: Stop right there!!\What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff response:	I don't! This is just in a manga!
context: What's wrong?\You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga! response:	I'm glad you understand.
context: You know exactly what's wrong!!\There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand. response:	Then let's continue.
context: There are limits to what you can and can't do in manga!\Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand.\Then let's continue. response:	Rustle rustle. Rustle rustle.
context: Why are you getting so angry?\My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle. response:	It's all girls with glasses!
context: My only intention was to write a fictional story.\When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses! response:	Why doesn't he have any little sister ones?
context: When you react like that, you make it seem as though I may have accidentally reflected reality.\Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones? response:	I'm confiscating this!
context: Don't tell me you really do sniff\I don't! This is just in a manga!\I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this! response:	What are you doing?
context: I don't! This is just in a manga!\I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing? response:	The greatest holy war in human history is about to begi
context: I'm glad you understand.\Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi response:	Shut up!
context: Then let's continue.\Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi\Shut up! response:	I want to go home...
context: Rustle rustle. Rustle rustle.\It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi\Shut up!\I want to go home... response:	Now then, today's main event!
context: It's all girls with glasses!\Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi\Shut up!\I want to go home...\Now then, today's main event! response:	Miss Kiririn's turn!
context: Why doesn't he have any little sister ones?\I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi\Shut up!\I want to go home...\Now then, today's main event!\Miss Kiririn's turn! response:	Go on!
context: I'm confiscating this!\What are you doing?\The greatest holy war in human history is about to begi\Shut up!\I want to go home...\Now then, today's main event!\Miss Kiririn's turn!\Go on! response:	Miss Kiririn?
context: What are you doing?\The greatest holy war in human history is about to begi\Shut up!\I want to go home...\Now then, today's main event!\Miss Kiririn's turn!\Go on!\Miss Kiririn? response:	Pass!
context: The greatest holy war in human history is about to begi\Shut up!\I want to go home...\Now then, today's main event!\Miss Kiririn's turn!\Go on!\Miss Kiririn?\Pass! response:	Pass?
context: Shut up!\I want to go home...\Now then, today's main event!\Miss Kiririn's turn!\Go on!\Miss Kiririn?\Pass!\Pass? response:	You idiot.
context: I want to go home...\Now then, today's main event!\Miss Kiririn's turn!\Go on!\Miss Kiririn?\Pass!\Pass?\You idiot. response:	Don't you understand why you're here in the first place?
context: Now then, today's main event!\Miss Kiririn's turn!\Go on!\Miss Kiririn?\Pass!\Pass?\You idiot.\Don't you understand why you're here in the first place? response:	Now, now, Miss Kuroneko.
context: Miss Kiririn's turn!\Go on!\Miss Kiririn?\Pass!\Pass?\You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko. response:	Miss Kiririn needs time to prepare herself too.
context: Go on!\Miss Kiririn?\Pass!\Pass?\You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too. response:	Perhaps we should have a pleasant little chat before the main event?
context: Miss Kiririn?\Pass!\Pass?\You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event? response:	I guess we have no choice.
context: Pass!\Pass?\You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice. response:	Hey, what's going on?
context: Pass?\You idiot.\Don't you understand why you're here in the first place?\Now, now, Miss Kuroneko.\Miss Kiririn needs time to prepare herself too.\Perhaps we should have a pleasant little chat before the main event?\I guess we have no choice.\Hey, what's going on? response:	You guys know what Kirino's doing?
