context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: Ye Hua.\Are you okay?\I'm fine. What about you?\Seventeenth?\No, she's clearly a woman\and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan? response:	And this man...
context: Are you okay?\I'm fine. What about you?\Seventeenth?\No, she's clearly a woman\and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man... response:	Although he looks very similar to Master, he doesn't have Master's magic breath.
context: I'm fine. What about you?\Seventeenth?\No, she's clearly a woman\and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath. response:	Who exactly is he?
context: Seventeenth?\No, she's clearly a woman\and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he? response:	Who exactly are these two people?
context: No, she's clearly a woman\and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people? response:	Where are you from?
context: and a mortal with no magic breath.\How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people?\Where are you from? response:	Wait here for me.
context: How could I have mistaken her?\But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people?\Where are you from?\Wait here for me. response:	May I speak to you somewhere else?
context: But if she's not Seventeenth, why does she have Master's fan?\And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people?\Where are you from?\Wait here for me.\May I speak to you somewhere else? response:	Okay.
context: And this man...\Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people?\Where are you from?\Wait here for me.\May I speak to you somewhere else?\Okay. response:	Are you Water King of West Sea's second son Die Feng?
context: Although he looks very similar to Master, he doesn't have Master's magic breath.\Who exactly is he?\Who exactly are these two people?\Where are you from?\Wait here for me.\May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng? response:	I am. And you are?
context: Who exactly is he?\Who exactly are these two people?\Where are you from?\Wait here for me.\May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are? response:	I am Crown Prince Ye Hua.
context: Who exactly are these two people?\Where are you from?\Wait here for me.\May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua. response:	Your High-
context: Where are you from?\Wait here for me.\May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua.\Your High- response:	I came undercover to Chang Sea on Heavenly Lord's orders.
context: Wait here for me.\May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders. response:	I don't want anyone else to know my identity.
context: May I speak to you somewhere else?\Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity. response:	Including that person.
context: Okay.\Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person. response:	I understand.
context: Are you Water King of West Sea's second son Die Feng?\I am. And you are?\I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person.\I understand. response:	What is Your Highness here at Chang Sea for?
context: I am. And you are?\I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person.\I understand.\What is Your Highness here at Chang Sea for? response:	The mermaid clan.
context: I am Crown Prince Ye Hua.\Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person.\I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan. response:	So it was because of the mermaid clan.
context: Your High-\I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person.\I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan. response:	I knew the Celestial Palace would make a move soon.
context: I came undercover to Chang Sea on Heavenly Lord's orders.\I don't want anyone else to know my identity.\Including that person.\I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon. response:	How did Your Highness know my identity?
context: I don't want anyone else to know my identity.\Including that person.\I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity? response:	I heard from a general of one of the clans
context: Including that person.\I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans response:	that for the past thousands of years
context: I understand.\What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years response:	you've been helping the Water King of Chang Sea to ward off the mermaid clan.
context: What is Your Highness here at Chang Sea for?\The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan. response:	Furthermore, from your expression when you saw me
context: The mermaid clan.\So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me response:	I could tell you mistook me for your master, Mo Yuan.
context: So it was because of the mermaid clan.\I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan. response:	You are very meticulous in your observation. I am impressed.
context: I knew the Celestial Palace would make a move soon.\How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed. response:	Does Your Highness know where that Jade Purity Fan of Kunlun came from?
context: How did Your Highness know my identity?\I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from? response:	It was in the mortal world and then ended up in Li Jing's hands.
context: I heard from a general of one of the clans\that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands. response:	Since it was a magic artifact of Kunlun Mountain, I asked him for it.
context: that for the past thousands of years\you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it. response:	Li Jing?
context: you've been helping the Water King of Chang Sea to ward off the mermaid clan.\Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing? response:	Your Highness, please come with me to Chang Sea and tell me in detail.
context: Furthermore, from your expression when you saw me\I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail. response:	Don't call me Your Highness.
context: I could tell you mistook me for your master, Mo Yuan.\You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness. response:	You can call me Hua Ye instead.
context: You are very meticulous in your observation. I am impressed.\Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead. response:	This is the Crystal Palace of Chang Sea.
context: Does Your Highness know where that Jade Purity Fan of Kunlun came from?\It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea. response:	After entering here, you will have left the mortal world
context: It was in the mortal world and then ended up in Li Jing's hands.\Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world response:	and entered into the immortal world.
context: Since it was a magic artifact of Kunlun Mountain, I asked him for it.\Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world. response:	Ye Hua, what were you two talking so seriously about just now?
context: Li Jing?\Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now? response:	I was asking him if he could not expose the fact this this fan was a counterfeit
context: Your Highness, please come with me to Chang Sea and tell me in detail.\Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit response:	so that I won't be embarrassed before my wife.
context: Don't call me Your Highness.\You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife. response:	Yeah, right. I don't believe you.
context: You can call me Hua Ye instead.\This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you. response:	You two talked for that long about this?
context: This is the Crystal Palace of Chang Sea.\After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this? response:	What do you think we were talking about?
context: After entering here, you will have left the mortal world\and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about? response:	Look at him. He's dressed like that, which must mean he's very important.
context: and entered into the immortal world.\Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important. response:	After seeing how amazing you were, is he trying to recruit you as a general?
context: Ye Hua, what were you two talking so seriously about just now?\I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general? response:	You should read less plays.
context: I was asking him if he could not expose the fact this this fan was a counterfeit\so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays. response:	Did I guess wrong?
context: so that I won't be embarrassed before my wife.\Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong? response:	I'm a mortal. How could an immortal regard me so highly?
context: Yeah, right. I don't believe you.\You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly? response:	He's an immortal?
context: You two talked for that long about this?\What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal? response:	Sir, do you know that one day in the immortal world
context: What do you think we were talking about?\Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world response:	is one year in the mortal world?
context: Look at him. He's dressed like that, which must mean he's very important.\After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world? response:	Once you enter into the sea, every day that goes by
context: After seeing how amazing you were, is he trying to recruit you as a general?\You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by response:	is one whole year, with all the seasons.
context: You should read less plays.\Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons. response:	I read about that in a play.
context: Did I guess wrong?\I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play. response:	A few months for you guys is a lifetime for us.
context: I'm a mortal. How could an immortal regard me so highly?\He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us. response:	So what if we live for a long time?
context: He's an immortal?\Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time? response:	I've been spending the past 70,000 years looking for someone
context: Sir, do you know that one day in the immortal world\is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone response:	but haven't made any progress at all.
context: is one year in the mortal world?\Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all. response:	Isn't that like living in vain?
context: Once you enter into the sea, every day that goes by\is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain? response:	Are you looking for a relative?
context: is one whole year, with all the seasons.\I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative? response:	Not a relative, but someone more important than a relative.
context: I read about that in a play.\A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative. response:	Let's go.
context: A few months for you guys is a lifetime for us.\So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go. response:	Big Brother.
context: So what if we live for a long time?\I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go.\Big Brother. response:	Yan Zhi.
context: I've been spending the past 70,000 years looking for someone\but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go.\Big Brother.\Yan Zhi. response:	Big Brother, I've made all the arrangements.
context: but haven't made any progress at all.\Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go.\Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements. response:	I'll send you to a secret place
context: Isn't that like living in vain?\Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go.\Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place response:	where Second Brother absolutely won't be able to find you.
context: Are you looking for a relative?\Not a relative, but someone more important than a relative.\Let's go.\Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you. response:	Why do I have to flee from him?
context: Not a relative, but someone more important than a relative.\Let's go.\Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him? response:	Second Brother has already been Ghost Lord for 70,000 years.
context: Let's go.\Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years. response:	His position is stable.
context: Big Brother.\Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable. response:	And Father's trusted confidants are all gone.
context: Yan Zhi.\Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone. response:	Big Brother, just find a place to settle down.
context: Big Brother, I've made all the arrangements.\I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down. response:	All the jewels I've collected through the years
context: I'll send you to a secret place\where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years response:	should be enough for you to live a luxurious life.
context: where Second Brother absolutely won't be able to find you.\Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life. response:	Go away!
context: Why do I have to flee from him?\Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away! response:	Big Brother, you...
context: Second Brother has already been Ghost Lord for 70,000 years.\His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away!\Big Brother, you... response:	Yan Zhi!
context: His position is stable.\And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away!\Big Brother, you...\Yan Zhi! response:	Come here, Yan Zhi.
context: And Father's trusted confidants are all gone.\Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away!\Big Brother, you...\Yan Zhi!\Come here, Yan Zhi. response:	Are you okay?
context: Big Brother, just find a place to settle down.\All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away!\Big Brother, you...\Yan Zhi!\Come here, Yan Zhi.\Are you okay? response:	It's my fault.
context: All the jewels I've collected through the years\should be enough for you to live a luxurious life.\Go away!\Big Brother, you...\Yan Zhi!\Come here, Yan Zhi.\Are you okay?\It's my fault. response:	What I've been through in prison for the past 70,000 years...
context: should be enough for you to live a luxurious life.\Go away!\Big Brother, you...\Yan Zhi!\Come here, Yan Zhi.\Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years... response:	you can't even imagine it.
context: Go away!\Big Brother, you...\Yan Zhi!\Come here, Yan Zhi.\Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it. response:	Since I just came out, my mood is all over the place.
context: Big Brother, you...\Yan Zhi!\Come here, Yan Zhi.\Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place. response:	I lost control.
context: Yan Zhi!\Come here, Yan Zhi.\Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control. response:	I understand.
context: Come here, Yan Zhi.\Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control.\I understand. response:	Yan Zhi, it's good that you understand.
context: Are you okay?\It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control.\I understand.\Yan Zhi, it's good that you understand. response:	Yan Zhi, I absolutely won't let Li Jing get away with this.
context: It's my fault.\What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control.\I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this. response:	Big Brother!
context: What I've been through in prison for the past 70,000 years...\you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control.\I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother! response:	All right. I won't say anything else you wouldn't want to hear.
context: you can't even imagine it.\Since I just came out, my mood is all over the place.\I lost control.\I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear. response:	Your Highnesses, I've made all the arrangements.
context: Since I just came out, my mood is all over the place.\I lost control.\I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements. response:	We can go to Chang Sea now.
context: I lost control.\I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now. response:	Chang Sea?
context: I understand.\Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea? response:	That's right. My mother was from the mermaid clan of Chang Sea.
context: Yan Zhi, it's good that you understand.\Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea. response:	For now, it seems they are the only ones I can rely on.
context: Yan Zhi, I absolutely won't let Li Jing get away with this.\Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on. response:	- But Big Brother... - Yan Zhi.
context: Big Brother!\All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi. response:	I just want to find a safe place I can live.
context: All right. I won't say anything else you wouldn't want to hear.\Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live. response:	You should know very well
context: Your Highnesses, I've made all the arrangements.\We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well response:	that Li Jing and I hate each other because of our mothers' deaths.
context: We can go to Chang Sea now.\Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths. response:	He'll eventually find out that I've escaped.
context: Chang Sea?\That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped. response:	At that time, he'll definitely send men to come kill me.
context: That's right. My mother was from the mermaid clan of Chang Sea.\For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me. response:	For now, it seems like only my mother's clan can protect me, right?
context: For now, it seems they are the only ones I can rely on.\- But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right? response:	You and Second Brother are both equally important to me.
context: - But Big Brother... - Yan Zhi.\I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me. response:	I really don't want to see you two fighting to the death.
