context: The Earth has a skin, response:	and that skin is plagued by many different things.
context: Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct?\Yeah.\What's that about?\You don't know, Granny?\Souta-kun... response:	He saw all of the destruction and despair.
context: I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct?\Yeah.\What's that about?\You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair. response:	I didn't know you had such a tough time...
context: It all comes back to me...\The Premium Ambriel, correct?\Yeah.\What's that about?\You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time... response:	You must have had it rough, Souta-kun.
context: The Premium Ambriel, correct?\Yeah.\What's that about?\You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun. response:	I'll help you learn to swim, Souta.
context: Yeah.\What's that about?\You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta. response:	Like a grandma taking care of her grandson.
context: What's that about?\You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson. response:	Yeah.
context: You don't know, Granny?\Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah. response:	Ruri, watch after little Nanami and little Megumu.
context: Souta-kun...\He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu. response:	I'll take care of little Souta, here.
context: He saw all of the destruction and despair.\I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here. response:	Come to me.
context: I didn't know you had such a tough time...\You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me. response:	R-Right.
context: You must have had it rough, Souta-kun.\I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me.\R-Right. response:	Just think of it as a giant puddle.
context: I'll help you learn to swim, Souta.\Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me.\R-Right.\Just think of it as a giant puddle. response:	Come on.
context: Like a grandma taking care of her grandson.\Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me.\R-Right.\Just think of it as a giant puddle.\Come on. response:	Barf, barf.
context: Yeah.\Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me.\R-Right.\Just think of it as a giant puddle.\Come on.\Barf, barf. response:	Are you okay?
context: Ruri, watch after little Nanami and little Megumu.\I'll take care of little Souta, here.\Come to me.\R-Right.\Just think of it as a giant puddle.\Come on.\Barf, barf.\Are you okay? response:	Sorry for making a mess...
context: I'll take care of little Souta, here.\Come to me.\R-Right.\Just think of it as a giant puddle.\Come on.\Barf, barf.\Are you okay?\Sorry for making a mess... response:	It's fine.
context: Come to me.\R-Right.\Just think of it as a giant puddle.\Come on.\Barf, barf.\Are you okay?\Sorry for making a mess...\It's fine. response:	Want to take a break?
context: R-Right.\Just think of it as a giant puddle.\Come on.\Barf, barf.\Are you okay?\Sorry for making a mess...\It's fine.\Want to take a break? response:	Yeah... I think I'll do that, Granny.
context: Just think of it as a giant puddle.\Come on.\Barf, barf.\Are you okay?\Sorry for making a mess...\It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny. response:	Here you go.
context: Come on.\Barf, barf.\Are you okay?\Sorry for making a mess...\It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go. response:	Huh?
context: Barf, barf.\Are you okay?\Sorry for making a mess...\It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go.\Huh? response:	Oh, thanks.
context: Are you okay?\Sorry for making a mess...\It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go.\Huh?\Oh, thanks. response:	This doesn't taste like anything!
context: Sorry for making a mess...\It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go.\Huh?\Oh, thanks.\This doesn't taste like anything! response:	What's in here?!
context: It's fine.\Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go.\Huh?\Oh, thanks.\This doesn't taste like anything!\What's in here?! response:	I got some milk and put enough water into it
context: Want to take a break?\Yeah... I think I'll do that, Granny.\Here you go.\Huh?\Oh, thanks.\This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it response:	until it looked like your average sports drink.
context: Yeah... I think I'll do that, Granny.\Here you go.\Huh?\Oh, thanks.\This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink. response:	Would you like a popsicle for 100 yen to go along with that?
context: Here you go.\Huh?\Oh, thanks.\This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that? response:	You were trying to sell me things?!
context: Huh?\Oh, thanks.\This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?! response:	Oh, I didn't really...
context: Oh, thanks.\This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really... response:	I gave that to you because I thought you needed it.
context: This doesn't taste like anything!\What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it. response:	You don't have to buy anything.
context: What's in here?!\I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything. response:	I'll take one.
context: I got some milk and put enough water into it\until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one. response:	You're a nice guy.
context: until it looked like your average sports drink.\Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one.\You're a nice guy. response:	She'll move the story to the next stage...
context: Would you like a popsicle for 100 yen to go along with that?\You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one.\You're a nice guy.\She'll move the story to the next stage... response:	It's a story flag.
context: You were trying to sell me things?!\Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one.\You're a nice guy.\She'll move the story to the next stage...\It's a story flag. response:	Is something wrong?
context: Oh, I didn't really...\I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one.\You're a nice guy.\She'll move the story to the next stage...\It's a story flag.\Is something wrong? response:	Oh, sorry.
context: I gave that to you because I thought you needed it.\You don't have to buy anything.\I'll take one.\You're a nice guy.\She'll move the story to the next stage...\It's a story flag.\Is something wrong?\Oh, sorry. response:	Here's the 100 yen.
context: You don't have to buy anything.\I'll take one.\You're a nice guy.\She'll move the story to the next stage...\It's a story flag.\Is something wrong?\Oh, sorry.\Here's the 100 yen. response:	Thanks.
context: I'll take one.\You're a nice guy.\She'll move the story to the next stage...\It's a story flag.\Is something wrong?\Oh, sorry.\Here's the 100 yen.\Thanks. response:	You're here on a field trip?
context: You're a nice guy.\She'll move the story to the next stage...\It's a story flag.\Is something wrong?\Oh, sorry.\Here's the 100 yen.\Thanks.\You're here on a field trip? response:	Y-Yeah.
context: She'll move the story to the next stage...\It's a story flag.\Is something wrong?\Oh, sorry.\Here's the 100 yen.\Thanks.\You're here on a field trip?\Y-Yeah. response:	My name's Hatate Souta.
context: It's a story flag.\Is something wrong?\Oh, sorry.\Here's the 100 yen.\Thanks.\You're here on a field trip?\Y-Yeah.\My name's Hatate Souta. response:	I'm Daishikyougawa Kurumiko.
context: Is something wrong?\Oh, sorry.\Here's the 100 yen.\Thanks.\You're here on a field trip?\Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko. response:	Daishikyougawa (Bishop)?!
context: Oh, sorry.\Here's the 100 yen.\Thanks.\You're here on a field trip?\Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?! response:	Are you sure you're not getting heat stroke?
context: Here's the 100 yen.\Thanks.\You're here on a field trip?\Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke? response:	No, I'm fine.
context: Thanks.\You're here on a field trip?\Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine. response:	Is this your job?
context: You're here on a field trip?\Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job? response:	Are you always around here?
context: Y-Yeah.\My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job?\Are you always around here? response:	You in middle school?
context: My name's Hatate Souta.\I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job?\Are you always around here?\You in middle school? response:	S-Something like that.
context: I'm Daishikyougawa Kurumiko.\Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job?\Are you always around here?\You in middle school?\S-Something like that. response:	I-I'll see you later.
context: Daishikyougawa (Bishop)?!\Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job?\Are you always around here?\You in middle school?\S-Something like that.\I-I'll see you later. response:	Please buy something again.
context: Are you sure you're not getting heat stroke?\No, I'm fine.\Is this your job?\Are you always around here?\You in middle school?\S-Something like that.\I-I'll see you later.\Please buy something again. response:	Kikuno-senpai and Rin-chan-senpai,
context: No, I'm fine.\Is this your job?\Are you always around here?\You in middle school?\S-Something like that.\I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai, response:	keep whispering this chant every time they get close to me.
context: Is this your job?\Are you always around here?\You in middle school?\S-Something like that.\I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me. response:	Don't make people get the wrong idea.
context: Are you always around here?\You in middle school?\S-Something like that.\I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea. response:	We just told you the formulas you needed to know.
context: You in middle school?\S-Something like that.\I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know. response:	I'm terrible with numbers.
context: S-Something like that.\I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers. response:	I was wondering why you got assigned to the
context: I-I'll see you later.\Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the response:	forest trip when your grades were so good...
context: Please buy something again.\Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good... response:	Sou-kun, were you able to swim again?
context: Kikuno-senpai and Rin-chan-senpai,\keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again? response:	That's terrible!
context: keep whispering this chant every time they get close to me.\Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible! response:	You've been through so much...
context: Don't make people get the wrong idea.\We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible!\You've been through so much... response:	How long do you have to keep going through all of this?
context: We just told you the formulas you needed to know.\I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible!\You've been through so much...\How long do you have to keep going through all of this? response:	Akane...
context: I'm terrible with numbers.\I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible!\You've been through so much...\How long do you have to keep going through all of this?\Akane... response:	You're such a good girl,
context: I was wondering why you got assigned to the\forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible!\You've been through so much...\How long do you have to keep going through all of this?\Akane...\You're such a good girl, response:	crying for little Souta over here.
context: forest trip when your grades were so good...\Sou-kun, were you able to swim again?\That's terrible!\You've been through so much...\How long do you have to keep going through all of this?\Akane...\You're such a good girl,\crying for little Souta over here. response:	I'd love for you two to have a kid and
context: Sou-kun, were you able to swim again?\That's terrible!\You've been through so much...\How long do you have to keep going through all of this?\Akane...\You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and response:	show me a cute grandson.
context: That's terrible!\You've been through so much...\How long do you have to keep going through all of this?\Akane...\You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson. response:	No! No!
context: You've been through so much...\How long do you have to keep going through all of this?\Akane...\You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson.\No! No! response:	I'm sure Nanami-chan and Megu-chan
context: How long do you have to keep going through all of this?\Akane...\You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan response:	would make a cuter child!
context: Akane...\You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child! response:	Why me?!
context: You're such a good girl,\crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?! response:	Not sure I can help there...
context: crying for little Souta over here.\I'd love for you two to have a kid and\show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?!\Not sure I can help there... response:	Actually, how old are you really, anyway?
context: I'd love for you two to have a kid and\show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?!\Not sure I can help there...\Actually, how old are you really, anyway? response:	It's rude to worry about a woman's age.
context: show me a cute grandson.\No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?!\Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age. response:	Yeah, but I'm kind of curious to know if you've always looked so young.
context: No! No!\I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?!\Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young. response:	Well, if you want to know...
context: I'm sure Nanami-chan and Megu-chan\would make a cuter child!\Why me?!\Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know... response:	Take a look.
context: would make a cuter child!\Why me?!\Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look. response:	Who's that?
context: Why me?!\Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look.\Who's that? response:	You shrink when you get older.
context: Not sure I can help there...\Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look.\Who's that?\You shrink when you get older. response:	No... No... No... No...
context: Actually, how old are you really, anyway?\It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look.\Who's that?\You shrink when you get older.\No... No... No... No... response:	A few decades and you'll look like me.
context: It's rude to worry about a woman's age.\Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look.\Who's that?\You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me. response:	Seriously?!
context: Yeah, but I'm kind of curious to know if you've always looked so young.\Well, if you want to know...\Take a look.\Who's that?\You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me.\Seriously?! response:	Okay, everyone!
context: Well, if you want to know...\Take a look.\Who's that?\You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me.\Seriously?!\Okay, everyone! response:	We're about to reach the halfway point for
context: Take a look.\Who's that?\You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me.\Seriously?!\Okay, everyone!\We're about to reach the halfway point for response:	both the forest trip and the ocean trip.
context: Who's that?\You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me.\Seriously?!\Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip. response:	I can finally get away from the ocean.
context: You shrink when you get older.\No... No... No... No...\A few decades and you'll look like me.\Seriously?!\Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean. response:	So tomorrow, as a change of pace,
context: No... No... No... No...\A few decades and you'll look like me.\Seriously?!\Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace, response:	we'll have the guy and girls
context: A few decades and you'll look like me.\Seriously?!\Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls response:	from the forest trip go to the ocean,
context: Seriously?!\Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean, response:	and vice-versa.
context: Okay, everyone!\We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa. response:	Huh?
context: We're about to reach the halfway point for\both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa.\Huh? response:	The beach!
context: both the forest trip and the ocean trip.\I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa.\Huh?\The beach! response:	The beach is nice.
context: I can finally get away from the ocean.\So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa.\Huh?\The beach!\The beach is nice. response:	Yeah, it really feels like summer.
context: So tomorrow, as a change of pace,\we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa.\Huh?\The beach!\The beach is nice.\Yeah, it really feels like summer. response:	I've been had.
context: we'll have the guy and girls\from the forest trip go to the ocean,\and vice-versa.\Huh?\The beach!\The beach is nice.\Yeah, it really feels like summer.\I've been had. response:	Souta-kun! It's the beach! The beach!
context: from the forest trip go to the ocean,\and vice-versa.\Huh?\The beach!\The beach is nice.\Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach! response:	Yeah, I guess it is.
context: and vice-versa.\Huh?\The beach!\The beach is nice.\Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is. response:	Let's go. It's the beach!
context: Huh?\The beach!\The beach is nice.\Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach! response:	Wai
context: The beach!\The beach is nice.\Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach!\Wai response:	Barf! Barf! Barf!
context: The beach is nice.\Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach!\Wai\Barf! Barf! Barf! response:	I'm fine.
context: Yeah, it really feels like summer.\I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach!\Wai\Barf! Barf! Barf!\I'm fine. response:	You guys have fun.
context: I've been had.\Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach!\Wai\Barf! Barf! Barf!\I'm fine.\You guys have fun. response:	But...
context: Souta-kun! It's the beach! The beach!\Yeah, I guess it is.\Let's go. It's the beach!\Wai\Barf! Barf! Barf!\I'm fine.\You guys have fun.\But... response:	I can't go and have fun
context: Yeah, I guess it is.\Let's go. It's the beach!\Wai\Barf! Barf! Barf!\I'm fine.\You guys have fun.\But...\I can't go and have fun response:	all by myself without you!
context: Let's go. It's the beach!\Wai\Barf! Barf! Barf!\I'm fine.\You guys have fun.\But...\I can't go and have fun\all by myself without you! response:	Yahoo!
context: Wai\Barf! Barf! Barf!\I'm fine.\You guys have fun.\But...\I can't go and have fun\all by myself without you!\Yahoo! response:	That was fast.
context: Barf! Barf! Barf!\I'm fine.\You guys have fun.\But...\I can't go and have fun\all by myself without you!\Yahoo!\That was fast. response:	You just left him there!
context: I'm fine.\You guys have fun.\But...\I can't go and have fun\all by myself without you!\Yahoo!\That was fast.\You just left him there! response:	That's fine.
context: You guys have fun.\But...\I can't go and have fun\all by myself without you!\Yahoo!\That was fast.\You just left him there!\That's fine. response:	I'd feel worse if you guys just sat here worrying about me instead of having fun.
context: But...\I can't go and have fun\all by myself without you!\Yahoo!\That was fast.\You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun. response:	Sou-kun...
context: I can't go and have fun\all by myself without you!\Yahoo!\That was fast.\You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun... response:	I'll go and have fun.
context: all by myself without you!\Yahoo!\That was fast.\You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun. response:	Let's go, Rin-chan.
context: Yahoo!\That was fast.\You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun.\Let's go, Rin-chan. response:	If Souta insists...
context: That was fast.\You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun.\Let's go, Rin-chan.\If Souta insists... response:	You're not going to go swimming today, either, huh?
context: You just left him there!\That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun.\Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh? response:	Nope.
context: That's fine.\I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun.\Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh?\Nope. response:	The water's too much.
context: I'd feel worse if you guys just sat here worrying about me instead of having fun.\Sou-kun...\I'll go and have fun.\Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh?\Nope.\The water's too much. response:	You must be working pretty hard every day.
context: Sou-kun...\I'll go and have fun.\Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh?\Nope.\The water's too much.\You must be working pretty hard every day. response:	If I don't work hard,
context: I'll go and have fun.\Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh?\Nope.\The water's too much.\You must be working pretty hard every day.\If I don't work hard, response:	my parents in heaven won't be able to relax.
context: Let's go, Rin-chan.\If Souta insists...\You're not going to go swimming today, either, huh?\Nope.\The water's too much.\You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax. response:	Kurumiko...
context: If Souta insists...\You're not going to go swimming today, either, huh?\Nope.\The water's too much.\You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko... response:	I-I have new products today.
context: You're not going to go swimming today, either, huh?\Nope.\The water's too much.\You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today. response:	I can put these on your tab.
context: Nope.\The water's too much.\You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today.\I can put these on your tab. response:	My mom and dad always said that...
context: The water's too much.\You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today.\I can put these on your tab.\My mom and dad always said that... response:	I shouldn't depend on other people and remember that
context: You must be working pretty hard every day.\If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today.\I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that response:	That's why I'm all right.
context: If I don't work hard,\my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today.\I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right. response:	You're strong, Kurumiko.
context: my parents in heaven won't be able to relax.\Kurumiko...\I-I have new products today.\I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko. response:	That's not true.
context: Kurumiko...\I-I have new products today.\I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko.\That's not true. response:	Souta-kun!
context: I-I have new products today.\I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko.\That's not true.\Souta-kun! response:	It's a sea cucumber!
context: I can put these on your tab.\My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko.\That's not true.\Souta-kun!\It's a sea cucumber! response:	It's so slimy!
context: My mom and dad always said that...\I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko.\That's not true.\Souta-kun!\It's a sea cucumber!\It's so slimy! response:	You're always with a different girl, aren't you?
context: I shouldn't depend on other people and remember that\That's why I'm all right.\You're strong, Kurumiko.\That's not true.\Souta-kun!\It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you? response:	Yeah, I guess so.
context: That's why I'm all right.\You're strong, Kurumiko.\That's not true.\Souta-kun!\It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so. response:	I finally got it out.
context: You're strong, Kurumiko.\That's not true.\Souta-kun!\It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out. response:	Hm? Who's this?
context: That's not true.\Souta-kun!\It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out.\Hm? Who's this? response:	She's my friend.
context: Souta-kun!\It's a sea cucumber!\It's so slimy!\You're always with a different girl, aren't you?\Yeah, I guess so.\I finally got it out.\Hm? Who's this?\She's my friend. response:	Daishikyougawa Kurumiko.
