context: The three of us, in our two-timing relationship, response:	started living together so we could grow closer.
context: Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san.\I want us to be friends.\I do, too!\You're so adorable. response:	Although we're playing right into Naoya's hands if we get friendly.
context: I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san.\I want us to be friends.\I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly. response:	You're so awesome, though!
context: B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san.\I want us to be friends.\I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though! response:	It'll be so much fun if we become friends!
context: I-I know.\But I like you, Saki-san.\I want us to be friends.\I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends! response:	Y-You have high expectations.
context: But I like you, Saki-san.\I want us to be friends.\I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations. response:	No matter what we do, it'll be fun as hell!
context: I want us to be friends.\I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell! response:	Wait...
context: I do, too!\You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait... response:	So how are we going to be friends?
context: You're so adorable.\Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends? response:	I happen to like gaming.
context: Although we're playing right into Naoya's hands if we get friendly.\You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends?\I happen to like gaming. response:	Um...
context: You're so awesome, though!\It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends?\I happen to like gaming.\Um... response:	Will you play with me?!
context: It'll be so much fun if we become friends!\Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends?\I happen to like gaming.\Um...\Will you play with me?! response:	I used to play that game.
context: Y-You have high expectations.\No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends?\I happen to like gaming.\Um...\Will you play with me?!\I used to play that game. response:	I'd totally do that.
context: No matter what we do, it'll be fun as hell!\Wait...\So how are we going to be friends?\I happen to like gaming.\Um...\Will you play with me?!\I used to play that game.\I'd totally do that. response:	Really?!
context: Wait...\So how are we going to be friends?\I happen to like gaming.\Um...\Will you play with me?!\I used to play that game.\I'd totally do that.\Really?! response:	So how many hours did you play?
context: So how are we going to be friends?\I happen to like gaming.\Um...\Will you play with me?!\I used to play that game.\I'd totally do that.\Really?!\So how many hours did you play? response:	Um...
context: I happen to like gaming.\Um...\Will you play with me?!\I used to play that game.\I'd totally do that.\Really?!\So how many hours did you play?\Um... response:	Probably about 1,000 hours.
context: Um...\Will you play with me?!\I used to play that game.\I'd totally do that.\Really?!\So how many hours did you play?\Um...\Probably about 1,000 hours. response:	Seriously? Wow!
context: Will you play with me?!\I used to play that game.\I'd totally do that.\Really?!\So how many hours did you play?\Um...\Probably about 1,000 hours.\Seriously? Wow! response:	I'm not good at it, though.
context: I used to play that game.\I'd totally do that.\Really?!\So how many hours did you play?\Um...\Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though. response:	Would you really say that after 1,000 hours?
context: I'd totally do that.\Really?!\So how many hours did you play?\Um...\Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours? response:	No, I'm really not.
context: Really?!\So how many hours did you play?\Um...\Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not. response:	Sure, sure.
context: So how many hours did you play?\Um...\Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure. response:	Let's see what you've got.
context: Um...\Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure.\Let's see what you've got. response:	I can't wait!
context: Probably about 1,000 hours.\Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure.\Let's see what you've got.\I can't wait! response:	I'll d-do what I can!
context: Seriously? Wow!\I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure.\Let's see what you've got.\I can't wait!\I'll d-do what I can! response:	Huh? You're dead already?
context: I'm not good at it, though.\Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure.\Let's see what you've got.\I can't wait!\I'll d-do what I can!\Huh? You're dead already? response:	S-Sorry.
context: Would you really say that after 1,000 hours?\No, I'm really not.\Sure, sure.\Let's see what you've got.\I can't wait!\I'll d-do what I can!\Huh? You're dead already?\S-Sorry. response:	Don't worry. It's all right.
context: No, I'm really not.\Sure, sure.\Let's see what you've got.\I can't wait!\I'll d-do what I can!\Huh? You're dead already?\S-Sorry.\Don't worry. It's all right. response:	Okay, could you scout from the top of the mountain?
context: Sure, sure.\Let's see what you've got.\I can't wait!\I'll d-do what I can!\Huh? You're dead already?\S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain? response:	Okay.
context: Let's see what you've got.\I can't wait!\I'll d-do what I can!\Huh? You're dead already?\S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay. response:	FALL
context: I can't wait!\I'll d-do what I can!\Huh? You're dead already?\S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay.\FALL response:	Sorry.
context: I'll d-do what I can!\Huh? You're dead already?\S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay.\FALL\Sorry. response:	You can at least drive, right?
context: Huh? You're dead already?\S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay.\FALL\Sorry.\You can at least drive, right? response:	I'm going to crash!
context: S-Sorry.\Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay.\FALL\Sorry.\You can at least drive, right?\I'm going to crash! response:	CRASH
context: Don't worry. It's all right.\Okay, could you scout from the top of the mountain?\Okay.\FALL\Sorry.\You can at least drive, right?\I'm going to crash!\CRASH response:	You really do suck.
context: Okay, could you scout from the top of the mountain?\Okay.\FALL\Sorry.\You can at least drive, right?\I'm going to crash!\CRASH\You really do suck. response:	Can anyone who's played 1,000 hours be this bad?
context: Okay.\FALL\Sorry.\You can at least drive, right?\I'm going to crash!\CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad? response:	I'm sorry I couldn't live up to your expectations.
context: FALL\Sorry.\You can at least drive, right?\I'm going to crash!\CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations. response:	It's not fun playing with me, is it?
context: Sorry.\You can at least drive, right?\I'm going to crash!\CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it? response:	That's not true.
context: You can at least drive, right?\I'm going to crash!\CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true. response:	Carrying the team is actually fun!
context: I'm going to crash!\CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun! response:	I can really show off my skills!
context: CRASH\You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun!\I can really show off my skills! response:	Really?
context: You really do suck.\Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun!\I can really show off my skills!\Really? response:	All right.
context: Can anyone who's played 1,000 hours be this bad?\I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun!\I can really show off my skills!\Really?\All right. response:	We aren't going to sleep until I get you a kill.
context: I'm sorry I couldn't live up to your expectations.\It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun!\I can really show off my skills!\Really?\All right.\We aren't going to sleep until I get you a kill. response:	I don't think we'll ever get to sleep, then.
context: It's not fun playing with me, is it?\That's not true.\Carrying the team is actually fun!\I can really show off my skills!\Really?\All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then. response:	Don't worry.
context: That's not true.\Carrying the team is actually fun!\I can really show off my skills!\Really?\All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry. response:	Just follow me.
context: Carrying the team is actually fun!\I can really show off my skills!\Really?\All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me. response:	O-Okay.
context: I can really show off my skills!\Really?\All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me.\O-Okay. response:	Enemy footsteps!
context: Really?\All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me.\O-Okay.\Enemy footsteps! response:	Ahead!
context: All right.\We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me.\O-Okay.\Enemy footsteps!\Ahead! response:	They got me again.
context: We aren't going to sleep until I get you a kill.\I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me.\O-Okay.\Enemy footsteps!\Ahead!\They got me again. response:	Oh, dear.
context: I don't think we'll ever get to sleep, then.\Don't worry.\Just follow me.\O-Okay.\Enemy footsteps!\Ahead!\They got me again.\Oh, dear. response:	It's all right.
context: Don't worry.\Just follow me.\O-Okay.\Enemy footsteps!\Ahead!\They got me again.\Oh, dear.\It's all right. response:	I'll help you... out!
context: Just follow me.\O-Okay.\Enemy footsteps!\Ahead!\They got me again.\Oh, dear.\It's all right.\I'll help you... out! response:	You're so good, Saki-san!
context: O-Okay.\Enemy footsteps!\Ahead!\They got me again.\Oh, dear.\It's all right.\I'll help you... out!\You're so good, Saki-san! response:	Nah.
context: Enemy footsteps!\Ahead!\They got me again.\Oh, dear.\It's all right.\I'll help you... out!\You're so good, Saki-san!\Nah. response:	You're so cute when you die right away, too.
context: Ahead!\They got me again.\Oh, dear.\It's all right.\I'll help you... out!\You're so good, Saki-san!\Nah.\You're so cute when you die right away, too. response:	How is that cute?
context: They got me again.\Oh, dear.\It's all right.\I'll help you... out!\You're so good, Saki-san!\Nah.\You're so cute when you die right away, too.\How is that cute? response:	Come on.
context: Oh, dear.\It's all right.\I'll help you... out!\You're so good, Saki-san!\Nah.\You're so cute when you die right away, too.\How is that cute?\Come on. response:	Hurry over here!
context: It's all right.\I'll help you... out!\You're so good, Saki-san!\Nah.\You're so cute when you die right away, too.\How is that cute?\Come on.\Hurry over here! response:	Not again.
context: I'll help you... out!\You're so good, Saki-san!\Nah.\You're so cute when you die right away, too.\How is that cute?\Come on.\Hurry over here!\Not again. response:	Okay, one more time.
context: You're so good, Saki-san!\Nah.\You're so cute when you die right away, too.\How is that cute?\Come on.\Hurry over here!\Not again.\Okay, one more time. response:	I'll give poor widdle you all my heals.
context: Nah.\You're so cute when you die right away, too.\How is that cute?\Come on.\Hurry over here!\Not again.\Okay, one more time.\I'll give poor widdle you all my heals. response:	Am I a baby now?!
context: You're so cute when you die right away, too.\How is that cute?\Come on.\Hurry over here!\Not again.\Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?! response:	It looks like you're having a lot more fun now.
context: How is that cute?\Come on.\Hurry over here!\Not again.\Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now. response:	Yeah!
context: Come on.\Hurry over here!\Not again.\Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah! response:	I'm having fun besting you at something for the first time!
context: Hurry over here!\Not again.\Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time! response:	I'm having mixed feelings!
context: Not again.\Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings! response:	Look, someone's AFK!
context: Okay, one more time.\I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK! response:	Come on.
context: I'll give poor widdle you all my heals.\Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK!\Come on. response:	Take careful aim.
context: Am I a baby now?!\It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK!\Come on.\Take careful aim. response:	Right!
context: It looks like you're having a lot more fun now.\Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK!\Come on.\Take careful aim.\Right! response:	Aim really carefully.
context: Yeah!\I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK!\Come on.\Take careful aim.\Right!\Aim really carefully. response:	Stay calm.
context: I'm having fun besting you at something for the first time!\I'm having mixed feelings!\Look, someone's AFK!\Come on.\Take careful aim.\Right!\Aim really carefully.\Stay calm. response:	O-Okay.
context: I'm having mixed feelings!\Look, someone's AFK!\Come on.\Take careful aim.\Right!\Aim really carefully.\Stay calm.\O-Okay. response:	Fire!
context: Look, someone's AFK!\Come on.\Take careful aim.\Right!\Aim really carefully.\Stay calm.\O-Okay.\Fire! response:	Don't shoot me!
context: Come on.\Take careful aim.\Right!\Aim really carefully.\Stay calm.\O-Okay.\Fire!\Don't shoot me! response:	M-My hand slipped!
context: Take careful aim.\Right!\Aim really carefully.\Stay calm.\O-Okay.\Fire!\Don't shoot me!\M-My hand slipped! response:	Was that revenge for me being better?
context: Right!\Aim really carefully.\Stay calm.\O-Okay.\Fire!\Don't shoot me!\M-My hand slipped!\Was that revenge for me being better? response:	You're scary.
context: Aim really carefully.\Stay calm.\O-Okay.\Fire!\Don't shoot me!\M-My hand slipped!\Was that revenge for me being better?\You're scary. response:	No, I really...
context: Stay calm.\O-Okay.\Fire!\Don't shoot me!\M-My hand slipped!\Was that revenge for me being better?\You're scary.\No, I really... response:	Saki-san, I, uh...
context: O-Okay.\Fire!\Don't shoot me!\M-My hand slipped!\Was that revenge for me being better?\You're scary.\No, I really...\Saki-san, I, uh... response:	You're so hilarious, Nagisa-chan!
context: Fire!\Don't shoot me!\M-My hand slipped!\Was that revenge for me being better?\You're scary.\No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan! response:	S-Saki-san?
context: Don't shoot me!\M-My hand slipped!\Was that revenge for me being better?\You're scary.\No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san? response:	Who misses in that situation?!
context: M-My hand slipped!\Was that revenge for me being better?\You're scary.\No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?! response:	And the kill you finally got was on me!
context: Was that revenge for me being better?\You're scary.\No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me! response:	I-I'm sorry.
context: You're scary.\No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry. response:	It's fine.
context: No, I really...\Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry.\It's fine. response:	That was fun.
context: Saki-san, I, uh...\You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry.\It's fine.\That was fun. response:	Saki-san...
context: You're so hilarious, Nagisa-chan!\S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry.\It's fine.\That was fun.\Saki-san... response:	Besides, I thought my rival was perfect, but she's actually really clumsy.
context: S-Saki-san?\Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry.\It's fine.\That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy. response:	S-Saki-san...
context: Who misses in that situation?!\And the kill you finally got was on me!\I-I'm sorry.\It's fine.\That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san... response:	Hey, were you two playing together?
context: And the kill you finally got was on me!\I-I'm sorry.\It's fine.\That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together? response:	Naoya-kun...
context: I-I'm sorry.\It's fine.\That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together?\Naoya-kun... response:	Well, Nagisa-chan's my rival, but she's cute.
context: It's fine.\That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute. response:	Let's play again.
context: That was fun.\Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again. response:	Add me as a friend.
context: Saki-san...\Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend. response:	Okay!
context: Besides, I thought my rival was perfect, but she's actually really clumsy.\S-Saki-san...\Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend.\Okay! response:	I know. I'll watch some MeTube gameplay videos and practice playing.
context: S-Saki-san...\Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing. response:	Can I watch, too?
context: Hey, were you two playing together?\Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too? response:	WIN RATE
context: Naoya-kun...\Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE response:	TOP SNIPER
context: Well, Nagisa-chan's my rival, but she's cute.\Let's play again.\Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE\TOP SNIPER response:	Oh, her.
context: Let's play again.\Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE\TOP SNIPER\Oh, her. response:	She's one of the bad kind of booby streamers,
context: Add me as a friend.\Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE\TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers, response:	the ones who get views even though they suck.
context: Okay!\I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE\TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck. response:	Oh, but your boobies are good.
context: I know. I'll watch some MeTube gameplay videos and practice playing.\Can I watch, too?\WIN RATE\TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good. response:	Look at this.
context: Can I watch, too?\WIN RATE\TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this. response:	The thumbnail's so shameless.
context: WIN RATE\TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless. response:	TOP SNIPER
context: TOP SNIPER\Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless.\TOP SNIPER response:	Th-That's true.
context: Oh, her.\She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless.\TOP SNIPER\Th-That's true. response:	I hate her more than every other MeTuber right now.
context: She's one of the bad kind of booby streamers,\the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless.\TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now. response:	Huh?
context: the ones who get views even though they suck.\Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless.\TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now.\Huh? response:	That uniform in the background...
context: Oh, but your boobies are good.\Look at this.\The thumbnail's so shameless.\TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now.\Huh?\That uniform in the background... response:	Isn't that from our school?
context: Look at this.\The thumbnail's so shameless.\TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now.\Huh?\That uniform in the background...\Isn't that from our school? response:	Girlfriend, Girlfriend
context: The thumbnail's so shameless.\TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now.\Huh?\That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend response:	I actually like the videos on this channel.
context: TOP SNIPER\Th-That's true.\I hate her more than every other MeTuber right now.\Huh?\That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel. response:	Naoya's hooked on boobs!
context: Th-That's true.\I hate her more than every other MeTuber right now.\Huh?\That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs! response:	Morning, Sakisaki.
context: I hate her more than every other MeTuber right now.\Huh?\That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki. response:	Oh, good morning.
context: Huh?\That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning. response:	Walking to school together again?
context: That uniform in the background...\Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning.\Walking to school together again? response:	You two sure are attached at the hip.
context: Isn't that from our school?\Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning.\Walking to school together again?\You two sure are attached at the hip. response:	Oh, yeah, for our club meeting today, Sensei is...
context: Girlfriend, Girlfriend\I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning.\Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is... response:	It's a steak lunch!
context: I actually like the videos on this channel.\Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning.\Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch! response:	Yum!
context: Naoya's hooked on boobs!\Morning, Sakisaki.\Oh, good morning.\Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum! response:	Let's play again when we get home, Nagisa-chan.
context: Morning, Sakisaki.\Oh, good morning.\Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan. response:	Okay.
context: Oh, good morning.\Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan.\Okay. response:	I've been studying videos in preparation.
context: Walking to school together again?\You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation. response:	The thumbnail for that video changed.
context: You two sure are attached at the hip.\Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation.\The thumbnail for that video changed. response:	Which video?
context: Oh, yeah, for our club meeting today, Sensei is...\It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation.\The thumbnail for that video changed.\Which video? response:	TOP SNIPER
context: It's a steak lunch!\Yum!\Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation.\The thumbnail for that video changed.\Which video?\TOP SNIPER response:	WIN RATE
context: Yum!\Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation.\The thumbnail for that video changed.\Which video?\TOP SNIPER\WIN RATE response:	The one by that Milika person, with our uniform in the background.
context: Let's play again when we get home, Nagisa-chan.\Okay.\I've been studying videos in preparation.\The thumbnail for that video changed.\Which video?\TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background. response:	TOP SNIPER
context: Okay.\I've been studying videos in preparation.\The thumbnail for that video changed.\Which video?\TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER response:	It's the bad booby streamer!
context: I've been studying videos in preparation.\The thumbnail for that video changed.\Which video?\TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer! response:	TOP SNIPER
context: The thumbnail for that video changed.\Which video?\TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer!\TOP SNIPER response:	TOP SNIPER
context: Which video?\TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer!\TOP SNIPER\TOP SNIPER response:	Oh, but your boobies are good.
context: TOP SNIPER\WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer!\TOP SNIPER\TOP SNIPER\Oh, but your boobies are good. response:	The title hasn't changed, either.
context: WIN RATE\The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer!\TOP SNIPER\TOP SNIPER\Oh, but your boobies are good.\The title hasn't changed, either. response:	It's just the thumbnail.
context: The one by that Milika person, with our uniform in the background.\TOP SNIPER\It's the bad booby streamer!\TOP SNIPER\TOP SNIPER\Oh, but your boobies are good.\The title hasn't changed, either.\It's just the thumbnail. response:	Maybe she really is from our school, if she had to hide her uniform.
context: TOP SNIPER\It's the bad booby streamer!\TOP SNIPER\TOP SNIPER\Oh, but your boobies are good.\The title hasn't changed, either.\It's just the thumbnail.\Maybe she really is from our school, if she had to hide her uniform. response:	Seems like it.
context: It's the bad booby streamer!\TOP SNIPER\TOP SNIPER\Oh, but your boobies are good.\The title hasn't changed, either.\It's just the thumbnail.\Maybe she really is from our school, if she had to hide her uniform.\Seems like it. response:	What a loser, though.
context: TOP SNIPER\TOP SNIPER\Oh, but your boobies are good.\The title hasn't changed, either.\It's just the thumbnail.\Maybe she really is from our school, if she had to hide her uniform.\Seems like it.\What a loser, though. response:	If you have something to hide, you have to be really careful, like us.
