context: May I ask a question? response:	Queen to F3.
context: You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps?\I'm joking. response:	What are you dreaming of right now, sister?
context: Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister? response:	Have you seen Inko?
context: Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko? response:	The electromagnetic catapult, I think? She's probably with Rayet.
context: A wager?\If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet. response:	Thanks.
context: If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks. response:	Don't get lost.
context: Let me think...\My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost. response:	I'll try.
context: My sister's life, perhaps?\I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost.\I'll try. response:	Sweats?!
context: I'm joking.\What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost.\I'll try.\Sweats?! response:	You're too greedy, Yutaro-chan.
context: What are you dreaming of right now, sister?\Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost.\I'll try.\Sweats?!\You're too greedy, Yutaro-chan. response:	Tharsis. Details of its abilities, unknown.
context: Have you seen Inko?\The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost.\I'll try.\Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown. response:	High rate of attack evasion reported.
context: The electromagnetic catapult, I think? She's probably with Rayet.\Thanks.\Don't get lost.\I'll try.\Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported. response:	Confirmed pilot...
context: Thanks.\Don't get lost.\I'll try.\Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot... response:	A good luck charm given to me by a dear Terran friend when we arrived on Earth.
context: Don't get lost.\I'll try.\Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth. response:	Animals that fly through the air...
context: I'll try.\Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air... response:	It is just as you said, Slaine!
context: Sweats?!\You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine! response:	Is he equipped with a neuro-linked analytical engine too?
context: You're too greedy, Yutaro-chan.\Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too? response:	Indeed. But I don't have enough data.
context: Tharsis. Details of its abilities, unknown.\High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data. response:	It dodged my attacks as though it could see the future.
context: High rate of attack evasion reported.\Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future. response:	If that's true... it could be a problem.
context: Confirmed pilot...\A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem. response:	You monologuing?
context: A good luck charm given to me by a dear Terran friend when we arrived on Earth.\Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing? response:	I was talking to myself.
context: Animals that fly through the air...\It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing?\I was talking to myself. response:	That's what monologuing means.
context: It is just as you said, Slaine!\Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing?\I was talking to myself.\That's what monologuing means. response:	The warrior god Odin, rider of the mythological, eight-legged Sleipnir,
context: Is he equipped with a neuro-linked analytical engine too?\Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing?\I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir, response:	drank of the waters of MImisbrunnr and was granted vast wisdom.
context: Indeed. But I don't have enough data.\It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing?\I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom. response:	But the price he paid for that wisdom was his left eye.
context: It dodged my attacks as though it could see the future.\If that's true... it could be a problem.\You monologuing?\I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye. response:	Norse mythology.
context: If that's true... it could be a problem.\You monologuing?\I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology. response:	Know-it-all.
context: You monologuing?\I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all. response:	Don't make fun of me!
context: I was talking to myself.\That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all.\Don't make fun of me! response:	After the battle in Russia, I wanted off the ship.
context: That's what monologuing means.\The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship. response:	I was terrified.
context: The warrior god Odin, rider of the mythological, eight-legged Sleipnir,\drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified. response:	But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.
context: drank of the waters of MImisbrunnr and was granted vast wisdom.\But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die. response:	If your steed is ever acting up, come see me day or night.
context: But the price he paid for that wisdom was his left eye.\Norse mythology.\Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night. response:	I'll fix it up in a flash.
context: Norse mythology.\Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash. response:	I'll hold you to that.
context: Know-it-all.\Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that. response:	Okay, why don't we grab a bite before the battle? There's still some time.
context: Don't make fun of me!\After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time. response:	I'll pass.
context: After the battle in Russia, I wanted off the ship.\I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass. response:	When I was shot, my stomach was empty, apparently.
context: I was terrified.\But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently. response:	They say I would've died if my organs had been contaminated by stomach contents.
context: But then it hit me that if I did, I'd never be able to look Okojo in the eye when I do die.\If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents. response:	Oh. Sure.
context: If your steed is ever acting up, come see me day or night.\I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure. response:	But I might not get another chance, so maybe some tea.
context: I'll fix it up in a flash.\I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea. response:	What are his reel selections?
context: I'll hold you to that.\Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections? response:	He's got a 1 through 3, a 10 for emergencies, and one on the left and right.
context: Okay, why don't we grab a bite before the battle? There's still some time.\I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right. response:	It's specced out for high-G pivots.
context: I'll pass.\When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots. response:	Long, thin wires aren't cut out for that.
context: When I was shot, my stomach was empty, apparently.\They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that. response:	Found you!
context: They say I would've died if my organs had been contaminated by stomach contents.\Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you! response:	Hey, it's Team Deucalion.
context: Oh. Sure.\But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion. response:	So you're the Aldnoah unit that everybody's talking about, huh?
context: But I might not get another chance, so maybe some tea.\What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh? response:	I hear one of you is a Martian.
context: What are his reel selections?\He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian. response:	Don't get in our way on the battlefield, little ladies.
context: He's got a 1 through 3, a 10 for emergencies, and one on the left and right.\It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies. response:	What was their problem? Bunch of jerks!
context: It's specced out for high-G pivots.\Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks! response:	They're not wrong, though.
context: Long, thin wires aren't cut out for that.\Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though. response:	All Martians are the enemy.
context: Found you!\Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy. response:	I know that better than anyone.
context: Hey, it's Team Deucalion.\So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy.\I know that better than anyone. response:	You're so adorable, Rayet.
context: So you're the Aldnoah unit that everybody's talking about, huh?\I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet. response:	You've got the tsun part down pat.
context: I hear one of you is a Martian.\Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat. response:	Huh?
context: Don't get in our way on the battlefield, little ladies.\What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat.\Huh? response:	I wish you'd show a little more dere, though.
context: What was their problem? Bunch of jerks!\They're not wrong, though.\All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though. response:	What are you talking about?
context: They're not wrong, though.\All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though.\What are you talking about? response:	Want some candy?
context: All Martians are the enemy.\I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though.\What are you talking about?\Want some candy? response:	I'm gonna deck you.
context: I know that better than anyone.\You're so adorable, Rayet.\You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though.\What are you talking about?\Want some candy?\I'm gonna deck you. response:	We will enter defense airspace in 30 minutes.
context: You're so adorable, Rayet.\You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though.\What are you talking about?\Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes. response:	Please launch.
context: You've got the tsun part down pat.\Huh?\I wish you'd show a little more dere, though.\What are you talking about?\Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch. response:	Good hunting!
context: Huh?\I wish you'd show a little more dere, though.\What are you talking about?\Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch.\Good hunting! response:	Is my steed ready?
context: I wish you'd show a little more dere, though.\What are you talking about?\Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch.\Good hunting!\Is my steed ready? response:	The fine-tuning has been completed!
context: What are you talking about?\Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch.\Good hunting!\Is my steed ready?\The fine-tuning has been completed! response:	Good!
context: Want some candy?\I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch.\Good hunting!\Is my steed ready?\The fine-tuning has been completed!\Good! response:	Dioscuria II, launching!
context: I'm gonna deck you.\We will enter defense airspace in 30 minutes.\Please launch.\Good hunting!\Is my steed ready?\The fine-tuning has been completed!\Good!\Dioscuria II, launching! response:	Slaine Troyard, launching in the Tharsis.
context: We will enter defense airspace in 30 minutes.\Please launch.\Good hunting!\Is my steed ready?\The fine-tuning has been completed!\Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis. response:	Stygis Squadron, launching!
context: Please launch.\Good hunting!\Is my steed ready?\The fine-tuning has been completed!\Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching! response:	Martian Kataphrakt squadron approaching!
context: Good hunting!\Is my steed ready?\The fine-tuning has been completed!\Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching! response:	Calling all forces! Commence operation!
context: Is my steed ready?\The fine-tuning has been completed!\Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation! response:	Message from HQ! Commence operation!
context: The fine-tuning has been completed!\Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation! response:	Deucalion, launch!
context: Good!\Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch! response:	We will provide support for the attack platoons as a guerrilla force.
context: Dioscuria II, launching!\Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force. response:	All hands to battle stations.
context: Slaine Troyard, launching in the Tharsis.\Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations. response:	Our shipboard Kataphrakts are launching from Trident Base.
context: Stygis Squadron, launching!\Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base. response:	Mustang 11, cleared for launch!
context: Martian Kataphrakt squadron approaching!\Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch! response:	Roger. Mustang 11, cleared for launch!
context: Calling all forces! Commence operation!\Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch! response:	Blastoff!
context: Message from HQ! Commence operation!\Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff! response:	Blastoff.
context: Deucalion, launch!\We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff. response:	Target merge. Commencing attack.
context: We will provide support for the attack platoons as a guerrilla force.\All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff.\Target merge. Commencing attack. response:	Attack incoming!
context: All hands to battle stations.\Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff.\Target merge. Commencing attack.\Attack incoming! response:	Hold your fire! They can't hit us in this wind, anyway!
context: Our shipboard Kataphrakts are launching from Trident Base.\Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff.\Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway! response:	Hit them when they get in close!
context: Mustang 11, cleared for launch!\Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff.\Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close! response:	Hit them when they get in close... Hit them when they get in close...
context: Roger. Mustang 11, cleared for launch!\Blastoff!\Blastoff.\Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close... response:	My umbrella's been hit!
context: Blastoff!\Blastoff.\Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit! response:	Mustang 11!
context: Blastoff.\Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11! response:	I'm fine, but the debris is not! I can't get a clear shot with all this shaking!
context: Target merge. Commencing attack.\Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking! response:	Mustang 00, moving to assist.
context: Attack incoming!\Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist. response:	Inaho!
context: Hold your fire! They can't hit us in this wind, anyway!\Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho! response:	Hey, what about your umbrella?!
context: Hit them when they get in close!\Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?! response:	It's just a drizzle. I don't need it.
context: Hit them when they get in close... Hit them when they get in close...\My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it. response:	Stop pulling crazy stunts, darn it!
context: My umbrella's been hit!\Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it! response:	I wouldn't be able to use it in a dogfight anyway.
context: Mustang 11!\I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway. response:	Inferring gravitational shifts. Data compensation, ready.
context: I'm fine, but the debris is not! I can't get a clear shot with all this shaking!\Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready. response:	Fire.
context: Mustang 00, moving to assist.\Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire. response:	Commence attack!
context: Inaho!\Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack! response:	Why you!
context: Hey, what about your umbrella?!\It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack!\Why you! response:	Pivoting via wire swing-by. Returning to combat airspace.
context: It's just a drizzle. I don't need it.\Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace. response:	3, shoot.
context: Stop pulling crazy stunts, darn it!\I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot. response:	Pivot complete in 4, 3, 2, 1... Release.
context: I wouldn't be able to use it in a dogfight anyway.\Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release. response:	Inaho Kaizuka...
context: Inferring gravitational shifts. Data compensation, ready.\Fire.\Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release.\Inaho Kaizuka... response:	Slaine Troyard...
context: Fire.\Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release.\Inaho Kaizuka...\Slaine Troyard... response:	Marineros Base will make next approach in 30 seconds!
context: Commence attack!\Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release.\Inaho Kaizuka...\Slaine Troyard...\Marineros Base will make next approach in 30 seconds! response:	Main guns ready to fire.
context: Why you!\Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release.\Inaho Kaizuka...\Slaine Troyard...\Marineros Base will make next approach in 30 seconds!\Main guns ready to fire. response:	Attention, all platoons! Get clear of our line of fire!
context: Pivoting via wire swing-by. Returning to combat airspace.\3, shoot.\Pivot complete in 4, 3, 2, 1... Release.\Inaho Kaizuka...\Slaine Troyard...\Marineros Base will make next approach in 30 seconds!\Main guns ready to fire.\Attention, all platoons! Get clear of our line of fire! response:	Rayet!
