context: Kemeto, you're here, right? response:	M-m-m-What do you want, and why it is best that I have and you just?
context: Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com response:	Translation of Vergil vergil-sub.blogspot.com
context: The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com response:	Such as the kind of love Confect
context: And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect response:	Which melt in my mouth
context: Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go for this
context: I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this response:	I love thee, O
context: Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O response:	I will give you all the feelings of my heart
context: Translation of Vergil vergil-sub.blogspot.com\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart response:	I am deeply fascinated by the commoners
context: Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners response:	I Odrsk every day
context: Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day response:	You did not pick up telepathically so far?
context: Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far? response:	what are you? cool?
context: Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool? response:	Oh, you understand, you hide Khgelk, huh?
context: I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh? response:	Such as the kind of love Confect
context: I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect response:	Which melt in my mouth
context: I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go
context: You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go response:	Here's my love of
context: what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of response:	I will give you all the feelings of my heart
