context: (Where did that even come from, right?) response:	I decided I'm going to confess to my crush.
context: I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't!\Are you sure?\I can more-or-less tell.\Want me to take a guess?\Hmm? response:	Hmm?
context: Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't!\Are you sure?\I can more-or-less tell.\Want me to take a guess?\Hmm?\Hmm? response:	Sasahara, Sakamoto-sensei's calling you.
context: Really, Kaga-kun?\O-Of course I don't!\Are you sure?\I can more-or-less tell.\Want me to take a guess?\Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you. response:	And it was just getting good.
context: O-Of course I don't!\Are you sure?\I can more-or-less tell.\Want me to take a guess?\Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good. response:	Let's come back to this later.
context: Are you sure?\I can more-or-less tell.\Want me to take a guess?\Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later. response:	So it is Sasahara-senpai.
context: I can more-or-less tell.\Want me to take a guess?\Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai. response:	There's no way you'd be interested in stars.
context: Want me to take a guess?\Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars. response:	You're after Senpai, aren't you?
context: Hmm?\Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you? response:	No, dammit!
context: Hmm?\Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit! response:	It's not any of your business, either!
context: Sasahara, Sakamoto-sensei's calling you.\And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either! response:	Why do you keep asking me?
context: And it was just getting good.\Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either!\Why do you keep asking me? response:	Because I want her to reject you already.
context: Let's come back to this later.\So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already. response:	Why?
context: So it is Sasahara-senpai.\There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already.\Why? response:	What did I do?
context: There's no way you'd be interested in stars.\You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already.\Why?\What did I do? response:	You started ignoring me ever since middle school.
context: You're after Senpai, aren't you?\No, dammit!\It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already.\Why?\What did I do?\You started ignoring me ever since middle school. response:	Because people supposedly tease you.
context: No, dammit!\It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already.\Why?\What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you. response:	Do you like it when people think we're weirdly attached and stuff?
context: It's not any of your business, either!\Why do you keep asking me?\Because I want her to reject you already.\Why?\What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff? response:	You don't like it when people think we're close, huh?
context: Why do you keep asking me?\Because I want her to reject you already.\Why?\What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh? response:	What?
context: Because I want her to reject you already.\Why?\What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What? response:	Of course not.
context: Why?\What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What?\Of course not. response:	Oh, really?
context: What did I do?\You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What?\Of course not.\Oh, really? response:	You don't want people spreading rumors about us?
context: You started ignoring me ever since middle school.\Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What?\Of course not.\Oh, really?\You don't want people spreading rumors about us? response:	What's your problem?
context: Because people supposedly tease you.\Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What?\Of course not.\Oh, really?\You don't want people spreading rumors about us?\What's your problem? response:	I was doing that for your sake.
context: Do you like it when people think we're weirdly attached and stuff?\You don't like it when people think we're close, huh?\What?\Of course not.\Oh, really?\You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake. response:	What do you mean, for my sake?
context: You don't like it when people think we're close, huh?\What?\Of course not.\Oh, really?\You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake.\What do you mean, for my sake? response:	You just suddenly started ignoring me.
context: What?\Of course not.\Oh, really?\You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me. response:	So did you.
context: Of course not.\Oh, really?\You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me.\So did you. response:	You hated me.
context: Oh, really?\You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me.\So did you.\You hated me. response:	You were the one who hated me first.
context: You don't want people spreading rumors about us?\What's your problem?\I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me.\So did you.\You hated me.\You were the one who hated me first. response:	Who cares either way?
context: What's your problem?\I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me.\So did you.\You hated me.\You were the one who hated me first.\Who cares either way? response:	We both hate each other.
context: I was doing that for your sake.\What do you mean, for my sake?\You just suddenly started ignoring me.\So did you.\You hated me.\You were the one who hated me first.\Who cares either way?\We both hate each other. response:	I wouldn't go to the same school as you if I hated you!
context: What do you mean, for my sake?\You just suddenly started ignoring me.\So did you.\You hated me.\You were the one who hated me first.\Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you! response:	I have no idea what you're talking about.
context: You just suddenly started ignoring me.\So did you.\You hated me.\You were the one who hated me first.\Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about. response:	Kaga, you idiot, can you still not figure it out?
context: So did you.\You hated me.\You were the one who hated me first.\Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out? response:	You don't have a problem talking to anyone else,
context: You hated me.\You were the one who hated me first.\Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else, response:	and yet you ignore me.
context: You were the one who hated me first.\Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me. response:	Th-That's not it!
context: Who cares either way?\We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it! response:	You were indifferent to everyone else, though,
context: We both hate each other.\I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though, response:	so I thought you'd never be interested in anyone.
context: I wouldn't go to the same school as you if I hated you!\I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone. response:	Wait, calm down.
context: I have no idea what you're talking about.\Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down. response:	Why Sasahara-senpai?
context: Kaga, you idiot, can you still not figure it out?\You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai? response:	All right, sorry.
context: You don't have a problem talking to anyone else,\and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai?\All right, sorry. response:	It's my fault.
context: and yet you ignore me.\Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai?\All right, sorry.\It's my fault. response:	I wasn't thinking about how you felt.
context: Th-That's not it!\You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai?\All right, sorry.\It's my fault.\I wasn't thinking about how you felt. response:	You've been worried for me all this time, haven't you?
context: You were indifferent to everyone else, though,\so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai?\All right, sorry.\It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you? response:	Because, well...
context: so I thought you'd never be interested in anyone.\Wait, calm down.\Why Sasahara-senpai?\All right, sorry.\It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well... response:	We've been friends for a long time? So what?
context: Wait, calm down.\Why Sasahara-senpai?\All right, sorry.\It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what? response:	You don't get it, do you?
context: Why Sasahara-senpai?\All right, sorry.\It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what?\You don't get it, do you? response:	Huh? But...
context: All right, sorry.\It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what?\You don't get it, do you?\Huh? But... response:	Do you honestly think I'd do all this for you just because we've been friends?
context: It's my fault.\I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what?\You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends? response:	B-But you just said you don't hate me.
context: I wasn't thinking about how you felt.\You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what?\You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me. response:	I absolutely hate you!
context: You've been worried for me all this time, haven't you?\Because, well...\We've been friends for a long time? So what?\You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you! response:	S-So you do hate me!
context: Because, well...\We've been friends for a long time? So what?\You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me! response:	So, what? You joined the astronomy club just to piss me off?
context: We've been friends for a long time? So what?\You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off? response:	I'm back.
context: You don't get it, do you?\Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back. response:	So, who's Kaga-kun's crush
context: Huh? But...\Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush response:	Sorry.
context: Do you honestly think I'd do all this for you just because we've been friends?\B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush\Sorry. response:	The End
context: B-But you just said you don't hate me.\I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush\Sorry.\The End response:	I confessed to my crush, and now we're dating.
context: I absolutely hate you!\S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush\Sorry.\The End\I confessed to my crush, and now we're dating. response:	But things have been...
context: S-So you do hate me!\So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush\Sorry.\The End\I confessed to my crush, and now we're dating.\But things have been... response:	G-Goda-kun, let's walk home together
context: So, what? You joined the astronomy club just to piss me off?\I'm back.\So, who's Kaga-kun's crush\Sorry.\The End\I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together response:	Sorry, Kamine,
context: I'm back.\So, who's Kaga-kun's crush\Sorry.\The End\I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine, response:	I have club work. Maybe some other time.
context: So, who's Kaga-kun's crush\Sorry.\The End\I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time. response:	Watching You From Afar
context: Sorry.\The End\I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar response:	Maybe we should have stayed friends.
context: The End\I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends. response:	Nah, we've only just started dating.
context: I confessed to my crush, and now we're dating.\But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating. response:	I need to be more proactive.
context: But things have been...\G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive. response:	What is it, Kamine?
context: G-Goda-kun, let's walk home together\Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine? response:	You're still here?
context: Sorry, Kamine,\I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine?\You're still here? response:	S-Sorry.
context: I have club work. Maybe some other time.\Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine?\You're still here?\S-Sorry. response:	I had stuff to do.
context: Watching You From Afar\Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine?\You're still here?\S-Sorry.\I had stuff to do. response:	I'm sorry I made you wait, too.
context: Maybe we should have stayed friends.\Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine?\You're still here?\S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too. response:	I'm here late on days I have club work.
context: Nah, we've only just started dating.\I need to be more proactive.\What is it, Kamine?\You're still here?\S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work. response:	From now on, why don't we
context: I need to be more proactive.\What is it, Kamine?\You're still here?\S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we response:	No, it's not safe to go home late.
context: What is it, Kamine?\You're still here?\S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late. response:	I-It's fine.
context: You're still here?\S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late.\I-It's fine. response:	I have you, too.
context: S-Sorry.\I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late.\I-It's fine.\I have you, too. response:	Only until my bus stop.
context: I had stuff to do.\I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late.\I-It's fine.\I have you, too.\Only until my bus stop. response:	I wonder if he didn't want to go out with me.
context: I'm sorry I made you wait, too.\I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late.\I-It's fine.\I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me. response:	I wonder if I'm just making him uncomfortable.
context: I'm here late on days I have club work.\From now on, why don't we\No, it's not safe to go home late.\I-It's fine.\I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable. response:	No, Goda-kun's just a nice person.
context: From now on, why don't we\No, it's not safe to go home late.\I-It's fine.\I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person. response:	He always has been.
context: No, it's not safe to go home late.\I-It's fine.\I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been. response:	Did he avoid me just now?
context: I-It's fine.\I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now? response:	He did.
context: I have you, too.\Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now?\He did. response:	Maybe he's worried he might be sweaty from club work?
context: Only until my bus stop.\I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work? response:	Is that it?
context: I wonder if he didn't want to go out with me.\I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work?\Is that it? response:	It is, right?
context: I wonder if I'm just making him uncomfortable.\No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right? response:	He wasn't avoiding me, was he?
context: No, Goda-kun's just a nice person.\He always has been.\Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right?\He wasn't avoiding me, was he? response:	Kamine, let's stop doing this.
context: He always has been.\Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this. response:	Sorry, I should have told you sooner.
context: Did he avoid me just now?\He did.\Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner. response:	This is my first time dating anyone.
context: He did.\Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone. response:	I didn't know what it's supposed to be like.
context: Maybe he's worried he might be sweaty from club work?\Is that it?\It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like. response:	But I've been thinking, and this isn't good.
context: Is that it?\It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good. response:	So I want to make this easy for you.
context: It is, right?\He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you. response:	All right.
context: He wasn't avoiding me, was he?\Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right. response:	Sorry.
context: Kamine, let's stop doing this.\Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right.\Sorry. response:	I probably shouldn't tell you like this, but...
context: Sorry, I should have told you sooner.\This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right.\Sorry.\I probably shouldn't tell you like this, but... response:	No, thanks for telling me.
context: This is my first time dating anyone.\I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right.\Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me. response:	Thanks for going out with me.
context: I didn't know what it's supposed to be like.\But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right.\Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me. response:	I'm sorry.
context: But I've been thinking, and this isn't good.\So I want to make this easy for you.\All right.\Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me.\I'm sorry. response:	I'm sorry.
context: So I want to make this easy for you.\All right.\Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me.\I'm sorry.\I'm sorry. response:	S-Sorry, I didn't mean to make you cry.
context: All right.\Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me.\I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry. response:	Nah.
context: Sorry.\I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me.\I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah. response:	Can we go back to how things were?
context: I probably shouldn't tell you like this, but...\No, thanks for telling me.\Thanks for going out with me.\I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were? response:	I guess.
context: No, thanks for telling me.\Thanks for going out with me.\I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were?\I guess. response:	But maybe not exactly how it was.
context: Thanks for going out with me.\I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were?\I guess.\But maybe not exactly how it was. response:	I know.
context: I'm sorry.\I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were?\I guess.\But maybe not exactly how it was.\I know. response:	This is my fault. I'm sorry.
context: I'm sorry.\S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were?\I guess.\But maybe not exactly how it was.\I know.\This is my fault. I'm sorry. response:	Why don't we try holding hands or something?
context: S-Sorry, I didn't mean to make you cry.\Nah.\Can we go back to how things were?\I guess.\But maybe not exactly how it was.\I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something? response:	We're in a relationship, after all.
context: Nah.\Can we go back to how things were?\I guess.\But maybe not exactly how it was.\I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all. response:	What do you mean?
context: Can we go back to how things were?\I guess.\But maybe not exactly how it was.\I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean? response:	Sorry, was it too early?
context: I guess.\But maybe not exactly how it was.\I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean?\Sorry, was it too early? response:	No, weren't you about to dump me?
context: But maybe not exactly how it was.\I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean?\Sorry, was it too early?\No, weren't you about to dump me? response:	Dump you?
context: I know.\This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean?\Sorry, was it too early?\No, weren't you about to dump me?\Dump you? response:	I never said anything like that.
context: This is my fault. I'm sorry.\Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean?\Sorry, was it too early?\No, weren't you about to dump me?\Dump you?\I never said anything like that. response:	I just meant we should stop being so tense around each other.
context: Why don't we try holding hands or something?\We're in a relationship, after all.\What do you mean?\Sorry, was it too early?\No, weren't you about to dump me?\Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other. response:	Was I the only one who was getting tense?
context: We're in a relationship, after all.\What do you mean?\Sorry, was it too early?\No, weren't you about to dump me?\Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense? response:	Sorry, I had the wrong idea.
context: What do you mean?\Sorry, was it too early?\No, weren't you about to dump me?\Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea. response:	I, well, thought it would be weird to start acting like a boyfriend
context: Sorry, was it too early?\No, weren't you about to dump me?\Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend response:	as soon as we started dating.
context: No, weren't you about to dump me?\Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating. response:	So I was trying to act like everything was how it had always been,
context: Dump you?\I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been, response:	but that's kind of cold, too.
context: I never said anything like that.\I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too. response:	So I've been thinking about your walk home and stuff.
context: I just meant we should stop being so tense around each other.\Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff. response:	Was that uncalled-for?
context: Was I the only one who was getting tense?\Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for? response:	Then why did you avoid me when I tried to get next to you?
context: Sorry, I had the wrong idea.\I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you? response:	Well...
context: I, well, thought it would be weird to start acting like a boyfriend\as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well... response:	I was sweaty from club work.
context: as soon as we started dating.\So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work. response:	No, actually, it's because I'm shy.
context: So I was trying to act like everything was how it had always been,\but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work.\No, actually, it's because I'm shy. response:	I'm such an idiot.
context: but that's kind of cold, too.\So I've been thinking about your walk home and stuff.\Was that uncalled-for?\Then why did you avoid me when I tried to get next to you?\Well...\I was sweaty from club work.\No, actually, it's because I'm shy.\I'm such an idiot. response:	Such an idiot.
