context: I'm sorry. response:	I'm sorry, Tanaka-san.
context: Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun. response:	Huh?
context: Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh? response:	Right, Hinata?
context: He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata? response:	Anything he doesn't need to win, he discards.
context: Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata?\Anything he doesn't need to win, he discards. response:	If I goofed in Kageyama's sight...
context: What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight... response:	Get lost. You're useless.
context: Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless. response:	Players will get switched.
context: Let's wait until the match to see if Kageyama\is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched. response:	My stomach hurts.
context: is still the same as he was in junior high, turnip-kun.\Huh?\Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched.\My stomach hurts. response:	We look forward to it.
context: Huh?\Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched.\My stomach hurts.\We look forward to it. response:	Hinata, you don't have to be so nervous. Relax.
context: Right, Hinata?\Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched.\My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax. response:	Yes. I will do my best to relax.
context: Anything he doesn't need to win, he discards.\If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched.\My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax. response:	Hinata, hurry up and get in uniform.
context: If I goofed in Kageyama's sight...\Get lost. You're useless.\Players will get switched.\My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform. response:	Hey manager,
context: Get lost. You're useless.\Players will get switched.\My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager, response:	is there anything effective you could say to that first-year?
context: Players will get switched.\My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year? response:	Y-Yes...
context: My stomach hurts.\We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year?\Y-Yes... response:	Hey, there.
context: We look forward to it.\Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year?\Y-Yes...\Hey, there. response:	I'm counting on you.
context: Hinata, you don't have to be so nervous. Relax.\Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year?\Y-Yes...\Hey, there.\I'm counting on you. response:	And that just dealt the death blow. I'm sorry, Hinata.
context: Yes. I will do my best to relax.\Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year?\Y-Yes...\Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata. response:	Aoba Johsai Karasuno
context: Hinata, hurry up and get in uniform.\Hey manager,\is there anything effective you could say to that first-year?\Y-Yes...\Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno response:	We will now begin the practice match of Karasuno High School
context: Hey manager,\is there anything effective you could say to that first-year?\Y-Yes...\Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School response:	versus Aoba Johsai High School.
context: is there anything effective you could say to that first-year?\Y-Yes...\Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School. response:	Let's play.
context: Y-Yes...\Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play. response:	That shrimp is a middle blocker?
context: Hey, there.\I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker? response:	That's gotta be some kind of mistake.
context: I'm counting on you.\And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake. response:	That's Kageyama for real. What's he doing at Karasuno?
context: And that just dealt the death blow. I'm sorry, Hinata.\Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno? response:	Who knows?
context: Aoba Johsai Karasuno\We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows? response:	Hey, Hinata. Buck up.
context: We will now begin the practice match of Karasuno High School\versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up. response:	Y-Yes.
context: versus Aoba Johsai High School.\Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up.\Y-Yes. response:	I will do my best to buck up.
context: Let's play.\That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up. response:	No, I need you to relax.
context: That shrimp is a middle blocker?\That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up.\No, I need you to relax. response:	Hey, Hinata. You know the drill.
context: That's gotta be some kind of mistake.\That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill. response:	The same as in the three-on-three match.
context: That's Kageyama for real. What's he doing at Karasuno?\Who knows?\Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match. response:	I-I know that.
context: Who knows?\Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that. response:	Are you sure?
context: Hey, Hinata. Buck up.\Y-Yes.\I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that.\Are you sure? response:	Matsukawa, nice serve.
context: Y-Yes.\I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that.\Are you sure?\Matsukawa, nice serve. response:	All right, I got this.
context: I will do my best to buck up.\No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that.\Are you sure?\Matsukawa, nice serve.\All right, I got this. response:	Idiot, that obviously wasn't your ball.
context: No, I need you to relax.\Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that.\Are you sure?\Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball. response:	I'm sorry.
context: Hey, Hinata. You know the drill.\The same as in the three-on-three match.\I-I know that.\Are you sure?\Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry. response:	Ennoshita, cover.
context: The same as in the three-on-three match.\I-I know that.\Are you sure?\Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover. response:	Tanaka.
context: I-I know that.\Are you sure?\Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover.\Tanaka. response:	Yeah.
context: Are you sure?\Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover.\Tanaka.\Yeah. response:	And that's the first point.
context: Matsukawa, nice serve.\All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover.\Tanaka.\Yeah.\And that's the first point. response:	Don't mind, don't mind.
context: All right, I got this.\Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover.\Tanaka.\Yeah.\And that's the first point.\Don't mind, don't mind. response:	Hinata, relax and stay aware of your surroundings.
context: Idiot, that obviously wasn't your ball.\I'm sorry.\Ennoshita, cover.\Tanaka.\Yeah.\And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings. response:	I'm sorry.
context: I'm sorry.\Ennoshita, cover.\Tanaka.\Yeah.\And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry. response:	This guy... He's completely overwhelmed.
context: Ennoshita, cover.\Tanaka.\Yeah.\And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed. response:	Hinata!
context: Tanaka.\Yeah.\And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed.\Hinata! response:	Let's relax, first and foremost.
context: Yeah.\And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost. response:	All right. Lucky, lucky.
context: And that's the first point.\Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky. response:	Aoba Johsai Karasuno
context: Don't mind, don't mind.\Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno response:	Touch-net.
context: Hinata, relax and stay aware of your surroundings.\I'm sorry.\This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net. response:	And Karasuno's score finally changes.
context: I'm sorry.\This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes. response:	Hey, you! That's enough nervousness!
context: This guy... He's completely overwhelmed.\Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness! response:	No! Give me another chance!
context: Hinata!\Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance! response:	They're really not a big deal.
context: Let's relax, first and foremost.\All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal. response:	He sure hasn't changed, at all.
context: All right. Lucky, lucky.\Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all. response:	All right. Let's steadily rack up points.
context: Aoba Johsai Karasuno\Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points. response:	The next serve will be...
context: Touch-net.\And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be... response:	This couldn't be timed worse...
context: And Karasuno's score finally changes.\Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse... response:	Aoba Johsai Karasuno
context: Hey, you! That's enough nervousness!\No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno response:	It's Hinata's serve.
context: No! Give me another chance!\They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve. response:	A serve-miss is an immediate score for the opponent.
context: They're really not a big deal.\He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent. response:	Hinata, relax!
context: He sure hasn't changed, at all.\All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax! response:	If I miss, the first set will be finished.
context: All right. Let's steadily rack up points.\The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished. response:	Kageyama. Is he still breathing?
context: The next serve will be...\This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing? response:	Can he do this?
context: This couldn't be timed worse...\Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this? response:	How am I supposed to know?
context: Aoba Johsai Karasuno\It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know? response:	Anything he doesn't need to win, he discards.
context: It's Hinata's serve.\A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards. response:	Don't blow it. I'll have to sit out if I blow it.
context: A serve-miss is an immediate score for the opponent.\Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it. response:	Relax. It's all right. It's all right. It's all...
context: Hinata, relax!\If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all... response:	Crap, it didn't hit my hand right.
context: If I miss, the first set will be finished.\Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right. response:	Aoba Johsai Karasuno
context: Kageyama. Is he still breathing?\Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno response:	Crap.
context: Can he do this?\How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap. response:	Hey.
context: How am I supposed to know?\Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap.\Hey. response:	Nice headshot, man!
context: Anything he doesn't need to win, he discards.\Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap.\Hey.\Nice headshot, man! response:	Is your head okay?
context: Don't blow it. I'll have to sit out if I blow it.\Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap.\Hey.\Nice headshot, man!\Is your head okay? response:	Don't razz him.
context: Relax. It's all right. It's all right. It's all...\Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap.\Hey.\Nice headshot, man!\Is your head okay?\Don't razz him. response:	Stop it, you guys.
context: Crap, it didn't hit my hand right.\Aoba Johsai Karasuno\Crap.\Hey.\Nice headshot, man!\Is your head okay?\Don't razz him.\Stop it, you guys. response:	Now I've done it.
context: Aoba Johsai Karasuno\Crap.\Hey.\Nice headshot, man!\Is your head okay?\Don't razz him.\Stop it, you guys.\Now I've done it. response:	Hey, Kageyama.
context: Crap.\Hey.\Nice headshot, man!\Is your head okay?\Don't razz him.\Stop it, you guys.\Now I've done it.\Hey, Kageyama. response:	W-W-Wait. Once we talk about this, you'll understand.
context: Hey.\Nice headshot, man!\Is your head okay?\Don't razz him.\Stop it, you guys.\Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand. response:	Kageyama.
context: Nice headshot, man!\Is your head okay?\Don't razz him.\Stop it, you guys.\Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama. response:	Stop.
context: Is your head okay?\Don't razz him.\Stop it, you guys.\Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop. response:	Just wondering...
context: Don't razz him.\Stop it, you guys.\Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop.\Just wondering... response:	Yes?
context: Stop it, you guys.\Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop.\Just wondering...\Yes? response:	Why are you so intimidated? Why are you so nervous?
context: Now I've done it.\Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop.\Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous? response:	Is it because the opponents are tall?
context: Hey, Kageyama.\W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop.\Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall? response:	Is it because this is your first practice match?
context: W-W-Wait. Once we talk about this, you'll understand.\Kageyama.\Stop.\Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match? response:	There's nothing scarier than hitting a serve into the back of my head...
context: Kageyama.\Stop.\Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head... response:	Is there?
context: Stop.\Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there? response:	I can't think of anything.
context: Just wondering...\Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything. response:	In that case, you have no reason to be nervous any more.
context: Yes?\Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more. response:	Because you've already done it...
context: Why are you so intimidated? Why are you so nervous?\Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it... response:	The scariest thing possible.
context: Is it because the opponents are tall?\Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible. response:	So now...
context: Is it because this is your first practice match?\There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible.\So now... response:	Get back to normal, you jackass.
context: There's nothing scarier than hitting a serve into the back of my head...\Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible.\So now...\Get back to normal, you jackass. response:	Was that goof safe?
context: Is there?\I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible.\So now...\Get back to normal, you jackass.\Was that goof safe? response:	Huh? What are you talking about?
context: I can't think of anything.\In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible.\So now...\Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about? response:	If that was safe, it doesn't matter what I did here.
context: In that case, you have no reason to be nervous any more.\Because you've already done it...\The scariest thing possible.\So now...\Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here. response:	Why was I intimidated by that turnip-head anyway?
context: Because you've already done it...\The scariest thing possible.\So now...\Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway? response:	But we lost the first set because of what I just did.
context: The scariest thing possible.\So now...\Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did. response:	Even if Kageyama is okay with it...
context: So now...\Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it... response:	Hey, you. Hinata.
context: Get back to normal, you jackass.\Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata. response:	You.
context: Was that goof safe?\Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata.\You. response:	Yes.
context: Huh? What are you talking about?\If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata.\You.\Yes. response:	Are you thinking you have to play well, like the others?
context: If that was safe, it doesn't matter what I did here.\Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata.\You.\Yes.\Are you thinking you have to play well, like the others? response:	As if you have the experience?
context: Why was I intimidated by that turnip-head anyway?\But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata.\You.\Yes.\Are you thinking you have to play well, like the others?\As if you have the experience? response:	If I don't, I'll get switched with another player.
context: But we lost the first set because of what I just did.\Even if Kageyama is okay with it...\Hey, you. Hinata.\You.\Yes.\Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player. response:	I want to be in the match to the end.
context: Even if Kageyama is okay with it...\Hey, you. Hinata.\You.\Yes.\Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end. response:	Hey. Don't underestimate us.
context: Hey, you. Hinata.\You.\Yes.\Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us. response:	We all know you're a lousy player.
context: You.\Yes.\Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player. response:	Daichi-san knows it, and yet he lets you play.
context: Yes.\Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play. response:	Huh?
context: Are you thinking you have to play well, like the others?\As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh? response:	As for getting switched for another player...
context: As if you have the experience?\If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player... response:	Think about it when you get switched!
context: If I don't, I'll get switched with another player.\I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player...\Think about it when you get switched! response:	Huh?
context: I want to be in the match to the end.\Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player...\Think about it when you get switched!\Huh? response:	So don't worry about something that hasn't happened yet.
context: Hey. Don't underestimate us.\We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player...\Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet. response:	Shouldn't you jump in?
context: We all know you're a lousy player.\Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player...\Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in? response:	Oh, yes. But I think it's all right.
context: Daichi-san knows it, and yet he lets you play.\Huh?\As for getting switched for another player...\Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right. response:	You don't have any brains for that.
context: Huh?\As for getting switched for another player...\Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that. response:	Listen to me. In volleyball,
context: As for getting switched for another player...\Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball, response:	everybody on this side of the net is your ally.
context: Think about it when you get switched!\Huh?\So don't worry about something that hasn't happened yet.\Shouldn't you jump in?\Oh, yes. But I think it's all right.\You don't have any brains for that.\Listen to me. In volleyball,\everybody on this side of the net is your ally. response:	It doesn't matter if you're lousy. It doesn't matter if you're a nuisance.
