context: What's going on? response:	Aren't you getting up way too early, Sakura?
context: That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale' response:	Okay, okay, and?
context: Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and? response:	They were lies?
context: of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and?\They were lies? response:	So, shall we go?
context: a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and?\They were lies?\So, shall we go? response:	Are you going to the handicraft store?
context: And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and?\They were lies?\So, shall we go?\Are you going to the handicraft store? response:	Yes, we are.
context: No these lies again!!\'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and?\They were lies?\So, shall we go?\Are you going to the handicraft store?\Yes, we are. response:	Do you mind if I come along?
context: 'Because of the existence of a salmon\big enough to be mistaken for a whale'\Okay, okay, and?\They were lies?\So, shall we go?\Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along? response:	No. I don't.
context: big enough to be mistaken for a whale'\Okay, okay, and?\They were lies?\So, shall we go?\Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along?\No. I don't. response:	I'm going too!
context: Okay, okay, and?\They were lies?\So, shall we go?\Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along?\No. I don't.\I'm going too! response:	And the battle between the legendary salmon and the bears'
context: They were lies?\So, shall we go?\Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along?\No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears' response:	was unfolded over the long time period of fifty years'
context: So, shall we go?\Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along?\No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years' response:	Okay, okay, and then?
context: Are you going to the handicraft store?\Yes, we are.\Do you mind if I come along?\No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then? response:	Mr.Terada'
context: Yes, we are.\Do you mind if I come along?\No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada' response:	What's it?
context: Do you mind if I come along?\No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada'\What's it? response:	Here.
context: No. I don't.\I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada'\What's it?\Here. response:	Oh? It's a stuffed bear. It is very well made'
context: I'm going too!\And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada'\What's it?\Here.\Oh? It's a stuffed bear. It is very well made' response:	You really did a good job.
context: And the battle between the legendary salmon and the bears'\was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada'\What's it?\Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job. response:	Hmm' Hm.
context: was unfolded over the long time period of fifty years'\Okay, okay, and then?\Mr.Terada'\What's it?\Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm. response:	Would you minding having it?
context: Okay, okay, and then?\Mr.Terada'\What's it?\Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm.\Would you minding having it? response:	This' for me?
context: Mr.Terada'\What's it?\Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm.\Would you minding having it?\This' for me? response:	Yes.
context: What's it?\Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm.\Would you minding having it?\This' for me?\Yes. response:	I'll treasure it, Sasaki.
context: Here.\Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm.\Would you minding having it?\This' for me?\Yes.\I'll treasure it, Sasaki. response:	Thank you very much.
context: Oh? It's a stuffed bear. It is very well made'\You really did a good job.\Hmm' Hm.\Would you minding having it?\This' for me?\Yes.\I'll treasure it, Sasaki.\Thank you very much. response:	Are you mad at something, Li?
context: You really did a good job.\Hmm' Hm.\Would you minding having it?\This' for me?\Yes.\I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li? response:	I'm not mad.
context: Hmm' Hm.\Would you minding having it?\This' for me?\Yes.\I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li?\I'm not mad. response:	You are going to buy stuffed bears?
context: Would you minding having it?\This' for me?\Yes.\I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears? response:	Did anything unusal happen that night?
context: This' for me?\Yes.\I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night? response:	If anything happens,
context: Yes.\I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens, response:	don't just go alone, call me.
context: I'll treasure it, Sasaki.\Thank you very much.\Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens,\don't just go alone, call me. response:	You might get caught in danger.
context: Thank you very much.\Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens,\don't just go alone, call me.\You might get caught in danger. response:	Let's see. Bear. Bear.
context: Are you mad at something, Li?\I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens,\don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear. response:	There!
context: I'm not mad.\You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens,\don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear.\There! response:	Thanks goodness,
context: You are going to buy stuffed bears?\Did anything unusal happen that night?\If anything happens,\don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear.\There!\Thanks goodness, response:	I can buy it with my allowance.
context: Did anything unusal happen that night?\If anything happens,\don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear.\There!\Thanks goodness,\I can buy it with my allowance. response:	For Tsukishiro??
context: If anything happens,\don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear.\There!\Thanks goodness,\I can buy it with my allowance.\For Tsukishiro?? response:	Yes, What about you? Are you not buying?
context: don't just go alone, call me.\You might get caught in danger.\Let's see. Bear. Bear.\There!\Thanks goodness,\I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying? response:	For me,
context: You might get caught in danger.\Let's see. Bear. Bear.\There!\Thanks goodness,\I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying?\For me, response:	For me, if the person I like most
context: Let's see. Bear. Bear.\There!\Thanks goodness,\I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying?\For me,\For me, if the person I like most response:	can be happier than falling in love with me.
context: There!\Thanks goodness,\I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying?\For me,\For me, if the person I like most\can be happier than falling in love with me. response:	I would like to keep this happiness for this person the way it is forever.
context: Thanks goodness,\I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying?\For me,\For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever. response:	You mean, it is okay even if
context: I can buy it with my allowance.\For Tsukishiro??\Yes, What about you? Are you not buying?\For me,\For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if response:	the person you like
context: For Tsukishiro??\Yes, What about you? Are you not buying?\For me,\For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like response:	doesn't return the feeling?
context: Yes, What about you? Are you not buying?\For me,\For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like\doesn't return the feeling? response:	If this person can return my feeling,
context: For me,\For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like\doesn't return the feeling?\If this person can return my feeling, response:	of course I would be really happy
context: For me, if the person I like most\can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like\doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy response:	But the greatest happiness
context: can be happier than falling in love with me.\I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like\doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy\But the greatest happiness response:	for me
context: I would like to keep this happiness for this person the way it is forever.\You mean, it is okay even if\the person you like\doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy\But the greatest happiness\for me response:	is to let the person I like
context: You mean, it is okay even if\the person you like\doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy\But the greatest happiness\for me\is to let the person I like response:	have the most happiness
context: the person you like\doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy\But the greatest happiness\for me\is to let the person I like\have the most happiness response:	I'm sure this person you like most
context: doesn't return the feeling?\If this person can return my feeling,\of course I would be really happy\But the greatest happiness\for me\is to let the person I like\have the most happiness\I'm sure this person you like most response:	is really happy as well
context: If this person can return my feeling,\of course I would be really happy\But the greatest happiness\for me\is to let the person I like\have the most happiness\I'm sure this person you like most\is really happy as well response:	You think so?
context: of course I would be really happy\But the greatest happiness\for me\is to let the person I like\have the most happiness\I'm sure this person you like most\is really happy as well\You think so? response:	Yup! I'm sure!
context: But the greatest happiness\for me\is to let the person I like\have the most happiness\I'm sure this person you like most\is really happy as well\You think so?\Yup! I'm sure! response:	Thank you very much.
context: for me\is to let the person I like\have the most happiness\I'm sure this person you like most\is really happy as well\You think so?\Yup! I'm sure!\Thank you very much. response:	what did you buy,
context: is to let the person I like\have the most happiness\I'm sure this person you like most\is really happy as well\You think so?\Yup! I'm sure!\Thank you very much.\what did you buy, response:	Eriol?
context: have the most happiness\I'm sure this person you like most\is really happy as well\You think so?\Yup! I'm sure!\Thank you very much.\what did you buy,\Eriol? response:	These.
context: I'm sure this person you like most\is really happy as well\You think so?\Yup! I'm sure!\Thank you very much.\what did you buy,\Eriol?\These. response:	Threads?
context: is really happy as well\You think so?\Yup! I'm sure!\Thank you very much.\what did you buy,\Eriol?\These.\Threads? response:	Are you sewing something?
context: You think so?\Yup! I'm sure!\Thank you very much.\what did you buy,\Eriol?\These.\Threads?\Are you sewing something? response:	You can use threads in many ways.
context: Yup! I'm sure!\Thank you very much.\what did you buy,\Eriol?\These.\Threads?\Are you sewing something?\You can use threads in many ways. response:	Like what?
context: Thank you very much.\what did you buy,\Eriol?\These.\Threads?\Are you sewing something?\You can use threads in many ways.\Like what? response:	You can use them when roasting meat.
context: what did you buy,\Eriol?\These.\Threads?\Are you sewing something?\You can use threads in many ways.\Like what?\You can use them when roasting meat. response:	Is that real?
context: Eriol?\These.\Threads?\Are you sewing something?\You can use threads in many ways.\Like what?\You can use them when roasting meat.\Is that real? response:	Yes, you can use them
context: These.\Threads?\Are you sewing something?\You can use threads in many ways.\Like what?\You can use them when roasting meat.\Is that real?\Yes, you can use them response:	like kite strings when making roast beef.
context: Threads?\Are you sewing something?\You can use threads in many ways.\Like what?\You can use them when roasting meat.\Is that real?\Yes, you can use them\like kite strings when making roast beef. response:	Kite.
context: Are you sewing something?\You can use threads in many ways.\Like what?\You can use them when roasting meat.\Is that real?\Yes, you can use them\like kite strings when making roast beef.\Kite. response:	Oh? I see,
context: You can use threads in many ways.\Like what?\You can use them when roasting meat.\Is that real?\Yes, you can use them\like kite strings when making roast beef.\Kite.\Oh? I see, response:	Li knows a lot too.
context: Like what?\You can use them when roasting meat.\Is that real?\Yes, you can use them\like kite strings when making roast beef.\Kite.\Oh? I see,\Li knows a lot too. response:	Not really.
context: You can use them when roasting meat.\Is that real?\Yes, you can use them\like kite strings when making roast beef.\Kite.\Oh? I see,\Li knows a lot too.\Not really. response:	How is it?
context: Is that real?\Yes, you can use them\like kite strings when making roast beef.\Kite.\Oh? I see,\Li knows a lot too.\Not really.\How is it? response:	It's hard'
context: Yes, you can use them\like kite strings when making roast beef.\Kite.\Oh? I see,\Li knows a lot too.\Not really.\How is it?\It's hard' response:	Let me see. Let me see.
context: like kite strings when making roast beef.\Kite.\Oh? I see,\Li knows a lot too.\Not really.\How is it?\It's hard'\Let me see. Let me see. response:	This is' a bear?
context: Kite.\Oh? I see,\Li knows a lot too.\Not really.\How is it?\It's hard'\Let me see. Let me see.\This is' a bear? response:	Somehow it looks more like Kero.
context: Oh? I see,\Li knows a lot too.\Not really.\How is it?\It's hard'\Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero. response:	What?!
context: Li knows a lot too.\Not really.\How is it?\It's hard'\Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero.\What?! response:	Is something wrong?
context: Not really.\How is it?\It's hard'\Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero.\What?!\Is something wrong? response:	This'
context: How is it?\It's hard'\Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero.\What?!\Is something wrong?\This' response:	This aura'
context: It's hard'\Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero.\What?!\Is something wrong?\This'\This aura' response:	Clow's aura.
context: Let me see. Let me see.\This is' a bear?\Somehow it looks more like Kero.\What?!\Is something wrong?\This'\This aura'\Clow's aura. response:	Why did the brat come along?
context: This is' a bear?\Somehow it looks more like Kero.\What?!\Is something wrong?\This'\This aura'\Clow's aura.\Why did the brat come along? response:	Because I made a promise with him
context: Somehow it looks more like Kero.\What?!\Is something wrong?\This'\This aura'\Clow's aura.\Why did the brat come along?\Because I made a promise with him response:	that if anything happens, I'll call him.
context: What?!\Is something wrong?\This'\This aura'\Clow's aura.\Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him. response:	Right, Li?
context: Is something wrong?\This'\This aura'\Clow's aura.\Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him.\Right, Li? response:	I guess he can be helpful sometimes.
context: This'\This aura'\Clow's aura.\Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes. response:	What are you trying to say?
context: This aura'\Clow's aura.\Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes.\What are you trying to say? response:	Anything's better than nothing.
context: Clow's aura.\Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing. response:	What??
context: Why did the brat come along?\Because I made a promise with him\that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing.\What?? response:	Li?
context: Because I made a promise with him\that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing.\What??\Li? response:	' Li?' Brat, what's going on?
context: that if anything happens, I'll call him.\Right, Li?\I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing.\What??\Li?\' Li?' Brat, what's going on? response:	My body'
context: Right, Li?\I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing.\What??\Li?\' Li?' Brat, what's going on?\My body' response:	Move! Watch OUT!
context: I guess he can be helpful sometimes.\What are you trying to say?\Anything's better than nothing.\What??\Li?\' Li?' Brat, what's going on?\My body'\Move! Watch OUT! response:	Sakura!!
context: What are you trying to say?\Anything's better than nothing.\What??\Li?\' Li?' Brat, what's going on?\My body'\Move! Watch OUT!\Sakura!! response:	Something's cotrolling him!
context: Anything's better than nothing.\What??\Li?\' Li?' Brat, what's going on?\My body'\Move! Watch OUT!\Sakura!!\Something's cotrolling him! response:	Like what?
context: What??\Li?\' Li?' Brat, what's going on?\My body'\Move! Watch OUT!\Sakura!!\Something's cotrolling him!\Like what? response:	This is Clow's aura after all.
context: Li?\' Li?' Brat, what's going on?\My body'\Move! Watch OUT!\Sakura!!\Something's cotrolling him!\Like what?\This is Clow's aura after all. response:	Could this be
context: ' Li?' Brat, what's going on?\My body'\Move! Watch OUT!\Sakura!!\Something's cotrolling him!\Like what?\This is Clow's aura after all.\Could this be response:	Clow's doing as well
context: My body'\Move! Watch OUT!\Sakura!!\Something's cotrolling him!\Like what?\This is Clow's aura after all.\Could this be\Clow's doing as well response:	But
context: Move! Watch OUT!\Sakura!!\Something's cotrolling him!\Like what?\This is Clow's aura after all.\Could this be\Clow's doing as well\But response:	Clow had passed away.
context: Sakura!!\Something's cotrolling him!\Like what?\This is Clow's aura after all.\Could this be\Clow's doing as well\But\Clow had passed away. response:	Watch out!
context: Something's cotrolling him!\Like what?\This is Clow's aura after all.\Could this be\Clow's doing as well\But\Clow had passed away.\Watch out! response:	Tomoyo!
context: Like what?\This is Clow's aura after all.\Could this be\Clow's doing as well\But\Clow had passed away.\Watch out!\Tomoyo! response:	Get away from me.
context: This is Clow's aura after all.\Could this be\Clow's doing as well\But\Clow had passed away.\Watch out!\Tomoyo!\Get away from me. response:	I can't.
context: Could this be\Clow's doing as well\But\Clow had passed away.\Watch out!\Tomoyo!\Get away from me.\I can't. response:	I can't leave you there.
context: Clow's doing as well\But\Clow had passed away.\Watch out!\Tomoyo!\Get away from me.\I can't.\I can't leave you there. response:	Can't we think of a way?
context: But\Clow had passed away.\Watch out!\Tomoyo!\Get away from me.\I can't.\I can't leave you there.\Can't we think of a way? response:	There should be something controlling him.
context: Clow had passed away.\Watch out!\Tomoyo!\Get away from me.\I can't.\I can't leave you there.\Can't we think of a way?\There should be something controlling him. response:	If we can find out what it is'
context: Watch out!\Tomoyo!\Get away from me.\I can't.\I can't leave you there.\Can't we think of a way?\There should be something controlling him.\If we can find out what it is' response:	But'
context: Tomoyo!\Get away from me.\I can't.\I can't leave you there.\Can't we think of a way?\There should be something controlling him.\If we can find out what it is'\But' response:	I don't see anything at all!
context: Get away from me.\I can't.\I can't leave you there.\Can't we think of a way?\There should be something controlling him.\If we can find out what it is'\But'\I don't see anything at all! response:	Water dragon, come Forth!
context: I can't.\I can't leave you there.\Can't we think of a way?\There should be something controlling him.\If we can find out what it is'\But'\I don't see anything at all!\Water dragon, come Forth! response:	Threads!
context: I can't leave you there.\Can't we think of a way?\There should be something controlling him.\If we can find out what it is'\But'\I don't see anything at all!\Water dragon, come Forth!\Threads! response:	Cut them, Sakura!
context: Can't we think of a way?\There should be something controlling him.\If we can find out what it is'\But'\I don't see anything at all!\Water dragon, come Forth!\Threads!\Cut them, Sakura! response:	O Key which hides the forces of stars,
context: There should be something controlling him.\If we can find out what it is'\But'\I don't see anything at all!\Water dragon, come Forth!\Threads!\Cut them, Sakura!\O Key which hides the forces of stars, response:	reveal thy true form before me.
context: If we can find out what it is'\But'\I don't see anything at all!\Water dragon, come Forth!\Threads!\Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: But'\I don't see anything at all!\Water dragon, come Forth!\Threads!\Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: I don't see anything at all!\Water dragon, come Forth!\Threads!\Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Sword!
context: Water dragon, come Forth!\Threads!\Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Sword! response:	She did it.
context: Threads!\Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Sword!\She did it. response:	Li'
context: Cut them, Sakura!\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Sword!\She did it.\Li' response:	' I'm okay!' Thank goodness.
context: O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Sword!\She did it.\Li'\' I'm okay!' Thank goodness. response:	Sakura, you okay?
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Sword!\She did it.\Li'\' I'm okay!' Thank goodness.\Sakura, you okay? response:	Li, did you get hurt?
context: I, Sakura, command thee under contract.\Release!\Sword!\She did it.\Li'\' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt? response:	I'm fine but'
context: Release!\Sword!\She did it.\Li'\' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt?\I'm fine but' response:	She fell asleep again.
context: Sword!\She did it.\Li'\' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt?\I'm fine but'\She fell asleep again. response:	It must be hard to create Sakura Cards.
context: She did it.\Li'\' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt?\I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards. response:	I am sure that was Clow's aura.
context: Li'\' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt?\I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura. response:	The aura of Clow Reed's magic.
context: ' I'm okay!' Thank goodness.\Sakura, you okay?\Li, did you get hurt?\I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic. response:	The threads can be used for this too, Sakura.
context: Sakura, you okay?\Li, did you get hurt?\I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura. response:	Your spell was broken, wasn't it?
context: Li, did you get hurt?\I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it? response:	That was impressive.
context: I'm fine but'\She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive. response:	The new Mistress of the Clow Cards.
context: She fell asleep again.\It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards. response:	Is that book interesting,
context: It must be hard to create Sakura Cards.\I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting, response:	Spinel?
context: I am sure that was Clow's aura.\The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting,\Spinel? response:	Yes, because this is a book
context: The aura of Clow Reed's magic.\The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting,\Spinel?\Yes, because this is a book response:	you left behind a long time ago.
context: The threads can be used for this too, Sakura.\Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting,\Spinel?\Yes, because this is a book\you left behind a long time ago. response:	A long time ago.
context: Your spell was broken, wasn't it?\That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting,\Spinel?\Yes, because this is a book\you left behind a long time ago.\A long time ago. response:	But why took all the trouble to come to Japan?
context: That was impressive.\The new Mistress of the Clow Cards.\Is that book interesting,\Spinel?\Yes, because this is a book\you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan? response:	Is it boring here?
context: The new Mistress of the Clow Cards.\Is that book interesting,\Spinel?\Yes, because this is a book\you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan?\Is it boring here? response:	No, not a bit.
context: Is that book interesting,\Spinel?\Yes, because this is a book\you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit. response:	It's really fun, especially at school'
context: Spinel?\Yes, because this is a book\you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit.\It's really fun, especially at school' response:	Besides, I found something nice.
context: Yes, because this is a book\you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit.\It's really fun, especially at school'\Besides, I found something nice. response:	You're actually taking your time
context: you left behind a long time ago.\A long time ago.\But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit.\It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time response:	instead of helping yourself right to it as usual.
context: A long time ago.\But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit.\It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual. response:	I'm suprised.
context: But why took all the trouble to come to Japan?\Is it boring here?\No, not a bit.\It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised. response:	There's someone of trouble around him.
context: Is it boring here?\No, not a bit.\It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him. response:	Besides,
context: No, not a bit.\It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him.\Besides, response:	taking my time just makes it even more tasty, right?
context: It's really fun, especially at school'\Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right? response:	But'
context: Besides, I found something nice.\You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right?\But' response:	couldn't you just wear boys uniform instead?
context: You're actually taking your time\instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead? response:	It doesn't matter, does it?
context: instead of helping yourself right to it as usual.\I'm suprised.\There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it? response:	And the girls' uniform is so cute!
context: I'm suprised.\There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it?\And the girls' uniform is so cute! response:	Beside, I'm not human.
context: There's someone of trouble around him.\Besides,\taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it?\And the girls' uniform is so cute!\Beside, I'm not human. response:	Doesn't matter if it is male or female, right?
context: Besides,\taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it?\And the girls' uniform is so cute!\Beside, I'm not human.\Doesn't matter if it is male or female, right? response:	O Key which hides the forces of darkness,
context: taking my time just makes it even more tasty, right?\But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it?\And the girls' uniform is so cute!\Beside, I'm not human.\Doesn't matter if it is male or female, right?\O Key which hides the forces of darkness, response:	reveal thy true form before me.
context: But'\couldn't you just wear boys uniform instead?\It doesn't matter, does it?\And the girls' uniform is so cute!\Beside, I'm not human.\Doesn't matter if it is male or female, right?\O Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Eriol, command thee under contract.
