context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song! response:	The singer was the girl who played Silvie...
context: Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie... response:	Her name's Alisia, right?
context: It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right? response:	She's a great actress, she seemed really nice,
context: that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice, response:	and she's so pretty!
context: That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty! response:	Yeah, she's pretty...
context: Yeah, the movie didn't do that well,\but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty... response:	She's so pretty it's sad.
context: but the theme song won awards at film festivals.\Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad. response:	Aah! Shush, don't eat the whole thing!
context: Oh, I love that song!\The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing! response:	Aww...
context: The singer was the girl who played Silvie...\Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww... response:	Is that all you got, maggots?
context: Her name's Alisia, right?\She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots? response:	You aren't fit to lick my boots.
context: She's a great actress, she seemed really nice,\and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots?\You aren't fit to lick my boots. response:	You can't pilot an Aquaria if you don't have guts!
context: and she's so pretty!\Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts! response:	You hear me, you worms? Guts!
context: Yeah, she's pretty...\She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts! response:	Pick up the slack or I'll taze your worthless asses!
context: She's so pretty it's sad.\Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses! response:	You're not supposed to miss, Cayenne.
context: Aah! Shush, don't eat the whole thing!\Aww...\Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne. response:	I just slipped up.
context: Aww...\Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up. response:	Were you having another vision?
context: Is that all you got, maggots?\You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision? response:	What was it this time?
context: You aren't fit to lick my boots.\You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision?\What was it this time? response:	A wedding in mourning clothes.
context: You can't pilot an Aquaria if you don't have guts!\You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision?\What was it this time?\A wedding in mourning clothes. response:	Mourning clothes?
context: You hear me, you worms? Guts!\Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision?\What was it this time?\A wedding in mourning clothes.\Mourning clothes? response:	Damn it! If I had girls cheering for me,
context: Pick up the slack or I'll taze your worthless asses!\You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision?\What was it this time?\A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me, response:	I would be much more motivated!
context: You're not supposed to miss, Cayenne.\I just slipped up.\Were you having another vision?\What was it this time?\A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated! response:	If only the Berlin wasn't
context: I just slipped up.\Were you having another vision?\What was it this time?\A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't response:	Andy! You're not thinking of sneaking to the other side again, are you?
context: Were you having another vision?\What was it this time?\A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you? response:	Of course not, Commander Donar!
context: What was it this time?\A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar! response:	You're gonna need something a little stronger than a taze.
context: A wedding in mourning clothes.\Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze. response:	How about something like this?
context: Mourning clothes?\Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this? response:	Ow! Ow! You're already doing that!
context: Damn it! If I had girls cheering for me,\I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that! response:	Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.
context: I would be much more motivated!\If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks. response:	I'm so close, but...
context: If only the Berlin wasn't\Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but... response:	I haven't even seen one yet, let alone talked to one...
context: Andy! You're not thinking of sneaking to the other side again, are you?\Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one... response:	This... is...
context: Of course not, Commander Donar!\You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is... response:	This is a complete disaster!
context: You're gonna need something a little stronger than a taze.\How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster! response:	Did you know, Amata?
context: How about something like this?\Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster!\Did you know, Amata? response:	Supposedly, somewhere, there's a school that trains Elements,
context: Ow! Ow! You're already doing that!\Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements, response:	the people who pilot the Aquarias.
context: Man, I thought I could get into Neo-Deava and score Unions with all the hot chicks.\I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias. response:	Only people who've been chosen by the Aquarias and granted special powers can go there.
context: I'm so close, but...\I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there. response:	People like Apollon and Silvie.
context: I haven't even seen one yet, let alone talked to one...\This... is...\This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie. response:	Amata, have you ever wanted to pilot an Aquaria?
context: This... is...\This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria? response:	I guess I've thought about it.
context: This is a complete disaster!\Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it. response:	But I'd never be chosen by anybody.
context: Did you know, Amata?\Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody. response:	I'm totally useless.
context: Supposedly, somewhere, there's a school that trains Elements,\the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless. response:	Oh, well...
context: the people who pilot the Aquarias.\Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless.\Oh, well... response:	Me too.
context: Only people who've been chosen by the Aquarias and granted special powers can go there.\People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless.\Oh, well...\Me too. response:	I'm completely useless.
context: People like Apollon and Silvie.\Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless.\Oh, well...\Me too.\I'm completely useless. response:	We're a useless pair!
context: Amata, have you ever wanted to pilot an Aquaria?\I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless.\Oh, well...\Me too.\I'm completely useless.\We're a useless pair! response:	I'm gonna go to the bathroom!
context: I guess I've thought about it.\But I'd never be chosen by anybody.\I'm totally useless.\Oh, well...\Me too.\I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom! response:	Go on ahead! I'll catch up!
context: But I'd never be chosen by anybody.\I'm totally useless.\Oh, well...\Me too.\I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up! response:	Respond, Kagura. Stop fooling around.
context: I'm totally useless.\Oh, well...\Me too.\I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around. response:	That Mithra Gnis is just a test model.
context: Oh, well...\Me too.\I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model. response:	The objective of this mission is strictly information gathering.
context: Me too.\I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering. response:	It smells good.
context: I'm completely useless.\We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good. response:	This must be Vega.
context: We're a useless pair!\I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good.\This must be Vega. response:	Eight, nine, ten.
context: I'm gonna go to the bathroom!\Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good.\This must be Vega.\Eight, nine, ten. response:	Useless pair, she says.
context: Go on ahead! I'll catch up!\Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good.\This must be Vega.\Eight, nine, ten.\Useless pair, she says. response:	Depressing words, but when she says them so cheerfully...
context: Respond, Kagura. Stop fooling around.\That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good.\This must be Vega.\Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully... response:	I feel happy.
context: That Mithra Gnis is just a test model.\The objective of this mission is strictly information gathering.\It smells good.\This must be Vega.\Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy. response:	How long ya gonna be in there?
context: The objective of this mission is strictly information gathering.\It smells good.\This must be Vega.\Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there? response:	Daddy, I can't hold it om anymore! I gotta go!
context: It smells good.\This must be Vega.\Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go! response:	I'm so sorry!
context: This must be Vega.\Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry! response:	I'll be out right away!
context: Eight, nine, ten.\Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away! response:	What's going on?
context: Useless pair, she says.\Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away!\What's going on? response:	Abductors!
context: Depressing words, but when she says them so cheerfully...\I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away!\What's going on?\Abductors! response:	Mikono!
context: I feel happy.\How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away!\What's going on?\Abductors!\Mikono! response:	This way! To the shelter!
context: How long ya gonna be in there?\Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away!\What's going on?\Abductors!\Mikono!\This way! To the shelter! response:	Mikono!
context: Daddy, I can't hold it om anymore! I gotta go!\I'm so sorry!\I'll be out right away!\What's going on?\Abductors!\Mikono!\This way! To the shelter!\Mikono! response:	It's an Aquaria!
context: I'm so sorry!\I'll be out right away!\What's going on?\Abductors!\Mikono!\This way! To the shelter!\Mikono!\It's an Aquaria! response:	The Abductors just don't know when to quit!
context: I'll be out right away!\What's going on?\Abductors!\Mikono!\This way! To the shelter!\Mikono!\It's an Aquaria!\The Abductors just don't know when to quit! response:	Every time we chase'em off, they come back with more!
context: What's going on?\Abductors!\Mikono!\This way! To the shelter!\Mikono!\It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more! response:	Enough with the chitchat, Andy.
context: Abductors!\Mikono!\This way! To the shelter!\Mikono!\It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy. response:	We'll intercept them with the Aquaria Type-M!
context: Mikono!\This way! To the shelter!\Mikono!\It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M! response:	Roger that.
context: This way! To the shelter!\Mikono!\It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that. response:	May the legend guide our hands.
context: Mikono!\It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands. response:	They've certainly brought quite a party with them.
context: It's an Aquaria!\The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them. response:	There's heavy damage at ground zero.
context: The Abductors just don't know when to quit!\Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero. response:	Mr. Principal, I mean Commander!
context: Every time we chase'em off, they come back with more!\Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander! response:	Don't you think those boys out there have terrible discipline?
context: Enough with the chitchat, Andy.\We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline? response:	Discipline? As if you could claim your girls are any better!
context: We'll intercept them with the Aquaria Type-M!\Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better! response:	A large Abductor unit is approaching the battlefield!
context: Roger that.\May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield! response:	There's no data on it! We've never seen it before!
context: May the legend guide our hands.\They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before! response:	What?
context: They've certainly brought quite a party with them.\There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What? response:	What is that thing?
context: There's heavy damage at ground zero.\Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What?\What is that thing? response:	We've never seen that machine before!
context: Mr. Principal, I mean Commander!\Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What?\What is that thing?\We've never seen that machine before! response:	It's fast!
context: Don't you think those boys out there have terrible discipline?\Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What?\What is that thing?\We've never seen that machine before!\It's fast! response:	This thing's on a different level from the other Abductors!
context: Discipline? As if you could claim your girls are any better!\A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What?\What is that thing?\We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors! response:	It's stronger and faster than anything we've faced!
context: A large Abductor unit is approaching the battlefield!\There's no data on it! We've never seen it before!\What?\What is that thing?\We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced! response:	We're reading vital signs from inside the enemy machine!
context: There's no data on it! We've never seen it before!\What?\What is that thing?\We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine! response:	What?
context: What?\What is that thing?\We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What? response:	It's piloted!
context: What is that thing?\We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What?\It's piloted! response:	A being from another dimension!
context: We've never seen that machine before!\It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What?\It's piloted!\A being from another dimension! response:	Damn you!
context: It's fast!\This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What?\It's piloted!\A being from another dimension!\Damn you! response:	It's fighting in circles around the Aquaria.
context: This thing's on a different level from the other Abductors!\It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What?\It's piloted!\A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria. response:	It's like that Abductor's playing with it!
context: It's stronger and faster than anything we've faced!\We're reading vital signs from inside the enemy machine!\What?\It's piloted!\A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it! response:	This is bad!
context: We're reading vital signs from inside the enemy machine!\What?\It's piloted!\A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad! response:	The Vectors are taking heavy damage!
context: What?\It's piloted!\A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage! response:	Tachyon levels falling!
context: It's piloted!\A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling! response:	Mr. Principal! I mean, Commander!
context: A being from another dimension!\Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander! response:	What?
context: Damn you!\It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander!\What? response:	Understood. Roger.
context: It's fighting in circles around the Aquaria.\It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander!\What?\Understood. Roger. response:	We're authorized to deploy the Type-F.
context: It's like that Abductor's playing with it!\This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander!\What?\Understood. Roger.\We're authorized to deploy the Type-F. response:	What?
context: This is bad!\The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander!\What?\Understood. Roger.\We're authorized to deploy the Type-F.\What? response:	Are you serious?
context: The Vectors are taking heavy damage!\Tachyon levels falling!\Mr. Principal! I mean, Commander!\What?\Understood. Roger.\We're authorized to deploy the Type-F.\What?\Are you serious? response:	We're going to have the Type-M and the Type-F operating at the same time?
context: Tachyon levels falling!\Mr. Principal! I mean, Commander!\What?\Understood. Roger.\We're authorized to deploy the Type-F.\What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time? response:	Commander! You know this is forbidden!
context: Mr. Principal! I mean, Commander!\What?\Understood. Roger.\We're authorized to deploy the Type-F.\What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden! response:	We can't let the Type-M be destroyed.
context: What?\Understood. Roger.\We're authorized to deploy the Type-F.\What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed. response:	Get that Type-F out there.
context: Understood. Roger.\We're authorized to deploy the Type-F.\What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there. response:	Target acquired!
context: We're authorized to deploy the Type-F.\What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired! response:	Missiles, locked on!
context: What?\Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired!\Missiles, locked on! response:	The Type-F?
context: Are you serious?\We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired!\Missiles, locked on!\The Type-F? response:	We meet at last, boys.
context: We're going to have the Type-M and the Type-F operating at the same time?\Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired!\Missiles, locked on!\The Type-F?\We meet at last, boys. response:	Boys are so rough when they fight. It just looks disgusting.
context: Commander! You know this is forbidden!\We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired!\Missiles, locked on!\The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting. response:	Cayenne! It's really you!
context: We can't let the Type-M be destroyed.\Get that Type-F out there.\Target acquired!\Missiles, locked on!\The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you! response:	Look! Girls!
context: Get that Type-F out there.\Target acquired!\Missiles, locked on!\The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls! response:	Professor, is this okay?
context: Target acquired!\Missiles, locked on!\The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls!\Professor, is this okay? response:	We're in trouble now.
context: Missiles, locked on!\The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls!\Professor, is this okay?\We're in trouble now. response:	The boys and girls together in Union.
context: The Type-F?\We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls!\Professor, is this okay?\We're in trouble now.\The boys and girls together in Union. response:	No matter how close they get, they are doomed to never touch.
context: We meet at last, boys.\Boys are so rough when they fight. It just looks disgusting.\Cayenne! It's really you!\Look! Girls!\Professor, is this okay?\We're in trouble now.\The boys and girls together in Union.\No matter how close they get, they are doomed to never touch. response:	The barrier of chastity, the Guize Stones will see to that!
