context: I can't hear... response:	Did Uroko-sama just fart?
context: You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more. response:	I'm pissed off at her guy...
context: Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy... response:	and I don't really understand it,
context: I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it, response:	but I was sort of relieved.
context: Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved. response:	About the fact that Akari finally started thinking about herself.
context: I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself. response:	Not to mention...
context: Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention... response:	And if I thought about getting married,
context: What I called her didn't change anything between us.\I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married, response:	I wonder if I wouldn't be able to come back here...
context: I realized it was my fault that she was becoming an adult more and more.\I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here... response:	I was frustrated about Manaka too...
context: I'm pissed off at her guy...\and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too... response:	But I knew that Manaka was probably even more frustrated...
context: and I don't really understand it,\but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated... response:	About the people on the surface and the people of the sea...
context: but I was sort of relieved.\About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea... response:	Oshiooshi Fishery Cooperative
context: About the fact that Akari finally started thinking about herself.\Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative response:	All right, let's go.
context: Not to mention...\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go. response:	Hey, you're not going to start punching out of nowhere, are you?
context: And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you? response:	I get it.
context: I wonder if I wouldn't be able to come back here...\I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it. response:	We'll talk for a while and then I'll look for an opening to punch him.
context: I was frustrated about Manaka too...\But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him. response:	You don't get it at all!
context: But I knew that Manaka was probably even more frustrated...\About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all! response:	Hey, that's...
context: About the people on the surface and the people of the sea...\Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's... response:	Th-That's...
context: Oshiooshi Fishery Cooperative\All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's...\Th-That's... response:	Wait, you cheater!
context: All right, let's go.\Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's...\Th-That's...\Wait, you cheater! response:	You're trying to run away?!
context: Hey, you're not going to start punching out of nowhere, are you?\I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's...\Th-That's...\Wait, you cheater!\You're trying to run away?! response:	It's not like we made plans with him, so it can't be helped...
context: I get it.\We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's...\Th-That's...\Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped... response:	Hii-kun?!
context: We'll talk for a while and then I'll look for an opening to punch him.\You don't get it at all!\Hey, that's...\Th-That's...\Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?! response:	Hikari!
context: You don't get it at all!\Hey, that's...\Th-That's...\Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari! response:	This isn't good!
context: Hey, that's...\Th-That's...\Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari!\This isn't good! response:	H-Hikari... How far did he go?
context: Th-That's...\Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari!\This isn't good!\H-Hikari... How far did he go? response:	Hii-kun...
context: Wait, you cheater!\You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari!\This isn't good!\H-Hikari... How far did he go?\Hii-kun... response:	Shh!
context: You're trying to run away?!\It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari!\This isn't good!\H-Hikari... How far did he go?\Hii-kun...\Shh! response:	Hey, this is...
context: It's not like we made plans with him, so it can't be helped...\Hii-kun?!\Hikari!\This isn't good!\H-Hikari... How far did he go?\Hii-kun...\Shh!\Hey, this is... response:	Kihara-kun's house!
context: Hii-kun?!\Hikari!\This isn't good!\H-Hikari... How far did he go?\Hii-kun...\Shh!\Hey, this is...\Kihara-kun's house! response:	So that'll be the shipping date starting next month.
context: Hikari!\This isn't good!\H-Hikari... How far did he go?\Hii-kun...\Shh!\Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month. response:	See you.
context: This isn't good!\H-Hikari... How far did he go?\Hii-kun...\Shh!\Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month.\See you. response:	That bastard!
context: H-Hikari... How far did he go?\Hii-kun...\Shh!\Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month.\See you.\That bastard! response:	Hii-kun!
context: Hii-kun...\Shh!\Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month.\See you.\That bastard!\Hii-kun! response:	You said you wouldn't start suddenly punching!
context: Shh!\Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month.\See you.\That bastard!\Hii-kun!\You said you wouldn't start suddenly punching! response:	Hey! You!
context: Hey, this is...\Kihara-kun's house!\So that'll be the shipping date starting next month.\See you.\That bastard!\Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You! response:	Damn it! What the hell?!
context: Kihara-kun's house!\So that'll be the shipping date starting next month.\See you.\That bastard!\Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?! response:	Who the hell are you, old man?!
context: So that'll be the shipping date starting next month.\See you.\That bastard!\Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?! response:	These eyes...
context: See you.\That bastard!\Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?!\These eyes... response:	They're a storm.
context: That bastard!\Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?!\These eyes...\They're a storm. response:	U-Um... kid?
context: Hii-kun!\You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?!\These eyes...\They're a storm.\U-Um... kid? response:	Hii-kun!
context: You said you wouldn't start suddenly punching!\Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?!\These eyes...\They're a storm.\U-Um... kid?\Hii-kun! response:	Hikari!
context: Hey! You!\Damn it! What the hell?!\Who the hell are you, old man?!\These eyes...\They're a storm.\U-Um... kid?\Hii-kun!\Hikari! response:	Hikari? Are you Akari's younger brother?
context: Damn it! What the hell?!\Who the hell are you, old man?!\These eyes...\They're a storm.\U-Um... kid?\Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother? response:	Why are you...
context: Who the hell are you, old man?!\These eyes...\They're a storm.\U-Um... kid?\Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother?\Why are you... response:	Whoa!
context: These eyes...\They're a storm.\U-Um... kid?\Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother?\Why are you...\Whoa! response:	Akari's crying because of you!
context: They're a storm.\U-Um... kid?\Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother?\Why are you...\Whoa!\Akari's crying because of you! response:	And all the old guys of Shioshishio are on her case because of you!
context: U-Um... kid?\Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother?\Why are you...\Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you! response:	What?
context: Hii-kun!\Hikari!\Hikari? Are you Akari's younger brother?\Why are you...\Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What? response:	You there. The girl didn't tell you?
context: Hikari!\Hikari? Are you Akari's younger brother?\Why are you...\Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you? response:	Tell me what?
context: Hikari? Are you Akari's younger brother?\Why are you...\Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you?\Tell me what? response:	It's not an ordinary thing for a person from the surface
context: Why are you...\Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface response:	and a person from the sea to get together.
context: Whoa!\Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together. response:	Old man?
context: Akari's crying because of you!\And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man? response:	I'm aware of that.
context: And all the old guys of Shioshishio are on her case because of you!\What?\You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man?\I'm aware of that. response:	There's the rivalry, as well as the issue with fishing grounds...
context: What?\You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds... response:	But that doesn't
context: You there. The girl didn't tell you?\Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't response:	That has nothing to do with it.
context: Tell me what?\It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it. response:	Are you trying to have babies?
context: It's not an ordinary thing for a person from the surface\and a person from the sea to get together.\Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it.\Are you trying to have babies? response:	Wh-Wha
context: and a person from the sea to get together.\Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it.\Are you trying to have babies?\Wh-Wha response:	Is this old man senile?!
context: Old man?\I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it.\Are you trying to have babies?\Wh-Wha\Is this old man senile?! response:	That's the problem, though.
context: I'm aware of that.\There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it.\Are you trying to have babies?\Wh-Wha\Is this old man senile?!\That's the problem, though. response:	Kihara-kun?
context: There's the rivalry, as well as the issue with fishing grounds...\But that doesn't\That has nothing to do with it.\Are you trying to have babies?\Wh-Wha\Is this old man senile?!\That's the problem, though.\Kihara-kun? response:	The biggest difference between the people on the surface and the people of the sea,
context: But that doesn't\That has nothing to do with it.\Are you trying to have babies?\Wh-Wha\Is this old man senile?!\That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea, response:	is the Ena that covers the people of the sea.
context: That has nothing to do with it.\Are you trying to have babies?\Wh-Wha\Is this old man senile?!\That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea. response:	Ena is similar to the amnion that covers the fetus,
context: Are you trying to have babies?\Wh-Wha\Is this old man senile?!\That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus, response:	and the people on the surface break through this when they're born.
context: Wh-Wha\Is this old man senile?!\That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born. response:	But the people of the sea are born with this being a part of their skin.
context: Is this old man senile?!\That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin. response:	Just like scales on a fish.
context: That's the problem, though.\Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish. response:	The people of the sea are able to breathe underwater because they have Ena...
context: Kihara-kun?\The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena... response:	A child born between a person from the surface and a person from the sea
context: The biggest difference between the people on the surface and the people of the sea,\is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea response:	is born without Ena.
context: is the Ena that covers the people of the sea.\Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena. response:	Th-Then if Akari-san had a baby...
context: Ena is similar to the amnion that covers the fetus,\and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby... response:	That baby wouldn't be able to live in the water?
context: and the people on the surface break through this when they're born.\But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water? response:	I see...
context: But the people of the sea are born with this being a part of their skin.\Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see... response:	That means there'd be fewer descendants...
context: Just like scales on a fish.\The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants... response:	That's why if you marry someone from the surface,
context: The people of the sea are able to breathe underwater because they have Ena...\A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface, response:	you're banished from the village.
context: A child born between a person from the surface and a person from the sea\is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village. response:	Banished from the village?!
context: is born without Ena.\Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?! response:	Why...
context: Th-Then if Akari-san had a baby...\That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?!\Why... response:	Why didn't Akari tell me anything...
context: That baby wouldn't be able to live in the water?\I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?!\Why...\Why didn't Akari tell me anything... response:	Hey, you!
context: I see...\That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?!\Why...\Why didn't Akari tell me anything...\Hey, you! response:	Believe me, Hikari-kun!
context: That means there'd be fewer descendants...\That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?!\Why...\Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun! response:	I'm not messing around with Akari!
context: That's why if you marry someone from the surface,\you're banished from the village.\Banished from the village?!\Why...\Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari! response:	Huh? Then do you plan on marrying Akari?
context: you're banished from the village.\Banished from the village?!\Why...\Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari? response:	That's...
context: Banished from the village?!\Why...\Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's... response:	What?!
context: Why...\Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's...\What?! response:	You're dating her but you have no plans to take responsibility?!
context: Why didn't Akari tell me anything...\Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's...\What?!\You're dating her but you have no plans to take responsibility?! response:	That's the worst!
context: Hey, you!\Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's...\What?!\You're dating her but you have no plans to take responsibility?!\That's the worst! response:	Hii-kun!
context: Believe me, Hikari-kun!\I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's...\What?!\You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun! response:	Hikari!
context: I'm not messing around with Akari!\Huh? Then do you plan on marrying Akari?\That's...\What?!\You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun!\Hikari! response:	I don't really remember what happened after that.
context: Huh? Then do you plan on marrying Akari?\That's...\What?!\You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun!\Hikari!\I don't really remember what happened after that. response:	He kept taking punches from me for a while,
context: That's...\What?!\You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun!\Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while, response:	No!
context: What?!\You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun!\Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while,\No! response:	and when I realized it...
context: You're dating her but you have no plans to take responsibility?!\That's the worst!\Hii-kun!\Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while,\No!\and when I realized it... response:	Good morning.
context: That's the worst!\Hii-kun!\Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while,\No!\and when I realized it...\Good morning. response:	Just stay down.
context: Hii-kun!\Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while,\No!\and when I realized it...\Good morning.\Just stay down. response:	Your friends went to soak in the water.
context: Hikari!\I don't really remember what happened after that.\He kept taking punches from me for a while,\No!\and when I realized it...\Good morning.\Just stay down.\Your friends went to soak in the water. response:	You need to keep wet, don't you?
context: I don't really remember what happened after that.\He kept taking punches from me for a while,\No!\and when I realized it...\Good morning.\Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you? response:	It's surprising if you do that all of the sudden!
context: He kept taking punches from me for a while,\No!\and when I realized it...\Good morning.\Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden! response:	I always wondered what happened to your clothes
context: No!\and when I realized it...\Good morning.\Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes response:	when you come up to the surface all wet...
context: and when I realized it...\Good morning.\Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet... response:	When we're on dry land,
context: Good morning.\Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land, response:	apparently the Ena sucks up any extra moisture and stores it.
context: Just stay down.\Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it. response:	That's convenient.
context: Your friends went to soak in the water.\You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient. response:	Really?
context: You need to keep wet, don't you?\It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really? response:	Yeah, I want it.
context: It's surprising if you do that all of the sudden!\I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really?\Yeah, I want it. response:	I thought this earlier too,
context: I always wondered what happened to your clothes\when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really?\Yeah, I want it.\I thought this earlier too, response:	but how do you know so much about Shioshishio?
context: when you come up to the surface all wet...\When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really?\Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio? response:	Because I think it's great.
context: When we're on dry land,\apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really?\Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great. response:	I'm asking you why you think it's grea
context: apparently the Ena sucks up any extra moisture and stores it.\That's convenient.\Really?\Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea response:	Is it weird?
context: That's convenient.\Really?\Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea\Is it weird? response:	I'll go get some more water.
context: Really?\Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea\Is it weird?\I'll go get some more water. response:	Oh, don't worry about it. I'm fine.
context: Yeah, I want it.\I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea\Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine. response:	I'll be leaving.
context: I thought this earlier too,\but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea\Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving. response:	Don't get up too fast.
context: but how do you know so much about Shioshishio?\Because I think it's great.\I'm asking you why you think it's grea\Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast. response:	Kihara Tsumugu is a good guy.
context: Because I think it's great.\I'm asking you why you think it's grea\Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy. response:	I realized that early on, but...
context: I'm asking you why you think it's grea\Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but... response:	U-Um...
context: Is it weird?\I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um... response:	Thank you very much.
context: I'll go get some more water.\Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um...\Thank you very much. response:	I'm the one who threw you.
context: Oh, don't worry about it. I'm fine.\I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um...\Thank you very much.\I'm the one who threw you. response:	R-Right...
context: I'll be leaving.\Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um...\Thank you very much.\I'm the one who threw you.\R-Right... response:	Yeah, I guess it's weird for me to thank you...
context: Don't get up too fast.\Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um...\Thank you very much.\I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you... response:	Ena...
context: Kihara Tsumugu is a good guy.\I realized that early on, but...\U-Um...\Thank you very much.\I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you...\Ena... response:	Old man, are you from Shioshishio
context: I realized that early on, but...\U-Um...\Thank you very much.\I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you...\Ena...\Old man, are you from Shioshishio response:	Oh, Hii-kun!
context: U-Um...\Thank you very much.\I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you...\Ena...\Old man, are you from Shioshishio\Oh, Hii-kun! response:	Thank goodness. You're awake.
context: Thank you very much.\I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you...\Ena...\Old man, are you from Shioshishio\Oh, Hii-kun!\Thank goodness. You're awake. response:	I heard you got thrown around.
context: I'm the one who threw you.\R-Right...\Yeah, I guess it's weird for me to thank you...\Ena...\Old man, are you from Shioshishio\Oh, Hii-kun!\Thank goodness. You're awake.\I heard you got thrown around. response:	How do you know about that?
