context: Here. response:	Why did she have to glare at us like that?
context: Was it?!\No!\It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it?\What is? response:	In two days, we're leaving here.
context: No!\It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it?\What is?\In two days, we're leaving here. response:	But this view will remain the same, right?
context: It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it?\What is?\In two days, we're leaving here.\But this view will remain the same, right? response:	Of course it will.
context: Is it?\Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it?\What is?\In two days, we're leaving here.\But this view will remain the same, right?\Of course it will. response:	We'll go to Antarctica, and come back to Japan,
context: Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it?\What is?\In two days, we're leaving here.\But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan, response:	but boats will still come here every day,
context: Probably.\It's kind of amazing, isn't it?\What is?\In two days, we're leaving here.\But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day, response:	and the city will be full of people...
context: It's kind of amazing, isn't it?\What is?\In two days, we're leaving here.\But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people... response:	Going to school, working their jobs, hanging out with their friends...
context: What is?\In two days, we're leaving here.\But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends... response:	They'll all keep living their lives...
context: In two days, we're leaving here.\But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives... response:	It's the same in Japan.
context: But this view will remain the same, right?\Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan. response:	School's still being held.
context: Of course it will.\We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan.\School's still being held. response:	They're probably having dinner right about now.
context: We'll go to Antarctica, and come back to Japan,\but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan.\School's still being held.\They're probably having dinner right about now. response:	In places we've never seen, locations we've never been...
context: but boats will still come here every day,\and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan.\School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been... response:	So many people are living so many kinds of lives.
context: and the city will be full of people...\Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan.\School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives. response:	Every day, without stopping.
context: Going to school, working their jobs, hanging out with their friends...\They'll all keep living their lives...\It's the same in Japan.\School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping. response:	That's amazing!
context: They'll all keep living their lives...\It's the same in Japan.\School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing! response:	Even though it's common sense.
context: It's the same in Japan.\School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing!\Even though it's common sense. response:	But I know what you're getting at.
context: School's still being held.\They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing!\Even though it's common sense.\But I know what you're getting at. response:	Hinata-san?
context: They're probably having dinner right about now.\In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing!\Even though it's common sense.\But I know what you're getting at.\Hinata-san? response:	What?
context: In places we've never seen, locations we've never been...\So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing!\Even though it's common sense.\But I know what you're getting at.\Hinata-san?\What? response:	You're hiding something, aren't you?
context: So many people are living so many kinds of lives.\Every day, without stopping.\That's amazing!\Even though it's common sense.\But I know what you're getting at.\Hinata-san?\What?\You're hiding something, aren't you? response:	You're hiding something, aren't you?
context: Every day, without stopping.\That's amazing!\Even though it's common sense.\But I know what you're getting at.\Hinata-san?\What?\You're hiding something, aren't you?\You're hiding something, aren't you? response:	You can't find it anywhere?
context: That's amazing!\Even though it's common sense.\But I know what you're getting at.\Hinata-san?\What?\You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere? response:	Well... I'm sure it'll turn up.
context: Even though it's common sense.\But I know what you're getting at.\Hinata-san?\What?\You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up. response:	It's so important, after all.
context: But I know what you're getting at.\Hinata-san?\What?\You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all. response:	But then it would have come up after all this searching, right?
context: Hinata-san?\What?\You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right? response:	That's true...
context: What?\You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right?\That's true... response:	Without a passport, not only can you not leave the country,
context: You're hiding something, aren't you?\You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country, response:	you can't go back to Japan, either.
context: You're hiding something, aren't you?\You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either. response:	Really?
context: You can't find it anywhere?\Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really? response:	Then, if it doesn't turn up...
context: Well... I'm sure it'll turn up.\It's so important, after all.\But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really?\Then, if it doesn't turn up... response:	Oh! Long ago, I did live in Japan!
context: It's so important, after all.\But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan! response:	Oh, the good old days!
context: But then it would have come up after all this searching, right?\That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days! response:	Why would I still work in a convenience store over here?
context: That's true...\Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here? response:	Our flight's in two days!
context: Without a passport, not only can you not leave the country,\you can't go back to Japan, either.\Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days! response:	Don't worry, don't worry!
context: you can't go back to Japan, either.\Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry! response:	We'll work it out somehow. Somehow!
context: Really?\Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow! response:	How?
context: Then, if it doesn't turn up...\Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow!\How? response:	Somehow!
context: Oh! Long ago, I did live in Japan!\Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow!\How?\Somehow! response:	I mean, there're lots of options...
context: Oh, the good old days!\Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow!\How?\Somehow!\I mean, there're lots of options... response:	What options?
context: Why would I still work in a convenience store over here?\Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow!\How?\Somehow!\I mean, there're lots of options...\What options? response:	Options... like...
context: Our flight's in two days!\Don't worry, don't worry!\We'll work it out somehow. Somehow!\How?\Somehow!\I mean, there're lots of options...\What options?\Options... like... response:	Right back atcha!
context: Don't worry, don't worry!\We'll work it out somehow. Somehow!\How?\Somehow!\I mean, there're lots of options...\What options?\Options... like...\Right back atcha! response:	Huh?
context: We'll work it out somehow. Somehow!\How?\Somehow!\I mean, there're lots of options...\What options?\Options... like...\Right back atcha!\Huh? response:	Anyway, let's look it up.
context: How?\Somehow!\I mean, there're lots of options...\What options?\Options... like...\Right back atcha!\Huh?\Anyway, let's look it up. response:	If you lose your passport,
context: Somehow!\I mean, there're lots of options...\What options?\Options... like...\Right back atcha!\Huh?\Anyway, let's look it up.\If you lose your passport, response:	you can get a new one printed at the embassy.
context: I mean, there're lots of options...\What options?\Options... like...\Right back atcha!\Huh?\Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy. response:	The shortest time is... half a day.
context: What options?\Options... like...\Right back atcha!\Huh?\Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day. response:	Then if we go tomorrow, we'll make it in time!
context: Options... like...\Right back atcha!\Huh?\Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time! response:	But the embassy takes Sundays and holidays off.
context: Right back atcha!\Huh?\Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off. response:	And tomorrow is...
context: Huh?\Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is... response:	Sunday.
context: Anyway, let's look it up.\If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday. response:	What the heck?
context: If you lose your passport,\you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday.\What the heck? response:	We convenience store clerks
context: you can get a new one printed at the embassy.\The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday.\What the heck?\We convenience store clerks response:	work 24 hours a day, 365 days a year, without rest!
context: The shortest time is... half a day.\Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday.\What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest! response:	The government is stupid!
context: Then if we go tomorrow, we'll make it in time!\But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday.\What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid! response:	We'll just have to wait for a plane two or three days later.
context: But the embassy takes Sundays and holidays off.\And tomorrow is...\Sunday.\What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later. response:	We'll arrive later, but we'll make it before the boat leaves.
context: And tomorrow is...\Sunday.\What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves. response:	Good idea!
context: Sunday.\What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea! response:	Tomorrow, let's stop by the airport counter.
context: What the heck?\We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter. response:	Are we going... to change our arrival date?
context: We convenience store clerks\work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date? response:	It may be the only option.
context: work 24 hours a day, 365 days a year, without rest!\The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option. response:	Will that be okay?
context: The government is stupid!\We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option.\Will that be okay? response:	I mean... the members of the expedition are awfully strict about rules.
context: We'll just have to wait for a plane two or three days later.\We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules. response:	They might say maybe you shouldn't come.
context: We'll arrive later, but we'll make it before the boat leaves.\Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come. response:	It'll be okay.
context: Good idea!\Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay. response:	Extenuating circumstances and all that...
context: Tomorrow, let's stop by the airport counter.\Are we going... to change our arrival date?\It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that... response:	Yes!
context: Are we going... to change our arrival date?\It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that...\Yes! response:	But...
context: It may be the only option.\Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that...\Yes!\But... response:	Why don't we email Kanae-san about it?
context: Will that be okay?\I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that...\Yes!\But...\Why don't we email Kanae-san about it? response:	You mean, to tell her we'll be late?
context: I mean... the members of the expedition are awfully strict about rules.\They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that...\Yes!\But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late? response:	It seems like the best thing...
context: They might say maybe you shouldn't come.\It'll be okay.\Extenuating circumstances and all that...\Yes!\But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing... response:	Hey... look, we depart in the morning in two days, right?
context: It'll be okay.\Extenuating circumstances and all that...\Yes!\But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right? response:	So we have a whole day to go.
context: Extenuating circumstances and all that...\Yes!\But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go. response:	Let's talk again tomorrow.
context: Yes!\But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow. response:	After all, it might still turn up.
context: But...\Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up. response:	That's right!
context: Why don't we email Kanae-san about it?\You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up.\That's right! response:	Please, turn up!
context: You mean, to tell her we'll be late?\It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up.\That's right!\Please, turn up! response:	Merlion...
context: It seems like the best thing...\Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up.\That's right!\Please, turn up!\Merlion... response:	I will murder you.
context: Hey... look, we depart in the morning in two days, right?\So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up.\That's right!\Please, turn up!\Merlion...\I will murder you. response:	Either way, you three should head for Australia in two days.
context: So we have a whole day to go.\Let's talk again tomorrow.\After all, it might still turn up.\That's right!\Please, turn up!\Merlion...\I will murder you.\Either way, you three should head for Australia in two days. response:	I think I can work this out on my own.
context: Let's talk again tomorrow.\After all, it might still turn up.\That's right!\Please, turn up!\Merlion...\I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own. response:	So if I make it in time, I'll come after you.
context: After all, it might still turn up.\That's right!\Please, turn up!\Merlion...\I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you. response:	And if you don't make it in time?
context: That's right!\Please, turn up!\Merlion...\I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time? response:	I just go back to Japan, right?
context: Please, turn up!\Merlion...\I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right? response:	I can pay my own fare.
context: Merlion...\I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare. response:	I'll tell Kimari and the others myself.
context: I will murder you.\Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself. response:	I'm sorry.
context: Either way, you three should head for Australia in two days.\I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry. response:	It's because I didn't want to change flights, right?
context: I think I can work this out on my own.\So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right? response:	I'm well aware...
context: So if I make it in time, I'll come after you.\And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware... response:	that when things don't go the way I plan, I tend to get very annoyed.
context: And if you don't make it in time?\I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed. response:	Hey, you don't have to apologize, Shirase.
context: I just go back to Japan, right?\I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase. response:	I'm the one who lost my passport.
context: I can pay my own fare.\I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport. response:	I'm the one who should apologize.
context: I'll tell Kimari and the others myself.\I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize. response:	Sorry.
context: I'm sorry.\It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize.\Sorry. response:	That's not what this is!
context: It's because I didn't want to change flights, right?\I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize.\Sorry.\That's not what this is! response:	Sure it is.
context: I'm well aware...\that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize.\Sorry.\That's not what this is!\Sure it is. response:	I don't want to be a drag on you guys.
context: that when things don't go the way I plan, I tend to get very annoyed.\Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize.\Sorry.\That's not what this is!\Sure it is.\I don't want to be a drag on you guys. response:	What if you're right, and you don't get to go to Antarctica because of this?
context: Hey, you don't have to apologize, Shirase.\I'm the one who lost my passport.\I'm the one who should apologize.\Sorry.\That's not what this is!\Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this? response:	You'd never recover.
context: I'm the one who lost my passport.\I'm the one who should apologize.\Sorry.\That's not what this is!\Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover. response:	But...
context: I'm the one who should apologize.\Sorry.\That's not what this is!\Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But... response:	I never said I wasn't going.
context: Sorry.\That's not what this is!\Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But...\I never said I wasn't going. response:	You three go first. I'll catch up.
context: That's not what this is!\Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But...\I never said I wasn't going.\You three go first. I'll catch up. response:	Okay?
context: Sure it is.\I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But...\I never said I wasn't going.\You three go first. I'll catch up.\Okay? response:	Now it's settled!
context: I don't want to be a drag on you guys.\What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But...\I never said I wasn't going.\You three go first. I'll catch up.\Okay?\Now it's settled! response:	Let's all go together!
context: What if you're right, and you don't get to go to Antarctica because of this?\You'd never recover.\But...\I never said I wasn't going.\You three go first. I'll catch up.\Okay?\Now it's settled!\Let's all go together! response:	I just have to email Kanae-san and explain the situation...
context: You'd never recover.\But...\I never said I wasn't going.\You three go first. I'll catch up.\Okay?\Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation... response:	I would like to take a shower!
context: But...\I never said I wasn't going.\You three go first. I'll catch up.\Okay?\Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower! response:	Do you mind?
context: I never said I wasn't going.\You three go first. I'll catch up.\Okay?\Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind? response:	I'm sorry.
context: You three go first. I'll catch up.\Okay?\Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind?\I'm sorry. response:	Shirase, I know you were trying to be considerate.
context: Okay?\Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate. response:	I just really hate that kind of thing.
context: Now it's settled!\Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing. response:	I know that's how relationships work, but...
context: Let's all go together!\I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but... response:	when people try to be considerate of me...
context: I just have to email Kanae-san and explain the situation...\I would like to take a shower!\Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me... response:	it's disconcerting, I guess...
context: I would like to take a shower!\Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess... response:	Like I can't tell how they really feel anymore...
context: Do you mind?\I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore... response:	That's why I couldn't handle high school,
context: I'm sorry.\Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school, response:	and wanted to be alone as much as possible.
context: Shirase, I know you were trying to be considerate.\I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible. response:	At the end of the day, when I'm with someone else,
context: I just really hate that kind of thing.\I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else, response:	things usually end up like this.
context: I know that's how relationships work, but...\when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this. response:	So, no need to worry.
context: when people try to be considerate of me...\it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry. response:	The problem's all on me...
context: it's disconcerting, I guess...\Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry.\The problem's all on me... response:	That's not true.
context: Like I can't tell how they really feel anymore...\That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry.\The problem's all on me...\That's not true. response:	I have problems, too.
context: That's why I couldn't handle high school,\and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry.\The problem's all on me...\That's not true.\I have problems, too. response:	Ever since I came to high school, I've had this keep away aura running full blast.
context: and wanted to be alone as much as possible.\At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry.\The problem's all on me...\That's not true.\I have problems, too.\Ever since I came to high school, I've had this keep away aura running full blast. response:	I've never been good around people
context: At the end of the day, when I'm with someone else,\things usually end up like this.\So, no need to worry.\The problem's all on me...\That's not true.\I have problems, too.\Ever since I came to high school, I've had this keep away aura running full blast.\I've never been good around people response:	This is what I'm talking about.
context: things usually end up like this.\So, no need to worry.\The problem's all on me...\That's not true.\I have problems, too.\Ever since I came to high school, I've had this keep away aura running full blast.\I've never been good around people\This is what I'm talking about. response:	I told you, I don't like people being considerate of me.
context: So, no need to worry.\The problem's all on me...\That's not true.\I have problems, too.\Ever since I came to high school, I've had this keep away aura running full blast.\I've never been good around people\This is what I'm talking about.\I told you, I don't like people being considerate of me. response:	I'm not.
