context: You are one of the Seafolk, correct? response:	What if I am?
context: No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it. response:	Here's a guy with free time.
context: I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time. response:	All it took was one punch!
context: The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch! response:	One punch! Just one!
context: Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch!\One punch! Just one! response:	Is he really Class C?
context: TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch!\One punch! Just one!\Is he really Class C? response:	He's too strong!
context: MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch!\One punch! Just one!\Is he really Class C?\He's too strong! response:	Or maybe
context: NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.\Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch!\One punch! Just one!\Is he really Class C?\He's too strong!\Or maybe response:	the monster wasn't really that tough?
context: Damn it I'll find out who sent it.\Here's a guy with free time.\All it took was one punch!\One punch! Just one!\Is he really Class C?\He's too strong!\Or maybe\the monster wasn't really that tough? response:	Yeah, but so many heroes went down.
context: Here's a guy with free time.\All it took was one punch!\One punch! Just one!\Is he really Class C?\He's too strong!\Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down. response:	That just means those heroes were weaklings.
context: All it took was one punch!\One punch! Just one!\Is he really Class C?\He's too strong!\Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings. response:	Maybe I suppose the monster didn't look all that tough when he killed it.
context: One punch! Just one!\Is he really Class C?\He's too strong!\Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it. response:	After all, a Class C hero took it out with a single punch!
context: Is he really Class C?\He's too strong!\Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch! response:	What's that say about the heroes it beat?
context: He's too strong!\Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat? response:	They may call themselves Class A or Class S,
context: Or maybe\the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S, response:	but their titles don't mean a thing.
context: the monster wasn't really that tough?\Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing. response:	Hey, enough of that. They risked their lives for us.
context: Yeah, but so many heroes went down.\That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us. response:	Risked their lives? Anyone can do that.
context: That just means those heroes were weaklings.\Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that. response:	But a hero has to beat monsters.
context: Maybe I suppose the monster didn't look all that tough when he killed it.\After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters. response:	It all ended well this time, so whatever.
context: After all, a Class C hero took it out with a single punch!\What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever. response:	But it's annoying when heroes who are really just average Joes
context: What's that say about the heroes it beat?\They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes response:	show up and try to save you.
context: They may call themselves Class A or Class S,\but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you. response:	If you're gonna call yourself a hero, then
context: but their titles don't mean a thing.\Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then response:	Shut your fat mouth!
context: Hey, enough of that. They risked their lives for us.\Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth! response:	Why are you getting mad at me?
context: Risked their lives? Anyone can do that.\But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me? response:	The Hero Association gets their funds from our donations, right?
context: But a hero has to beat monsters.\It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right? response:	As long as we're paying for it, they'd better protect us.
context: It all ended well this time, so whatever.\But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us. response:	The fact of the matter is
context: But it's annoying when heroes who are really just average Joes\show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is response:	that bald guy pretty much took care of it all by himself.
context: show up and try to save you.\If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself. response:	So all the other heroes died for nothing.
context: If you're gonna call yourself a hero, then\Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing. response:	Anyone can come up with a way to buy a little time.
context: Shut your fat mouth!\Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time. response:	In the end, the other heroes didn't do anything heroic.
context: Why are you getting mad at me?\The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic. response:	I said shut up!
context: The Hero Association gets their funds from our donations, right?\As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up! response:	We were all saved. Just leave it at that.
context: As long as we're paying for it, they'd better protect us.\The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that. response:	Exactly!
context: The fact of the matter is\that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that.\Exactly! response:	Today's my lucky day!
context: that bald guy pretty much took care of it all by himself.\So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that.\Exactly!\Today's my lucky day! response:	The other heroes wore the monster down, so beating it was kid's play!
context: So all the other heroes died for nothing.\Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that.\Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play! response:	Good thing I was late.
context: Anyone can come up with a way to buy a little time.\In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that.\Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late. response:	I barely did a thing and now I get all the credit.
context: In the end, the other heroes didn't do anything heroic.\I said shut up!\We were all saved. Just leave it at that.\Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit. response:	Hey, spread the word, all of you!
context: I said shut up!\We were all saved. Just leave it at that.\Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you! response:	I'm the one who finished the monster off!
context: We were all saved. Just leave it at that.\Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off! response:	I'll beat the snot out of anyone who says
context: Exactly!\Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says response:	it's only'cause I got here late!
context: Today's my lucky day!\The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late! response:	What's he mean?
context: The other heroes wore the monster down, so beating it was kid's play!\Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean? response:	The monster was already weak?
context: Good thing I was late.\I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean?\The monster was already weak? response:	Huh?
context: I barely did a thing and now I get all the credit.\Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean?\The monster was already weak?\Huh? response:	Hang on a sec. That's Saitama!
context: Hey, spread the word, all of you!\I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean?\The monster was already weak?\Huh?\Hang on a sec. That's Saitama! response:	Saitama?
context: I'm the one who finished the monster off!\I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean?\The monster was already weak?\Huh?\Hang on a sec. That's Saitama!\Saitama? response:	He's the hero from City Z that everyone calls a cheat.
context: I'll beat the snot out of anyone who says\it's only'cause I got here late!\What's he mean?\The monster was already weak?\Huh?\Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat. response:	What? A cheat?
context: it's only'cause I got here late!\What's he mean?\The monster was already weak?\Huh?\Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat? response:	He appeared out of nowhere and climbed the ranks super-fast.
context: What's he mean?\The monster was already weak?\Huh?\Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast. response:	Yeah, pretty fishy.
context: The monster was already weak?\Huh?\Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy. response:	Hey, you guys!
context: Huh?\Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys! response:	Look after the fallen heroes, okay?
context: Hang on a sec. That's Saitama!\Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay? response:	If they die on me,
context: Saitama?\He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay?\If they die on me, response:	how am I gonna cash in on their work?
context: He's the hero from City Z that everyone calls a cheat.\What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work? response:	He is a cheat!
context: What? A cheat?\He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work?\He is a cheat! response:	Man, that's no fair.
context: He appeared out of nowhere and climbed the ranks super-fast.\Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair. response:	So he's just taking the credit?
context: Yeah, pretty fishy.\Hey, you guys!\Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair.\So he's just taking the credit? response:	Compared to him, the other heroes seem a little more heroic.
context: Hey, you guys!\Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic. response:	Where would we be now
context: Look after the fallen heroes, okay?\If they die on me,\how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now response:	if the other heroes hadn't fought?
context: If they die on me,\how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought? response:	Yeah, I feel so grateful to them all
context: how am I gonna cash in on their work?\He is a cheat!\Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all response:	Master Saitama
context: He is a cheat!\Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama response:	Is this really what you want?
context: Man, that's no fair.\So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want? response:	Hey, it stopped raining.
context: So he's just taking the credit?\Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want?\Hey, it stopped raining. response:	If this is the path you choose to walk, I will not interfere.
context: Compared to him, the other heroes seem a little more heroic.\Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere. response:	But in the future, if you are ever forced into a corner by this,
context: Where would we be now\if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this, response:	at that moment, I will
context: if the other heroes hadn't fought?\Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will response:	Hey, there's one more.
context: Yeah, I feel so grateful to them all\Master Saitama\Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more. response:	TO THE HERO SAITAMA: THANKS!!
context: Master Saitama\Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!! response:	Someone's thanking me.
context: Is this really what you want?\Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me. response:	It must be someone you saved.
context: Hey, it stopped raining.\If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved. response:	I see. Any left?
context: If this is the path you choose to walk, I will not interfere.\But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved.\I see. Any left? response:	There is one from the Hero Association.
context: But in the future, if you are ever forced into a corner by this,\at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved.\I see. Any left?\There is one from the Hero Association. response:	The Association?
context: at that moment, I will\Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved.\I see. Any left?\There is one from the Hero Association.\The Association? response:	Are they firing me?
context: Hey, there's one more.\TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved.\I see. Any left?\There is one from the Hero Association.\The Association?\Are they firing me? response:	Well, whatever.
context: TO THE HERO SAITAMA: THANKS!!\Someone's thanking me.\It must be someone you saved.\I see. Any left?\There is one from the Hero Association.\The Association?\Are they firing me?\Well, whatever. response:	What's this? I'm Class Crank 1?
context: Someone's thanking me.\It must be someone you saved.\I see. Any left?\There is one from the Hero Association.\The Association?\Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1? response:	CITY Z - HERO ASSOCIATION OFFICE
context: It must be someone you saved.\I see. Any left?\There is one from the Hero Association.\The Association?\Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE response:	So, why'd you call me in?
context: I see. Any left?\There is one from the Hero Association.\The Association?\Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in? response:	When you registered with the Hero Registry,
context: There is one from the Hero Association.\The Association?\Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry, response:	you were given the Association handbook.
context: The Association?\Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook. response:	Haven't you read it? It lists all our rules and regulations.
context: Are they firing me?\Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations. response:	Yeah, I guess I've got it somewhere.
context: Well, whatever.\What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere. response:	No matter. Congratulations on attaining rank 1 in Class C.
context: What's this? I'm Class Crank 1?\CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C. response:	Hm? Oh, I see.
context: CITY Z - HERO ASSOCIATION OFFICE\So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see. response:	So you guys are the ones who decide the hero rankings.
context: So, why'd you call me in?\When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings. response:	There are more members on the review board,
context: When you registered with the Hero Registry,\you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board, response:	but the four of us here today will be handling your interview.
context: you were given the Association handbook.\Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview. response:	Interview?
context: Haven't you read it? It lists all our rules and regulations.\Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview.\Interview? response:	The top ranking Class C hero is given the option to be promoted to Class B.
context: Yeah, I guess I've got it somewhere.\No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B. response:	However, if you wish to remain in Class C, that's fine too.
context: No matter. Congratulations on attaining rank 1 in Class C.\Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too. response:	How about it, Mr. Saitama?
context: Hm? Oh, I see.\So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama? response:	Do you want to move up?
context: So you guys are the ones who decide the hero rankings.\There are more members on the review board,\but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up? response:	Although if you do, you'll be ranked at the very bottom again.
context: There are more members on the review board,\but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again. response:	Either way's fine, but I guess I'll try moving up.
context: but the four of us here today will be handling your interview.\Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up. response:	There'll be no more weekly quotas that way.
context: Interview?\The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way. response:	Besides, I can't stick to Class C forever with Genos in Class S.
context: The top ranking Class C hero is given the option to be promoted to Class B.\However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S. response:	I see, so you want a promotion.
context: However, if you wish to remain in Class C, that's fine too.\How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion. response:	First, we'll need you to answer some questions
context: How about it, Mr. Saitama?\Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions response:	and undergo a psychiatric analysis.
context: Do you want to move up?\Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis. response:	This Saitama
context: Although if you do, you'll be ranked at the very bottom again.\Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama response:	He's the one who finished off the Deep Sea King.
context: Either way's fine, but I guess I'll try moving up.\There'll be no more weekly quotas that way.\Besides, I can't stick to Class C forever with Genos in Class S.\I see, so you want a promotion.\First, we'll need you to answer some questions\and undergo a psychiatric analysis.\This Saitama\He's the one who finished off the Deep Sea King. response:	What do you think?
