context: THE OBSESSIVE SCIENTIST response:	Long ago, there existed a brilliant young scientist.
context: Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place. response:	Oh?
context: I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh? response:	But I have a favor to ask first.
context: My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first. response:	There's a specimen I must have.
context: You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first.\There's a specimen I must have. response:	He is extremely strong. Only you can defeat him.
context: No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him. response:	I want you to catch him for me
context: It's true you perform at unheard of levels,\but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me response:	dead or alive.
context: but it is humanity you lack.\Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive. response:	This basement is huge!
context: Go ahead, kill me. Plenty of clones could take my place.\Oh?\But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive.\This basement is huge! response:	I'm getting kind of fired up.
context: Oh?\But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive.\This basement is huge!\I'm getting kind of fired up. response:	Huh?
context: But I have a favor to ask first.\There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive.\This basement is huge!\I'm getting kind of fired up.\Huh? response:	I sense living beings deeper in
context: There's a specimen I must have.\He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive.\This basement is huge!\I'm getting kind of fired up.\Huh?\I sense living beings deeper in response:	Master, two of them are approaching.
context: He is extremely strong. Only you can defeat him.\I want you to catch him for me\dead or alive.\This basement is huge!\I'm getting kind of fired up.\Huh?\I sense living beings deeper in\Master, two of them are approaching. response:	Oh, here we go!
context: I want you to catch him for me\dead or alive.\This basement is huge!\I'm getting kind of fired up.\Huh?\I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go! response:	There are two. Which one is it?
context: dead or alive.\This basement is huge!\I'm getting kind of fired up.\Huh?\I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it? response:	The one on the right
context: This basement is huge!\I'm getting kind of fired up.\Huh?\I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it?\The one on the right response:	In that case, you don't need the one on the left!
context: I'm getting kind of fired up.\Huh?\I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left! response:	Genos?
context: Huh?\I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left!\Genos? response:	Huh?
context: I sense living beings deeper in\Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left!\Genos?\Huh? response:	Hey
context: Master, two of them are approaching.\Oh, here we go!\There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left!\Genos?\Huh?\Hey response:	I am Carnage Kabuto!
context: Oh, here we go!\There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left!\Genos?\Huh?\Hey\I am Carnage Kabuto! response:	We got a combat experimentation room.
context: There are two. Which one is it?\The one on the right\In that case, you don't need the one on the left!\Genos?\Huh?\Hey\I am Carnage Kabuto!\We got a combat experimentation room. response:	Let's do this in there.
context: The one on the right\In that case, you don't need the one on the left!\Genos?\Huh?\Hey\I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there. response:	You turned Genos into a piece of modern art.
context: In that case, you don't need the one on the left!\Genos?\Huh?\Hey\I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art. response:	Fight's on!
context: Genos?\Huh?\Hey\I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on! response:	Pretty big, eh?
context: Huh?\Hey\I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh? response:	It's the biggest room in the facility.
context: Hey\I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh?\It's the biggest room in the facility. response:	This is where they make us fight to test our combat abilities.
context: I am Carnage Kabuto!\We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities. response:	Well then, let's start the killing
context: We got a combat experimentation room.\Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing response:	Oh?
context: Let's do this in there.\You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh? response:	Still alive, huh?
context: You turned Genos into a piece of modern art.\Fight's on!\Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh?\Still alive, huh? response:	You fool!
context: Fight's on!\Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh?\Still alive, huh?\You fool! response:	Machinegun Blows!
context: Pretty big, eh?\It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh?\Still alive, huh?\You fool!\Machinegun Blows! response:	He got me.
context: It's the biggest room in the facility.\This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh?\Still alive, huh?\You fool!\Machinegun Blows!\He got me. response:	Let me
context: This is where they make us fight to test our combat abilities.\Well then, let's start the killing\Oh?\Still alive, huh?\You fool!\Machinegun Blows!\He got me.\Let me response:	take him
context: Well then, let's start the killing\Oh?\Still alive, huh?\You fool!\Machinegun Blows!\He got me.\Let me\take him response:	Your face is all cracked. Don't push yourself.
context: Oh?\Still alive, huh?\You fool!\Machinegun Blows!\He got me.\Let me\take him\Your face is all cracked. Don't push yourself. response:	With his breath? Impossible!
context: Still alive, huh?\You fool!\Machinegun Blows!\He got me.\Let me\take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible! response:	Genos, you okay?
context: You fool!\Machinegun Blows!\He got me.\Let me\take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay? response:	Yes
context: Machinegun Blows!\He got me.\Let me\take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay?\Yes response:	No you're not! Look at your head!
context: He got me.\Let me\take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay?\Yes\No you're not! Look at your head! response:	You've gone and gotten my hopes up.
context: Let me\take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay?\Yes\No you're not! Look at your head!\You've gone and gotten my hopes up. response:	I have always been critical of humans and their inferior abilities.
context: take him\Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay?\Yes\No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities. response:	The entire species, aside from myself, can be viewed only as dumb animals.
context: Your face is all cracked. Don't push yourself.\With his breath? Impossible!\Genos, you okay?\Yes\No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals. response:	That realization was agony for me.
context: With his breath? Impossible!\Genos, you okay?\Yes\No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me. response:	If memory serves, I was 15 when it occurred to me.
context: Genos, you okay?\Yes\No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me. response:	A plan to evolve the human animal
context: Yes\No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal response:	and create a world where I could live contentedly.
context: No you're not! Look at your head!\You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly. response:	A utopia of my own, created by me.
context: You've gone and gotten my hopes up.\I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me. response:	A world made up of only us,
context: I have always been critical of humans and their inferior abilities.\The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us, response:	the new human breed that will transcend humanity!
context: The entire species, aside from myself, can be viewed only as dumb animals.\That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity! response:	I must see it through.
context: That realization was agony for me.\If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity!\I must see it through. response:	Compared to my anguish back then, this physical pain I feel now is nothing.
context: If memory serves, I was 15 when it occurred to me.\A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing. response:	What's the hold up? Let's go!
context: A plan to evolve the human animal\and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go! response:	Bring everything you've got.
context: and create a world where I could live contentedly.\A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got. response:	Carnage Kabutoa demon incarnate,
context: A utopia of my own, created by me.\A world made up of only us,\the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate, response:	the strongest and most brutal creation of the House of Evolution.
context: A world made up of only us,\the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution. response:	Let's see how you, at your archaic stage of human development,
context: the new human breed that will transcend humanity!\I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development, response:	fare against a monster that is the final form of artificial evolution.
context: I must see it through.\Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution. response:	Or will you be the trigger for a new evolution?
context: Compared to my anguish back then, this physical pain I feel now is nothing.\What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution? response:	I can't wait to find out!
context: What's the hold up? Let's go!\Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out! response:	Oh, I see it. I see it! You're supposed to be strong.
context: Bring everything you've got.\Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong. response:	Don't disappoint me now.
context: Carnage Kabutoa demon incarnate,\the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now. response:	You're this place's ultimate weapon, right?
context: the strongest and most brutal creation of the House of Evolution.\Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right? response:	You're clearly not the same as the guys from this morning.
context: Let's see how you, at your archaic stage of human development,\fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning. response:	Look at you, just oozing with confidence.
context: fare against a monster that is the final form of artificial evolution.\Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence. response:	Such speed!
context: Or will you be the trigger for a new evolution?\I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed! response:	What are you doing?
context: I can't wait to find out!\Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed!\What are you doing? response:	Hey.
context: Oh, I see it. I see it! You're supposed to be strong.\Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed!\What are you doing?\Hey. response:	He just backed off?
context: Don't disappoint me now.\You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed!\What are you doing?\Hey.\He just backed off? response:	Carnage Kabuto?!
context: You're this place's ultimate weapon, right?\You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed!\What are you doing?\Hey.\He just backed off?\Carnage Kabuto?! response:	If I'd attacked him just now, he'd have killed me.
context: You're clearly not the same as the guys from this morning.\Look at you, just oozing with confidence.\Such speed!\What are you doing?\Hey.\He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me. response:	Who the hell is this guy?
context: Look at you, just oozing with confidence.\Such speed!\What are you doing?\Hey.\He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy? response:	He's leaving himself wide open,
context: Such speed!\What are you doing?\Hey.\He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open, response:	yet all my instincts are screaming, sending out danger signals!
context: What are you doing?\Hey.\He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals! response:	Huh?
context: Hey.\He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh? response:	You bastard!
context: He just backed off?\Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard! response:	How the hell did you get that strong?!
context: Carnage Kabuto?!\If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard!\How the hell did you get that strong?! response:	So you wanna know too?
context: If I'd attacked him just now, he'd have killed me.\Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard!\How the hell did you get that strong?!\So you wanna know too? response:	Okay, fine.
context: Who the hell is this guy?\He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard!\How the hell did you get that strong?!\So you wanna know too?\Okay, fine. response:	Genos, you listen carefully too.
context: He's leaving himself wide open,\yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard!\How the hell did you get that strong?!\So you wanna know too?\Okay, fine.\Genos, you listen carefully too. response:	He's going to tell us right now?
context: yet all my instincts are screaming, sending out danger signals!\Huh?\You bastard!\How the hell did you get that strong?!\So you wanna know too?\Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now? response:	The secret to Master's power?
context: Huh?\You bastard!\How the hell did you get that strong?!\So you wanna know too?\Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power? response:	I'd like to know too.
context: You bastard!\How the hell did you get that strong?!\So you wanna know too?\Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power?\I'd like to know too. response:	Huh?
context: How the hell did you get that strong?!\So you wanna know too?\Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power?\I'd like to know too.\Huh? response:	Who are you?
context: So you wanna know too?\Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power?\I'd like to know too.\Huh?\Who are you? response:	I am Genus.
context: Okay, fine.\Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power?\I'd like to know too.\Huh?\Who are you?\I am Genus. response:	Well, fine. Listen up.
context: Genos, you listen carefully too.\He's going to tell us right now?\The secret to Master's power?\I'd like to know too.\Huh?\Who are you?\I am Genus.\Well, fine. Listen up. response:	It's too risky! He can't let these guys know his secret!
context: He's going to tell us right now?\The secret to Master's power?\I'd like to know too.\Huh?\Who are you?\I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret! response:	First, what's important is, to make sure you stick to this intense training regimen.
context: The secret to Master's power?\I'd like to know too.\Huh?\Who are you?\I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen. response:	Training? Not modification surgery or genetic enhancement,
context: I'd like to know too.\Huh?\Who are you?\I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement, response:	but training?
context: Huh?\Who are you?\I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training? response:	What training?
context: Who are you?\I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training?\What training? response:	Listen, Genos.
context: I am Genus.\Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training?\What training?\Listen, Genos. response:	You just have to keep doing it.
context: Well, fine. Listen up.\It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training?\What training?\Listen, Genos.\You just have to keep doing it. response:	No matter how hard it gets.
context: It's too risky! He can't let these guys know his secret!\First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training?\What training?\Listen, Genos.\You just have to keep doing it.\No matter how hard it gets. response:	It took me three years to get this strong.
context: First, what's important is, to make sure you stick to this intense training regimen.\Training? Not modification surgery or genetic enhancement,\but training?\What training?\Listen, Genos.\You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong. response:	One hundred push-ups! One hundred sit-ups!
context: Training? Not modification surgery or genetic enhancement,\but training?\What training?\Listen, Genos.\You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups! response:	One hundred squats!
context: but training?\What training?\Listen, Genos.\You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats! response:	Then a ten kilometer run.
context: What training?\Listen, Genos.\You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run. response:	Every single day!
context: Listen, Genos.\You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run.\Every single day! response:	And of course, make sure you eat three meals a day.
context: You just have to keep doing it.\No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day. response:	Just a banana in the morning is fine. But the most important thing is
context: No matter how hard it gets.\It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is response:	SAVE MONEY to never use the A/C or heat in the summer or winter
context: It took me three years to get this strong.\One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter response:	SAVE MONEY so that you can strengthen the mind.
context: One hundred push-ups! One hundred sit-ups!\One hundred squats!\Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind. response:	In the beginning, you'll wish you were dead.
context: One hundred squats!\Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead. response:	You might start thinking what's the harm of taking a day off?
context: Then a ten kilometer run.\Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off? response:	But for me, in order to be a strong hero, no matter how tough it was,
context: Every single day!\And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was, response:	even if I was spitting blood, I never stopped.
context: And of course, make sure you eat three meals a day.\Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped. response:	I kept doing squats even when my legs were so heavy they refused to move.
context: Just a banana in the morning is fine. But the most important thing is\SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move. response:	Even when my arms started making weird clicking noises,
context: SAVE MONEY to never use the A/C or heat in the summer or winter\SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises, response:	I kept doing push-ups.
context: SAVE MONEY so that you can strengthen the mind.\In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups. response:	A year and a half later, I started to notice a difference.
context: In the beginning, you'll wish you were dead.\You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference. response:	I was bald
context: You might start thinking what's the harm of taking a day off?\But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald response:	And I had become stronger!
context: But for me, in order to be a strong hero, no matter how tough it was,\even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald\And I had become stronger! response:	In other words, you gotta train like hell to the point where your hair falls out.
context: even if I was spitting blood, I never stopped.\I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out. response:	That's the only way to become strong.
context: I kept doing squats even when my legs were so heavy they refused to move.\Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong. response:	The guys that are fooling around with
context: Even when my arms started making weird clicking noises,\I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with response:	the new human race and evolution junk will never make it this far.
context: I kept doing push-ups.\A year and a half later, I started to notice a difference.\I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far. response:	Human beings are strong because we have the ability to change ourselves.
context: A year and a half later, I started to notice a difference.\I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves. response:	W-What?
context: I was bald\And I had become stronger!\In other words, you gotta train like hell to the point where your hair falls out.\That's the only way to become strong.\The guys that are fooling around with\the new human race and evolution junk will never make it this far.\Human beings are strong because we have the ability to change ourselves.\W-What? response:	Is this guyfor real?
