context: I wonder if I'm useful to the Aria Company? response:	What's with you all of a sudden?
context: Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay. response:	I'm sorry for troubling you all.
context: and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all. response:	I'm Ayumi from Himeya. Nice to meet you!
context: Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you! response:	Yes, nice-
context: You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice- response:	So anyway, do you like the traghetto?
context: You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto? response:	Huh? Sure...
context: Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure... response:	I like it, too! Especially because you get to work with the locals!
context: and whoever's on shore will give her a lecture?\Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals! response:	I see...
context: Okay.\I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see... response:	Um...
context: I'm sorry for troubling you all.\I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see...\Um... response:	Ah, yes!
context: I'm Ayumi from Himeya. Nice to meet you!\Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see...\Um...\Ah, yes! response:	I'm Anzu from Orange Planet.
context: Yes, nice-\So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see...\Um...\Ah, yes!\I'm Anzu from Orange Planet. response:	I'm Akari Mizunashi. I look forward to working with you today.
context: So anyway, do you like the traghetto?\Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see...\Um...\Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today. response:	Okay, let's get to work!
context: Huh? Sure...\I like it, too! Especially because you get to work with the locals!\I see...\Um...\Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work! response:	Come on, Anzu. Let's do this.
context: I like it, too! Especially because you get to work with the locals!\I see...\Um...\Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this. response:	So then, Ayumi and Anzu, prepare the gondola, please.
context: I see...\Um...\Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please. response:	Okay!
context: Um...\Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay! response:	Right. Okay!
context: Ah, yes!\I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay! response:	We will be open for business shortly.
context: I'm Anzu from Orange Planet.\I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay!\We will be open for business shortly. response:	Good morning, Atora. We will be open for business shortly.
context: I'm Akari Mizunashi. I look forward to working with you today.\Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly. response:	Good morning. Please form a line to the left.
context: Okay, let's get to work!\Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left. response:	Please form a line to the left.
context: Come on, Anzu. Let's do this.\So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left. response:	Oh, I haven't seen you before. Nice to meet you, Miss Undine.
context: So then, Ayumi and Anzu, prepare the gondola, please.\Okay!\Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine. response:	Yes, it's a pleasure to be of service.
context: Okay!\Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service. response:	Please Wait Yes, it's a pleasure to be of service.
context: Right. Okay!\We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service. response:	Please Wait
context: We will be open for business shortly.\Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait response:	Please Wait Thank you for waiting.
context: Good morning, Atora. We will be open for business shortly.\Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting. response:	Thank you for waiting.
context: Good morning. Please form a line to the left.\Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting.\Thank you for waiting. response:	Good morning! Good morning!
context: Please form a line to the left.\Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning! response:	'Morning.
context: Oh, I haven't seen you before. Nice to meet you, Miss Undine.\Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning!\'Morning. response:	Please watch your step.'Morning.
context: Yes, it's a pleasure to be of service.\Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning!\'Morning.\Please watch your step.'Morning. response:	Please watch your step.
context: Please Wait Yes, it's a pleasure to be of service.\Please Wait\Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning!\'Morning.\Please watch your step.'Morning.\Please watch your step. response:	Wow, those tomatoes look delicious!
context: Please Wait\Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning!\'Morning.\Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious! response:	I bought too many, though! Maybe I'll make some trippa for lunch.
context: Please Wait Thank you for waiting.\Thank you for waiting.\Good morning! Good morning!\'Morning.\Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch. response:	Ah, sounds nice.
context: Thank you for waiting.\Good morning! Good morning!\'Morning.\Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice. response:	In we go. Ah, sounds nice.
context: Good morning! Good morning!\'Morning.\Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice. response:	In we go.
context: 'Morning.\Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice.\In we go. response:	Hey, Ayumi.
context: Please watch your step.'Morning.\Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice.\In we go.\Hey, Ayumi. response:	Good morning, Mister.
context: Please watch your step.\Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice.\In we go.\Hey, Ayumi.\Good morning, Mister. response:	There we go.
context: Wow, those tomatoes look delicious!\I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice.\In we go.\Hey, Ayumi.\Good morning, Mister.\There we go. response:	Good morning, Anzu.
context: I bought too many, though! Maybe I'll make some trippa for lunch.\Ah, sounds nice.\In we go. Ah, sounds nice.\In we go.\Hey, Ayumi.\Good morning, Mister.\There we go.\Good morning, Anzu. response:	Good morning.
context: Ah, sounds nice.\In we go. Ah, sounds nice.\In we go.\Hey, Ayumi.\Good morning, Mister.\There we go.\Good morning, Anzu.\Good morning. response:	My, my. What's the matter? You seem a bit down.
context: In we go. Ah, sounds nice.\In we go.\Hey, Ayumi.\Good morning, Mister.\There we go.\Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down. response:	Eh? No, not at all.
context: In we go.\Hey, Ayumi.\Good morning, Mister.\There we go.\Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all. response:	Ayumi, Anzu, everything's all set! You're good to go!
context: Hey, Ayumi.\Good morning, Mister.\There we go.\Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go! response:	Okay! Okay!
context: Good morning, Mister.\There we go.\Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay! response:	The gondola is now departing!
context: There we go.\Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing! response:	Anzu's a bit down right now.
context: Good morning, Anzu.\Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now. response:	It's because she just recently failed the Prima Promotion Exam.
context: Good morning.\My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam. response:	Ehh? The Prima Promotion Exam?
context: My, my. What's the matter? You seem a bit down.\Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam? response:	Yeah.
context: Eh? No, not at all.\Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah. response:	Well, we all know that passing it is no easy feat.
context: Ayumi, Anzu, everything's all set! You're good to go!\Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat. response:	But she's really something.
context: Okay! Okay!\The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat.\But she's really something. response:	Even though she's disappointed every time, she continues to challenge herself and retake it.
context: The gondola is now departing!\Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it. response:	Um, is the Prima Promotion Exam really that hard?
context: Anzu's a bit down right now.\It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard? response:	Yeah.
context: It's because she just recently failed the Prima Promotion Exam.\Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah. response:	A mentor from your company acts as the examiner, so the difficulty varies,
context: Ehh? The Prima Promotion Exam?\Yeah.\Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies, response:	but it's significantly more difficult than becoming a Single.
context: Yeah.\Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single. response:	Anzu and I have the same mentor, and she's a very strict woman, so...
context: Well, we all know that passing it is no easy feat.\But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so... response:	Thank you very much.
context: But she's really something.\Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much. response:	Thank you.
context: Even though she's disappointed every time, she continues to challenge herself and retake it.\Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you. response:	The gondola is now departing!
context: Um, is the Prima Promotion Exam really that hard?\Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you.\The gondola is now departing! response:	Yup, that's right.
context: Yeah.\A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you.\The gondola is now departing!\Yup, that's right. response:	She's quite down, isn't she?
context: A mentor from your company acts as the examiner, so the difficulty varies,\but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you.\The gondola is now departing!\Yup, that's right.\She's quite down, isn't she? response:	Becoming a Prima sure must be tough.
context: but it's significantly more difficult than becoming a Single.\Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you.\The gondola is now departing!\Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough. response:	Ayumi, you make it sound like it doesn't concern you.
context: Anzu and I have the same mentor, and she's a very strict woman, so...\Thank you very much.\Thank you.\The gondola is now departing!\Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you. response:	It doesn't, though.
context: Thank you very much.\Thank you.\The gondola is now departing!\Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though. response:	I'm not going to become a Prima.
context: Thank you.\The gondola is now departing!\Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima. response:	Huh?!
context: The gondola is now departing!\Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima.\Huh?! response:	Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.
context: Yup, that's right.\She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start. response:	Most likely, the majority of Singles here are only doing this because they couldn't become Primas.
context: She's quite down, isn't she?\Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas. response:	The traghetto may serve as a training ground for Singles hoping to become Primas,
context: Becoming a Prima sure must be tough.\Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas, response:	but it's also a place where you can work and earn a living.
context: Ayumi, you make it sound like it doesn't concern you.\It doesn't, though.\I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living. response:	I'm sure being a tour guide is a wonderful job,
context: It doesn't, though.\I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job, response:	but working here allows me to stay involved with this city and its people.
context: I'm not going to become a Prima.\Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people. response:	That's why I love this job.
context: Huh?!\Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job. response:	The gondola is now departing!
context: Well, I guess there aren't many Undines like me, who want to work with the traghetto from the start.\Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing! response:	I'm sorry.
context: Most likely, the majority of Singles here are only doing this because they couldn't become Primas.\The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing!\I'm sorry. response:	I'm depressing, aren't I?
context: The traghetto may serve as a training ground for Singles hoping to become Primas,\but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing!\I'm sorry.\I'm depressing, aren't I? response:	N-No, not at all...
context: but it's also a place where you can work and earn a living.\I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing!\I'm sorry.\I'm depressing, aren't I?\N-No, not at all... response:	I recently failed the Prima Promotion Exam.
context: I'm sure being a tour guide is a wonderful job,\but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing!\I'm sorry.\I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam. response:	The Prima Promotion Exam is hard, isn't it?
context: but working here allows me to stay involved with this city and its people.\That's why I love this job.\The gondola is now departing!\I'm sorry.\I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it? response:	Yes, it is...
context: That's why I love this job.\The gondola is now departing!\I'm sorry.\I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is... response:	It's hard...
context: The gondola is now departing!\I'm sorry.\I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard... response:	But I haven't given up.
context: I'm sorry.\I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard...\But I haven't given up. response:	I may be depressed and stuck in a rut right now,
context: I'm depressing, aren't I?\N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now, response:	but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,
context: N-No, not at all...\I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted, response:	I'll redo my training again and again.
context: I recently failed the Prima Promotion Exam.\The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again. response:	I'll keep challenging myself and retake it, no matter how many times it takes.
context: The Prima Promotion Exam is hard, isn't it?\Yes, it is...\It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes. response:	Yes.
context: Yes, it is...\It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes. response:	Akari, you're also aiming to become a Prima, right?
context: It's hard...\But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right? response:	Yes.
context: But I haven't given up.\I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right?\Yes. response:	But I don't have enough skill to take the promotion exam yet.
context: I may be depressed and stuck in a rut right now,\but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet. response:	I think that's why Alicia has never talked to me about the exam.
context: but I'm going to eat a lot, sleep a lot, and once my spirits are lifted,\I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam. response:	Someday if I do get to take the exam and I happen to fail it...
context: I'll redo my training again and again.\I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it... response:	Um, Alicia seems like a really nice person, doesn't she?
context: I'll keep challenging myself and retake it, no matter how many times it takes.\Yes.\Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she? response:	Yes! I really admire her, too.
context: Yes.\Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too. response:	All right! Let's get going, shall we?
context: Akari, you're also aiming to become a Prima, right?\Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we? response:	Right!
context: Yes.\But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we?\Right! response:	There we go.
context: But I don't have enough skill to take the promotion exam yet.\I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we?\Right!\There we go. response:	Don't worry. I'll be with you, so just relax and concentrate on your sculling.
context: I think that's why Alicia has never talked to me about the exam.\Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we?\Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling. response:	Right!
context: Someday if I do get to take the exam and I happen to fail it...\Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we?\Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right! response:	Okay, you can depart now.
context: Um, Alicia seems like a really nice person, doesn't she?\Yes! I really admire her, too.\All right! Let's get going, shall we?\Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now. response:	Okay! Yes!
context: Yes! I really admire her, too.\All right! Let's get going, shall we?\Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now.\Okay! Yes! response:	The gondola is now departing!
context: All right! Let's get going, shall we?\Right!\There we go.\Don't worry. I'll be with you, so just relax and concentrate on your sculling.\Right!\Okay, you can depart now.\Okay! Yes!\The gondola is now departing! response:	Akari Mizunashi, setting out!
