context: Chi response:	ha
context: I can't wait!\Thank you! Thank you!\Glad to be here.\Ni-Nira?\Nira-chan?\Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire! response:	Sumire!
context: Thank you! Thank you!\Glad to be here.\Ni-Nira?\Nira-chan?\Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire! response:	Su-Sumire-chan!
context: Glad to be here.\Ni-Nira?\Nira-chan?\Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan! response:	She's definitely an enemy.
context: Ni-Nira?\Nira-chan?\Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan!\She's definitely an enemy. response:	Pretty, clueless, and dumb.
context: Nira-chan?\Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb. response:	She's every girl's enemy!
context: Nira-chan\She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy! response:	I couldn't tell when she was wearing a hakama,
context: She can't even read my name right?!\Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama, response:	but she's got an amazing figure.
context: Stupid! Chihaya, it's Sumire!\Sumire!\Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure. response:	They look good together.
context: Sumire!\Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together. response:	Um, let's start by introducing the second-years.
context: Su-Sumire-chan!\She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years. response:	From the far end...
context: She's definitely an enemy.\Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years.\From the far end... response:	Excuse me, can I ask a question?
context: Pretty, clueless, and dumb.\She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question? response:	Does President Mashima have a girlfriend?
context: She's every girl's enemy!\I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend? response:	Excellent question!
context: I couldn't tell when she was wearing a hakama,\but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question! response:	Way to go, Hanano-san!
context: but she's got an amazing figure.\They look good together.\Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san! response:	Your upperclassman is talking!
context: They look good together.\Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking! response:	It's not your turn to speak!
context: Um, let's start by introducing the second-years.\From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak! response:	Small figure with huge boobs!
context: From the far end...\Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs! response:	Enemy!
context: Excuse me, can I ask a question?\Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs!\Enemy! response:	I need to take care of the tennis team.
context: Does President Mashima have a girlfriend?\Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs!\Enemy!\I need to take care of the tennis team. response:	I'm counting on you.
context: Excellent question!\Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs!\Enemy!\I need to take care of the tennis team.\I'm counting on you. response:	Um, have any of you played competitive karuta before?
context: Way to go, Hanano-san!\Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs!\Enemy!\I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before? response:	Who's memorized all of the Hundred Poets poems?
context: Your upperclassman is talking!\It's not your turn to speak!\Small figure with huge boobs!\Enemy!\I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems? response:	It's okay!
context: It's not your turn to speak!\Small figure with huge boobs!\Enemy!\I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay! response:	We were all beginners at one point!
context: Small figure with huge boobs!\Enemy!\I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point! response:	I made printouts of the poems with their unique syllables and meanings.
context: Enemy!\I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings. response:	Please start by memorizing all one hundred.
context: I need to take care of the tennis team.\I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred. response:	What? Memorize?
context: I'm counting on you.\Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize? response:	Why?
context: Um, have any of you played competitive karuta before?\Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize?\Why? response:	How many pages are there?
context: Who's memorized all of the Hundred Poets poems?\It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize?\Why?\How many pages are there? response:	This looks hard.
context: It's okay!\We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize?\Why?\How many pages are there?\This looks hard. response:	I can't do this.
context: We were all beginners at one point!\I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize?\Why?\How many pages are there?\This looks hard.\I can't do this. response:	Just skim it.
context: I made printouts of the poems with their unique syllables and meanings.\Please start by memorizing all one hundred.\What? Memorize?\Why?\How many pages are there?\This looks hard.\I can't do this.\Just skim it. response:	There will be a test in one week.
context: Please start by memorizing all one hundred.\What? Memorize?\Why?\How many pages are there?\This looks hard.\I can't do this.\Just skim it.\There will be a test in one week. response:	If you haven't memorized all of the poems, you fail.
context: What? Memorize?\Why?\How many pages are there?\This looks hard.\I can't do this.\Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail. response:	There will be a retest offered.
context: Why?\How many pages are there?\This looks hard.\I can't do this.\Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered. response:	What? A test?
context: How many pages are there?\This looks hard.\I can't do this.\Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test? response:	Kana-chan, a week isn't long enough.
context: This looks hard.\I can't do this.\Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough. response:	We have to memorize all of them?
context: I can't do this.\Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them? response:	They're in high school now!
context: Just skim it.\There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now! response:	They can do this.
context: There will be a test in one week.\If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now!\They can do this. response:	But...
context: If you haven't memorized all of the poems, you fail.\There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now!\They can do this.\But... response:	We have to make them do this!
context: There will be a retest offered.\What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now!\They can do this.\But...\We have to make them do this! response:	Um, we'll explain the rules next.
context: What? A test?\Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now!\They can do this.\But...\We have to make them do this!\Um, we'll explain the rules next. response:	Me?
context: Kana-chan, a week isn't long enough.\We have to memorize all of them?\They're in high school now!\They can do this.\But...\We have to make them do this!\Um, we'll explain the rules next.\Me? response:	Matches are played between two people.
context: We have to memorize all of them?\They're in high school now!\They can do this.\But...\We have to make them do this!\Um, we'll explain the rules next.\Me?\Matches are played between two people. response:	You take 50 of the Hundred Poets cards
context: They're in high school now!\They can do this.\But...\We have to make them do this!\Um, we'll explain the rules next.\Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards response:	and put the remainder back in the box.
context: They can do this.\But...\We have to make them do this!\Um, we'll explain the rules next.\Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box. response:	Each person places 25 cards, with a 3 centimeter gap in between.
context: But...\We have to make them do this!\Um, we'll explain the rules next.\Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between. response:	Here's your 3 centimeters.
context: We have to make them do this!\Um, we'll explain the rules next.\Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters. response:	This is the basic layout.
context: Um, we'll explain the rules next.\Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout. response:	You win if you reduce the 25 cards on your side to zero first.
context: Me?\Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first. response:	First, you have 15 minutes to memorize the positioning of
context: Matches are played between two people.\You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of response:	the 50 cards on the field.
context: You take 50 of the Hundred Poets cards\and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field. response:	This is just a tutorial, so we'll only use three minutes.
context: and put the remainder back in the box.\Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes. response:	One minute's enough.
context: Each person places 25 cards, with a 3 centimeter gap in between.\Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough. response:	The first poem read is the opening poem,
context: Here's your 3 centimeters.\This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem, response:	which isn't part of the Hundred Poets.
context: This is the basic layout.\You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets. response:	The poem of Naniwa Bay, said to be known
context: You win if you reduce the 25 cards on your side to zero first.\First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known response:	universally during the Heian period,
context: First, you have 15 minutes to memorize the positioning of\the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period, response:	was chosen as...
context: the 50 cards on the field.\This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as... response:	Kana-chan.
context: This is just a tutorial, so we'll only use three minutes.\One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as...\Kana-chan. response:	Here comes spring, now the flower blooms
context: One minute's enough.\The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as...\Kana-chan.\Here comes spring, now the flower blooms response:	Here comes spring, now the flower blooms
context: The first poem read is the opening poem,\which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as...\Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms response:	I feel that my love...
context: which isn't part of the Hundred Poets.\The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as...\Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love... response:	As my love first came...
context: The poem of Naniwa Bay, said to be known\universally during the Heian period,\was chosen as...\Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love...\As my love first came... response:	Huh?
context: universally during the Heian period,\was chosen as...\Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love...\As my love first came...\Huh? response:	What?
context: was chosen as...\Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love...\As my love first came...\Huh?\What? response:	What are they doing?
context: Kana-chan.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love...\As my love first came...\Huh?\What?\What are they doing? response:	Um, so there you go.
context: Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\I feel that my love...\As my love first came...\Huh?\What?\What are they doing?\Um, so there you go. response:	Once you learn the poems, the unique syllables,
context: Here comes spring, now the flower blooms\I feel that my love...\As my love first came...\Huh?\What?\What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables, response:	and how to position, you'll be able to quickly take cards.
context: I feel that my love...\As my love first came...\Huh?\What?\What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards. response:	Let's work together to make it to the National Championship.
context: As my love first came...\Huh?\What?\What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship. response:	Um...
context: Huh?\What?\What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um... response:	We're not interested in this complicated stuff.
context: What?\What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff. response:	Can we play bozu mekuri with the cards in a corner?
context: What are they doing?\Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner? response:	You're too frank, Hanano-san.
context: Um, so there you go.\Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san. response:	No kidding.
context: Once you learn the poems, the unique syllables,\and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding. response:	But I like the idea of playing bozu mekuri.
context: and how to position, you'll be able to quickly take cards.\Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri. response:	I don't know how to play that, either.
context: Let's work together to make it to the National Championship.\Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either. response:	We'll start by learning the Hundred Poets poems.
context: Um...\We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems. response:	See you again next week.
context: We're not interested in this complicated stuff.\Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week. response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!
context: Can we play bozu mekuri with the cards in a corner?\You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9! response:	You're a riot, Hanano-san.
context: You're too frank, Hanano-san.\No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san. response:	W-Well, that's how it goes at first.
context: No kidding.\But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first. response:	Since we have twenty people who want to join,
context: But I like the idea of playing bozu mekuri.\I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join, response:	we should do what we can to help them understand karuta.
context: I don't know how to play that, either.\We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta. response:	Right?
context: We'll start by learning the Hundred Poets poems.\See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right? response:	Huh?
context: See you again next week.\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right?\Huh? response:	Chihaya.
context: Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right?\Huh?\Chihaya. response:	You don't have time to teach first-years who aren't particularly interested.
context: You're a riot, Hanano-san.\W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right?\Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested. response:	If you're serious about playing in the Master and Queen match,
context: W-Well, that's how it goes at first.\Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right?\Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match, response:	shouldn't you skip club practice and go to the Shiranami Society instead?
context: Since we have twenty people who want to join,\we should do what we can to help them understand karuta.\Right?\Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead? response:	What are you talking about, Mashima?
context: we should do what we can to help them understand karuta.\Right?\Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima? response:	The high school tournament comes first.
context: Right?\Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first. response:	It's been a year since we last played as a team!
context: Huh?\Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team! response:	Are you saying that the individual tournament is more important?
context: Chihaya.\You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important? response:	Sure, you're probably worried because you still haven't made Class A...
context: You don't have time to teach first-years who aren't particularly interested.\If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A... response:	Porky!
context: If you're serious about playing in the Master and Queen match,\shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky! response:	I'll take responsibility for teaching them.
context: shouldn't you skip club practice and go to the Shiranami Society instead?\What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them. response:	We don't need twenty new members.
context: What are you talking about, Mashima?\The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them.\We don't need twenty new members. response:	I'll only let the ones who can keep up remain.
context: The high school tournament comes first.\It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain. response:	What? You can't do that, Kana-chan!
context: It's been a year since we last played as a team!\Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan! response:	I think it's a good idea.
context: Are you saying that the individual tournament is more important?\Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea. response:	The five of us will be playing in the high school tournament.
context: Sure, you're probably worried because you still haven't made Class A...\Porky!\I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament. response:	The first-years aren't important.
context: Porky!\I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important. response:	They can play bozu mekuri in the corner if they want.
context: I'll take responsibility for teaching them.\We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want. response:	Wh-Why would you all say that?
context: We don't need twenty new members.\I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that? response:	We need to train new members!
context: I'll only let the ones who can keep up remain.\What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members! response:	Or else the karuta club won't last very long!
context: What? You can't do that, Kana-chan!\I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long! response:	Ayase, what are you expecting from the first-years?
context: I think it's a good idea.\The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years? response:	We're the ones who will be winning matches.
context: The five of us will be playing in the high school tournament.\The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches. response:	I never knew, until the first-years came,
context: The first-years aren't important.\They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came, response:	that we all cared about
context: They can play bozu mekuri in the corner if they want.\Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about response:	different things.
context: Wh-Why would you all say that?\We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about\different things. response:	From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!
context: We need to train new members!\Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad! response:	That's not true!
context: Or else the karuta club won't last very long!\Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true! response:	I've already found my next potential boyfriend!
context: Ayase, what are you expecting from the first-years?\We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend! response:	He's a second-year and he's handsome and tall!
context: We're the ones who will be winning matches.\I never knew, until the first-years came,\that we all cared about\different things.\From: Nami Subject: Heya Sumire! Heard the news! You broke up with Kazuki? And in spring! Too sad!\That's not true!\I've already found my next potential boyfriend!\He's a second-year and he's handsome and tall! response:	From: Nami Subject: Re: Re: Heya Whoa! He's out of your league. Good luck! I don't see you landing that hunk.
