context: Rebooting attitude control system. response:	Ensign Ledo, your resistance is without meaning.
context: Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey... response:	As long as it was for a good cause, I thought.
context: How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought. response:	Even though it was just a mechanical sham,
context: Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham, response:	I couldn't tell the difference!
context: and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference! response:	Subservience is the path of peace.
context: When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace. response:	Ensign Ledo, realize this.
context: Surrender. Submit.\How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this. response:	Is this the cause the commander wanted?!
context: How empty was I... to believe in that hollow shell?!\Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?! response:	Did we fight for this?!
context: Just look up to it, rely on it, and obey...\As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?! response:	Spend the lives of our fellow human beings for this?!
context: As long as it was for a good cause, I thought.\Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?! response:	Chamber! Begin maximizing neuroplus power!
context: Even though it was just a mechanical sham,\I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power! response:	Permission denied. In circumstances without support,
context: I couldn't tell the difference!\Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support, response:	merging of pilot and machine is suicidal.
context: Subservience is the path of peace.\Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal. response:	I don't care! Just eat me!
context: Ensign Ledo, realize this.\Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me! response:	Impermissible decision.
context: Is this the cause the commander wanted?!\Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision. response:	It's okay, Chamber. It's family shame.
context: Did we fight for this?!\Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame. response:	I feel like you did just before.
context: Spend the lives of our fellow human beings for this?!\Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before. response:	It's a monster born from the human race,
context: Chamber! Begin maximizing neuroplus power!\Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race, response:	who couldn't stop hating each other so much that they abandoned their home.
context: Permission denied. In circumstances without support,\merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home. response:	You, me, that thing, we're all the same, born and raised in the same world.
context: merging of pilot and machine is suicidal.\I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world. response:	There's no place for us on this world that's been reborn.
context: I don't care! Just eat me!\Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn. response:	And there's no way for us to go back home, either.
context: Impermissible decision.\It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either. response:	So it's fine.
context: It's okay, Chamber. It's family shame.\I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine. response:	If we can take that thing with us, I have no regrets.
context: I feel like you did just before.\It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets. response:	There are no holes in your logic.
context: It's a monster born from the human race,\who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic. response:	All systems connecting to Ensign Ledo's central nervous system.
context: who couldn't stop hating each other so much that they abandoned their home.\You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system. response:	Critical performance increasing by 153.
context: You, me, that thing, we're all the same, born and raised in the same world.\There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153. response:	482 seconds until critical failure of vital systems.
context: There's no place for us on this world that's been reborn.\And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems. response:	That'll be plenty.
context: And there's no way for us to go back home, either.\So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty. response:	Resistance is meaningless.
context: So it's fine.\If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless. response:	We're told that key
context: If we can take that thing with us, I have no regrets.\There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless.\We're told that key response:	was once for unfolding a ladder to the world of the stars.
context: There are no holes in your logic.\All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars. response:	The ladder has lost the height that would pierce the heavens,
context: All systems connecting to Ensign Ledo's central nervous system.\Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens, response:	but even so, as an invincible catapult that fires arrows to the other side of the sky,
context: Critical performance increasing by 153.\482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky, response:	it has been entrusted to the hands of we Five Sages.
context: 482 seconds until critical failure of vital systems.\That'll be plenty.\Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages. response:	And now, this weapon of the lost age will be reawakened.
context: That'll be plenty.\Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened. response:	We ask you to have the resolve to carry out this forbidden action.
context: Resistance is meaningless.\We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action. response:	Ridget... Leader of Gargantia...
context: We're told that key\was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia... response:	It's fine. I have a duty to protect all of the people
context: was once for unfolding a ladder to the world of the stars.\The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people response:	who have gathered on this ship.
context: The ladder has lost the height that would pierce the heavens,\but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship. response:	Ledo!
context: but even so, as an invincible catapult that fires arrows to the other side of the sky,\it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo! response:	We're with you! We'll fight together!
context: it has been entrusted to the hands of we Five Sages.\And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo!\We're with you! We'll fight together! response:	Amy...
context: And now, this weapon of the lost age will be reawakened.\We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo!\We're with you! We'll fight together!\Amy... response:	After being apart from you, I finally understood!
context: We ask you to have the resolve to carry out this forbidden action.\Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo!\We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood! response:	No matter how hard it is, I want to be by your side!
context: Ridget... Leader of Gargantia...\It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo!\We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side! response:	So...
context: It's fine. I have a duty to protect all of the people\who have gathered on this ship.\Ledo!\We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So... response:	So come back!
context: who have gathered on this ship.\Ledo!\We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So...\So come back! response:	To the place you tried to protect!
context: Ledo!\We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So...\So come back!\To the place you tried to protect! response:	To our Gargantia!
context: We're with you! We'll fight together!\Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So...\So come back!\To the place you tried to protect!\To our Gargantia! response:	What is that?!
context: Amy...\After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So...\So come back!\To the place you tried to protect!\To our Gargantia!\What is that?! response:	We're not gonna let anyone touch a friend of ours!
context: After being apart from you, I finally understood!\No matter how hard it is, I want to be by your side!\So...\So come back!\To the place you tried to protect!\To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours! response:	It's come!
context: No matter how hard it is, I want to be by your side!\So...\So come back!\To the place you tried to protect!\To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours!\It's come! response:	Targeting correction at 35 degrees east! 58 degrees south!
context: So...\So come back!\To the place you tried to protect!\To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south! response:	Incredible accuracy...
context: So come back!\To the place you tried to protect!\To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy... response:	Ask Gargantia to fire the next round!
context: To the place you tried to protect!\To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round! response:	Ammo prep team, turn the ship portside!
context: To our Gargantia!\What is that?!\We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside! response:	In just a moment, the second launch will be ready!
context: What is that?!\We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready! response:	Wait for the order to fire!
context: We're not gonna let anyone touch a friend of ours!\It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire! response:	Who would've believed, a beat-up old ship that should've been junked
context: It's come!\Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked response:	would end up soaring through the sky!
context: Targeting correction at 35 degrees east! 58 degrees south!\Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky! response:	Careful! That hold is loaded to the gills with explosives!
context: Incredible accuracy...\Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives! response:	Treat it gently! Gently!
context: Ask Gargantia to fire the next round!\Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently! response:	35 degrees east, 58 degrees south.
context: Ammo prep team, turn the ship portside!\In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south. response:	Target coordinate corrections complete.
context: In just a moment, the second launch will be ready!\Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete. response:	Ammunition loading complete.
context: Wait for the order to fire!\Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete. response:	Beginning anti-shockwave water screen!
context: Who would've believed, a beat-up old ship that should've been junked\would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen! response:	Ridget...
context: would end up soaring through the sky!\Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget... response:	Fire!
context: Careful! That hold is loaded to the gills with explosives!\Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget...\Fire! response:	Y-You...!
context: Treat it gently! Gently!\35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget...\Fire!\Y-You...! response:	Sister!
context: 35 degrees east, 58 degrees south.\Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget...\Fire!\Y-You...!\Sister! response:	What the hell is that?!
context: Target coordinate corrections complete.\Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget...\Fire!\Y-You...!\Sister!\What the hell is that?! response:	That's...
context: Ammunition loading complete.\Beginning anti-shockwave water screen!\Ridget...\Fire!\Y-You...!\Sister!\What the hell is that?!\That's... response:	Don't tell me... They're using the Heaven's Ladder?!
context: Beginning anti-shockwave water screen!\Ridget...\Fire!\Y-You...!\Sister!\What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?! response:	Major danger confirmed. Changing priorities.
context: Ridget...\Fire!\Y-You...!\Sister!\What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities. response:	Conjecture: Striker has changed its target to Gargantia.
context: Fire!\Y-You...!\Sister!\What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia. response:	Over my dead body!
context: Y-You...!\Sister!\What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body! response:	Kugel-sama...
context: Sister!\What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama... response:	Don't panic!
context: What the hell is that?!\That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama...\Don't panic! response:	Kugel-sama will destroy it at the source!
context: That's...\Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source! response:	Enemy reinforcements!
context: Don't tell me... They're using the Heaven's Ladder?!\Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements! response:	What?!
context: Major danger confirmed. Changing priorities.\Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?! response:	At this rate, our formation will be lost!
context: Conjecture: Striker has changed its target to Gargantia.\Over my dead body!\Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?!\At this rate, our formation will be lost! response:	Stay calm!
context: Over my dead body!\Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?!\At this rate, our formation will be lost!\Stay calm! response:	Get control of the relic island!
context: Kugel-sama...\Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?!\At this rate, our formation will be lost!\Stay calm!\Get control of the relic island! response:	If we can just get our hands on those weapons...
context: Don't panic!\Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?!\At this rate, our formation will be lost!\Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons... response:	In short, if I take this energy build it up at the cannon...
context: Kugel-sama will destroy it at the source!\Enemy reinforcements!\What?!\At this rate, our formation will be lost!\Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon... response:	Pinion!
context: Enemy reinforcements!\What?!\At this rate, our formation will be lost!\Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion! response:	Kugel's followers are closing in on you below!
context: What?!\At this rate, our formation will be lost!\Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below! response:	They're playin' right into my hands!
context: At this rate, our formation will be lost!\Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands! response:	In just a little bit, this tower will pop like a balloon!
context: Stay calm!\Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon! response:	I wouldn't screw up and let'em get my weapon!
context: Get control of the relic island!\If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon! response:	Silence!
context: If we can just get our hands on those weapons...\In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence! response:	You selfish oaf, pretending to be cool!
context: In short, if I take this energy build it up at the cannon...\Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool! response:	Now go to the observation platform without another word!
context: Pinion!\Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word! response:	Right!
context: Kugel's followers are closing in on you below!\They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right! response:	318 seconds until we reach Gargantia.
context: They're playin' right into my hands!\In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia. response:	We've gotta stop it, no matter what it takes!
context: In just a little bit, this tower will pop like a balloon!\I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes! response:	Roger.
context: I wouldn't screw up and let'em get my weapon!\Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger. response:	Don't let go!
context: Silence!\You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger.\Don't let go! response:	Hey, hey, hey! What are we gonna do about that?!
context: You selfish oaf, pretending to be cool!\Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?! response:	No worries. Gargantia is going to send cannonfire
context: Now go to the observation platform without another word!\Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire response:	that'll blow that tower away.
context: Right!\318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away. response:	Hey, don't even joke! This is my...
context: 318 seconds until we reach Gargantia.\We've gotta stop it, no matter what it takes!\Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my... response:	Jump after I count down from five!
context: We've gotta stop it, no matter what it takes!\Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five! response:	What's gonna...?
context: Roger.\Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...? response:	Goddammit!
context: Don't let go!\Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...?\Goddammit! response:	Pinion!
context: Hey, hey, hey! What are we gonna do about that?!\No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...?\Goddammit!\Pinion! response:	Amore!
context: No worries. Gargantia is going to send cannonfire\that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...?\Goddammit!\Pinion!\Amore! response:	Pinion!
context: that'll blow that tower away.\Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...?\Goddammit!\Pinion!\Amore!\Pinion! response:	Yahoo!
context: Hey, don't even joke! This is my...\Jump after I count down from five!\What's gonna...?\Goddammit!\Pinion!\Amore!\Pinion!\Yahoo! response:	That's our boss!
context: Jump after I count down from five!\What's gonna...?\Goddammit!\Pinion!\Amore!\Pinion!\Yahoo!\That's our boss! response:	Yeah!
context: What's gonna...?\Goddammit!\Pinion!\Amore!\Pinion!\Yahoo!\That's our boss!\Yeah! response:	Ridget, now!
context: Goddammit!\Pinion!\Amore!\Pinion!\Yahoo!\That's our boss!\Yeah!\Ridget, now! response:	This is the finishing stroke. See you later, Lobster's parting gift!
context: Pinion!\Amore!\Pinion!\Yahoo!\That's our boss!\Yeah!\Ridget, now!\This is the finishing stroke. See you later, Lobster's parting gift! response:	Me and my bro's castle...
