context: The silver pin, response:	given to the boy and girl in each class with the top test scores.
context: If you insist.\Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over. response:	Now she's gonna stay alone.
context: Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone. response:	Wait, why is this my problem?
context: Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem? response:	Let the kids be!
context: but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be! response:	Hishiro-san, don't you have any friends to eat lunch with?
context: I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with? response:	I don't.
context: Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't. response:	Thought not...
context: But maybe I hurt Hishiro-san's chances a bit.\Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not... response:	Why are you even asking?
context: Just when Oga thought to invite her over.\Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not...\Why are you even asking? response:	Didn't I tell you I had no friends already?
context: Now she's gonna stay alone.\Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not...\Why are you even asking?\Didn't I tell you I had no friends already? response:	Are you mocking me?
context: Wait, why is this my problem?\Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not...\Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me? response:	Crap.
context: Let the kids be!\Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not...\Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me?\Crap. response:	A sticker...
context: Hishiro-san, don't you have any friends to eat lunch with?\I don't.\Thought not...\Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me?\Crap.\A sticker... response:	Why choose that one now?!
context: I don't.\Thought not...\Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me?\Crap.\A sticker...\Why choose that one now?! response:	Is she emotionally unstable?!
context: Thought not...\Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me?\Crap.\A sticker...\Why choose that one now?!\Is she emotionally unstable?! response:	But don't worry.
context: Why are you even asking?\Didn't I tell you I had no friends already?\Are you mocking me?\Crap.\A sticker...\Why choose that one now?!\Is she emotionally unstable?!\But don't worry. response:	It feels like I might make a friend soon.
context: Didn't I tell you I had no friends already?\Are you mocking me?\Crap.\A sticker...\Why choose that one now?!\Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon. response:	Oh?
context: Are you mocking me?\Crap.\A sticker...\Why choose that one now?!\Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon.\Oh? response:	I think I've been getting along with Kariu-san lately.
context: Crap.\A sticker...\Why choose that one now?!\Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately. response:	What gave you that idea?!
context: A sticker...\Why choose that one now?!\Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?! response:	Did something happen between them when I wasn't looking?
context: Why choose that one now?!\Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking? response:	No, no. Kariu looked ready to kill at lunch.
context: Is she emotionally unstable?!\But don't worry.\It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch. response:	This is totally Hishiro-san misreading things.
context: But don't worry.\It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things. response:	How bad is she at observing those around her?
context: It feels like I might make a friend soon.\Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her? response:	Not to mention, she sucks at remembering names.
context: Oh?\I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names. response:	Maybe she doesn't care about other people?
context: I think I've been getting along with Kariu-san lately.\What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people? response:	Kids these days are so unsocial.
context: What gave you that idea?!\Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial. response:	But damn... she really is totally alone.
context: Did something happen between them when I wasn't looking?\No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone. response:	Right...
context: No, no. Kariu looked ready to kill at lunch.\This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone.\Right... response:	I know someone else...
context: This is totally Hishiro-san misreading things.\How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone.\Right...\I know someone else... response:	Kaizaki Arata
context: How bad is she at observing those around her?\Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone.\Right...\I know someone else...\Kaizaki Arata response:	I can't do that.
context: Not to mention, she sucks at remembering names.\Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone.\Right...\I know someone else...\Kaizaki Arata\I can't do that. response:	Why not?
context: Maybe she doesn't care about other people?\Kids these days are so unsocial.\But damn... she really is totally alone.\Right...\I know someone else...\Kaizaki Arata\I can't do that.\Why not? response:	You're all alone, too, anyway.
context: Kids these days are so unsocial.\But damn... she really is totally alone.\Right...\I know someone else...\Kaizaki Arata\I can't do that.\Why not?\You're all alone, too, anyway. response:	As a pair of loners, the two of you should get along.
context: But damn... she really is totally alone.\Right...\I know someone else...\Kaizaki Arata\I can't do that.\Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along. response:	Considering you're trying to be nice, you sure have a rude way of putting it.
context: Right...\I know someone else...\Kaizaki Arata\I can't do that.\Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it. response:	What do you mean, I'm all alone anyway?
context: I know someone else...\Kaizaki Arata\I can't do that.\Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway? response:	I choose not to mingle for work reasons.
context: Kaizaki Arata\I can't do that.\Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons. response:	I can't exactly stalk you if I'm with Hishiro-san.
context: I can't do that.\Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san. response:	You were in the same class as her last year,
context: Why not?\You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year, response:	and you sit next to her. You can at least eat
context: You're all alone, too, anyway.\As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat response:	I can't.
context: As a pair of loners, the two of you should get along.\Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't. response:	You cold-hearted sadist.
context: Considering you're trying to be nice, you sure have a rude way of putting it.\What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist. response:	If it's that important, why not invite her yourself?
context: What do you mean, I'm all alone anyway?\I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself? response:	Well...
context: I choose not to mingle for work reasons.\I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well... response:	I'm asking'cause I can't.
context: I can't exactly stalk you if I'm with Hishiro-san.\You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't. response:	What's this? It sounds like you really care.
context: You were in the same class as her last year,\and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't.\What's this? It sounds like you really care. response:	What happened to staying in the background all year?
context: and you sit next to her. You can at least eat\I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year? response:	Well...
context: I can't.\You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year?\Well... response:	I think it's a good thing, you know.
context: You cold-hearted sadist.\If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year?\Well...\I think it's a good thing, you know. response:	You're paying attention to those around you.
context: If it's that important, why not invite her yourself?\Well...\I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year?\Well...\I think it's a good thing, you know.\You're paying attention to those around you. response:	You don't just notice... you take action to help.
context: Well...\I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year?\Well...\I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help. response:	I think it's one of your strengths.
context: I'm asking'cause I can't.\What's this? It sounds like you really care.\What happened to staying in the background all year?\Well...\I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths. response:	But don't you wonder?
context: What's this? It sounds like you really care.\What happened to staying in the background all year?\Well...\I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder? response:	Is getting rid of all the thorns in someone's path
context: What happened to staying in the background all year?\Well...\I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path response:	really what's best for them?
context: Well...\I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them? response:	While they're still young enough to be allowed to trip and fall,
context: I think it's a good thing, you know.\You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall, response:	it's important for them to learn the pain of it
context: You're paying attention to those around you.\You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it response:	and how to pick themselves up again.
context: You don't just notice... you take action to help.\I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again. response:	Every now and then...
context: I think it's one of your strengths.\But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then... response:	So you think my attempts to help wouldn't benefit them?
context: But don't you wonder?\Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them? response:	You don't recommend it?
context: Is getting rid of all the thorns in someone's path\really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it? response:	No, sorry. I just said what crossed my mind.
context: really what's best for them?\While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind. response:	You can live your ReLIFE any way you see fit, Kaizaki-san.
context: While they're still young enough to be allowed to trip and fall,\it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san. response:	Somewhere along the line, my life...
context: it's important for them to learn the pain of it\and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life... response:	I mean, isn't it a shame?
context: and how to pick themselves up again.\Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame? response:	I just want them all to enjoy the time they're having at school.
context: Every now and then...\So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school. response:	Maybe I'm thinking like an old man prone to lectures...
context: So you think my attempts to help wouldn't benefit them?\You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures... response:	But seeing your friends every day like it's nothing...
context: You don't recommend it?\No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing... response:	Fight with all your might.
context: No, sorry. I just said what crossed my mind.\You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might. response:	With those young kids, give your mind and heart a solid workout.
context: You can live your ReLIFE any way you see fit, Kaizaki-san.\Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout. response:	Let your heart, which had dried up and gotten stiff, beat once more.
context: Somewhere along the line, my life...\I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more. response:	May 1st
context: I mean, isn't it a shame?\I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st response:	May, huh?
context: I just want them all to enjoy the time they're having at school.\Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh? response:	I've been at this ReLIFE thing a whole month.
context: Maybe I'm thinking like an old man prone to lectures...\But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh?\I've been at this ReLIFE thing a whole month. response:	Not sure if it went by in a flash or lasted forever.
context: But seeing your friends every day like it's nothing...\Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever. response:	Arata!
context: Fight with all your might.\With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata! response:	I've got a committee meeting, so here.
context: With those young kids, give your mind and heart a solid workout.\Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here. response:	A handout for your make-up retest.
context: Let your heart, which had dried up and gotten stiff, beat once more.\May 1st\May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here.\A handout for your make-up retest. response:	With you gone, I figured we wouldn't be studying today.
context: May 1st\May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today. response:	Didn't you say you'd do your best?
context: May, huh?\I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best? response:	I did. Sorry.
context: I've been at this ReLIFE thing a whole month.\Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry. response:	You know there's a study room at the end of the second floor, right?
context: Not sure if it went by in a flash or lasted forever.\Arata!\I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right? response:	Be sure to solve that before you leave.
context: Arata!\I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave. response:	Okay...
context: I've got a committee meeting, so here.\A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay... response:	Kazu-kun.
context: A handout for your make-up retest.\With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay...\Kazu-kun. response:	Let's go to the committee meeting.
context: With you gone, I figured we wouldn't be studying today.\Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay...\Kazu-kun.\Let's go to the committee meeting. response:	Oh, sorry, Hishiro-san.
context: Didn't you say you'd do your best?\I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay...\Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san. response:	I'm coming.
context: I did. Sorry.\You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay...\Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming. response:	Okay.
context: You know there's a study room at the end of the second floor, right?\Be sure to solve that before you leave.\Okay...\Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming.\Okay. response:	Oh... Kariu-san.
context: Be sure to solve that before you leave.\Okay...\Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming.\Okay.\Oh... Kariu-san. response:	Our eyes met again.
context: Okay...\Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming.\Okay.\Oh... Kariu-san.\Our eyes met again. response:	Honoka!
context: Kazu-kun.\Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming.\Okay.\Oh... Kariu-san.\Our eyes met again.\Honoka! response:	Let's go to practice.
context: Let's go to the committee meeting.\Oh, sorry, Hishiro-san.\I'm coming.\Okay.\Oh... Kariu-san.\Our eyes met again.\Honoka!\Let's go to practice. response:	C'mon, Hishiro-san!
context: Oh, sorry, Hishiro-san.\I'm coming.\Okay.\Oh... Kariu-san.\Our eyes met again.\Honoka!\Let's go to practice.\C'mon, Hishiro-san! response:	U-Uh, yeah.
context: I'm coming.\Okay.\Oh... Kariu-san.\Our eyes met again.\Honoka!\Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah. response:	Does she smile at Oga the way she smiles at Kaizaki?
context: Okay.\Oh... Kariu-san.\Our eyes met again.\Honoka!\Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki? response:	We're out of balls. Better pick'em up.
context: Oh... Kariu-san.\Our eyes met again.\Honoka!\Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up. response:	Yeah!
context: Our eyes met again.\Honoka!\Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah! response:	Oh, there she is.
context: Honoka!\Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah!\Oh, there she is. response:	See? I told you they'd still be at it.
context: Let's go to practice.\C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah!\Oh, there she is.\See? I told you they'd still be at it. response:	Let's go home, Tama.
context: C'mon, Hishiro-san!\U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah!\Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama. response:	Huh?
context: U-Uh, yeah.\Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah!\Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama.\Huh? response:	Is it that late?
context: Does she smile at Oga the way she smiles at Kaizaki?\We're out of balls. Better pick'em up.\Yeah!\Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama.\Huh?\Is it that late? response:	Sorry, I totally lost track of time!
context: We're out of balls. Better pick'em up.\Yeah!\Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama.\Huh?\Is it that late?\Sorry, I totally lost track of time! response:	Go change.
context: Yeah!\Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama.\Huh?\Is it that late?\Sorry, I totally lost track of time!\Go change. response:	But the balls...
context: Oh, there she is.\See? I told you they'd still be at it.\Let's go home, Tama.\Huh?\Is it that late?\Sorry, I totally lost track of time!\Go change.\But the balls... response:	It's fine. I'm not leaving yet, anyway.
context: See? I told you they'd still be at it.\Let's go home, Tama.\Huh?\Is it that late?\Sorry, I totally lost track of time!\Go change.\But the balls...\It's fine. I'm not leaving yet, anyway. response:	You need to catch your train, right?
context: Let's go home, Tama.\Huh?\Is it that late?\Sorry, I totally lost track of time!\Go change.\But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right? response:	Thanks.
context: Huh?\Is it that late?\Sorry, I totally lost track of time!\Go change.\But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks. response:	Aki-chan, Nobu-chan, wait right here!
context: Is it that late?\Sorry, I totally lost track of time!\Go change.\But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here! response:	I'll go get changed in a jiffy!
context: Sorry, I totally lost track of time!\Go change.\But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy! response:	Sorry, Kariu-san.
context: Go change.\But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san. response:	Tama-chan always makes you stay late with her, huh?
context: But the balls...\It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh? response:	But, thanks to you,
context: It's fine. I'm not leaving yet, anyway.\You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you, response:	she seems to be enjoying practice a lot more than she used to.
context: You need to catch your train, right?\Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to. response:	Nah. I'm the one making her stay.
context: Thanks.\Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay. response:	You're doing more for her!
context: Aki-chan, Nobu-chan, wait right here!\I'll go get changed in a jiffy!\Sorry, Kariu-san.\Tama-chan always makes you stay late with her, huh?\But, thanks to you,\she seems to be enjoying practice a lot more than she used to.\Nah. I'm the one making her stay.\You're doing more for her! response:	Waiting this late to go home with her.
