context: It's been too long. response:	Episode 3 The Confession
context: It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma. response:	Mr. Hakim?
context: And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma.\Mr. Hakim? response:	I'll give you a ride home.
context: What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma.\Mr. Hakim?\I'll give you a ride home. response:	Eh? No, I'm fine...!
context: Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma.\Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...! response:	U-um...
context: Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma.\Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...!\U-um... response:	There's no need to refuse.
context: Yes, sir. Your guest left a few minutes ago.\Hakim did?\Emma.\Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...!\U-um...\There's no need to refuse. response:	That Hakim...
context: Hakim did?\Emma.\Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...!\U-um...\There's no need to refuse.\That Hakim... response:	Why is Emma...?
context: Emma.\Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...!\U-um...\There's no need to refuse.\That Hakim...\Why is Emma...? response:	Follow that carriage!
context: Mr. Hakim?\I'll give you a ride home.\Eh? No, I'm fine...!\U-um...\There's no need to refuse.\That Hakim...\Why is Emma...?\Follow that carriage! response:	I'm sorry. Thank you very much.
context: I'll give you a ride home.\Eh? No, I'm fine...!\U-um...\There's no need to refuse.\That Hakim...\Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much. response:	Oh that's right, lndian food uses many spices, doesn't it?
context: Eh? No, I'm fine...!\U-um...\There's no need to refuse.\That Hakim...\Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it? response:	That's right.
context: U-um...\There's no need to refuse.\That Hakim...\Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right. response:	But, isn't adding all those spices bad for your health?
context: There's no need to refuse.\That Hakim...\Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health? response:	Turmeric, cloves,
context: That Hakim...\Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves, response:	cardamom, coriander, cumin,
context: Why is Emma...?\Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin, response:	ajwain, fennel...
context: Follow that carriage!\I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel... response:	There are many spices, but they're all good for your health.
context: I'm sorry. Thank you very much.\Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health. response:	Hakim!
context: Oh that's right, lndian food uses many spices, doesn't it?\That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim! response:	What is it?
context: That's right.\But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim!\What is it? response:	Uh, no... Never mind...
context: But, isn't adding all those spices bad for your health?\Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim!\What is it?\Uh, no... Never mind... response:	The Wilbur and Hopkins Company...
context: Turmeric, cloves,\cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim!\What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company... response:	They have come to deliver the item you ordered.
context: cardamom, coriander, cumin,\ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim!\What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered. response:	Thank you very much for your order.
context: ajwain, fennel...\There are many spices, but they're all good for your health.\Hakim!\What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order. response:	Here is the completed item.
context: There are many spices, but they're all good for your health.\Hakim!\What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item. response:	I see... Hm?
context: Hakim!\What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item.\I see... Hm? response:	I trust the name is correct?
context: What is it?\Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item.\I see... Hm?\I trust the name is correct? response:	The name?
context: Uh, no... Never mind...\The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item.\I see... Hm?\I trust the name is correct?\The name? response:	Wha- What?
context: The Wilbur and Hopkins Company...\They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item.\I see... Hm?\I trust the name is correct?\The name?\Wha- What? response:	Eh?
context: They have come to deliver the item you ordered.\Thank you very much for your order.\Here is the completed item.\I see... Hm?\I trust the name is correct?\The name?\Wha- What?\Eh? response:	Ah, b-but...
context: Thank you very much for your order.\Here is the completed item.\I see... Hm?\I trust the name is correct?\The name?\Wha- What?\Eh?\Ah, b-but... response:	The order form says that I should deliver this to the Jones residence.
context: Here is the completed item.\I see... Hm?\I trust the name is correct?\The name?\Wha- What?\Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence. response:	May I see that?
context: I see... Hm?\I trust the name is correct?\The name?\Wha- What?\Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that? response:	Of course.
context: I trust the name is correct?\The name?\Wha- What?\Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that?\Of course. response:	Please come in.
context: The name?\Wha- What?\Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that?\Of course.\Please come in. response:	Are you alone today, sir?
context: Wha- What?\Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that?\Of course.\Please come in.\Are you alone today, sir? response:	Yes.
context: Eh?\Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that?\Of course.\Please come in.\Are you alone today, sir?\Yes. response:	The mistress will be home soon. Please have a seat, sir.
context: Ah, b-but...\The order form says that I should deliver this to the Jones residence.\May I see that?\Of course.\Please come in.\Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir. response:	I hope you find the taste agreeable, sir.
context: The order form says that I should deliver this to the Jones residence.\May I see that?\Of course.\Please come in.\Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir. response:	Actually, I came here to see you.
context: May I see that?\Of course.\Please come in.\Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you. response:	Emma, are you and William lovers?
context: Of course.\Please come in.\Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers? response:	What?
context: Please come in.\Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers?\What? response:	No, nothing like that...
context: Are you alone today, sir?\Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers?\What?\No, nothing like that... response:	I'm glad. It would have been awkward if you were.
context: Yes.\The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers?\What?\No, nothing like that...\I'm glad. It would have been awkward if you were. response:	William is one of my most precious friends.
context: The mistress will be home soon. Please have a seat, sir.\I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers?\What?\No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends. response:	I don't want to betray his friendship.
context: I hope you find the taste agreeable, sir.\Actually, I came here to see you.\Emma, are you and William lovers?\What?\No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship. response:	I know that it's sudden, and that we've only just met.
context: Actually, I came here to see you.\Emma, are you and William lovers?\What?\No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met. response:	Forgive me, I don't mean to cause you trouble... That is...
context: Emma, are you and William lovers?\What?\No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is... response:	You see,
context: What?\No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see, response:	I love you.
context: No, nothing like that...\I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you. response:	Although I don't know you very well,
context: I'm glad. It would have been awkward if you were.\William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you.\Although I don't know you very well, response:	I love the way you stand.
context: William is one of my most precious friends.\I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you.\Although I don't know you very well,\I love the way you stand. response:	I love the way you move, and the way you speak so gently.
context: I don't want to betray his friendship.\I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you.\Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently. response:	Your dulcet voice is beautiful as well...
context: I know that it's sudden, and that we've only just met.\Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you.\Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well... response:	But I love your face most of all.
context: Forgive me, I don't mean to cause you trouble... That is...\You see,\I love you.\Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all. response:	My... face?
context: You see,\I love you.\Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face? response:	Don't you like your own face?
context: I love you.\Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face?\Don't you like your own face? response:	I apologize if I upset you, but...
context: Although I don't know you very well,\I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face?\Don't you like your own face?\I apologize if I upset you, but... response:	Emma... if you don't mind, I'd like to take care of you.
context: I love the way you stand.\I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face?\Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you. response:	That's what I wanted to tell you...
context: I love the way you move, and the way you speak so gently.\Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face?\Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you... response:	At any rate, I just wanted to see you again.
context: Your dulcet voice is beautiful as well...\But I love your face most of all.\My... face?\Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again. response:	William.
context: But I love your face most of all.\My... face?\Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William. response:	You've had that gloomy look on your face all night. Did something happen?
context: My... face?\Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen? response:	No, not really.
context: Don't you like your own face?\I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen?\No, not really. response:	By the way, I saw the newspaper.
context: I apologize if I upset you, but...\Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper. response:	Seems like there's a lot going on at your place.
context: Emma... if you don't mind, I'd like to take care of you.\That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place. response:	Isn't your famous guest with you today?
context: That's what I wanted to tell you...\At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place.\Isn't your famous guest with you today? response:	Oh, no... I'll introduce you next time.
context: At any rate, I just wanted to see you again.\William.\You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place.\Isn't your famous guest with you today?\Oh, no... I'll introduce you next time. response:	Then again...
context: William.\You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place.\Isn't your famous guest with you today?\Oh, no... I'll introduce you next time.\Then again... response:	he must be out searching for a wife!
context: You've had that gloomy look on your face all night. Did something happen?\No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place.\Isn't your famous guest with you today?\Oh, no... I'll introduce you next time.\Then again...\he must be out searching for a wife! response:	I guess there's no use for this now.
context: No, not really.\By the way, I saw the newspaper.\Seems like there's a lot going on at your place.\Isn't your famous guest with you today?\Oh, no... I'll introduce you next time.\Then again...\he must be out searching for a wife!\I guess there's no use for this now. response:	Next Episode: Mudie's
