context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: He was also alleged to have submit falsified reports of his Crime Coefficient, but he refused to have it re-measured.\When the media and the opposition parties questioned him,\he tried to dodge the questions with cliched answers like, I don't recall.\Then, he was found dead\with his skull cleanly cut open and his brain completely gouged out.\His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed, response:	I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.
context: When the media and the opposition parties questioned him,\he tried to dodge the questions with cliched answers like, I don't recall.\Then, he was found dead\with his skull cleanly cut open and his brain completely gouged out.\His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message. response:	There were four victims.
context: he tried to dodge the questions with cliched answers like, I don't recall.\Then, he was found dead\with his skull cleanly cut open and his brain completely gouged out.\His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims. response:	The places their bodies were found were...
context: Then, he was found dead\with his skull cleanly cut open and his brain completely gouged out.\His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were... response:	underneath a Holographic display,
context: with his skull cleanly cut open and his brain completely gouged out.\His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were...\underneath a Holographic display, response:	a luxury Japanese-style restaurant,
context: His hippocampus, the part of the brain that plays an important role in memory,\had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant, response:	a zoo, and right above a stage set up for an idol's concert.
context: had been inserted into his anus.\Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert. response:	But this time, both bodies were found in a park.
context: Based on this and the way Sasayama was killed,\I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park. response:	A much more boring setup.
context: I'd say the culprit back then wanted the ways he killed and exhibited the bodies to convey some sort of message.\There were four victims.\The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup. response:	Boring?
context: There were four victims.\The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup.\Boring? response:	There's no twisted humor in these murders, no message.
context: The places their bodies were found were...\underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup.\Boring?\There's no twisted humor in these murders, no message. response:	They're beautiful and devilish, and look like works of art,
context: underneath a Holographic display,\a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup.\Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art, response:	but something critical is missing.
context: a luxury Japanese-style restaurant,\a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup.\Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing. response:	What is this something?
context: a zoo, and right above a stage set up for an idol's concert.\But this time, both bodies were found in a park.\A much more boring setup.\Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something? response:	Originality.
context: But this time, both bodies were found in a park.\A much more boring setup.\Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something?\Originality. response:	Originality, you say?
context: A much more boring setup.\Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something?\Originality.\Originality, you say? response:	Despite the elaborate form of these murders,
context: Boring?\There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something?\Originality.\Originality, you say?\Despite the elaborate form of these murders, response:	the culprit isn't sending a strong message.
context: There's no twisted humor in these murders, no message.\They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something?\Originality.\Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message. response:	Or at least, I don't sense one.
context: They're beautiful and devilish, and look like works of art,\but something critical is missing.\What is this something?\Originality.\Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one. response:	To Touma Kouzaburo, murdering people was just about preparing materials.
context: but something critical is missing.\What is this something?\Originality.\Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials. response:	Up to that point, the current case is the same.
context: What is this something?\Originality.\Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same. response:	But from then onward...
context: Originality.\Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward... response:	the ways they worked on the bodies are totally different.
context: Originality, you say?\Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different. response:	I get a totally different picture of this culprit.
context: Despite the elaborate form of these murders,\the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit. response:	He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.
context: the culprit isn't sending a strong message.\Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement. response:	But he's quite young,
context: Or at least, I don't sense one.\To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young, response:	or he's someone whose mental age is young.
context: To Touma Kouzaburo, murdering people was just about preparing materials.\Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young. response:	Considering the bodies didn't show many indignities of a sexual nature,
context: Up to that point, the current case is the same.\But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature, response:	we can guess that he wasn't abused as a child.
context: But from then onward...\the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child. response:	Is that...
context: the ways they worked on the bodies are totally different.\I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that... response:	It's sort of like profiling.
context: I get a totally different picture of this culprit.\He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling. response:	Inspector, I'm applying for permission to go out.
context: He's highly intelligent and is assigned to a job with a high income by Sibyl's Judgement.\But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out. response:	What? But I have to accompany you.
context: But he's quite young,\or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you. response:	Right. I'm asking you to come with me.
context: or he's someone whose mental age is young.\Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me. response:	Tokorozawa Corre ction and Reha bilit ation Cen ter
context: Considering the bodies didn't show many indignities of a sexual nature,\we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter response:	Tokorozawa Corre ction and Reha bilit ation Cen t e r
context: we can guess that he wasn't abused as a child.\Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r response:	Tokorozawa Corre ction and Reha bilit at i o n Cen ter
context: Is that...\It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter response:	Tokorozawa Correction and Re h a b ilit ation Cen ter
context: It's sort of like profiling.\Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter response:	Tokorozawa Correction a nd Reha bilit ation Cen ter
context: Inspector, I'm applying for permission to go out.\What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter response:	Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter
context: What? But I have to accompany you.\Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter response:	Tok o r o zawa Correction a nd Reha bilit ation Cen ter
context: Right. I'm asking you to come with me.\Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter response:	Tokoro zawa Correction a nd Reha bilit ation Cen ter
context: Tokorozawa Corre ction and Reha bilit ation Cen ter\Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter response:	What is this place?
context: Tokorozawa Corre ction and Reha bilit ation Cen t e r\Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place? response:	Is this your first time coming here?
context: Tokorozawa Corre ction and Reha bilit at i o n Cen ter\Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here? response:	Well, I guess you'd have no reason to, would you?
context: Tokorozawa Correction and Re h a b ilit ation Cen ter\Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you? response:	Once you or Gino decides that I'm no longer of any use,
context: Tokorozawa Correction a nd Reha bilit ation Cen ter\Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use, response:	I'll be thrown in here and will never be able to leave again.
context: Tokorozawa Corr e c t ion a nd Reha bilit ation Cen ter\Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again. response:	But what on Earth are we doing here?
context: Tok o r o zawa Correction a nd Reha bilit ation Cen ter\Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here? response:	If my hunch is correct,
context: Tokoro zawa Correction a nd Reha bilit ation Cen ter\What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct, response:	the way the bodies were arranged in the current case was based on some original work.
context: What is this place?\Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work. response:	So I'll ask an expert in that field about it.
context: Is this your first time coming here?\Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it. response:	From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.
context: Well, I guess you'd have no reason to, would you?\Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated. response:	In an emergency, poisonous gas can be released through the vents.
context: Once you or Gino decides that I'm no longer of any use,\I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents. response:	In other words, this place can be turned into an execution chamber any time.
context: I'll be thrown in here and will never be able to leave again.\But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time. response:	That's terrible...
context: But what on Earth are we doing here?\If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible... response:	Even if these guys made it outside,
context: If my hunch is correct,\the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside, response:	any Dominator would immediately judge them as worthy of execution,
context: the way the bodies were arranged in the current case was based on some original work.\So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution, response:	so they'd be mincemeat in no time.
context: So I'll ask an expert in that field about it.\From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time. response:	At least by staying behind bars, they get to keep on living.
context: From this point, patients with severe conditions who have Crime Coefficients over 300 are kept isolated.\In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living. response:	Oh, hi, Doggie. Long time no see.
context: In an emergency, poisonous gas can be released through the vents.\In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see. response:	I see you've been drawing a lot.
context: In other words, this place can be turned into an execution chamber any time.\That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot. response:	I bet adding them to your back is tough even for you.
context: That's terrible...\Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you. response:	I may not look it, but I'm quite flexible.
context: Even if these guys made it outside,\any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible. response:	If I've got a mirror, I can draw on my back with no problems.
context: any Dominator would immediately judge them as worthy of execution,\so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems. response:	Have you been watching the news?
context: so they'd be mincemeat in no time.\At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news? response:	I'm not interested in a world that doesn't show a proper appreciation for art.
context: At least by staying behind bars, they get to keep on living.\Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art. response:	I'm looking for artwork that's similar to these bodies.
context: Oh, hi, Doggie. Long time no see.\I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies. response:	Paintings, sculptures, films, comics... Even literature, if need be.
context: I see you've been drawing a lot.\I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be. response:	Oh, they're pretty good.
context: I bet adding them to your back is tough even for you.\I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good. response:	Those look just like Ouryou Rouichi's art.
context: I may not look it, but I'm quite flexible.\If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art. response:	Do you know the name?
context: If I've got a mirror, I can draw on my back with no problems.\Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name? response:	No.
context: Have you been watching the news?\I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name?\No. response:	To think that even the name Ouryou Rouichi has faded away.
context: I'm not interested in a world that doesn't show a proper appreciation for art.\I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away. response:	Back in the day, even if the art was designated as harmful,
context: I'm looking for artwork that's similar to these bodies.\Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful, response:	someone would still preserve it in the online archives.
context: Paintings, sculptures, films, comics... Even literature, if need be.\Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives. response:	Are there no longer any kids with guts like that?
context: Oh, they're pretty good.\Those look just like Ouryou Rouichi's art.\Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that? response:	People like that would be behind bars with you,
context: Those look just like Ouryou Rouichi's art.\Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you, response:	thanks to the Sibyl System.
context: Do you know the name?\No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System. response:	You're so cold-hearted, Ko.
context: No.\To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko. response:	Here. Can you see the resemblance?
context: To think that even the name Ouryou Rouichi has faded away.\Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance? response:	His artwork always fetched a good price in my store.
context: Back in the day, even if the art was designated as harmful,\someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store. response:	That's because it wasn't just superficial, trendy art.
context: someone would still preserve it in the online archives.\Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art. response:	His work contained firm fundamental themes.
context: Are there no longer any kids with guts like that?\People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes. response:	Thanks, that was a big help.
context: People like that would be behind bars with you,\thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help. response:	Let's check the investigation files.
context: thanks to the Sibyl System.\You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files. response:	Does Ouryou Rouichi bring up anything?
context: You're so cold-hearted, Ko.\Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything? response:	Let's see...
context: Here. Can you see the resemblance?\His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see... response:	There's a student at Ousou Academy with the same surname.
context: His artwork always fetched a good price in my store.\That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname. response:	Kougami! She's a blood relative!
context: That's because it wasn't just superficial, trendy art.\His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative! response:	Have you seen any suspicious people?
context: His work contained firm fundamental themes.\Thanks, that was a big help.\Let's check the investigation files.\Does Ouryou Rouichi bring up anything?\Let's see...\There's a student at Ousou Academy with the same surname.\Kougami! She's a blood relative!\Have you seen any suspicious people? response:	No.
