context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small\and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss. response:	Ow, ow, ow...
context: Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small\and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow... response:	A girl?
context: It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small\and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl? response:	Wait, ears? A tail?
context: However, there aren't many places to move around and have fun.\It's a little small\and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl?\Wait, ears? A tail? response:	Nice to meet you. You must be the Hero who responded to my summoning.
context: It's a little small\and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning. response:	Hero?
context: and boring.\If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero? response:	I am the one who summoned you!
context: If only there was a corpse somewhere.\That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you! response:	I'm the leader of the Biscotti Republic, City of Frianno.
context: That kind of place where we can make a big fuss.\Ow, ow, ow...\A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno. response:	My name is Millhiore F. Biscotti.
context: Ow, ow, ow...\A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti. response:	Oh. I see.
context: A girl?\Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see. response:	My name is Sink Izumi.
context: Wait, ears? A tail?\Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi. response:	So you are Sir Sink, the Hero?
context: Nice to meet you. You must be the Hero who responded to my summoning.\Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero? response:	So I shall address you.
context: Hero?\I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you. response:	Tatsumaki, thanks for escorting our Hero.
context: I am the one who summoned you!\I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero. response:	Um, wait...
context: I'm the leader of the Biscotti Republic, City of Frianno.\My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait... response:	You have responded to our summoning and thus have arrived here.
context: My name is Millhiore F. Biscotti.\Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here. response:	I am very grateful that you came all the way to Frianno.
context: Oh. I see.\My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno. response:	Can you hear me out about our current situation,
context: My name is Sink Izumi.\So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation, response:	and then give us the help that we need?
context: So you are Sir Sink, the Hero?\So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need? response:	Um, for now, it would be helpful if you told me what was going on.
context: So I shall address you.\Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on. response:	All right.
context: Tatsumaki, thanks for escorting our Hero.\Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right. response:	Oh no! It has begun!
context: Um, wait...\You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun! response:	What has begun?
context: You have responded to our summoning and thus have arrived here.\I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun!\What has begun? response:	Our country, Biscotti, is at war with our neighboring country.
context: I am very grateful that you came all the way to Frianno.\Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country. response:	Well, it looks like our advance is going well.
context: Can you hear me out about our current situation,\and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well. response:	If these conditions persist, we'll win.
context: and then give us the help that we need?\Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win. response:	It has opened.
context: Um, for now, it would be helpful if you told me what was going on.\All right.\Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened. response:	All right. Start advancing from the fortress gates.
context: All right.\Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates. response:	Let's go, people!
context: Oh no! It has begun!\What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates.\Let's go, people! response:	Today is the day we bring down Frianno Castle!
context: What has begun?\Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle! response:	We'll make the Dog Princess and her knights cry out loud!
context: Our country, Biscotti, is at war with our neighboring country.\Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud! response:	A bird?
context: Well, it looks like our advance is going well.\If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird? response:	Is this your first time seeing a Cerkle?
context: If these conditions persist, we'll win.\It has opened.\All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle? response:	I'm sorry.
context: It has opened.\All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle?\I'm sorry. response:	There aren't any where I come from.
context: All right. Start advancing from the fortress gates.\Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from. response:	This is my Cerkle, Haran.
context: Let's go, people!\Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran. response:	Please mount as well.
context: Today is the day we bring down Frianno Castle!\We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well. response:	Even though they are our neighbor, Galette often goes to war with our country, Biscotti.
context: We'll make the Dog Princess and her knights cry out loud!\A bird?\Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti. response:	But as of late our country has been continuously losing.
context: A bird?\Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing. response:	They have broken through many of our strongholds and battlefronts,
context: Is this your first time seeing a Cerkle?\I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts, response:	and today they're trying to bring down our castle.
context: I'm sorry.\There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle. response:	Right now we lack the kind of knight who can confront their leader.
context: There aren't any where I come from.\This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader. response:	The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.
context: This is my Cerkle, Haran.\Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli. response:	That's why I need you, a Hero, to help us!
context: Please mount as well.\Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us! response:	Well, I'm not a knight or a hero.
context: Even though they are our neighbor, Galette often goes to war with our country, Biscotti.\But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero. response:	I'm just a normal middle school student.
context: But as of late our country has been continuously losing.\They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student. response:	I wonder if I can be of any help.
context: They have broken through many of our strongholds and battlefronts,\and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help. response:	Please, you're too humble!
context: and today they're trying to bring down our castle.\Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble! response:	I'm very certain of your power.
context: Right now we lack the kind of knight who can confront their leader.\The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power. response:	Well then, the exciting battle continues today!
context: The leader of the Galette Lion Army, the King of Beasts, Leonmitchelli.\That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today! response:	This live broadcast is brought to you by me, from the country of the Galette Lion Army,
context: That's why I need you, a Hero, to help us!\Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army, response:	Franboise Charley!
context: Well, I'm not a knight or a hero.\I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley! response:	The commentary will be by General Bernard and...
context: I'm just a normal middle school student.\I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and... response:	Hello.
context: I wonder if I can be of any help.\Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and...\Hello. response:	Hello, everyone.
context: Please, you're too humble!\I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and...\Hello.\Hello, everyone. response:	With that said, every soldier from the Galette Lion Army is finally starting to march!
context: I'm very certain of your power.\Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and...\Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march! response:	The single plank bridge was easily broken through within twenty minutes!
context: Well then, the exciting battle continues today!\This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and...\Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes! response:	Next up for the soldiers of the Galette Lion Army is
context: This live broadcast is brought to you by me, from the country of the Galette Lion Army,\Franboise Charley!\The commentary will be by General Bernard and...\Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is response:	the Biscotti Republic's pride and joy,
context: Franboise Charley!\The commentary will be by General Bernard and...\Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy, response:	Frianno's blockade.
context: The commentary will be by General Bernard and...\Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade. response:	Even the experienced soldiers of the Lion Army are having a tough time.
context: Hello.\Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time. response:	If they also break through this place, that's it for Biscotti.
context: Hello, everyone.\With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti. response:	Are you okay?
context: With that said, every soldier from the Galette Lion Army is finally starting to march!\The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay? response:	The rescue work by Biscotti is efficient as usual,
context: The single plank bridge was easily broken through within twenty minutes!\Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual, response:	right, Miss Biore?
context: Next up for the soldiers of the Galette Lion Army is\the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore? response:	I hope they won't give up and continue to move forward.
context: the Biscotti Republic's pride and joy,\Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward. response:	The commander, her Highness Leonmitchelli, has yet to enter the battle.
context: Frianno's blockade.\Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle. response:	But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!
context: Even the experienced soldiers of the Lion Army are having a tough time.\If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off! response:	Interesting.
context: If they also break through this place, that's it for Biscotti.\Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting. response:	Second battalion, advance!
context: Are you okay?\The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance! response:	This looks pretty bad!
context: The rescue work by Biscotti is efficient as usual,\right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance!\This looks pretty bad! response:	It is bad!
context: right, Miss Biore?\I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance!\This looks pretty bad!\It is bad! response:	What happened to the Martinozzi siblings?
context: I hope they won't give up and continue to move forward.\The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance!\This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings? response:	The Galette Army continues to advance.
context: The commander, her Highness Leonmitchelli, has yet to enter the battle.\But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance!\This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance. response:	On the battlefield, a proud young knight from Biscotti,
context: But if a promising knight from Biscotti's side comes out, she'll enter the battle and finish him off!\Interesting.\Second battalion, advance!\This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti, response:	Eclair Martinozzi, has begun to greet the incoming advance!
context: Interesting.\Second battalion, advance!\This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance! response:	Oh no! A few got past her!
context: Second battalion, advance!\This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her! response:	Crap!
context: This looks pretty bad!\It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap! response:	Are there still too many soldiers for them?
context: It is bad!\What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap!\Are there still too many soldiers for them? response:	Brother!
context: What happened to the Martinozzi siblings?\The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap!\Are there still too many soldiers for them?\Brother! response:	Well, that was a really close call.
context: The Galette Army continues to advance.\On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap!\Are there still too many soldiers for them?\Brother!\Well, that was a really close call. response:	The last six people who arrive at the battlefield will be awarded with bonus points.
context: On the battlefield, a proud young knight from Biscotti,\Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap!\Are there still too many soldiers for them?\Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points. response:	We really hope to award a special prize to the very last person.
context: Eclair Martinozzi, has begun to greet the incoming advance!\Oh no! A few got past her!\Crap!\Are there still too many soldiers for them?\Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person. response:	That's what he said! Soldiers at the front line,
context: Oh no! A few got past her!\Crap!\Are there still too many soldiers for them?\Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line, response:	he said there's a bonus!
context: Crap!\Are there still too many soldiers for them?\Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus! response:	How wonderful.
context: Are there still too many soldiers for them?\Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful. response:	This... is war?
context: Brother!\Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful.\This... is war? response:	Yes, is this your first time seeing a battlefield?
context: Well, that was a really close call.\The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield? response:	Um, will anybody get hurt, or even die, in this war?
context: The last six people who arrive at the battlefield will be awarded with bonus points.\We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war? response:	Absolutely not!
context: We really hope to award a special prize to the very last person.\That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not! response:	Forward!
context: That's what he said! Soldiers at the front line,\he said there's a bonus!\How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward! response:	The entire battlefield is bound by the rules of war.
context: he said there's a bonus!\How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward!\The entire battlefield is bound by the rules of war. response:	It is fought fair and square.
context: How wonderful.\This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square. response:	It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.
context: This... is war?\Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war. response:	Of course, this is also the way countries negotiate with each other.
context: Yes, is this your first time seeing a battlefield?\Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other. response:	Though sometimes it'll be more intense.
context: Um, will anybody get hurt, or even die, in this war?\Absolutely not!\Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense. response:	But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.
context: Absolutely not!\Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way. response:	We've lost continuously.
context: Forward!\The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously. response:	The citizens of Biscotti and our knights feel depressed.
context: The entire battlefield is bound by the rules of war.\It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed. response:	And most importantly, if the palace gets attacked,
context: It is fought fair and square.\It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked, response:	everyone who has been working hard will be disappointed.
context: It is the responsibility of the organizer to ensure there are no injuries or accidents during the war.\Of course, this is also the way countries negotiate with each other.\Though sometimes it'll be more intense.\But, for Frianno, wars allow citizens to enjoy sports and competition in a healthy way.\We've lost continuously.\The citizens of Biscotti and our knights feel depressed.\And most importantly, if the palace gets attacked,\everyone who has been working hard will be disappointed. response:	Disappointed?
