context: *Episode 10 response:	Episode title: Cooperation
context: You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay.\Morning, Kuronuma. response:	I could hardly even say hi” to him at first.
context: Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first. response:	And that used to be normal.
context: Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal. response:	Of course.
context: Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal.\Of course. response:	Hey, Kurumi-chan,
context: I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal.\Of course.\Hey, Kurumi-chan, response:	I think I'm more confident after I talked to you.
context: Maybe we should head back now.\O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal.\Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you. response:	Thanks.
context: O-Okay.\Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal.\Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks. response:	One step at a time. That's what I'll do.
context: Morning, Kuronuma.\I could hardly even say hi” to him at first.\And that used to be normal.\Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do. response:	I'm a little nervous, but I'll do my best.
context: I could hardly even say hi” to him at first.\And that used to be normal.\Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best. response:	Wait
context: And that used to be normal.\Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait response:	See you.
context: Of course.\Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait\See you. response:	Sawako-chan,
context: Hey, Kurumi-chan,\I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait\See you.\Sawako-chan, response:	I wonder if I could ever become like you someday.
context: I think I'm more confident after I talked to you.\Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait\See you.\Sawako-chan,\I wonder if I could ever become like you someday. response:	I know I can't.
context: Thanks.\One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait\See you.\Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't. response:	Sorry. Forget I said that!
context: One step at a time. That's what I'll do.\I'm a little nervous, but I'll do my best.\Wait\See you.\Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that! response:	Kurumi's, like...
context: I'm a little nervous, but I'll do my best.\Wait\See you.\Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that!\Kurumi's, like... response:	Well, back in middle school...
context: Wait\See you.\Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school... response:	Chizu-chan,
context: See you.\Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school...\Chizu-chan, response:	Yumi-chan likes Kazehaya.
context: Sawako-chan,\I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya. response:	You're good friends with Kazehaya.
context: I wonder if I could ever become like you someday.\I know I can't.\Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya. response:	Do you think you can help out?
context: I know I can't.\Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out? response:	I don't mind being relied on.
context: Sorry. Forget I said that!\Kurumi's, like...\Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on. response:	So you just want me to make an opportunity for the two of you to be alone?
context: Kurumi's, like...\Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone? response:	Done and done.
context: Well, back in middle school...\Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done. response:	You're so helpful, Chizu-chan.
context: Chizu-chan,\Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan. response:	So then she confessed to him and got rejected.
context: Yumi-chan likes Kazehaya.\You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected. response:	Well, that was all fine and stuff, but...
context: You're good friends with Kazehaya.\Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but... response:	Chizu-chan, can you help with her too?
context: Do you think you can help out?\I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too? response:	Chizu-chan, it's her this time.
context: I don't mind being relied on.\So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time. response:	Chizu, me too.
context: So you just want me to make an opportunity for the two of you to be alone?\Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too. response:	Me too.
context: Done and done.\You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too.\Me too. response:	Hey, there's another girl who wants to talk to you.
context: You're so helpful, Chizu-chan.\So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you. response:	What's up with you lately?
context: So then she confessed to him and got rejected.\Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately? response:	Dammit! I'm done!
context: Well, that was all fine and stuff, but...\Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done! response:	Why?
context: Chizu-chan, can you help with her too?\Chizu-chan, it's her this time.\Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done!\Why? response:	You're going to help Yumi but not me?
context: Chizu-chan, it's her this time.\Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done!\Why?\You're going to help Yumi but not me? response:	You were on Yumi's side, Chizu?
context: Chizu, me too.\Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done!\Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu? response:	Pain in the ass!
context: Me too.\Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done!\Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass! response:	Hey, Chizu-chan,
context: Hey, there's another girl who wants to talk to you.\What's up with you lately?\Dammit! I'm done!\Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan, response:	why, why?
context: What's up with you lately?\Dammit! I'm done!\Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan,\why, why? response:	Wait,
context: Dammit! I'm done!\Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan,\why, why?\Wait, response:	it's not Chizu-chan's fault.
context: Why?\You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan,\why, why?\Wait,\it's not Chizu-chan's fault. response:	It's not good for the girls in our class to get split up like this.
context: You're going to help Yumi but not me?\You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan,\why, why?\Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this. response:	Maybe no one should confess to him.
context: You were on Yumi's side, Chizu?\Pain in the ass!\Hey, Chizu-chan,\why, why?\Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him. response:	That's so stupid.
context: Pain in the ass!\Hey, Chizu-chan,\why, why?\Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid. response:	Of course.
context: Hey, Chizu-chan,\why, why?\Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid.\Of course. response:	Kazehaya belongs to all of us.
context: why, why?\Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid.\Of course.\Kazehaya belongs to all of us. response:	Oh my god, that's so stupid.
context: Wait,\it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid.\Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid. response:	Everyone who was afraid of having him taken by someone else joined up.
context: it's not Chizu-chan's fault.\It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid.\Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up. response:	So anyway, she's not exactly a bad person.
context: It's not good for the girls in our class to get split up like this.\Maybe no one should confess to him.\That's so stupid.\Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person. response:	I help her out; she helps me out.
context: Maybe no one should confess to him.\That's so stupid.\Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out. response:	She's a pain.
context: That's so stupid.\Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain. response:	I don't like her type.
context: Of course.\Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain.\I don't like her type. response:	Honestly, I don't want to hang out with her.
context: Kazehaya belongs to all of us.\Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her. response:	You're so being used.
context: Oh my god, that's so stupid.\Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used. response:	I sort of know what she's really like now.
context: Everyone who was afraid of having him taken by someone else joined up.\So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now. response:	Let's see if things really go as she wants.
context: So anyway, she's not exactly a bad person.\I help her out; she helps me out.\She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants. response:	Got it.
context: I help her out; she helps me out.\She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it. response:	Let's take a break.
context: She's a pain.\I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it.\Let's take a break. response:	Alright!
context: I don't like her type.\Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it.\Let's take a break.\Alright! response:	I'm going to get something to drink.
context: Honestly, I don't want to hang out with her.\You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it.\Let's take a break.\Alright!\I'm going to get something to drink. response:	Hey, buy me some tea too.
context: You're so being used.\I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it.\Let's take a break.\Alright!\I'm going to get something to drink.\Hey, buy me some tea too. response:	Okay.
context: I sort of know what she's really like now.\Let's see if things really go as she wants.\Got it.\Let's take a break.\Alright!\I'm going to get something to drink.\Hey, buy me some tea too.\Okay. response:	I wonder if I could ever become like you someday.
context: Let's see if things really go as she wants.\Got it.\Let's take a break.\Alright!\I'm going to get something to drink.\Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday. response:	I think I went a little too far.
context: Got it.\Let's take a break.\Alright!\I'm going to get something to drink.\Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday.\I think I went a little too far. response:	I'm embarrassed.
context: Let's take a break.\Alright!\I'm going to get something to drink.\Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed. response:	Kuronuma.
context: Alright!\I'm going to get something to drink.\Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed.\Kuronuma. response:	Ka
context: I'm going to get something to drink.\Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed.\Kuronuma.\Ka response:	Kazehaya-kun.
context: Hey, buy me some tea too.\Okay.\I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed.\Kuronuma.\Ka\Kazehaya-kun. response:	Shit, I called her name but now I'm nervous.
context: Okay.\I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed.\Kuronuma.\Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous. response:	Nervous?
context: I wonder if I could ever become like you someday.\I think I went a little too far.\I'm embarrassed.\Kuronuma.\Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous? response:	Kazehaya-kun?
context: I think I went a little too far.\I'm embarrassed.\Kuronuma.\Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun? response:	I haven't talked to you in a while.
context: I'm embarrassed.\Kuronuma.\Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun?\I haven't talked to you in a while. response:	What am I saying?
context: Kuronuma.\Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun?\I haven't talked to you in a while.\What am I saying? response:	I was just going to buy a drink and I saw you here.
context: Ka\Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun?\I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here. response:	That's all.
context: Kazehaya-kun.\Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun?\I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here.\That's all. response:	I see, Kazehaya-kun was nervous too.
context: Shit, I called her name but now I'm nervous.\Nervous?\Kazehaya-kun?\I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too. response:	Later.
context: Nervous?\Kazehaya-kun?\I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too.\Later. response:	Kazehaya-kun was thinking the same thing I was.
context: Kazehaya-kun?\I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was. response:	Ever since we went to Ryu's place.
context: I haven't talked to you in a while.\What am I saying?\I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place. response:	Kazehaya-kun
context: What am I saying?\I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun response:	He smiled.
context: I was just going to buy a drink and I saw you here.\That's all.\I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun\He smiled. response:	You smiled.
context: That's all.\I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun\He smiled.\You smiled. response:	I haven't seen you smile in a while.
context: I see, Kazehaya-kun was nervous too.\Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun\He smiled.\You smiled.\I haven't seen you smile in a while. response:	Thank god.
context: Later.\Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun\He smiled.\You smiled.\I haven't seen you smile in a while.\Thank god. response:	Oh yeah, Maru's pretty big now.
context: Kazehaya-kun was thinking the same thing I was.\Ever since we went to Ryu's place.\Kazehaya-kun\He smiled.\You smiled.\I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now. response:	Like, this big.
context: Ever since we went to Ryu's place.\Kazehaya-kun\He smiled.\You smiled.\I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now.\Like, this big. response:	He's so active.
context: Kazehaya-kun\He smiled.\You smiled.\I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now.\Like, this big.\He's so active. response:	He makes a mess inside the house.
context: He smiled.\You smiled.\I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now.\Like, this big.\He's so active.\He makes a mess inside the house. response:	I need to make him a doghouse soon.
context: You smiled.\I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now.\Like, this big.\He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon. response:	Maru-chan...!
context: I haven't seen you smile in a while.\Thank god.\Oh yeah, Maru's pretty big now.\Like, this big.\He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...! response:	You want to come visit him sometime?
context: Thank god.\Oh yeah, Maru's pretty big now.\Like, this big.\He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime? response:	He gets so lonely though.
context: Oh yeah, Maru's pretty big now.\Like, this big.\He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime?\He gets so lonely though. response:	I wonder if he'll stay put inside the doghouse.
context: Like, this big.\He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse. response:	Sawako-chan.
context: He's so active.\He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan. response:	Kurumizawa.
context: He makes a mess inside the house.\I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa. response:	Zawa?
context: I need to make him a doghouse soon.\Maru-chan...!\You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa.\Zawa? response:	Kurumizawa?
context: Maru-chan...!\You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa.\Zawa?\Kurumizawa? response:	Kurumi-chan?
context: You want to come visit him sometime?\He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa.\Zawa?\Kurumizawa?\Kurumi-chan? response:	You didn't know?
context: He gets so lonely though.\I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa.\Zawa?\Kurumizawa?\Kurumi-chan?\You didn't know? response:	Her name's Kurumizawa Ume.
context: I wonder if he'll stay put inside the doghouse.\Sawako-chan.\Kurumizawa.\Zawa?\Kurumizawa?\Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume. response:	Kurumizawa Ume?
context: Sawako-chan.\Kurumizawa.\Zawa?\Kurumizawa?\Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume? response:	Right, Kurumizawa?
context: Kurumizawa.\Zawa?\Kurumizawa?\Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa? response:	Yeah.
context: Zawa?\Kurumizawa?\Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa?\Yeah. response:	Kurumizawa Ume-chan.
context: Kurumizawa?\Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan. response:	Yeah, Kurumizawa.
context: Kurumi-chan?\You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa. response:	Oh, he wasn't calling her by name.
context: You didn't know?\Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name. response:	Kurumizawa Ume-chan.
context: Her name's Kurumizawa Ume.\Kurumizawa Ume?\Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan. response:	Ume-chan.
context: Kurumizawa Ume?\Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan. response:	Huh? I'm burning up.
context: Right, Kurumizawa?\Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up. response:	Ka
context: Yeah.\Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up.\Ka response:	Kazehaya, can I borrow Sawako-chan for a second?
context: Kurumizawa Ume-chan.\Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second? response:	Sure, I think.
context: Yeah, Kurumizawa.\Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think. response:	I want to talk to her, girl to girl.
context: Oh, he wasn't calling her by name.\Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl. response:	Girl to girl.
context: Kurumizawa Ume-chan.\Ume-chan.\Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl.\Girl to girl. response:	Why does someone always get in the way?
context: Ume-chan.\Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way? response:	I wonder what she wants to talk to me about.
context: Huh? I'm burning up.\Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about. response:	How far are we going?
context: Ka\Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going? response:	Hey, Kuru
context: Kazehaya, can I borrow Sawako-chan for a second?\Sure, I think.\I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru response:	Ume-chan,
context: Sure, I think.\I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru\Ume-chan, response:	Don't call me Ume.
context: I want to talk to her, girl to girl.\Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru\Ume-chan,\Don't call me Ume. response:	Kurumi-chan,
context: Girl to girl.\Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru\Ume-chan,\Don't call me Ume.\Kurumi-chan, response:	please.
context: Why does someone always get in the way?\I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru\Ume-chan,\Don't call me Ume.\Kurumi-chan,\please. response:	Kurumi-chan.
context: I wonder what she wants to talk to me about.\How far are we going?\Hey, Kuru\Ume-chan,\Don't call me Ume.\Kurumi-chan,\please.\Kurumi-chan. response:	I see, a nickname.
context: How far are we going?\Hey, Kuru\Ume-chan,\Don't call me Ume.\Kurumi-chan,\please.\Kurumi-chan.\I see, a nickname. response:	I thought I had crossed the line and made her angry.
context: Hey, Kuru\Ume-chan,\Don't call me Ume.\Kurumi-chan,\please.\Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry. response:	You know, there's someone I like.
context: Ume-chan,\Don't call me Ume.\Kurumi-chan,\please.\Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like. response:	I want to go out with him, but I don't think I can.
context: Don't call me Ume.\Kurumi-chan,\please.\Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can. response:	I wonder what I should do.
context: Kurumi-chan,\please.\Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do. response:	What should I do?
context: please.\Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do? response:	Wh
context: Kurumi-chan.\I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do?\Wh response:	What?
context: I see, a nickname.\I thought I had crossed the line and made her angry.\You know, there's someone I like.\I want to go out with him, but I don't think I can.\I wonder what I should do.\What should I do?\Wh\What? response:	What should you do?
