context: Why? response:	Why couldn't you find it anywhere in Izumo?
context: It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding.\I'm fine.\Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo? response:	Isanami, is that you?
context: Don't move, Isanami.\Saizo, you're bleeding.\I'm fine.\Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you? response:	Saizo!
context: Saizo, you're bleeding.\I'm fine.\Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you?\Saizo! response:	You're all right.
context: I'm fine.\Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you?\Saizo!\You're all right. response:	I'm so relieved.
context: Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you?\Saizo!\You're all right.\I'm so relieved. response:	Thank goodness!
context: That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you?\Saizo!\You're all right.\I'm so relieved.\Thank goodness! response:	Ow!
context: Whoever was controlling it must be a hell of a puppeteer.\Saizo?\Isanami, is that you?\Saizo!\You're all right.\I'm so relieved.\Thank goodness!\Ow! response:	Oh, sorry.
context: Saizo?\Isanami, is that you?\Saizo!\You're all right.\I'm so relieved.\Thank goodness!\Ow!\Oh, sorry. response:	I can't believe we've been buried alive together.
context: Isanami, is that you?\Saizo!\You're all right.\I'm so relieved.\Thank goodness!\Ow!\Oh, sorry.\I can't believe we've been buried alive together. response:	We'll be together until our last breath.
context: Saizo!\You're all right.\I'm so relieved.\Thank goodness!\Ow!\Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath. response:	Why are you always so optimistic?
context: You're all right.\I'm so relieved.\Thank goodness!\Ow!\Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic? response:	It's not optimism.
context: I'm so relieved.\Thank goodness!\Ow!\Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism. response:	I know I'll be safe with you.
context: Thank goodness!\Ow!\Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you. response:	What makes you so sure?
context: Ow!\Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you.\What makes you so sure? response:	Because you're my light.
context: Oh, sorry.\I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you.\What makes you so sure?\Because you're my light. response:	Your light?
context: I can't believe we've been buried alive together.\We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you.\What makes you so sure?\Because you're my light.\Your light? response:	Yeah. You're my one light in the darkness.
context: We'll be together until our last breath.\Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you.\What makes you so sure?\Because you're my light.\Your light?\Yeah. You're my one light in the darkness. response:	What?
context: Why are you always so optimistic?\It's not optimism.\I know I'll be safe with you.\What makes you so sure?\Because you're my light.\Your light?\Yeah. You're my one light in the darkness.\What? response:	I faced so much difficulty and fear after I left Izumo.
context: It's not optimism.\I know I'll be safe with you.\What makes you so sure?\Because you're my light.\Your light?\Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo. response:	You're the only one who extended a helping hand.
context: I know I'll be safe with you.\What makes you so sure?\Because you're my light.\Your light?\Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand. response:	My turbulent emotions calmed in an instant.
context: What makes you so sure?\Because you're my light.\Your light?\Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant. response:	I felt so warm.
context: Because you're my light.\Your light?\Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm. response:	That's impossible.
context: Your light?\Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible. response:	I'm someone who takes.
context: Yeah. You're my one light in the darkness.\What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible.\I'm someone who takes. response:	I pass from darkness to darkness,
context: What?\I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible.\I'm someone who takes.\I pass from darkness to darkness, response:	but I never reveal myself in the light.
context: I faced so much difficulty and fear after I left Izumo.\You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible.\I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light. response:	Rescuing you was a coincidence.
context: You're the only one who extended a helping hand.\My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible.\I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence. response:	That's not important.
context: My turbulent emotions calmed in an instant.\I felt so warm.\That's impossible.\I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important. response:	You're dazzling in my eyes, Saizo.
context: I felt so warm.\That's impossible.\I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo. response:	You must've had nice parents.
context: That's impossible.\I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents. response:	Parents? I don't have any.
context: I'm someone who takes.\I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any. response:	They told me I was abandoned in front of the Izumo shrine as a baby.
context: I pass from darkness to darkness,\but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby. response:	The priest raised me.
context: but I never reveal myself in the light.\Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me. response:	He's gone now, though.
context: Rescuing you was a coincidence.\That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though. response:	He died protecting me in Izumo.
context: That's not important.\You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though.\He died protecting me in Izumo. response:	So you're the only one I can rely on, Saizo.
context: You're dazzling in my eyes, Saizo.\You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo. response:	Got it?
context: You must've had nice parents.\Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it? response:	I told you, I don't care.
context: Parents? I don't have any.\They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care. response:	I'm putting out the fire. We'll run out of air.
context: They told me I was abandoned in front of the Izumo shrine as a baby.\The priest raised me.\He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air. response:	Huh?
context: The priest raised me.\He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh? response:	The smoke's flowing to the side.
context: He's gone now, though.\He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side. response:	What is it, Saizo?
context: He died protecting me in Izumo.\So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side.\What is it, Saizo? response:	If the air's flowing this way,
context: So you're the only one I can rely on, Saizo.\Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way, response:	there might be an opening leading outside in this direction.
context: Got it?\I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction. response:	You mean we can get out?
context: I told you, I don't care.\I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out? response:	If we can open a big enough hole.
context: I'm putting out the fire. We'll run out of air.\Huh?\The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole. response:	If this place collapses,
context: Huh?\The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole.\If this place collapses, response:	we'll be crushed and die together.
context: The smoke's flowing to the side.\What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together. response:	I believe in you.
context: What is it, Saizo?\If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together.\I believe in you. response:	Om Marici Yeh Svaha!
context: If the air's flowing this way,\there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha! response:	Hey!
context: there might be an opening leading outside in this direction.\You mean we can get out?\If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha!\Hey! response:	Come on, let's get out of here.
context: You mean we can get out?\If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here. response:	Saizo!
context: If we can open a big enough hole.\If this place collapses,\we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here.\Saizo! response:	The castle's under attack!
context: If this place collapses,\we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here.\Saizo!\The castle's under attack! response:	What is this?
context: we'll be crushed and die together.\I believe in you.\Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here.\Saizo!\The castle's under attack!\What is this? response:	The smoke's getting in my eyes.
context: I believe in you.\Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here.\Saizo!\The castle's under attack!\What is this?\The smoke's getting in my eyes. response:	Calm down, everyone!
context: Om Marici Yeh Svaha!\Hey!\Come on, let's get out of here.\Saizo!\The castle's under attack!\What is this?\The smoke's getting in my eyes.\Calm down, everyone! response:	Women and children outside first!
context: Hey!\Come on, let's get out of here.\Saizo!\The castle's under attack!\What is this?\The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first! response:	Criminals! Show yourselves! Show yourselves!
context: Come on, let's get out of here.\Saizo!\The castle's under attack!\What is this?\The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves! response:	Where is the priestess?
context: Saizo!\The castle's under attack!\What is this?\The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess? response:	Where is the priestess of Izumo?
context: The castle's under attack!\What is this?\The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo? response:	I-I don't know.
context: What is this?\The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo?\I-I don't know. response:	Where is she hiding?
context: The smoke's getting in my eyes.\Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo?\I-I don't know.\Where is she hiding? response:	The uwabami was nothing more than a rumor?
context: Calm down, everyone!\Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo?\I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor? response:	Your efforts are futile.
context: Women and children outside first!\Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo?\I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile. response:	My snake is rigged with explosives.
context: Criminals! Show yourselves! Show yourselves!\Where is the priestess?\Where is the priestess of Izumo?\I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives. response:	If you try to kill it,
context: Where is the priestess?\Where is the priestess of Izumo?\I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it, response:	you'll destroy everything and everyone in the vicinity.
context: Where is the priestess of Izumo?\I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity. response:	If you don't believe me, why don't you try it?
context: I-I don't know.\Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it? response:	A puppet technique.
context: Where is she hiding?\The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique. response:	These lands belong to Sanada.
context: The uwabami was nothing more than a rumor?\Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada. response:	I will kill those who defile it.
context: Your efforts are futile.\My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada.\I will kill those who defile it. response:	Kill? What strong language.
context: My snake is rigged with explosives.\If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language. response:	I, Okatsu, will destroy you.
context: If you try to kill it,\you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you. response:	Come.
context: you'll destroy everything and everyone in the vicinity.\If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you.\Come. response:	Eat him.
context: If you don't believe me, why don't you try it?\A puppet technique.\These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you.\Come.\Eat him. response:	Damn it. You wait here.
context: A puppet technique.\These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you.\Come.\Eat him.\Damn it. You wait here. response:	Saizo.
context: These lands belong to Sanada.\I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you.\Come.\Eat him.\Damn it. You wait here.\Saizo. response:	There's no way I can just wait here.
context: I will kill those who defile it.\Kill? What strong language.\I, Okatsu, will destroy you.\Come.\Eat him.\Damn it. You wait here.\Saizo.\There's no way I can just wait here. response:	Well, don't you have some poise.
context: Kill? What strong language.\I, Okatsu, will destroy you.\Come.\Eat him.\Damn it. You wait here.\Saizo.\There's no way I can just wait here.\Well, don't you have some poise. response:	Poison?
context: I, Okatsu, will destroy you.\Come.\Eat him.\Damn it. You wait here.\Saizo.\There's no way I can just wait here.\Well, don't you have some poise.\Poison? response:	You'll lose your vision soon.
context: Come.\Eat him.\Damn it. You wait here.\Saizo.\There's no way I can just wait here.\Well, don't you have some poise.\Poison?\You'll lose your vision soon. response:	Did I get in your way?
context: Eat him.\Damn it. You wait here.\Saizo.\There's no way I can just wait here.\Well, don't you have some poise.\Poison?\You'll lose your vision soon.\Did I get in your way? response:	You certainly did.
context: Damn it. You wait here.\Saizo.\There's no way I can just wait here.\Well, don't you have some poise.\Poison?\You'll lose your vision soon.\Did I get in your way?\You certainly did. response:	I was just having some fun with this boy.
context: Saizo.\There's no way I can just wait here.\Well, don't you have some poise.\Poison?\You'll lose your vision soon.\Did I get in your way?\You certainly did.\I was just having some fun with this boy. response:	Oh, my apologies.
context: There's no way I can just wait here.\Well, don't you have some poise.\Poison?\You'll lose your vision soon.\Did I get in your way?\You certainly did.\I was just having some fun with this boy.\Oh, my apologies. response:	But now that I've found you,
context: Well, don't you have some poise.\Poison?\You'll lose your vision soon.\Did I get in your way?\You certainly did.\I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you, response:	I can't let you get away with this.
context: Poison?\You'll lose your vision soon.\Did I get in your way?\You certainly did.\I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you,\I can't let you get away with this. response:	Go right ahead.
context: You'll lose your vision soon.\Did I get in your way?\You certainly did.\I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you,\I can't let you get away with this.\Go right ahead. response:	Let's see if you can do something about it.
context: Did I get in your way?\You certainly did.\I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you,\I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it. response:	Sasuke.
context: You certainly did.\I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you,\I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it.\Sasuke. response:	I don't require the assistance of an Iga. She's mine.
context: I was just having some fun with this boy.\Oh, my apologies.\But now that I've found you,\I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine. response:	I apologize, but I don't intend to let this fight drag on.
context: Oh, my apologies.\But now that I've found you,\I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on. response:	I've already wasted plenty of your time.
context: But now that I've found you,\I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time. response:	You mean...
context: I can't let you get away with this.\Go right ahead.\Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean... response:	You finally realized why you're here?
context: Go right ahead.\Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean...\You finally realized why you're here? response:	Is someone there?
context: Let's see if you can do something about it.\Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean...\You finally realized why you're here?\Is someone there? response:	Are you all right, sir?
context: Sasuke.\I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean...\You finally realized why you're here?\Is someone there?\Are you all right, sir? response:	I can't see because of the smoke.
context: I don't require the assistance of an Iga. She's mine.\I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean...\You finally realized why you're here?\Is someone there?\Are you all right, sir?\I can't see because of the smoke. response:	Go towards the light. You'll find an exit there.
context: I apologize, but I don't intend to let this fight drag on.\I've already wasted plenty of your time.\You mean...\You finally realized why you're here?\Is someone there?\Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there. response:	Thank you, Miss.
context: I've already wasted plenty of your time.\You mean...\You finally realized why you're here?\Is someone there?\Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss. response:	Hey!
context: You mean...\You finally realized why you're here?\Is someone there?\Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey! response:	What a brat.
context: You finally realized why you're here?\Is someone there?\Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey!\What a brat. response:	You've done it now, boy.
context: Is someone there?\Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey!\What a brat.\You've done it now, boy. response:	What?
context: Are you all right, sir?\I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey!\What a brat.\You've done it now, boy.\What? response:	The forest is my domain.
context: I can't see because of the smoke.\Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey!\What a brat.\You've done it now, boy.\What?\The forest is my domain. response:	You will not leave here alive.
context: Go towards the light. You'll find an exit there.\Thank you, Miss.\Hey!\What a brat.\You've done it now, boy.\What?\The forest is my domain.\You will not leave here alive. response:	Is anyone still here?
context: Thank you, Miss.\Hey!\What a brat.\You've done it now, boy.\What?\The forest is my domain.\You will not leave here alive.\Is anyone still here? response:	Are you all right?
context: Hey!\What a brat.\You've done it now, boy.\What?\The forest is my domain.\You will not leave here alive.\Is anyone still here?\Are you all right? response:	What?
context: What a brat.\You've done it now, boy.\What?\The forest is my domain.\You will not leave here alive.\Is anyone still here?\Are you all right?\What? response:	I finally found you.
context: You've done it now, boy.\What?\The forest is my domain.\You will not leave here alive.\Is anyone still here?\Are you all right?\What?\I finally found you. response:	My name is Hattori Hanzo.
context: What?\The forest is my domain.\You will not leave here alive.\Is anyone still here?\Are you all right?\What?\I finally found you.\My name is Hattori Hanzo. response:	You'll be coming with me,
context: The forest is my domain.\You will not leave here alive.\Is anyone still here?\Are you all right?\What?\I finally found you.\My name is Hattori Hanzo.\You'll be coming with me, response:	Miss.
context: You will not leave here alive.\Is anyone still here?\Are you all right?\What?\I finally found you.\My name is Hattori Hanzo.\You'll be coming with me,\Miss. response:	Unfortunately for you, you're not taking her anywhere.
context: Is anyone still here?\Are you all right?\What?\I finally found you.\My name is Hattori Hanzo.\You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere. response:	It's my job.
context: Are you all right?\What?\I finally found you.\My name is Hattori Hanzo.\You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job. response:	Saizo.
context: What?\I finally found you.\My name is Hattori Hanzo.\You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo. response:	Stay back, Isanami.
context: I finally found you.\My name is Hattori Hanzo.\You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo.\Stay back, Isanami. response:	He's strong. Be careful.
context: My name is Hattori Hanzo.\You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo.\Stay back, Isanami.\He's strong. Be careful. response:	I have no intention of losing.
context: You'll be coming with me,\Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo.\Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing. response:	This'll be quick.
context: Miss.\Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo.\Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing.\This'll be quick. response:	Hey, you.
context: Unfortunately for you, you're not taking her anywhere.\It's my job.\Saizo.\Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing.\This'll be quick.\Hey, you. response:	Are you familiar with the expression pride goeth before a fall?
context: It's my job.\Saizo.\Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing.\This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall? response:	Who cares?!
context: Saizo.\Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing.\This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?! response:	Gotcha!
context: Stay back, Isanami.\He's strong. Be careful.\I have no intention of losing.\This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha! response:	He cut me.
context: He's strong. Be careful.\I have no intention of losing.\This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha!\He cut me. response:	Hey, you.
context: I have no intention of losing.\This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha!\He cut me.\Hey, you. response:	You really should read the Heike Monogatari.
context: This'll be quick.\Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha!\He cut me.\Hey, you.\You really should read the Heike Monogatari. response:	If you live, that is.
context: Hey, you.\Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha!\He cut me.\Hey, you.\You really should read the Heike Monogatari.\If you live, that is. response:	He's fast. Who is this guy?
context: Are you familiar with the expression pride goeth before a fall?\Who cares?!\Gotcha!\He cut me.\Hey, you.\You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy? response:	Get away from the castle, quickly!
context: Who cares?!\Gotcha!\He cut me.\Hey, you.\You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly! response:	Yukimura-sama.
context: Gotcha!\He cut me.\Hey, you.\You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama. response:	It's made of iron.
context: He cut me.\Hey, you.\You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama.\It's made of iron. response:	A couple of men tied up together is hardly an attractive sight.
context: Hey, you.\You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight. response:	How can you say that at a time like this?
context: You really should read the Heike Monogatari.\If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this? response:	Everyone's made it to safety.
context: If you live, that is.\He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety. response:	Do it, Rokuro.
context: He's fast. Who is this guy?\Get away from the castle, quickly!\Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro. response:	Rokuro!
context: Get away from the castle, quickly!\Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro.\Rokuro! response:	I have no choice.
context: Yukimura-sama.\It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro.\Rokuro!\I have no choice. response:	These ropes cannot be cut.
context: It's made of iron.\A couple of men tied up together is hardly an attractive sight.\How can you say that at a time like this?\Everyone's made it to safety.\Do it, Rokuro.\Rokuro!\I have no choice.\These ropes cannot be cut. response:	Saizo.
