context: Edolas's King Faust ordered the merciless annihilation of all in his way. response:	Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.
context: I expected flowing magic power to be more... fearsome.\Prince...\This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there. response:	To create a new world, I will destroy a portion of Edolas.
context: Prince...\This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas. response:	I can't use my weapon any more!
context: This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more! response:	What's going on?
context: As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on? response:	Same over here!
context: Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on?\Same over here! response:	What'll we do?
context: The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on?\Same over here!\What'll we do? response:	My weapon's broken!
context: In Earthland, already overflowing with magic,\this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on?\Same over here!\What'll we do?\My weapon's broken! response:	What's happening?
context: this magic power will quickly be transformed into a part of nature there.\To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on?\Same over here!\What'll we do?\My weapon's broken!\What's happening? response:	My weapon! My weapon!
context: To create a new world, I will destroy a portion of Edolas.\I can't use my weapon any more!\What's going on?\Same over here!\What'll we do?\My weapon's broken!\What's happening?\My weapon! My weapon! response:	Calm down!
context: I can't use my weapon any more!\What's going on?\Same over here!\What'll we do?\My weapon's broken!\What's happening?\My weapon! My weapon!\Calm down! response:	It's over... The world is ending...
context: What's going on?\Same over here!\What'll we do?\My weapon's broken!\What's happening?\My weapon! My weapon!\Calm down!\It's over... The world is ending... response:	Carla...
context: Same over here!\What'll we do?\My weapon's broken!\What's happening?\My weapon! My weapon!\Calm down!\It's over... The world is ending...\Carla... response:	That's magic power!
context: What'll we do?\My weapon's broken!\What's happening?\My weapon! My weapon!\Calm down!\It's over... The world is ending...\Carla...\That's magic power! response:	Magic power?
context: My weapon's broken!\What's happening?\My weapon! My weapon!\Calm down!\It's over... The world is ending...\Carla...\That's magic power!\Magic power? response:	Won't losing all the magic power be a big problem?
context: What's happening?\My weapon! My weapon!\Calm down!\It's over... The world is ending...\Carla...\That's magic power!\Magic power?\Won't losing all the magic power be a big problem? response:	Retreat!
context: My weapon! My weapon!\Calm down!\It's over... The world is ending...\Carla...\That's magic power!\Magic power?\Won't losing all the magic power be a big problem?\Retreat! response:	If we can't use our weapons, we're screwed!
context: Calm down!\It's over... The world is ending...\Carla...\That's magic power!\Magic power?\Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed! response:	The Royal Army's...
context: It's over... The world is ending...\Carla...\That's magic power!\Magic power?\Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's... response:	Hey guys, we did it!
context: Carla...\That's magic power!\Magic power?\Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it! response:	We're finished!
context: That's magic power!\Magic power?\Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it!\We're finished! response:	Magic power is disappearing... We can't use magic anymore...
context: Magic power?\Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore... response:	Everything is coming to an end...
context: Won't losing all the magic power be a big problem?\Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end... response:	So, today is the day...
context: Retreat!\If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day... response:	What should we do?
context: If we can't use our weapons, we're screwed!\The Royal Army's...\Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day...\What should we do? response:	What's going to happen to us? To the guild?
context: The Royal Army's...\Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day...\What should we do?\What's going to happen to us? To the guild? response:	There's no such thing as a wizard's guild that can't use magic!
context: Hey guys, we did it!\We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day...\What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic! response:	Everyone calm down! It'll be okay!
context: We're finished!\Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day...\What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay! response:	Like hell it will!
context: Magic power is disappearing... We can't use magic anymore...\Everything is coming to an end...\So, today is the day...\What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will! response:	The magic power is disappearing from the world! All of it!
context: Everything is coming to an end...\So, today is the day...\What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it! response:	What's gonna happen to our wizard guild?
context: So, today is the day...\What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild? response:	It's over... We may have won the battle, but we lost the world.
context: What should we do?\What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world. response:	The thing Juvia feared most of all... Magic power drying up...
context: What's going to happen to us? To the guild?\There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up... response:	Magic is vanishing! Magic power is disappearing!
context: There's no such thing as a wizard's guild that can't use magic!\Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing! response:	It's too late!
context: Everyone calm down! It'll be okay!\Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late! response:	Save us!
context: Like hell it will!\The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late!\Save us! response:	What'll we do?
context: The magic power is disappearing from the world! All of it!\What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late!\Save us!\What'll we do? response:	It's the end of the world!
context: What's gonna happen to our wizard guild?\It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late!\Save us!\What'll we do?\It's the end of the world! response:	Edolas's final day...
context: It's over... We may have won the battle, but we lost the world.\The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late!\Save us!\What'll we do?\It's the end of the world!\Edolas's final day... response:	Wait a second, everyone!
context: The thing Juvia feared most of all... Magic power drying up...\Magic is vanishing! Magic power is disappearing!\It's too late!\Save us!\What'll we do?\It's the end of the world!\Edolas's final day...\Wait a second, everyone! response:	I can't believe it... Magic power is vanishing from Edolas.
context: Magic is vanishing! Magic power is disappearing!\It's too late!\Save us!\What'll we do?\It's the end of the world!\Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas. response:	Everything is coming to an end.
context: It's too late!\Save us!\What'll we do?\It's the end of the world!\Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end. response:	Dad... All the floating islands are falling...
context: Save us!\What'll we do?\It's the end of the world!\Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling... response:	It's all over...
context: What'll we do?\It's the end of the world!\Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over... response:	Where do they think they're running?
context: It's the end of the world!\Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over...\Where do they think they're running? response:	To us, Edolas is everything.
context: Edolas's final day...\Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over...\Where do they think they're running?\To us, Edolas is everything. response:	Magic power is flowing from the land into the sky.
context: Wait a second, everyone!\I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over...\Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky. response:	Grandma...
context: I can't believe it... Magic power is vanishing from Edolas.\Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over...\Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma... response:	Is this punishment for opposing the Exceed?
context: Everything is coming to an end.\Dad... All the floating islands are falling...\It's all over...\Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed? response:	It's started.
context: Dad... All the floating islands are falling...\It's all over...\Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed?\It's started. response:	Nothing's started.
context: It's all over...\Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed?\It's started.\Nothing's started. response:	It's ending.
context: Where do they think they're running?\To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed?\It's started.\Nothing's started.\It's ending. response:	Edolas is finished.
context: To us, Edolas is everything.\Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed?\It's started.\Nothing's started.\It's ending.\Edolas is finished. response:	And it's happening so simply...
context: Magic power is flowing from the land into the sky.\Grandma...\Is this punishment for opposing the Exceed?\It's started.\Nothing's started.\It's ending.\Edolas is finished.\And it's happening so simply... response:	The Royal City, Edolas... History itself is ending.
context: Grandma...\Is this punishment for opposing the Exceed?\It's started.\Nothing's started.\It's ending.\Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending. response:	Can you even imagine a world without magic?
context: Is this punishment for opposing the Exceed?\It's started.\Nothing's started.\It's ending.\Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic? response:	I don't know... I haven't ever thought about it.
context: It's started.\Nothing's started.\It's ending.\Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it. response:	Not just us... Can the people in town imagine it themselves?
context: Nothing's started.\It's ending.\Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves? response:	Grandma, watch out! The rivers in the sky are falling!
context: It's ending.\Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling! response:	The world is finished...
context: Edolas is finished.\And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished... response:	Let's head back to the city around the castle!
context: And it's happening so simply...\The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle! response:	What're you planning to do?
context: The Royal City, Edolas... History itself is ending.\Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle!\What're you planning to do? response:	I'm worried about the people in the city!
context: Can you even imagine a world without magic?\I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city! response:	There might be something that we can do!
context: I don't know... I haven't ever thought about it.\Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do! response:	Yeah... I think I understand what you mean.
context: Not just us... Can the people in town imagine it themselves?\Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean. response:	Okay, then.
context: Grandma, watch out! The rivers in the sky are falling!\The world is finished...\Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then. response:	Please wait!
context: The world is finished...\Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then.\Please wait! response:	Is this world finished?
context: Let's head back to the city around the castle!\What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then.\Please wait!\Is this world finished? response:	I can't believe you really did it.
context: What're you planning to do?\I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then.\Please wait!\Is this world finished?\I can't believe you really did it. response:	But...
context: I'm worried about the people in the city!\There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then.\Please wait!\Is this world finished?\I can't believe you really did it.\But... response:	I know... The citizens will be in a panic.
context: There might be something that we can do!\Yeah... I think I understand what you mean.\Okay, then.\Please wait!\Is this world finished?\I can't believe you really did it.\But...\I know... The citizens will be in a panic. response:	Not many humans can adapt so quickly to a changing world...
context: Yeah... I think I understand what you mean.\Okay, then.\Please wait!\Is this world finished?\I can't believe you really did it.\But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world... response:	My fire lacrima broke!
context: Okay, then.\Please wait!\Is this world finished?\I can't believe you really did it.\But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke! response:	That's why they need a new leader.
context: Please wait!\Is this world finished?\I can't believe you really did it.\But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader. response:	A new king for a new world.
context: Is this world finished?\I can't believe you really did it.\But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader.\A new king for a new world. response:	To soothe the unease of the citizens,
context: I can't believe you really did it.\But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens, response:	and lead them to happiness...
context: But...\I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness... response:	A new king.
context: I know... The citizens will be in a panic.\Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness...\A new king. response:	I see. And it will be you, Prince?
context: Not many humans can adapt so quickly to a changing world...\My fire lacrima broke!\That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness...\A new king.\I see. And it will be you, Prince? response:	No. Not me.
context: My fire lacrima broke!\That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness...\A new king.\I see. And it will be you, Prince?\No. Not me. response:	That would not be possible for me, who did not walk with this world.
context: That's why they need a new leader.\A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness...\A new king.\I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world. response:	Furthermore, I have no right.
context: A new king for a new world.\To soothe the unease of the citizens,\and lead them to happiness...\A new king.\I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right. response:	To calm the rioting masses, we need someone to play both the hero, and the villain.
context: To soothe the unease of the citizens,\and lead them to happiness...\A new king.\I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain. response:	Villain and hero?
context: and lead them to happiness...\A new king.\I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero? response:	The one who exposes and punishes the villain
context: A new king.\I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain response:	who plunged the world into chaos will become a hero,
context: I see. And it will be you, Prince?\No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero, response:	and that hero will unite the people.
context: No. Not me.\That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people. response:	He'll become king.
context: That would not be possible for me, who did not walk with this world.\Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king. response:	Hey! The water lacrima disappeared!
context: Furthermore, I have no right.\To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared! response:	Same with the fire lacrima in my house!
context: To calm the rioting masses, we need someone to play both the hero, and the villain.\Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house! response:	My vehicle won't move!
context: Villain and hero?\The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move! response:	The wind lacrima isn't working!
context: The one who exposes and punishes the villain\who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working! response:	No!
context: who plunged the world into chaos will become a hero,\and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working!\No! response:	What's happening?
context: and that hero will unite the people.\He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working!\No!\What's happening? response:	W-Who will be the villain and the hero?
context: He'll become king.\Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working!\No!\What's happening?\W-Who will be the villain and the hero? response:	You already know that, don't you?
context: Hey! The water lacrima disappeared!\Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working!\No!\What's happening?\W-Who will be the villain and the hero?\You already know that, don't you? response:	I am the evil villain who overthrew the king and stole the magic power from this world.
context: Same with the fire lacrima in my house!\My vehicle won't move!\The wind lacrima isn't working!\No!\What's happening?\W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world. response:	And you are suited to heal the misunderstandings
context: My vehicle won't move!\The wind lacrima isn't working!\No!\What's happening?\W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings response:	and prejudice between the races...
context: The wind lacrima isn't working!\No!\What's happening?\W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races... response:	You will execute me, the one who destroyed the world!
context: No!\What's happening?\W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world! response:	And then you will become the world's king!
context: What's happening?\W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king! response:	God, please save us!
context: W-Who will be the villain and the hero?\You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us! response:	Hey, you! This isn't time to be taking notes!
context: You already know that, don't you?\I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes! response:	We are now standing up against the end of the world.
context: I am the evil villain who overthrew the king and stole the magic power from this world.\And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world. response:	As a living being of Edolas, I must record all that happens.
context: And you are suited to heal the misunderstandings\and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens. response:	Suit yourself!
context: and prejudice between the races...\You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself! response:	You must execute me, the one who caused this turmoil, in front of the panicking citizens.
context: You will execute me, the one who destroyed the world!\And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens. response:	As a member of the Royal Army... As an Exceed...
context: And then you will become the world's king!\God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed... response:	Quell the panic, and lead the people.
context: God, please save us!\Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people. response:	Become King of a new world, without magic power.
context: Hey, you! This isn't time to be taking notes!\We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power. response:	How could you seriously say such nonsense, Prince?!
context: We are now standing up against the end of the world.\As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?! response:	What'll happen to this world when all the magic power is gone?
context: As a living being of Edolas, I must record all that happens.\Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone? response:	I can't imagine it.
context: Suit yourself!\You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it. response:	It's a world unlike ours, where everything revolves around magic.
context: You must execute me, the one who caused this turmoil, in front of the panicking citizens.\As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it.\It's a world unlike ours, where everything revolves around magic. response:	But what's most important isn't magic power, right?
context: As a member of the Royal Army... As an Exceed...\Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it.\It's a world unlike ours, where everything revolves around magic.\But what's most important isn't magic power, right? response:	Isn't what's most important the friends that help and believe in each other?
context: Quell the panic, and lead the people.\Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it.\It's a world unlike ours, where everything revolves around magic.\But what's most important isn't magic power, right?\Isn't what's most important the friends that help and believe in each other? response:	Next time: Bye-bye, Edolas.
context: Become King of a new world, without magic power.\How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it.\It's a world unlike ours, where everything revolves around magic.\But what's most important isn't magic power, right?\Isn't what's most important the friends that help and believe in each other?\Next time: Bye-bye, Edolas. response:	Sometimes even you have a way with words, Natsu!
context: How could you seriously say such nonsense, Prince?!\What'll happen to this world when all the magic power is gone?\I can't imagine it.\It's a world unlike ours, where everything revolves around magic.\But what's most important isn't magic power, right?\Isn't what's most important the friends that help and believe in each other?\Next time: Bye-bye, Edolas.\Sometimes even you have a way with words, Natsu! response:	There was a jab in there, wasn't there?!
