context: I hate everything about this. response:	This sunshine, beating down on you from morning onward...
context: Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style. response:	D-Don't follow me!
context: There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me! response:	You're giving me the creeps!
context: It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps! response:	This feels good...
context: What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps!\This feels good... response:	Richie, you take a shower, too!
context: Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps!\This feels good...\Richie, you take a shower, too! response:	Leave me alone!
context: Then why bother comin' up here?\If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps!\This feels good...\Richie, you take a shower, too!\Leave me alone! response:	What are you scared of, huh?
context: If you're bored, you can always go back.\Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps!\This feels good...\Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh? response:	Nothin' good's ever come of fear.
context: Nah. Class ain't my style.\D-Don't follow me!\You're giving me the creeps!\This feels good...\Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear. response:	Let yourself get a little wet!
context: D-Don't follow me!\You're giving me the creeps!\This feels good...\Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet! response:	What happened?!
context: You're giving me the creeps!\This feels good...\Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?! response:	To the both of you...
context: This feels good...\Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?!\To the both of you... response:	I swear...
context: Richie, you take a shower, too!\Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?!\To the both of you...\I swear... response:	Cause me no end of trouble...
context: Leave me alone!\What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?!\To the both of you...\I swear...\Cause me no end of trouble... response:	We're going right to the infirmary so you can borrow a towel!
context: What are you scared of, huh?\Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?!\To the both of you...\I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel! response:	Oh, that's right. I'll get your gym clothes!
context: Nothin' good's ever come of fear.\Let yourself get a little wet!\What happened?!\To the both of you...\I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes! response:	I'll meet you there!
context: Let yourself get a little wet!\What happened?!\To the both of you...\I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there! response:	Is this... jazz?
context: What happened?!\To the both of you...\I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz? response:	What, you can tell?
context: To the both of you...\I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz?\What, you can tell? response:	Well, sort of... I play piano, classical music though...
context: I swear...\Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though... response:	Classical, huh? What a drag...
context: Cause me no end of trouble...\We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag... response:	Here I am.
context: We're going right to the infirmary so you can borrow a towel!\Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am. response:	Huh? Where's the nurse?
context: Oh, that's right. I'll get your gym clothes!\I'll meet you there!\Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse? response:	Looks like she's out...
context: I'll meet you there!\Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse?\Looks like she's out... response:	I didn't notice with the glasses on,
context: Is this... jazz?\What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on, response:	but you have a really pretty face, Nishimi-san.
context: What, you can tell?\Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san. response:	W-What...?
context: Well, sort of... I play piano, classical music though...\Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...? response:	Oh, is it rude to call a man pretty? I meant handsome.
context: Classical, huh? What a drag...\Here I am.\Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome. response:	N-No, I'm not...
context: Here I am.\Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not... response:	W-What are you doing?!
context: Huh? Where's the nurse?\Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?! response:	I'm a human hair dryer, is all!
context: Looks like she's out...\I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all! response:	Sentaro!
context: I didn't notice with the glasses on,\but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro! response:	There he goes again, bein' scared. What a fraidy cat!
context: but you have a really pretty face, Nishimi-san.\W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat! response:	I'm not scared!
context: W-What...?\Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared! response:	Oh yeah?
context: Oh, is it rude to call a man pretty? I meant handsome.\N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah? response:	How could I be afraid anymore?
context: N-No, I'm not...\W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah?\How could I be afraid anymore? response:	After all... that rain felt great, way better than I imagined...
context: W-What are you doing?!\I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined... response:	It's weird.
context: I'm a human hair dryer, is all!\Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird. response:	Even with everyone staring at me, I can breathe normally...
context: Sentaro!\There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally... response:	What kind of magic is this?
context: There he goes again, bein' scared. What a fraidy cat!\I'm not scared!\Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this? response:	That's great, Dad!
context: I'm not scared!\Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad! response:	Being able to play the piano, even being a sailor?
context: Oh yeah?\How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor? response:	Kaoru, I'm going to be away again for quite a while.
context: How could I be afraid anymore?\After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while. response:	Be a good boy while I'm gone, okay?
context: After all... that rain felt great, way better than I imagined...\It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay? response:	When I play the piano, I can forget all of the bad stuff
context: It's weird.\Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff response:	and the loneliness from Dad being away.
context: Even with everyone staring at me, I can breathe normally...\What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away. response:	Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.
context: What kind of magic is this?\That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano. response:	Dad... I don't want a grand piano...
context: That's great, Dad!\Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano... response:	What I want is...
context: Being able to play the piano, even being a sailor?\Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is... response:	Oh, Kaoru-kun. You're up really early today, huh?
context: Kaoru, I'm going to be away again for quite a while.\Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh? response:	You wanna play the piano? Go on ahead.
context: Be a good boy while I'm gone, okay?\When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead. response:	Mariko feels like hearing a tune that'll wake her up.
context: When I play the piano, I can forget all of the bad stuff\and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up. response:	But playing this early in the morning would be...
context: and the loneliness from Dad being away.\Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be... response:	But I wanna hear it right now!
context: Don't worry, Kaoru. Your uncle in Kyushu has a huge grand piano.\Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now! response:	Mariko will take responsibility, so please!
context: Dad... I don't want a grand piano...\What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please! response:	Please-please-please!
context: What I want is...\Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please! response:	All right, fine.
context: Oh, Kaoru-kun. You're up really early today, huh?\You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please!\All right, fine. response:	Dad...
context: You wanna play the piano? Go on ahead.\Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please!\All right, fine.\Dad... response:	Excuse me?! What do you think you're doing?
context: Mariko feels like hearing a tune that'll wake her up.\But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please!\All right, fine.\Dad...\Excuse me?! What do you think you're doing? response:	Playing the piano at this hour... Don't you have any sense?!
context: But playing this early in the morning would be...\But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please!\All right, fine.\Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?! response:	I'm sorry, Aunt. Mariko-chan wanted...
context: But I wanna hear it right now!\Mariko will take responsibility, so please!\Please-please-please!\All right, fine.\Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted... response:	See? This is why I told you to stop it...
context: Mariko will take responsibility, so please!\Please-please-please!\All right, fine.\Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it... response:	Putting the blame on someone else...
context: Please-please-please!\All right, fine.\Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else... response:	I guess it's difficult for a father to raise a child alone...
context: All right, fine.\Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone... response:	Although it's your mother who's responsible, for abandoning the both of you...
context: Dad...\Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you... response:	Nishimi-san...
context: Excuse me?! What do you think you're doing?\Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san... response:	Mukae-san...
context: Playing the piano at this hour... Don't you have any sense?!\I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san... response:	Sentaro didn't come today, huh?
context: I'm sorry, Aunt. Mariko-chan wanted...\See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh? response:	Maybe you're lonely without him here?
context: See? This is why I told you to stop it...\Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here? response:	Sorry. I wasn't able to comprehend that question.
context: Putting the blame on someone else...\I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question. response:	I'll be quite pleased if he sees fit to extend his absence.
context: I guess it's difficult for a father to raise a child alone...\Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence. response:	I-I see... It looked to me like you two were hitting it off...
context: Although it's your mother who's responsible, for abandoning the both of you...\Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off... response:	Everyone else is afraid of Sentaro, but you act normally in front of him.
context: Nishimi-san...\Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him. response:	I bet you and Sentaro could become buddies, Nishimi-san.
context: Mukae-san...\Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san. response:	Mukae-san... Give me a break with that smile...
context: Sentaro didn't come today, huh?\Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile... response:	Really, as his childhood friend, I can guarantee it.
context: Maybe you're lonely without him here?\Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it. response:	Childhood friend...? So that's why you're so casual with each other's names.
context: Sorry. I wasn't able to comprehend that question.\I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names. response:	Oh, you can call me by my name too, Nishimi-san.
context: I'll be quite pleased if he sees fit to extend his absence.\I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san. response:	And then maybe I'll call you... Kaoru-san.
context: I-I see... It looked to me like you two were hitting it off...\Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san. response:	Kaoru-san, Kaoru-san, Kaoru-san...
context: Everyone else is afraid of Sentaro, but you act normally in front of him.\I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san... response:	W-What is this echoing...?
context: I bet you and Sentaro could become buddies, Nishimi-san.\Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...? response:	Sorry I said that without asking. If you don't like it...
context: Mukae-san... Give me a break with that smile...\Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it... response:	No, it's fine! I don't mind it at all...
context: Really, as his childhood friend, I can guarantee it.\Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all... response:	Oh, that's right... Ri... chan...
context: Childhood friend...? So that's why you're so casual with each other's names.\Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan... response:	Yes?
context: Oh, you can call me by my name too, Nishimi-san.\And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes? response:	Do you happen to know of a record shop in town that sells classical music?
context: And then maybe I'll call you... Kaoru-san.\Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music? response:	Records? We've got tons of records at my place!
context: Kaoru-san, Kaoru-san, Kaoru-san...\W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place! response:	You should come over!
context: W-What is this echoing...?\Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over! response:	You know what I really mean by inviting you over, don't you... Kaoru-san?
context: Sorry I said that without asking. If you don't like it...\No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san? response:	I-I think things are moving too fast...
context: No, it's fine! I don't mind it at all...\Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast... response:	Is this how Kyushu girls behave?
context: Oh, that's right... Ri... chan...\Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave? response:	This is our shop...
context: Yes?\Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop... response:	And this is my father!
context: Do you happen to know of a record shop in town that sells classical music?\Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop...\And this is my father! response:	Fath...
context: Records? We've got tons of records at my place!\You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop...\And this is my father!\Fath... response:	M-My name is Nishimi Kaoru. Your daughter has been very kind...
context: You should come over!\You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop...\And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind... response:	The classical records are over on that shelf, Kaoru-san.
context: You know what I really mean by inviting you over, don't you... Kaoru-san?\I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop...\And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san. response:	Right.
context: I-I think things are moving too fast...\Is this how Kyushu girls behave?\This is our shop...\And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right. response:	What kind of records are you looking for?
context: Is this how Kyushu girls behave?\This is our shop...\And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for? response:	Well, like piano music...
context: This is our shop...\And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for?\Well, like piano music... response:	I play the piano myself, you see...
context: And this is my father!\Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see... response:	You play the piano?!
context: Fath...\M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see...\You play the piano?! response:	Oh, it's not a big deal...
context: M-My name is Nishimi Kaoru. Your daughter has been very kind...\The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal... response:	Come with me!
context: The classical records are over on that shelf, Kaoru-san.\Right.\What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal...\Come with me! response:	Ritsuko! Outsiders aren't allowed in there.
context: Right.\What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there. response:	Dad, Kaoru-san is a good friend of mine and Sentaro.
context: What kind of records are you looking for?\Well, like piano music...\I play the piano myself, you see...\You play the piano?!\Oh, it's not a big deal...\Come with me!\Ritsuko! Outsiders aren't allowed in there.\Dad, Kaoru-san is a good friend of mine and Sentaro. response:	Sen's friend?
