context: How enjoyable! How truly enjoyable! response:	But this isn't all!
context: Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause! response:	All right, everybody, see you again next time, at the Gryps Festa.
context: I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa. response:	Festa commentary was brought to you by yours truly, Meeko Yanase and...
context: your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and... response:	Your analyst, Pham Thi Tram!
context: I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram! response:	Grimalkin...
context: I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin... response:	Golden Eye... Number 7.
context: Congratulations on your victory.\Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7. response:	And your name is...
context: Thank you very much.\Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7.\And your name is... response:	Verner, right?
context: Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!\All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7.\And your name is...\Verner, right? response:	That scar on your cheek... I know it well.
context: All right, everybody, see you again next time, at the Gryps Festa.\Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7.\And your name is...\Verner, right?\That scar on your cheek... I know it well. response:	You're a Shadow Star shinobi, right?
context: Festa commentary was brought to you by yours truly, Meeko Yanase and...\Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7.\And your name is...\Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right? response:	You... Whose orders are you carrying out?
context: Your analyst, Pham Thi Tram!\Grimalkin...\Golden Eye... Number 7.\And your name is...\Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out? response:	You tell me.
context: Grimalkin...\Golden Eye... Number 7.\And your name is...\Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me. response:	Congratulations on winning!
context: Golden Eye... Number 7.\And your name is...\Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me.\Congratulations on winning! response:	That's my Ayato!
context: And your name is...\Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me.\Congratulations on winning!\That's my Ayato! response:	Thanks, Saya...
context: Verner, right?\That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me.\Congratulations on winning!\That's my Ayato!\Thanks, Saya... response:	It was a truly magnificent match.
context: That scar on your cheek... I know it well.\You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me.\Congratulations on winning!\That's my Ayato!\Thanks, Saya...\It was a truly magnificent match. response:	That's my Ayato!
context: You're a Shadow Star shinobi, right?\You... Whose orders are you carrying out?\You tell me.\Congratulations on winning!\That's my Ayato!\Thanks, Saya...\It was a truly magnificent match.\That's my Ayato! response:	I owe it all to you guys.
context: You... Whose orders are you carrying out?\You tell me.\Congratulations on winning!\That's my Ayato!\Thanks, Saya...\It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys. response:	I mean it. Thanks!
context: You tell me.\Congratulations on winning!\That's my Ayato!\Thanks, Saya...\It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys.\I mean it. Thanks! response:	No, it wasn't just us.
context: Congratulations on winning!\That's my Ayato!\Thanks, Saya...\It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us. response:	Kirin, Yabuki and MacPhail all pitched in, too.
context: That's my Ayato!\Thanks, Saya...\It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too. response:	Lester?
context: Thanks, Saya...\It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester? response:	Th-There's nothing to thank me for!
context: It was a truly magnificent match.\That's my Ayato!\I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for! response:	That bastard Yabuki blackmailed me,
context: That's my Ayato!\I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me, response:	so I had no choice but to help out. That's all!
context: I owe it all to you guys.\I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all! response:	Thanks, Lester. I owe you one.
context: I mean it. Thanks!\No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one. response:	Huh? Come to think of it, where is Yabuki?
context: No, it wasn't just us.\Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki? response:	The bastard bounced in the middle of the battle!
context: Kirin, Yabuki and MacPhail all pitched in, too.\Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle! response:	Dragging me out there, then ditching me...
context: Lester?\Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me... response:	Next time I see him, he's gonna wish he was never born!
context: Th-There's nothing to thank me for!\That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born! response:	It's called a Transformation Spell.
context: That bastard Yabuki blackmailed me,\so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell. response:	Oh, crap...
context: so I had no choice but to help out. That's all!\Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap... response:	That was brand-new, wasn't it?
context: Thanks, Lester. I owe you one.\Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it? response:	But sorry, Ayato.
context: Huh? Come to think of it, where is Yabuki?\The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato. response:	We couldn't capture the perpetrator.
context: The bastard bounced in the middle of the battle!\Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator. response:	No need to apologize.
context: Dragging me out there, then ditching me...\Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize. response:	I mean, you all got out of there safely.
context: Next time I see him, he's gonna wish he was never born!\It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely. response:	That's the most important thing.
context: It's called a Transformation Spell.\Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely.\That's the most important thing. response:	Ayato...
context: Oh, crap...\That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely.\That's the most important thing.\Ayato... response:	All right, I'm out of here.
context: That was brand-new, wasn't it?\But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely.\That's the most important thing.\Ayato...\All right, I'm out of here. response:	See ya!
context: But sorry, Ayato.\We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely.\That's the most important thing.\Ayato...\All right, I'm out of here.\See ya! response:	Oh, wait...
context: We couldn't capture the perpetrator.\No need to apologize.\I mean, you all got out of there safely.\That's the most important thing.\Ayato...\All right, I'm out of here.\See ya!\Oh, wait... response:	What's up, Lester?
context: No need to apologize.\I mean, you all got out of there safely.\That's the most important thing.\Ayato...\All right, I'm out of here.\See ya!\Oh, wait...\What's up, Lester? response:	Well, uh... you know...
context: I mean, you all got out of there safely.\That's the most important thing.\Ayato...\All right, I'm out of here.\See ya!\Oh, wait...\What's up, Lester?\Well, uh... you know... response:	What the heck...
context: That's the most important thing.\Ayato...\All right, I'm out of here.\See ya!\Oh, wait...\What's up, Lester?\Well, uh... you know...\What the heck... response:	Let me just say, Congrats.
context: Ayato...\All right, I'm out of here.\See ya!\Oh, wait...\What's up, Lester?\Well, uh... you know...\What the heck...\Let me just say, Congrats. response:	Lester?
context: All right, I'm out of here.\See ya!\Oh, wait...\What's up, Lester?\Well, uh... you know...\What the heck...\Let me just say, Congrats.\Lester? response:	That MacPhail...
context: See ya!\Oh, wait...\What's up, Lester?\Well, uh... you know...\What the heck...\Let me just say, Congrats.\Lester?\That MacPhail... response:	He just can't show his honest feelings, can he?
context: Oh, wait...\What's up, Lester?\Well, uh... you know...\What the heck...\Let me just say, Congrats.\Lester?\That MacPhail...\He just can't show his honest feelings, can he? response:	Uh...
context: What's up, Lester?\Well, uh... you know...\What the heck...\Let me just say, Congrats.\Lester?\That MacPhail...\He just can't show his honest feelings, can he?\Uh... response:	Can we help...
context: Well, uh... you know...\What the heck...\Let me just say, Congrats.\Lester?\That MacPhail...\He just can't show his honest feelings, can he?\Uh...\Can we help... response:	What do you want?
context: What the heck...\Let me just say, Congrats.\Lester?\That MacPhail...\He just can't show his honest feelings, can he?\Uh...\Can we help...\What do you want? response:	Saya Sasamiya...
context: Let me just say, Congrats.\Lester?\That MacPhail...\He just can't show his honest feelings, can he?\Uh...\Can we help...\What do you want?\Saya Sasamiya... response:	I wish for a rematch with you.
context: Lester?\That MacPhail...\He just can't show his honest feelings, can he?\Uh...\Can we help...\What do you want?\Saya Sasamiya...\I wish for a rematch with you. response:	I don't see why. We lost to you.
context: That MacPhail...\He just can't show his honest feelings, can he?\Uh...\Can we help...\What do you want?\Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you. response:	During yesterday's semifinal,
context: He just can't show his honest feelings, can he?\Uh...\Can we help...\What do you want?\Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal, response:	you and Dr. Sasamiya's Lux was clearly superior to RM-C.
context: Uh...\Can we help...\What do you want?\Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C. response:	But not enough to beat the fused AR-D.
context: Can we help...\What do you want?\Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D. response:	Using the fused AR-D is virtually the same as using an Ogre Lux.
context: What do you want?\Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux. response:	Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.
context: Saya Sasamiya...\I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux. response:	Therefore, I personally cannot acknowledge that as a victory.
context: I wish for a rematch with you.\I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory. response:	Gotcha. Let's duel again and settle the score.
context: I don't see why. We lost to you.\During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score. response:	Next time, I'm going to pummel you until there's nothing left
context: During yesterday's semifinal,\you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left response:	and finish you off once and for all.
context: you and Dr. Sasamiya's Lux was clearly superior to RM-C.\But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all. response:	In that case, we'll have to be better than you.
context: But not enough to beat the fused AR-D.\Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you. response:	Right.
context: Using the fused AR-D is virtually the same as using an Ogre Lux.\Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you.\Right. response:	Why don't you give me your answer from the other day?
context: Ferrovius's philosophies are incompatible with anything as unstable as an Ogre Lux.\Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day? response:	Answer?
context: Therefore, I personally cannot acknowledge that as a victory.\Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day?\Answer? response:	Whether or not you're going to join forces with us.
context: Gotcha. Let's duel again and settle the score.\Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us. response:	Oh, that! Right.
context: Next time, I'm going to pummel you until there's nothing left\and finish you off once and for all.\In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us.\Oh, that! Right. response:	Of course, my answer is...
context: and finish you off once and for all.\In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is... response:	No!
context: In that case, we'll have to be better than you.\Right.\Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is...\No! response:	You guys just aren't my cup of tea!
context: Right.\Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is...\No!\You guys just aren't my cup of tea! response:	But...
context: Why don't you give me your answer from the other day?\Answer?\Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is...\No!\You guys just aren't my cup of tea!\But... response:	are you sure you're really going to be able to finish the third puppet?
context: Answer?\Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is...\No!\You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet? response:	You can't find any compatible Ulm Manadite, can you?
context: Whether or not you're going to join forces with us.\Oh, that! Right.\Of course, my answer is...\No!\You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you? response:	So I see. Hats off to you!
context: Oh, that! Right.\Of course, my answer is...\No!\You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you! response:	I still haven't even told Camilla about her yet.
context: Of course, my answer is...\No!\You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet. response:	Just what you'd expect of Rewolf, right?
context: No!\You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right? response:	All right.
context: You guys just aren't my cup of tea!\But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right. response:	I guess I can at least listen to what you have to say.
context: But...\are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say. response:	Fine. I'll be in touch.
context: are you sure you're really going to be able to finish the third puppet?\You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch. response:	All righty, who knows what's going to happen next?
context: You can't find any compatible Ulm Manadite, can you?\So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next? response:	Congratulations on your victory, Ayato-senpai.
context: So I see. Hats off to you!\I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai. response:	Thanks.
context: I still haven't even told Camilla about her yet.\Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks. response:	But I was only able to win because you guys did such a great job.
context: Just what you'd expect of Rewolf, right?\All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job. response:	You did great, Kirin.
context: All right.\I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin. response:	O-Oh no, not at all...
context: I guess I can at least listen to what you have to say.\Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all... response:	I didn't do anything.
context: Fine. I'll be in touch.\All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all...\I didn't do anything. response:	Oh, Julis...
context: All righty, who knows what's going to happen next?\Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all...\I didn't do anything.\Oh, Julis... response:	Are the police done questioning you?
context: Congratulations on your victory, Ayato-senpai.\Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all...\I didn't do anything.\Oh, Julis...\Are the police done questioning you? response:	Yes.
context: Thanks.\But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all...\I didn't do anything.\Oh, Julis...\Are the police done questioning you?\Yes. response:	I gave them an earful about what a heinous guy Dirk Eberwein is.
context: But I was only able to win because you guys did such a great job.\You did great, Kirin.\O-Oh no, not at all...\I didn't do anything.\Oh, Julis...\Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is. response:	Right, Flora?
context: You did great, Kirin.\O-Oh no, not at all...\I didn't do anything.\Oh, Julis...\Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora? response:	What are you doing, Flora?
context: O-Oh no, not at all...\I didn't do anything.\Oh, Julis...\Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora? response:	What's wrong, Flora?
context: I didn't do anything.\Oh, Julis...\Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora?\What's wrong, Flora? response:	Oh, uh, everybody...
context: Oh, Julis...\Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody... response:	I know I caused you all so much trouble!
context: Are the police done questioning you?\Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble! response:	Hey, listen.
context: Yes.\I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen. response:	It wasn't your fault that it happened, Flora.
context: I gave them an earful about what a heinous guy Dirk Eberwein is.\Right, Flora?\What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora. response:	But it was such an important match for you and the princess.
context: Right, Flora?\What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess. response:	And to make matters worse, Lady Toudou got these terrible injuries!
context: What are you doing, Flora?\What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries! response:	It's high time you let it go, Flora.
context: What's wrong, Flora?\Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora. response:	You're a good kid, but you're still only ten.
context: Oh, uh, everybody...\I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten. response:	It's all right to cry when you feel like it.
context: I know I caused you all so much trouble!\Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it. response:	Y-Your Highness...
context: Hey, listen.\It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness... response:	Your Highness!
context: It wasn't your fault that it happened, Flora.\But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness! response:	I was so scared!
context: But it was such an important match for you and the princess.\And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness!\I was so scared! response:	You were so brave, Flora. You're safe now.
context: And to make matters worse, Lady Toudou got these terrible injuries!\It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness!\I was so scared!\You were so brave, Flora. You're safe now. response:	Whoa.
context: It's high time you let it go, Flora.\You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness!\I was so scared!\You were so brave, Flora. You're safe now.\Whoa. response:	Well?
context: You're a good kid, but you're still only ten.\It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness!\I was so scared!\You were so brave, Flora. You're safe now.\Whoa.\Well? response:	Julis?
context: It's all right to cry when you feel like it.\Y-Your Highness...\Your Highness!\I was so scared!\You were so brave, Flora. You're safe now.\Whoa.\Well?\Julis? response:	Well...
context: Y-Your Highness...\Your Highness!\I was so scared!\You were so brave, Flora. You're safe now.\Whoa.\Well?\Julis?\Well... response:	True, I did summon you here because I wanted to talk to you.
context: Your Highness!\I was so scared!\You were so brave, Flora. You're safe now.\Whoa.\Well?\Julis?\Well...\True, I did summon you here because I wanted to talk to you. response:	But when push comes to shove...
