context: I think we should use the same members we've been using for the next match. response:	I think we should go without Desktomu-kun.
context: This is bad. Very bad.\Empress' jacket of love\We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest.\Okay... response:	In the sleepy spring sunlight,
context: Empress' jacket of love\We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest.\Okay...\In the sleepy spring sunlight, response:	He took another one.
context: We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest.\Okay...\In the sleepy spring sunlight,\He took another one. response:	He's really fast.
context: I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest.\Okay...\In the sleepy spring sunlight,\He took another one.\He's really fast. response:	I have to stay calm.
context: Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest.\Okay...\In the sleepy spring sunlight,\He took another one.\He's really fast.\I have to stay calm. response:	We'll rest Desktomu-kun and use the same five from the group stage.
context: But I want to watch the match...\You also need to get some rest.\Okay...\In the sleepy spring sunlight,\He took another one.\He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage. response:	Huh?
context: You also need to get some rest.\Okay...\In the sleepy spring sunlight,\He took another one.\He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh? response:	Dr. Harada once taught me
context: Okay...\In the sleepy spring sunlight,\He took another one.\He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me response:	that you shouldn't concentrate on watching
context: In the sleepy spring sunlight,\He took another one.\He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching response:	other people play before your own match begins.
context: He took another one.\He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins. response:	It's more tiring to closely watch a match than to play a match.
context: He's really fast.\I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match. response:	After seeing this, I understand.
context: I have to stay calm.\We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand. response:	Desktomu-kun is much more tired than the rest of us,
context: We'll rest Desktomu-kun and use the same five from the group stage.\Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us, response:	so I'm leaving him out.
context: Huh?\Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out. response:	The storm blasts...
context: Dr. Harada once taught me\that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts... response:	This is bad...
context: that you shouldn't concentrate on watching\other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts...\This is bad... response:	I can't keep up with his sporadic bursts of speed.
context: other people play before your own match begins.\It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed. response:	My arm won't move.
context: It's more tiring to closely watch a match than to play a match.\After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move. response:	This Kawabe guy is really good...
context: After seeing this, I understand.\Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good... response:	Kawabe?
context: Desktomu-kun is much more tired than the rest of us,\so I'm leaving him out.\The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good...\Kawabe? response:	If you're matched up against Kawabe, try to stay calm!
context: so I'm leaving him out.\The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm! response:	He's just guessing!
context: The storm blasts...\This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing! response:	to set the Tatsuta River ablaze
context: This is bad...\I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze response:	After many, many years...
context: I can't keep up with his sporadic bursts of speed.\My arm won't move.\This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze\After many, many years... response:	Is this speed he's using the real thing?
context: My arm won't move.\This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing? response:	Normally, I would have no trouble protecting the After many at my lower left,
context: This Kawabe guy is really good...\Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left, response:	but he took it before I heard the many.
context: Kawabe?\If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many. response:	Does he have good game sense?
context: If you're matched up against Kawabe, try to stay calm!\He's just guessing!\to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense? response:	No.
context: He's just guessing!\to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense?\No. response:	He's gambling that his card will be read.
context: to set the Tatsuta River ablaze\After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense?\No.\He's gambling that his card will be read. response:	now bloom inside the nine-fold palace
context: After many, many years...\Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense?\No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace response:	As I wait for someone...
context: Is this speed he's using the real thing?\Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense?\No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone... response:	A fault!
context: Normally, I would have no trouble protecting the After many at my lower left,\but he took it before I heard the many.\Does he have good game sense?\No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone...\A fault! response:	A person with good game sense
context: but he took it before I heard the many.\Does he have good game sense?\No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone...\A fault!\A person with good game sense response:	wouldn't let me goad them into that fault.
context: Does he have good game sense?\No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone...\A fault!\A person with good game sense\wouldn't let me goad them into that fault. response:	He's just guessing...
context: No.\He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone...\A fault!\A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing... response:	Desktomu-kun...
context: He's gambling that his card will be read.\now bloom inside the nine-fold palace\As I wait for someone...\A fault!\A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun... response:	Desktomu-kun!
context: now bloom inside the nine-fold palace\As I wait for someone...\A fault!\A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun...\Desktomu-kun! response:	A mountain village grows lonesome every winter
context: As I wait for someone...\A fault!\A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter response:	According to Desktomu-kun's notes...
context: A fault!\A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes... response:	Excuse me.
context: A person with good game sense\wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me. response:	Tashiro-kun likes to stand up a lot.
context: wouldn't let me goad them into that fault.\He's just guessing...\Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot. response:	He does this frequently to get into a rhythm.
context: He's just guessing...\Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm. response:	So I should put an early stop to that.
context: Desktomu-kun...\Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that. response:	Pout
context: Desktomu-kun!\A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout response:	What? You're standing up again?
context: A mountain village grows lonesome every winter\According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout\What? You're standing up again? response:	O-Oh, sorry about that.
context: According to Desktomu-kun's notes...\Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout\What? You're standing up again?\O-Oh, sorry about that. response:	That makes it harder for Tashiro-kun to stand up.
context: Excuse me.\Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout\What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up. response:	I'm throwing him off his rhythm early on.
context: Tashiro-kun likes to stand up a lot.\He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout\What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on. response:	I should stand up again soon.
context: He does this frequently to get into a rhythm.\So I should put an early stop to that.\Pout\What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon. response:	What?
context: So I should put an early stop to that.\Pout\What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon.\What? response:	That card was mine.
context: Pout\What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon.\What?\That card was mine. response:	It wouldn't have flown in that direction if I hadn't hit it.
context: What? You're standing up again?\O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon.\What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it. response:	What?!
context: O-Oh, sorry about that.\That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon.\What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?! response:	I definitely got that one!
context: That makes it harder for Tashiro-kun to stand up.\I'm throwing him off his rhythm early on.\I should stand up again soon.\What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one! response:	Ooka will contest cards that she
context: I'm throwing him off his rhythm early on.\I should stand up again soon.\What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one!\Ooka will contest cards that she response:	obviously lost so she can cool down.
context: I should stand up again soon.\What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down. response:	You and I both know that I won that card.
context: What?\That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card. response:	I'm sending this card.
context: That card was mine.\It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card. response:	I always thought that skill was everything in karuta.
context: It wouldn't have flown in that direction if I hadn't hit it.\What?!\I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta. response:	I never thought that data could be so important.
context: What?!\I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important. response:	But...
context: I definitely got that one!\Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important.\But... response:	Sanada-san is a whacker.
context: Ooka will contest cards that she\obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important.\But...\Sanada-san is a whacker. response:	He whacks the tatami when he practices his swing,
context: obviously lost so she can cool down.\You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important.\But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing, response:	but it doesn't scare me.
context: You and I both know that I won that card.\I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important.\But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me. response:	It means his motions are rough and sloppy.
context: I'm sending this card.\I always thought that skill was everything in karuta.\I never thought that data could be so important.\But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy. response:	I can't imagine how hard it was
context: I always thought that skill was everything in karuta.\I never thought that data could be so important.\But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was response:	for him to gather this information from a team
context: I never thought that data could be so important.\But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team response:	that just lost their match.
context: But...\Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team\that just lost their match. response:	Please help us!
context: Sanada-san is a whacker.\He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team\that just lost their match.\Please help us! response:	Why do we have to talk to you about Shoyo?
context: He whacks the tatami when he practices his swing,\but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team\that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo? response:	I'm begging you!
context: but it doesn't scare me.\It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team\that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you! response:	You should know how it feels to want the team who beat you
context: It means his motions are rough and sloppy.\I can't imagine how hard it was\for him to gather this information from a team\that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you response:	to win the whole thing.
context: I can't imagine how hard it was\for him to gather this information from a team\that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing. response:	Let's get going.
context: for him to gather this information from a team\that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going. response:	I want...
context: that just lost their match.\Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going.\I want... response:	I want to do whatever I can to support my teammates!
context: Please help us!\Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going.\I want...\I want to do whatever I can to support my teammates! response:	I'm sure you know how that feels!
context: Why do we have to talk to you about Shoyo?\I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going.\I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels! response:	So please!
context: I'm begging you!\You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going.\I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please! response:	Desktomu-kun has the drive.
context: You should know how it feels to want the team who beat you\to win the whole thing.\Let's get going.\I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please!\Desktomu-kun has the drive. response:	That notebook is his way of saying that he wants Mizusawa
context: to win the whole thing.\Let's get going.\I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa response:	to be first in Japan.
context: Let's get going.\I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan. response:	Please...
context: I want...\I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please... response:	Huh? I fell asleep?
context: I want to do whatever I can to support my teammates!\I'm sure you know how that feels!\So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please...\Huh? I fell asleep? response:	You scared me, senpai!
context: I'm sure you know how that feels!\So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please...\Huh? I fell asleep?\You scared me, senpai! response:	I can't tell if you're awake or asleep because of your glasses!
context: So please!\Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please...\Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses! response:	Sorry for that
context: Desktomu-kun has the drive.\That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please...\Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that response:	What about the match?
context: That notebook is his way of saying that he wants Mizusawa\to be first in Japan.\Please...\Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match? response:	It's still going on.
context: to be first in Japan.\Please...\Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match?\It's still going on. response:	Oh...
context: Please...\Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match?\It's still going on.\Oh... response:	I think it's perfectly okay.
context: Huh? I fell asleep?\You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match?\It's still going on.\Oh...\I think it's perfectly okay. response:	Huh?
context: You scared me, senpai!\I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match?\It's still going on.\Oh...\I think it's perfectly okay.\Huh? response:	You're so good at gathering data
context: I can't tell if you're awake or asleep because of your glasses!\Sorry for that\What about the match?\It's still going on.\Oh...\I think it's perfectly okay.\Huh?\You're so good at gathering data response:	that it doesn't matter if you don't play!
context: Sorry for that\What about the match?\It's still going on.\Oh...\I think it's perfectly okay.\Huh?\You're so good at gathering data\that it doesn't matter if you don't play! response:	It's hard to play in a match.
context: What about the match?\It's still going on.\Oh...\I think it's perfectly okay.\Huh?\You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match. response:	I know!
context: It's still going on.\Oh...\I think it's perfectly okay.\Huh?\You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match.\I know! response:	It's hard and scary...
context: Oh...\I think it's perfectly okay.\Huh?\You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match.\I know!\It's hard and scary... response:	I got nervous when Porky called me out.
context: I think it's perfectly okay.\Huh?\You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match.\I know!\It's hard and scary...\I got nervous when Porky called me out. response:	We won! Mizusawa won!
context: Huh?\You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match.\I know!\It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won! response:	You're playing in the next match, right?
context: You're so good at gathering data\that it doesn't matter if you don't play!\It's hard to play in a match.\I know!\It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right? response:	You're playing in the next match, right?!
context: that it doesn't matter if you don't play!\It's hard to play in a match.\I know!\It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?! response:	You're going to join us, right?!
context: It's hard to play in a match.\I know!\It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?! response:	Desktomu-kun!
context: I know!\It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun! response:	We worked so hard to get here.
context: It's hard and scary...\I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here. response:	We want you with us as a player.
context: I got nervous when Porky called me out.\We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here.\We want you with us as a player. response:	You should always be a player with us.
context: We won! Mizusawa won!\You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here.\We want you with us as a player.\You should always be a player with us. response:	Arata! I'm so sorry!
context: You're playing in the next match, right?\You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here.\We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry! response:	It's my fault you have to write this essay!
context: You're playing in the next match, right?!\You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here.\We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay! response:	No, I should apologize.
context: You're going to join us, right?!\Desktomu-kun!\We worked so hard to get here.\We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize. response:	I can't return this T-shirt yet,
context: Desktomu-kun!\We worked so hard to get here.\We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet, response:	since I had to lend mine to the drenched Queen.
context: We worked so hard to get here.\We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen. response:	And those pants
context: We want you with us as a player.\You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants response:	And that phone
context: You should always be a player with us.\Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants\And that phone response:	That's no big deal!
context: Arata! I'm so sorry!\It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants\And that phone\That's no big deal! response:	You can keep it if you want!
context: It's my fault you have to write this essay!\No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants\And that phone\That's no big deal!\You can keep it if you want! response:	Oh, unless you don't want it...
context: No, I should apologize.\I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants\And that phone\That's no big deal!\You can keep it if you want!\Oh, unless you don't want it... response:	Wataya-kun, what was your objective today?
context: I can't return this T-shirt yet,\since I had to lend mine to the drenched Queen.\And those pants\And that phone\That's no big deal!\You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today? response:	Huh?
context: since I had to lend mine to the drenched Queen.\And those pants\And that phone\That's no big deal!\You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh? response:	I came here to cheer for my friends from Tokyo.
context: And those pants\And that phone\That's no big deal!\You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo. response:	Then you're no longer allowed to do that.
context: And that phone\That's no big deal!\You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that. response:	Go to the room in the back and write an essay of apology.
context: That's no big deal!\You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology. response:	Tomorrow, you will play in the individual tournament.
context: You can keep it if you want!\Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament. response:	Taichi... Chihaya...
context: Oh, unless you don't want it...\Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya... response:	Are you working hard?
context: Wataya-kun, what was your objective today?\Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard? response:	One page should be enough, right?
context: Huh?\I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard?\One page should be enough, right? response:	So there won't be any more events today...
context: I came here to cheer for my friends from Tokyo.\Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard?\One page should be enough, right?\So there won't be any more events today... response:	Quality over quantity.
context: Then you're no longer allowed to do that.\Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard?\One page should be enough, right?\So there won't be any more events today...\Quality over quantity. response:	Can't they push the individual tournament back a day?
context: Go to the room in the back and write an essay of apology.\Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard?\One page should be enough, right?\So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day? response:	Why is it?
context: Tomorrow, you will play in the individual tournament.\Taichi... Chihaya...\Are you working hard?\One page should be enough, right?\So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day?\Why is it? response:	It seems I only ever run into them during matches.
context: Taichi... Chihaya...\Are you working hard?\One page should be enough, right?\So there won't be any more events today...\Quality over quantity.\Can't they push the individual tournament back a day?\Why is it?\It seems I only ever run into them during matches. response:	Our opponent in the semifinals will be First Akashi Girls'.
