context: Last time on Fairy Tail... response:	We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.
context: I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard... response:	Then let's figure out the bridal plan right away!
context: We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away! response:	Right! I'll leave the details to you!
context: I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you! response:	First, we'll want to invite about 50 friends and relatives to the ceremony.
context: Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony. response:	It looks like it'll be a gorgeous wedding!
context: Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding! response:	For your honeymoon, you'll go on a'round-the-world cruise!
context: This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise! response:	How romantic!
context: That's a good idea!\You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic! response:	You two will be happily married for the rest of your lives
context: You know this is a graveyard...\Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives response:	and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!
context: Then let's figure out the bridal plan right away!\Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky! response:	That's wonderful!
context: Right! I'll leave the details to you!\First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful! response:	The dawn of my life is near!
context: First, we'll want to invite about 50 friends and relatives to the ceremony.\It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near! response:	I can't keep up with this...
context: It looks like it'll be a gorgeous wedding!\For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near!\I can't keep up with this... response:	L-O-V-E!
context: For your honeymoon, you'll go on a'round-the-world cruise!\How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near!\I can't keep up with this...\L-O-V-E! response:	Don't forget about me!
context: How romantic!\You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near!\I can't keep up with this...\L-O-V-E!\Don't forget about me! response:	What is this smell?
context: You two will be happily married for the rest of your lives\and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near!\I can't keep up with this...\L-O-V-E!\Don't forget about me!\What is this smell? response:	It stinks! Romeo, you did this, didn't you?!
context: and will eventually become a constellation, the Married Lovebirds, that decorates the night sky!\That's wonderful!\The dawn of my life is near!\I can't keep up with this...\L-O-V-E!\Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?! response:	Forgive me! I'm doin' it to help you, Lucy-nee!
context: That's wonderful!\The dawn of my life is near!\I can't keep up with this...\L-O-V-E!\Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee! response:	It stinks so bad, I can't stand it!
context: The dawn of my life is near!\I can't keep up with this...\L-O-V-E!\Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it! response:	The smoke is trapped in my armor and I think I'm gonna choke on it!
context: I can't keep up with this...\L-O-V-E!\Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it! response:	The red string that binds us...!
context: L-O-V-E!\Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...! response:	Lucy-nee!
context: Don't forget about me!\What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee! response:	Hot-hot-hot-hot! How many times has this happened to me today?!
context: What is this smell?\It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?! response:	Lucy, get on!
context: It stinks! Romeo, you did this, didn't you?!\Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on! response:	Give me back my wife!
context: Forgive me! I'm doin' it to help you, Lucy-nee!\It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife! response:	You saved me!
context: It stinks so bad, I can't stand it!\The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife!\You saved me! response:	Happy, fly us right out of here!
context: The smoke is trapped in my armor and I think I'm gonna choke on it!\The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife!\You saved me!\Happy, fly us right out of here! response:	Aye, sir!
context: The red string that binds us...!\Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife!\You saved me!\Happy, fly us right out of here!\Aye, sir! response:	I'll return you to your original size! That way, you'll both fall from the weight!
context: Lucy-nee!\Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife!\You saved me!\Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight! response:	I'm back to normal!
context: Hot-hot-hot-hot! How many times has this happened to me today?!\Lucy, get on!\Give me back my wife!\You saved me!\Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal! response:	Oh, no. I missed the target again.
context: Lucy, get on!\Give me back my wife!\You saved me!\Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again. response:	H-Happy is huge...
context: Give me back my wife!\You saved me!\Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge... response:	You suck!
context: You saved me!\Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge...\You suck! response:	Dumbass! You're not really a master lancer or anything, are you?!
context: Happy, fly us right out of here!\Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?! response:	I can't move!
context: Aye, sir!\I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move! response:	Sorry! I stepped on you again!
context: I'll return you to your original size! That way, you'll both fall from the weight!\I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again! response:	I bet you did that on purpose!
context: I'm back to normal!\Oh, no. I missed the target again.\H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose! response:	Are you sure this is the right place?!
context: Oh, no. I missed the target again.\H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?! response:	This is where it said on the map you fools gave me!
context: H-Happy is huge...\You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me! response:	I can run faster than anything on normal ground,
context: You suck!\Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground, response:	but I'm out of my element climbing up a cliff!
context: Dumbass! You're not really a master lancer or anything, are you?!\I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff! response:	Wouldn't this be a lot easier if Lily just gave us a lift to the top?!
context: I can't move!\Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?! response:	But if I did and there was a clue along the way, we would miss it.
context: Sorry! I stepped on you again!\I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it. response:	It's no good choosing the easiest way. Mm-mm.
context: I bet you did that on purpose!\Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm. response:	Quit bitching! I'll leave you hangin' here!
context: Are you sure this is the right place?!\This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here! response:	Asshole. He really ticks me off...
context: This is where it said on the map you fools gave me!\I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off... response:	Hmm... It seems like we're completely lost.
context: I can run faster than anything on normal ground,\but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost. response:	I think we've just been going around in circles.
context: but I'm out of my element climbing up a cliff!\Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles. response:	What about the map?
context: Wouldn't this be a lot easier if Lily just gave us a lift to the top?!\But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map? response:	It doesn't show the route in any detail.
context: But if I did and there was a clue along the way, we would miss it.\It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail. response:	There are just instructions to rely on the signs.
context: It's no good choosing the easiest way. Mm-mm.\Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs. response:	But it's weird. If we keep going this way, we should reach our destination, right?
context: Quit bitching! I'll leave you hangin' here!\Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right? response:	I wonder if the sign is wrong...
context: Asshole. He really ticks me off...\Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong... response:	That or maybe someone messed with the sign, pointing it in the wrong direction...
context: Hmm... It seems like we're completely lost.\I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction... response:	That kind of prank would be in bad taste.
context: I think we've just been going around in circles.\What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste. response:	It's a crime to change the direction of a sign,
context: What about the map?\It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign, response:	since if someone then makes a mistake, it can lead to a major accident.
context: It doesn't show the route in any detail.\There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident. response:	But we should be close. Let's keep moving forward carefully while consulting the map.
context: There are just instructions to rely on the signs.\But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map. response:	I wonder if it is just a prank...
context: But it's weird. If we keep going this way, we should reach our destination, right?\I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank... response:	Or someone purposefully trying to get us off track...
context: I wonder if the sign is wrong...\That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track... response:	Don't move, Happy!
context: That or maybe someone messed with the sign, pointing it in the wrong direction...\That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy! response:	If I don't fly, I'm likely to stomp on you again!
context: That kind of prank would be in bad taste.\It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again! response:	This is a precious cultural heritage site! Don't carelessly destroy it!
context: It's a crime to change the direction of a sign,\since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it! response:	Now's no time to worry about that!
context: since if someone then makes a mistake, it can lead to a major accident.\But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that! response:	What a pain!
context: But we should be close. Let's keep moving forward carefully while consulting the map.\I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain! response:	Alrighty!
context: I wonder if it is just a prank...\Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain!\Alrighty! response:	You're already back to normal.
context: Or someone purposefully trying to get us off track...\Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain!\Alrighty!\You're already back to normal. response:	Finally, everyone's back to normal!
context: Don't move, Happy!\If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain!\Alrighty!\You're already back to normal.\Finally, everyone's back to normal! response:	Alright, let's look for that clock part!
context: If I don't fly, I'm likely to stomp on you again!\This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain!\Alrighty!\You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part! response:	Thank goodness!
context: This is a precious cultural heritage site! Don't carelessly destroy it!\Now's no time to worry about that!\What a pain!\Alrighty!\You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness! response:	But how can we find it when we don't even know where it's hidden?
context: Now's no time to worry about that!\What a pain!\Alrighty!\You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden? response:	It's okay. I brought the book along for a time like this.
context: What a pain!\Alrighty!\You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this. response:	It might provide us with a clue that leads us to the part!
context: Alrighty!\You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part! response:	If I had that book, maybe I'd even be able to find the part by myself!
context: You're already back to normal.\Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself! response:	Give me that book!
context: Finally, everyone's back to normal!\Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book! response:	Stay back!
context: Alright, let's look for that clock part!\Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back! response:	Whoa!
context: Thank goodness!\But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back!\Whoa! response:	Now, while we have the chance!
context: But how can we find it when we don't even know where it's hidden?\It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back!\Whoa!\Now, while we have the chance! response:	Halt!
context: It's okay. I brought the book along for a time like this.\It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back!\Whoa!\Now, while we have the chance!\Halt! response:	You halt!
context: It might provide us with a clue that leads us to the part!\If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back!\Whoa!\Now, while we have the chance!\Halt!\You halt! response:	I'll kick his ass! In the meantime, search for the part!
context: If I had that book, maybe I'd even be able to find the part by myself!\Give me that book!\Stay back!\Whoa!\Now, while we have the chance!\Halt!\You halt!\I'll kick his ass! In the meantime, search for the part! response:	Got it! Leave it to us!
context: Give me that book!\Stay back!\Whoa!\Now, while we have the chance!\Halt!\You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us! response:	Careful you don't get stepped on!
context: Stay back!\Whoa!\Now, while we have the chance!\Halt!\You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on! response:	As long as you're not around, I ain't gettin' stepped on!
context: Whoa!\Now, while we have the chance!\Halt!\You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on! response:	Wait!
context: Now, while we have the chance!\Halt!\You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait! response:	How dare you get in my way again!
context: Halt!\You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again! response:	This is gonna be the last time!
context: You halt!\I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again!\This is gonna be the last time! response:	Stop!
context: I'll kick his ass! In the meantime, search for the part!\Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again!\This is gonna be the last time!\Stop! response:	Get away from us!
context: Got it! Leave it to us!\Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again!\This is gonna be the last time!\Stop!\Get away from us! response:	Lucy-neesan, where's the part?!
context: Careful you don't get stepped on!\As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again!\This is gonna be the last time!\Stop!\Get away from us!\Lucy-neesan, where's the part?! response:	Um... um... ow!
context: As long as you're not around, I ain't gettin' stepped on!\Wait!\How dare you get in my way again!\This is gonna be the last time!\Stop!\Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow! response:	This again?!
context: Wait!\How dare you get in my way again!\This is gonna be the last time!\Stop!\Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow!\This again?! response:	What a time to run out of magic...
context: How dare you get in my way again!\This is gonna be the last time!\Stop!\Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow!\This again?!\What a time to run out of magic... response:	Hold this!
context: This is gonna be the last time!\Stop!\Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow!\This again?!\What a time to run out of magic...\Hold this! response:	Grab on!
context: Stop!\Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow!\This again?!\What a time to run out of magic...\Hold this!\Grab on! response:	I refuse to accept mercy from the enemy!
context: Get away from us!\Lucy-neesan, where's the part?!\Um... um... ow!\This again?!\What a time to run out of magic...\Hold this!\Grab on!\I refuse to accept mercy from the enemy! response:	Don't be stubborn! Just hurry up!
context: Lucy-neesan, where's the part?!\Um... um... ow!\This again?!\What a time to run out of magic...\Hold this!\Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up! response:	Lucy-neesan, are you alright?!
context: Um... um... ow!\This again?!\What a time to run out of magic...\Hold this!\Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?! response:	I'm in one piece...
context: This again?!\What a time to run out of magic...\Hold this!\Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece... response:	Hold on! I'll come down to help you out!
context: What a time to run out of magic...\Hold this!\Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out! response:	No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!
context: Hold this!\Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually! response:	Will she really be okay? After all, that Coco girl is down there with her...
context: Grab on!\I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her... response:	Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.
context: I refuse to accept mercy from the enemy!\Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about. response:	Yeah. Let's do as Lucy-nee told us.
context: Don't be stubborn! Just hurry up!\Lucy-neesan, are you alright?!\I'm in one piece...\Hold on! I'll come down to help you out!\No, don't! Hurry up and find the part instead! We'll regroup somewhere eventually!\Will she really be okay? After all, that Coco girl is down there with her...\Lucy has her Celestial Spirits, so I'd say there's nothing to worry about.\Yeah. Let's do as Lucy-nee told us. response:	Lucy-neesan, be careful!
