context: Ladies and gentlemen, good evening. response:	The youth, who had been ravaged by poison, was restored to life through my friend's efforts.
context: I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on! response:	If we don't do something, she'll...
context: I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll... response:	My answer is no! Don't get involved any further!
context: She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further! response:	What are you so angry about?!
context: If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?! response:	My friend is in trouble, and you're telling me to just abandon her?!
context: Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?! response:	Forget it. It was stupid of me to even ask.
context: What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask. response:	What's the matter? You look upset.
context: Neither you nor your friend have any right to throw someone else's house into turmoil!\How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset. response:	I got into a shouting match with Father, that's all.
context: How can you say that?! You have no idea what's going on!\If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all. response:	I see.
context: If we don't do something, she'll...\My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see. response:	Mother, do you know someone named Edmond Dantes?
context: My answer is no! Don't get involved any further!\What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes? response:	Edmond Dantes?
context: What are you so angry about?!\My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes? response:	Yeah. That was the name of the sender on a letter that came for Father today.
context: My friend is in trouble, and you're telling me to just abandon her?!\Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today. response:	The instant Father saw that name, he started acting strangely for some reason.
context: Forget it. It was stupid of me to even ask.\What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason. response:	What's the matter?
context: What's the matter? You look upset.\I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter? response:	It's nothing. I haven't been sleeping well lately, that's all.
context: I got into a shouting match with Father, that's all.\I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all. response:	With the election race almost here, I bet you're tired, too.
context: I see.\Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too. response:	Yes, that might be it.
context: Mother, do you know someone named Edmond Dantes?\Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it. response:	You should take it easy.
context: Edmond Dantes?\Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy. response:	Who is he? Who's this Edmond Dantes person?
context: Yeah. That was the name of the sender on a letter that came for Father today.\The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person? response:	That man is long since dead...
context: The instant Father saw that name, he started acting strangely for some reason.\What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead... response:	What could be worth coming all the way out here for?
context: What's the matter?\It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for? response:	Well, damn!
context: It's nothing. I haven't been sleeping well lately, that's all.\With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for?\Well, damn! response:	So, you were sent one of these, too.
context: With the election race almost here, I bet you're tired, too.\Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too. response:	Who's behind this?
context: Yes, that might be it.\You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too.\Who's behind this? response:	I don't know.
context: You should take it easy.\Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too.\Who's behind this?\I don't know. response:	It's just a stupid prank. Let's get out of here.
context: Who is he? Who's this Edmond Dantes person?\That man is long since dead...\What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too.\Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here. response:	But they knew us.
context: That man is long since dead...\What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too.\Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us. response:	Someone knows about the connection between the three of us.
context: What could be worth coming all the way out here for?\Well, damn!\So, you were sent one of these, too.\Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us. response:	Well, well, the gang's all here...
context: Well, damn!\So, you were sent one of these, too.\Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here... response:	Who the hell are you?
context: So, you were sent one of these, too.\Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you? response:	You're...
context: Who's behind this?\I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you?\You're... response:	I'm your old friend Caderousse.
context: I don't know.\It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you?\You're...\I'm your old friend Caderousse. response:	Now that you've made it big, have you forgotten about me...
context: It's just a stupid prank. Let's get out of here.\But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you?\You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me... response:	I see you're all big, powerful men now, not at all like you were in the old days!
context: But they knew us.\Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you?\You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days! response:	You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!
context: Someone knows about the connection between the three of us.\Well, well, the gang's all here...\Who the hell are you?\You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?! response:	I-I have one of these invitations, too...
context: Well, well, the gang's all here...\Who the hell are you?\You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too... response:	Who could it be?
context: Who the hell are you?\You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be? response:	Someone else knows about us?
context: You're...\I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be?\Someone else knows about us? response:	What's going on here?
context: I'm your old friend Caderousse.\Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be?\Someone else knows about us?\What's going on here? response:	You're asking me who else knows besides the four of us here?
context: Now that you've made it big, have you forgotten about me...\I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be?\Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here? response:	Only this man.
context: I see you're all big, powerful men now, not at all like you were in the old days!\You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be?\Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here?\Only this man. response:	Edmond Dantes?
context: You're the one who's behind this, Caderousse? What kind of stupid stunt is this?!\I-I have one of these invitations, too...\Who could it be?\Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes? response:	But he was sent to the Chateau d'lf and...
context: I-I have one of these invitations, too...\Who could it be?\Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and... response:	Yes, I thought he died there.
context: Who could it be?\Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there. response:	The dead man has come back to us!
context: Someone else knows about us?\What's going on here?\You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us! response:	Edmond would never forget what we did to him.
context: What's going on here?\You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him. response:	He would never forget what we did, not in a million years.
context: You're asking me who else knows besides the four of us here?\Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years. response:	Whose body is in here, then?
context: Only this man.\Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then? response:	Who is in this coffin?!
context: Edmond Dantes?\But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?! response:	Open it.
context: But he was sent to the Chateau d'lf and...\Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?!\Open it. response:	No way! I don't wanna!
context: Yes, I thought he died there.\The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?!\Open it.\No way! I don't wanna! response:	Quit your whimpering and open the thing!
context: The dead man has come back to us!\Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?!\Open it.\No way! I don't wanna!\Quit your whimpering and open the thing! response:	Don't make me!
context: Edmond would never forget what we did to him.\He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?!\Open it.\No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me! response:	Go on!
context: He would never forget what we did, not in a million years.\Whose body is in here, then?\Who is in this coffin?!\Open it.\No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me!\Go on! response:	Hurry up and do it!
context: Whose body is in here, then?\Who is in this coffin?!\Open it.\No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me!\Go on!\Hurry up and do it! response:	Boville!
context: Who is in this coffin?!\Open it.\No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me!\Go on!\Hurry up and do it!\Boville! response:	Hurry, this way!
context: Open it.\No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me!\Go on!\Hurry up and do it!\Boville!\Hurry, this way! response:	Is it really okay for us to be doing this?
context: No way! I don't wanna!\Quit your whimpering and open the thing!\Don't make me!\Go on!\Hurry up and do it!\Boville!\Hurry, this way!\Is it really okay for us to be doing this? response:	There's no other way!
context: Quit your whimpering and open the thing!\Don't make me!\Go on!\Hurry up and do it!\Boville!\Hurry, this way!\Is it really okay for us to be doing this?\There's no other way! response:	Mama, did you hear something upstairs just now?
context: Don't make me!\Go on!\Hurry up and do it!\Boville!\Hurry, this way!\Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now? response:	I'm not sure. Maybe your grandfather fell out of his wheelchair again.
context: Go on!\Hurry up and do it!\Boville!\Hurry, this way!\Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again. response:	And with Valentine asleep, there's no one to help him up, is there?
context: Hurry up and do it!\Boville!\Hurry, this way!\Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there? response:	On the other hand, it might turn out to be a good rehabilitation exercise for him.
context: Boville!\Hurry, this way!\Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him. response:	Watch what you're doing!
context: Hurry, this way!\Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing! response:	Sorry about that.
context: Is it really okay for us to be doing this?\There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that. response:	Noirtier...
context: There's no other way!\Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that.\Noirtier... response:	I will keep Mademoiselle Valentine safe.
context: Mama, did you hear something upstairs just now?\I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe. response:	Is it me, or is he saying that he wants us to go that way?
context: I'm not sure. Maybe your grandfather fell out of his wheelchair again.\And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way? response:	What's this mean?
context: And with Valentine asleep, there's no one to help him up, is there?\On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean? response:	I don't believe it! Was it really her?!
context: On the other hand, it might turn out to be a good rehabilitation exercise for him.\Watch what you're doing!\Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?! response:	You sure were gone a long time. Where have you been?
context: Watch what you're doing!\Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been? response:	That's none of your business.
context: Sorry about that.\Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business. response:	Oh, my! I'm so offended!
context: Noirtier...\I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended! response:	Gosh, and here I was gonna give you some great news...
context: I will keep Mademoiselle Valentine safe.\Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news... response:	Tell me what?
context: Is it me, or is he saying that he wants us to go that way?\What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what? response:	Maximilien finally decided to put his plan into action.
context: What's this mean?\I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action. response:	The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.
context: I don't believe it! Was it really her?!\You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud. response:	They came here to get you, but you weren't around.
context: You sure were gone a long time. Where have you been?\That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around. response:	What's the matter?
context: That's none of your business.\Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter? response:	Commander! Commander! This is Edouard!
context: Oh, my! I'm so offended!\Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard! response:	Three criminals spotted!
context: Gosh, and here I was gonna give you some great news...\Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted! response:	Good work! Apprehend them immediately!
context: Tell me what?\Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately! response:	And just what do you think you're doing with my daughter?
context: Maximilien finally decided to put his plan into action.\The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter? response:	What are you doing in here, my son?
context: The scene of the crime, Villefort Manor. Accomplices, two. Franz and Renaud.\They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son? response:	Nothing, l...
context: They came here to get you, but you weren't around.\What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l... response:	You seem to be doing a lot of research regarding me.
context: What's the matter?\Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me. response:	What is it that you hope to uncover?
context: Commander! Commander! This is Edouard!\Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover? response:	Something about me? Or about the Count of Monte Cristo?
context: Three criminals spotted!\Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo? response:	Allow me to tell you about both of them.
context: Good work! Apprehend them immediately!\And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them. response:	It will be...
context: And just what do you think you're doing with my daughter?\What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be... response:	Monsieur.
context: What are you doing in here, my son?\Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be...\Monsieur. response:	Monsieur!
context: Nothing, l...\You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be...\Monsieur.\Monsieur! response:	What is it?
context: You seem to be doing a lot of research regarding me.\What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be...\Monsieur.\Monsieur!\What is it? response:	There seems to be some sort of commotion in front of the manor.
context: What is it that you hope to uncover?\Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be...\Monsieur.\Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor. response:	What?
context: Something about me? Or about the Count of Monte Cristo?\Allow me to tell you about both of them.\It will be...\Monsieur.\Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor.\What? response:	Those kids!
context: Allow me to tell you about both of them.\It will be...\Monsieur.\Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor.\What?\Those kids! response:	Summon my men at once!
context: It will be...\Monsieur.\Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor.\What?\Those kids!\Summon my men at once! response:	The lovers depart, and new misgivings arrive.
context: Monsieur.\Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor.\What?\Those kids!\Summon my men at once!\The lovers depart, and new misgivings arrive. response:	Unexpected news leaves me at a loss.
context: Monsieur!\What is it?\There seems to be some sort of commotion in front of the manor.\What?\Those kids!\Summon my men at once!\The lovers depart, and new misgivings arrive.\Unexpected news leaves me at a loss. response:	Act 11: An Engagement Broken
context: What is it?\There seems to be some sort of commotion in front of the manor.\What?\Those kids!\Summon my men at once!\The lovers depart, and new misgivings arrive.\Unexpected news leaves me at a loss.\Act 11: An Engagement Broken response:	Bide your time, and hold out hope!
