context: The sound of the waves is clearer than usual, and the moonlight is very bright. response:	They gently surround me, filling me with warmth.
context: It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little!\You're practicing at this hour? response:	Ah, yes!
context: Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little!\You're practicing at this hour?\Ah, yes! response:	Sideburns!
context: Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little!\You're practicing at this hour?\Ah, yes!\Sideburns! response:	Good luck on your exam!
context: Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little!\You're practicing at this hour?\Ah, yes!\Sideburns!\Good luck on your exam! response:	You dropped it again!
context: Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little!\You're practicing at this hour?\Ah, yes!\Sideburns!\Good luck on your exam!\You dropped it again! response:	I hope the weather doesn't turn bad.
context: You little!\Huh? Akari! You little!\You're practicing at this hour?\Ah, yes!\Sideburns!\Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad. response:	I have to try and get some sleep.
context: Huh? Akari! You little!\You're practicing at this hour?\Ah, yes!\Sideburns!\Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep. response:	Good morning, Alicia.
context: You're practicing at this hour?\Ah, yes!\Sideburns!\Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia. response:	Good morning.
context: Ah, yes!\Sideburns!\Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia.\Good morning. response:	It's raining, isn't it?
context: Sideburns!\Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia.\Good morning.\It's raining, isn't it? response:	Yes...
context: Good luck on your exam!\You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia.\Good morning.\It's raining, isn't it?\Yes... response:	Ah, but the sky is bright off in the distance.
context: You dropped it again!\I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia.\Good morning.\It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance. response:	It seems like it might stop in the afternoon, doesn't it?
context: I hope the weather doesn't turn bad.\I have to try and get some sleep.\Good morning, Alicia.\Good morning.\It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it? response:	Why don't we postpone the promotion exam?
context: I have to try and get some sleep.\Good morning, Alicia.\Good morning.\It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam? response:	This is an important day, after all.
context: Good morning, Alicia.\Good morning.\It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all. response:	Let's hold the exam another day when the weather is nice.
context: Good morning.\It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice. response:	It's all right.
context: It's raining, isn't it?\Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right. response:	Eh?
context: Yes...\Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right.\Eh? response:	I've been waiting for this day to come for a long time.
context: Ah, but the sky is bright off in the distance.\It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right.\Eh?\I've been waiting for this day to come for a long time. response:	This is also the day you decided on for the promotion exam.
context: It seems like it might stop in the afternoon, doesn't it?\Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right.\Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam. response:	So today is already an important day to me.
context: Why don't we postpone the promotion exam?\This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right.\Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me. response:	Akari...
context: This is an important day, after all.\Let's hold the exam another day when the weather is nice.\It's all right.\Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari... response:	Although I guess it can't be helped if it's still raining in the afternoon.
context: Let's hold the exam another day when the weather is nice.\It's all right.\Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon. response:	Akari.
context: It's all right.\Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari. response:	Yes!
context: Eh?\I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes! response:	It stopped raining.
context: I've been waiting for this day to come for a long time.\This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes!\It stopped raining. response:	So, shall we begin?
context: This is also the day you decided on for the promotion exam.\So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes!\It stopped raining.\So, shall we begin? response:	Yes!
context: So today is already an important day to me.\Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes!\It stopped raining.\So, shall we begin?\Yes! response:	The preparations are complete. I'm at your service.
context: Akari...\Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes!\It stopped raining.\So, shall we begin?\Yes!\The preparations are complete. I'm at your service. response:	All right.
context: Although I guess it can't be helped if it's still raining in the afternoon.\Akari.\Yes!\It stopped raining.\So, shall we begin?\Yes!\The preparations are complete. I'm at your service.\All right. response:	Thank you for waiting.
context: Akari.\Yes!\It stopped raining.\So, shall we begin?\Yes!\The preparations are complete. I'm at your service.\All right.\Thank you for waiting. response:	Now, please take my hand.
context: Yes!\It stopped raining.\So, shall we begin?\Yes!\The preparations are complete. I'm at your service.\All right.\Thank you for waiting.\Now, please take my hand. response:	Right.
context: It stopped raining.\So, shall we begin?\Yes!\The preparations are complete. I'm at your service.\All right.\Thank you for waiting.\Now, please take my hand.\Right. response:	My, is this?
context: So, shall we begin?\Yes!\The preparations are complete. I'm at your service.\All right.\Thank you for waiting.\Now, please take my hand.\Right.\My, is this? response:	It's a hot water bottle.
context: Yes!\The preparations are complete. I'm at your service.\All right.\Thank you for waiting.\Now, please take my hand.\Right.\My, is this?\It's a hot water bottle. response:	My, my, such wonderful service.
context: The preparations are complete. I'm at your service.\All right.\Thank you for waiting.\Now, please take my hand.\Right.\My, is this?\It's a hot water bottle.\My, my, such wonderful service. response:	Both the seat and the blanket are nice and warm.
context: All right.\Thank you for waiting.\Now, please take my hand.\Right.\My, is this?\It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm. response:	Yes, yes.
context: Thank you for waiting.\Now, please take my hand.\Right.\My, is this?\It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes. response:	Well then, off we go.
context: Now, please take my hand.\Right.\My, is this?\It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go. response:	Between here and the Canal Grande, you can see the Campanile in many different locations.
context: Right.\My, is this?\It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations. response:	But on a day when the rain has just let up, I recommend seeing it from this alleyway.
context: My, is this?\It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway. response:	My!
context: It's a hot water bottle.\My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My! response:	Hey, Akari!
context: My, my, such wonderful service.\Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari! response:	My, my.
context: Both the seat and the blanket are nice and warm.\Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari!\My, my. response:	This gentleman is one of the rowers in the regatta. He makes his own oars.
context: Yes, yes.\Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars. response:	That's right!
context: Well then, off we go.\Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right! response:	Carve out your own path, I always say! You'll regret it if you don't.
context: Between here and the Canal Grande, you can see the Campanile in many different locations.\But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't. response:	We're going to win it next year!
context: But on a day when the rain has just let up, I recommend seeing it from this alleyway.\My!\Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year! response:	Good luck!
context: My!\Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck! response:	Gondola coming through!
context: Hey, Akari!\My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck!\Gondola coming through! response:	We've finally reached the Canal Grande.
context: My, my.\This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck!\Gondola coming through!\We've finally reached the Canal Grande. response:	It's the great reverse-S-shaped canal that splits Neo-Venezia in two.
context: This gentleman is one of the rowers in the regatta. He makes his own oars.\That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck!\Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two. response:	Are you cold?
context: That's right!\Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck!\Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold? response:	Not at all.
context: Carve out your own path, I always say! You'll regret it if you don't.\We're going to win it next year!\Good luck!\Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all. response:	This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.
context: We're going to win it next year!\Good luck!\Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch. response:	It's a place where people crossing over the water and people enjoying the view cross paths.
context: Good luck!\Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths. response:	Oh! Here she comes, Akatsukin!
context: Gondola coming through!\We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin! response:	All right. Hey, Woody. Let's go ahead with our plan!
context: We've finally reached the Canal Grande.\It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan! response:	Got it!
context: It's the great reverse-S-shaped canal that splits Neo-Venezia in two.\Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it! response:	Good luck! Good luck!
context: Are you cold?\Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck! response:	Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!
context: Not at all.\This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns! response:	Do your best, Akari! Akatsuki, Woody...
context: This is Rialto Bridge, a bridge that spans the entire Canal Grande with its single arch.\It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody... response:	Do your best, Akari! A-A-Alicia, best wishes to you, too!
context: It's a place where people crossing over the water and people enjoying the view cross paths.\Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too! response:	A-A-Alicia, best wishes to you, too!
context: Oh! Here she comes, Akatsukin!\All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too! response:	H-Hey! Get down from there! You'll fall!
context: All right. Hey, Woody. Let's go ahead with our plan!\Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall! response:	My, my.
context: Got it!\Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my. response:	I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao
context: Good luck! Good luck!\Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao response:	Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru
context: Hurrah, hurrah, Akari! Hurrah, hurrah, Sideburns!\Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru response:	Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo
context: Do your best, Akari! Akatsuki, Woody...\Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo response:	As I always have, both now and forevermore... Ano koro mo ima mo zutto
context: Do your best, Akari! A-A-Alicia, best wishes to you, too!\A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto response:	I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete
context: A-A-Alicia, best wishes to you, too!\H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki
context: H-Hey! Get down from there! You'll fall!\My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki response:	I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo
context: My, my.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
context: I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita response:	Gondola coming through!
context: Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through! response:	We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki
context: Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki response:	We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,
context: As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set, response:	We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.
context: I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors. response:	both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.
context: Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors. response:	These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku
context: I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku response:	These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?
context: It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it? response:	These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku
context: Gondola coming through!\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku response:	There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.
context: We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved. response:	There's just one thing I'm praying for Hitotsu dake negai o komete inoru no
context: We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki As the sun starts to set,\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\both Piazza San Marco and the inland sea called the laguna gradually begin to change colors.\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku It feels as though those warm colors surround us and soothe our hearts, doesn't it?\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no Akari, your sculling and tour guide skills have really improved.\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no response:	There's just one thing I'm praying for Hitotsu dake negai o komete inoru no You have your own style, which can be easily felt.
