context: Wow, their level's really going up... response:	That's just what I'd expect to see from the Black Sword Knights,
context: The knights' levels are rising pretty fast.\I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him? response:	But I thought you had a son.
context: I'm glad to hear it.\These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son. response:	Feinel married into the family.
context: These days, we never know what will happen.\Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son.\Feinel married into the family. response:	I have complete faith in him, but the people wouldn't accept that.
context: Did you call me here to make small talk, old man?\It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that. response:	They want the heir to have Cowen blood.
context: It's about Iselus.\We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood. response:	My daughter Salaria and Feinel have three children.
context: We will soon be holding a large festival to celebrate his birthday.\There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children. response:	The eldest daughter Liseltia,
context: There, I will announce him as the Cowen family heir.\Heir? Him?\But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia, response:	second-oldest daughter Lenessia, and Iselus, the youngest child.
context: Heir? Him?\But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child. response:	Liseltia renounced her right to the throne by getting married.
context: But I thought you had a son.\Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married. response:	Which leaves Lenessia and Iselus.
context: Feinel married into the family.\I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus. response:	That's right.
context: I have complete faith in him, but the people wouldn't accept that.\They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right. response:	You have the princess.
context: They want the heir to have Cowen blood.\My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right.\You have the princess. response:	I had never truly seen anything.
context: My daughter Salaria and Feinel have three children.\The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right.\You have the princess.\I had never truly seen anything. response:	When I saw Lenessia lose her temper with the lords, I realized my own foolishness.
context: The eldest daughter Liseltia,\second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right.\You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness. response:	I think she is best suited for another job.
context: second-oldest daughter Lenessia, and Iselus, the youngest child.\Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right.\You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job. response:	Another job, huh?
context: Liseltia renounced her right to the throne by getting married.\Which leaves Lenessia and Iselus.\That's right.\You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh? response:	Besides, ruling a country is a man's job.
context: Which leaves Lenessia and Iselus.\That's right.\You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job. response:	Iselus knows that, I believe.
context: That's right.\You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe. response:	Figuring out the heir is a pain on every world, isn't it?
context: You have the princess.\I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it? response:	From now on, no one can be a ruler unless he understands adventurers,
context: I had never truly seen anything.\When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers, response:	and they understand him.
context: When I saw Lenessia lose her temper with the lords, I realized my own foolishness.\I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him. response:	Sir Isaac...
context: I think she is best suited for another job.\Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac... response:	As you can tell, he is still a child.
context: Another job, huh?\Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac...\As you can tell, he is still a child. response:	While you are in Maihama,
context: Besides, ruling a country is a man's job.\Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama, response:	will you teach him what we cannot?
context: Iselus knows that, I believe.\Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot? response:	That's easy for him to say...
context: Figuring out the heir is a pain on every world, isn't it?\From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say... response:	If there are any other problems, let me know.
context: From now on, no one can be a ruler unless he understands adventurers,\and they understand him.\Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know. response:	I'll tell my grandfather without making a big deal of it.
context: and they understand him.\Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it. response:	Thank you.
context: Sir Isaac...\As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you. response:	I thought, if we expanded this canal, we might be able
context: As you can tell, he is still a child.\While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able response:	to bring stuff in from the port more efficiently...
context: While you are in Maihama,\will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently... response:	This year's strawberries are delicious, aren't they?
context: will you teach him what we cannot?\That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they? response:	I'm not done yet.
context: That's easy for him to say...\If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet. response:	I thought he was just some rich kid.
context: If there are any other problems, let me know.\I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid. response:	He's really going to be a ruler, though.
context: I'll tell my grandfather without making a big deal of it.\Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though. response:	Oh, Lord Iselus?
context: Thank you.\I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus? response:	This is a crucial time, after all.
context: I thought, if we expanded this canal, we might be able\to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all. response:	Things are getting complicated with Westelande, as well.
context: to bring stuff in from the port more efficiently...\This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well. response:	Does that
context: This year's strawberries are delicious, aren't they?\I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that response:	have anything to do with the fact that Minami's planning something?
context: I'm not done yet.\I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something? response:	That's unusually sharp...
context: I thought he was just some rich kid.\He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp... response:	For you, Isaac.
context: He's really going to be a ruler, though.\Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac. response:	I'm kidding.
context: Oh, Lord Iselus?\This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac.\I'm kidding. response:	Well, Minami is working with Westelande.
context: This is a crucial time, after all.\Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande. response:	If they really try to take control of Eastal,
context: Things are getting complicated with Westelande, as well.\Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal, response:	war will be unavoidable.
context: Does that\have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable. response:	What do you mean?
context: have anything to do with the fact that Minami's planning something?\That's unusually sharp...\For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable.\What do you mean? response:	In the distant past, it seems
context: That's unusually sharp...\For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable.\What do you mean?\In the distant past, it seems response:	the Westelande Dynasty ruled all of Yamato.
context: For you, Isaac.\I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable.\What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato. response:	But there was a war that engulfed Yamato.
context: I'm kidding.\Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable.\What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato. response:	After the war,
context: Well, Minami is working with Westelande.\If they really try to take control of Eastal,\war will be unavoidable.\What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war, response:	the dynasty was ultimately destroyed.
context: If they really try to take control of Eastal,\war will be unavoidable.\What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed. response:	And the land split into its current state,
context: war will be unavoidable.\What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed.\And the land split into its current state, response:	Holy Empire Westelande
context: What do you mean?\In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande response:	the Holy Empire Westelande and the League of Freedom Cities, Eastal.
context: In the distant past, it seems\the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal. response:	Holy Empire League of Freedom Cities, Westelande Eastal
context: the Westelande Dynasty ruled all of Yamato.\But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal response:	Ever since then,
context: But there was a war that engulfed Yamato.\After the war,\the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then, response:	Westelande's been saying they're the true heirs to the dynasty.
context: After the war,\the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty. response:	Trying to profit on the name of a destroyed country?
context: the dynasty was ultimately destroyed.\And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country? response:	Talk about annoying.
context: And the land split into its current state,\Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying. response:	Those annoying things will occur whenever many people gather.
context: Holy Empire Westelande\the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather. response:	Well, with us adventurers involved,
context: the Holy Empire Westelande and the League of Freedom Cities, Eastal.\Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved, response:	I'd bet the situation now is even more complicated.
context: Holy Empire League of Freedom Cities, Westelande Eastal\Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated. response:	You know a lot of stuff.
context: Ever since then,\Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff. response:	A merchant survives on information.
context: Westelande's been saying they're the true heirs to the dynasty.\Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information. response:	And so...
context: Trying to profit on the name of a destroyed country?\Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information.\And so... response:	This is a present for you.
context: Talk about annoying.\Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information.\And so...\This is a present for you. response:	What is it?
context: Those annoying things will occur whenever many people gather.\Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information.\And so...\This is a present for you.\What is it? response:	It's true.
context: Well, with us adventurers involved,\I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information.\And so...\This is a present for you.\What is it?\It's true. response:	Both the adventurers and People of the Land are a pain.
context: I'd bet the situation now is even more complicated.\You know a lot of stuff.\A merchant survives on information.\And so...\This is a present for you.\What is it?\It's true.\Both the adventurers and People of the Land are a pain. response:	I've always ignored that annoying stuff.
context: You know a lot of stuff.\A merchant survives on information.\And so...\This is a present for you.\What is it?\It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff. response:	They're a pain, but...
context: A merchant survives on information.\And so...\This is a present for you.\What is it?\It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but... response:	Well, they aren't that bad.
context: And so...\This is a present for you.\What is it?\It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad. response:	Hey.
context: This is a present for you.\What is it?\It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad.\Hey. response:	Use this one.
context: What is it?\It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad.\Hey.\Use this one. response:	You're small, and this one is lighter.
context: It's true.\Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad.\Hey.\Use this one.\You're small, and this one is lighter. response:	Once you master it, you'll be a better swordsman.
context: Both the adventurers and People of the Land are a pain.\I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad.\Hey.\Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman. response:	This sword is so expensive, though.
context: I've always ignored that annoying stuff.\They're a pain, but...\Well, they aren't that bad.\Hey.\Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though. response:	It's your birthday, right?
context: They're a pain, but...\Well, they aren't that bad.\Hey.\Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right? response:	You can have it.
context: Well, they aren't that bad.\Hey.\Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right?\You can have it. response:	You really don't understand the value of money, Isaac.
context: Hey.\Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac. response:	If you don't need it, give it back.
context: Use this one.\You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back. response:	That was a joke!
context: You're small, and this one is lighter.\Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke! response:	I'm really happy.
context: Once you master it, you'll be a better swordsman.\This sword is so expensive, though.\It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke!\I'm really happy. response:	Thank you!
context: This sword is so expensive, though.\It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke!\I'm really happy.\Thank you! response:	Hey, hey...
context: It's your birthday, right?\You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke!\I'm really happy.\Thank you!\Hey, hey... response:	Aren't we going to the princess's place today?
context: You can have it.\You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke!\I'm really happy.\Thank you!\Hey, hey...\Aren't we going to the princess's place today? response:	She has her brother's birthday party,
context: You really don't understand the value of money, Isaac.\If you don't need it, give it back.\That was a joke!\I'm really happy.\Thank you!\Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party, response:	so she says she's returning to Maihama.
context: If you don't need it, give it back.\That was a joke!\I'm really happy.\Thank you!\Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama. response:	Rieze is with her.
context: That was a joke!\I'm really happy.\Thank you!\Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her. response:	I was going to talk to her about forming a new idol unit, too.
context: I'm really happy.\Thank you!\Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too. response:	A new unit?
context: Thank you!\Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit? response:	Yes!
context: Hey, hey...\Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes! response:	A galactic idol unit!
context: Aren't we going to the princess's place today?\She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes!\A galactic idol unit! response:	And its name is... Tetnessia!
context: She has her brother's birthday party,\so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes!\A galactic idol unit!\And its name is... Tetnessia! response:	Tetnessia
context: so she says she's returning to Maihama.\Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes!\A galactic idol unit!\And its name is... Tetnessia!\Tetnessia response:	If we do it together, it'll be a surefire hit since we're both so popular already!
context: Rieze is with her.\I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes!\A galactic idol unit!\And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already! response:	I want to do something memorable before I go home.
context: I was going to talk to her about forming a new idol unit, too.\A new unit?\Yes!\A galactic idol unit!\And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home. response:	And if we do a first and final concert simultaneously,
context: A new unit?\Yes!\A galactic idol unit!\And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously, response:	it'll be twice as good.
context: Yes!\A galactic idol unit!\And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good. response:	And if we show our bare legs on stage, it'll be a big hit for sure!
context: A galactic idol unit!\And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure! response:	If we end up going home, we'll have to tell Sia.
context: And its name is... Tetnessia!\Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia. response:	Yeah.
context: Tetnessia\If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah. response:	It will be hard to tell her.
context: If we do it together, it'll be a surefire hit since we're both so popular already!\I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her. response:	Rieze?
context: I want to do something memorable before I go home.\And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her.\Rieze? response:	Sorry to make you do this when you're tired.
context: And if we do a first and final concert simultaneously,\it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired. response:	It must be hard, with all the work you have, right?
context: it'll be twice as good.\And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right? response:	What are you talking about? I'm fine.
context: And if we show our bare legs on stage, it'll be a big hit for sure!\If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine. response:	But normally, this would be a man's job.
context: If we end up going home, we'll have to tell Sia.\Yeah.\It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job. response:	Honestly... When is that monster in glasses coming back?
context: Yeah.\It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back? response:	From an adventurer's perspective,
context: It will be hard to tell her.\Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective, response:	this nobles' party must seem to make no sense whatsoever.
context: Rieze?\Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever. response:	I wouldn't say that.
context: Sorry to make you do this when you're tired.\It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that. response:	We have banquets and stuff.
context: It must be hard, with all the work you have, right?\What are you talking about? I'm fine.\But normally, this would be a man's job.\Honestly... When is that monster in glasses coming back?\From an adventurer's perspective,\this nobles' party must seem to make no sense whatsoever.\I wouldn't say that.\We have banquets and stuff. response:	And some people have big birthday parties.
