context: STAFF ROOM response:	A meeting of delegates?
context: Napping clubs are perfectly acceptable.\10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai? response:	Yes, because I am involved in nap studies.
context: 10 Ways to Win a Napping Tournament The Napping Olympics Expo\There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies. response:	Anyway, I happen to be acquainted
context: There is such a thing as championship napping?\Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted response:	with a teacher at a school that has
context: Yes. In Europe, they even hold tournaments as a competitive sport.\Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has response:	what they call the Siesta Appreciation Club.
context: Registering Now For This Year's Participants\How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club. response:	Siesta?
context: How do you determine the merits of a nap?\Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta? response:	Magic?
context: Well, the total score is based on...\You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta?\Magic? response:	Exactly, Master! It means nap in Spanish.
context: You knew about this, Kumin-senpai?\Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta?\Magic?\Exactly, Master! It means nap in Spanish. response:	So, for example, if we were to actively enter an
context: Yes, because I am involved in nap studies.\Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta?\Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an response:	intramural competition with that school...
context: Anyway, I happen to be acquainted\with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta?\Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school... response:	The council would be forced to accept our club.
context: with a teacher at a school that has\what they call the Siesta Appreciation Club.\Siesta?\Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club. response:	That's right!
context: what they call the Siesta Appreciation Club.\Siesta?\Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club.\That's right! response:	To: Momijigaoka High School Siesta Club Advisor
context: Siesta?\Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor response:	Would you like me to send an email asking the other school to compete?
context: Magic?\Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete? response:	Yes, please! Or at least I'd like to...
context: Exactly, Master! It means nap in Spanish.\So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to... response:	We can't jump straight into a competition.
context: So, for example, if we were to actively enter an\intramural competition with that school...\The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition. response:	Don't worry. It's not really that hard.
context: intramural competition with that school...\The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard. response:	I'll show you how to do it.
context: The council would be forced to accept our club.\That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it. response:	You will?
context: That's right!\To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it.\You will? response:	Sure! Just leave it to me.
context: To: Momijigaoka High School Siesta Club Advisor\Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it.\You will?\Sure! Just leave it to me. response:	Darkness comes.
context: Would you like me to send an email asking the other school to compete?\Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it.\You will?\Sure! Just leave it to me.\Darkness comes. response:	Yes!
context: Yes, please! Or at least I'd like to...\We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it.\You will?\Sure! Just leave it to me.\Darkness comes.\Yes! response:	Watch out for the trains!
context: We can't jump straight into a competition.\Don't worry. It's not really that hard.\I'll show you how to do it.\You will?\Sure! Just leave it to me.\Darkness comes.\Yes!\Watch out for the trains! response:	I had no idea that napping was so profound.
context: Don't worry. It's not really that hard.\I'll show you how to do it.\You will?\Sure! Just leave it to me.\Darkness comes.\Yes!\Watch out for the trains!\I had no idea that napping was so profound. response:	It sure is. It's very difficult to achieve an elegant nap.
context: I'll show you how to do it.\You will?\Sure! Just leave it to me.\Darkness comes.\Yes!\Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap. response:	The top, most active performers achieve such elegant naps...
context: You will?\Sure! Just leave it to me.\Darkness comes.\Yes!\Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps... response:	Is that so?
context: Sure! Just leave it to me.\Darkness comes.\Yes!\Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so? response:	Yes. Their posture and the comfortable look on their faces...
context: Darkness comes.\Yes!\Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces... response:	The indescribably delicate depth of sleep...
context: Yes!\Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep... response:	Why, they look just like...
context: Watch out for the trains!\I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like... response:	She's asleep!
context: I had no idea that napping was so profound.\It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep! response:	After all we've heard, she's actually starting to look impressive.
context: It sure is. It's very difficult to achieve an elegant nap.\The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive. response:	Yeah.
context: The top, most active performers achieve such elegant naps...\Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah. response:	Excuse me?
context: Is that so?\Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me? response:	Yes?
context: Yes. Their posture and the comfortable look on their faces...\The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me?\Yes? response:	Are you the members of Icho High's napping club?
context: The indescribably delicate depth of sleep...\Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me?\Yes?\Are you the members of Icho High's napping club? response:	We are actually.
context: Why, they look just like...\She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me?\Yes?\Are you the members of Icho High's napping club?\We are actually. response:	I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...
context: She's asleep!\After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me?\Yes?\Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association... response:	President, Siesta Association: Sui Nemuri
context: After all we've heard, she's actually starting to look impressive.\Yeah.\Excuse me?\Yes?\Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri response:	What? The Siesta Association?
context: Yeah.\Excuse me?\Yes?\Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association? response:	What is this sleepy aura emanating from her every pore?
context: Excuse me?\Yes?\Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore? response:	She is drowsiness personified!
context: Yes?\Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified! response:	No, Master! You'll be sucked in!
context: Are you the members of Icho High's napping club?\We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in! response:	Dekomori!
context: We are actually.\I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori! response:	My advisor passed along a rare invitation to compete...
context: I am Nemuri Sui and I represent Momijigaoka High's Siesta Association...\President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete... response:	Thank you taking the time.
context: President, Siesta Association: Sui Nemuri\What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time. response:	However...
context: What? The Siesta Association?\What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time.\However... response:	However?
context: What is this sleepy aura emanating from her every pore?\She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time.\However...\However? response:	It appears it was unnecessary.
context: She is drowsiness personified!\No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time.\However...\However?\It appears it was unnecessary. response:	What?
context: No, Master! You'll be sucked in!\Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time.\However...\However?\It appears it was unnecessary.\What? response:	From what I can determine,
context: Dekomori!\My advisor passed along a rare invitation to compete...\Thank you taking the time.\However...\However?\It appears it was unnecessary.\What?\From what I can determine, response:	you do not appear to be seriously involved in napping.
context: My advisor passed along a rare invitation to compete...\Thank you taking the time.\However...\However?\It appears it was unnecessary.\What?\From what I can determine,\you do not appear to be seriously involved in napping. response:	I can only presume that you use your club as an excuse to goof around.
context: Thank you taking the time.\However...\However?\It appears it was unnecessary.\What?\From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around. response:	She knows!
context: However...\However?\It appears it was unnecessary.\What?\From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows! response:	Do not worry.
context: However?\It appears it was unnecessary.\What?\From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry. response:	Almost every club that claims to be a nap club are like yours.
context: It appears it was unnecessary.\What?\From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours. response:	However, our Siesta Association is different.
context: What?\From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different. response:	We take napping very seriously.
context: From what I can determine,\you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously. response:	Please refrain from making such invitations for amusement.
context: you do not appear to be seriously involved in napping.\I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement. response:	I-I'm sorry.
context: I can only presume that you use your club as an excuse to goof around.\She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry. response:	Understood.
context: She knows!\Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood. response:	The competition is called off. Please notify your advisor.
context: Do not worry.\Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor. response:	It is not for amusement.
context: Almost every club that claims to be a nap club are like yours.\However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor.\It is not for amusement. response:	Nor are we goofing around.
context: However, our Siesta Association is different.\We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around. response:	Kumin-senpai?
context: We take napping very seriously.\Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around.\Kumin-senpai? response:	The Far-East Magical Napping Society - summer thereof...
context: Please refrain from making such invitations for amusement.\I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof... response:	Isn't that right, guys?
context: I-I'm sorry.\Understood.\The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys? response:	Huh? Well, um...
context: Understood.\The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um... response:	Togashi!
context: The competition is called off. Please notify your advisor.\It is not for amusement.\Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um...\Togashi! response:	Dekomori!
context: It is not for amusement.\Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um...\Togashi!\Dekomori! response:	M-Master!
context: Nor are we goofing around.\Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um...\Togashi!\Dekomori!\M-Master! response:	What? Um...
context: Kumin-senpai?\The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um...\Togashi!\Dekomori!\M-Master!\What? Um... response:	Uh, that's right!
context: The Far-East Magical Napping Society - summer thereof...\Isn't that right, guys?\Huh? Well, um...\Togashi!\Dekomori!\M-Master!\What? Um...\Uh, that's right! response:	Really? In that case...
context: Isn't that right, guys?\Huh? Well, um...\Togashi!\Dekomori!\M-Master!\What? Um...\Uh, that's right!\Really? In that case... response:	May I accept this as an actual challenge?
context: Huh? Well, um...\Togashi!\Dekomori!\M-Master!\What? Um...\Uh, that's right!\Really? In that case...\May I accept this as an actual challenge? response:	Of course.
context: Togashi!\Dekomori!\M-Master!\What? Um...\Uh, that's right!\Really? In that case...\May I accept this as an actual challenge?\Of course. response:	I swear on the Wicked Lord Shingan that I always fight for keeps.
context: Dekomori!\M-Master!\What? Um...\Uh, that's right!\Really? In that case...\May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps. response:	Failure equals death!
context: M-Master!\What? Um...\Uh, that's right!\Really? In that case...\May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death! response:	You're on fire, Master!
context: What? Um...\Uh, that's right!\Really? In that case...\May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master! response:	If we should happen to lose this battle, at that very moment...
context: Uh, that's right!\Really? In that case...\May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment... response:	What?!
context: Really? In that case...\May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?! response:	How stupid are you?!
context: May I accept this as an actual challenge?\Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?! response:	You have to learn to stop being so haphazard!
context: Of course.\I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?!\You have to learn to stop being so haphazard! response:	Battle is always waiting to pounce unbidden.
context: I swear on the Wicked Lord Shingan that I always fight for keeps.\Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden. response:	It's ready.
context: Failure equals death!\You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready. response:	This is an official playing field?
context: You're on fire, Master!\If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field? response:	Yes. Sanctioned by the Japanese high school napping federation.
context: If we should happen to lose this battle, at that very moment...\What?!\How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation. response:	The professional version is a little bigger.
context: What?!\How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger. response:	Professional?!
context: How stupid are you?!\You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?! response:	Team competitions are fought with five people to a team.
context: You have to learn to stop being so haphazard!\Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team. response:	Points are awarded for the speed of falling
context: Battle is always waiting to pounce unbidden.\It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling response:	asleep and for artistic merit and posture.
context: It's ready.\This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture. response:	It's surprisingly complex.
context: This is an official playing field?\Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex. response:	Now let's give it a try!
context: Yes. Sanctioned by the Japanese high school napping federation.\The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try! response:	Don't worry about posture for now.
context: The professional version is a little bigger.\Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now. response:	Think only about sleeping.
context: Professional?!\Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping. response:	I have Theatre Club to go to.
context: Team competitions are fought with five people to a team.\Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to. response:	The moment you leave, our club is as good as disbanded.
context: Points are awarded for the speed of falling\asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded. response:	Oh, fine.
context: asleep and for artistic merit and posture.\It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine. response:	It's not all that easy to fall asleep.
context: It's surprisingly complex.\Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep. response:	Start by closing your eyes.
context: Now let's give it a try!\Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes. response:	Is that Takanashi I hear?
context: Don't worry about posture for now.\Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear? response:	Oh, Yuta.
context: Think only about sleeping.\I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta. response:	What on Earth is she doing?
context: I have Theatre Club to go to.\The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing? response:	Yuta...
context: The moment you leave, our club is as good as disbanded.\Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing?\Yuta... response:	No way!
context: Oh, fine.\It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing?\Yuta...\No way! response:	What are you doing?
context: It's not all that easy to fall asleep.\Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing?\Yuta...\No way!\What are you doing? response:	You're wrong! I was just, uh...
context: Start by closing your eyes.\Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing?\Yuta...\No way!\What are you doing?\You're wrong! I was just, uh... response:	Yuta...
context: Is that Takanashi I hear?\Oh, Yuta.\What on Earth is she doing?\Yuta...\No way!\What are you doing?\You're wrong! I was just, uh...\Yuta... response:	I can't move.
context: Oh, Yuta.\What on Earth is she doing?\Yuta...\No way!\What are you doing?\You're wrong! I was just, uh...\Yuta...\I can't move. response:	She's sleep paralyzed!
context: What on Earth is she doing?\Yuta...\No way!\What are you doing?\You're wrong! I was just, uh...\Yuta...\I can't move.\She's sleep paralyzed! response:	Of course she is.
context: Yuta...\No way!\What are you doing?\You're wrong! I was just, uh...\Yuta...\I can't move.\She's sleep paralyzed!\Of course she is. response:	Master's mind is free of the wicked and indecent
context: No way!\What are you doing?\You're wrong! I was just, uh...\Yuta...\I can't move.\She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent response:	thoughts experienced by the likes of you.
context: What are you doing?\You're wrong! I was just, uh...\Yuta...\I can't move.\She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you. response:	I never said anything.
context: You're wrong! I was just, uh...\Yuta...\I can't move.\She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything. response:	And what do you mean by indecent?
context: Yuta...\I can't move.\She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent? response:	I meant...
context: I can't move.\She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent?\I meant... response:	Early bloomer.
context: She's sleep paralyzed!\Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent?\I meant...\Early bloomer. response:	What?! You be quiet, Fake Summer!
context: Of course she is.\Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent?\I meant...\Early bloomer.\What?! You be quiet, Fake Summer! response:	Knock that off!
context: Master's mind is free of the wicked and indecent\thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent?\I meant...\Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off! response:	Shut up!
context: thoughts experienced by the likes of you.\I never said anything.\And what do you mean by indecent?\I meant...\Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off!\Shut up! response:	Come on. Sleep properly.
context: I never said anything.\And what do you mean by indecent?\I meant...\Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off!\Shut up!\Come on. Sleep properly. response:	Next, we will nap outdoors.
context: And what do you mean by indecent?\I meant...\Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off!\Shut up!\Come on. Sleep properly.\Next, we will nap outdoors. response:	The ability to sleep the same, despite a change
context: I meant...\Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off!\Shut up!\Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change response:	of environment, is a vital napping skill.
context: Early bloomer.\What?! You be quiet, Fake Summer!\Knock that off!\Shut up!\Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill. response:	Here?
context: What?! You be quiet, Fake Summer!\Knock that off!\Shut up!\Come on. Sleep properly.\Next, we will nap outdoors.\The ability to sleep the same, despite a change\of environment, is a vital napping skill.\Here? response:	We have to sleep here?
