context: The moon is beautiful, isn't it? response:	Yes. It really soothes the heart.
context: You're really a glutton!\Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us? response:	Wasn't the moon-gazing party just for the three of us?
context: Pudgy-wudgy tummy...\President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us? response:	A-An event about the moon and stars wouldn't be complete without Al, right?
context: President Maa, President Aria's pudgy-wudgy tummy isn't a moon-gazing dumpling!\This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right? response:	Maybe he could teach us a thing or two.
context: This is the brown rice tea that the postman recommended.\It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two. response:	Oh? Is that so?
context: It's delicious.\The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so? response:	W-What's with that face?!
context: The season when warm drinks taste great is finally here, isn't it?\Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?! response:	Since you weren't there that night when we all saw the meteor shower,
context: Come to think of it, Al is late, isn't he?\Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower, response:	I invited Al so you could catch up!
context: Since when was Al supposed to join us?\Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up! response:	Oh?
context: Wasn't the moon-gazing party just for the three of us?\A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh? response:	I'll go get him.
context: A-An event about the moon and stars wouldn't be complete without Al, right?\Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh?\I'll go get him. response:	I bet he's late because of work again.
context: Maybe he could teach us a thing or two.\Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh?\I'll go get him.\I bet he's late because of work again. response:	He might be lost somewhere, too.
context: Oh? Is that so?\W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh?\I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too. response:	See you later! See you later!
context: W-What's with that face?!\Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh?\I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later! response:	Aika is really cute.
context: Since you weren't there that night when we all saw the meteor shower,\I invited Al so you could catch up!\Oh?\I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later!\Aika is really cute. response:	Akari...
context: I invited Al so you could catch up!\Oh?\I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later!\Aika is really cute.\Akari... response:	Thank you very much for inviting me today.
context: Oh?\I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later!\Aika is really cute.\Akari...\Thank you very much for inviting me today. response:	Gazing up at the moon like this...
context: I'll go get him.\I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later!\Aika is really cute.\Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this... response:	Tomorrow, if I can be like the moon and keep this sense of tranquility,
context: I bet he's late because of work again.\He might be lost somewhere, too.\See you later! See you later!\Aika is really cute.\Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility, response:	I think I'll be able to do much better.
context: He might be lost somewhere, too.\See you later! See you later!\Aika is really cute.\Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better. response:	Alice, would you like some more tea?
context: See you later! See you later!\Aika is really cute.\Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea? response:	Yes, please.
context: Aika is really cute.\Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please. response:	Huh? Where's President Maa?
context: Akari...\Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa? response:	President Maa!
context: Thank you very much for inviting me today.\Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa?\President Maa! response:	There he is!
context: Gazing up at the moon like this...\Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa?\President Maa!\There he is! response:	Al!
context: Tomorrow, if I can be like the moon and keep this sense of tranquility,\I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa?\President Maa!\There he is!\Al! response:	Aika!
context: I think I'll be able to do much better.\Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa?\President Maa!\There he is!\Al!\Aika! response:	You're late.
context: Alice, would you like some more tea?\Yes, please.\Huh? Where's President Maa?\President Maa!\There he is!\Al!\Aika!\You're late. response:	I'm sorry! I had to stay late and work.
context: Yes, please.\Huh? Where's President Maa?\President Maa!\There he is!\Al!\Aika!\You're late.\I'm sorry! I had to stay late and work. response:	Honestly. No overworking allowed!
context: Huh? Where's President Maa?\President Maa!\There he is!\Al!\Aika!\You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed! response:	Yeah, sorry about that.
context: President Maa!\There he is!\Al!\Aika!\You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that. response:	Well, if there's one good thing about me being late...
context: There he is!\Al!\Aika!\You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late... response:	Aika, that's dangerous!
context: Al!\Aika!\You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous! response:	It's fine, it's fine!
context: Aika!\You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine! response:	Are you all right, Aika?!
context: You're late.\I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?! response:	I-I think so...
context: I'm sorry! I had to stay late and work.\Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?!\I-I think so... response:	Here, grab my hand. I-I think so...
context: Honestly. No overworking allowed!\Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so... response:	Here, grab my hand.
context: Yeah, sorry about that.\Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand. response:	I'm sorry about this.
context: Well, if there's one good thing about me being late...\Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this. response:	Huh?
context: Aika, that's dangerous!\It's fine, it's fine!\Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this.\Huh? response:	I-I'm sorry...
context: It's fine, it's fine!\Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this.\Huh?\I-I'm sorry... response:	W-Why are you apologizing?
context: Are you all right, Aika?!\I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this.\Huh?\I-I'm sorry...\W-Why are you apologizing? response:	It's my fault for weighing so much, after all...
context: I-I think so...\Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this.\Huh?\I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all... response:	It's a good thing the city's wells have dried up and are no longer in use, but...
context: Here, grab my hand. I-I think so...\Here, grab my hand.\I'm sorry about this.\Huh?\I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but... response:	What should we do?
context: Here, grab my hand.\I'm sorry about this.\Huh?\I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do? response:	A long time ago, before the city had a water system...
context: I'm sorry about this.\Huh?\I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system... response:	It must have been lively when housewives gathered to fetch water in the morning, and again at night.
context: Huh?\I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night. response:	I bet there were a lot of wellside gossip meetings!
context: I-I'm sorry...\W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings! response:	Ow, ow, ow...
context: W-Why are you apologizing?\It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow... response:	It's no use.
context: It's my fault for weighing so much, after all...\It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use. response:	Looks that way...
context: It's a good thing the city's wells have dried up and are no longer in use, but...\What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use.\Looks that way... response:	President Maa!
context: What should we do?\A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use.\Looks that way...\President Maa! response:	Yay! We're saved!
context: A long time ago, before the city had a water system...\It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use.\Looks that way...\President Maa!\Yay! We're saved! response:	Hey, President Maa! Go get Junior!
context: It must have been lively when housewives gathered to fetch water in the morning, and again at night.\I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use.\Looks that way...\President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior! response:	President Maa?
context: I bet there were a lot of wellside gossip meetings!\Ow, ow, ow...\It's no use.\Looks that way...\President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa? response:	President Maa, are you listening?
context: Ow, ow, ow...\It's no use.\Looks that way...\President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening? response:	Go-get-Jun-ior-and-bring-her-back...
context: It's no use.\Looks that way...\President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back... response:	And why did you jump down?
context: Looks that way...\President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down? response:	Listen, President Maa!
context: President Maa!\Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa! response:	Go get Junior, on the double!
context: Yay! We're saved!\Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa!\Go get Junior, on the double! response:	Go!
context: Hey, President Maa! Go get Junior!\President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa!\Go get Junior, on the double!\Go! response:	What?! What?!
context: President Maa?\President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa!\Go get Junior, on the double!\Go!\What?! What?! response:	Why'd you come back?!
context: President Maa, are you listening?\Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa!\Go get Junior, on the double!\Go!\What?! What?!\Why'd you come back?! response:	Now look, President Maa!
context: Go-get-Jun-ior-and-bring-her-back...\And why did you jump down?\Listen, President Maa!\Go get Junior, on the double!\Go!\What?! What?!\Why'd you come back?!\Now look, President Maa! response:	It's no use. She's still a kitten, after all.
context: And why did you jump down?\Listen, President Maa!\Go get Junior, on the double!\Go!\What?! What?!\Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all. response:	It's okay! President Maa is a fine Aqua Cat that can understand human language!
context: Listen, President Maa!\Go get Junior, on the double!\Go!\What?! What?!\Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language! response:	I have no doubt... she'll get... Junior... to come... for us...
context: Go get Junior, on the double!\Go!\What?! What?!\Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us... response:	At any rate, you're the only one who can help us!
context: Go!\What?! What?!\Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us! response:	Please, go!
context: What?! What?!\Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go! response:	Yes!
context: Why'd you come back?!\Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go!\Yes! response:	You can do it!
context: Now look, President Maa!\It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go!\Yes!\You can do it! response:	Yes, that's the spirit! Keep it up!
context: It's no use. She's still a kitten, after all.\It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go!\Yes!\You can do it!\Yes, that's the spirit! Keep it up! response:	Please do your best!
context: It's okay! President Maa is a fine Aqua Cat that can understand human language!\I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go!\Yes!\You can do it!\Yes, that's the spirit! Keep it up!\Please do your best! response:	Keep going, keep going!
context: I have no doubt... she'll get... Junior... to come... for us...\At any rate, you're the only one who can help us!\Please, go!\Yes!\You can do it!\Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going! response:	Just a little more! Keep going, keep going!
context: At any rate, you're the only one who can help us!\Please, go!\Yes!\You can do it!\Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going! response:	Just a little more!
context: Please, go!\Yes!\You can do it!\Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more! response:	Please do your best!
context: Yes!\You can do it!\Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more!\Please do your best! response:	Almost there!
context: You can do it!\Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more!\Please do your best!\Almost there! response:	She did it! She did it!
context: Yes, that's the spirit! Keep it up!\Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more!\Please do your best!\Almost there!\She did it! She did it! response:	Do you really think we can count on her?
context: Please do your best!\Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more!\Please do your best!\Almost there!\She did it! She did it!\Do you really think we can count on her? response:	Probably not...
context: Keep going, keep going!\Just a little more! Keep going, keep going!\Just a little more!\Please do your best!\Almost there!\She did it! She did it!\Do you really think we can count on her?\Probably not... response:	Ah, the moon...
context: Just a little more! Keep going, keep going!\Just a little more!\Please do your best!\Almost there!\She did it! She did it!\Do you really think we can count on her?\Probably not...\Ah, the moon... response:	What a strange moon-gazing this turned out to be...
context: Just a little more!\Please do your best!\Almost there!\She did it! She did it!\Do you really think we can count on her?\Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be... response:	I wonder why the moon revolves around Aqua?
context: Please do your best!\Almost there!\She did it! She did it!\Do you really think we can count on her?\Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua? response:	It's because of the forces of attraction and repulsion.
context: Almost there!\She did it! She did it!\Do you really think we can count on her?\Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion. response:	As I've explained before, the force of attraction...
context: She did it! She did it!\Do you really think we can count on her?\Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction... response:	Unable to get closer or move farther away, the moon just goes around and around.
context: Do you really think we can count on her?\Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around. response:	Sounds like a certain someone...
context: Probably not...\Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone... response:	The outer moon is used as a space station, among other things, by several different fields of study.
context: Ah, the moon...\What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study. response:	They mine minerals and perform chemical experiments which can only be done in a vacuum.
context: What a strange moon-gazing this turned out to be...\I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum. response:	Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.
context: I wonder why the moon revolves around Aqua?\It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes. response:	For example, some say it looks like a crab with huge claws, or an old woman knitting,
context: It's because of the forces of attraction and repulsion.\As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting, response:	or a lion, or a woman's profile, or rabbits pounding rice cakes...
context: As I've explained before, the force of attraction...\Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes... response:	Ah, speaking of rabbits, that reminds me!
context: Unable to get closer or move farther away, the moon just goes around and around.\Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me! response:	I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!
context: Sounds like a certain someone...\The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty! response:	I've been wanting to try them, so I mail-ordered some the other day.
context: The outer moon is used as a space station, among other things, by several different fields of study.\They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day. response:	They also come with a haiku collection book about the moon, so I'm really looking forward to it!
context: They mine minerals and perform chemical experiments which can only be done in a vacuum.\Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it! response:	Not allowed!!
context: Oh, did you know? Back on Manhome, it's said their moon's craters resemble many different shapes.\For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!! response:	Ehh?! What is?
context: For example, some say it looks like a crab with huge claws, or an old woman knitting,\or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is? response:	All of that! It's not allowed!
context: or a lion, or a woman's profile, or rabbits pounding rice cakes...\Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is?\All of that! It's not allowed! response:	S-Sorry.
context: Ah, speaking of rabbits, that reminds me!\I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is?\All of that! It's not allowed!\S-Sorry. response:	Honestly!
context: I hear the Rabbit-Pounded Rice Cakes sold at the space station are really tasty!\I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is?\All of that! It's not allowed!\S-Sorry.\Honestly! response:	At any rate, it's quite dark in this well, isn't it?
context: I've been wanting to try them, so I mail-ordered some the other day.\They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is?\All of that! It's not allowed!\S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it? response:	That can't be, right?
context: They also come with a haiku collection book about the moon, so I'm really looking forward to it!\Not allowed!!\Ehh?! What is?\All of that! It's not allowed!\S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right? response:	Gnomes are always working in the dark and can see really well at night, so...
context: Not allowed!!\Ehh?! What is?\All of that! It's not allowed!\S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so... response:	Well...
context: Ehh?! What is?\All of that! It's not allowed!\S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well... response:	Since there's no sunlight, the lighting infrastructure underground is quite advanced...
context: All of that! It's not allowed!\S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced... response:	Al, you're so cute!
context: S-Sorry.\Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute! response:	It's all right! Big Sis is here with you!
context: Honestly!\At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you! response:	There are two moons now.
context: At any rate, it's quite dark in this well, isn't it?\That can't be, right?\Gnomes are always working in the dark and can see really well at night, so...\Well...\Since there's no sunlight, the lighting infrastructure underground is quite advanced...\Al, you're so cute!\It's all right! Big Sis is here with you!\There are two moons now. response:	The inner moon is approximately 1.8 times bigger than the outer moon,
