context: As always, I can't make any sense of you. response:	Whatever.
context: to train our minds and bodies through swimming\and improve the school experience.\And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed. response:	Different people are better at different things.
context: and improve the school experience.\And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed.\Different people are better at different things. response:	Okay!
context: And you know what you're doing.\There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed.\Different people are better at different things.\Okay! response:	First-years are on cleanup duty!
context: There will be three members initially.\Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed.\Different people are better at different things.\Okay!\First-years are on cleanup duty! response:	Second-years are in charge of the chlorine!
context: Mako-chan, you can be the captain.\Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed.\Different people are better at different things.\Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine! response:	Third-years have a meeting once they've finished stretching!
context: Uh, shouldn't it be Haru?\He's the fastest swimmer.\This isn't about speed.\Different people are better at different things.\Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching! response:	Got it, Captain Haruka!
context: He's the fastest swimmer.\This isn't about speed.\Different people are better at different things.\Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka! response:	I don't think so.
context: This isn't about speed.\Different people are better at different things.\Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so. response:	That means Mako-chan is the captain,
context: Different people are better at different things.\Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain, response:	and Haru-chan can be the vice-captain.
context: Okay!\First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain. response:	Hey, don't just volunteer me.
context: First-years are on cleanup duty!\Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me. response:	Now, now, now.
context: Second-years are in charge of the chlorine!\Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now. response:	Vice-captain is just an empty title with no actual responsibilities,
context: Third-years have a meeting once they've finished stretching!\Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities, response:	so don't worry.
context: Got it, Captain Haruka!\I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry. response:	You just offended every vice-captain on this planet.
context: I don't think so.\That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet. response:	I'll be the treasurer,
context: That means Mako-chan is the captain,\and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer, response:	which means we just need a faculty advisor.
context: and Haru-chan can be the vice-captain.\Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor. response:	Any ideas?
context: Hey, don't just volunteer me.\Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas? response:	I was thinking about asking Ama-chan.
context: Now, now, now.\Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan. response:	Miss Ama-chan?
context: Vice-captain is just an empty title with no actual responsibilities,\so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan? response:	I heard a crazy story from one of our classmates.
context: so don't worry.\You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates. response:	Faculty Office
context: You just offended every vice-captain on this planet.\I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office response:	What?
context: I'll be the treasurer,\which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office\What? response:	I can't do it.
context: which means we just need a faculty advisor.\Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office\What?\I can't do it. response:	Sports aren't my thing.
context: Any ideas?\I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office\What?\I can't do it.\Sports aren't my thing. response:	I mean, I teach classical literature.
context: I was thinking about asking Ama-chan.\Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office\What?\I can't do it.\Sports aren't my thing.\I mean, I teach classical literature. response:	But I heard that
context: Miss Ama-chan?\I heard a crazy story from one of our classmates.\Faculty Office\What?\I can't do it.\Sports aren't my thing.\I mean, I teach classical literature.\But I heard that response:	until last year, you had a job in Tokyo that involved swimsuits.
context: I heard a crazy story from one of our classmates.\Faculty Office\What?\I can't do it.\Sports aren't my thing.\I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits. response:	Hey!
context: Faculty Office\What?\I can't do it.\Sports aren't my thing.\I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey! response:	Not so loud!
context: What?\I can't do it.\Sports aren't my thing.\I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud! response:	Who'd you hear that from?
context: I can't do it.\Sports aren't my thing.\I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud!\Who'd you hear that from? response:	It was Nashimoto-kun, from our class.
context: Sports aren't my thing.\I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class. response:	Did you work for a swimsuit designer?
context: I mean, I teach classical literature.\But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer? response:	What?
context: But I heard that\until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What? response:	Y-Yes, you could say that...
context: until last year, you had a job in Tokyo that involved swimsuits.\Hey!\Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What?\Y-Yes, you could say that... response:	In that case,
context: Hey!\Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What?\Y-Yes, you could say that...\In that case, response:	we would be thrilled to have you advise us about the technology
context: Not so loud!\Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What?\Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology response:	that goes into competitive swimwear!
context: Who'd you hear that from?\It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What?\Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear! response:	Advise us!
context: It was Nashimoto-kun, from our class.\Did you work for a swimsuit designer?\What?\Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us! response:	Please!
context: Did you work for a swimsuit designer?\What?\Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us!\Please! response:	If you really need me...
context: What?\Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us!\Please!\If you really need me... response:	Thank you very much!
context: Y-Yes, you could say that...\In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us!\Please!\If you really need me...\Thank you very much! response:	Yay!
context: In that case,\we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us!\Please!\If you really need me...\Thank you very much!\Yay! response:	Samezuka Academy
context: we would be thrilled to have you advise us about the technology\that goes into competitive swimwear!\Advise us!\Please!\If you really need me...\Thank you very much!\Yay!\Samezuka Academy response:	I'm Matsuoka Rin's sister.
context: that goes into competitive swimwear!\Advise us!\Please!\If you really need me...\Thank you very much!\Yay!\Samezuka Academy\I'm Matsuoka Rin's sister. response:	I'm here to see my brother.
context: Advise us!\Please!\If you really need me...\Thank you very much!\Yay!\Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother. response:	Oh, looks like Matsuoka-kun isn't back yet.
context: Please!\If you really need me...\Thank you very much!\Yay!\Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet. response:	Really.
context: If you really need me...\Thank you very much!\Yay!\Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really. response:	Excuse me...
context: Thank you very much!\Yay!\Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me... response:	Incredible...
context: Yay!\Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me...\Incredible... response:	Totally a prestigious school's swimming club.
context: Samezuka Academy\I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me...\Incredible...\Totally a prestigious school's swimming club. response:	Traps and pecs everywhere!
context: I'm Matsuoka Rin's sister.\I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me...\Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere! response:	They're gorgeous!
context: I'm here to see my brother.\Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me...\Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous! response:	Hey, so it's you?
context: Oh, looks like Matsuoka-kun isn't back yet.\Really.\Excuse me...\Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you? response:	The one who's looking for her big brother?
context: Really.\Excuse me...\Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother? response:	Oh, yes.
context: Excuse me...\Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother?\Oh, yes. response:	Hold on.
context: Incredible...\Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother?\Oh, yes.\Hold on. response:	You know...
context: Totally a prestigious school's swimming club.\Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother?\Oh, yes.\Hold on.\You know... response:	You're pretty cute.
context: Traps and pecs everywhere!\They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother?\Oh, yes.\Hold on.\You know...\You're pretty cute. response:	Thank you. I'm looking for Matsuoka Rin, my brother.
context: They're gorgeous!\Hey, so it's you?\The one who's looking for her big brother?\Oh, yes.\Hold on.\You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother. response:	Matsuoka?
context: Hey, so it's you?\The one who's looking for her big brother?\Oh, yes.\Hold on.\You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka? response:	There's nobody named Matsuoka on the swim team.
context: The one who's looking for her big brother?\Oh, yes.\Hold on.\You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team. response:	Huh?
context: Oh, yes.\Hold on.\You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh? response:	Now,
context: Hold on.\You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh?\Now, response:	in regard to the swim club charter that you submitted...
context: You know...\You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh?\Now,\in regard to the swim club charter that you submitted... response:	After strict review by the faculty,
context: You're pretty cute.\Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh?\Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty, response:	it was approved!
context: Thank you. I'm looking for Matsuoka Rin, my brother.\Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh?\Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved! response:	Really?
context: Matsuoka?\There's nobody named Matsuoka on the swim team.\Huh?\Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved!\Really? response:	Awesome! I knew we could count on a former swimwear company employee!
context: There's nobody named Matsuoka on the swim team.\Huh?\Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee! response:	Th-That's right...
context: Huh?\Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right... response:	However, a school organization is required to have four members,
context: Now,\in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members, response:	so you'll have to find one more person.
context: in regard to the swim club charter that you submitted...\After strict review by the faculty,\it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person. response:	And there's one more condition.
context: After strict review by the faculty,\it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition. response:	No problem!
context: it was approved!\Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition.\No problem! response:	I'm willing to do anything!
context: Really?\Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition.\No problem!\I'm willing to do anything! response:	Wow, so much nature.
context: Awesome! I knew we could count on a former swimwear company employee!\Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition.\No problem!\I'm willing to do anything!\Wow, so much nature. response:	Are you saying that...
context: Th-That's right...\However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition.\No problem!\I'm willing to do anything!\Wow, so much nature.\Are you saying that... response:	Yes, you must restore this pool to a usable state.
context: However, a school organization is required to have four members,\so you'll have to find one more person.\And there's one more condition.\No problem!\I'm willing to do anything!\Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state. response:	You're not allowed to run away.
context: so you'll have to find one more person.\And there's one more condition.\No problem!\I'm willing to do anything!\Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away. response:	You said you were willing to do anything.
context: And there's one more condition.\No problem!\I'm willing to do anything!\Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything. response:	Let's swim together Iwatobi Swim Club
context: No problem!\I'm willing to do anything!\Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club response:	Haru?
context: I'm willing to do anything!\Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru? response:	Huh? He's not here.
context: Wow, so much nature.\Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here. response:	It's cleaned up rather nicely.
context: Are you saying that...\Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here.\It's cleaned up rather nicely. response:	Can't you get out of that chair and give us a hand?
context: Yes, you must restore this pool to a usable state.\You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand? response:	Do you realize what you're saying?
context: You're not allowed to run away.\You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying? response:	The UV rays this time of year are brutal.
context: You said you were willing to do anything.\Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal. response:	You're still young, so it's not an issue.
context: Let's swim together Iwatobi Swim Club\Haru?\Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue. response:	This is pretty fun.
context: Haru?\Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun. response:	Feels like we're back in grade school.
context: Huh? He's not here.\It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school. response:	Grade schoolers wouldn't be asked to fix a pool.
context: It's cleaned up rather nicely.\Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool. response:	True.
context: Can't you get out of that chair and give us a hand?\Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True. response:	Wow, it's all cleaned up!
context: Do you realize what you're saying?\The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up! response:	Ah! Are you here to help, Gou-chan?
context: The UV rays this time of year are brutal.\You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan? response:	I told you to call me Kou!
context: You're still young, so it's not an issue.\This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou! response:	Otherwise, you don't get any of this.
context: This is pretty fun.\Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this. response:	What? You can't be serious!
context: Feels like we're back in grade school.\Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious! response:	Hey, there!
context: Grade schoolers wouldn't be asked to fix a pool.\True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there! response:	Interested in joining the swim club?
context: True.\Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there!\Interested in joining the swim club? response:	I've already decided to join the track team.
context: Wow, it's all cleaned up!\Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there!\Interested in joining the swim club?\I've already decided to join the track team. response:	Hey, guys!
context: Ah! Are you here to help, Gou-chan?\I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there!\Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys! response:	Let's have fun swimming together!
context: I told you to call me Kou!\Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there!\Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together! response:	Why would you want to swim in a pool
context: Otherwise, you don't get any of this.\What? You can't be serious!\Hey, there!\Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool response:	when the ocean's right over there?
context: What? You can't be serious!\Hey, there!\Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there? response:	If you join now, you'll receive
context: Hey, there!\Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive response:	a year's supply of Iwatobi's mascot character, Iwatobi-chan!
context: Interested in joining the swim club?\I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan! response:	No, thanks.
context: I've already decided to join the track team.\Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks. response:	No luck!
context: Hey, guys!\Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck! response:	Nobody wants to join.
context: Let's have fun swimming together!\Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck!\Nobody wants to join. response:	It's starting to look like we fixed the pool for nothing.
context: Why would you want to swim in a pool\when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing. response:	Don't say that!
context: when the ocean's right over there?\If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that! response:	It's time to use our last resort...
context: If you join now, you'll receive\a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort... response:	We have Ama-chan give the shirt off her back for us!
context: a year's supply of Iwatobi's mascot character, Iwatobi-chan!\No, thanks.\No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us! response:	How so?
context: No, thanks.\No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so? response:	Advertise the fact that Ama-chan is our advisor,
context: No luck!\Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor, response:	and tell everyone they'll get
context: Nobody wants to join.\It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get response:	to see her in a swimsuit if they join!
context: It's starting to look like we fixed the pool for nothing.\Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join! response:	I see. That's giving up her shirt, all right.
context: Don't say that!\It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right. response:	Excuse me...
context: It's time to use our last resort...\We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me... response:	If you do that, I'll quit immediately.
context: We have Ama-chan give the shirt off her back for us!\How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately. response:	I swore to myself that I'd never put on a swimsuit again!
context: How so?\Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again! response:	Understood?
context: Advertise the fact that Ama-chan is our advisor,\and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood? response:	Are we clear?
context: and tell everyone they'll get\to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear? response:	Crystal.
context: to see her in a swimsuit if they join!\I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear?\Crystal. response:	I'll leave the juice here.
context: I see. That's giving up her shirt, all right.\Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear?\Crystal.\I'll leave the juice here. response:	Thanks.
context: Excuse me...\If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear?\Crystal.\I'll leave the juice here.\Thanks. response:	I don't quite get it, though.
context: If you do that, I'll quit immediately.\I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear?\Crystal.\I'll leave the juice here.\Thanks.\I don't quite get it, though. response:	Get what?
context: I swore to myself that I'd never put on a swimsuit again!\Understood?\Are we clear?\Crystal.\I'll leave the juice here.\Thanks.\I don't quite get it, though.\Get what? response:	Why didn't you try to start a swim club when you were first-years?
context: Understood?\Are we clear?\Crystal.\I'll leave the juice here.\Thanks.\I don't quite get it, though.\Get what?\Why didn't you try to start a swim club when you were first-years? response:	Haru wasn't interested.
