context: I'll rip you apart with my fangs, Earth Engine! response:	What's that?
context: Fine... Go and see him.\Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream. response:	Somehow I knew that the real me wasn't the person I am now.
context: Aren't you being a bit soft?\When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now. response:	But you're you, right?
context: When I was a kid, I was kind of proud of this.\But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right? response:	Thanks. You saved me.
context: But once I realized how strange being able to make a rainbow appear over my hand was...\I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me. response:	You really surprised me this time.
context: I avoided doing it again.\I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me.\You really surprised me this time. response:	I heard your crepes are really good.
context: I pretended I couldn't do it anymore.\I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good. response:	But you can't enter without permission... Sorry.
context: I often dream,\but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry. response:	You can't give us permission yourself?
context: but when I'm awake, it feels more like a dream.\Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself? response:	Maybe we'll just go in ourselves!
context: Somehow I knew that the real me wasn't the person I am now.\But you're you, right?\Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves! response:	I can't change the base's security measures.
context: But you're you, right?\Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures. response:	You know, you can't fool a machine, right?
context: Thanks. You saved me.\You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right? response:	If you go in, something scary will happen.
context: You really surprised me this time.\I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen. response:	Well, I wouldn't want that.
context: I heard your crepes are really good.\But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that. response:	What?
context: But you can't enter without permission... Sorry.\You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that.\What? response:	What's going on?
context: You can't give us permission yourself?\Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that.\What?\What's going on? response:	It's easy to fool machines.
context: Maybe we'll just go in ourselves!\I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that.\What?\What's going on?\It's easy to fool machines. response:	Too easy.
context: I can't change the base's security measures.\You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that.\What?\What's going on?\It's easy to fool machines.\Too easy. response:	Too easy.
context: You know, you can't fool a machine, right?\If you go in, something scary will happen.\Well, I wouldn't want that.\What?\What's going on?\It's easy to fool machines.\Too easy.\Too easy. response:	My cute little bunny has taken over their defense system.
context: If you go in, something scary will happen.\Well, I wouldn't want that.\What?\What's going on?\It's easy to fool machines.\Too easy.\Too easy.\My cute little bunny has taken over their defense system. response:	This is...
context: Well, I wouldn't want that.\What?\What's going on?\It's easy to fool machines.\Too easy.\Too easy.\My cute little bunny has taken over their defense system.\This is... response:	What is this?
context: What?\What's going on?\It's easy to fool machines.\Too easy.\Too easy.\My cute little bunny has taken over their defense system.\This is...\What is this? response:	What's going on?!
context: What's going on?\It's easy to fool machines.\Too easy.\Too easy.\My cute little bunny has taken over their defense system.\This is...\What is this?\What's going on?! response:	The base's antipersonnel fortress system has been shut off...
context: It's easy to fool machines.\Too easy.\Too easy.\My cute little bunny has taken over their defense system.\This is...\What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off... response:	What?
context: Too easy.\Too easy.\My cute little bunny has taken over their defense system.\This is...\What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off...\What? response:	Something's happening in block C!
context: Too easy.\My cute little bunny has taken over their defense system.\This is...\What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C! response:	They're after Teppei?
context: My cute little bunny has taken over their defense system.\This is...\What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C!\They're after Teppei? response:	Rita, Thunder... Come with me!
context: This is...\What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me! response:	A direct attack on HQ itself?
context: What is this?\What's going on?!\The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself? response:	Salty Dog? The Ark Faction, maybe?
context: What's going on?!\The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe? response:	No, I haven't told HQ about Teppei yet.
context: The base's antipersonnel fortress system has been shut off...\What?\Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet. response:	If they're after Teppei, that means...
context: What?\Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means... response:	I have a bad feeling about this.
context: Something's happening in block C!\They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this. response:	You're Alaya, right?
context: They're after Teppei?\Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right? response:	No... I don't use that name.
context: Rita, Thunder... Come with me!\A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name. response:	Well, your avatar name doesn't matter.
context: A direct attack on HQ itself?\Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter. response:	You're Albion, aren't you?
context: Salty Dog? The Ark Faction, maybe?\No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you? response:	His memories haven't returned?
context: No, I haven't told HQ about Teppei yet.\If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned? response:	That's impossible...
context: If they're after Teppei, that means...\I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned?\That's impossible... response:	He abreacted into the Kiltgang.
context: I have a bad feeling about this.\You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang. response:	Right?
context: You're Alaya, right?\No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang.\Right? response:	I've been looking for you.
context: No... I don't use that name.\Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang.\Right?\I've been looking for you. response:	I was really worried about you.
context: Well, your avatar name doesn't matter.\You're Albion, aren't you?\His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang.\Right?\I've been looking for you.\I was really worried about you. response:	Why did you interfere yesterday?
context: You're Albion, aren't you?\His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang.\Right?\I've been looking for you.\I was really worried about you.\Why did you interfere yesterday? response:	Are you a traitor?
context: His memories haven't returned?\That's impossible...\He abreacted into the Kiltgang.\Right?\I've been looking for you.\I was really worried about you.\Why did you interfere yesterday?\Are you a traitor? response:	No way.
context: That's impossible...\He abreacted into the Kiltgang.\Right?\I've been looking for you.\I was really worried about you.\Why did you interfere yesterday?\Are you a traitor?\No way. response:	Teppei!
context: He abreacted into the Kiltgang.\Right?\I've been looking for you.\I was really worried about you.\Why did you interfere yesterday?\Are you a traitor?\No way.\Teppei! response:	Don't move.
context: Right?\I've been looking for you.\I was really worried about you.\Why did you interfere yesterday?\Are you a traitor?\No way.\Teppei!\Don't move. response:	Where's Daichi-kun?
context: I've been looking for you.\I was really worried about you.\Why did you interfere yesterday?\Are you a traitor?\No way.\Teppei!\Don't move.\Where's Daichi-kun? response:	Over there!
context: I was really worried about you.\Why did you interfere yesterday?\Are you a traitor?\No way.\Teppei!\Don't move.\Where's Daichi-kun?\Over there! response:	Daichi!
context: Why did you interfere yesterday?\Are you a traitor?\No way.\Teppei!\Don't move.\Where's Daichi-kun?\Over there!\Daichi! response:	Throw down your weapons and surrender.
context: Are you a traitor?\No way.\Teppei!\Don't move.\Where's Daichi-kun?\Over there!\Daichi!\Throw down your weapons and surrender. response:	You're outnumbered.
context: No way.\Teppei!\Don't move.\Where's Daichi-kun?\Over there!\Daichi!\Throw down your weapons and surrender.\You're outnumbered. response:	I'd rather not waste food.
context: Teppei!\Don't move.\Where's Daichi-kun?\Over there!\Daichi!\Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food. response:	Yeah...
context: Don't move.\Where's Daichi-kun?\Over there!\Daichi!\Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food.\Yeah... response:	These guys' libidos will eventually feed us.
context: Where's Daichi-kun?\Over there!\Daichi!\Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us. response:	They're...
context: Over there!\Daichi!\Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us.\They're... response:	Daichi-kun!
context: Daichi!\Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us.\They're...\Daichi-kun! response:	Good, he's alive!
context: Throw down your weapons and surrender.\You're outnumbered.\I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us.\They're...\Daichi-kun!\Good, he's alive! response:	Then, are you two...
context: You're outnumbered.\I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us.\They're...\Daichi-kun!\Good, he's alive!\Then, are you two... response:	Who are you, anyway?
context: I'd rather not waste food.\Yeah...\These guys' libidos will eventually feed us.\They're...\Daichi-kun!\Good, he's alive!\Then, are you two...\Who are you, anyway? response:	The crepe seller, right?
context: Yeah...\These guys' libidos will eventually feed us.\They're...\Daichi-kun!\Good, he's alive!\Then, are you two...\Who are you, anyway?\The crepe seller, right? response:	I am the Planetary Gear Amarok.
context: These guys' libidos will eventually feed us.\They're...\Daichi-kun!\Good, he's alive!\Then, are you two...\Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok. response:	And I'm the Planetary Gear Malkin.
context: They're...\Daichi-kun!\Good, he's alive!\Then, are you two...\Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin. response:	Do you regard Earth's humans as food?
context: Daichi-kun!\Good, he's alive!\Then, are you two...\Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food? response:	Yeah, basically...
context: Good, he's alive!\Then, are you two...\Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically... response:	But that's what the people of this world want.
context: Then, are you two...\Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want. response:	I'd rather not waste food,
context: Who are you, anyway?\The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food, response:	but if you want to fight, I won't hold back!
context: The crepe seller, right?\I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back! response:	Logical, logical...
context: I am the Planetary Gear Amarok.\And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical... response:	Be careful. The antipersonnel fortress system is coming on line.
context: And I'm the Planetary Gear Malkin.\Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line. response:	Logical, logical! Bye-bye, naughty rabbit!
context: Do you regard Earth's humans as food?\Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit! response:	Okay!
context: Yeah, basically...\But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay! response:	Hang in there!
context: But that's what the people of this world want.\I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there! response:	She deactivated my rabbit?
context: I'd rather not waste food,\but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there!\She deactivated my rabbit? response:	This really is a bit scary...
context: but if you want to fight, I won't hold back!\Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there!\She deactivated my rabbit?\This really is a bit scary... response:	Then let's run like rabbits!
context: Logical, logical...\Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there!\She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits! response:	Wait!
context: Be careful. The antipersonnel fortress system is coming on line.\Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there!\She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits!\Wait! response:	Stop!
context: Logical, logical! Bye-bye, naughty rabbit!\Okay!\Hang in there!\She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits!\Wait!\Stop! response:	What is that?
context: Okay!\Hang in there!\She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits!\Wait!\Stop!\What is that? response:	A mobile weapon?
context: Hang in there!\She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits!\Wait!\Stop!\What is that?\A mobile weapon? response:	Let's wreak some havoc, Tenrohsei!
context: She deactivated my rabbit?\This really is a bit scary...\Then let's run like rabbits!\Wait!\Stop!\What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei! response:	That's their mobile weapon?
context: This really is a bit scary...\Then let's run like rabbits!\Wait!\Stop!\What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon? response:	Stop it!
context: Then let's run like rabbits!\Wait!\Stop!\What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it! response:	Albion...
context: Wait!\Stop!\What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it!\Albion... response:	Stop doing this!
context: Stop!\What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it!\Albion...\Stop doing this! response:	It's me you want, right?
context: What is that?\A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it!\Albion...\Stop doing this!\It's me you want, right? response:	If you come with us, we won't hurt any of them.
context: A mobile weapon?\Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it!\Albion...\Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them. response:	Not that they'll survive long either way.
context: Let's wreak some havoc, Tenrohsei!\That's their mobile weapon?\Stop it!\Albion...\Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way. response:	Daichi?
context: That's their mobile weapon?\Stop it!\Albion...\Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi? response:	Where are you going, pretty boy?
context: Stop it!\Albion...\Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy? response:	You're trying too hard to look tough.
context: Albion...\Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough. response:	You belong here, with all of us!
context: Stop doing this!\It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us! response:	Daichi!
context: It's me you want, right?\If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us!\Daichi! response:	What do you think you can do here, Earthling?
context: If you come with us, we won't hurt any of them.\Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling? response:	I'm saying...
context: Not that they'll survive long either way.\Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling?\I'm saying... response:	He's...
context: Daichi?\Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling?\I'm saying...\He's... response:	Teppei is one of us!
context: Where are you going, pretty boy?\You're trying too hard to look tough.\You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling?\I'm saying...\He's...\Teppei is one of us! response:	Neoteny?!
context: You're trying too hard to look tough.\You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling?\I'm saying...\He's...\Teppei is one of us!\Neoteny?! response:	I won't let you have Teppei!
context: You belong here, with all of us!\Daichi!\What do you think you can do here, Earthling?\I'm saying...\He's...\Teppei is one of us!\Neoteny?!\I won't let you have Teppei! response:	Moco, he got me...
context: Daichi!\What do you think you can do here, Earthling?\I'm saying...\He's...\Teppei is one of us!\Neoteny?!\I won't let you have Teppei!\Moco, he got me... response:	We're leaving.
context: What do you think you can do here, Earthling?\I'm saying...\He's...\Teppei is one of us!\Neoteny?!\I won't let you have Teppei!\Moco, he got me...\We're leaving. response:	I've never seen that Livlaster before.
context: I'm saying...\He's...\Teppei is one of us!\Neoteny?!\I won't let you have Teppei!\Moco, he got me...\We're leaving.\I've never seen that Livlaster before. response:	That isn't the one from the Blume.
context: He's...\Teppei is one of us!\Neoteny?!\I won't let you have Teppei!\Moco, he got me...\We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume. response:	It may have materialized here.
context: Teppei is one of us!\Neoteny?!\I won't let you have Teppei!\Moco, he got me...\We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here. response:	That'd make it the Livlaster Tanegashima.
context: Neoteny?!\I won't let you have Teppei!\Moco, he got me...\We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima. response:	But I can't believe a neoteny appeared from one of the Earthlings.
context: I won't let you have Teppei!\Moco, he got me...\We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings. response:	Maybe Albion really does want to betray us?
context: Moco, he got me...\We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us? response:	He couldn't.
context: We're leaving.\I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't. response:	The feeling of being a Kiltgang...
context: I've never seen that Livlaster before.\That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang... response:	That's a sense of pleasure he can never give up.
context: That isn't the one from the Blume.\It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up. response:	They're a terrifying opponent.
context: It may have materialized here.\That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent. response:	They looked like young children.
context: That'd make it the Livlaster Tanegashima.\But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children. response:	Are they the enemies we're fighting?
context: But I can't believe a neoteny appeared from one of the Earthlings.\Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting? response:	No matter how they look,
context: Maybe Albion really does want to betray us?\He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting?\No matter how they look, response:	if their Kiltgangs reach Earth,
context: He couldn't.\The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth, response:	we lose.
context: The feeling of being a Kiltgang...\That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth,\we lose. response:	Akari-san's amazing, Commander.
context: That's a sense of pleasure he can never give up.\They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander. response:	She's the one who brought our defense system back on line.
context: They're a terrifying opponent.\They looked like young children.\Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line. response:	Was she?
context: They looked like young children.\Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she? response:	So, where is she?
context: Are they the enemies we're fighting?\No matter how they look,\if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she?\So, where is she? response:	She said she was tired and going home.
context: No matter how they look,\if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she?\So, where is she?\She said she was tired and going home. response:	Akari Yomatsuri.
context: if their Kiltgangs reach Earth,\we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she?\So, where is she?\She said she was tired and going home.\Akari Yomatsuri. response:	Teppei Arashi.
context: we lose.\Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she?\So, where is she?\She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi. response:	Hana Mutou.
context: Akari-san's amazing, Commander.\She's the one who brought our defense system back on line.\Was she?\So, where is she?\She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi.\Hana Mutou. response:	And Daichi Manatsu.
context: She's the one who brought our defense system back on line.\Was she?\So, where is she?\She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi.\Hana Mutou.\And Daichi Manatsu. response:	What do you think, Science Chief?
context: Was she?\So, where is she?\She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi.\Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief? response:	What do you mean?
context: So, where is she?\She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi.\Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief?\What do you mean? response:	When you look at them, don't you feel something?
context: She said she was tired and going home.\Akari Yomatsuri.\Teppei Arashi.\Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something? response:	Feel something?
context: Akari Yomatsuri.\Teppei Arashi.\Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something?\Feel something? response:	All I can say is that I have no logical proof of it.
context: Teppei Arashi.\Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something?\Feel something?\All I can say is that I have no logical proof of it. response:	You want to feel something, don't you?
context: Hana Mutou.\And Daichi Manatsu.\What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something?\Feel something?\All I can say is that I have no logical proof of it.\You want to feel something, don't you? response:	You want to feel that something in them.
context: And Daichi Manatsu.\What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something?\Feel something?\All I can say is that I have no logical proof of it.\You want to feel something, don't you?\You want to feel that something in them. response:	The Kivotos Plan team is in artificial sleep
context: What do you think, Science Chief?\What do you mean?\When you look at them, don't you feel something?\Feel something?\All I can say is that I have no logical proof of it.\You want to feel something, don't you?\You want to feel that something in them.\The Kivotos Plan team is in artificial sleep response:	aboard the Globe Orbital Base Tenkaidou.
context: What do you mean?\When you look at them, don't you feel something?\Feel something?\All I can say is that I have no logical proof of it.\You want to feel something, don't you?\You want to feel that something in them.\The Kivotos Plan team is in artificial sleep\aboard the Globe Orbital Base Tenkaidou. response:	One of them, the person who gave Teppei their genes,
