context: Bell-kun, are we at that town yet? response:	Just a little more, I think, Goddess.
context: would you listen to my story?\Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway. response:	It would have been a fitting end for one who behaved so stupidly.
context: Uh, sure.\I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly. response:	But...
context: I'm blacklisted from the guild.\I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But... response:	Are you okay?
context: I wiped out that enemy familia.\Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay? response:	So you work at the Benevolent Mistress now?
context: Night attacks. Surprise attacks. Traps.\Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay?\So you work at the Benevolent Mistress now? response:	Yes. Mama Mia knew everything, and yet she still took me in.
context: Driven by rage, I avenged my comrades, doing whatever was necessary.\And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in. response:	I'm sorry to tell you such an awful tale.
context: And when I'd had my revenge,\I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale. response:	N-No, it's fine...
context: I collapsed in a dark, abandoned alleyway.\It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine... response:	As for my point... I'm a shameless, violent elf.
context: It would have been a fitting end for one who behaved so stupidly.\But...\Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf. response:	Enough so that I might betray your trust.
context: But...\Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust. response:	Ryu-san.
context: Are you okay?\So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san. response:	Please do not insult yourself.
context: So you work at the Benevolent Mistress now?\Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself. response:	I can get mad, too.
context: Yes. Mama Mia knew everything, and yet she still took me in.\I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself.\I can get mad, too. response:	My.
context: I'm sorry to tell you such an awful tale.\N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself.\I can get mad, too.\My. response:	You've got me there.
context: N-No, it's fine...\As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself.\I can get mad, too.\My.\You've got me there. response:	Oh, I'm sorry. That was rude of me.
context: As for my point... I'm a shameless, violent elf.\Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself.\I can get mad, too.\My.\You've got me there.\Oh, I'm sorry. That was rude of me. response:	Cranel-san, you're very kind.
context: Enough so that I might betray your trust.\Ryu-san.\Please do not insult yourself.\I can get mad, too.\My.\You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind. response:	You are a human worthy of my respect.
context: Ryu-san.\Please do not insult yourself.\I can get mad, too.\My.\You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect. response:	Damn it!
context: Please do not insult yourself.\I can get mad, too.\My.\You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it! response:	Wow, you're pissed off, Moldo!
context: I can get mad, too.\My.\You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo! response:	Shut up!
context: My.\You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo!\Shut up! response:	What trick did that brat use to get down here?
context: You've got me there.\Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here? response:	That cocky little asshole...
context: Oh, I'm sorry. That was rude of me.\Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here?\That cocky little asshole... response:	What, are you jealous?
context: Cranel-san, you're very kind.\You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous? response:	Huh?
context: You are a human worthy of my respect.\Damn it!\Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous?\Huh? response:	This is your problem, too.
context: Damn it!\Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous?\Huh?\This is your problem, too. response:	A bratty little rookie got down here practically the day he leveled up.
context: Wow, you're pissed off, Moldo!\Shut up!\What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous?\Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up. response:	We've been here for years, which means we're a joke!
context: Shut up!\What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous?\Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke! response:	Adventurers have their own rules. We'll just have to teach him that.
context: What trick did that brat use to get down here?\That cocky little asshole...\What, are you jealous?\Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that. response:	If we can just get him alone...
context: That cocky little asshole...\What, are you jealous?\Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone... response:	You're...
context: What, are you jealous?\Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're... response:	Bunny brat!
context: Huh?\This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're...\Bunny brat! response:	You saw Aiz naked?
context: This is your problem, too.\A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're...\Bunny brat!\You saw Aiz naked? response:	You got to do something even I can't, you bastard!
context: A bratty little rookie got down here practically the day he leveled up.\We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're...\Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard! response:	Shut up. Stop talking about that.
context: We've been here for years, which means we're a joke!\Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're...\Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that. response:	We blamed the whole thing on Hermes-sama.
context: Adventurers have their own rules. We'll just have to teach him that.\If we can just get him alone...\You're...\Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama. response:	You guys are so mean!
context: If we can just get him alone...\You're...\Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean! response:	Let me go, you stupid amazon!
context: You're...\Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon! response:	What's he doing here, anyway?
context: Bunny brat!\You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway? response:	Stop talking already.
context: You saw Aiz naked?\You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already. response:	You're leaving, too, Aiz-san?
context: You got to do something even I can't, you bastard!\Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san? response:	Yes. I've been assigned to the party that's leaving first.
context: Shut up. Stop talking about that.\We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first. response:	You're going with the second party, right?
context: We blamed the whole thing on Hermes-sama.\You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right? response:	Yes.
context: You guys are so mean!\Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes. response:	Um...
context: Let me go, you stupid amazon!\What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes.\Um... response:	Take care.
context: What's he doing here, anyway?\Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes.\Um...\Take care. response:	You, too. Take care.
context: Stop talking already.\You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes.\Um...\Take care.\You, too. Take care. response:	That Bell-kun...
context: You're leaving, too, Aiz-san?\Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes.\Um...\Take care.\You, too. Take care.\That Bell-kun... response:	If he wanted to peek, he should've come when I was alone!
context: Yes. I've been assigned to the party that's leaving first.\You're going with the second party, right?\Yes.\Um...\Take care.\You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone! response:	Huh?
context: You're going with the second party, right?\Yes.\Um...\Take care.\You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh? response:	Goddess?
context: Yes.\Um...\Take care.\You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh?\Goddess? response:	Little Rookie.
context: Um...\Take care.\You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh?\Goddess?\Little Rookie. response:	We have your goddess.
context: Take care.\You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh?\Goddess?\Little Rookie.\We have your goddess. response:	If you want her back,
context: You, too. Take care.\That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh?\Goddess?\Little Rookie.\We have your goddess.\If you want her back, response:	come to the lone, tall crystal on the far east side of the central forest.
context: That Bell-kun...\If he wanted to peek, he should've come when I was alone!\Huh?\Goddess?\Little Rookie.\We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest. response:	Hey! Do you really think you can get away with this?
context: If he wanted to peek, he should've come when I was alone!\Huh?\Goddess?\Little Rookie.\We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this? response:	I may not look like it, but I'm a goddess!
context: Huh?\Goddess?\Little Rookie.\We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess! response:	Why you... Take that!
context: Goddess?\Little Rookie.\We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that! response:	Hey.
context: Little Rookie.\We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that!\Hey. response:	Where's my goddess?
context: We have your goddess.\If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that!\Hey.\Where's my goddess? response:	Follow me!
context: If you want her back,\come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that!\Hey.\Where's my goddess?\Follow me! response:	Your goddess is safe.
context: come to the lone, tall crystal on the far east side of the central forest.\Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that!\Hey.\Where's my goddess?\Follow me!\Your goddess is safe. response:	I'm not shameless enough to hurt her.
context: Hey! Do you really think you can get away with this?\I may not look like it, but I'm a goddess!\Why you... Take that!\Hey.\Where's my goddess?\Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her. response:	Then you're here for me.
context: I may not look like it, but I'm a goddess!\Why you... Take that!\Hey.\Where's my goddess?\Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me. response:	Don't worry.
context: Why you... Take that!\Hey.\Where's my goddess?\Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry. response:	I won't let them interfere.
context: Hey.\Where's my goddess?\Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry.\I won't let them interfere. response:	We're about to have a fight. Just you and me.
context: Where's my goddess?\Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me. response:	A duel.
context: Follow me!\Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me.\A duel. response:	A duel...
context: Your goddess is safe.\I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me.\A duel.\A duel... response:	That's right. Simple, isn't it?
context: I'm not shameless enough to hurt her.\Then you're here for me.\Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me.\A duel.\A duel...\That's right. Simple, isn't it? response:	The winner can tell the loser to do whatever he wants.
context: Then you're here for me.\Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me.\A duel.\A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants. response:	If I win, I'm taking all your equipment.
context: Don't worry.\I won't let them interfere.\We're about to have a fight. Just you and me.\A duel.\A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment. response:	If I win, please release my goddess.
context: I won't let them interfere.\We're about to have a fight. Just you and me.\A duel.\A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess. response:	Sure thing.
context: We're about to have a fight. Just you and me.\A duel.\A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing. response:	But don't get the wrong idea, brat.
context: A duel.\A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat. response:	In this show, I'm gonna kick the crap out of you!
context: A duel...\That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you! response:	He's gone!
context: That's right. Simple, isn't it?\The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone! response:	You really can't see him!
context: The winner can tell the loser to do whatever he wants.\If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him! response:	Get him, Moldo!
context: If I win, I'm taking all your equipment.\If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him!\Get him, Moldo! response:	Snap the Rookie brat in half!
context: If I win, please release my goddess.\Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half! response:	It's too early for your nap!
context: Sure thing.\But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap! response:	Now get back in there!
context: But don't get the wrong idea, brat.\In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there! response:	What are you doing?
context: In this show, I'm gonna kick the crap out of you!\He's gone!\You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there!\What are you doing? response:	You're the Rookie all eyes are on, huh?
context: He's gone!\You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh? response:	Look at that face!
context: You really can't see him!\Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face! response:	The magic item, Hades Head.
context: Get him, Moldo!\Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head. response:	Splendid work, Asfi.
context: Snap the Rookie brat in half!\It's too early for your nap!\Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head.\Splendid work, Asfi. response:	You have some nasty hobbies.
context: It's too early for your nap!\Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies. response:	Do you have something against Bell Cranel?
context: Now get back in there!\What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel? response:	No. You could say this is my love.
context: What are you doing?\You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love. response:	Bell-kun doesn't know enough about the ugly side of humanity.
context: You're the Rookie all eyes are on, huh?\Look at that face!\The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity. response:	Nasty or not, I wanted him to learn this about people.
context: Look at that face!\The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people. response:	I won't deny that part of it's the entertainment, though.
context: The magic item, Hades Head.\Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though. response:	And if his fangs are broken here?
context: Splendid work, Asfi.\You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here? response:	That means he was never right for the job.
context: You have some nasty hobbies.\Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job. response:	Oh?
context: Do you have something against Bell Cranel?\No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job.\Oh? response:	Looks like they've found out, too.
context: No. You could say this is my love.\Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job.\Oh?\Looks like they've found out, too. response:	They're all so dazzlingly bright...
context: Bell-kun doesn't know enough about the ugly side of humanity.\Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job.\Oh?\Looks like they've found out, too.\They're all so dazzlingly bright... response:	Who the hell did that?
context: Nasty or not, I wanted him to learn this about people.\I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job.\Oh?\Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that? response:	Bell should be just past them!
context: I won't deny that part of it's the entertainment, though.\And if his fangs are broken here?\That means he was never right for the job.\Oh?\Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them! response:	Cowards!
context: And if his fangs are broken here?\That means he was never right for the job.\Oh?\Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them!\Cowards! response:	It's the Little Rookie's buddies!
context: That means he was never right for the job.\Oh?\Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them!\Cowards!\It's the Little Rookie's buddies! response:	How did they find us?
context: Oh?\Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them!\Cowards!\It's the Little Rookie's buddies!\How did they find us? response:	It doesn't matter!
context: Looks like they've found out, too.\They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them!\Cowards!\It's the Little Rookie's buddies!\How did they find us?\It doesn't matter! response:	Get them!
context: They're all so dazzlingly bright...\Who the hell did that?\Bell should be just past them!\Cowards!\It's the Little Rookie's buddies!\How did they find us?\It doesn't matter!\Get them! response:	Chigusa, my spear!
context: Who the hell did that?\Bell should be just past them!\Cowards!\It's the Little Rookie's buddies!\How did they find us?\It doesn't matter!\Get them!\Chigusa, my spear! response:	Right!
context: Bell should be just past them!\Cowards!\It's the Little Rookie's buddies!\How did they find us?\It doesn't matter!\Get them!\Chigusa, my spear!\Right! response:	What's going on?
context: Cowards!\It's the Little Rookie's buddies!\How did they find us?\It doesn't matter!\Get them!\Chigusa, my spear!\Right!\What's going on? response:	Hey!
context: It's the Little Rookie's buddies!\How did they find us?\It doesn't matter!\Get them!\Chigusa, my spear!\Right!\What's going on?\Hey! response:	Sounds like they're having fun.
context: How did they find us?\It doesn't matter!\Get them!\Chigusa, my spear!\Right!\What's going on?\Hey!\Sounds like they're having fun. response:	Damn it, I wanna go see!
context: It doesn't matter!\Get them!\Chigusa, my spear!\Right!\What's going on?\Hey!\Sounds like they're having fun.\Damn it, I wanna go see! response:	Hey, don't ignore me!
context: Get them!\Chigusa, my spear!\Right!\What's going on?\Hey!\Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me! response:	Want to go?
context: Chigusa, my spear!\Right!\What's going on?\Hey!\Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me!\Want to go? response:	Yeah, let's go!
context: Right!\What's going on?\Hey!\Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me!\Want to go?\Yeah, let's go! response:	Hey!
context: What's going on?\Hey!\Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me!\Want to go?\Yeah, let's go!\Hey! response:	You're...
context: Hey!\Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me!\Want to go?\Yeah, let's go!\Hey!\You're... response:	The midnight bell tolls.
context: Sounds like they're having fun.\Damn it, I wanna go see!\Hey, don't ignore me!\Want to go?\Yeah, let's go!\Hey!\You're...\The midnight bell tolls. response:	S-Supporter, how did you...
context: Damn it, I wanna go see!\Hey, don't ignore me!\Want to go?\Yeah, let's go!\Hey!\You're...\The midnight bell tolls.\S-Supporter, how did you... response:	I used my chienthrope sense of smell.
context: Hey, don't ignore me!\Want to go?\Yeah, let's go!\Hey!\You're...\The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell. response:	It's thanks to the perfume you wasted your money on.
context: Want to go?\Yeah, let's go!\Hey!\You're...\The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on. response:	Burn, dark magics!
context: Yeah, let's go!\Hey!\You're...\The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics! response:	Will o' wisp!
context: Hey!\You're...\The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp! response:	Damn you!
context: You're...\The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp!\Damn you! response:	Screw these guys!
context: The midnight bell tolls.\S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp!\Damn you!\Screw these guys! response:	Don't be scared! We outnumber them!
context: S-Supporter, how did you...\I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp!\Damn you!\Screw these guys!\Don't be scared! We outnumber them! response:	Surround them!
context: I used my chienthrope sense of smell.\It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp!\Damn you!\Screw these guys!\Don't be scared! We outnumber them!\Surround them! response:	Damn! We can't get close to Bell!
context: It's thanks to the perfume you wasted your money on.\Burn, dark magics!\Will o' wisp!\Damn you!\Screw these guys!\Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell! response:	Take this!
context: Burn, dark magics!\Will o' wisp!\Damn you!\Screw these guys!\Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell!\Take this! response:	It seems you haven't learned your lesson.
context: Will o' wisp!\Damn you!\Screw these guys!\Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson. response:	You...
context: Damn you!\Screw these guys!\Don't be scared! We outnumber them!\Surround them!\Damn! We can't get close to Bell!\Take this!\It seems you haven't learned your lesson.\You... response:	I'm here to help.
