context: Dear viewers, good evening response:	Breaking news coming in right now
context: Yeyan\Sorry about yesterday night\Huh?\I considered what the secretary said to us\I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way response:	In the end, it may be difficult for us to ever reconcile again
context: Sorry about yesterday night\Huh?\I considered what the secretary said to us\I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again response:	In this world we only meet once
context: Huh?\I considered what the secretary said to us\I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once response:	Let's go get along for the sake of the people
context: I considered what the secretary said to us\I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people response:	In the future, it may be difficult to say this again
context: I forgive you, it was nothing really\He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again response:	With that said, I don't have to worry anymore
context: He was right\The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore response:	My hand hurts!
context: The goal of the Night Command is to kill monsters and promote peace\The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts! response:	Watch out!
context: The hatred between me and you will only worsen if left that way\In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts!\Watch out! response:	It was an accident, are you alright?
context: In the end, it may be difficult for us to ever reconcile again\In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts!\Watch out!\It was an accident, are you alright? response:	It really was an accident!
context: In this world we only meet once\Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts!\Watch out!\It was an accident, are you alright?\It really was an accident! response:	That's weird, my hand suddenly lost its strength
context: Let's go get along for the sake of the people\In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts!\Watch out!\It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength response:	My skin's rotting!
context: In the future, it may be difficult to say this again\With that said, I don't have to worry anymore\My hand hurts!\Watch out!\It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting! response:	This is zombiefication
context: With that said, I don't have to worry anymore\My hand hurts!\Watch out!\It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication response:	Could it be...
context: My hand hurts!\Watch out!\It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication\Could it be... response:	There's definitely something suspicious about that guy
context: Watch out!\It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication\Could it be...\There's definitely something suspicious about that guy response:	According to unofficial sources
context: It was an accident, are you alright?\It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication\Could it be...\There's definitely something suspicious about that guy\According to unofficial sources response:	An unidentified object has appeared in the sky
context: It really was an accident!\That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication\Could it be...\There's definitely something suspicious about that guy\According to unofficial sources\An unidentified object has appeared in the sky response:	He floods the land with bliss
context: That's weird, my hand suddenly lost its strength\My skin's rotting!\This is zombiefication\Could it be...\There's definitely something suspicious about that guy\According to unofficial sources\An unidentified object has appeared in the sky\He floods the land with bliss response:	And fills the sky with music
context: My skin's rotting!\This is zombiefication\Could it be...\There's definitely something suspicious about that guy\According to unofficial sources\An unidentified object has appeared in the sky\He floods the land with bliss\And fills the sky with music response:	Areas it passes by are affected by average or heavy rain
context: This is zombiefication\Could it be...\There's definitely something suspicious about that guy\According to unofficial sources\An unidentified object has appeared in the sky\He floods the land with bliss\And fills the sky with music\Areas it passes by are affected by average or heavy rain response:	Observers should prepare rain equipment
context: Could it be...\There's definitely something suspicious about that guy\According to unofficial sources\An unidentified object has appeared in the sky\He floods the land with bliss\And fills the sky with music\Areas it passes by are affected by average or heavy rain\Observers should prepare rain equipment response:	Now is live footage of the phenomenon
