context: I have a copy of this, too. response:	So Yamamoto-san also reads poetry books...
context: Kaze ni utau yume no hito\Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs. response:	I need to reach out and touch it before it fades away.
context: Mayou kibun utare omoidaseta nara\Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away. response:	The palm of your hand is filled with warmth.
context: Hohoemu sono tabi ni setsunasa tsumoru\Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth. response:	Don't let go just yet. Everything seems about to fall apart.
context: Mabushii sora no naka...\The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart. response:	As my heart wavers, tears fall from my eyes.
context: The seven-colored rainbow knows where our love is headed.\As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes. response:	Your face in my mind
context: As the seasons turn, the night sky I gaze up at\surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind response:	twinkles brightly and silently.
context: surrounds me, and illusions dance above the clouds.\I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently. response:	Your eyes before me
context: I tried to find where it led, but it only colored my sighs.\I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently.\Your eyes before me response:	sing in the wind of the one I dream of.
context: I need to reach out and touch it before it fades away.\The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of. response:	When I'm lost, I feel really down, and when I think of it...
context: The palm of your hand is filled with warmth.\Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it... response:	Every time you smile, the pain piles up.
context: Don't let go just yet. Everything seems about to fall apart.\As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up. response:	In the blinding sky...
context: As my heart wavers, tears fall from my eyes.\Your face in my mind\twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky... response:	Let me see your textbook.
context: Your face in my mind\twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook. response:	Why are you working ten pages ahead?
context: twinkles brightly and silently.\Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead? response:	There's nothing else to do at home.
context: Your eyes before me\sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home. response:	There's nothing else to do, so you study?
context: sing in the wind of the one I dream of.\When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study? response:	You sure are different.
context: When I'm lost, I feel really down, and when I think of it...\Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different. response:	If you hate me that much, we shouldn't have even gotten to know each other to begin with.
context: Every time you smile, the pain piles up.\In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with. response:	You only used me to get revenge on my sister, anyway.
context: In the blinding sky...\Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway. response:	Revenge?
context: Let me see your textbook.\Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge? response:	That wouldn't mean anything, and I'd have no reason to do that.
context: Why are you working ten pages ahead?\There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that. response:	Ah... sure.
context: There's nothing else to do at home.\There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure. response:	No... never mind.
context: There's nothing else to do, so you study?\You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind. response:	On second thought...
context: You sure are different.\If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind.\On second thought... response:	Let me see yours, Yamamoto.
context: If you hate me that much, we shouldn't have even gotten to know each other to begin with.\You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind.\On second thought...\Let me see yours, Yamamoto. response:	Thank you.
context: You only used me to get revenge on my sister, anyway.\Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind.\On second thought...\Let me see yours, Yamamoto.\Thank you. response:	Nana, you're not gonna buy those clothes you just tried on?
context: Revenge?\That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind.\On second thought...\Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on? response:	They looked so good on you, too.
context: That wouldn't mean anything, and I'd have no reason to do that.\Ah... sure.\No... never mind.\On second thought...\Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too. response:	I'm broke.
context: Ah... sure.\No... never mind.\On second thought...\Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke. response:	Then why did you invite me to go shopping?
context: No... never mind.\On second thought...\Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping? response:	Did you have a fight with Yano?
context: On second thought...\Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano? response:	What's Yano doing today?
context: Let me see yours, Yamamoto.\Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today? response:	Pretty awful...
context: Thank you.\Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today?\Pretty awful... response:	I wasn't really snooping around...
context: Nana, you're not gonna buy those clothes you just tried on?\They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today?\Pretty awful...\I wasn't really snooping around... response:	Yano can be really cold sometimes...
context: They looked so good on you, too.\I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today?\Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes... response:	He hasn't called me, even though it's Sunday...
context: I'm broke.\Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today?\Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday... response:	It's Yano!
context: Then why did you invite me to go shopping?\Did you have a fight with Yano?\What's Yano doing today?\Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano! response:	It is Yano.
context: Did you have a fight with Yano?\What's Yano doing today?\Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano. response:	Hello-
context: What's Yano doing today?\Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano.\Hello- response:	Hello? Hi there!
context: Pretty awful...\I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano.\Hello-\Hello? Hi there! response:	Nice to meet you! Are you Yano's girlfriend?
context: I wasn't really snooping around...\Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano.\Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend? response:	Huh?
context: Yano can be really cold sometimes...\He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano.\Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh? response:	I went to the same middle school as Yano.
context: He hasn't called me, even though it's Sunday...\It's Yano!\It is Yano.\Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano. response:	We're at Take's house right now.
context: It's Yano!\It is Yano.\Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano.\We're at Take's house right now. response:	Yano's throwing him a birthday party today.
context: It is Yano.\Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today. response:	Wanna come over?
context: Hello-\Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over? response:	Ah... sure... but I'm out shopping with a friend right now...
context: Hello? Hi there!\Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now... response:	A friend?! Is she female?!
context: Nice to meet you! Are you Yano's girlfriend?\Huh?\I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?! response:	That sounds great! Bring her with you!
context: Huh?\I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you! response:	We'll make a whole hook-up party out of this!
context: I went to the same middle school as Yano.\We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this! response:	W-What?
context: We're at Take's house right now.\Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What? response:	By the way, is your friend cute?
context: Yano's throwing him a birthday party today.\Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute? response:	Hey, what are you doing with my cell?
context: Wanna come over?\Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell? response:	Yano's voice!
context: Ah... sure... but I'm out shopping with a friend right now...\A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice! response:	Huh? I was thinking of making a hook-up party.
context: A friend?! Is she female?!\That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party. response:	Are you a moron?
context: That sounds great! Bring her with you!\We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron? response:	Hello?
context: We'll make a whole hook-up party out of this!\W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello? response:	Ah, Ya-
context: W-What?\By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello?\Ah, Ya- response:	You don't have to come.
context: By the way, is your friend cute?\Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello?\Ah, Ya-\You don't have to come. response:	H-He hung up on me...
context: Hey, what are you doing with my cell?\Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello?\Ah, Ya-\You don't have to come.\H-He hung up on me... response:	Ah, you really came?!
context: Yano's voice!\Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello?\Ah, Ya-\You don't have to come.\H-He hung up on me...\Ah, you really came?! response:	You son of a bitch.
context: Huh? I was thinking of making a hook-up party.\Are you a moron?\Hello?\Ah, Ya-\You don't have to come.\H-He hung up on me...\Ah, you really came?!\You son of a bitch. response:	Have a seat, heave a seat!
context: Are you a moron?\Hello?\Ah, Ya-\You don't have to come.\H-He hung up on me...\Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat! response:	That annoyed look was blatantly obvious.
context: Hello?\Ah, Ya-\You don't have to come.\H-He hung up on me...\Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious. response:	What'll you have to drink?
context: Ah, Ya-\You don't have to come.\H-He hung up on me...\Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink? response:	We have everything, since he runs a liquor store.
context: You don't have to come.\H-He hung up on me...\Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store. response:	Want some sake?
context: H-He hung up on me...\Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake? response:	Just kidding, just kidding!
context: Ah, you really came?!\You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding! response:	Moron.
context: You son of a bitch.\Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding!\Moron. response:	Why don't you sit next to Yano?
context: Have a seat, heave a seat!\That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding!\Moron.\Why don't you sit next to Yano? response:	Ah, no... here's fine.
context: That annoyed look was blatantly obvious.\What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding!\Moron.\Why don't you sit next to Yano?\Ah, no... here's fine. response:	You don't have to hold back.
context: What'll you have to drink?\We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding!\Moron.\Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back. response:	Hey, Yano.
context: We have everything, since he runs a liquor store.\Want some sake?\Just kidding, just kidding!\Moron.\Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back.\Hey, Yano. response:	I'm getting kinda tired. Maybe I should head back?
context: Want some sake?\Just kidding, just kidding!\Moron.\Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back? response:	Ah, that little... he's ignoring me!
context: Just kidding, just kidding!\Moron.\Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me! response:	For being my boyfriend, he's really ruining things!
context: Moron.\Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things! response:	Ah, that reminds me...
context: Why don't you sit next to Yano?\Ah, no... here's fine.\You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me... response:	I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.
context: Ah, no... here's fine.\You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun. response:	Huh? You don't have to.
context: You don't have to hold back.\Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to. response:	A-Ah, don't mention it. It's nothing special, so, umm...
context: Hey, Yano.\I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm... response:	Don't expect too much.
context: I'm getting kinda tired. Maybe I should head back?\Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much. response:	Thanks. What could it be?
context: Ah, that little... he's ignoring me!\For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be? response:	It's a cellphone strap.
context: For being my boyfriend, he's really ruining things!\Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be?\It's a cellphone strap. response:	Sign: Sea Urchin-kun
context: Ah, that reminds me...\I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun response:	Was it a bit too corny...?
context: I thought coming empty-handed might seem rude, so I bought you a present, Takeuchi-kun.\Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...? response:	No... I think I actually kinda like it.
context: Huh? You don't have to.\A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it. response:	Really?! Thank goodness!
context: A-Ah, don't mention it. It's nothing special, so, umm...\Don't expect too much.\Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness! response:	I had a really hard time choosing, so that's great to hear!
context: Don't expect too much.\Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear! response:	Cheers!
context: Thanks. What could it be?\It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers! response:	Ch-Cheers...
context: It's a cellphone strap.\Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers... response:	This is bad...
context: Sign: Sea Urchin-kun\Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers...\This is bad... response:	You're too transparent, Yano!
context: Was it a bit too corny...?\No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers...\This is bad...\You're too transparent, Yano! response:	Ah... let's try to nonchalantly change the topic...
context: No... I think I actually kinda like it.\Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers...\This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic... response:	By the way, it's that, isn't it?
context: Really?! Thank goodness!\I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers...\This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it? response:	A-Ah, yeah! It is, isn't it?
context: I had a really hard time choosing, so that's great to hear!\Cheers!\Ch-Cheers...\This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it? response:	It's the season for sea urchins, right?
context: Cheers!\Ch-Cheers...\This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right? response:	You didn't change the topic one bit!
context: Ch-Cheers...\This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit! response:	Take! Take!
context: This is bad...\You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take! response:	Keep going with the topic change!
context: You're too transparent, Yano!\Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take!\Keep going with the topic change! response:	Just like you always do! You're good at it!
context: Ah... let's try to nonchalantly change the topic...\By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it! response:	Sea urchins?
context: By the way, it's that, isn't it?\A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins? response:	You jealous of the sea urchin?
context: A-Ah, yeah! It is, isn't it?\It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin? response:	What are you doing?!
context: It's the season for sea urchins, right?\You didn't change the topic one bit!\Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin?\What are you doing?! response:	What was that?
context: You didn't change the topic one bit!\Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin?\What are you doing?!\What was that? response:	You're jealous, aren't you?
context: Take! Take!\Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin?\What are you doing?!\What was that?\You're jealous, aren't you? response:	You've had such a bored look on your face this whole time.
context: Keep going with the topic change!\Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin?\What are you doing?!\What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time. response:	I'm not jealous at all of that weird strap.
context: Just like you always do! You're good at it!\Sea urchins?\You jealous of the sea urchin?\What are you doing?!\What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap. response:	Weird?!
context: Sea urchins?\You jealous of the sea urchin?\What are you doing?!\What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?! response:	Then why don't you find a different look?
context: You jealous of the sea urchin?\What are you doing?!\What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look? response:	It's my birthday, you know.
context: What are you doing?!\What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look?\It's my birthday, you know. response:	I'm sympathizing with you.
context: What was that?\You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you. response:	Getting such a lame sea urchin like that.
context: You're jealous, aren't you?\You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you.\Getting such a lame sea urchin like that. response:	Lame?!
context: You've had such a bored look on your face this whole time.\I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you.\Getting such a lame sea urchin like that.\Lame?! response:	You're just pitiful, getting so happy over it.
context: I'm not jealous at all of that weird strap.\Weird?!\Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you.\Getting such a lame sea urchin like that.\Lame?!\You're just pitiful, getting so happy over it. response:	What's this? You're obviously just jealous.
context: Weird?!\Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you.\Getting such a lame sea urchin like that.\Lame?!\You're just pitiful, getting so happy over it.\What's this? You're obviously just jealous. response:	Yano... be an adult about this.
context: Then why don't you find a different look?\It's my birthday, you know.\I'm sympathizing with you.\Getting such a lame sea urchin like that.\Lame?!\You're just pitiful, getting so happy over it.\What's this? You're obviously just jealous.\Yano... be an adult about this. response:	I can't believe you!
