context: Edolas...? response:	Yes, Edolas... A different world than this one.
context: How's it do that?\Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right.\My bad...\My wings suddenly...\What happened? response:	I told you, remember?
context: Come on, you people...\I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right.\My bad...\My wings suddenly...\What happened?\I told you, remember? response:	You can't use magic freely here.
context: I know how you feel, but we didn't come here to sightsee.\Don't get so excited.\Yeah, you're right.\My bad...\My wings suddenly...\What happened?\I told you, remember?\You can't use magic freely here. response:	Oh, you're right!
context: Don't get so excited.\Yeah, you're right.\My bad...\My wings suddenly...\What happened?\I told you, remember?\You can't use magic freely here.\Oh, you're right! response:	I feel kind of strange...
context: Yeah, you're right.\My bad...\My wings suddenly...\What happened?\I told you, remember?\You can't use magic freely here.\Oh, you're right!\I feel kind of strange... response:	Okay then!
context: My bad...\My wings suddenly...\What happened?\I told you, remember?\You can't use magic freely here.\Oh, you're right!\I feel kind of strange...\Okay then! response:	Let's go search for everyone!
context: My wings suddenly...\What happened?\I told you, remember?\You can't use magic freely here.\Oh, you're right!\I feel kind of strange...\Okay then!\Let's go search for everyone! response:	Natsu, where exactly should we be searching?
context: What happened?\I told you, remember?\You can't use magic freely here.\Oh, you're right!\I feel kind of strange...\Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching? response:	Leave it to me!
context: I told you, remember?\You can't use magic freely here.\Oh, you're right!\I feel kind of strange...\Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me! response:	I can rely on my nose for something like...
context: You can't use magic freely here.\Oh, you're right!\I feel kind of strange...\Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like... response:	Huh?
context: Oh, you're right!\I feel kind of strange...\Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like...\Huh? response:	It's no use.
context: I feel kind of strange...\Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like...\Huh?\It's no use. response:	There's so many things I've never smelled before, I can't tell what's what.
context: Okay then!\Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like...\Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what. response:	You're right.
context: Let's go search for everyone!\Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like...\Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right. response:	The air tastes a little different, too...
context: Natsu, where exactly should we be searching?\Leave it to me!\I can rely on my nose for something like...\Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too... response:	Does that mean fire'll taste different, too?
context: Leave it to me!\I can rely on my nose for something like...\Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too? response:	Don't ask me, thank you.
context: I can rely on my nose for something like...\Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you. response:	And I'm hungry!
context: Huh?\It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry! response:	We should have packed lunches...
context: It's no use.\There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry!\We should have packed lunches... response:	Is this any time to be relaxed, people?!
context: There's so many things I've never smelled before, I can't tell what's what.\You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?! response:	Anyway, where are we walking toward?
context: You're right.\The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward? response:	Who knows...
context: The air tastes a little different, too...\Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows... response:	For now we'll walk, and we'll get somewhere eventually.
context: Does that mean fire'll taste different, too?\Don't ask me, thank you.\And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually. response:	That's not going to solve anything.
context: Don't ask me, thank you.\And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything. response:	We don't have any other way.
context: And I'm hungry!\We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way. response:	It can't be helped.
context: We should have packed lunches...\Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way.\It can't be helped. response:	Now look here, you!
context: Is this any time to be relaxed, people?!\Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way.\It can't be helped.\Now look here, you! response:	That was me, actually.
context: Anyway, where are we walking toward?\Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way.\It can't be helped.\Now look here, you!\That was me, actually. response:	Anyway, there's no one here...
context: Who knows...\For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way.\It can't be helped.\Now look here, you!\That was me, actually.\Anyway, there's no one here... response:	It's just one big forest.
context: For now we'll walk, and we'll get somewhere eventually.\That's not going to solve anything.\We don't have any other way.\It can't be helped.\Now look here, you!\That was me, actually.\Anyway, there's no one here...\It's just one big forest. response:	Even so, we need to get in disguises.
context: That's not going to solve anything.\We don't have any other way.\It can't be helped.\Now look here, you!\That was me, actually.\Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises. response:	Sure, but how?
context: We don't have any other way.\It can't be helped.\Now look here, you!\That was me, actually.\Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises.\Sure, but how? response:	Hey...
context: It can't be helped.\Now look here, you!\That was me, actually.\Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises.\Sure, but how?\Hey... response:	Natsu...
context: Now look here, you!\That was me, actually.\Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises.\Sure, but how?\Hey...\Natsu... response:	I really don't think so...
context: That was me, actually.\Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises.\Sure, but how?\Hey...\Natsu...\I really don't think so... response:	This isn't a disguise, it's camouflage!
context: Anyway, there's no one here...\It's just one big forest.\Even so, we need to get in disguises.\Sure, but how?\Hey...\Natsu...\I really don't think so...\This isn't a disguise, it's camouflage! response:	Whatever! What's important is that no one finds us, right?
context: It's just one big forest.\Even so, we need to get in disguises.\Sure, but how?\Hey...\Natsu...\I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right? response:	Don't sweat it.
context: Even so, we need to get in disguises.\Sure, but how?\Hey...\Natsu...\I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it. response:	This is kind of embarrassing...
context: Sure, but how?\Hey...\Natsu...\I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing... response:	I can't say much for your fashion sense, but the idea has its merits.
context: Hey...\Natsu...\I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits. response:	Really?
context: Natsu...\I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really? response:	I'm kind of hot...
context: I really don't think so...\This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot... response:	These leaves are stuffy.
context: This isn't a disguise, it's camouflage!\Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot...\These leaves are stuffy. response:	You're pitiful.
context: Whatever! What's important is that no one finds us, right?\Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot...\These leaves are stuffy.\You're pitiful. response:	Deal with it.
context: Don't sweat it.\This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot...\These leaves are stuffy.\You're pitiful.\Deal with it. response:	Aye...
context: This is kind of embarrassing...\I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot...\These leaves are stuffy.\You're pitiful.\Deal with it.\Aye... response:	It's that weird river from before!
context: I can't say much for your fashion sense, but the idea has its merits.\Really?\I'm kind of hot...\These leaves are stuffy.\You're pitiful.\Deal with it.\Aye...\It's that weird river from before! response:	I can't believe that a river is flowing into the sky!
context: Really?\I'm kind of hot...\These leaves are stuffy.\You're pitiful.\Deal with it.\Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky! response:	Oh, right! I was hungry!
context: I'm kind of hot...\These leaves are stuffy.\You're pitiful.\Deal with it.\Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry! response:	I said, deal with it!
context: These leaves are stuffy.\You're pitiful.\Deal with it.\Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it! response:	I bet that river is filled with yummy fish...
context: You're pitiful.\Deal with it.\Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish... response:	Look, over there!
context: Deal with it.\Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there! response:	It looks like an Edolas human.
context: Aye...\It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human. response:	Phew... He looks like us.
context: It's that weird river from before!\I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human.\Phew... He looks like us. response:	What did you imagine they'd look like?
context: I can't believe that a river is flowing into the sky!\Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like? response:	And he's fishing, of all things!
context: Oh, right! I was hungry!\I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things! response:	I'm jealous...
context: I said, deal with it!\I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous... response:	By the way, where's Natsu-san?
context: I bet that river is filled with yummy fish...\Look, over there!\It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san? response:	Yo!
context: Look, over there!\It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san?\Yo! response:	Got a sec?!
context: It looks like an Edolas human.\Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san?\Yo!\Got a sec?! response:	Natsu-san...
context: Phew... He looks like us.\What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san?\Yo!\Got a sec?!\Natsu-san... response:	What are you doing?!
context: What did you imagine they'd look like?\And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san?\Yo!\Got a sec?!\Natsu-san...\What are you doing?! response:	Yeah, that's definitely scary...
context: And he's fishing, of all things!\I'm jealous...\By the way, where's Natsu-san?\Yo!\Got a sec?!\Natsu-san...\What are you doing?!\Yeah, that's definitely scary... response:	I'm searching for this guild named Fairy Tail.
context: I'm jealous...\By the way, where's Natsu-san?\Yo!\Got a sec?!\Natsu-san...\What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail. response:	Have you seen them around somewhere?
context: By the way, where's Natsu-san?\Yo!\Got a sec?!\Natsu-san...\What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere? response:	Hey, wait!
context: Yo!\Got a sec?!\Natsu-san...\What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait! response:	What's wrong with him?
context: Got a sec?!\Natsu-san...\What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait!\What's wrong with him? response:	I just asked a little question...
context: Natsu-san...\What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait!\What's wrong with him?\I just asked a little question... response:	What were you thinking?
context: What are you doing?!\Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait!\What's wrong with him?\I just asked a little question...\What were you thinking? response:	You're wearing a weird outfit, then ask about Fairy Tail?
context: Yeah, that's definitely scary...\I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait!\What's wrong with him?\I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail? response:	How's he supposed to know what that means?
context: I'm searching for this guild named Fairy Tail.\Have you seen them around somewhere?\Hey, wait!\What's wrong with him?\I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means? response:	How else are we gonna find out where everyone is?
context: Have you seen them around somewhere?\Hey, wait!\What's wrong with him?\I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is? response:	Well, in that case...
context: Hey, wait!\What's wrong with him?\I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case... response:	If that man goes and reports to the Kingdom...
context: What's wrong with him?\I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom... response:	This camouflage is pointless, isn't it?
context: I just asked a little question...\What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it? response:	Anyway, we have to hurry and find everyone.
context: What were you thinking?\You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone. response:	Phew, finally cooled off.
context: You're wearing a weird outfit, then ask about Fairy Tail?\How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off. response:	Too bad that person didn't leave his fishing rod behind...
context: How's he supposed to know what that means?\How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind... response:	Did I do something?
context: How else are we gonna find out where everyone is?\Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something? response:	Anyway, that's a strange sound...
context: Well, in that case...\If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound... response:	Another fisherman?
context: If that man goes and reports to the Kingdom...\This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound...\Another fisherman? response:	All right! This time, I'll...
context: This camouflage is pointless, isn't it?\Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll... response:	You just don't learn, do you?
context: Anyway, we have to hurry and find everyone.\Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll...\You just don't learn, do you? response:	Look, it's a fish!
context: Phew, finally cooled off.\Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish! response:	All right!
context: Too bad that person didn't leave his fishing rod behind...\Did I do something?\Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish!\All right! response:	We'll catch it and have a meal...
context: Did I do something?\Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish!\All right!\We'll catch it and have a meal... response:	It's huge!
context: Anyway, that's a strange sound...\Another fisherman?\All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish!\All right!\We'll catch it and have a meal...\It's huge! response:	Looks delicious!
context: Another fisherman?\All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish!\All right!\We'll catch it and have a meal...\It's huge!\Looks delicious! response:	And huge!
context: All right! This time, I'll...\You just don't learn, do you?\Look, it's a fish!\All right!\We'll catch it and have a meal...\It's huge!\Looks delicious!\And huge! response:	Ooh, a big, strong fella!
context: You just don't learn, do you?\Look, it's a fish!\All right!\We'll catch it and have a meal...\It's huge!\Looks delicious!\And huge!\Ooh, a big, strong fella! response:	I'm gettin' fired up!
context: Look, it's a fish!\All right!\We'll catch it and have a meal...\It's huge!\Looks delicious!\And huge!\Ooh, a big, strong fella!\I'm gettin' fired up! response:	But Natsu-san... We have to get going before...
context: All right!\We'll catch it and have a meal...\It's huge!\Looks delicious!\And huge!\Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before... response:	I'll only need 3 seconds.
context: We'll catch it and have a meal...\It's huge!\Looks delicious!\And huge!\Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds. response:	Iron Fist of the Fire Dragon!
context: It's huge!\Looks delicious!\And huge!\Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon! response:	Huh?
context: Looks delicious!\And huge!\Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh? response:	Natsu-san!
context: And huge!\Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh?\Natsu-san! response:	Huh?
context: Ooh, a big, strong fella!\I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh?\Natsu-san!\Huh? response:	My fire don't work...
context: I'm gettin' fired up!\But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh?\Natsu-san!\Huh?\My fire don't work... response:	I told you, remember?
context: But Natsu-san... We have to get going before...\I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh?\Natsu-san!\Huh?\My fire don't work...\I told you, remember? response:	You can't use magic freely in Edolas!
context: I'll only need 3 seconds.\Iron Fist of the Fire Dragon!\Huh?\Natsu-san!\Huh?\My fire don't work...\I told you, remember?\You can't use magic freely in Edolas! response:	Which means...
context: Iron Fist of the Fire Dragon!\Huh?\Natsu-san!\Huh?\My fire don't work...\I told you, remember?\You can't use magic freely in Edolas!\Which means... response:	We run!
context: Huh?\Natsu-san!\Huh?\My fire don't work...\I told you, remember?\You can't use magic freely in Edolas!\Which means...\We run! response:	It's still chasing us!
context: Natsu-san!\Huh?\My fire don't work...\I told you, remember?\You can't use magic freely in Edolas!\Which means...\We run!\It's still chasing us! response:	Not being able to use magic is gonna be a real pain, isn't it?
context: Huh?\My fire don't work...\I told you, remember?\You can't use magic freely in Edolas!\Which means...\We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it? response:	It's a little late to realize that now, Natsu!
context: My fire don't work...\I told you, remember?\You can't use magic freely in Edolas!\Which means...\We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu! response:	Anyway, middle of the forest or not,
context: I told you, remember?\You can't use magic freely in Edolas!\Which means...\We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not, response:	isn't making such a big scene gonna get us in trouble?
context: You can't use magic freely in Edolas!\Which means...\We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble? response:	Tell that to the giant catfish!
context: Which means...\We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish! response:	Oh, crap!
context: We run!\It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap! response:	It's a dead-end!
context: It's still chasing us!\Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap!\It's a dead-end! response:	Happy, fly me!
context: Not being able to use magic is gonna be a real pain, isn't it?\It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap!\It's a dead-end!\Happy, fly me! response:	I can't use magic, remember?
context: It's a little late to realize that now, Natsu!\Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap!\It's a dead-end!\Happy, fly me!\I can't use magic, remember? response:	Dang!
context: Anyway, middle of the forest or not,\isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap!\It's a dead-end!\Happy, fly me!\I can't use magic, remember?\Dang! response:	This is what happens when we can't use magic?!
context: isn't making such a big scene gonna get us in trouble?\Tell that to the giant catfish!\Oh, crap!\It's a dead-end!\Happy, fly me!\I can't use magic, remember?\Dang!\This is what happens when we can't use magic?! response:	Is everyone okay?
context: Tell that to the giant catfish!\Oh, crap!\It's a dead-end!\Happy, fly me!\I can't use magic, remember?\Dang!\This is what happens when we can't use magic?!\Is everyone okay? response:	I'm hungry, but otherwise still alive.
context: Oh, crap!\It's a dead-end!\Happy, fly me!\I can't use magic, remember?\Dang!\This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive. response:	Give it a rest already, okay?
context: It's a dead-end!\Happy, fly me!\I can't use magic, remember?\Dang!\This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay? response:	We're not in disguise, so don't cause any more commotion!
context: Happy, fly me!\I can't use magic, remember?\Dang!\This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion! response:	Carla...
context: I can't use magic, remember?\Dang!\This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla... response:	My fault? Really?
context: Dang!\This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really? response:	Not entirely, but for the most part!
context: This is what happens when we can't use magic?!\Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really?\Not entirely, but for the most part! response:	I don't know what the Kingdom would do if they found out we're here.
context: Is everyone okay?\I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here. response:	In that case, I couldn't predict what would happen to us,
context: I'm hungry, but otherwise still alive.\Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us, response:	let alone whether we'd be able to save everyone!
context: Give it a rest already, okay?\We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone! response:	I-I see...
context: We're not in disguise, so don't cause any more commotion!\Carla...\My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see... response:	I don't really understand, but it's my fault, I guess...
context: Carla...\My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess... response:	What don't you understand about it?
context: My fault? Really?\Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess...\What don't you understand about it? response:	Carla, you're going too far.
context: Not entirely, but for the most part!\I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess...\What don't you understand about it?\Carla, you're going too far. response:	Natsu-san didn't mean to do any harm.
context: I don't know what the Kingdom would do if they found out we're here.\In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess...\What don't you understand about it?\Carla, you're going too far.\Natsu-san didn't mean to do any harm. response:	If he meant it, that'd make it even worse!
context: In that case, I couldn't predict what would happen to us,\let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess...\What don't you understand about it?\Carla, you're going too far.\Natsu-san didn't mean to do any harm.\If he meant it, that'd make it even worse! response:	Stuff happens in life, you know, Natsu?
context: let alone whether we'd be able to save everyone!\I-I see...\I don't really understand, but it's my fault, I guess...\What don't you understand about it?\Carla, you're going too far.\Natsu-san didn't mean to do any harm.\If he meant it, that'd make it even worse!\Stuff happens in life, you know, Natsu? response:	That's not cheering me up, Happy.
