context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Calming Gold
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold response:	Come on! Please get up.
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Come on! Please get up. response:	You're going to be late.
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Come on! Please get up.\You're going to be late. response:	Sakura!
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Calming Gold\Come on! Please get up.\You're going to be late.\Sakura! response:	I don't need to.
context: Calming Gold\Calming Gold\Calming Gold\Calming Gold\Come on! Please get up.\You're going to be late.\Sakura!\I don't need to. response:	Jeez! Get out of bed already!
context: Calming Gold\Calming Gold\Calming Gold\Come on! Please get up.\You're going to be late.\Sakura!\I don't need to.\Jeez! Get out of bed already! response:	Now go get dressed!
context: Calming Gold\Calming Gold\Come on! Please get up.\You're going to be late.\Sakura!\I don't need to.\Jeez! Get out of bed already!\Now go get dressed! response:	I only transferred to this school so I'd have more opportunities to attack you, Mirai.
context: Calming Gold\Come on! Please get up.\You're going to be late.\Sakura!\I don't need to.\Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai. response:	With that reason no longer valid, I see no need to
context: Come on! Please get up.\You're going to be late.\Sakura!\I don't need to.\Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to response:	Here! Your uniform.
context: You're going to be late.\Sakura!\I don't need to.\Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform. response:	Listen!
context: Sakura!\I don't need to.\Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform.\Listen! response:	We don't have time to talk.
context: I don't need to.\Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform.\Listen!\We don't have time to talk. response:	Look at this! Your hair is such a mess!
context: Jeez! Get out of bed already!\Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform.\Listen!\We don't have time to talk.\Look at this! Your hair is such a mess! response:	Mirai, you have no room to talk.
context: Now go get dressed!\I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform.\Listen!\We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk. response:	And look down.
context: I only transferred to this school so I'd have more opportunities to attack you, Mirai.\With that reason no longer valid, I see no need to\Here! Your uniform.\Listen!\We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down. response:	How unpleasant.
context: With that reason no longer valid, I see no need to\Here! Your uniform.\Listen!\We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down.\How unpleasant. response:	Good night!
context: Here! Your uniform.\Listen!\We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down.\How unpleasant.\Good night! response:	No going back to sleep!
context: Listen!\We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down.\How unpleasant.\Good night!\No going back to sleep! response:	And that's why you're late?
context: We don't have time to talk.\Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down.\How unpleasant.\Good night!\No going back to sleep!\And that's why you're late? response:	Yes... It was by no means my fault!
context: Look at this! Your hair is such a mess!\Mirai, you have no room to talk.\And look down.\How unpleasant.\Good night!\No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault! response:	If Sakura had gotten out of bed faster
context: Mirai, you have no room to talk.\And look down.\How unpleasant.\Good night!\No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster response:	Ow, ow, ow!
context: And look down.\How unpleasant.\Good night!\No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow! response:	It's surprisingly stubborn.
context: How unpleasant.\Good night!\No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn. response:	Please stop trying to force the knot out!
context: Good night!\No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out! response:	Hey!
context: No going back to sleep!\And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey! response:	Senpai?
context: And that's why you're late?\Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey!\Senpai? response:	Taking a morning nap?
context: Yes... It was by no means my fault!\If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey!\Senpai?\Taking a morning nap? response:	Senpai?
context: If Sakura had gotten out of bed faster\Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey!\Senpai?\Taking a morning nap?\Senpai? response:	A-Are you all right?
context: Ow, ow, ow!\It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey!\Senpai?\Taking a morning nap?\Senpai?\A-Are you all right? response:	Yeah... Sorry.
context: It's surprisingly stubborn.\Please stop trying to force the knot out!\Hey!\Senpai?\Taking a morning nap?\Senpai?\A-Are you all right?\Yeah... Sorry. response:	What the heck do you think you're doing?!
context: Please stop trying to force the knot out!\Hey!\Senpai?\Taking a morning nap?\Senpai?\A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?! response:	An accident.
context: Hey!\Senpai?\Taking a morning nap?\Senpai?\A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?!\An accident. response:	Do you think that those are magic words that can get you out of anything?!
context: Senpai?\Taking a morning nap?\Senpai?\A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?! response:	That hurts.
context: Taking a morning nap?\Senpai?\A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts. response:	And look.
context: Senpai?\A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts.\And look. response:	Senpai?
context: A-Are you all right?\Yeah... Sorry.\What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts.\And look.\Senpai? response:	Oh, I fell right back asleep.
context: Yeah... Sorry.\What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts.\And look.\Senpai?\Oh, I fell right back asleep. response:	Is something wrong?
context: What the heck do you think you're doing?!\An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts.\And look.\Senpai?\Oh, I fell right back asleep.\Is something wrong? response:	Were you up all night?
context: An accident.\Do you think that those are magic words that can get you out of anything?!\That hurts.\And look.\Senpai?\Oh, I fell right back asleep.\Is something wrong?\Were you up all night? response:	Well...
context: Do you think that those are magic words that can get you out of anything?!\That hurts.\And look.\Senpai?\Oh, I fell right back asleep.\Is something wrong?\Were you up all night?\Well... response:	To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.
context: That hurts.\And look.\Senpai?\Oh, I fell right back asleep.\Is something wrong?\Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses. response:	What a way to spent seven hours...
context: And look.\Senpai?\Oh, I fell right back asleep.\Is something wrong?\Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours... response:	Sparkle!
context: Senpai?\Oh, I fell right back asleep.\Is something wrong?\Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle! response:	Whoa! You took me completely by surprise!
context: Oh, I fell right back asleep.\Is something wrong?\Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise! response:	The train is here.
context: Is something wrong?\Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise!\The train is here. response:	Finals are just around the corner.
context: Were you up all night?\Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner. response:	So it's obvious why we're reviewing this page in class, isn't it?
context: Well...\To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it? response:	Sakura! Sakura!
context: To be honest, I spent seven hours debating whether you would look better in green-framed or rimless glasses.\What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura! response:	Sakura!
context: What a way to spent seven hours...\Sparkle!\Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura! response:	Here I am, going out of my way to help you,
context: Sparkle!\Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you, response:	but every now and then some people don't show any appreciation for...
context: Whoa! You took me completely by surprise!\The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for... response:	Sakura!
context: The train is here.\Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura! response:	Oh, I'll be taking a week off for personal reasons starting tomorrow.
context: Finals are just around the corner.\So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow. response:	If you have any questions, you'd better ask them today!
context: So it's obvious why we're reviewing this page in class, isn't it?\Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today! response:	Personal reasons? Are you getting married?
context: Sakura! Sakura!\Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married? response:	Die! Then revive and die a million times!
context: Sakura!\Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times! response:	That's brutal!
context: Here I am, going out of my way to help you,\but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal! response:	You do realize that's verbal abuse, don't you?
context: but every now and then some people don't show any appreciation for...\Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you? response:	Then I'll claim sexual harassment!
context: Sakura!\Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment! response:	Don't think I'll go easy on you just because you're a high schooler!
context: Oh, I'll be taking a week off for personal reasons starting tomorrow.\If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler! response:	She's taking it way too seriously.
context: If you have any questions, you'd better ask them today!\Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously. response:	The Calm is coming.
context: Personal reasons? Are you getting married?\Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming. response:	That's what's happening.
context: Die! Then revive and die a million times!\That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming.\That's what's happening. response:	The Calm...
context: That's brutal!\You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming.\That's what's happening.\The Calm... response:	Yup! At long last, the Calm is coming!
context: You do realize that's verbal abuse, don't you?\Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming.\That's what's happening.\The Calm...\Yup! At long last, the Calm is coming! response:	But there's, like, something more important right now.
context: Then I'll claim sexual harassment!\Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming.\That's what's happening.\The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now. response:	Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.
context: Don't think I'll go easy on you just because you're a high schooler!\She's taking it way too seriously.\The Calm is coming.\That's what's happening.\The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow. response:	I'm, like, steaming mad!
context: She's taking it way too seriously.\The Calm is coming.\That's what's happening.\The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad! response:	I was, like, so upset that I couldn't even eat my sunflower seeds!
context: The Calm is coming.\That's what's happening.\The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds! response:	It's amazing that she has a new character to play with every postcard she sends.
context: That's what's happening.\The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends. response:	They're all kind of the same, though.
context: The Calm...\Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though. response:	Quit calmly analyzing her!
context: Yup! At long last, the Calm is coming!\But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her! response:	And Kuriyama-san, why are you dressed up like that?
context: But there's, like, something more important right now.\Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that? response:	I-I was in the middle of work!
context: Akkun, I heard that you, like, broke your promise with me and approached the Hollow Shadow.\I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work! response:	I never thought I'd ever have to wear something like this.
context: I'm, like, steaming mad!\I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this. response:	Thank goodness I had Sakura head home without me.
context: I was, like, so upset that I couldn't even eat my sunflower seeds!\It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me. response:	How unpleasant.
context: It's amazing that she has a new character to play with every postcard she sends.\They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant. response:	So unpleasant!
context: They're all kind of the same, though.\Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant! response:	So Akkun, when did you, like, turn into such a little delinquent?
context: Quit calmly analyzing her!\And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent? response:	When I borrowed a dirty magazine from a friend, you went behind my back
context: And Kuriyama-san, why are you dressed up like that?\I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back response:	and tore out the page that had a nude model wearing glasses.
context: I-I was in the middle of work!\I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses. response:	It became your treasure!
context: I never thought I'd ever have to wear something like this.\Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure! response:	Where has my pure-hearted, darling Akkun gone?
context: Thank goodness I had Sakura head home without me.\How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone? response:	I'm, like, devastated.
context: How unpleasant.\So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated. response:	She isn't making the right sound!
context: So unpleasant!\So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound! response:	It's the small things like this that show her age.
context: So Akkun, when did you, like, turn into such a little delinquent?\When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age. response:	Like I said, quit calmly analyzing her!
context: When I borrowed a dirty magazine from a friend, you went behind my back\and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her! response:	I-I'm gonna run out of time if I keep this up!
context: and tore out the page that had a nude model wearing glasses.\It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up! response:	Now, to get to the heart of this letter.
context: It became your treasure!\Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter. response:	The Calm is coming!
context: Where has my pure-hearted, darling Akkun gone?\I'm, like, devastated.\She isn't making the right sound!\It's the small things like this that show her age.\Like I said, quit calmly analyzing her!\I-I'm gonna run out of time if I keep this up!\Now, to get to the heart of this letter.\The Calm is coming! response:	The Calm is, like, coming!
