context: A fireworks festival. response:	Going out with friends!
context: I was gonna ask you out, but you asked me instead!\Right back at you!\Ow...\Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either. response:	Not until Arata gave me a push.
context: Right back at you!\Ow...\Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push. response:	I thought that without you, everything would be so boring.
context: Ow...\Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring. response:	The idea of someone else touching you... was just not okay.
context: Sorry.\I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay. response:	I only realized this recently.
context: I've never really talked about these things with friends.\I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently. response:	But I think...
context: I think I'm not good at picking up on things.\I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think... response:	Oh, man! That was really embarrassing!
context: I had no idea you felt that way.\I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think...\Oh, man! That was really embarrassing! response:	Don't get embarrassed on a delay! You're making me blush!
context: I didn't notice how I felt, either.\Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush! response:	Are these fireworks starting soon?
context: Not until Arata gave me a push.\I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon? response:	I think so.
context: I thought that without you, everything would be so boring.\The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so. response:	Um...
context: The idea of someone else touching you... was just not okay.\I only realized this recently.\But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so.\Um... response:	Kariu-san.
context: I only realized this recently.\But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so.\Um...\Kariu-san. response:	Do you mind...
context: But I think...\Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so.\Um...\Kariu-san.\Do you mind... response:	Oh, Asaji-kun!
context: Oh, man! That was really embarrassing!\Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so.\Um...\Kariu-san.\Do you mind...\Oh, Asaji-kun! response:	You brought a sheet!
context: Don't get embarrassed on a delay! You're making me blush!\Are these fireworks starting soon?\I think so.\Um...\Kariu-san.\Do you mind...\Oh, Asaji-kun!\You brought a sheet! response:	Sit down!
context: Are these fireworks starting soon?\I think so.\Um...\Kariu-san.\Do you mind...\Oh, Asaji-kun!\You brought a sheet!\Sit down! response:	A mosquito just bit me.
context: I think so.\Um...\Kariu-san.\Do you mind...\Oh, Asaji-kun!\You brought a sheet!\Sit down!\A mosquito just bit me. response:	Here, medicine. Need some bug repellent?
context: Um...\Kariu-san.\Do you mind...\Oh, Asaji-kun!\You brought a sheet!\Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent? response:	What? Asaji-kun, are you our mom?
context: Kariu-san.\Do you mind...\Oh, Asaji-kun!\You brought a sheet!\Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom? response:	Huh? Where are Kaizaki-san and Hishiro-san?
context: Do you mind...\Oh, Asaji-kun!\You brought a sheet!\Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san? response:	Oh, yeah... who knows?
context: Oh, Asaji-kun!\You brought a sheet!\Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows? response:	Oh... but the fireworks are starting!
context: You brought a sheet!\Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting! response:	Tama, you need bug spray?
context: Sit down!\A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray? response:	Yep!
context: A mosquito just bit me.\Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep! response:	Huh? Where'd Yoake-kun and...
context: Here, medicine. Need some bug repellent?\What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and... response:	But I guess for you, this is your first and last summer!
context: What? Asaji-kun, are you our mom?\Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer! response:	They set me up, too?!
context: Huh? Where are Kaizaki-san and Hishiro-san?\Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?! response:	Attention. Fireworks will begin soon.
context: Oh, yeah... who knows?\Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon. response:	Man, we're really boxed in here.
context: Oh... but the fireworks are starting!\Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here. response:	Please enjoy the beautiful fireworks against the clear summer sky.
context: Tama, you need bug spray?\Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky. response:	Hishiro-san, wanna just watch from here?
context: Yep!\Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here? response:	Sure.
context: Huh? Where'd Yoake-kun and...\But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure. response:	Ryo...
context: But I guess for you, this is your first and last summer!\They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure.\Ryo... response:	Is he a friend of yours, Kaizaki-san?
context: They set me up, too?!\Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure.\Ryo...\Is he a friend of yours, Kaizaki-san? response:	I've seen you talk at school, too.
context: Attention. Fireworks will begin soon.\Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure.\Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too. response:	Sure, I guess.
context: Man, we're really boxed in here.\Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure.\Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess. response:	I guess we're friends.
context: Please enjoy the beautiful fireworks against the clear summer sky.\Hishiro-san, wanna just watch from here?\Sure.\Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess.\I guess we're friends. response:	I see.
context: Hishiro-san, wanna just watch from here?\Sure.\Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess.\I guess we're friends.\I see. response:	Kaizaki-san, you make friends with everybody very easily.
context: Sure.\Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess.\I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily. response:	In April, you'd just enrolled,
context: Ryo...\Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess.\I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled, response:	but you were already surrounded by friends.
context: Is he a friend of yours, Kaizaki-san?\I've seen you talk at school, too.\Sure, I guess.\I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends. response:	I remember seeing that and clearly thinking,
context: I've seen you talk at school, too.\Sure, I guess.\I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking, response:	I've got to try harder.
context: Sure, I guess.\I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder. response:	Hishiro-san, you're here with everyone, too.
context: I guess we're friends.\I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too. response:	Seeing the fireworks.
context: I see.\Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks. response:	Except we got separated.
context: Kaizaki-san, you make friends with everybody very easily.\In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated. response:	You're surrounded by friends, too, Hishiro-san.
context: In April, you'd just enrolled,\but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san. response:	You've tried plenty hard.
context: but you were already surrounded by friends.\I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard. response:	Thank you.
context: I remember seeing that and clearly thinking,\I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you. response:	The credit is mostly yours.
context: I've got to try harder.\Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you.\The credit is mostly yours. response:	I'm really glad I met you.
context: Hishiro-san, you're here with everyone, too.\Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you.\The credit is mostly yours.\I'm really glad I met you. response:	Gorgeous!
context: Seeing the fireworks.\Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you.\The credit is mostly yours.\I'm really glad I met you.\Gorgeous! response:	Beautiful.
context: Except we got separated.\You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you.\The credit is mostly yours.\I'm really glad I met you.\Gorgeous!\Beautiful. response:	Yeah.
context: You're surrounded by friends, too, Hishiro-san.\You've tried plenty hard.\Thank you.\The credit is mostly yours.\I'm really glad I met you.\Gorgeous!\Beautiful.\Yeah. response:	But I'm so focused on my left hand, I can barely watch the fireworks!
context: You've tried plenty hard.\Thank you.\The credit is mostly yours.\I'm really glad I met you.\Gorgeous!\Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks! response:	But I'm so focused on my right hand, I can barely watch the fireworks!
context: Thank you.\The credit is mostly yours.\I'm really glad I met you.\Gorgeous!\Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks! response:	I'm really glad I met you.
context: The credit is mostly yours.\I'm really glad I met you.\Gorgeous!\Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you. response:	What did she mean by that?
context: I'm really glad I met you.\Gorgeous!\Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that? response:	No, no, she meant nothing more.
context: Gorgeous!\Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more. response:	If she felt like it, Hishiro-san would totally say that to anyone!
context: Beautiful.\Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone! response:	It doesn't mean anything.
context: Yeah.\But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything. response:	Thanks.
context: But I'm so focused on my left hand, I can barely watch the fireworks!\But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks. response:	For thinking of me that way.
context: But I'm so focused on my right hand, I can barely watch the fireworks!\I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks.\For thinking of me that way. response:	That alone...
context: I'm really glad I met you.\What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks.\For thinking of me that way.\That alone... response:	Though you'll forget me.
context: What did she mean by that?\No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks.\For thinking of me that way.\That alone...\Though you'll forget me. response:	They're lovely.
context: No, no, she meant nothing more.\If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks.\For thinking of me that way.\That alone...\Though you'll forget me.\They're lovely. response:	But there's something a little sad about them, too.
context: If she felt like it, Hishiro-san would totally say that to anyone!\It doesn't mean anything.\Thanks.\For thinking of me that way.\That alone...\Though you'll forget me.\They're lovely.\But there's something a little sad about them, too. response:	There is?
context: It doesn't mean anything.\Thanks.\For thinking of me that way.\That alone...\Though you'll forget me.\They're lovely.\But there's something a little sad about them, too.\There is? response:	They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.
context: Thanks.\For thinking of me that way.\That alone...\Though you'll forget me.\They're lovely.\But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely. response:	You're an illusion that's meant to fade away.
context: For thinking of me that way.\That alone...\Though you'll forget me.\They're lovely.\But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away. response:	When the experiment ends,
context: That alone...\Though you'll forget me.\They're lovely.\But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends, response:	so will this life.
context: Though you'll forget me.\They're lovely.\But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends,\so will this life. response:	They'll forget me.
context: They're lovely.\But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends,\so will this life.\They'll forget me. response:	Including Hishiro-san.
context: But there's something a little sad about them, too.\There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends,\so will this life.\They'll forget me.\Including Hishiro-san. response:	They'll all forget me.
context: There is?\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends,\so will this life.\They'll forget me.\Including Hishiro-san.\They'll all forget me. response:	They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.
context: They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\You're an illusion that's meant to fade away.\When the experiment ends,\so will this life.\They'll forget me.\Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely. response:	Hishiro-san, you're here with everyone.
context: You're an illusion that's meant to fade away.\When the experiment ends,\so will this life.\They'll forget me.\Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone. response:	Surrounded by friends.
context: When the experiment ends,\so will this life.\They'll forget me.\Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends. response:	You've tried plenty hard.
context: so will this life.\They'll forget me.\Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard. response:	I'm glad I met you.
context: They'll forget me.\Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard.\I'm glad I met you. response:	If you know you'll be separated... it kind of seems pointless.
context: Including Hishiro-san.\They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless. response:	A confession?
context: They'll all forget me.\They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession? response:	Ryo was in my class last year.
context: They're so flashy, pretty, and exciting, but as they fade, you feel sort of lonely.\Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year. response:	He told me to call him that.
context: Hishiro-san, you're here with everyone.\Surrounded by friends.\You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year.\He told me to call him that. response:	It's not often that you start a conversation.
context: Surrounded by friends.\You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation. response:	Yes. Kariu-san and Tamarai-san gave them to me.
context: You've tried plenty hard.\I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me. response:	It's not often that you start a conversation.
context: I'm glad I met you.\If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation. response:	It's all thanks to you, Hishiro!
context: If you know you'll be separated... it kind of seems pointless.\A confession?\Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro! response:	I did that. I don't recommend it.
context: A confession?\Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it. response:	They're all irreplaceable.
context: Ryo was in my class last year.\He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable. response:	You can't turn back.
context: He told me to call him that.\It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back. response:	Don't give up like I did.
context: It's not often that you start a conversation.\Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back.\Don't give up like I did. response:	Let's get revenge.
context: Yes. Kariu-san and Tamarai-san gave them to me.\It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back.\Don't give up like I did.\Let's get revenge. response:	Fight on!
context: It's not often that you start a conversation.\It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back.\Don't give up like I did.\Let's get revenge.\Fight on! response:	Together.
context: It's all thanks to you, Hishiro!\I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back.\Don't give up like I did.\Let's get revenge.\Fight on!\Together. response:	You're in my class?
context: I did that. I don't recommend it.\They're all irreplaceable.\You can't turn back.\Don't give up like I did.\Let's get revenge.\Fight on!\Together.\You're in my class? response:	I'm changing.
context: They're all irreplaceable.\You can't turn back.\Don't give up like I did.\Let's get revenge.\Fight on!\Together.\You're in my class?\I'm changing. response:	You have more friends.
context: You can't turn back.\Don't give up like I did.\Let's get revenge.\Fight on!\Together.\You're in my class?\I'm changing.\You have more friends. response:	I forgive you. After all, we're friends.
context: Don't give up like I did.\Let's get revenge.\Fight on!\Together.\You're in my class?\I'm changing.\You have more friends.\I forgive you. After all, we're friends. response:	Can I have...
context: Let's get revenge.\Fight on!\Together.\You're in my class?\I'm changing.\You have more friends.\I forgive you. After all, we're friends.\Can I have... response:	A friendly smile.
context: Fight on!\Together.\You're in my class?\I'm changing.\You have more friends.\I forgive you. After all, we're friends.\Can I have...\A friendly smile. response:	Out in the real world...
context: Together.\You're in my class?\I'm changing.\You have more friends.\I forgive you. After all, we're friends.\Can I have...\A friendly smile.\Out in the real world... response:	That's my seat.
context: You're in my class?\I'm changing.\You have more friends.\I forgive you. After all, we're friends.\Can I have...\A friendly smile.\Out in the real world...\That's my seat. response:	Congratulations!
context: I'm changing.\You have more friends.\I forgive you. After all, we're friends.\Can I have...\A friendly smile.\Out in the real world...\That's my seat.\Congratulations! response:	You've been selected as the ReLIFE Laboratory Kanto Branch's
context: You have more friends.\I forgive you. After all, we're friends.\Can I have...\A friendly smile.\Out in the real world...\That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's response:	test subject no. 001!
context: I forgive you. After all, we're friends.\Can I have...\A friendly smile.\Out in the real world...\That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001! response:	Nice to meet you, Hishiro Chizuru-san.
context: Can I have...\A friendly smile.\Out in the real world...\That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san. response:	After the ReLIFE period ends,
context: A friendly smile.\Out in the real world...\That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends, response:	classmates, teachers, and anyone you dealt with will forget about you.
context: Out in the real world...\That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you. response:	The more fun I have, the more it'll hurt when we part ways.
context: That's my seat.\Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways. response:	I know that all too well.
context: Congratulations!\You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well. response:	I know this is a bad idea.
context: You've been selected as the ReLIFE Laboratory Kanto Branch's\test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea. response:	Kaizaki-san, you're like the fireworks.
context: test subject no. 001!\Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks. response:	What?
context: Nice to meet you, Hishiro Chizuru-san.\After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What? response:	Nothing, never mind.
context: After the ReLIFE period ends,\classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind. response:	Hishiro-san, look!
context: classmates, teachers, and anyone you dealt with will forget about you.\The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind.\Hishiro-san, look! response:	Kaizaki-san...
context: The more fun I have, the more it'll hurt when we part ways.\I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind.\Hishiro-san, look!\Kaizaki-san... response:	That face is really creepy.
context: I know that all too well.\I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind.\Hishiro-san, look!\Kaizaki-san...\That face is really creepy. response:	Huh?
context: I know this is a bad idea.\Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind.\Hishiro-san, look!\Kaizaki-san...\That face is really creepy.\Huh? response:	That was so much fun! Oga-kun, thank you!
context: Kaizaki-san, you're like the fireworks.\What?\Nothing, never mind.\Hishiro-san, look!\Kaizaki-san...\That face is really creepy.\Huh?\That was so much fun! Oga-kun, thank you! response:	No, thank you.
context: What?\Nothing, never mind.\Hishiro-san, look!\Kaizaki-san...\That face is really creepy.\Huh?\That was so much fun! Oga-kun, thank you!\No, thank you. response:	See ya!
