context: This is justice! response:	In response to the cowardly act of the Terrans who turned on Princess Asseylum,
context: They've been up there in the Satellite Belt looking down on us ever since!\I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her. response:	You're a real softie, aren't you? Showing concern for the enemy?
context: I'll make them pay! For Okojo and every other Terran who was killed!\Martian sons of bitches...\About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy? response:	She isn't the enemy.
context: Martian sons of bitches...\About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy. response:	The enemy is the people who tried to assassinate her.
context: About earlier...\What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her. response:	If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.
context: What will you do? Keep her secret?\In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ. response:	And you?
context: In an extreme situation where there's no telling when an enemy will come,\human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you? response:	Rayet.
context: human beings aren't known for remaining calm and rational.\If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet. response:	My name. It's Rayet Areash.
context: If they found out that she's a Martian, there's no telling what might happen to her.\You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet.\My name. It's Rayet Areash. response:	What about you, Rayet?
context: You're a real softie, aren't you? Showing concern for the enemy?\She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet.\My name. It's Rayet Areash.\What about you, Rayet? response:	I'll make no guarantees.
context: She isn't the enemy.\The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet.\My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees. response:	If I think we're in danger, I'll spill everything.
context: The enemy is the people who tried to assassinate her.\If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet.\My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything. response:	Martians are all the enemy.
context: If what she says is true, we need to deliver her... Seylum, safely to United Earth HQ.\And you?\Rayet.\My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy. response:	Sir Trillram... is dead, you say?
context: And you?\Rayet.\My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say? response:	Yes, Milord. He was caught in the meteor bombardment.
context: Rayet.\My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment. response:	Swine... To think one of us would target my occupied territory under the cover of the battle!
context: My name. It's Rayet Areash.\What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle! response:	Have they no honor as a fellow Orbital Knight with a common goal?
context: What about you, Rayet?\I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal? response:	Very well. Sooner or later, I shall uncover his identity and mete out his punishment.
context: I'll make no guarantees.\If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment. response:	Summon Vlad!
context: If I think we're in danger, I'll spill everything.\Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad! response:	Hunt down the remnant Terrans and burn this place to ashes!
context: Martians are all the enemy.\Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes! response:	We shall avenge Her Highness!
context: Sir Trillram... is dead, you say?\Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness! response:	Milord Count.
context: Yes, Milord. He was caught in the meteor bombardment.\Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count. response:	About Princess Asseylum...
context: Swine... To think one of us would target my occupied territory under the cover of the battle!\Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count.\About Princess Asseylum... response:	That's why I'm going to kill her and make certain this time!
context: Have they no honor as a fellow Orbital Knight with a common goal?\Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time! response:	What?
context: Very well. Sooner or later, I shall uncover his identity and mete out his punishment.\Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What? response:	Nothing, Milord. Inflicting further devastation upon a previously conquered area...
context: Summon Vlad!\Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area... response:	Given Princess Asseylum's sentiments, might that not be...
context: Hunt down the remnant Terrans and burn this place to ashes!\We shall avenge Her Highness!\Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be... response:	Oh. You imply that you wish to have some say in avenging her?
context: We shall avenge Her Highness!\Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her? response:	Know your place, Terran!
context: Milord Count.\About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran! response:	You think yourself worthy of doing battle at Vers' side?
context: About Princess Asseylum...\That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side? response:	For 15 long years, we Orbital Knights ingloriously looked out at the Earth
context: That's why I'm going to kill her and make certain this time!\What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth response:	from the shattered Moon, yearning for the day we would reach out and take it!
context: What?\Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it! response:	With her death, the Princess has made that cherished dream a reality!
context: Nothing, Milord. Inflicting further devastation upon a previously conquered area...\Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality! response:	This battle belongs to the Orbital Knights. It is no concern of yours!
context: Given Princess Asseylum's sentiments, might that not be...\Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours! response:	He's trying to exploit the Princess' death, too.
context: Oh. You imply that you wish to have some say in avenging her?\Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too. response:	Trillram was an invited guest at Castle Cruhteo...
context: Know your place, Terran!\You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo... response:	If we let her live, my entire clan and its followers will be branded as traitors!
context: You think yourself worthy of doing battle at Vers' side?\For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors! response:	We... This assassination conspiracy has a ringleader.
context: For 15 long years, we Orbital Knights ingloriously looked out at the Earth\from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader. response:	Count Cruhteo? No, it couldn't be...
context: from the shattered Moon, yearning for the day we would reach out and take it!\With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be... response:	What should I do?
context: With her death, the Princess has made that cherished dream a reality!\This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do? response:	Power down engines!
context: This battle belongs to the Orbital Knights. It is no concern of yours!\He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines! response:	Power down engines!
context: He's trying to exploit the Princess' death, too.\Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines!\Power down engines! response:	Captain Magbaredge!
context: Trillram was an invited guest at Castle Cruhteo...\If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines!\Power down engines!\Captain Magbaredge! response:	I'm glad you're safe! We've been waiting for you!
context: If we let her live, my entire clan and its followers will be branded as traitors!\We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines!\Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you! response:	Commander Nakabayashi. Good work. Where's everyone else?
context: We... This assassination conspiracy has a ringleader.\Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines!\Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else? response:	The amphibious assault craft Wadatsumi is currently taking a longer, safer route.
context: Count Cruhteo? No, it couldn't be...\What should I do?\Power down engines!\Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route. response:	The seas are a mess thanks to that meteor bombardment.
context: What should I do?\Power down engines!\Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment. response:	On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.
context: Power down engines!\Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon. response:	We are here to support you and defend the refugees until the Wadatsumi arrives.
context: Power down engines!\Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives. response:	That's a big help.
context: Captain Magbaredge!\I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help. response:	Still... this place was abandoned, wasn't it?
context: I'm glad you're safe! We've been waiting for you!\Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it? response:	Even though there's been no damage to this area yet.
context: Commander Nakabayashi. Good work. Where's everyone else?\The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet. response:	Yes, ma'am.
context: The amphibious assault craft Wadatsumi is currently taking a longer, safer route.\The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am. response:	It's a wise decision.
context: The seas are a mess thanks to that meteor bombardment.\On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision. response:	Digging in only makes the damage worse. The best thing is to bug out.
context: On XO Mizusaki's orders, we went ahead in Craft 1 with Appaloosa Platoon.\We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out. response:	Exactly the opinion I'd expect from someone who lived through the war 15 years ago.
context: We are here to support you and defend the refugees until the Wadatsumi arrives.\That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago. response:	We'll wait for the Wadatsumi to arrive.
context: That's a big help.\Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive. response:	Have anyone who isn't busy help with resupplying the landing craft.
context: Still... this place was abandoned, wasn't it?\Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft. response:	Understood.
context: Even though there's been no damage to this area yet.\Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood. response:	We'll leave your rations here!
context: Yes, ma'am.\It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here! response:	Thanks.
context: It's a wise decision.\Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here!\Thanks. response:	It's unusual for you to offer to help out, Calm.
context: Digging in only makes the damage worse. The best thing is to bug out.\Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm. response:	Yeah, you always played hooky from military drills.
context: Exactly the opinion I'd expect from someone who lived through the war 15 years ago.\We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills. response:	That was then.
context: We'll wait for the Wadatsumi to arrive.\Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then. response:	Now, I'll do anything if it means wiping out the Martians.
context: Have anyone who isn't busy help with resupplying the landing craft.\Understood.\We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians. response:	I've set up a three-shift perimeter watch.
context: Understood.\We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch. response:	Any word from the Wadatsumi?
context: We'll leave your rations here!\Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi? response:	No, the jamming's too intense.
context: Thanks.\It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense. response:	I can't believe a signal can't cross a few dozen miles.
context: It's unusual for you to offer to help out, Calm.\Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles. response:	We'll continue scanning.
context: Yeah, you always played hooky from military drills.\That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning. response:	Appaloosa Leader, this is Appaloosa 33.
context: That was then.\Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33. response:	Have located friendly unit. Appears to be damaged.
context: Now, I'll do anything if it means wiping out the Martians.\I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged. response:	What's the matter, Appaloosa 33?
context: I've set up a three-shift perimeter watch.\Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33? response:	What's that?
context: Any word from the Wadatsumi?\No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that? response:	We're under attack!
context: No, the jamming's too intense.\I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that?\We're under attack! response:	What the hell?
context: I can't believe a signal can't cross a few dozen miles.\We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that?\We're under attack!\What the hell? response:	All hands to battle stations.
context: We'll continue scanning.\Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that?\We're under attack!\What the hell?\All hands to battle stations. response:	Yes, ma'am. Prep Craft 1 for liftoff ASAP!
context: Appaloosa Leader, this is Appaloosa 33.\Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that?\We're under attack!\What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP! response:	Get inside, everyone!
context: Have located friendly unit. Appears to be damaged.\What's the matter, Appaloosa 33?\What's that?\We're under attack!\What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone! response:	Appaloosa 33, sitrep!
context: What's the matter, Appaloosa 33?\What's that?\We're under attack!\What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep! response:	Enemy Kataphrakts, 1.
context: What's that?\We're under attack!\What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1. response:	Hiding behind building. Currently engaging.
context: We're under attack!\What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging. response:	Surround it and fire at will. All units, spread out.
context: What the hell?\All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out. response:	Projectile weapons? How crude.
context: All hands to battle stations.\Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude. response:	Witness the power of my customized Kataphrakt, the Argyre!
context: Yes, ma'am. Prep Craft 1 for liftoff ASAP!\Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre! response:	Aldnoah output climbing. Connecting to energy joints.
context: Get inside, everyone!\Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints. response:	Deploying blade field.
context: Appaloosa 33, sitrep!\Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field. response:	Aldnoah drive output at maximum. Plasma generator startup preparations complete.
context: Enemy Kataphrakts, 1.\Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete. response:	Sword drawn.
context: Hiding behind building. Currently engaging.\Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn. response:	Open fire!
context: Surround it and fire at will. All units, spread out.\Projectile weapons? How crude.\Witness the power of my customized Kataphrakt, the Argyre!\Aldnoah output climbing. Connecting to energy joints.\Deploying blade field.\Aldnoah drive output at maximum. Plasma generator startup preparations complete.\Sword drawn.\Open fire! response:	Some kind of laser weapon? No... It's a katana?
