context: I can't take the sun... response:	Looks like we're in the Zuland Plains.
context: I don't care if it takes a long time.\I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there. response:	I can do my best because you've always been with me since I came to this world.
context: I think Shiroe and the others sent us on this trip to teach us this stuff.\You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world. response:	Well, I'm your big brother.
context: You're great, Minori.\I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother. response:	I'm your big sister!
context: I feel like you've really grown up from the person you used to be.\Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister! response:	No, I'm older!
context: Have I?\I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister!\No, I'm older! response:	No, it's me!
context: I thought I'd grown up with you, but I guess I have a long way to go.\That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister!\No, I'm older!\No, it's me! response:	No, I am!
context: That's not true.\You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister!\No, I'm older!\No, it's me!\No, I am! response:	And I'm taller!
context: You saved me back there.\I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister!\No, I'm older!\No, it's me!\No, I am!\And I'm taller! response:	That doesn't matter!
context: I can do my best because you've always been with me since I came to this world.\Well, I'm your big brother.\I'm your big sister!\No, I'm older!\No, it's me!\No, I am!\And I'm taller!\That doesn't matter! response:	It's been three days since they left on their trip.
context: Well, I'm your big brother.\I'm your big sister!\No, I'm older!\No, it's me!\No, I am!\And I'm taller!\That doesn't matter!\It's been three days since they left on their trip. response:	I hope they aren't getting homesick.
context: I'm your big sister!\No, I'm older!\No, it's me!\No, I am!\And I'm taller!\That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick. response:	Aww...
context: No, I'm older!\No, it's me!\No, I am!\And I'm taller!\That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww... response:	I'm sure they're having a great time, like it's a field trip.
context: No, it's me!\No, I am!\And I'm taller!\That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip. response:	They may be saying they don't want to come back.
context: No, I am!\And I'm taller!\That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back. response:	That would be a problem in itself.
context: And I'm taller!\That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself. response:	You're looking pale again.
context: That doesn't matter!\It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again. response:	Am I?
context: It's been three days since they left on their trip.\I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again.\Am I? response:	Yes.
context: I hope they aren't getting homesick.\Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again.\Am I?\Yes. response:	You're also glaring, Rieze.
context: Aww...\I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again.\Am I?\Yes.\You're also glaring, Rieze. response:	You look just like my lord.
context: I'm sure they're having a great time, like it's a field trip.\They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again.\Am I?\Yes.\You're also glaring, Rieze.\You look just like my lord. response:	Don't get too stubborn.
context: They may be saying they don't want to come back.\That would be a problem in itself.\You're looking pale again.\Am I?\Yes.\You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn. response:	Right.
context: That would be a problem in itself.\You're looking pale again.\Am I?\Yes.\You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn.\Right. response:	Is it hard without the scary glasses guy?
context: You're looking pale again.\Am I?\Yes.\You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn.\Right.\Is it hard without the scary glasses guy? response:	Yes, it is.
context: Am I?\Yes.\You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn.\Right.\Is it hard without the scary glasses guy?\Yes, it is. response:	I realized how much I depended upon my lord.
context: Yes.\You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn.\Right.\Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord. response:	For the moment, D.D.D. is stable,
context: You're also glaring, Rieze.\You look just like my lord.\Don't get too stubborn.\Right.\Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable, response:	but we don't know what will happen in the future.
context: You look just like my lord.\Don't get too stubborn.\Right.\Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future. response:	I'm sure I'm causing a lot of problems for people,
context: Don't get too stubborn.\Right.\Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people, response:	and I will probably cause more.
context: Right.\Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more. response:	You don't need to worry about it.
context: Is it hard without the scary glasses guy?\Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it. response:	Everyone knows it's rough.
context: Yes, it is.\I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough. response:	Shiroe will do something.
context: I realized how much I depended upon my lord.\For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something. response:	My lord won't think of it as a bother.
context: For the moment, D.D.D. is stable,\but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother. response:	He'll help you of his own free will.
context: but we don't know what will happen in the future.\I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will. response:	Of course, so will I.
context: I'm sure I'm causing a lot of problems for people,\and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I. response:	That's right.
context: and I will probably cause more.\You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I.\That's right. response:	You don't need to worry about us now!
context: You don't need to worry about it.\Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I.\That's right.\You don't need to worry about us now! response:	We're friends, after all.
context: Everyone knows it's rough.\Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I.\That's right.\You don't need to worry about us now!\We're friends, after all. response:	Why are you laughing now?!
context: Shiroe will do something.\My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I.\That's right.\You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?! response:	Isn't that what being friends is?
context: My lord won't think of it as a bother.\He'll help you of his own free will.\Of course, so will I.\That's right.\You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is? response:	It's kind of strange...
context: He'll help you of his own free will.\Of course, so will I.\That's right.\You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange... response:	If we were in the old world, I'm sure we never could've been friends.
context: Of course, so will I.\That's right.\You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends. response:	You might be right.
context: That's right.\You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right. response:	No,
context: You don't need to worry about us now!\We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right.\No, response:	that isn't true.
context: We're friends, after all.\Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right.\No,\that isn't true. response:	It's said that the cute are drawn to one another!
context: Why are you laughing now?!\Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right.\No,\that isn't true.\It's said that the cute are drawn to one another! response:	I would've met you two, no matter what!
context: Isn't that what being friends is?\It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right.\No,\that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what! response:	Henrietta, stop rubbing your cheek against mine!
context: It's kind of strange...\If we were in the old world, I'm sure we never could've been friends.\You might be right.\No,\that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine! response:	We didn't need that kind of assurance!
context: If we were in the old world, I'm sure we never could've been friends.\You might be right.\No,\that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance! response:	Akatsuki!
context: You might be right.\No,\that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki! response:	Oh, no!
context: No,\that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki!\Oh, no! response:	Is that a Teaching for a ninja body-swapping technique?
context: that isn't true.\It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique? response:	It's just a doll.
context: It's said that the cute are drawn to one another!\I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll. response:	The sunset!
context: I would've met you two, no matter what!\Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset! response:	It's so pretty!
context: Henrietta, stop rubbing your cheek against mine!\We didn't need that kind of assurance!\Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset!\It's so pretty! response:	I can see it.
context: We didn't need that kind of assurance!\Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset!\It's so pretty!\I can see it. response:	That's the town of Sazan!
context: Akatsuki!\Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset!\It's so pretty!\I can see it.\That's the town of Sazan! response:	We're almost there.
context: Oh, no!\Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset!\It's so pretty!\I can see it.\That's the town of Sazan!\We're almost there. response:	Our musician says she'd like to play here tonight.
context: Is that a Teaching for a ninja body-swapping technique?\It's just a doll.\The sunset!\It's so pretty!\I can see it.\That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight. response:	We won't cause any trouble, so can you provide a place to perform?
context: It's just a doll.\The sunset!\It's so pretty!\I can see it.\That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform? response:	A forty-two, huh?
context: The sunset!\It's so pretty!\I can see it.\That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh? response:	But adventurer bards are pricey...
context: It's so pretty!\I can see it.\That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey... response:	I don't need any payment!
context: I can see it.\That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment! response:	If you'll just let me play here, that's enough.
context: That's the town of Sazan!\We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough. response:	Please.
context: We're almost there.\Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough.\Please. response:	Please!
context: Our musician says she'd like to play here tonight.\We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough.\Please.\Please! response:	Nice job, Rudy!
context: We won't cause any trouble, so can you provide a place to perform?\A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough.\Please.\Please!\Nice job, Rudy! response:	We get to perform, and we can stay free for the night!
context: A forty-two, huh?\But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough.\Please.\Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night! response:	This is what I am capable of.
context: But adventurer bards are pricey...\I don't need any payment!\If you'll just let me play here, that's enough.\Please.\Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of. response:	Rudy...
context: I don't need any payment!\If you'll just let me play here, that's enough.\Please.\Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy... response:	Don't worry about me.
context: If you'll just let me play here, that's enough.\Please.\Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy...\Don't worry about me. response:	You guys perform to your hearts' content.
context: Please.\Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy...\Don't worry about me.\You guys perform to your hearts' content. response:	Okay.
context: Please!\Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy...\Don't worry about me.\You guys perform to your hearts' content.\Okay. response:	I really have learned a lot on this journey.
context: Nice job, Rudy!\We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy...\Don't worry about me.\You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey. response:	Even about the road we took to get here...
context: We get to perform, and we can stay free for the night!\This is what I am capable of.\Rudy...\Don't worry about me.\You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey.\Even about the road we took to get here... response:	I wondered why there were so many twists and turns.
context: This is what I am capable of.\Rudy...\Don't worry about me.\You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns. response:	But when I traveled it on a carriage,
context: Rudy...\Don't worry about me.\You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage, response:	I saw that there were forests and hills,
context: Don't worry about me.\You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills, response:	so we couldn't just go straight.
context: You guys perform to your hearts' content.\Okay.\I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight. response:	The road goes around all those things to make it easier for people and carriages.
context: Okay.\I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages. response:	And this town was born so that, when you started to feel tired, you could rest.
context: I really have learned a lot on this journey.\Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest. response:	It was probably inevitable.
context: Even about the road we took to get here...\I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable. response:	Don't be afraid of the boredom.
context: I wondered why there were so many twists and turns.\But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom. response:	Let's... Let's... Let's go outside!
context: But when I traveled it on a carriage,\I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside! response:	I think Rudy is amazing.
context: I saw that there were forests and hills,\so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing. response:	When I wasn't able to play soccer with everyone,
context: so we couldn't just go straight.\The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone, response:	I couldn't just watch with an expression like that.
context: The road goes around all those things to make it easier for people and carriages.\And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that. response:	Will my twisty path culminate in a city somewhere?
context: And this town was born so that, when you started to feel tired, you could rest.\It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere? response:	I'm so tired...
context: It was probably inevitable.\Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired... response:	They loved it!
context: Don't be afraid of the boredom.\Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it! response:	The customers kept asking for another song.
context: Let's... Let's... Let's go outside!\I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it!\The customers kept asking for another song. response:	The encore calls wouldn't stop.
context: I think Rudy is amazing.\When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop. response:	Fantastic!
context: When I wasn't able to play soccer with everyone,\I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic! response:	Yeah.
context: I couldn't just watch with an expression like that.\Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic!\Yeah. response:	I knew it...
context: Will my twisty path culminate in a city somewhere?\I'm so tired...\They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic!\Yeah.\I knew it... response:	They have a lot of energy.
context: I'm so tired...\They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic!\Yeah.\I knew it...\They have a lot of energy. response:	Too much energy.
context: They loved it!\The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic!\Yeah.\I knew it...\They have a lot of energy.\Too much energy. response:	I wonder what they're talking about.
context: The customers kept asking for another song.\The encore calls wouldn't stop.\Fantastic!\Yeah.\I knew it...\They have a lot of energy.\Too much energy.\I wonder what they're talking about. response:	Are you curious, Rudy?
context: The encore calls wouldn't stop.\Fantastic!\Yeah.\I knew it...\They have a lot of energy.\Too much energy.\I wonder what they're talking about.\Are you curious, Rudy? response:	Not at all.
context: Fantastic!\Yeah.\I knew it...\They have a lot of energy.\Too much energy.\I wonder what they're talking about.\Are you curious, Rudy?\Not at all. response:	I'm not such a boor as to be interested in a secret chat among ladies.
context: Yeah.\I knew it...\They have a lot of energy.\Too much energy.\I wonder what they're talking about.\Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies. response:	I'm simply impressed that they never run out of things to discuss.
context: I knew it...\They have a lot of energy.\Too much energy.\I wonder what they're talking about.\Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss. response:	That's because they're girls.
context: They have a lot of energy.\Too much energy.\I wonder what they're talking about.\Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls. response:	I see... Because they're girls... I mean, ladies.
context: Too much energy.\I wonder what they're talking about.\Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies. response:	Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?
context: I wonder what they're talking about.\Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady? response:	Huh? Is she?
context: Are you curious, Rudy?\Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she? response:	She always wants to hug me and rub my hair!
context: Not at all.\I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair! response:	O-Oh...
context: I'm not such a boor as to be interested in a secret chat among ladies.\I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh... response:	I think she's just treating you like a dog.
context: I'm simply impressed that they never run out of things to discuss.\That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog. response:	Miss Isuzu doesn't act that way toward you.
context: That's because they're girls.\I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you. response:	Does she simply not think I'm important?
context: I see... Because they're girls... I mean, ladies.\Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important? response:	Don't laugh, Tohya!
context: Then is the reason that Miss Isuzu is so pure and innocent because she's a lady?\Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya! response:	I'm serious!
context: Huh? Is she?\She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious! response:	I'm sorry! Sorry!
context: She always wants to hug me and rub my hair!\O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry! response:	I think it might mean you're special.
context: O-Oh...\I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry!\I think it might mean you're special. response:	Special?
context: I think she's just treating you like a dog.\Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry!\I think it might mean you're special.\Special? response:	Yeah.
context: Miss Isuzu doesn't act that way toward you.\Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry!\I think it might mean you're special.\Special?\Yeah. response:	Paw.
context: Does she simply not think I'm important?\Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry!\I think it might mean you're special.\Special?\Yeah.\Paw. response:	You're my doggy, so you're special.
context: Don't laugh, Tohya!\I'm serious!\I'm sorry! Sorry!\I think it might mean you're special.\Special?\Yeah.\Paw.\You're my doggy, so you're special. response:	Hey! Why are you laughing?!
context: I'm serious!\I'm sorry! Sorry!\I think it might mean you're special.\Special?\Yeah.\Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?! response:	When Isuzu thinks it's fun to be with you,
context: I'm sorry! Sorry!\I think it might mean you're special.\Special?\Yeah.\Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you, response:	that's what she does.
context: I think it might mean you're special.\Special?\Yeah.\Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does. response:	Is that so?
context: Special?\Yeah.\Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so? response:	Yeah, yeah.
context: Yeah.\Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so?\Yeah, yeah. response:	But I think that's different from being especially beautiful,
context: Paw.\You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful, response:	especially amazing,
context: You're my doggy, so you're special.\Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing, response:	or especially magnificently strong!
context: Hey! Why are you laughing?!\When Isuzu thinks it's fun to be with you,\that's what she does.\Is that so?\Yeah, yeah.\But I think that's different from being especially beautiful,\especially amazing,\or especially magnificently strong! response:	What does she think about me?
