context: Teach Me How to Play Shogi (Continued) response:	Next I'll introduce the characteristics of each type of cat.
context: What?\O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu. response:	Thanks.
context: O-Of course... not. Not, right?\It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks. response:	Sorry we're late.
context: It'll be fine.\Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late. response:	And now, if you would...
context: Why would I shy away from sleeping over at my best friend's place?\But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late.\And now, if you would... response:	Put that in front of the closet on the right side.
context: But let's try to shy away! And I'm not your best friend.\Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side. response:	Here are some late-night snacks, and breakfast for both of you.
context: Well, don't worry about it.\I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you. response:	I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.
context: I do worry! And so should you!\Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama. response:	Thinking this would be a good opportunity, I picked something out.
context: Master Kiriyama, Master Harunobu.\Thanks.\Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out. response:	This is an excellent bed that folds up into a couch.
context: Thanks.\Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch. response:	Use it, by all means!
context: Sorry we're late.\And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means! response:	I realize it came late, but this is my housewarming gift to you!
context: And now, if you would...\Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you! response:	Teach Me How to Play Shogi
context: Put that in front of the closet on the right side.\Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi response:	Image
context: Here are some late-night snacks, and breakfast for both of you.\I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image response:	Th-That bastard.
context: I couldn't help being concerned about your apartment's lack of daily necessities, Kiriyama.\Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image\Th-That bastard. response:	It won't fit.
context: Thinking this would be a good opportunity, I picked something out.\This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image\Th-That bastard.\It won't fit. response:	What do I do now, huh?
context: This is an excellent bed that folds up into a couch.\Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image\Th-That bastard.\It won't fit.\What do I do now, huh? response:	Shogi Hall
context: Use it, by all means!\I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image\Th-That bastard.\It won't fit.\What do I do now, huh?\Shogi Hall response:	What are you sighing about?
context: I realize it came late, but this is my housewarming gift to you!\Teach Me How to Play Shogi\Image\Th-That bastard.\It won't fit.\What do I do now, huh?\Shogi Hall\What are you sighing about? response:	Issa and Mr. Smith...
context: Teach Me How to Play Shogi\Image\Th-That bastard.\It won't fit.\What do I do now, huh?\Shogi Hall\What are you sighing about?\Issa and Mr. Smith... response:	Huh? Nikaidou isn't with you today?
context: Image\Th-That bastard.\It won't fit.\What do I do now, huh?\Shogi Hall\What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today? response:	Oh, that reminds me. I saw the NHK Cup.
context: Th-That bastard.\It won't fit.\What do I do now, huh?\Shogi Hall\What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup. response:	Your match. And Nikaidou's passionate commentary.
context: It won't fit.\What do I do now, huh?\Shogi Hall\What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary. response:	Did you take all those impassioned lines and etch them in your heart, Kiriyama?
context: What do I do now, huh?\Shogi Hall\What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama? response:	Friendship truly is a wonderful thing, isn't it?
context: Shogi Hall\What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it? response:	Whoa, just thinking about it again pulls on the old heartstrings.
context: What are you sighing about?\Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings. response:	Doesn't even have the energy to deny it anymore
context: Issa and Mr. Smith...\Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore response:	I was at my teacher's birthday party the day it aired,
context: Huh? Nikaidou isn't with you today?\Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired, response:	but we all watched the recording that night.
context: Oh, that reminds me. I saw the NHK Cup.\Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night. response:	If you really want to win, then persevere! Don't just attack, you have to defend!
context: Your match. And Nikaidou's passionate commentary.\Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend! response:	Mr. Nikaidou...
context: Did you take all those impassioned lines and etch them in your heart, Kiriyama?\Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou... response:	Huh? What is this? Water coming out of my eyes?
context: Friendship truly is a wonderful thing, isn't it?\Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes? response:	Oh no... I'm going to cry!
context: Whoa, just thinking about it again pulls on the old heartstrings.\Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry! response:	Wh-What a good kid!
context: Doesn't even have the energy to deny it anymore\I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid! response:	Whoa, what's this? This is what I hate about getting old.
context: I was at my teacher's birthday party the day it aired,\but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old. response:	It makes you all sentimental.
context: but we all watched the recording that night.\If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental. response:	N-Nikaidou! I can't believe you!
context: If you really want to win, then persevere! Don't just attack, you have to defend!\Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you! response:	I'm telling you, we had a room full of adults bawling like babies.
context: Mr. Nikaidou...\Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies. response:	Everybody Loves Nikaidou
context: Huh? What is this? Water coming out of my eyes?\Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou response:	I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.
context: Oh no... I'm going to cry!\Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet. response:	What, he did?
context: Wh-What a good kid!\Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did? response:	He must've used up a lot of energy.
context: Whoa, what's this? This is what I hate about getting old.\It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy. response:	He really tried his hardest.
context: It makes you all sentimental.\N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy.\He really tried his hardest. response:	Right? And yet...
context: N-Nikaidou! I can't believe you!\I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy.\He really tried his hardest.\Right? And yet... response:	Right? Yeesh...
context: I'm telling you, we had a room full of adults bawling like babies.\Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy.\He really tried his hardest.\Right? And yet...\Right? Yeesh... response:	It's kind of annoying since not one bit of it reaches your heart.
context: Everybody Loves Nikaidou\I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy.\He really tried his hardest.\Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart. response:	Nikaidou has six wins. He's incredibly focused.
context: I heard after the broadcast, Nikaidou had a bout of anemia and couldn't get to his feet.\What, he did?\He must've used up a lot of energy.\He really tried his hardest.\Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused. response:	He'll probably get promoted this season.
context: What, he did?\He must've used up a lot of energy.\He really tried his hardest.\Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season. response:	Right now, his head is probably filled with the thought of facing off against you in C1.
context: He must've used up a lot of energy.\He really tried his hardest.\Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1. response:	Please, Kiriyama! Don't disappoint Nikaidou!
context: He really tried his hardest.\Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou! response:	Three wins and three losses.
context: Right? And yet...\Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses. response:	If I don't hold my ground here, I'll just slide down until I reach the point of demotion.
context: Right? Yeesh...\It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion. response:	If you get a demotion, it won't get erased unless you have more wins the following season.
context: It's kind of annoying since not one bit of it reaches your heart.\Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season. response:	If you get demoted twice, you drop down one class.
context: Nikaidou has six wins. He's incredibly focused.\He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class. response:	The battle to paint over a loss is even more exhausting than the battle to move forward.
context: He'll probably get promoted this season.\Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward. response:	I witnessed my adoptive father go through that seesawing struggle
context: Right now, his head is probably filled with the thought of facing off against you in C1.\Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle response:	under the same roof for years after he was downgraded from B1.
context: Please, Kiriyama! Don't disappoint Nikaidou!\Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1. response:	It permeated my body.
context: Three wins and three losses.\If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body. response:	Take better care of your shogi, and yourself! I'm begging you!
context: If I don't hold my ground here, I'll just slide down until I reach the point of demotion.\If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you! response:	Where does Nikaidou's energy come from?
context: If you get a demotion, it won't get erased unless you have more wins the following season.\If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from? response:	It's not like his body is particularly strong.
context: If you get demoted twice, you drop down one class.\The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong. response:	Is it that he doesn't doubt himself?
context: The battle to paint over a loss is even more exhausting than the battle to move forward.\I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself? response:	That passion, always driving him on tenaciously...
context: I witnessed my adoptive father go through that seesawing struggle\under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously... response:	Whenever I'm with him, I feel suffocated.
context: under the same roof for years after he was downgraded from B1.\It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated. response:	And I gradually get disgusted with myself.
context: It permeated my body.\Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself. response:	He did such a great job drawing it.
context: Take better care of your shogi, and yourself! I'm begging you!\Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it. response:	It sounds like Hina and Momo both had fun.
context: Where does Nikaidou's energy come from?\It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun. response:	My meaty paw punch will knock you silly-meow!
context: It's not like his body is particularly strong.\Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow! response:	No, Momo. The kitty doesn't like that!
context: Is it that he doesn't doubt himself?\That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that! response:	They even put copies of the picture book on the fridge
context: That passion, always driving him on tenaciously...\Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge response:	so they can remember the moves.
context: Whenever I'm with him, I feel suffocated.\And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves. response:	When Grampa saw that...
context: And I gradually get disgusted with myself.\He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that... response:	They're lucky. How often does anybody get the chance to be tutored by two professionals?
context: He did such a great job drawing it.\It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals? response:	Maybe they'll become incredibly strong.
context: It sounds like Hina and Momo both had fun.\My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong. response:	But I can't let them beat me.
context: My meaty paw punch will knock you silly-meow!\No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me. response:	I just wish those two guys would teach me. Sheesh.
context: No, Momo. The kitty doesn't like that!\They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh. response:	What's goin' on with today's world?
context: They even put copies of the picture book on the fridge\so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world? response:	After all, it seems like he's looking forward to playing shogi with his granddaughters.
context: so they can remember the moves.\When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters. response:	When I think about it like that, shogi really is marvelous.
context: When Grampa saw that...\They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous. response:	It's been around for hundreds of years, and even now,
context: They're lucky. How often does anybody get the chance to be tutored by two professionals?\Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now, response:	as long as you have the board and pieces, you can enjoy it at home.
context: Maybe they'll become incredibly strong.\But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home. response:	Moreover, once you learn how to play, it doesn't matter whether
context: But I can't let them beat me.\I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether response:	you're an adult or a child. You can have fun playing earnestly.
context: I just wish those two guys would teach me. Sheesh.\What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly. response:	And for your whole life. What a wonderful game...
context: What's goin' on with today's world?\After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game... response:	The kitty transformed!
context: After all, it seems like he's looking forward to playing shogi with his granddaughters.\When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed! response:	Akari's words prompted an image of my father to cross my mind.
context: When I think about it like that, shogi really is marvelous.\It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind. response:	His body would rock back and forth gently,
context: It's been around for hundreds of years, and even now,\as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently, response:	with his arms folded and his left hand on his cheek.
context: as long as you have the board and pieces, you can enjoy it at home.\Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek. response:	It was a natural habit that would appear whenever he was focused.
context: Moreover, once you learn how to play, it doesn't matter whether\you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused. response:	I enjoyed watching him when he was like that.
context: you're an adult or a child. You can have fun playing earnestly.\And for your whole life. What a wonderful game...\The kitty transformed!\Akari's words prompted an image of my father to cross my mind.\His body would rock back and forth gently,\with his arms folded and his left hand on his cheek.\It was a natural habit that would appear whenever he was focused.\I enjoyed watching him when he was like that. response:	But I could only see it when I did my very best,
