context: Draw your blades. response:	If we see it, it'll only be for a second.
context: Hanji...\I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen. response:	Yes, sir.
context: I can't become a Titan.\So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen.\Yes, sir. response:	Don't let it get you down, Eren.
context: So your self-inflicted bite wounds on your hands aren't healing, either?\No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen.\Yes, sir.\Don't let it get you down, Eren. response:	But...
context: No.\If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen.\Yes, sir.\Don't let it get you down, Eren.\But... response:	Well, it just means you're more human than I thought.
context: If you can't transform into a Titan,\our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen.\Yes, sir.\Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought. response:	Better than rushing into something and getting killed.
context: our main goal of sealing Wall Maria is off the table.\This is an order...\Make it happen.\Yes, sir.\Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed. response:	This isn't meaningless.
context: This is an order...\Make it happen.\Yes, sir.\Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless. response:	Yeah...
context: Make it happen.\Yes, sir.\Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless.\Yeah... response:	We can't be too careful.
context: Yes, sir.\Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless.\Yeah...\We can't be too careful. response:	Why is everyone so calm?
context: Don't let it get you down, Eren.\But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless.\Yeah...\We can't be too careful.\Why is everyone so calm? response:	Are they okay with my being unable to turn into a Titan?
context: But...\Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless.\Yeah...\We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan? response:	Are you okay?
context: Well, it just means you're more human than I thought.\Better than rushing into something and getting killed.\This isn't meaningless.\Yeah...\We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay? response:	Yes...
context: Better than rushing into something and getting killed.\This isn't meaningless.\Yeah...\We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes... response:	Hey...
context: This isn't meaningless.\Yeah...\We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes...\Hey... response:	What's that?
context: Yeah...\We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes...\Hey...\What's that? response:	What was that explosion?
context: We can't be too careful.\Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes...\Hey...\What's that?\What was that explosion? response:	Why now?!
context: Why is everyone so calm?\Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes...\Hey...\What's that?\What was that explosion?\Why now?! response:	Calm down.
context: Are they okay with my being unable to turn into a Titan?\Are you okay?\Yes...\Hey...\What's that?\What was that explosion?\Why now?!\Calm down. response:	Captain Levi!
context: Are you okay?\Yes...\Hey...\What's that?\What was that explosion?\Why now?!\Calm down.\Captain Levi! response:	This is...
context: Yes...\Hey...\What's that?\What was that explosion?\Why now?!\Calm down.\Captain Levi!\This is... response:	I said to calm down.
context: Hey...\What's that?\What was that explosion?\Why now?!\Calm down.\Captain Levi!\This is...\I said to calm down. response:	All of you.
context: What's that?\What was that explosion?\Why now?!\Calm down.\Captain Levi!\This is...\I said to calm down.\All of you. response:	Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.
context: What was that explosion?\Why now?!\Calm down.\Captain Levi!\This is...\I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time. response:	Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.
context: Why now?!\Calm down.\Captain Levi!\This is...\I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted. response:	What? What was that sound?
context: Calm down.\Captain Levi!\This is...\I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound? response:	Eren...
context: Captain Levi!\This is...\I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren... response:	What's the meaning of this?!
context: This is...\I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren...\What's the meaning of this?! response:	Sir?
context: I said to calm down.\All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren...\What's the meaning of this?!\Sir? response:	Why now? Without permission?
context: All of you.\Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren...\What's the meaning of this?!\Sir?\Why now? Without permission? response:	Answer me!
context: Smoke Rounds (1) Signal rounds fired by small handguns using gunpowder. A small tube, with the round, is swapped out each time.\Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren...\What's the meaning of this?!\Sir?\Why now? Without permission?\Answer me! response:	Eldo, wait.
context: Smoke Rounds (2) The signal color changes per message: Red Titan sighted. Green Change course. Black Aberrant sighted.\What? What was that sound?\Eren...\What's the meaning of this?!\Sir?\Why now? Without permission?\Answer me!\Eldo, wait. response:	Answer him, Eren!
context: What? What was that sound?\Eren...\What's the meaning of this?!\Sir?\Why now? Without permission?\Answer me!\Eldo, wait.\Answer him, Eren! response:	What are you thinking?
context: Eren...\What's the meaning of this?!\Sir?\Why now? Without permission?\Answer me!\Eldo, wait.\Answer him, Eren!\What are you thinking? response:	No, that can wait...
context: What's the meaning of this?!\Sir?\Why now? Without permission?\Answer me!\Eldo, wait.\Answer him, Eren!\What are you thinking?\No, that can wait... response:	Prove you're not our enemy, humanity's enemy!
context: Sir?\Why now? Without permission?\Answer me!\Eldo, wait.\Answer him, Eren!\What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy! response:	Prove it! Now!
context: Why now? Without permission?\Answer me!\Eldo, wait.\Answer him, Eren!\What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now! response:	That is your responsibility!
context: Answer me!\Eldo, wait.\Answer him, Eren!\What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility! response:	I dare you to make a single move with that arm!
context: Eldo, wait.\Answer him, Eren!\What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm! response:	I'll cut off your head!
context: Answer him, Eren!\What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head! response:	I can do it... I'm serious!
context: What are you thinking?\No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious! response:	Want to try me?
context: No, that can wait...\Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious!\Want to try me? response:	Oluo,
context: Prove you're not our enemy, humanity's enemy!\Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious!\Want to try me?\Oluo, response:	I said to calm down.
context: Prove it! Now!\That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious!\Want to try me?\Oluo,\I said to calm down. response:	Captain, get away from Eren!
context: That is your responsibility!\I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious!\Want to try me?\Oluo,\I said to calm down.\Captain, get away from Eren! response:	You're too close!
context: I dare you to make a single move with that arm!\I'll cut off your head!\I can do it... I'm serious!\Want to try me?\Oluo,\I said to calm down.\Captain, get away from Eren!\You're too close! response:	No, you're the ones who should get back.
context: I'll cut off your head!\I can do it... I'm serious!\Want to try me?\Oluo,\I said to calm down.\Captain, get away from Eren!\You're too close!\No, you're the ones who should get back. response:	Get back.
context: I can do it... I'm serious!\Want to try me?\Oluo,\I said to calm down.\Captain, get away from Eren!\You're too close!\No, you're the ones who should get back.\Get back. response:	Why?!
context: Want to try me?\Oluo,\I said to calm down.\Captain, get away from Eren!\You're too close!\No, you're the ones who should get back.\Get back.\Why?! response:	My intuition.
context: Oluo,\I said to calm down.\Captain, get away from Eren!\You're too close!\No, you're the ones who should get back.\Get back.\Why?!\My intuition. response:	What's wrong, Eren?
context: I said to calm down.\Captain, get away from Eren!\You're too close!\No, you're the ones who should get back.\Get back.\Why?!\My intuition.\What's wrong, Eren? response:	Say something!
context: Captain, get away from Eren!\You're too close!\No, you're the ones who should get back.\Get back.\Why?!\My intuition.\What's wrong, Eren?\Say something! response:	Like I said...
context: You're too close!\No, you're the ones who should get back.\Get back.\Why?!\My intuition.\What's wrong, Eren?\Say something!\Like I said... response:	No sudden movements!
context: No, you're the ones who should get back.\Get back.\Why?!\My intuition.\What's wrong, Eren?\Say something!\Like I said...\No sudden movements! response:	Prove it to me, Eren!
context: Get back.\Why?!\My intuition.\What's wrong, Eren?\Say something!\Like I said...\No sudden movements!\Prove it to me, Eren! response:	I said I don't understand.
context: Why?!\My intuition.\What's wrong, Eren?\Say something!\Like I said...\No sudden movements!\Prove it to me, Eren!\I said I don't understand. response:	Answer us! You think we can't kill you?
context: My intuition.\What's wrong, Eren?\Say something!\Like I said...\No sudden movements!\Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you? response:	I'm serious!
context: What's wrong, Eren?\Say something!\Like I said...\No sudden movements!\Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you?\I'm serious! response:	Do it now!
context: Say something!\Like I said...\No sudden movements!\Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you?\I'm serious!\Do it now! response:	Are you even listening?
context: Like I said...\No sudden movements!\Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you?\I'm serious!\Do it now!\Are you even listening? response:	Okay, let's do this!
context: No sudden movements!\Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you?\I'm serious!\Do it now!\Are you even listening?\Okay, let's do this! response:	Are you humanity's
context: Prove it to me, Eren!\I said I don't understand.\Answer us! You think we can't kill you?\I'm serious!\Do it now!\Are you even listening?\Okay, let's do this!\Are you humanity's response:	Please shut up for a second!
context: I said I don't understand.\Answer us! You think we can't kill you?\I'm serious!\Do it now!\Are you even listening?\Okay, let's do this!\Are you humanity's\Please shut up for a second! response:	Eren!
context: Answer us! You think we can't kill you?\I'm serious!\Do it now!\Are you even listening?\Okay, let's do this!\Are you humanity's\Please shut up for a second!\Eren! response:	Can I touch that arm?!
context: I'm serious!\Do it now!\Are you even listening?\Okay, let's do this!\Are you humanity's\Please shut up for a second!\Eren!\Can I touch that arm?! response:	It's okay, right? Right?
context: Do it now!\Are you even listening?\Okay, let's do this!\Are you humanity's\Please shut up for a second!\Eren!\Can I touch that arm?!\It's okay, right? Right? response:	Just let me touch it!
context: Are you even listening?\Okay, let's do this!\Are you humanity's\Please shut up for a second!\Eren!\Can I touch that arm?!\It's okay, right? Right?\Just let me touch it! response:	Hanji...
context: Okay, let's do this!\Are you humanity's\Please shut up for a second!\Eren!\Can I touch that arm?!\It's okay, right? Right?\Just let me touch it!\Hanji... response:	Wait a second!
context: Are you humanity's\Please shut up for a second!\Eren!\Can I touch that arm?!\It's okay, right? Right?\Just let me touch it!\Hanji...\Wait a second! response:	It's... hot!
context: Please shut up for a second!\Eren!\Can I touch that arm?!\It's okay, right? Right?\Just let me touch it!\Hanji...\Wait a second!\It's... hot! response:	Without the skin, it's really damned hot!
context: Eren!\Can I touch that arm?!\It's okay, right? Right?\Just let me touch it!\Hanji...\Wait a second!\It's... hot!\Without the skin, it's really damned hot! response:	Unbelievably hot!
context: Can I touch that arm?!\It's okay, right? Right?\Just let me touch it!\Hanji...\Wait a second!\It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot! response:	Squad Leader,
context: It's okay, right? Right?\Just let me touch it!\Hanji...\Wait a second!\It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader, response:	you're too reckless!
context: Just let me touch it!\Hanji...\Wait a second!\It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader,\you're too reckless! response:	Hey, don't you feel it's hot, Eren?
context: Hanji...\Wait a second!\It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren? response:	How does it feel where the right hand connects?
context: Wait a second!\It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects? response:	I really want to see!
context: It's... hot!\Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see! response:	That's right...
context: Without the skin, it's really damned hot!\Unbelievably hot!\Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see!\That's right... response:	If I just pull out this hand...
context: Unbelievably hot!\Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see!\That's right...\If I just pull out this hand... response:	Stupid thing!
context: Squad Leader,\you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see!\That's right...\If I just pull out this hand...\Stupid thing! response:	Hey, Eren...
context: you're too reckless!\Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see!\That's right...\If I just pull out this hand...\Stupid thing!\Hey, Eren... response:	Don't do anything rash!
context: Hey, don't you feel it's hot, Eren?\How does it feel where the right hand connects?\I really want to see!\That's right...\If I just pull out this hand...\Stupid thing!\Hey, Eren...\Don't do anything rash! response:	What?!
context: How does it feel where the right hand connects?\I really want to see!\That's right...\If I just pull out this hand...\Stupid thing!\Hey, Eren...\Don't do anything rash!\What?! response:	Wait, Eren... That was too fast!
context: I really want to see!\That's right...\If I just pull out this hand...\Stupid thing!\Hey, Eren...\Don't do anything rash!\What?!\Wait, Eren... That was too fast! response:	I still wanted to investigate some things...
context: That's right...\If I just pull out this hand...\Stupid thing!\Hey, Eren...\Don't do anything rash!\What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things... response:	Captain...
context: If I just pull out this hand...\Stupid thing!\Hey, Eren...\Don't do anything rash!\What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain... response:	How do you feel?
context: Stupid thing!\Hey, Eren...\Don't do anything rash!\What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain...\How do you feel? response:	Not... Not so good...
context: Hey, Eren...\Don't do anything rash!\What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain...\How do you feel?\Not... Not so good... response:	Until I saw that they were actually ready to kill me, I didn't understand...
context: Don't do anything rash!\What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain...\How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand... response:	That they doubted me so much.
context: What?!\Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain...\How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much. response:	Of course they do.
context: Wait, Eren... That was too fast!\I still wanted to investigate some things...\Captain...\How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do. response:	That's why I chose them.
context: I still wanted to investigate some things...\Captain...\How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do.\That's why I chose them. response:	People say you only truly become a full member of the Survey Corps
context: Captain...\How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps response:	after making it back alive from a mission.
context: How do you feel?\Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission. response:	But whenever you fight the Titans, you never have enough information.
context: Not... Not so good...\Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information. response:	There are too many situations you just can't anticipate, no matter what.
context: Until I saw that they were actually ready to kill me, I didn't understand...\That they doubted me so much.\Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what. response:	They've had to cultivate the ability to take quick action
context: That they doubted me so much.\Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action response:	and to make ruthless decisions by assuming the worse case scenario.
context: Of course they do.\That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario. response:	But that doesn't mean they've become heartless.
context: That's why I chose them.\People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless. response:	It's not like they felt nothing when they turned their swords on you.
context: People say you only truly become a full member of the Survey Corps\after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you. response:	Captain Levi...
context: after making it back alive from a mission.\But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi... response:	Squad Leader Hanji wants to see you.
context: But whenever you fight the Titans, you never have enough information.\There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you. response:	Take a long crap?
context: There are too many situations you just can't anticipate, no matter what.\They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap? response:	Actually, it was pleasantly quick.
context: They've had to cultivate the ability to take quick action\and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick. response:	I wasn't sure what to tell the brass.
context: and to make ruthless decisions by assuming the worse case scenario.\But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass. response:	Well, for now...
context: But that doesn't mean they've become heartless.\It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now... response:	Look at this.
context: It's not like they felt nothing when they turned their swords on you.\Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now...\Look at this. response:	A teaspoon?
context: Captain Levi...\Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now...\Look at this.\A teaspoon? response:	Yes.
context: Squad Leader Hanji wants to see you.\Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now...\Look at this.\A teaspoon?\Yes. response:	The right Titan hand Eren created was holding this.
context: Take a long crap?\Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now...\Look at this.\A teaspoon?\Yes.\The right Titan hand Eren created was holding this. response:	Like this, between its index finger and thumb.
context: Actually, it was pleasantly quick.\I wasn't sure what to tell the brass.\Well, for now...\Look at this.\A teaspoon?\Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb. response:	It's hard to imagine that was an accident...
context: I wasn't sure what to tell the brass.\Well, for now...\Look at this.\A teaspoon?\Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident... response:	And for some reason,
context: Well, for now...\Look at this.\A teaspoon?\Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason, response:	the heat and pressure didn't warp the spoon at all.
context: Look at this.\A teaspoon?\Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all. response:	Anything come to mind?
context: A teaspoon?\Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind? response:	I was trying to pick it up...
context: Yes.\The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up... response:	I transformed right after.
context: The right Titan hand Eren created was holding this.\Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up...\I transformed right after. response:	I see...
context: Like this, between its index finger and thumb.\It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up...\I transformed right after.\I see... response:	That may explain why you couldn't transform earlier.
context: It's hard to imagine that was an accident...\And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up...\I transformed right after.\I see...\That may explain why you couldn't transform earlier. response:	Kill the Titans.
context: And for some reason,\the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up...\I transformed right after.\I see...\That may explain why you couldn't transform earlier.\Kill the Titans. response:	Block the cannon shell.
context: the heat and pressure didn't warp the spoon at all.\Anything come to mind?\I was trying to pick it up...\I transformed right after.\I see...\That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell. response:	Lift the boulder.
context: Anything come to mind?\I was trying to pick it up...\I transformed right after.\I see...\That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell.\Lift the boulder. response:	In each case, you had a clear goal before you transformed.
context: I was trying to pick it up...\I transformed right after.\I see...\That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed. response:	My theory is
context: I transformed right after.\I see...\That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is response:	that your self-inflicted injury probably isn't the sole trigger.
context: I see...\That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger. response:	You may need some goal, as well.
context: That may explain why you couldn't transform earlier.\Kill the Titans.\Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well. response:	It's true that when I turned into a Titan this time,
context: Kill the Titans.\Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time, response:	it was like when I blocked that cannon shell.
context: Block the cannon shell.\Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell. response:	But...
context: Lift the boulder.\In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But... response:	I turned into a Titan to pick up a spoon?
context: In each case, you had a clear goal before you transformed.\My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon? response:	What the hell is this?
context: My theory is\that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon?\What the hell is this? response:	In other words, you didn't deliberately change without permission?
context: that your self-inflicted injury probably isn't the sole trigger.\You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission? response:	No, sir.
context: You may need some goal, as well.\It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir. response:	Huh? Eh?
context: It's true that when I turned into a Titan this time,\it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh? response:	Wait, what are you doing?
context: it was like when I blocked that cannon shell.\But...\I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh?\Wait, what are you doing? response:	That hurt...
context: But...\I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh?\Wait, what are you doing?\That hurt... response:	This isn't easy.
context: I turned into a Titan to pick up a spoon?\What the hell is this?\In other words, you didn't deliberately change without permission?\No, sir.\Huh? Eh?\Wait, what are you doing?\That hurt...\This isn't easy. response:	I'm amazed you can bite through, Eren.
