context: Gathering shards of the Sacred Jewel, response:	we continue our journey to battle our arch-enemy Naraku.
context: After all, any woman would do for you.\You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous? response:	Is that all you want to say?
context: You... without fortune, home, or status...\just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say? response:	Huh?
context: just a flirtatious, itinerant monk!\On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say?\Huh? response:	Then I must go.
context: On the other hand, a clan lord who is young, handsome and rich.\Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say?\Huh?\Then I must go. response:	I want to check something.
context: Earnest and focused and unlikely to stray...\He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say?\Huh?\Then I must go.\I want to check something. response:	Wait, Miroku!
context: He's a huge catch!\I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say?\Huh?\Then I must go.\I want to check something.\Wait, Miroku! response:	Huh?
context: I guess there's absolutely no question who's better.\W-What? Well? Are you nervous?\Is that all you want to say?\Huh?\Then I must go.\I want to check something.\Wait, Miroku!\Huh? response:	I knew it... You are concerned, after all.
context: W-What? Well? Are you nervous?\Is that all you want to say?\Huh?\Then I must go.\I want to check something.\Wait, Miroku!\Huh?\I knew it... You are concerned, after all. response:	Oh, Miroku! Why can't you come clean?
context: Is that all you want to say?\Huh?\Then I must go.\I want to check something.\Wait, Miroku!\Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean? response:	Actually, your sudden appearance is what scared me.
context: Huh?\Then I must go.\I want to check something.\Wait, Miroku!\Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me. response:	What'll I do? I don't want to hurt him.
context: Then I must go.\I want to check something.\Wait, Miroku!\Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him. response:	How can I show her how I feel?
context: I want to check something.\Wait, Miroku!\Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel? response:	Sango...
context: Wait, Miroku!\Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango... response:	Yes, my lord?
context: Huh?\I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango...\Yes, my lord? response:	Don't call me lord.
context: I knew it... You are concerned, after all.\Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango...\Yes, my lord?\Don't call me lord. response:	Just call me Kuranosuke.
context: Oh, Miroku! Why can't you come clean?\Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango...\Yes, my lord?\Don't call me lord.\Just call me Kuranosuke. response:	You can even call me Runny-Nose.
context: Actually, your sudden appearance is what scared me.\What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango...\Yes, my lord?\Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose. response:	Just jesting.
context: What'll I do? I don't want to hurt him.\How can I show her how I feel?\Sango...\Yes, my lord?\Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting. response:	Sango...
context: How can I show her how I feel?\Sango...\Yes, my lord?\Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting.\Sango... response:	You know the kind of world we live in.
context: Sango...\Yes, my lord?\Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting.\Sango...\You know the kind of world we live in. response:	There are few I can trust.
context: Yes, my lord?\Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting.\Sango...\You know the kind of world we live in.\There are few I can trust. response:	Evil demons abound in mountains and rivers.
context: Don't call me lord.\Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting.\Sango...\You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers. response:	And mortals resort to trickery and betrayal.
context: Just call me Kuranosuke.\You can even call me Runny-Nose.\Just jesting.\Sango...\You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal. response:	We call this the world above hell,
context: You can even call me Runny-Nose.\Just jesting.\Sango...\You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell, response:	but I am not satisfied with how things are.
context: Just jesting.\Sango...\You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are. response:	That is why...
context: Sango...\You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are.\That is why... response:	I swore that at least the woman I spend my life with
context: You know the kind of world we live in.\There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with response:	will be someone I love.
context: There are few I can trust.\Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with\will be someone I love. response:	Why did you choose me?
context: Evil demons abound in mountains and rivers.\And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me? response:	I AM the lord of a clan.
context: And mortals resort to trickery and betrayal.\We call this the world above hell,\but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me?\I AM the lord of a clan. response:	I know I am a good judge of people.
context: We call this the world above hell,\but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people. response:	Sango, I love you.
context: but I am not satisfied with how things are.\That is why...\I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you. response:	Thank you.
context: That is why...\I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you.\Thank you. response:	I'm happy to hear that.
context: I swore that at least the woman I spend my life with\will be someone I love.\Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you.\Thank you.\I'm happy to hear that. response:	Huh?
context: will be someone I love.\Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you.\Thank you.\I'm happy to hear that.\Huh? response:	Miroku!
context: Why did you choose me?\I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you.\Thank you.\I'm happy to hear that.\Huh?\Miroku! response:	Then you will marry me?
context: I AM the lord of a clan.\I know I am a good judge of people.\Sango, I love you.\Thank you.\I'm happy to hear that.\Huh?\Miroku!\Then you will marry me? response:	No, I cannot.
context: I know I am a good judge of people.\Sango, I love you.\Thank you.\I'm happy to hear that.\Huh?\Miroku!\Then you will marry me?\No, I cannot. response:	Why is that?
context: Sango, I love you.\Thank you.\I'm happy to hear that.\Huh?\Miroku!\Then you will marry me?\No, I cannot.\Why is that? response:	There is something I must do.
context: Thank you.\I'm happy to hear that.\Huh?\Miroku!\Then you will marry me?\No, I cannot.\Why is that?\There is something I must do. response:	It will probably be very difficult to accomplish.
context: I'm happy to hear that.\Huh?\Miroku!\Then you will marry me?\No, I cannot.\Why is that?\There is something I must do.\It will probably be very difficult to accomplish. response:	However...
context: Huh?\Miroku!\Then you will marry me?\No, I cannot.\Why is that?\There is something I must do.\It will probably be very difficult to accomplish.\However... response:	I must do this or I cannot go forward in life.
context: Miroku!\Then you will marry me?\No, I cannot.\Why is that?\There is something I must do.\It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life. response:	That's why I must continue my journey.
context: Then you will marry me?\No, I cannot.\Why is that?\There is something I must do.\It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life.\That's why I must continue my journey. response:	Please! You must find someone more suitable!
context: No, I cannot.\Why is that?\There is something I must do.\It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable! response:	Who do you think I am?
context: Why is that?\There is something I must do.\It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am? response:	I have waited six years.
context: There is something I must do.\It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am?\I have waited six years. response:	It matters not how many more years I must wait.
context: It will probably be very difficult to accomplish.\However...\I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am?\I have waited six years.\It matters not how many more years I must wait. response:	Huh?
context: However...\I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am?\I have waited six years.\It matters not how many more years I must wait.\Huh? response:	Sango, I understand how you feel.
context: I must do this or I cannot go forward in life.\That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am?\I have waited six years.\It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel. response:	I will wait forever.
context: That's why I must continue my journey.\Please! You must find someone more suitable!\Who do you think I am?\I have waited six years.\It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel.\I will wait forever. response:	Err... no... but...
context: Please! You must find someone more suitable!\Who do you think I am?\I have waited six years.\It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel.\I will wait forever.\Err... no... but... response:	If you are ever in trouble, come to me without hesitation.
context: Who do you think I am?\I have waited six years.\It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel.\I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation. response:	I will do everything in my power to help.
context: I have waited six years.\It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel.\I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help. response:	Wait, Miroku!
context: It matters not how many more years I must wait.\Huh?\Sango, I understand how you feel.\I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku! response:	Why let her go?!
context: Huh?\Sango, I understand how you feel.\I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku!\Why let her go?! response:	Sango is!
context: Sango, I understand how you feel.\I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku!\Why let her go?!\Sango is! response:	If I'm truly concerned about Sango's happiness,
context: I will wait forever.\Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku!\Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness, response:	it's best that I let her be.
context: Err... no... but...\If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku!\Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be. response:	Huh?
context: If you are ever in trouble, come to me without hesitation.\I will do everything in my power to help.\Wait, Miroku!\Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh? response:	Her fate was shattered by the evil Naraku
context: I will do everything in my power to help.\Wait, Miroku!\Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku response:	and she continues to fight.
context: Wait, Miroku!\Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku\and she continues to fight. response:	Now she has a chance to marry Lord Takeda and settle down.
context: Why let her go?!\Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down. response:	Which will bring her happiness?
context: Sango is!\If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness? response:	There's no need to even think about it.
context: If I'm truly concerned about Sango's happiness,\it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it. response:	But!
context: it's best that I let her be.\Huh?\Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it.\But! response:	Kagome, you will understand someday, too.
context: Huh?\Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it.\But!\Kagome, you will understand someday, too. response:	Then what about Sango's feelings?!
context: Her fate was shattered by the evil Naraku\and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it.\But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?! response:	Huh?
context: and she continues to fight.\Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it.\But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh? response:	Be happy.
context: Now she has a chance to marry Lord Takeda and settle down.\Which will bring her happiness?\There's no need to even think about it.\But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh?\Be happy. response:	Huh?!
context: Which will bring her happiness?\There's no need to even think about it.\But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh?\Be happy.\Huh?! response:	The demon!
context: There's no need to even think about it.\But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh?\Be happy.\Huh?!\The demon! response:	Huh?!
context: But!\Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh?\Be happy.\Huh?!\The demon!\Huh?! response:	So he's come!
context: Kagome, you will understand someday, too.\Then what about Sango's feelings?!\Huh?\Be happy.\Huh?!\The demon!\Huh?!\So he's come! response:	Inuyasha!
context: Then what about Sango's feelings?!\Huh?\Be happy.\Huh?!\The demon!\Huh?!\So he's come!\Inuyasha! response:	You're late!
context: Huh?\Be happy.\Huh?!\The demon!\Huh?!\So he's come!\Inuyasha!\You're late! response:	Still, it'll all be over with a swing of my sword.
context: Be happy.\Huh?!\The demon!\Huh?!\So he's come!\Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword. response:	I'll do it! You stay out of this, Inuyasha!
context: Huh?!\The demon!\Huh?!\So he's come!\Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha! response:	Why?!
context: The demon!\Huh?!\So he's come!\Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?! response:	I can handle this small fry!
context: Huh?!\So he's come!\Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry! response:	This is my job!
context: So he's come!\Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry!\This is my job! response:	Besides... I'm in a real bad mood, right now!
context: Inuyasha!\You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now! response:	Okay...
context: You're late!\Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now!\Okay... response:	Did you say something to her, Miroku?!
context: Still, it'll all be over with a swing of my sword.\I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?! response:	Huh? No... I...
context: I'll do it! You stay out of this, Inuyasha!\Why?!\I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?!\Huh? No... I... response:	Take this!
context: Why?!\I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?!\Huh? No... I...\Take this! response:	And this!
context: I can handle this small fry!\This is my job!\Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?!\Huh? No... I...\Take this!\And this! response:	I've never seen Sango looking so fierce.
context: This is my job!\Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?!\Huh? No... I...\Take this!\And this!\I've never seen Sango looking so fierce. response:	Yeah... No one in this world could take her on at this moment.
context: Besides... I'm in a real bad mood, right now!\Okay...\Did you say something to her, Miroku?!\Huh? No... I...\Take this!\And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment. response:	Don't come crying to me!
context: Okay...\Did you say something to her, Miroku?!\Huh? No... I...\Take this!\And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me! response:	Ohh!
context: Did you say something to her, Miroku?!\Huh? No... I...\Take this!\And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh! response:	This is the finishing blow... Hiraikotsu!
context: Huh? No... I...\Take this!\And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu! response:	You did it, Sango!
context: Take this!\And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango! response:	Miroku!
context: And this!\I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku! response:	You miscalculated, Sango.
context: I've never seen Sango looking so fierce.\Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku!\You miscalculated, Sango. response:	I realized it after watching you fight.
context: Yeah... No one in this world could take her on at this moment.\Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku!\You miscalculated, Sango.\I realized it after watching you fight. response:	This demon is actually a vengeful spirit.
context: Don't come crying to me!\Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku!\You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit. response:	It cannot be destroyed the usual way.
context: Ohh!\This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku!\You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way. response:	Evil spirit exorcism!
context: This is the finishing blow... Hiraikotsu!\You did it, Sango!\Miroku!\You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism! response:	Bear ornaments?
context: You did it, Sango!\Miroku!\You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments? response:	Then these bears' vengeful spirit?
context: Miroku!\You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit? response:	No, that's not it.
context: You miscalculated, Sango.\I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it. response:	Look at that.
context: I realized it after watching you fight.\This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it.\Look at that. response:	A bear pelt?
context: This demon is actually a vengeful spirit.\It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it.\Look at that.\A bear pelt? response:	That's the demon we exterminated six years ago.
context: It cannot be destroyed the usual way.\Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it.\Look at that.\A bear pelt?\That's the demon we exterminated six years ago. response:	But we instructed the clan to offer prayers,
context: Evil spirit exorcism!\Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it.\Look at that.\A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers, response:	then bury it in the ground.
context: Bear ornaments?\Then these bears' vengeful spirit?\No, that's not it.\Look at that.\A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground. response:	I can explain.
context: Then these bears' vengeful spirit?\No, that's not it.\Look at that.\A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain. response:	We were following your instructions...
context: No, that's not it.\Look at that.\A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain.\We were following your instructions... response:	and were about to bury it
context: Look at that.\A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain.\We were following your instructions...\and were about to bury it response:	when we were stopped by the late lord.
context: A bear pelt?\That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain.\We were following your instructions...\and were about to bury it\when we were stopped by the late lord. response:	Instead, in accordance with his orders,
context: That's the demon we exterminated six years ago.\But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain.\We were following your instructions...\and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders, response:	wood carvings were made and designated clan treasures
context: But we instructed the clan to offer prayers,\then bury it in the ground.\I can explain.\We were following your instructions...\and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures response:	to use as a way to restore the clan's finances.
context: then bury it in the ground.\I can explain.\We were following your instructions...\and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances. response:	Furthermore, big-bear bean jam cakes, big-bear towels and
context: I can explain.\We were following your instructions...\and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and response:	big-bear coins were marketed.
context: We were following your instructions...\and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed. response:	But they didn't sell.
context: and were about to bury it\when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell. response:	Yes... Well...
context: when we were stopped by the late lord.\Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell.\Yes... Well... response:	Kuranosuke...
context: Instead, in accordance with his orders,\wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell.\Yes... Well...\Kuranosuke... response:	Never mind. Say no more.
context: wood carvings were made and designated clan treasures\to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell.\Yes... Well...\Kuranosuke...\Never mind. Say no more. response:	I understand well how you feel.
context: to use as a way to restore the clan's finances.\Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell.\Yes... Well...\Kuranosuke...\Never mind. Say no more.\I understand well how you feel. response:	Go. Your friends await.
context: Furthermore, big-bear bean jam cakes, big-bear towels and\big-bear coins were marketed.\But they didn't sell.\Yes... Well...\Kuranosuke...\Never mind. Say no more.\I understand well how you feel.\Go. Your friends await. response:	Yes.
context: big-bear coins were marketed.\But they didn't sell.\Yes... Well...\Kuranosuke...\Never mind. Say no more.\I understand well how you feel.\Go. Your friends await.\Yes. response:	Sango, I haven't given up yet.
context: But they didn't sell.\Yes... Well...\Kuranosuke...\Never mind. Say no more.\I understand well how you feel.\Go. Your friends await.\Yes.\Sango, I haven't given up yet. response:	Miroku, what happened to that hat?
context: Yes... Well...\Kuranosuke...\Never mind. Say no more.\I understand well how you feel.\Go. Your friends await.\Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat? response:	Well, the strap broke.
context: Kuranosuke...\Never mind. Say no more.\I understand well how you feel.\Go. Your friends await.\Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke. response:	Thank you.
context: Never mind. Say no more.\I understand well how you feel.\Go. Your friends await.\Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke.\Thank you. response:	Is your wound okay?
context: I understand well how you feel.\Go. Your friends await.\Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke.\Thank you.\Is your wound okay? response:	Yes.
context: Go. Your friends await.\Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke.\Thank you.\Is your wound okay?\Yes. response:	Um... Miroku...
context: Yes.\Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke.\Thank you.\Is your wound okay?\Yes.\Um... Miroku... response:	I'm glad.
context: Sango, I haven't given up yet.\Miroku, what happened to that hat?\Well, the strap broke.\Thank you.\Is your wound okay?\Yes.\Um... Miroku...\I'm glad. response:	Huh?
context: Miroku, what happened to that hat?\Well, the strap broke.\Thank you.\Is your wound okay?\Yes.\Um... Miroku...\I'm glad.\Huh? response:	That we can continue our journey together.
context: Well, the strap broke.\Thank you.\Is your wound okay?\Yes.\Um... Miroku...\I'm glad.\Huh?\That we can continue our journey together. response:	What are you smiling about?
context: Thank you.\Is your wound okay?\Yes.\Um... Miroku...\I'm glad.\Huh?\That we can continue our journey together.\What are you smiling about? response:	Isn't it useful?
context: Is your wound okay?\Yes.\Um... Miroku...\I'm glad.\Huh?\That we can continue our journey together.\What are you smiling about?\Isn't it useful? response:	Thanks to that umbrella, those two look pretty happy together.
context: Yes.\Um... Miroku...\I'm glad.\Huh?\That we can continue our journey together.\What are you smiling about?\Isn't it useful?\Thanks to that umbrella, those two look pretty happy together. response:	Say, Inuyasha. Do you know janken?
context: Um... Miroku...\I'm glad.\Huh?\That we can continue our journey together.\What are you smiling about?\Isn't it useful?\Thanks to that umbrella, those two look pretty happy together.\Say, Inuyasha. Do you know janken? response:	The one who's always sticking around Sesshomaru.
context: I'm glad.\Huh?\That we can continue our journey together.\What are you smiling about?\Isn't it useful?\Thanks to that umbrella, those two look pretty happy together.\Say, Inuyasha. Do you know janken?\The one who's always sticking around Sesshomaru. response:	That's Jaken. I meant rock-paper-scissors!
