context: Major! Major! response:	I'm... okay.
context: What?\What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major.\What's the matter?\Violet?\Major.\Major! response:	You're alive!
context: What if she never comes back to being a Doll?\I'd like to hire a scribe.\Major.\What's the matter?\Violet?\Major.\Major!\You're alive! response:	That outfit.
context: I'd like to hire a scribe.\Major.\What's the matter?\Violet?\Major.\Major!\You're alive!\That outfit. response:	I am currently working as an Auto Memory Doll.
context: Major.\What's the matter?\Violet?\Major.\Major!\You're alive!\That outfit.\I am currently working as an Auto Memory Doll. response:	You are?
context: What's the matter?\Violet?\Major.\Major!\You're alive!\That outfit.\I am currently working as an Auto Memory Doll.\You are? response:	Yes. I scribe letters.
context: Violet?\Major.\Major!\You're alive!\That outfit.\I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters. response:	Letters, you say?
context: Major.\Major!\You're alive!\That outfit.\I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters.\Letters, you say? response:	With the very hands that took the lives of so many?
context: Major!\You're alive!\That outfit.\I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many? response:	Major?
context: You're alive!\That outfit.\I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many?\Major? response:	You write letters to connect people?
context: That outfit.\I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many?\Major?\You write letters to connect people? response:	Major?
context: I am currently working as an Auto Memory Doll.\You are?\Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many?\Major?\You write letters to connect people?\Major? response:	Major.
context: You are?\Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many?\Major?\You write letters to connect people?\Major?\Major. response:	Major!
context: Yes. I scribe letters.\Letters, you say?\With the very hands that took the lives of so many?\Major?\You write letters to connect people?\Major?\Major.\Major! response:	What...
context: Letters, you say?\With the very hands that took the lives of so many?\Major?\You write letters to connect people?\Major?\Major.\Major!\What... response:	should I do?
context: With the very hands that took the lives of so many?\Major?\You write letters to connect people?\Major?\Major.\Major!\What...\should I do? response:	Please.
context: Major?\You write letters to connect people?\Major?\Major.\Major!\What...\should I do?\Please. response:	Please give me an order.
context: You write letters to connect people?\Major?\Major.\Major!\What...\should I do?\Please.\Please give me an order. response:	I've got a letter for you, Violet Evergarden.
context: Major?\Major.\Major!\What...\should I do?\Please.\Please give me an order.\I've got a letter for you, Violet Evergarden. response:	It's addressed to you.
context: Major.\Major!\What...\should I do?\Please.\Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you. response:	Erica and Iris asked me to deliver it.
context: Major!\What...\should I do?\Please.\Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it. response:	Well, I've done my part.
context: What...\should I do?\Please.\Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part. response:	You are still delivering at this hour?
context: should I do?\Please.\Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour? response:	Yes. We found the letters that had been discarded.
context: Please.\Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded. response:	Where's Benedict?
context: Please give me an order.\I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict? response:	He sprained his ankle.
context: I've got a letter for you, Violet Evergarden.\It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle. response:	It's because of those shoes he wears.
context: It's addressed to you.\Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears. response:	What is wrong with you?
context: Erica and Iris asked me to deliver it.\Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you? response:	Ow, ow, ow!
context: Well, I've done my part.\You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow! response:	Well, I'm heading down Craft Street.
context: You are still delivering at this hour?\Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street. response:	Could I get you to cover one street back?
context: Yes. We found the letters that had been discarded.\Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back? response:	After all, each one of them contains someone's precious feelings.
context: Where's Benedict?\He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings. response:	Every letter deserves to be delivered.
context: He sprained his ankle.\It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered. response:	Hey, a letter!
context: It's because of those shoes he wears.\What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter! response:	Mom! It's from Dad!
context: What is wrong with you?\Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad! response:	Have you finished your deliveries?
context: Ow, ow, ow!\Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries? response:	Thanks for the help.
context: Well, I'm heading down Craft Street.\Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help. response:	That's great! They all made it home.
context: Could I get you to cover one street back?\After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home. response:	How are you doing, Violet?
context: After all, each one of them contains someone's precious feelings.\Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home.\How are you doing, Violet? response:	I thought about coming to see you,
context: Every letter deserves to be delivered.\Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you, response:	but after talking with Iris, we decided to write you a letter instead.
context: Hey, a letter!\Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead. response:	It might be strange for a Doll to write to another Doll,
context: Mom! It's from Dad!\Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll, response:	but we wanted you to know that we are worried about you.
context: Have you finished your deliveries?\Thanks for the help.\That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you. response:	And that we are also...
context: Thanks for the help.\That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also... response:	waiting for you.
context: That's great! They all made it home.\How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also...\waiting for you. response:	You might not feel like coming back to work right now,
context: How are you doing, Violet?\I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also...\waiting for you.\You might not feel like coming back to work right now, response:	so, take all the time you need.
context: I thought about coming to see you,\but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also...\waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need. response:	But if something happens, please don't hesitate to call us.
context: but after talking with Iris, we decided to write you a letter instead.\It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also...\waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us. response:	Both Iris and I have faith that you will return.
context: It might be strange for a Doll to write to another Doll,\but we wanted you to know that we are worried about you.\And that we are also...\waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return. response:	Also, someone named Spencer came asking to scribe a letter for him.
context: but we wanted you to know that we are worried about you.\And that we are also...\waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him. response:	He wanted to send a thank you and an apology letter to his younger sister.
context: And that we are also...\waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister. response:	He specifically asked for you...
context: waiting for you.\You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you... response:	and insisted on having you write the letter.
context: You might not feel like coming back to work right now,\so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter. response:	Is this to your satisfaction?
context: so, take all the time you need.\But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction? response:	Yes.
context: But if something happens, please don't hesitate to call us.\Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction?\Yes. response:	It's a little embarrassing sending a letter to your own little sister,
context: Both Iris and I have faith that you will return.\Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister, response:	but I found a new job thanks to her.
context: Also, someone named Spencer came asking to scribe a letter for him.\He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her. response:	She helped me want to start over again.
context: He wanted to send a thank you and an apology letter to his younger sister.\He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again. response:	Sorry for all this. Making you come all the way here.
context: He specifically asked for you...\and insisted on having you write the letter.\Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here. response:	I heard that you were taking some time off work.
context: and insisted on having you write the letter.\Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work. response:	My coworkers informed me of your request...
context: Is this to your satisfaction?\Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request... response:	through a letter.
context: Yes.\It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter. response:	It was the very first letter I'd ever received.
context: It's a little embarrassing sending a letter to your own little sister,\but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received. response:	It helped me realize just how special it is to receive a letter.
context: but I found a new job thanks to her.\She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter. response:	I think Luculia will be very pleased.
context: She helped me want to start over again.\Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased. response:	Thank you.
context: Sorry for all this. Making you come all the way here.\I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you. response:	A person matching their name.
context: I heard that you were taking some time off work.\My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you.\A person matching their name. response:	A name that is suitable.
context: My coworkers informed me of your request...\through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you.\A person matching their name.\A name that is suitable. response:	Violet?
context: through a letter.\It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you.\A person matching their name.\A name that is suitable.\Violet? response:	Violet?
context: It was the very first letter I'd ever received.\It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you.\A person matching their name.\A name that is suitable.\Violet?\Violet? response:	It is just as you said.
context: It helped me realize just how special it is to receive a letter.\I think Luculia will be very pleased.\Thank you.\A person matching their name.\A name that is suitable.\Violet?\Violet?\It is just as you said. response:	I had many burns all over my body.
context: I think Luculia will be very pleased.\Thank you.\A person matching their name.\A name that is suitable.\Violet?\Violet?\It is just as you said.\I had many burns all over my body. response:	Is it okay?
context: Thank you.\A person matching their name.\A name that is suitable.\Violet?\Violet?\It is just as you said.\I had many burns all over my body.\Is it okay? response:	Do I...
context: A person matching their name.\A name that is suitable.\Violet?\Violet?\It is just as you said.\I had many burns all over my body.\Is it okay?\Do I... response:	Do I have a right to be an Auto Memory Doll?
context: A name that is suitable.\Violet?\Violet?\It is just as you said.\I had many burns all over my body.\Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll? response:	Do I...
context: Violet?\Violet?\It is just as you said.\I had many burns all over my body.\Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll?\Do I... response:	Do I have a right to live?
context: Violet?\It is just as you said.\I had many burns all over my body.\Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll?\Do I...\Do I have a right to live? response:	You can't erase the past.
context: It is just as you said.\I had many burns all over my body.\Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll?\Do I...\Do I have a right to live?\You can't erase the past. response:	But...
context: I had many burns all over my body.\Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll?\Do I...\Do I have a right to live?\You can't erase the past.\But... response:	But...
context: Is it okay?\Do I...\Do I have a right to be an Auto Memory Doll?\Do I...\Do I have a right to live?\You can't erase the past.\But...\But... response:	But all your Auto Memory Doll accomplishments...
context: Do I...\Do I have a right to be an Auto Memory Doll?\Do I...\Do I have a right to live?\You can't erase the past.\But...\But...\But all your Auto Memory Doll accomplishments... response:	shall never be forgotten either, Violet Evergarden.
