context: /** paper motion here response:	Grad ceremony (distant shot)(necessary?)
context: Yeah.\For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them.\You might be right. response:	Huh? Why KOOGY?
context: For only being in middle school, they sure work hard, huh?\What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY? response:	Looks like the second stage of his production plan.
context: What's wrong?\That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan. response:	Eh, is that right?
context: That's true, but for some reason those two are in a hurry.\Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right? response:	Besides that, he's designing clothing...
context: Even about not getting serialized for three more years when they've graduated high school.\Well, you know...\thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing... response:	Hm? These are actually pretty tasty.
context: Well, you know...\thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty. response:	Want some, Miho?
context: thee years for us is totally different from three years for them.\You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho? response:	No, I'm good.
context: You might be right.\Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good. response:	What's wrong? You seem down.
context: Huh? Why KOOGY?\Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good.\What's wrong? You seem down. response:	Ah, something happened with Mashiro, didn't it?
context: Looks like the second stage of his production plan.\Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it? response:	Be careful with those emails.
context: Eh, is that right?\Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails. response:	Misunderstandings happen.
context: Besides that, he's designing clothing...\Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen. response:	It could cause a fight.
context: Hm? These are actually pretty tasty.\Want some, Miho?\No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen.\It could cause a fight. response:	I still haven't exchanged emails with Mashiro yet.
context: Want some, Miho?\No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet. response:	Huh?
context: No, I'm good.\What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh? response:	You told him your email address, didn't you?
context: What's wrong? You seem down.\Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you? response:	He's definitely busy.
context: Ah, something happened with Mashiro, didn't it?\Be careful with those emails.\Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you?\He's definitely busy. response:	You can tell how hard it is to be a mangaka just by looking at those two.
context: Be careful with those emails.\Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two. response:	Miho...
context: Misunderstandings happen.\It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho... response:	Then why don't you send him one, instead?
context: It could cause a fight.\I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead? response:	Something like, Do your best!
context: I still haven't exchanged emails with Mashiro yet.\Huh?\You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead?\Something like, Do your best! response:	Or, I'm cheering for you!
context: Huh?\You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you! response:	I still haven't... been told his email address.
context: You told him your email address, didn't you?\He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address. response:	What's Mashiro doing?!
context: He's definitely busy.\You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?! response:	There are limits even to being busy!
context: You can tell how hard it is to be a mangaka just by looking at those two.\Miho...\Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy! response:	Miho, even with us graduating so soon, are you okay with that?
context: Miho...\Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that? response:	You won't be able to see each other like this anymore.
context: Then why don't you send him one, instead?\Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore. response:	Won't you be lonely?
context: Something like, Do your best!\Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely? response:	I'd be lying if I said I won't be lonely, but...
context: Or, I'm cheering for you!\I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but... response:	Right now I want to concentrate on both of our dreams coming true.
context: I still haven't... been told his email address.\What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true. response:	Mashiro-kun is working hard...
context: What's Mashiro doing?!\There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard... response:	so I need to work hard, too.
context: There are limits even to being busy!\Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too. response:	Thanks for caring about all this.
context: Miho, even with us graduating so soon, are you okay with that?\You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this. response:	What're you talking about?
context: You won't be able to see each other like this anymore.\Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this.\What're you talking about? response:	We've been best friends since elementary school!
context: Won't you be lonely?\I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school! response:	Stuff like that's a given.
context: I'd be lying if I said I won't be lonely, but...\Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given. response:	We may be going to different places in high school, but...
context: Right now I want to concentrate on both of our dreams coming true.\Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but... response:	we'll always be together, right?
context: Mashiro-kun is working hard...\so I need to work hard, too.\Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right? response:	What's wrong?
context: so I need to work hard, too.\Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right?\What's wrong? response:	What did you want to talk about?
context: Thanks for caring about all this.\What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right?\What's wrong?\What did you want to talk about? response:	Come on, say it.
context: What're you talking about?\We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right?\What's wrong?\What did you want to talk about?\Come on, say it. response:	I'm busy. It was decided that we're appearing in Jack NEXT!
context: We've been best friends since elementary school!\Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right?\What's wrong?\What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT! response:	Huh? You're running in Jack? That's amazing!
context: Stuff like that's a given.\We may be going to different places in high school, but...\we'll always be together, right?\What's wrong?\What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing! response:	Doesn't that make you a pro?!
context: We may be going to different places in high school, but...\we'll always be together, right?\What's wrong?\What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?! response:	It's Jack NEXT!
context: we'll always be together, right?\What's wrong?\What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT! response:	And pros are people who can make a their whole living off drawing manga.
context: What's wrong?\What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga. response:	Takagi's so cool...
context: What did you want to talk about?\Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool... response:	Don't go telling Azuki.
context: Come on, say it.\I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki. response:	Got it.
context: I'm busy. It was decided that we're appearing in Jack NEXT!\Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki.\Got it. response:	So, what did you want to talk about?
context: Huh? You're running in Jack? That's amazing!\Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki.\Got it.\So, what did you want to talk about? response:	What is it?
context: Doesn't that make you a pro?!\It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki.\Got it.\So, what did you want to talk about?\What is it? response:	Miho told me not to tell you, but...
context: It's Jack NEXT!\And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki.\Got it.\So, what did you want to talk about?\What is it?\Miho told me not to tell you, but... response:	That sort of thing happens a lot with you.
context: And pros are people who can make a their whole living off drawing manga.\Takagi's so cool...\Don't go telling Azuki.\Got it.\So, what did you want to talk about?\What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you. response:	If someone tells you not to say something, don't say it.
context: Takagi's so cool...\Don't go telling Azuki.\Got it.\So, what did you want to talk about?\What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it. response:	Miho's moving.
context: Don't go telling Azuki.\Got it.\So, what did you want to talk about?\What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving. response:	Eh?
context: Got it.\So, what did you want to talk about?\What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving.\Eh? response:	Where?
context: So, what did you want to talk about?\What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving.\Eh?\Where? response:	To Hachiouji.
context: What is it?\Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving.\Eh?\Where?\To Hachiouji. response:	Could that be that she...
context: Miho told me not to tell you, but...\That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving.\Eh?\Where?\To Hachiouji.\Could that be that she... response:	Because of how they're not meeting until their dreams come true...
context: That sort of thing happens a lot with you.\If someone tells you not to say something, don't say it.\Miho's moving.\Eh?\Where?\To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true... response:	I don't know that, but...
context: If someone tells you not to say something, don't say it.\Miho's moving.\Eh?\Where?\To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but... response:	Don't tell Mashiro, okay?
context: Miho's moving.\Eh?\Where?\To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay? response:	If Azuki said not to, I won't.
context: Eh?\Where?\To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't. response:	Is she going to tell him herself?
context: Where?\To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself? response:	Yeah, a little before she moves.
context: To Hachiouji.\Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves. response:	Then...
context: Could that be that she...\Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves.\Then... response:	But don't you think they'll be lonely?
context: Because of how they're not meeting until their dreams come true...\I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves.\Then...\But don't you think they'll be lonely? response:	That will make it easier for both of them.
context: I don't know that, but...\Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves.\Then...\But don't you think they'll be lonely?\That will make it easier for both of them. response:	I want to...
context: Don't tell Mashiro, okay?\If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves.\Then...\But don't you think they'll be lonely?\That will make it easier for both of them.\I want to... response:	before Miho moves and before they graduate,
context: If Azuki said not to, I won't.\Is she going to tell him herself?\Yeah, a little before she moves.\Then...\But don't you think they'll be lonely?\That will make it easier for both of them.\I want to...\before Miho moves and before they graduate, response:	get Miho and Mashiro have one date!
context: Is she going to tell him herself?\Yeah, a little before she moves.\Then...\But don't you think they'll be lonely?\That will make it easier for both of them.\I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date! response:	They should do at least that much!
context: Yeah, a little before she moves.\Then...\But don't you think they'll be lonely?\That will make it easier for both of them.\I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much! response:	Even if they won't kiss, they can at least hold hands and wish each other luck.
context: Then...\But don't you think they'll be lonely?\That will make it easier for both of them.\I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck. response:	Those two... If they are alone,
context: But don't you think they'll be lonely?\That will make it easier for both of them.\I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone, response:	I don't think they would even speak to each other, let alone hold hands.
context: That will make it easier for both of them.\I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands. response:	Even that is good enough!
context: I want to...\before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough! response:	Even if they just look each other in the eyes!
context: before Miho moves and before they graduate,\get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes! response:	But if you try to make Saikou and her do that,
context: get Miho and Mashiro have one date!\They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that, response:	they probably won't be happy about it.
context: They should do at least that much!\Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it. response:	That's not true!
context: Even if they won't kiss, they can at least hold hands and wish each other luck.\Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true! response:	If Mashiro invited her, Miho would definitely be happy!
context: Those two... If they are alone,\I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy! response:	But they promised not to see each other until their dreams came true.
context: I don't think they would even speak to each other, let alone hold hands.\Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true. response:	I'm sure she would be happy if she was told he wanted to date her once before graduation.
context: Even that is good enough!\Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation. response:	That's the kind of person she is.
context: Even if they just look each other in the eyes!\But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is. response:	Really?
context: But if you try to make Saikou and her do that,\they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really? response:	Are those two... just going to keep this up and say goodbye at graduation?
context: they probably won't be happy about it.\That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation? response:	Until their dreams come true?
context: That's not true!\If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true? response:	When will that be?
context: If Mashiro invited her, Miho would definitely be happy!\But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be? response:	Is it certain that they will come true someday?
context: But they promised not to see each other until their dreams came true.\I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be?\Is it certain that they will come true someday? response:	IIf they really like each other, then they wouldn't need their dreams to come true, right?
context: I'm sure she would be happy if she was told he wanted to date her once before graduation.\That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right? response:	Why are you crying?
context: That's the kind of person she is.\Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying? response:	Okay.
context: Really?\Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay. response:	I'll ask him.
context: Are those two... just going to keep this up and say goodbye at graduation?\Until their dreams come true?\When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay.\I'll ask him. response:	It might be a waste of time, though.
context: Until their dreams come true?\When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay.\I'll ask him.\It might be a waste of time, though. response:	Eh, really?
context: When will that be?\Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay.\I'll ask him.\It might be a waste of time, though.\Eh, really? response:	You were faking?
context: Is it certain that they will come true someday?\IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay.\I'll ask him.\It might be a waste of time, though.\Eh, really?\You were faking? response:	I'm different.
context: IIf they really like each other, then they wouldn't need their dreams to come true, right?\Why are you crying?\Okay.\I'll ask him.\It might be a waste of time, though.\Eh, really?\You were faking?\I'm different. response:	Azuki's moving?
context: Why are you crying?\Okay.\I'll ask him.\It might be a waste of time, though.\Eh, really?\You were faking?\I'm different.\Azuki's moving? response:	I see...
context: Okay.\I'll ask him.\It might be a waste of time, though.\Eh, really?\You were faking?\I'm different.\Azuki's moving?\I see... response:	So... we thought it might be nice if the two of you could talk one time before she moves.
context: I'll ask him.\It might be a waste of time, though.\Eh, really?\You were faking?\I'm different.\Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves. response:	We need to win against Eiji and get first place in the questionnaires.
context: It might be a waste of time, though.\Eh, really?\You were faking?\I'm different.\Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires. response:	We don't have that kind of spare time.
context: Eh, really?\You were faking?\I'm different.\Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time. response:	That's true, but...
context: You were faking?\I'm different.\Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but... response:	Why didn't Azuki tell me herself?
context: I'm different.\Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself? response:	But just a little chat wouldn't...
context: Azuki's moving?\I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't... response:	We won't meet until after our dreams have come true.
context: I see...\So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true. response:	Not before that.
context: So... we thought it might be nice if the two of you could talk one time before she moves.\We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that. response:	Why are you being so stubborn?
context: We need to win against Eiji and get first place in the questionnaires.\We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn? response:	Are you some kind of idiot?!
context: We don't have that kind of spare time.\That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn?\Are you some kind of idiot?! response:	You just won't go!
context: That's true, but...\Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go! response:	Miyoshi, calm down!
context: Why didn't Azuki tell me herself?\But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down! response:	You don't understand girls' feelings at all!
context: But just a little chat wouldn't...\We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all! response:	Man, I feel bad for Miho.
context: We won't meet until after our dreams have come true.\Not before that.\Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho. response:	I understand Azuki better than you do!
context: Not before that.\Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho.\I understand Azuki better than you do! response:	You do not!
context: Why are you being so stubborn?\Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho.\I understand Azuki better than you do!\You do not! response:	You don't have a clue!
context: Are you some kind of idiot?!\You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho.\I understand Azuki better than you do!\You do not!\You don't have a clue! response:	There's no way she wouldn't be happy to see you!
context: You just won't go!\Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho.\I understand Azuki better than you do!\You do not!\You don't have a clue!\There's no way she wouldn't be happy to see you! response:	Hey, hey, hey!
context: Miyoshi, calm down!\You don't understand girls' feelings at all!\Man, I feel bad for Miho.\I understand Azuki better than you do!\You do not!\You don't have a clue!\There's no way she wouldn't be happy to see you!\Hey, hey, hey! response:	Cool down a minute, Miyoshi. Saikou, you too.
