context: This Scissor Blade was left behind by the person who killed my father! response:	You're going to tell me!
context: This is a Tennis-spec, Athleticism-augmenting Two-Star Goku Uniform.\A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match! response:	Why do you not wear a Goku Uniform, Miss?
context: A gift from Lady Satsuki.\At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss? response:	This sword is more than sufficient for me.
context: At last, a Two-Star Goku Uniform of my very own!\Thank you, Milady!\Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me. response:	Perhaps no uniform is worthy of you.
context: Thank you, Milady!\Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you. response:	Hey, are you awake?
context: Carry out your mission.\Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake? response:	What the hell are you, Senketsu?
context: Without fail, Milady!\The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu? response:	Quit your quibbling!
context: The entire Tennis Club shall pull together and redouble\its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling! response:	All right, I'll make you wear me by force!
context: its efforts and train even harder for the interleague match!\Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force! response:	W-What kind of perverted outfit is this?!
context: Why do you not wear a Goku Uniform, Miss?\This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?! response:	This is me.
context: This sword is more than sufficient for me.\Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me. response:	Don't be so matter-of-fact about it!
context: Perhaps no uniform is worthy of you.\Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it! response:	Get off me! Come off, damn it!
context: Hey, are you awake?\What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it! response:	Anyway, just get away from me,
context: What the hell are you, Senketsu?\Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me, response:	you perverted sailor uniform!
context: Quit your quibbling!\All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform! response:	Where'd that power come from?
context: All right, I'll make you wear me by force!\W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from? response:	This power is yours and mine.
context: W-What kind of perverted outfit is this?!\This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine. response:	I drank your blood and awakened.
context: This is me.\Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened. response:	Whenever you put me on, whenever I am worn by you,
context: Don't be so matter-of-fact about it!\Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you, response:	that power will be manifested.
context: Get off me! Come off, damn it!\Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested. response:	What are you?
context: Anyway, just get away from me,\you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you? response:	I don't know.
context: you perverted sailor uniform!\Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you?\I don't know. response:	You don't know?
context: Where'd that power come from?\This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you?\I don't know.\You don't know? response:	You just finished calmly explaining how you worked!
context: This power is yours and mine.\I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you?\I don't know.\You don't know?\You just finished calmly explaining how you worked! response:	I am able to explain phenomena that are occurring right now.
context: I drank your blood and awakened.\Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you?\I don't know.\You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now. response:	However, there is much that I do not know.
context: Whenever you put me on, whenever I am worn by you,\that power will be manifested.\What are you?\I don't know.\You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know. response:	My memory... Yes, in your language, you would say that
context: that power will be manifested.\What are you?\I don't know.\You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that response:	there are gaps in my memory.
context: What are you?\I don't know.\You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory. response:	Don't you remember anything?
context: I don't know.\You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything? response:	I do know that the man who constructed me
context: You don't know?\You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me response:	had a beard, an eye patch, and wore a white lab coat.
context: You just finished calmly explaining how you worked!\I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat. response:	He was stooped, wore sandals, had a cane in one hand, and had a mouse.
context: I am able to explain phenomena that are occurring right now.\However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse. response:	That could be only one man my father!
context: However, there is much that I do not know.\My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father! response:	Father?
context: My memory... Yes, in your language, you would say that\there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father? response:	Yeah, Isshin Matoi. He's my father.
context: there are gaps in my memory.\Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father. response:	I'm Ryuko.
context: Don't you remember anything?\I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko. response:	My father made you?
context: I do know that the man who constructed me\had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you? response:	But if I have you, I might be able to beat them!
context: had a beard, an eye patch, and wore a white lab coat.\He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them! response:	You're coming with me for a while, Senketsu.
context: He was stooped, wore sandals, had a cane in one hand, and had a mouse.\That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu. response:	Senketsu?
context: That could be only one man my father!\Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu? response:	It's a hassle if I don't have anything to call you.
context: Father?\Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you. response:	If it was drinking my blood that woke you up,
context: Yeah, Isshin Matoi. He's my father.\I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up, response:	your name is going to be Senketsu fresh blood.
context: I'm Ryuko.\My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood. response:	SENKETSU FRESH BLOOD
context: My father made you?\But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD response:	Just you wait, Satsuki Kiryuin!
context: But if I have you, I might be able to beat them!\You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin! response:	Ryuko! Wake up!
context: You're coming with me for a while, Senketsu.\Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up! response:	We have to hurry up and eat breakfast!
context: Senketsu?\It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast! response:	If I'm late for school again, I'll be expelled!
context: It's a hassle if I don't have anything to call you.\If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled! response:	There's a pretty distinct gap between rich and poor.
context: If it was drinking my blood that woke you up,\your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor. response:	Well, it's a city ruled by Lady Satsuki.
context: your name is going to be Senketsu fresh blood.\SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki. response:	THREE-STAR TWO-STAR ONE-STAR NO-STAR
context: SENKETSU FRESH BLOOD\Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR response:	Top-tier students get put into the exclusive residential area.
context: Just you wait, Satsuki Kiryuin!\Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area. response:	Lower-tier students like us get the slum.
context: Ryuko! Wake up!\We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum. response:	STUDENT COUNCIL PRESIDENT
context: We have to hurry up and eat breakfast!\If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT response:	Your position at school also determines where you live?
context: If I'm late for school again, I'll be expelled!\There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live? response:	HONNOUJI ACADEMY
context: There's a pretty distinct gap between rich and poor.\Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY response:	Yep! Pretty straightforward, huh?
context: Well, it's a city ruled by Lady Satsuki.\THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh? response:	Oh, that reminds me.
context: THREE-STAR TWO-STAR ONE-STAR NO-STAR\Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me. response:	Ryuko, Mom said that if you need a place to
context: Top-tier students get put into the exclusive residential area.\Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to response:	Mom said that! If you don't have a place to stay!
context: Lower-tier students like us get the slum.\STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay! response:	You can stay! With us!
context: STUDENT COUNCIL PRESIDENT\Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us! response:	She's already filed the paperwork!
context: Your position at school also determines where you live?\HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork! response:	Is this any time to be talking about that?!
context: HONNOUJI ACADEMY\Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?! response:	What's the big idea?!
context: Yep! Pretty straightforward, huh?\Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?! response:	Ah, you're the transfer student who
context: Oh, that reminds me.\Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who response:	was rude to Lady Satsuki, as I recall.
context: Ryuko, Mom said that if you need a place to\Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall. response:	Stay out of this.
context: Mom said that! If you don't have a place to stay!\You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this. response:	I'm Girls' Tennis Club Captain Omiko Hakodate.
context: You can stay! With us!\She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate. response:	GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE
context: She's already filed the paperwork!\Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE response:	Club member Mako Mankanshoku
context: Is this any time to be talking about that?!\What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku response:	has failed to fulfill her club obligations.
context: What's the big idea?!\Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations. response:	She is being purged as a result.
context: Ah, you're the transfer student who\was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result. response:	What did Mako do wrong?
context: was rude to Lady Satsuki, as I recall.\Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong? response:	She skipped yesterday's club practice.
context: Stay out of this.\I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice. response:	Our rule is that anyone who fails
context: I'm Girls' Tennis Club Captain Omiko Hakodate.\GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails response:	to come to practice will suffer the 110 Million Cannonball Serves.
context: GIRLS' TENNIS CLUB CAPTAIN OMIKO HAKODATE\Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves. response:	An outsider has no right to complain about internal club policies.
context: Club member Mako Mankanshoku\has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies. response:	Yesterday? Mako was being held hostage yesterday!
context: has failed to fulfill her club obligations.\She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday! response:	Of course she didn't come to your stupid practice!
context: She is being purged as a result.\What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice! response:	The issue is that she was taken hostage without permission.
context: What did Mako do wrong?\She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission. response:	Begin.
context: She skipped yesterday's club practice.\Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin. response:	Cut that out, damn it!
context: Our rule is that anyone who fails\to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it! response:	Go on ahead, Mako!
context: to come to practice will suffer the 110 Million Cannonball Serves.\An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it!\Go on ahead, Mako! response:	You'll be expelled if you're late, right?
context: An outsider has no right to complain about internal club policies.\Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right? response:	Yeah!
context: Yesterday? Mako was being held hostage yesterday!\Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah! response:	Thanks a bunch! I'll see you later,'kay?
context: Of course she didn't come to your stupid practice!\The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay? response:	Yup!
context: The issue is that she was taken hostage without permission.\Begin.\Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup! response:	So, you're saying that you will take us on?
context: Begin.\Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on? response:	I owe her for a meal and a night's lodging.
context: Cut that out, damn it!\Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging. response:	How amusing.
context: Go on ahead, Mako!\You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing. response:	Don't get too full of yourself just because you defeated
context: You'll be expelled if you're late, right?\Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated response:	the Boxing Club's Fukuroda.
context: Yeah!\Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda. response:	I'm gonna make quick work of those Goku Uniforms of yours!
context: Thanks a bunch! I'll see you later,'kay?\Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours! response:	Let's do it, Senketsu!
context: Yup!\So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu! response:	Hey! Hey, let's get to it, Senketsu!
context: So, you're saying that you will take us on?\I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu! response:	Hey, what's wrong with you?!
context: I owe her for a meal and a night's lodging.\How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?! response:	Are you kidding me?!
context: How amusing.\Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?! response:	She's talking to her clothes... How thoroughly disappointing.
context: Don't get too full of yourself just because you defeated\the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing. response:	Wake up, damn it! Hey! What's your problem?!
context: the Boxing Club's Fukuroda.\I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?! response:	Die!
context: I'm gonna make quick work of those Goku Uniforms of yours!\Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?!\Die! response:	Screw you! There's a reason
context: Let's do it, Senketsu!\Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?!\Die!\Screw you! There's a reason response:	What, a love game? No challenge whatsoever...
context: Hey! Hey, let's get to it, Senketsu!\Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?!\Die!\Screw you! There's a reason\What, a love game? No challenge whatsoever... response:	Oh, dear...
context: Hey, what's wrong with you?!\Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?!\Die!\Screw you! There's a reason\What, a love game? No challenge whatsoever...\Oh, dear... response:	You awake, Ryuko?
context: Are you kidding me?!\She's talking to her clothes... How thoroughly disappointing.\Wake up, damn it! Hey! What's your problem?!\Die!\Screw you! There's a reason\What, a love game? No challenge whatsoever...\Oh, dear...\You awake, Ryuko? response:	Wait, aren't you a teacher?
