context: Sometimes, a girl can't stop loving, even if she knows better. response:	She'll find a love she wants to believe in,
context: I'm sorry for making such a weird call to you in the middle of night.\I'm okay now.\But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru! response:	You're too slow! I'll going on ahead!
context: I'm okay now.\But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead! response:	Hey, I'm not a cat!
context: But...\Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat! response:	Hurry up and come, okay!
context: Really, I'm okay.\I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay! response:	I know that!
context: I feel calmer now after talking to you, Usagi. Thank you.\Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay!\I know that! response:	Oh, what is this?!
context: Are you sure?\Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay!\I know that!\Oh, what is this?! response:	I know! It's must be the work of a monster! Where are you?!
context: Usagi?\I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay!\I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?! response:	Show yourselves! Come on!
context: I'll bet Nephrite is closing in on Naru!\You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay!\I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on! response:	Okay, then! Moon Prism Power Makeup!
context: You're too slow! I'll going on ahead!\Hey, I'm not a cat!\Hurry up and come, okay!\I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup! response:	You have finally revealed yourself, Sailor Moon!
context: Hey, I'm not a cat!\Hurry up and come, okay!\I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon! response:	Nephrite!
context: Hurry up and come, okay!\I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite! response:	The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.
context: I know that!\Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly. response:	No way!
context: Oh, what is this?!\I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way! response:	Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!
context: I know! It's must be the work of a monster! Where are you?!\Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?! response:	There is no need for you to hide it anymore.
context: Show yourselves! Come on!\Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore. response:	Not exactly. So, please?
context: Okay, then! Moon Prism Power Makeup!\You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please? response:	Do not worry you are going to die here!
context: You have finally revealed yourself, Sailor Moon!\Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here! response:	I don't wanna die!
context: Nephrite!\The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die! response:	Someone...
context: The true identity of Sailor Moon is Usagi Tsukino. I saw it clearly.\No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die!\Someone... response:	Prepare yourself, Sailor Moon!
context: No way!\Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die!\Someone...\Prepare yourself, Sailor Moon! response:	Defeat is not befitting of the beautiful Sailor Moon.
context: Please! Don't tell anybody that I'm Sailor Moon! Okay?! Please?!\There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die!\Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon. response:	I shall be your opponent!
context: There is no need for you to hide it anymore.\Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die!\Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent! response:	Tuxedo Mask!
context: Not exactly. So, please?\Do not worry you are going to die here!\I don't wanna die!\Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask! response:	Help! Mr. Nephrite!
context: Do not worry you are going to die here!\I don't wanna die!\Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite! response:	That voice is...
context: I don't wanna die!\Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite!\That voice is... response:	What's wrong, Nephrite?
context: Someone...\Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite? response:	We shall conclude this fight another time.
context: Prepare yourself, Sailor Moon!\Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time. response:	Sailor Moon, I know who you are now!
context: Defeat is not befitting of the beautiful Sailor Moon.\I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now! response:	I will be able to attack you at any time now! Be ready!
context: I shall be your opponent!\Tuxedo Mask!\Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready! response:	What'll I do?! He knows who I am!
context: Tuxedo Mask!\Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am! response:	Do not give up just because he knows who you are now.
context: Help! Mr. Nephrite!\That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now. response:	Good-bye.
context: That voice is...\What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye. response:	Tuxedo Mask...
context: What's wrong, Nephrite?\We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask... response:	Jewelry
context: We shall conclude this fight another time.\Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask...\Jewelry response:	Oh, no! I need to contact the sailor warriors!
context: Sailor Moon, I know who you are now!\I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors! response:	Hand over the Black Crystal in exchange for the girl?
context: I will be able to attack you at any time now! Be ready!\What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl? response:	One of Zoisite's minions...
context: What'll I do?! He knows who I am!\Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions... response:	That idiot! Who cares what happens to that girl?!
context: Do not give up just because he knows who you are now.\Good-bye.\Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?! response:	Hurry up, Nephrite.
context: Good-bye.\Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite. response:	Will he really come for this human?
context: Tuxedo Mask...\Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human? response:	Well, if he doesn't show up, we'll just kill the girl.
context: Jewelry\Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl. response:	Poor thing. She's scared.
context: Oh, no! I need to contact the sailor warriors!\Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared. response:	Mr. Nephrite!
context: Hand over the Black Crystal in exchange for the girl?\One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite! response:	Die!
context: One of Zoisite's minions...\That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite!\Die! response:	Did we get him?!
context: That idiot! Who cares what happens to that girl?!\Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite!\Die!\Did we get him?! response:	I will never hand over the Black Crystal to you guys!
context: Hurry up, Nephrite.\Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite!\Die!\Did we get him?!\I will never hand over the Black Crystal to you guys! response:	Tell that to Zoisite!
context: Will he really come for this human?\Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite!\Die!\Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite! response:	Mr. Nephrite, thank you.
context: Well, if he doesn't show up, we'll just kill the girl.\Poor thing. She's scared.\Mr. Nephrite!\Die!\Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you. response:	You do not need to thank me.
context: Poor thing. She's scared.\Mr. Nephrite!\Die!\Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me. response:	I do not even really understand why I rescued you.
context: Mr. Nephrite!\Die!\Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you. response:	And I have kept deceiving you for a long time.
context: Die!\Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time. response:	I may continue to lie to you, even after this.
context: Did we get him?!\I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this. response:	That's okay.
context: I will never hand over the Black Crystal to you guys!\Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay. response:	If you'll just stay close to me,
context: Tell that to Zoisite!\Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me, response:	I don't mind being lied to.
context: Mr. Nephrite, thank you.\You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me,\I don't mind being lied to. response:	Oh, no! You're injured!
context: You do not need to thank me.\I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured! response:	It's okay.
context: I do not even really understand why I rescued you.\And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured!\It's okay. response:	No, it's not! You were hurt because of me! It's okay.
context: And I have kept deceiving you for a long time.\I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay. response:	No, it's not! You were hurt because of me!
context: I may continue to lie to you, even after this.\That's okay.\If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me! response:	It would be bad if those scary people come back, so come this way.
context: That's okay.\If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way. response:	Now, take your jacket off.
context: If you'll just stay close to me,\I don't mind being lied to.\Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off. response:	Okay.
context: I don't mind being lied to.\Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay. response:	In San-chome,
context: Oh, no! You're injured!\It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay.\In San-chome, response:	there's a place that serves really good chocolate parfaits.
context: It's okay.\No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay.\In San-chome,\there's a place that serves really good chocolate parfaits. response:	Chocolate parfaits?
context: No, it's not! You were hurt because of me! It's okay.\No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay.\In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits? response:	Yes. You don't like them?
context: No, it's not! You were hurt because of me!\It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay.\In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them? response:	Oh, no, I like them.
context: It would be bad if those scary people come back, so come this way.\Now, take your jacket off.\Okay.\In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them. response:	You're lying.
context: Now, take your jacket off.\Okay.\In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them.\You're lying. response:	See? Sometimes we lie with kind intentions, too.
context: Okay.\In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too. response:	Thank you.
context: In San-chome,\there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you. response:	I always thought it would be nice to go to there one day
context: there's a place that serves really good chocolate parfaits.\Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day response:	and have a chocolate parfait with you.
context: Chocolate parfaits?\Yes. You don't like them?\Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you. response:	It's a little dream of mine.
context: Yes. You don't like them?\Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine. response:	It sounds good. Let's do it someday.
context: Oh, no, I like them.\You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday. response:	Really?
context: You're lying.\See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday.\Really? response:	Do you think I'm lying?
context: See? Sometimes we lie with kind intentions, too.\Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday.\Really?\Do you think I'm lying? response:	Not at all. I'm so happy!
context: Thank you.\I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday.\Really?\Do you think I'm lying?\Not at all. I'm so happy! response:	Oh, come to think of it,
context: I always thought it would be nice to go to there one day\and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday.\Really?\Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it, response:	does the evil organization give you Sundays off, too?
context: and have a chocolate parfait with you.\It's a little dream of mine.\It sounds good. Let's do it someday.\Really?\Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too? response:	You laughed!
context: It's a little dream of mine.\It sounds good. Let's do it someday.\Really?\Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed! response:	It's weird. My eyes are tearing.
context: It sounds good. Let's do it someday.\Really?\Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing. response:	Mr. Nephrite!
context: Really?\Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite! response:	You let your guard down.
context: Do you think I'm lying?\Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down. response:	Those thorns will keep sucking your energy until you die!
context: Not at all. I'm so happy!\Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die! response:	What a miserable way to die.
context: Oh, come to think of it,\does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die. response:	If you do not want us to kill the girl, hand over the Black Crystal!
context: does the evil organization give you Sundays off, too?\You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal! response:	Very well.
context: You laughed!\It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well. response:	Hurry, run!
context: It's weird. My eyes are tearing.\Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run! response:	No! Hurry, run!
context: Mr. Nephrite!\You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run!\No! Hurry, run! response:	No!
context: You let your guard down.\Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run!\No! Hurry, run!\No! response:	No! Run!
context: Those thorns will keep sucking your energy until you die!\What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run!\No! Hurry, run!\No!\No! Run! response:	Run!
context: What a miserable way to die.\If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run!\No! Hurry, run!\No!\No! Run!\Run! response:	No! No! Run!
context: If you do not want us to kill the girl, hand over the Black Crystal!\Very well.\Hurry, run!\No! Hurry, run!\No!\No! Run!\Run!\No! No! Run! response:	No! No!
context: Very well.\Hurry, run!\No! Hurry, run!\No!\No! Run!\Run!\No! No! Run!\No! No! response:	You idiot! Run!
context: Hurry, run!\No! Hurry, run!\No!\No! Run!\Run!\No! No! Run!\No! No!\You idiot! Run! response:	No!
context: No! Hurry, run!\No!\No! Run!\Run!\No! No! Run!\No! No!\You idiot! Run!\No! response:	Do you think you can pull them out with the strength of a human?
context: No!\No! Run!\Run!\No! No! Run!\No! No!\You idiot! Run!\No!\Do you think you can pull them out with the strength of a human? response:	Hurry! Hurry up and run!
context: No! Run!\Run!\No! No! Run!\No! No!\You idiot! Run!\No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run! response:	That's enough. It's okay.
context: Run!\No! No! Run!\No! No!\You idiot! Run!\No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay. response:	What?!
context: No! No! Run!\No! No!\You idiot! Run!\No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay.\What?! response:	Impossible!
context: No! No!\You idiot! Run!\No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay.\What?!\Impossible! response:	Mr. Nephrite, please don't die!
context: You idiot! Run!\No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay.\What?!\Impossible!\Mr. Nephrite, please don't die! response:	Damn it, I'll take care of both of them at once!
context: No!\Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay.\What?!\Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once! response:	Die!
context: Do you think you can pull them out with the strength of a human?\Hurry! Hurry up and run!\That's enough. It's okay.\What?!\Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die! response:	Are you okay?
context: Hurry! Hurry up and run!\That's enough. It's okay.\What?!\Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die!\Are you okay? response:	Mr. Nephrite!
context: That's enough. It's okay.\What?!\Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die!\Are you okay?\Mr. Nephrite! response:	Good work, all of you. The Black Crystal is mine now.
context: What?!\Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die!\Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now. response:	You should be happy to able to die with the girl you love.
context: Impossible!\Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die!\Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love. response:	You guys make sure to have plenty of fun with them.
context: Mr. Nephrite, please don't die!\Damn it, I'll take care of both of them at once!\Die!\Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them. response:	You coward.
context: Damn it, I'll take care of both of them at once!\Die!\Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward. response:	Are you ready?
context: Die!\Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward.\Are you ready? response:	Run!
context: Are you okay?\Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward.\Are you ready?\Run! response:	No!
context: Mr. Nephrite!\Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward.\Are you ready?\Run!\No! response:	Hold it right there!
context: Good work, all of you. The Black Crystal is mine now.\You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward.\Are you ready?\Run!\No!\Hold it right there! response:	You're really mean, trying to interfere with two people in love!
context: You should be happy to able to die with the girl you love.\You guys make sure to have plenty of fun with them.\You coward.\Are you ready?\Run!\No!\Hold it right there!\You're really mean, trying to interfere with two people in love! response:	Sailor warriors!
context: You guys make sure to have plenty of fun with them.\You coward.\Are you ready?\Run!\No!\Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors! response:	In the name of the moon, I will punish you!
context: You coward.\Are you ready?\Run!\No!\Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you! response:	Stand under a cold waterfall and reflect on your conduct!
context: Are you ready?\Run!\No!\Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct! response:	In the name of Mars, I will chastise you!
context: Run!\No!\Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you! response:	We will take care of you guys first! Die!
context: No!\Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die! response:	Bubble
context: Hold it right there!\You're really mean, trying to interfere with two people in love!\Sailor warriors!\In the name of the moon, I will punish you!\Stand under a cold waterfall and reflect on your conduct!\In the name of Mars, I will chastise you!\We will take care of you guys first! Die!\Bubble response:	Spray!
