context: We're unstoppable! response:	It's because we're Fairy Tail, see?!
context: but after entering a guild, his magic has become even more polished.\White Blizzard!\You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic.\Memory Make. response:	There it is...
context: White Blizzard!\You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic.\Memory Make.\There it is... response:	What kind of Molding Magic is that?!
context: You waste your time.\I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic.\Memory Make.\There it is...\What kind of Molding Magic is that?! response:	Magic that gives form to memories?
context: I don't think so.\I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic.\Memory Make.\There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories? response:	That's...
context: I'm using White Blizzard to search for the location of your real body!\Over there! White Fang!\I remember that magic.\Memory Make.\There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories?\That's... response:	In other words, Ancient Magic.
context: Over there! White Fang!\I remember that magic.\Memory Make.\There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories?\That's...\In other words, Ancient Magic. response:	So there's more to this than meets the eye, huh?
context: I remember that magic.\Memory Make.\There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories?\That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh? response:	Oh, boy! W-What is...?
context: Memory Make.\There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories?\That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...? response:	It's getting kind of hot out here...
context: There it is...\What kind of Molding Magic is that?!\Magic that gives form to memories?\That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here... response:	I'm sensing the rise of a tremendous magic power...
context: What kind of Molding Magic is that?!\Magic that gives form to memories?\That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power... response:	Rage of the Burning Earth!
context: Magic that gives form to memories?\That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth! response:	The match is over!
context: That's...\In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over! response:	Eve fought a good fight, but he fell short of Rufus!
context: In other words, Ancient Magic.\So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus! response:	The winner is Rufus of Sabertooth!
context: So there's more to this than meets the eye, huh?\Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth! response:	He really is strong!
context: Oh, boy! W-What is...?\It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong! response:	Memory Molding...
context: It's getting kind of hot out here...\I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding... response:	It's my job to beat him.
context: I'm sensing the rise of a tremendous magic power...\Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding...\It's my job to beat him. response:	How could Eve lose like that? Crap...
context: Rage of the Burning Earth!\The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap... response:	Still, he really did do his best...
context: The match is over!\Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best... response:	Meister...
context: Eve fought a good fight, but he fell short of Rufus!\The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best...\Meister... response:	We've really fallen hard in the rankings...
context: The winner is Rufus of Sabertooth!\He really is strong!\Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best...\Meister...\We've really fallen hard in the rankings... response:	Like a flower's parfum, be at ease, men.
context: He really is strong!\Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best...\Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men. response:	We still have a secret weapon.
context: Memory Molding...\It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best...\Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon. response:	We have a secret weapon.
context: It's my job to beat him.\How could Eve lose like that? Crap...\Still, he really did do his best...\Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon. response:	It's so important that I said it twice.
context: How could Eve lose like that? Crap...\Still, he really did do his best...\Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice. response:	So we've learned.
context: Still, he really did do his best...\Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice.\So we've learned. response:	At any rate, I wonder who that rabbit really is...
context: Meister...\We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is... response:	If he won't even tell us...
context: We've really fallen hard in the rankings...\Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us... response:	Don't tell me it's not even a member of our guild?
context: Like a flower's parfum, be at ease, men.\We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild? response:	That'd be against the rules!
context: We still have a secret weapon.\We have a secret weapon.\It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules! response:	Moving right along, let's begin the third match-kabo!
context: We have a secret weapon.\It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo! response:	From the Fairy Tail B team, Laxus Dreyar!
context: It's so important that I said it twice.\So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar! response:	Versus Alexei of Raven Tail!
context: So we've learned.\At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail! response:	It's Laxus!
context: At any rate, I wonder who that rabbit really is...\If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus! response:	His opponent is from Ivan's guild...
context: If he won't even tell us...\Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild... response:	Good luck, Laxus!
context: Don't tell me it's not even a member of our guild?\That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus! response:	I'm sure you got nothin' to worry about.
context: That'd be against the rules!\Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about. response:	We're talking about Laxus here...
context: Moving right along, let's begin the third match-kabo!\From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here... response:	But... Juvia's got a bad feeling about this...
context: From the Fairy Tail B team, Laxus Dreyar!\Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this... response:	There's been bad blood between father and son guilds since day one, right, Yajima-san?
context: Versus Alexei of Raven Tail!\It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san? response:	Lahar-kun, you brought along people from the Corps, right?
context: It's Laxus!\His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right? response:	Yes. A few.
context: His opponent is from Ivan's guild...\Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few. response:	Because of regulations...
context: Good luck, Laxus!\I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations... response:	Keep a close eye on Raven Tail.
context: I'm sure you got nothin' to worry about.\We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail. response:	If there's any skulduggery, stop the match immediately.
context: We're talking about Laxus here...\But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately. response:	Right.
context: But... Juvia's got a bad feeling about this...\There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right. response:	Warren...
context: There's been bad blood between father and son guilds since day one, right, Yajima-san?\Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right.\Warren... response:	Roger!
context: Lahar-kun, you brought along people from the Corps, right?\Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right.\Warren...\Roger! response:	This is HQ! Bisca, can you hear me?
context: Yes. A few.\Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right.\Warren...\Roger!\This is HQ! Bisca, can you hear me? response:	What do you mean HQ, Warren?
context: Because of regulations...\Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right.\Warren...\Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren? response:	No movement from Master Ivan. Go ahead.
context: Keep a close eye on Raven Tail.\If there's any skulduggery, stop the match immediately.\Right.\Warren...\Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead. response:	Roger!
context: If there's any skulduggery, stop the match immediately.\Right.\Warren...\Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger! response:	Team Raijinshuu plus Lisanna...
context: Right.\Warren...\Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna... response:	How'bout you?
context: Warren...\Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna...\How'bout you? response:	This is Raijinshuu plus Lisanna.
context: Roger!\This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna. response:	Currently, there are no conspicuous movements from Raven Tail.
context: This is HQ! Bisca, can you hear me?\What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail. response:	I'm not gonna let you do any funny business like that first day, Crow-chan!
context: What do you mean HQ, Warren?\No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan! response:	Just try to tarnish Laxus's valor.
context: No movement from Master Ivan. Go ahead.\Roger!\Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor. response:	The Raijinshuu won't guarantee your lives.
context: Roger!\Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives. response:	Ever says she wants to go back by Elfman...
context: Team Raijinshuu plus Lisanna...\How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman... response:	Please grant her permission.
context: How'bout you?\This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission. response:	I said no such thing!
context: This is Raijinshuu plus Lisanna.\Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing! response:	Ivan...
context: Currently, there are no conspicuous movements from Raven Tail.\I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing!\Ivan... response:	I won't let you pull any more cowardly stunts.
context: I'm not gonna let you do any funny business like that first day, Crow-chan!\Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts. response:	Is something wrong, First Master?
context: Just try to tarnish Laxus's valor.\The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master? response:	No, nothing.
context: The Raijinshuu won't guarantee your lives.\Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing. response:	Doing everything in your power to protect your comrades...
context: Ever says she wants to go back by Elfman...\Please grant her permission.\I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades... response:	And just a little bit of enjoying the circumstances...
context: Please grant her permission.\I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances... response:	It's splendid.
context: I said no such thing!\Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid. response:	The ultimate form of my aspirations
context: Ivan...\I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations response:	is right before my eyes.
context: I won't let you pull any more cowardly stunts.\Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations\is right before my eyes. response:	Don't forget this, Third Master.
context: Is something wrong, First Master?\No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master. response:	Um... Or is it sixth?
context: No, nothing.\Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth? response:	I appreciate the kind words.
context: Doing everything in your power to protect your comrades...\And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words. response:	And it's actually the seventh...
context: And just a little bit of enjoying the circumstances...\It's splendid.\The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh... response:	Sixth is right!
context: It's splendid.\The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh...\Sixth is right! response:	Get a grip!
context: The ultimate form of my aspirations\is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh...\Sixth is right!\Get a grip! response:	Both of you, step forward!
context: is right before my eyes.\Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh...\Sixth is right!\Get a grip!\Both of you, step forward! response:	Let the match begin!
context: Don't forget this, Third Master.\Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh...\Sixth is right!\Get a grip!\Both of you, step forward!\Let the match begin! response:	So you're in my old man's guild?
context: Um... Or is it sixth?\I appreciate the kind words.\And it's actually the seventh...\Sixth is right!\Get a grip!\Both of you, step forward!\Let the match begin!\So you're in my old man's guild? response:	Who the hell are you, anyway...?
context: I appreciate the kind words.\And it's actually the seventh...\Sixth is right!\Get a grip!\Both of you, step forward!\Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...? response:	This guy...
context: And it's actually the seventh...\Sixth is right!\Get a grip!\Both of you, step forward!\Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...?\This guy... response:	How...?
context: Sixth is right!\Get a grip!\Both of you, step forward!\Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...?\This guy...\How...? response:	You gotta be kiddin' me!
context: Get a grip!\Both of you, step forward!\Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...?\This guy...\How...?\You gotta be kiddin' me! response:	He's getting his ass kicked?
context: Both of you, step forward!\Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...?\This guy...\How...?\You gotta be kiddin' me!\He's getting his ass kicked? response:	I don't believe it... Laxus?!
context: Let the match begin!\So you're in my old man's guild?\Who the hell are you, anyway...?\This guy...\How...?\You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?! response:	W-What's going on?
context: So you're in my old man's guild?\Who the hell are you, anyway...?\This guy...\How...?\You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on? response:	Who the hell is that masked freak?!
context: Who the hell are you, anyway...?\This guy...\How...?\You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?! response:	No way! Laxus...?!
context: This guy...\How...?\You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?! response:	My goodness... Alexei keeps pouring it on!
context: How...?\You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on! response:	Laxus can't even lift a finger!
context: You gotta be kiddin' me!\He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger! response:	What the hell is this?
context: He's getting his ass kicked?\I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this? response:	A kind of Hallucination Magic.
context: I don't believe it... Laxus?!\W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic. response:	Everyone around us
context: W-What's going on?\Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic.\Everyone around us response:	is talking about this right now. They can't see our true bodies.
context: Who the hell is that masked freak?!\No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies. response:	They can't hear us either.
context: No way! Laxus...?!\My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either. response:	What they see are phantoms fighting.
context: My goodness... Alexei keeps pouring it on!\Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting. response:	It looks real, doesn't it?
context: Laxus can't even lift a finger!\What the hell is this?\A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it? response:	Not one person realizes it's an illusion.
context: What the hell is this?\A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion. response:	The crowd is watching images of the mighty Laxus as helpless as a baby.
context: A kind of Hallucination Magic.\Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby. response:	Why is Laxus on the ropes like this?!
context: Everyone around us\is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?! response:	Bisca!
context: is talking about this right now. They can't see our true bodies.\They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca! response:	Ivan isn't doing anything!
context: They can't hear us either.\What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything! response:	Raijinshuu plus Lisanna!
context: What they see are phantoms fighting.\It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna! response:	I don't think they're doing anything crooked over here either!
context: It looks real, doesn't it?\Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either! response:	This is unbelievable! Laxus! It's time to get serious!
context: Not one person realizes it's an illusion.\The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious! response:	Dammit...
context: The crowd is watching images of the mighty Laxus as helpless as a baby.\Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit... response:	Laxus! What's wrong?!
context: Why is Laxus on the ropes like this?!\Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?! response:	It seems that even your guild idolizes you.
context: Bisca!\Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you. response:	I wonder how your compatriots feel while watching this...
context: Ivan isn't doing anything!\Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this... response:	Laxus!
context: Raijinshuu plus Lisanna!\I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus! response:	Hey, come on...
context: I don't think they're doing anything crooked over here either!\This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on... response:	I've got no idea what this is about.
context: This is unbelievable! Laxus! It's time to get serious!\Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on...\I've got no idea what this is about. response:	About?
context: Dammit...\Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on...\I've got no idea what this is about.\About? response:	What's the point of winning an illusory battle?
context: Laxus! What's wrong?!\It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on...\I've got no idea what this is about.\About?\What's the point of winning an illusory battle? response:	Exactly.
context: It seems that even your guild idolizes you.\I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on...\I've got no idea what this is about.\About?\What's the point of winning an illusory battle?\Exactly. response:	Our goal isn't victory.
context: I wonder how your compatriots feel while watching this...\Laxus!\Hey, come on...\I've got no idea what this is about.\About?\What's the point of winning an illusory battle?\Exactly.\Our goal isn't victory. response:	This hallucination is just camouflage.
