context: Half-demon Inuyasha covets the power of the Sacred Jewel. response:	He was able to take possession of Tetsusaiga, his father's sword...
context: Oh well!\Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?! response:	Nobunaga is here to rescue you!
context: Hang on tight!\Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you! response:	Princess! Princess Tsuyu!
context: Such lax security... Everyone's asleep.\Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu! response:	Is it safe for him to yell like that?
context: Master Inuyasha, please be careful.\They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that? response:	Well, everyone's under a hypnotic sleep.
context: They're under a hypnotic sleep.\Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep. response:	With this much noise...
context: Probably everyone here in the castle.\Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise... response:	I'm sure the demon will come seeking us out.
context: Princess! Princess Tsuyu!\Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out. response:	Princess!
context: Princess Tsuyu! Where are you?!\Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out.\Princess! response:	Princess Tsuyu!
context: Nobunaga is here to rescue you!\Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu! response:	Are you all right?!
context: Princess! Princess Tsuyu!\Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu!\Are you all right?! response:	Princess, what has become of you?!
context: Is it safe for him to yell like that?\Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu!\Are you all right?!\Princess, what has become of you?! response:	Say, Nobunaga...
context: Well, everyone's under a hypnotic sleep.\With this much noise...\I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu!\Are you all right?!\Princess, what has become of you?!\Say, Nobunaga... response:	Isn't the princess you're looking for... over here?
context: With this much noise...\I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu!\Are you all right?!\Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here? response:	Huh?
context: I'm sure the demon will come seeking us out.\Princess!\Princess Tsuyu!\Are you all right?!\Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh? response:	Oh!
context: Princess!\Princess Tsuyu!\Are you all right?!\Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh?\Oh! response:	Such a beautiful princess!
context: Princess Tsuyu!\Are you all right?!\Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh?\Oh!\Such a beautiful princess! response:	We must awaken her!
context: Are you all right?!\Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh?\Oh!\Such a beautiful princess!\We must awaken her! response:	I'll taste her blood!
context: Princess, what has become of you?!\Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh?\Oh!\Such a beautiful princess!\We must awaken her!\I'll taste her blood! response:	Princess!
context: Say, Nobunaga...\Isn't the princess you're looking for... over here?\Huh?\Oh!\Such a beautiful princess!\We must awaken her!\I'll taste her blood!\Princess! response:	Nobunaga? Why are you here?
context: Isn't the princess you're looking for... over here?\Huh?\Oh!\Such a beautiful princess!\We must awaken her!\I'll taste her blood!\Princess!\Nobunaga? Why are you here? response:	Princess Tsuyu... you recognize me?
context: Huh?\Oh!\Such a beautiful princess!\We must awaken her!\I'll taste her blood!\Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me? response:	How could I forget you?
context: Oh!\Such a beautiful princess!\We must awaken her!\I'll taste her blood!\Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you? response:	You are my childhood friend who was ever so kind to me.
context: Such a beautiful princess!\We must awaken her!\I'll taste her blood!\Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me. response:	Oh... Thank you for those words!
context: We must awaken her!\I'll taste her blood!\Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words! response:	I thought you had long forgotten a lowly vassal like me.
context: I'll taste her blood!\Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me. response:	You'd fall into the pond... or slip on horse dung...
context: Princess!\Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung... response:	and always made me laugh.
context: Nobunaga? Why are you here?\Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh. response:	Say, Inuyasha...
context: Princess Tsuyu... you recognize me?\How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha... response:	Do you think Nobunaga is in love with the princess?
context: How could I forget you?\You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess? response:	What a silly question!
context: You are my childhood friend who was ever so kind to me.\Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question! response:	I wish I could return to those days!
context: Oh... Thank you for those words!\I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days! response:	Princess!
context: I thought you had long forgotten a lowly vassal like me.\You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days!\Princess! response:	My lord husband began to act strange...
context: You'd fall into the pond... or slip on horse dung...\and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days!\Princess!\My lord husband began to act strange... response:	shortly after I came here as his bride.
context: and always made me laugh.\Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days!\Princess!\My lord husband began to act strange...\shortly after I came here as his bride. response:	He fell at the edge of the pond in the garden...
context: Say, Inuyasha...\Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days!\Princess!\My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden... response:	and ran a terrible fever.
context: Do you think Nobunaga is in love with the princess?\What a silly question!\I wish I could return to those days!\Princess!\My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever. response:	He completely changed... Almost like he was another being.
context: What a silly question!\I wish I could return to those days!\Princess!\My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being. response:	Nobunaga, what am I to do?!
context: I wish I could return to those days!\Princess!\My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?! response:	You have no choice!
context: Princess!\My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice! response:	You must return with me to the land of Kai.
context: My lord husband began to act strange...\shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai. response:	Even your father has heard of this lord's derangement.
context: shortly after I came here as his bride.\He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement. response:	In fact, he ordered me to come for you.
context: He fell at the edge of the pond in the garden...\and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you. response:	My father's orders?
context: and ran a terrible fever.\He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders? response:	Even had he not ordered it...
context: He completely changed... Almost like he was another being.\Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it... response:	I would have...
context: Nobunaga, what am I to do?!\You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it...\I would have... response:	Nobunaga...
context: You have no choice!\You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it...\I would have...\Nobunaga... response:	Princess Tsuyu, I...
context: You must return with me to the land of Kai.\Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it...\I would have...\Nobunaga...\Princess Tsuyu, I... response:	Nobunaga...
context: Even your father has heard of this lord's derangement.\In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it...\I would have...\Nobunaga...\Princess Tsuyu, I...\Nobunaga... response:	On top of your head...
context: In fact, he ordered me to come for you.\My father's orders?\Even had he not ordered it...\I would have...\Nobunaga...\Princess Tsuyu, I...\Nobunaga...\On top of your head... response:	Hiyoshimaru!
context: My father's orders?\Even had he not ordered it...\I would have...\Nobunaga...\Princess Tsuyu, I...\Nobunaga...\On top of your head...\Hiyoshimaru! response:	Hmm... It's come.
context: Even had he not ordered it...\I would have...\Nobunaga...\Princess Tsuyu, I...\Nobunaga...\On top of your head...\Hiyoshimaru!\Hmm... It's come. response:	Let's go, Kagome.
context: I would have...\Nobunaga...\Princess Tsuyu, I...\Nobunaga...\On top of your head...\Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome. response:	Uh-huh.
context: Nobunaga...\Princess Tsuyu, I...\Nobunaga...\On top of your head...\Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome.\Uh-huh. response:	Intruders!
context: Princess Tsuyu, I...\Nobunaga...\On top of your head...\Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome.\Uh-huh.\Intruders! response:	So there you are, you demon!
context: Nobunaga...\On top of your head...\Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome.\Uh-huh.\Intruders!\So there you are, you demon! response:	Let us...
context: On top of your head...\Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome.\Uh-huh.\Intruders!\So there you are, you demon!\Let us... response:	see your true form!
context: Hiyoshimaru!\Hmm... It's come.\Let's go, Kagome.\Uh-huh.\Intruders!\So there you are, you demon!\Let us...\see your true form! response:	A toad?!
context: Hmm... It's come.\Let's go, Kagome.\Uh-huh.\Intruders!\So there you are, you demon!\Let us...\see your true form!\A toad?! response:	My lord!
context: Let's go, Kagome.\Uh-huh.\Intruders!\So there you are, you demon!\Let us...\see your true form!\A toad?!\My lord! response:	Princess! Hang on!
context: Uh-huh.\Intruders!\So there you are, you demon!\Let us...\see your true form!\A toad?!\My lord!\Princess! Hang on! response:	I see it... the Sacred Jewel!
context: Intruders!\So there you are, you demon!\Let us...\see your true form!\A toad?!\My lord!\Princess! Hang on!\I see it... the Sacred Jewel! response:	For someone with the Jewel, he doesn't look strong.
context: So there you are, you demon!\Let us...\see your true form!\A toad?!\My lord!\Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong. response:	Beware of him, Master Inuyasha.
context: Let us...\see your true form!\A toad?!\My lord!\Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha. response:	This demon toad is 300 years old...
context: see your true form!\A toad?!\My lord!\Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old... response:	the Toad of Tsukumo.
context: A toad?!\My lord!\Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo. response:	He is a formidable foe!
context: My lord!\Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe! response:	Oh no! Toxic vapors!
context: Princess! Hang on!\I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors! response:	Kagome, do not inhale it!
context: I see it... the Sacred Jewel!\For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it! response:	Okay... When'd you get here?
context: For someone with the Jewel, he doesn't look strong.\Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here? response:	Princess Tsuyu!
context: Beware of him, Master Inuyasha.\This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu! response:	Get back, Monster!
context: This demon toad is 300 years old...\the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster! response:	Fool! Just what can you do, mortal?!
context: the Toad of Tsukumo.\He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?! response:	Nobunaga!
context: He is a formidable foe!\Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga! response:	Princess!
context: Oh no! Toxic vapors!\Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga!\Princess! response:	Princess!
context: Kagome, do not inhale it!\Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga!\Princess!\Princess! response:	Don't move! You're badly wounded!
context: Okay... When'd you get here?\Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga!\Princess!\Princess!\Don't move! You're badly wounded! response:	Never mind me! Save the princess!
context: Princess Tsuyu!\Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga!\Princess!\Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess! response:	Nobunaga... You truly love the princess, don't you?
context: Get back, Monster!\Fool! Just what can you do, mortal?!\Nobunaga!\Princess!\Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you? response:	How could you tell?!
context: Fool! Just what can you do, mortal?!\Nobunaga!\Princess!\Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?! response:	Don't you know it's pretty obvious?
context: Nobunaga!\Princess!\Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious? response:	That disgusting toad!
context: Princess!\Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad! response:	He won't get away!
context: Princess!\Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad!\He won't get away! response:	I'm going on ahead!
context: Don't move! You're badly wounded!\Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad!\He won't get away!\I'm going on ahead! response:	Halt!
context: Never mind me! Save the princess!\Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad!\He won't get away!\I'm going on ahead!\Halt! response:	Hey!
context: Nobunaga... You truly love the princess, don't you?\How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad!\He won't get away!\I'm going on ahead!\Halt!\Hey! response:	Princess Tsuyu... I like you...
context: How could you tell?!\Don't you know it's pretty obvious?\That disgusting toad!\He won't get away!\I'm going on ahead!\Halt!\Hey!\Princess Tsuyu... I like you... response:	Let me have you!
context: Don't you know it's pretty obvious?\That disgusting toad!\He won't get away!\I'm going on ahead!\Halt!\Hey!\Princess Tsuyu... I like you...\Let me have you! response:	Found you, you repulsive toad!
context: That disgusting toad!\He won't get away!\I'm going on ahead!\Halt!\Hey!\Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad! response:	It's too late...
context: He won't get away!\I'm going on ahead!\Halt!\Hey!\Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad!\It's too late... response:	Wh-what are these?!
context: I'm going on ahead!\Halt!\Hey!\Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad!\It's too late...\Wh-what are these?! response:	Princess Tsuyu!
context: Halt!\Hey!\Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad!\It's too late...\Wh-what are these?!\Princess Tsuyu! response:	The rumors were true... Just like toad spawn.
context: Hey!\Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad!\It's too late...\Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn. response:	The Tsukumo toad demon seals the souls of young women...
context: Princess Tsuyu... I like you...\Let me have you!\Found you, you repulsive toad!\It's too late...\Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women... response:	until they mature, then eats them.
context: Let me have you!\Found you, you repulsive toad!\It's too late...\Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them. response:	He used the magical powers of the Sacred Jewel...
context: Found you, you repulsive toad!\It's too late...\Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel... response:	to possess the clan lord, as well as the domain.
context: It's too late...\Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain. response:	He intends... He intends to devour Princess Tsuyu?!
context: Wh-what are these?!\Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?! response:	Why you...!
context: Princess Tsuyu!\The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...! response:	A miasma! Back away!
context: The rumors were true... Just like toad spawn.\The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away! response:	Die, Toad Demon!
context: The Tsukumo toad demon seals the souls of young women...\until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away!\Die, Toad Demon! response:	You did it!
context: until they mature, then eats them.\He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away!\Die, Toad Demon!\You did it! response:	Ohh! You're controlling the Tetsusaiga!
context: He used the magical powers of the Sacred Jewel...\to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away!\Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga! response:	Well, he is rescuing a mortal.
context: to possess the clan lord, as well as the domain.\He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away!\Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal. response:	I'll use Tetsusaiga to slit your belly...
context: He intends... He intends to devour Princess Tsuyu?!\Why you...!\A miasma! Back away!\Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly... response:	and dig out the Sacred Jewel!
context: Why you...!\A miasma! Back away!\Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel! response:	I'll die!
context: A miasma! Back away!\Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die! response:	Spirits!
context: Die, Toad Demon!\You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die!\Spirits! response:	Spirits!
context: You did it!\Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die!\Spirits!\Spirits! response:	Revival!
context: Ohh! You're controlling the Tetsusaiga!\Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die!\Spirits!\Spirits!\Revival! response:	His wound has healed!
context: Well, he is rescuing a mortal.\I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die!\Spirits!\Spirits!\Revival!\His wound has healed! response:	Why that!
context: I'll use Tetsusaiga to slit your belly...\and dig out the Sacred Jewel!\I'll die!\Spirits!\Spirits!\Revival!\His wound has healed!\Why that! response:	Keep stabbing me!
context: and dig out the Sacred Jewel!\I'll die!\Spirits!\Spirits!\Revival!\His wound has healed!\Why that!\Keep stabbing me! response:	And for each wound, I'll eat a fresh spirit!
context: I'll die!\Spirits!\Spirits!\Revival!\His wound has healed!\Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit! response:	Princess!
context: Spirits!\Spirits!\Revival!\His wound has healed!\Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess! response:	Princess Tsuyu!
context: Spirits!\Revival!\His wound has healed!\Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu! response:	Princess!
context: Revival!\His wound has healed!\Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu!\Princess! response:	Nobunaga!
context: His wound has healed!\Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu!\Princess!\Nobunaga! response:	Nobunaga!
context: Why that!\Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu!\Princess!\Nobunaga!\Nobunaga! response:	Princess Tsuyu!
context: Keep stabbing me!\And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu!\Princess!\Nobunaga!\Nobunaga!\Princess Tsuyu! response:	I now have no regrets in life!
context: And for each wound, I'll eat a fresh spirit!\Princess!\Princess Tsuyu!\Princess!\Nobunaga!\Nobunaga!\Princess Tsuyu!\I now have no regrets in life! response:	What're you doing to my princess!?
context: Princess!\Princess Tsuyu!\Princess!\Nobunaga!\Nobunaga!\Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!? response:	Keep your mouth shut!
context: Princess Tsuyu!\Princess!\Nobunaga!\Nobunaga!\Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut! response:	Princess Tsuyu!
context: Princess!\Nobunaga!\Nobunaga!\Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu! response:	Is this all my doing?
context: Nobunaga!\Nobunaga!\Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu!\Is this all my doing? response:	Huh? It's too late to act innocent!
context: Nobunaga!\Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent! response:	That voice...
context: Princess Tsuyu!\I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent!\That voice... response:	It's the voice of my kind lord husband!
context: I now have no regrets in life!\What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband! response:	I see!
context: What're you doing to my princess!?\Keep your mouth shut!\Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband!\I see! response:	The real lord still lives inside the toad!
context: Keep your mouth shut!\Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad! response:	I know it!
context: Princess Tsuyu!\Is this all my doing?\Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad!\I know it! response:	What a frightening thing...
context: Is this all my doing?\Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad!\I know it!\What a frightening thing... response:	I have done!
context: Huh? It's too late to act innocent!\That voice...\It's the voice of my kind lord husband!\I see!\The real lord still lives inside the toad!\I know it!\What a frightening thing...\I have done! response:	Although I was possessed by a toad demon...
