context: What was it? response:	I've had this feeling ever since last night that I'm supposed to do something...
context: Thanks.\Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi. response:	Okay.
context: Do you want to come inside and watch with me?\Nah, I'll pass.\I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi.\Okay. response:	I know I'm forgetting something.
context: Nah, I'll pass.\I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi.\Okay.\I know I'm forgetting something. response:	I know I forgot to tell them something really important.
context: I'd get nervous around somebody famous.\Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi.\Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important. response:	I remember now!
context: Same here.\I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi.\Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now! response:	I-I was going to ask for help!
context: I'm just satisfied knowing that you\didn't come here to meet some chick.\See ya, Koichi.\Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help! response:	Josuke! Okuyasu!
context: didn't come here to meet some chick.\See ya, Koichi.\Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help!\Josuke! Okuyasu! response:	I'll head to school soon!
context: See ya, Koichi.\Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon! response:	Sure!
context: Okay.\I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon!\Sure! response:	Don't be late.
context: I know I'm forgetting something.\I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon!\Sure!\Don't be late. response:	Got it!
context: I know I forgot to tell them something really important.\I remember now!\I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon!\Sure!\Don't be late.\Got it! response:	N-No!
context: I remember now!\I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon!\Sure!\Don't be late.\Got it!\N-No! response:	That's not what I wanted to say!
context: I-I was going to ask for help!\Josuke! Okuyasu!\I'll head to school soon!\Sure!\Don't be late.\Got it!\N-No!\That's not what I wanted to say! response:	I can not attack the manga artist, Rohan Kishibe
context: Josuke! Okuyasu!\I'll head to school soon!\Sure!\Don't be late.\Got it!\N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe response:	can not
context: I'll head to school soon!\Sure!\Don't be late.\Got it!\N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not response:	It's no use! I can't ask them for help.
context: Sure!\Don't be late.\Got it!\N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help. response:	C-Can there be a Stand as terrifying as this?!
context: Don't be late.\Got it!\N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?! response:	Heaven's Door is way too strong! There's no way to attack it!
context: Got it!\N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it! response:	Scribble Scribble Scribble
context: N-No!\That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble response:	Ah, I see...
context: That's not what I wanted to say!\I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see... response:	Scribble Scribble Scribble
context: I can not attack the manga artist, Rohan Kishibe\can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble response:	At this rate, he's going to rip everything out of me and kill me!
context: can not\It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me! response:	Stop
context: It's no use! I can't ask them for help.\C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop response:	Someone's coming into this mansion!
context: C-Can there be a Stand as terrifying as this?!\Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion! response:	What did you do downstairs just now, Koichi?
context: Heaven's Door is way too strong! There's no way to attack it!\Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi? response:	Huh?
context: Scribble Scribble Scribble\Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh? response:	Okuyasu!
context: Ah, I see...\Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh?\Okuyasu! response:	Whoa, there! Don't you dare turn around.
context: Scribble Scribble Scribble\At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh?\Okuyasu!\Whoa, there! Don't you dare turn around. response:	Try anything funny, and I'll crush you with my Stand, you little shit.
context: At this rate, he's going to rip everything out of me and kill me!\Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh?\Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit. response:	Okuyasu!
context: Stop\Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh?\Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu! response:	I don't know how you knew that I was in danger, but I'm so happy!
context: Someone's coming into this mansion!\What did you do downstairs just now, Koichi?\Huh?\Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy! response:	It appears he figured it out coincidentally.
context: What did you do downstairs just now, Koichi?\Huh?\Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally. response:	I just realized, but the wound on your hand
context: Huh?\Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand response:	must have signaled him that something was wrong.
context: Okuyasu!\Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong. response:	It looks like you scratched it or caught it on something while crawling.
context: Whoa, there! Don't you dare turn around.\Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling. response:	I-I was so absorbed, I didn't even notice...
context: Try anything funny, and I'll crush you with my Stand, you little shit.\Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice... response:	That's how you figured it out, right, Okuyasu Nijimura?
context: Okuyasu!\I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura? response:	Stand name: The Hand...
context: I don't know how you knew that I was in danger, but I'm so happy!\It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand... response:	You have a complex regarding your dead brother, Keicho,
context: It appears he figured it out coincidentally.\I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho, response:	and whenever you try to make a decision,
context: I just realized, but the wound on your hand\must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision, response:	you wish that your brother were there.
context: must have signaled him that something was wrong.\It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there. response:	Wha...
context: It looks like you scratched it or caught it on something while crawling.\I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there.\Wha... response:	What? Who the hell is this guy?
context: I-I was so absorbed, I didn't even notice...\That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there.\Wha...\What? Who the hell is this guy? response:	Hey, Koichi, tell me what this guy's Stand is!
context: That's how you figured it out, right, Okuyasu Nijimura?\Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there.\Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is! response:	W-Well...
context: Stand name: The Hand...\You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there.\Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well... response:	I-I can't!
context: You have a complex regarding your dead brother, Keicho,\and whenever you try to make a decision,\you wish that your brother were there.\Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't! response:	I can't say anything that'll put Rohan Kishibe at a disadvantage.
context: and whenever you try to make a decision,\you wish that your brother were there.\Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage. response:	If you see even one panel, you lose!
context: you wish that your brother were there.\Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose! response:	I want to tell you not to look!
context: Wha...\What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look! response:	Don't look at that manga!
context: What? Who the hell is this guy?\Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga! response:	Hey, I told you not to move!
context: Hey, Koichi, tell me what this guy's Stand is!\W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move! response:	Okuyasu, I wasn't interested in you,
context: W-Well...\I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you, response:	but now that you're in this house, I have no choice.
context: I-I can't!\I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice. response:	I'll have to turn you into material, too.
context: I can't say anything that'll put Rohan Kishibe at a disadvantage.\If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too. response:	You bastard!
context: If you see even one panel, you lose!\I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard! response:	What?!
context: I want to tell you not to look!\Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard!\What?! response:	H-He's fast!
context: Don't look at that manga!\Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard!\What?!\H-He's fast! response:	Okuyasu!
context: Hey, I told you not to move!\Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard!\What?!\H-He's fast!\Okuyasu! response:	What the hell is this?!
context: Okuyasu, I wasn't interested in you,\but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard!\What?!\H-He's fast!\Okuyasu!\What the hell is this?! response:	Josuke Higashikata,
context: but now that you're in this house, I have no choice.\I'll have to turn you into material, too.\You bastard!\What?!\H-He's fast!\Okuyasu!\What the hell is this?!\Josuke Higashikata, response:	you're there, aren't you?
context: I'll have to turn you into material, too.\You bastard!\What?!\H-He's fast!\Okuyasu!\What the hell is this?!\Josuke Higashikata,\you're there, aren't you? response:	Ro
context: You bastard!\What?!\H-He's fast!\Okuyasu!\What the hell is this?!\Josuke Higashikata,\you're there, aren't you?\Ro response:	Rohan
context: What?!\H-He's fast!\Okuyasu!\What the hell is this?!\Josuke Higashikata,\you're there, aren't you?\Ro\Rohan response:	Rohan Kishi
context: H-He's fast!\Okuyasu!\What the hell is this?!\Josuke Higashikata,\you're there, aren't you?\Ro\Rohan\Rohan Kishi response:	Rohan Kishibe
context: Okuyasu!\What the hell is this?!\Josuke Higashikata,\you're there, aren't you?\Ro\Rohan\Rohan Kishi\Rohan Kishibe response:	Hea
context: What the hell is this?!\Josuke Higashikata,\you're there, aren't you?\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Hea response:	Heave
context: Josuke Higashikata,\you're there, aren't you?\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Hea\Heave response:	Heaven
context: you're there, aren't you?\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Hea\Heave\Heaven response:	Heaven's
context: Ro\Rohan\Rohan Kishi\Rohan Kishibe\Hea\Heave\Heaven\Heaven's response:	Heaven's Do
context: Rohan\Rohan Kishi\Rohan Kishibe\Hea\Heave\Heaven\Heaven's\Heaven's Do response:	Heaven's Doo
context: Rohan Kishi\Rohan Kishibe\Hea\Heave\Heaven\Heaven's\Heaven's Do\Heaven's Doo response:	Heaven's Door
context: Rohan Kishibe\Hea\Heave\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door response:	Okuyasu!
context: Hea\Heave\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Okuyasu! response:	What the hell is up with this manga artist?
context: Heave\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Okuyasu!\What the hell is up with this manga artist? response:	Oh, shut up.
context: Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Okuyasu!\What the hell is up with this manga artist?\Oh, shut up. response:	Now, then... Koichi, I have a question for you.
context: Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Okuyasu!\What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you. response:	Huh?
context: Heaven's Do\Heaven's Doo\Heaven's Door\Okuyasu!\What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh? response:	Why do you think Josuke Higashikata
context: Heaven's Doo\Heaven's Door\Okuyasu!\What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata response:	is hiding behind that door there?
context: Heaven's Door\Okuyasu!\What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata\is hiding behind that door there? response:	Well? What do you think?
context: Okuyasu!\What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think? response:	Why won't he come out, Koichi?
context: What the hell is up with this manga artist?\Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi? response:	Josuke is hiding so he won't see your manga.
context: Oh, shut up.\Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga. response:	Yes, that is correct. You're pretty smart.
context: Now, then... Koichi, I have a question for you.\Huh?\Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart. response:	Okuyasu Nijimura there didn't know about my Heaven's Door,
context: Huh?\Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door, response:	so I was able to trick him.
context: Why do you think Josuke Higashikata\is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him. response:	But unfortunately, because of that, Josuke Higashikata now knows who I really am.
context: is hiding behind that door there?\Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am. response:	On that point, I feel I'm seriously,
context: Well? What do you think?\Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously, response:	no, without a doubt, put at a very big disadvantage.
context: Why won't he come out, Koichi?\Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage. response:	There's also another reason that Josuke Higashikata is hiding behind the door.
context: Josuke is hiding so he won't see your manga.\Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door. response:	What do you think that is?
context: Yes, that is correct. You're pretty smart.\Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is? response:	In order to prevent that from happening,
context: Okuyasu Nijimura there didn't know about my Heaven's Door,\so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening, response:	I have to somehow drag him out from behind that door.
context: so I was able to trick him.\But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door. response:	He's in the middle of trying to figure out how he's going to kill you!
context: But unfortunately, because of that, Josuke Higashikata now knows who I really am.\On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you! response:	That's also true.
context: On that point, I feel I'm seriously,\no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true. response:	But it's not the exact answer I'm looking for.
context: no, without a doubt, put at a very big disadvantage.\There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for. response:	The correct answer is...
context: There's also another reason that Josuke Higashikata is hiding behind the door.\What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for.\The correct answer is... response:	Josuke Higashikata is contemplating whether
context: What do you think that is?\In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether response:	he should flee this mansion alone or not.
context: In order to prevent that from happening,\I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not. response:	Josuke would never do that!
context: I have to somehow drag him out from behind that door.\He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that! response:	Right, Koichi.
context: He's in the middle of trying to figure out how he's going to kill you!\That's also true.\But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi. response:	It was written in your files that Josuke Higashikata's personality
context: That's also true.\But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality response:	would never allow him to abandon you two.
context: But it's not the exact answer I'm looking for.\The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two. response:	But you see, manga artists have a habit of thinking about
context: The correct answer is...\Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about response:	every conceivable possibility because of their job.
context: Josuke Higashikata is contemplating whether\he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job. response:	Like, what are all of the possible actions
context: he should flee this mansion alone or not.\Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions response:	that the protagonist can take in this situation?
context: Josuke would never do that!\Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation? response:	In this case, having Josuke run away now that he knows who I really am
context: Right, Koichi.\It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am response:	is truly troublesome to me.
context: It was written in your files that Josuke Higashikata's personality\would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me. response:	Run... Actually, that might be a good idea.
context: would never allow him to abandon you two.\But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea. response:	He'd be able to get Jotaro,
context: But you see, manga artists have a habit of thinking about\every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro, response:	and if Yukako finds out what's happening to Koichi,
context: every conceivable possibility because of their job.\Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi, response:	she'll be super pissed off.
context: Like, what are all of the possible actions\that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off. response:	Ah! We could win with her hair!
context: that the protagonist can take in this situation?\In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off.\Ah! We could win with her hair! response:	Though I don't want to see her!
context: In this case, having Josuke run away now that he knows who I really am\is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off.\Ah! We could win with her hair!\Though I don't want to see her! response:	Do that, Josuke! Hurry up and let them know!
context: is truly troublesome to me.\Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off.\Ah! We could win with her hair!\Though I don't want to see her!\Do that, Josuke! Hurry up and let them know! response:	You fools!
context: Run... Actually, that might be a good idea.\He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off.\Ah! We could win with her hair!\Though I don't want to see her!\Do that, Josuke! Hurry up and let them know!\You fools! response:	I explained that to you so that it wouldn't happen!
context: He'd be able to get Jotaro,\and if Yukako finds out what's happening to Koichi,\she'll be super pissed off.\Ah! We could win with her hair!\Though I don't want to see her!\Do that, Josuke! Hurry up and let them know!\You fools!\I explained that to you so that it wouldn't happen! response:	Okuyasu! I already wrote that into your body!
