context: The appearance of defectors aboard the Macross response:	has raised the possibility of coexistence with the Zentradi.
context: Please head to point A3-102 immediately!\Roger!\Finally, that's thirty down, huh?\There they are!\Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat! response:	I've just about had enough of standing in for Captain Hayase!
context: Roger!\Finally, that's thirty down, huh?\There they are!\Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase! response:	Well, you certainly appear to have recovered from your little code mistake.
context: Finally, that's thirty down, huh?\There they are!\Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake. response:	It was a good lesson for Shammy to learn.
context: There they are!\Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn. response:	Why don't we give her a break this time?
context: Go!\The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time? response:	The Captain has spoken.
context: The enemy pods have been destroyed. We're returning to base.\Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken. response:	Right...
context: Lt. Ichijo is staying behind to escort the shuttle.\I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken.\Right... response:	You have an incoming transmission from First Lieutenant Ichijo.
context: I'm beat!\I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo. response:	It looks like you got hit pretty hard. Are you okay?
context: I've just about had enough of standing in for Captain Hayase!\Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay? response:	Thank you, Ichijo. You saved us.
context: Well, you certainly appear to have recovered from your little code mistake.\It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us. response:	You said before that you might not come back to the Macross.
context: It was a good lesson for Shammy to learn.\Why don't we give her a break this time?\The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross. response:	I'm a living witness, someone who knows the truth about the Zentradi.
context: Why don't we give her a break this time?\The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi. response:	High Command may not let me go so quickly.
context: The Captain has spoken.\Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly. response:	Even though your father's an admiral in the UN Forces?
context: Right...\You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces? response:	I don't want any special treatment just because of who my father is.
context: You have an incoming transmission from First Lieutenant Ichijo.\It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is. response:	The atmosphere...
context: It looks like you got hit pretty hard. Are you okay?\Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere... response:	Thanks for the escort.
context: Thank you, Ichijo. You saved us.\You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort. response:	I should be thanking you instead.
context: You said before that you might not come back to the Macross.\I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort.\I should be thanking you instead. response:	This whole time, you've helped us all so much.
context: I'm a living witness, someone who knows the truth about the Zentradi.\High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much. response:	I know all I've done is complain about you,
context: High Command may not let me go so quickly.\Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you, response:	but you're a great controller.
context: Even though your father's an admiral in the UN Forces?\I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller. response:	We're about to begin reentry.
context: I don't want any special treatment just because of who my father is.\The atmosphere...\Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry. response:	See you.
context: The atmosphere...\Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry.\See you. response:	He's signaling.
context: Thanks for the escort.\I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry.\See you.\He's signaling. response:	I hope... you complete... your mission...
context: I should be thanking you instead.\This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry.\See you.\He's signaling.\I hope... you complete... your mission... response:	and can... safely... return... to the... Macross.
context: This whole time, you've helped us all so much.\I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry.\See you.\He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross. response:	Hikaru... Ichijo
context: I know all I've done is complain about you,\but you're a great controller.\We're about to begin reentry.\See you.\He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo response:	Admiral, are you ready to greet the shuttle?
context: but you're a great controller.\We're about to begin reentry.\See you.\He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle? response:	I'll be awaiting you at Elevator 4.
context: We're about to begin reentry.\See you.\He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4. response:	Thank you.
context: See you.\He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you. response:	Admiral! The shuttle is twenty minutes behind schedule.
context: He's signaling.\I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule. response:	Would you care to return to the control tower?
context: I hope... you complete... your mission...\and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower? response:	It's all right. I'll wait here.
context: and can... safely... return... to the... Macross.\Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here. response:	Talk about gloomy. You'd think he was at a wake.
context: Hikaru... Ichijo\Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake. response:	First Lieutenant Ichijo, it's too soon to start getting depressed.
context: Admiral, are you ready to greet the shuttle?\I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed. response:	I'm sure Captain Hayase will make it back.
context: I'll be awaiting you at Elevator 4.\Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back. response:	I'm not thinking about the captain. And I'm not depressed either!
context: Thank you.\Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either! response:	Anyway, at times like this, it's best to go someplace fun.
context: Admiral! The shuttle is twenty minutes behind schedule.\Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun. response:	Come on, let's go!
context: Would you care to return to the control tower?\It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go! response:	This place is fun?
context: It's all right. I'll wait here.\Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun? response:	At least with you, I'll have a decent opponent. Come on.
context: Talk about gloomy. You'd think he was at a wake.\First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on. response:	No, thanks. I don't think I could beat you today.
context: First Lieutenant Ichijo, it's too soon to start getting depressed.\I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today. response:	So we'll find you a one-player game. Okay?
context: I'm sure Captain Hayase will make it back.\I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay? response:	Misa...
context: I'm not thinking about the captain. And I'm not depressed either!\Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa... response:	UN Forces Captain Misa Hayase.
context: Anyway, at times like this, it's best to go someplace fun.\Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase. response:	By order of Captain Bruno J. Global, I stand ready with my report, sir!
context: Come on, let's go!\This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir! response:	Well done.
context: This place is fun?\At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done. response:	Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!
context: At least with you, I'll have a decent opponent. Come on.\No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief! response:	Wow!
context: No, thanks. I don't think I could beat you today.\So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow! response:	All right! Gotcha!
context: So we'll find you a one-player game. Okay?\Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha! response:	Lots of fun! Right, Leader?
context: Misa...\UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha!\Lots of fun! Right, Leader? response:	I guess.
context: UN Forces Captain Misa Hayase.\By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha!\Lots of fun! Right, Leader?\I guess. response:	There we go.
context: By order of Captain Bruno J. Global, I stand ready with my report, sir!\Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha!\Lots of fun! Right, Leader?\I guess.\There we go. response:	Boss, machines 16 and 7 are about to get cleaned out!
context: Well done.\Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha!\Lots of fun! Right, Leader?\I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out! response:	I never shoulda opened an arcade on the Macross!
context: Mr. Thief! Mr. Thief! Mr. Thief! Mr. Thief!\Wow!\All right! Gotcha!\Lots of fun! Right, Leader?\I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross! response:	So we and the Zentradi have almost identical genetic makeup.
context: Wow!\All right! Gotcha!\Lots of fun! Right, Leader?\I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup. response:	If this report is true, we may have to change our attitude toward the enemy.
context: All right! Gotcha!\Lots of fun! Right, Leader?\I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy. response:	Then you'll persuade the military to enter into peaceful negotiations?
context: Lots of fun! Right, Leader?\I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations? response:	I'll try.
context: I guess.\There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try. response:	With a little practice, I'm sure you'll be able to do better, sir.
context: There we go.\Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir. response:	Just my type!
context: Boss, machines 16 and 7 are about to get cleaned out!\I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type! response:	Could I try a game against you?
context: I never shoulda opened an arcade on the Macross!\So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you? response:	It looks like you've just about cleaned out your machine too.
context: So we and the Zentradi have almost identical genetic makeup.\If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too. response:	If you bet all that.
context: If this report is true, we may have to change our attitude toward the enemy.\Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that. response:	Done!
context: Then you'll persuade the military to enter into peaceful negotiations?\I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that.\Done! response:	Can we start at Level B?
context: I'll try.\With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that.\Done!\Can we start at Level B? response:	Very well.
context: With a little practice, I'm sure you'll be able to do better, sir.\Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that.\Done!\Can we start at Level B?\Very well. response:	He's good!
context: Just my type!\Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that.\Done!\Can we start at Level B?\Very well.\He's good! response:	Wow! Level A!
context: Could I try a game against you?\It looks like you've just about cleaned out your machine too.\If you bet all that.\Done!\Can we start at Level B?\Very well.\He's good!\Wow! Level A! response:	Looks like a good match is going down!
context: It looks like you've just about cleaned out your machine too.\If you bet all that.\Done!\Can we start at Level B?\Very well.\He's good!\Wow! Level A!\Looks like a good match is going down! response:	Boss, I'm gonna put machine 7's game up.
context: If you bet all that.\Done!\Can we start at Level B?\Very well.\He's good!\Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up. response:	Ah, whatever!
context: Done!\Can we start at Level B?\Very well.\He's good!\Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever! response:	Got you!
context: Can we start at Level B?\Very well.\He's good!\Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you! response:	This is...!
context: Very well.\He's good!\Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you!\This is...! response:	Damn you! You...!
context: He's good!\Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you!\This is...!\Damn you! You...! response:	the Macross has an ace pilot of its own!
context: Wow! Level A!\Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you!\This is...!\Damn you! You...!\the Macross has an ace pilot of its own! response:	Could this man be the one?
context: Looks like a good match is going down!\Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you!\This is...!\Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one? response:	Beautiful...
context: Boss, I'm gonna put machine 7's game up.\Ah, whatever!\Got you!\This is...!\Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful... response:	Bust of about 85 cm. She's the type to keep'em wrapped up, though.
context: Ah, whatever!\Got you!\This is...!\Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though. response:	I lost.
context: Got you!\This is...!\Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost. response:	This game has been my way of life, but I lost!
context: This is...!\Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost! response:	Wow, leave it to the genius pilot! That was an excellent win!
context: Damn you! You...!\the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win! response:	No, not at all. She had me sweating for a while there.
context: the Macross has an ace pilot of its own!\Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there. response:	Umm, Miss? Could I get your name and phone number?
context: Could this man be the one?\Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number? response:	My name is Milia. I have no phone.
context: Beautiful...\Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone. response:	Would you meet me in Happiness Forest Park tomorrow night at 9:00?
context: Bust of about 85 cm. She's the type to keep'em wrapped up, though.\I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00? response:	Accepted.
context: I lost.\This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted. response:	Way to go, Lieutenant!
context: This game has been my way of life, but I lost!\Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant! response:	That's a real beauty you got a date with!
context: Wow, leave it to the genius pilot! That was an excellent win!\No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with! response:	Admiral, what did they say?
context: No, not at all. She had me sweating for a while there.\Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say? response:	They've begun considering how to open peace negotiations.
context: Umm, Miss? Could I get your name and phone number?\My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations. response:	Thank goodness.
context: My name is Milia. I have no phone.\Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness. response:	Father, what's wrong?
context: Would you meet me in Happiness Forest Park tomorrow night at 9:00?\Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong? response:	You've been staring at me for a while now.
context: Accepted.\Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong?\You've been staring at me for a while now. response:	I was just thinking how much you look like your late mother.
context: Way to go, Lieutenant!\That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother. response:	So, is there a man in your life yet?
context: That's a real beauty you got a date with!\Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet? response:	I see.
context: Admiral, what did they say?\They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see. response:	Anyway, what is it you wanted to show me?
context: They've begun considering how to open peace negotiations.\Thank goodness.\Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me? response:	Look at it, Misa.
context: Thank goodness.\Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me?\Look at it, Misa. response:	Once we've used the Grand Cannon, our negotiations will proceed smoothly.
context: Father, what's wrong?\You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly. response:	This can instantly destroy a fleet of tens of thousands of ships.
context: You've been staring at me for a while now.\I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships. response:	When the Zentradi see its power, they'll have no choice but to begin negotiations.
context: I was just thinking how much you look like your late mother.\So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations. response:	Father, using this is pointless!
context: So, is there a man in your life yet?\I see.\Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless! response:	Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy!
context: I see.\Anyway, what is it you wanted to show me?\Look at it, Misa.\Once we've used the Grand Cannon, our negotiations will proceed smoothly.\This can instantly destroy a fleet of tens of thousands of ships.\When the Zentradi see its power, they'll have no choice but to begin negotiations.\Father, using this is pointless!\Compared to a Zentradi carrier, the Grand Cannon isn't even a child's toy! response:	This weapon will only make the war worse! It won't serve any purpose!
