context: Huntsman of Belparaso, I open thee! response:	Samagui!
context: Will you try concentrating?!\Right!\Maguilty Sodom!\She's coming for us!\Erza-san, this is...\Magic blades?\She can summon weapons as well?\Go. response:	Juvia's body is made of water!
context: Right!\Maguilty Sodom!\She's coming for us!\Erza-san, this is...\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water! response:	No matter the attack, Juvia will not...
context: Maguilty Sodom!\She's coming for us!\Erza-san, this is...\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not... response:	Juvia!
context: She's coming for us!\Erza-san, this is...\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia! response:	Juvia's body made of water... was injured?
context: Erza-san, this is...\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured? response:	My blades attack the sense of pain directly.
context: Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly. response:	In other words, they are sensory blades.
context: She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades. response:	That magic power...
context: Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power... response:	I see.
context: Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see. response:	You must be one of the 7 Kin of Purgatory.
context: No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory. response:	I do not deem answering that as necessary.
context: Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary. response:	Wipe out the enemy. That is my mission.
context: Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission. response:	I've started to get a bit nostalgic for the body of a human.
context: My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human. response:	This is perfect timing.
context: In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing. response:	What have you been talking about?
context: That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about? response:	Human Subordination Magic, Humaraise!
context: I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise! response:	That magic won't work on me.
context: You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me. response:	Because I am a Spirit, not a human.
context: I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human. response:	Yes... And that is why this is taboo.
context: Wipe out the enemy. That is my mission.\I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo. response:	This magic cannot be used on those who are not human.
context: I've started to get a bit nostalgic for the body of a human.\This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human. response:	What's this?
context: This is perfect timing.\What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this? response:	I'm suddenly in a trap?
context: What have you been talking about?\Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap? response:	Someone who breaks this rule...
context: Human Subordination Magic, Humaraise!\That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap?\Someone who breaks this rule... response:	It can't be...
context: That magic won't work on me.\Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap?\Someone who breaks this rule...\It can't be... response:	You...
context: Because I am a Spirit, not a human.\Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap?\Someone who breaks this rule...\It can't be...\You... response:	They are fused together...
context: Yes... And that is why this is taboo.\This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap?\Someone who breaks this rule...\It can't be...\You...\They are fused together... response:	So you're actually Capricorn that's been fused with a human?
context: This magic cannot be used on those who are not human.\What's this?\I'm suddenly in a trap?\Someone who breaks this rule...\It can't be...\You...\They are fused together...\So you're actually Capricorn that's been fused with a human? response:	This time I'll take your body, Leo!
context: What's this?\I'm suddenly in a trap?\Someone who breaks this rule...\It can't be...\You...\They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo! response:	Why, you...
context: I'm suddenly in a trap?\Someone who breaks this rule...\It can't be...\You...\They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you... response:	Just a little too late.
context: Someone who breaks this rule...\It can't be...\You...\They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you...\Just a little too late. response:	What's wrong?
context: It can't be...\You...\They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you...\Just a little too late.\What's wrong? response:	We don't have time to stand around!
context: You...\They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you...\Just a little too late.\What's wrong?\We don't have time to stand around! response:	Right... I'm sorry.
context: They are fused together...\So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you...\Just a little too late.\What's wrong?\We don't have time to stand around!\Right... I'm sorry. response:	But I think maybe it'd be better to go back.
context: So you're actually Capricorn that's been fused with a human?\This time I'll take your body, Leo!\Why, you...\Just a little too late.\What's wrong?\We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back. response:	I know how you feel, but we can't.
context: This time I'll take your body, Leo!\Why, you...\Just a little too late.\What's wrong?\We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't. response:	Loke had a reason for what he did.
context: Why, you...\Just a little too late.\What's wrong?\We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did. response:	That magic of his...
context: Just a little too late.\What's wrong?\We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his... response:	We'd get in his way if we were around.
context: What's wrong?\We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around. response:	Come on, you shouldn't be worried.
context: We don't have time to stand around!\Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried. response:	He's the leader of the 12 Zodiac Gates, remember?
context: Right... I'm sorry.\But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember? response:	Go ahead and believe in him.
context: But I think maybe it'd be better to go back.\I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him. response:	You're right.
context: I know how you feel, but we can't.\Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right. response:	Okay! Let's get together with the others and go search for the enemy!
context: Loke had a reason for what he did.\That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy! response:	Yeah!
context: That magic of his...\We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah! response:	Let's hurry...
context: We'd get in his way if we were around.\Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry... response:	Loke... You'd better come back safe to me!
context: Come on, you shouldn't be worried.\He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry...\Loke... You'd better come back safe to me! response:	You'd better!
context: He's the leader of the 12 Zodiac Gates, remember?\Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry...\Loke... You'd better come back safe to me!\You'd better! response:	Oww...
context: Go ahead and believe in him.\You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry...\Loke... You'd better come back safe to me!\You'd better!\Oww... response:	I see. Meh attack from before...
context: You're right.\Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry...\Loke... You'd better come back safe to me!\You'd better!\Oww...\I see. Meh attack from before... response:	I mean, my attack.
context: Okay! Let's get together with the others and go search for the enemy!\Yeah!\Let's hurry...\Loke... You'd better come back safe to me!\You'd better!\Oww...\I see. Meh attack from before...\I mean, my attack. response:	But I've finally gotten my hands on a human form!
context: Yeah!\Let's hurry...\Loke... You'd better come back safe to me!\You'd better!\Oww...\I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form! response:	You've been good to me until now, goat body.
context: Let's hurry...\Loke... You'd better come back safe to me!\You'd better!\Oww...\I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body. response:	Can't move after taking Leo's attack?
context: Loke... You'd better come back safe to me!\You'd better!\Oww...\I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack? response:	Meh name... I mean, my name is Leo.
context: You'd better!\Oww...\I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo. response:	My master is Lucy.
context: Oww...\I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy. response:	Lucy Heartfilia.
context: I see. Meh attack from before...\I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia. response:	If I can kill that master, then I can become a perfect human.
context: I mean, my attack.\But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human. response:	Oh, yes. Lucy trusts this body.
context: But I've finally gotten my hands on a human form!\You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body. response:	Perhaps I shall catch her off guard?
context: You've been good to me until now, goat body.\Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard? response:	Or maybe I'll subjugate her and play around for a little while?
context: Can't move after taking Leo's attack?\Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while? response:	She's beautiful, like Layla-sama!
context: Meh name... I mean, my name is Leo.\My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama! response:	What the...
context: My master is Lucy.\Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the... response:	Why, you...
context: Lucy Heartfilia.\If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the...\Why, you... response:	Regulus is full.
context: If I can kill that master, then I can become a perfect human.\Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the...\Why, you...\Regulus is full. response:	Isn't that right, Zoldio-sama?
context: Oh, yes. Lucy trusts this body.\Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the...\Why, you...\Regulus is full.\Isn't that right, Zoldio-sama? response:	Don't you dare...
context: Perhaps I shall catch her off guard?\Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the...\Why, you...\Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare... response:	Don't you dare say that name!
context: Or maybe I'll subjugate her and play around for a little while?\She's beautiful, like Layla-sama!\What the...\Why, you...\Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name! response:	Capricorn.
context: She's beautiful, like Layla-sama!\What the...\Why, you...\Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name!\Capricorn. response:	I do apologize for having to be a bit rough.
context: What the...\Why, you...\Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough. response:	No, it's okay.
context: Why, you...\Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough.\No, it's okay. response:	You had to be, or separating him would have been impossible.
context: Regulus is full.\Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible. response:	W-Why?
context: Isn't that right, Zoldio-sama?\Don't you dare...\Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible.\W-Why? response:	Why can you move, Capricorn?
context: Don't you dare...\Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn? response:	Immediately when you fused with Leo-sama,
context: Don't you dare say that name!\Capricorn.\I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama, response:	he gave me the light of the king, Regulus.
context: Capricorn.\I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus. response:	That... was giving you magic power?!
context: I do apologize for having to be a bit rough.\No, it's okay.\You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?! response:	How dare you...
context: No, it's okay.\You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you... response:	How dare you!
context: You had to be, or separating him would have been impossible.\W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you...\How dare you! response:	But... I'm finally back to my original body!
context: W-Why?\Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you...\How dare you!\But... I'm finally back to my original body! response:	My body...
context: Why can you move, Capricorn?\Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you...\How dare you!\But... I'm finally back to my original body!\My body... response:	What... What is this?
context: Immediately when you fused with Leo-sama,\he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you...\How dare you!\But... I'm finally back to my original body!\My body...\What... What is this? response:	What's happening?
context: he gave me the light of the king, Regulus.\That... was giving you magic power?!\How dare you...\How dare you!\But... I'm finally back to my original body!\My body...\What... What is this?\What's happening? response:	Stop it! Stop it!
context: That... was giving you magic power?!\How dare you...\How dare you!\But... I'm finally back to my original body!\My body...\What... What is this?\What's happening?\Stop it! Stop it! response:	Capricorn, save me!
context: How dare you...\How dare you!\But... I'm finally back to my original body!\My body...\What... What is this?\What's happening?\Stop it! Stop it!\Capricorn, save me! response:	I don't want to disappear!
context: How dare you!\But... I'm finally back to my original body!\My body...\What... What is this?\What's happening?\Stop it! Stop it!\Capricorn, save me!\I don't want to disappear! response:	Save me... Layla-sama!
context: But... I'm finally back to my original body!\My body...\What... What is this?\What's happening?\Stop it! Stop it!\Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama! response:	Such is the fate of those who break the taboos.
context: My body...\What... What is this?\What's happening?\Stop it! Stop it!\Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos. response:	It was 20 years ago.
context: What... What is this?\What's happening?\Stop it! Stop it!\Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago. response:	Layla-sama retired from Wizardry to preserve her health.
context: What's happening?\Stop it! Stop it!\Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health. response:	She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.
context: Stop it! Stop it!\Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants. response:	One of them was Zoldio-sama, and he received meh key.
context: Capricorn, save me!\I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key. response:	But Layla and meh made one final contract.
context: I don't want to disappear!\Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract. response:	I pledge to protect your family for now to eternity.
context: Save me... Layla-sama!\Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity. response:	If in the future, your offspring chooses to walk the path of magic...
context: Such is the fate of those who break the taboos.\It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic... response:	Yes.
context: It was 20 years ago.\Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes. response:	If that time comes, please help them, Capricorn.
context: Layla-sama retired from Wizardry to preserve her health.\She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn. response:	So that's how Lucy became your master.
context: She bequeathed Cancer-sama, Aquarius-sama, and meh to three of her servants.\One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master. response:	Zoldio-sama consented to that contract at first,
context: One of them was Zoldio-sama, and he received meh key.\But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first, response:	but soon after he left the mansion,
context: But Layla and meh made one final contract.\I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion, response:	and while wandering aimlessly, he ended up being touched by dark magic...
context: I pledge to protect your family for now to eternity.\If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic... response:	He violated the taboo, and fused with you.
context: If in the future, your offspring chooses to walk the path of magic...\Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you. response:	Sometimes strong magic power will lead people to the dark side.
context: Yes.\If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side. response:	I've seen it myself.
context: If that time comes, please help them, Capricorn.\So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself. response:	Nothing is harder to take.
context: So that's how Lucy became your master.\Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take. response:	So, what do you think of Lucy-sama?
context: Zoldio-sama consented to that contract at first,\but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama? response:	She is, indeed, Layla-sama's daughter.
context: but soon after he left the mansion,\and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter. response:	I know well how beloved she is by her Spirits, and how much she loves them in return.
context: and while wandering aimlessly, he ended up being touched by dark magic...\He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return. response:	So you'll help, right?
context: He violated the taboo, and fused with you.\Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right? response:	You'll help Lucy?
context: Sometimes strong magic power will lead people to the dark side.\I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy? response:	No.
context: I've seen it myself.\Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy?\No. response:	Lucy-sama cannot borrow meh help at this time.
context: Nothing is harder to take.\So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time. response:	For meh power has always been Lucy-sama's from the start.
context: So, what do you think of Lucy-sama?\She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start. response:	I can finally return to meh master's side.
context: She is, indeed, Layla-sama's daughter.\I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side. response:	What's the matter?
context: I know well how beloved she is by her Spirits, and how much she loves them in return.\So you'll help, right?\You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter? response:	Did something happen with Loke?
context: So you'll help, right?\You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter?\Did something happen with Loke? response:	Yeah!
context: You'll help Lucy?\No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter?\Did something happen with Loke?\Yeah! response:	He says he won!
context: No.\Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter?\Did something happen with Loke?\Yeah!\He says he won! response:	We can count on him!
context: Lucy-sama cannot borrow meh help at this time.\For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter?\Did something happen with Loke?\Yeah!\He says he won!\We can count on him! response:	He said he'll explain more later, but Capricorn is on our side now!
context: For meh power has always been Lucy-sama's from the start.\I can finally return to meh master's side.\What's the matter?\Did something happen with Loke?\Yeah!\He says he won!\We can count on him!\He said he'll explain more later, but Capricorn is on our side now! response:	Also, he needs to regain his energy,
