context: Battle of Ceres response:	Initiate the tactical heavy laser system!
context: Annihilate all of our foes!\Damn it!\What in the-?!\Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support. response:	Hey, Patrick! Don't steal the best line right from under me!
context: Damn it!\What in the-?!\Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me! response:	I'm sorry, Sir.
context: What in the-?!\Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir. response:	It's the Comedic Three... I'm sorry, Sir.
context: Tally ho!\The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir. response:	All vessels, retreat to Point Mike!
context: The cavalry has arrived!\If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike! response:	Now is our chance to regroup!
context: If it weren't for you, we would have gotten here quicker!\You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup! response:	Roger!
context: You're blaming me?!\This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger! response:	The enemy is retreating.
context: This is Team Doberman. We are here to offer our support.\Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger!\The enemy is retreating. response:	Amazing!
context: Hey, Patrick! Don't steal the best line right from under me!\I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger!\The enemy is retreating.\Amazing! response:	I can't believe Team Doberman was capable of all that!
context: I'm sorry, Sir.\It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger!\The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that! response:	Crap! A carrier's coming!
context: It's the Comedic Three... I'm sorry, Sir.\All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger!\The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming! response:	The magnetic field-!
context: All vessels, retreat to Point Mike!\Now is our chance to regroup!\Roger!\The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-! response:	It...!
context: Now is our chance to regroup!\Roger!\The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-!\It...! response:	The beams curved?!
context: Roger!\The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-!\It...!\The beams curved?! response:	Wow! They hit the enemy ships that were hiding behind it!
context: The enemy is retreating.\Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-!\It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it! response:	They're using the magnetic field
context: Amazing!\I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-!\It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field response:	to bend the particle beams to hit other enemy ships!
context: I can't believe Team Doberman was capable of all that!\Crap! A carrier's coming!\The magnetic field-!\It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships! response:	These guys are nuts!
context: Crap! A carrier's coming!\The magnetic field-!\It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts! response:	Is it all that impressive?
context: The magnetic field-!\It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive? response:	They can't be human!
context: It...!\The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive?\They can't be human! response:	We should give our allies a hand while they regroup.
context: The beams curved?!\Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup. response:	What's the plan?
context: Wow! They hit the enemy ships that were hiding behind it!\They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup.\What's the plan? response:	Kei, do your thing!
context: They're using the magnetic field\to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing! response:	Roger!
context: to bend the particle beams to hit other enemy ships!\These guys are nuts!\Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing!\Roger! response:	I've finished analyzing the situation. I'm sending the data now.
context: These guys are nuts!\Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now. response:	Thanks.
context: Is it all that impressive?\They can't be human!\We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks. response:	Uh... Gold 4, hook up with the fleet and
context: They can't be human!\We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and response:	lay down suppressive fire to cover their retreat.
context: We should give our allies a hand while they regroup.\What's the plan?\Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat. response:	Blue 1 and Purple 2, offer him support.
context: What's the plan?\Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support. response:	Uh, Rose 3, well... umm... You can... Uh...
context: Kei, do your thing!\Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh... response:	Kaboom!
context: Roger!\I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom! response:	Asagi and I will fight in the frontlines!
context: I've finished analyzing the situation. I'm sending the data now.\Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines! response:	Kei, analyze the situation and issue orders as you will!
context: Thanks.\Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will! response:	Tamaki... is fine as she is.
context: Uh... Gold 4, hook up with the fleet and\lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is. response:	Roger!
context: lay down suppressive fire to cover their retreat.\Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger! response:	Roger!
context: Blue 1 and Purple 2, offer him support.\Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger!\Roger! response:	<That is...>
context: Uh, Rose 3, well... umm... You can... Uh...\Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger!\Roger!\<That is...> response:	<It is time I set out!>
context: Kaboom!\Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger!\Roger!\<That is...>\<It is time I set out!> response:	<The enemy has clearly laid a trap before us!>
context: Asagi and I will fight in the frontlines!\Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger!\Roger!\<That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!> response:	<A trap? Then I will tear through it. Come or be left behind!>
context: Kei, analyze the situation and issue orders as you will!\Tamaki... is fine as she is.\Roger!\Roger!\<That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!> response:	High-speed objects are approaching the minefield!
context: Tamaki... is fine as she is.\Roger!\Roger!\<That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield! response:	What?!
context: Roger!\Roger!\<That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?! response:	The high-speed objects are approaching from dead space.
context: Roger!\<That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space. response:	Red 5, please intercept them.
context: <That is...>\<It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them. response:	Huh? But...
context: <It is time I set out!>\<The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But... response:	That's an order from your commanding office! Where's your response?!
context: <The enemy has clearly laid a trap before us!>\<A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?! response:	Yes, Ma'am! Red 5 will intercept!
context: <A trap? Then I will tear through it. Come or be left behind!>\High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept! response:	Asagi, you handle things here.
context: High-speed objects are approaching the minefield!\What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here. response:	You can count on me!
context: What?!\The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me! response:	Red 5 is proceeding to intercept the high-speed objects.
context: The high-speed objects are approaching from dead space.\Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects. response:	He will reach them in 10 minutes!
context: Red 5, please intercept them.\Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes! response:	Why'd it suddenly stop?
context: Huh? But...\That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop? response:	It's moving on its own!
context: That's an order from your commanding office! Where's your response?!\Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own! response:	It's that white fighter!
context: Yes, Ma'am! Red 5 will intercept!\Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own!\It's that white fighter! response:	<I've found you, my prey!>
context: Asagi, you handle things here.\You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own!\It's that white fighter!\<I've found you, my prey!> response:	<You have improved!>
context: You can count on me!\Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own!\It's that white fighter!\<I've found you, my prey!>\<You have improved!> response:	Does he have eyes in the back of his head?
context: Red 5 is proceeding to intercept the high-speed objects.\He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own!\It's that white fighter!\<I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head? response:	<Petty decoys will not work on me!>
context: He will reach them in 10 minutes!\Why'd it suddenly stop?\It's moving on its own!\It's that white fighter!\<I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!> response:	How about this?!
context: Why'd it suddenly stop?\It's moving on its own!\It's that white fighter!\<I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?! response:	<A waste of time!>
context: It's moving on its own!\It's that white fighter!\<I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?!\<A waste of time!> response:	Over there!
context: It's that white fighter!\<I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?!\<A waste of time!>\Over there! response:	That didn't even touch him?
context: <I've found you, my prey!>\<You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?!\<A waste of time!>\Over there!\That didn't even touch him? response:	Moron!
context: <You have improved!>\Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?!\<A waste of time!>\Over there!\That didn't even touch him?\Moron! response:	Stupid! Stupid! You're in my way!
context: Does he have eyes in the back of his head?\<Petty decoys will not work on me!>\How about this?!\<A waste of time!>\Over there!\That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way! response:	It's big!
context: <Petty decoys will not work on me!>\How about this?!\<A waste of time!>\Over there!\That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way!\It's big! response:	You twit! Stay outta my line of fire!
context: How about this?!\<A waste of time!>\Over there!\That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire! response:	Don't detonate on impact!
context: <A waste of time!>\Over there!\That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact! response:	Damn! Those are 2 hundred million each!
context: Over there!\That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each! response:	There are too many of them!
context: That didn't even touch him?\Moron!\Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them! response:	What happened to Izuru?!
context: Moron!\Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?! response:	He is currently fighting in dead space.
context: Stupid! Stupid! You're in my way!\It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space. response:	I know that!
context: It's big!\You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space.\I know that! response:	Then don't ask!
context: You twit! Stay outta my line of fire!\Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space.\I know that!\Then don't ask! response:	<Out of my way!>
context: Don't detonate on impact!\Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space.\I know that!\Then don't ask!\<Out of my way!> response:	He killed his comrade?!
context: Damn! Those are 2 hundred million each!\There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space.\I know that!\Then don't ask!\<Out of my way!>\He killed his comrade?! response:	<You had best not divert your attention!>
context: There are too many of them!\What happened to Izuru?!\He is currently fighting in dead space.\I know that!\Then don't ask!\<Out of my way!>\He killed his comrade?!\<You had best not divert your attention!> response:	I have to do something!
context: What happened to Izuru?!\He is currently fighting in dead space.\I know that!\Then don't ask!\<Out of my way!>\He killed his comrade?!\<You had best not divert your attention!>\I have to do something! response:	Red 5 has commenced battle in dead space.
context: He is currently fighting in dead space.\I know that!\Then don't ask!\<Out of my way!>\He killed his comrade?!\<You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space. response:	Team Rabbits is also in the midst of battle, but...
context: I know that!\Then don't ask!\<Out of my way!>\He killed his comrade?!\<You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but... response:	What's wrong?
context: Then don't ask!\<Out of my way!>\He killed his comrade?!\<You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong? response:	Speak clearly when making your report.
context: <Out of my way!>\He killed his comrade?!\<You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report. response:	Everyone is acting independently. There isn't any semblance of teamwork.
context: He killed his comrade?!\<You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork. response:	Bluntly put, they suck.
context: <You had best not divert your attention!>\I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck. response:	So Izuru was doing a surprisingly good job leading them, huh?
context: I have to do something!\Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh? response:	Guys, are you okay?
context: Red 5 has commenced battle in dead space.\Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay? response:	Izuru?! Of... of course we are!
context: Team Rabbits is also in the midst of battle, but...\What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are! response:	After all, I'm giving the orders.
context: What's wrong?\Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders. response:	What a relief!
context: Speak clearly when making your report.\Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief! response:	I've got my hands full with some crazy strong bogie over here.
context: Everyone is acting independently. There isn't any semblance of teamwork.\Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here. response:	Asagi, you're the leader. Look after everyone!
context: Bluntly put, they suck.\So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone! response:	Leader...
context: So Izuru was doing a surprisingly good job leading them, huh?\Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader... response:	That's right! I'm the leader!
context: Guys, are you okay?\Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader! response:	What's this?
context: Izuru?! Of... of course we are!\After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader!\What's this? response:	Is it from Kei?
context: After all, I'm giving the orders.\What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader!\What's this?\Is it from Kei? response:	That's it! Kei!
context: What a relief!\I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader!\What's this?\Is it from Kei?\That's it! Kei! response:	Summarize the situation for me! Please!
context: I've got my hands full with some crazy strong bogie over here.\Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader!\What's this?\Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please! response:	The enemy units are located...
context: Asagi, you're the leader. Look after everyone!\Leader...\That's right! I'm the leader!\What's this?\Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located... response:	If I mess this up,
context: Leader...\That's right! I'm the leader!\What's this?\Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located...\If I mess this up, response:	Irina and the girls are going to tease me again when I get back!
context: That's right! I'm the leader!\What's this?\Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back! response:	I've got to do my best!
context: What's this?\Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best! response:	Open all sensors to maximum reception.
context: Is it from Kei?\That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception. response:	I am displaying their location on Secret Code F.
context: That's it! Kei!\Summarize the situation for me! Please!\The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F. response:	The enemy's main forces are moving
context: Summarize the situation for me! Please!\The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving response:	from 13CM to 13IC at a speed of 45.
context: The enemy units are located...\If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45. response:	The enemies from GK to BF are decoys.
context: If I mess this up,\Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys. response:	Tamaki, move from FF to EI at full speed.
context: Irina and the girls are going to tease me again when I get back!\I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed. response:	Ten seconds thereafter, launch all of your missiles
context: I've got to do my best!\Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles response:	and swing over to EK.
context: Open all sensors to maximum reception.\I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK. response:	Uh, I don't really get it, but you've got it!
context: I am displaying their location on Secret Code F.\The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it! response:	Suruga, defend our flagship while
context: The enemy's main forces are moving\from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while response:	driving the enemies into Point EH.
context: from 13CM to 13IC at a speed of 45.\The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH. response:	You can count on me!
context: The enemies from GK to BF are decoys.\Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me! response:	Kei, set up a trap at EH minus Tango.
context: Tamaki, move from FF to EI at full speed.\Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango. response:	Roger!
context: Ten seconds thereafter, launch all of your missiles\and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango.\Roger! response:	Enemy units are approaching the remaining ships in the frontline!
context: and swing over to EK.\Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline! response:	They have destroyed 24 of our convoy!
context: Uh, I don't really get it, but you've got it!\Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy! response:	Over 400 new enemy units are appearing from Point OM, Sector 3!
context: Suruga, defend our flagship while\driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3! response:	Wha-?!
