context: Please... response:	Please become... our Goddess of Wisdom.
context: I haven't felt this great in a while.\So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto. response:	A trip together before marriage?! You promiscuous heathens!
context: So, did Saki-san dump you?\It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens! response:	What decade were you born in, anyway?
context: It wasn't Saki-san's fault.\There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway? response:	So, late one night, when we were walking along the Kamo River...
context: There was no way around it.\So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River... response:	Those things that are said to show up on shorelines?
context: So... I don't think I can go out with anyone new for a while.\So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines? response:	Yup. A kappa.
context: So what was it, exactly, that caused\such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa. response:	It wasn't a gataro, suiko, or hyosube?
context: such a pathetic fall that ended in a break-up?\At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube? response:	You sure know your stuff.
context: At the end of last year, Saki-san and I went on a trip to Kyoto.\A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff. response:	Whatever it was, calling it a kappa seemed to fit best.
context: A trip together before marriage?! You promiscuous heathens!\What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best. response:	I just know that it wasn't a human or an animal.
context: What decade were you born in, anyway?\So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal. response:	But it was definitely some kind of moving, breathing life form.
context: So, late one night, when we were walking along the Kamo River...\Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form. response:	The moment we realized that, it became something so terrifying
context: Those things that are said to show up on shorelines?\Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying response:	that it felt like all the rules of our world were about to crack.
context: Yup. A kappa.\It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack. response:	But kappas aren't bad.
context: It wasn't a gataro, suiko, or hyosube?\You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad. response:	These days, they're very trendy creatures that can recommend good sushi or shrimp chips.
context: You sure know your stuff.\Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips. response:	Well, the one I saw then seemed like it'd drag you into the river
context: Whatever it was, calling it a kappa seemed to fit best.\I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river response:	and suck out all of your bodily fluids.
context: I just know that it wasn't a human or an animal.\But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids. response:	The next day, they actually found a body in the river near there.
context: But it was definitely some kind of moving, breathing life form.\The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there. response:	It was ruled an accident, but what caused it is still unclear.
context: The moment we realized that, it became something so terrifying\that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear. response:	Saki-san is pretty brave,
context: that it felt like all the rules of our world were about to crack.\But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave, response:	and she doesn't believe in yokai or ghosts.
context: But kappas aren't bad.\These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts. response:	But she saw that thing and got so scared that she just clung to me, shaking.
context: These days, they're very trendy creatures that can recommend good sushi or shrimp chips.\Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking. response:	And what happened after that?
context: Well, the one I saw then seemed like it'd drag you into the river\and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that? response:	Without a second look at Saki-san,
context: and suck out all of your bodily fluids.\The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san, response:	the coward just whimpered in fear and ran off like a scared rabbit.
context: The next day, they actually found a body in the river near there.\It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit. response:	Well, it was a kappa.
context: It was ruled an accident, but what caused it is still unclear.\Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa. response:	After that, she said she never knew I was that kind of person,
context: Saki-san is pretty brave,\and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person, response:	and things got awkward.
context: and she doesn't believe in yokai or ghosts.\But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward. response:	She was already planning to move away for her new job,
context: But she saw that thing and got so scared that she just clung to me, shaking.\And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job, response:	so she took that opportunity to break up.
context: And what happened after that?\Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up. response:	And who could blame her?
context: Without a second look at Saki-san,\the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her? response:	I don't care if you believe me or not.
context: the coward just whimpered in fear and ran off like a scared rabbit.\Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not. response:	If you don't believe me,
context: Well, it was a kappa.\After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not.\If you don't believe me, response:	then I'm just a crazy college kid who blames a kappa
context: After that, she said she never knew I was that kind of person,\and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa response:	for the fact that he got dumped.
context: and things got awkward.\She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped. response:	Or...
context: She was already planning to move away for her new job,\so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or... response:	Maybe I'm a college kid who went crazy from the shock of getting dumped.
context: so she took that opportunity to break up.\And who could blame her?\I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped. response:	Regardless, I'm not worthy to be your boyfriend.
context: And who could blame her?\I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend. response:	My bus will be here soon.
context: I don't care if you believe me or not.\If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon. response:	We aren't done talking yet.
context: If you don't believe me,\then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet. response:	Please clarify the subject of your statement.
context: then I'm just a crazy college kid who blames a kappa\for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement. response:	Who, exactly, left Saki-san there and ran off?
context: for the fact that he got dumped.\Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off? response:	It wasn't you that ran off. It was the kappa, wasn't it?
context: Or...\Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it? response:	The kappa saw you next to Saki-san, got scared, and ran away.
context: Maybe I'm a college kid who went crazy from the shock of getting dumped.\Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away. response:	What an awful experience for that kappa,
context: Regardless, I'm not worthy to be your boyfriend.\My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa, response:	just randomly running into you in the middle of the night.
context: My bus will be here soon.\We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night. response:	It has my sympathy.
context: We aren't done talking yet.\Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy. response:	Saki-san saw that terrifying yokai run away
context: Please clarify the subject of your statement.\Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away response:	after seeing you, wondered who you really were, and got creeped out.
context: Who, exactly, left Saki-san there and ran off?\It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out. response:	That's when she said she never knew you were that kind of person.
context: It wasn't you that ran off. It was the kappa, wasn't it?\The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person. response:	Isn't that right?
context: The kappa saw you next to Saki-san, got scared, and ran away.\What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right? response:	You're making one key mistake.
context: What an awful experience for that kappa,\just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake. response:	Kappas don't exist to begin with.
context: just randomly running into you in the middle of the night.\It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with. response:	Even though you just said they did?
context: It has my sympathy.\Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did? response:	That was a lie.
context: Saki-san saw that terrifying yokai run away\after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did?\That was a lie. response:	As if I'm gonna tell another girl the truth about my break-up.
context: after seeing you, wondered who you really were, and got creeped out.\That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up. response:	I'm only slightly acquainted with kappas,
context: That's when she said she never knew you were that kind of person.\Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas, response:	but I'm quite knowledgeable about creatures similar to it.
context: Isn't that right?\You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it. response:	This town, and even this hospital, has yokai, ayakashi, spectres,
context: You're making one key mistake.\Kappas don't exist to begin with.\Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres, response:	and demons lurking everywhere.
context: Kappas don't exist to begin with.\Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere. response:	In the shadows of the azaleas in this garden,
context: Even though you just said they did?\That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden, response:	and from atop the dogwoods,
context: That was a lie.\As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods, response:	they are quietly observing us.
context: As if I'm gonna tell another girl the truth about my break-up.\I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us. response:	Most of them mean no harm,
context: I'm only slightly acquainted with kappas,\but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm, response:	but they do exist everywhere.
context: but I'm quite knowledgeable about creatures similar to it.\This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere. response:	They see you and whisper to me...
context: This town, and even this hospital, has yokai, ayakashi, spectres,\and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me... response:	He's something different. He's... He's terrifying.
context: and demons lurking everywhere.\In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying. response:	Who are you?
context: In the shadows of the azaleas in this garden,\and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you? response:	Why are you so sure these things exist?
context: and from atop the dogwoods,\they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist? response:	When I was eleven,
context: they are quietly observing us.\Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist?\When I was eleven, response:	I happened to be kidnapped for two weeks by these creatures.
context: Most of them mean no harm,\but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures. response:	Deep in the mountains where they took me, they implored me, the girl they kidnapped...
context: but they do exist everywhere.\They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped... response:	Please become our Goddess of Wisdom.
context: They see you and whisper to me...\He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom. response:	Goddess of Wisdom?
context: He's something different. He's... He's terrifying.\Who are you?\Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom? response:	Most of these creatures were of low intellect,
context: Who are you?\Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect, response:	so they were looking for someone who could help them,
context: Why are you so sure these things exist?\When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them, response:	quell their fighting, and make peace among them.
context: When I was eleven,\I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them. response:	Please, please, we beseech you.
context: I happened to be kidnapped for two weeks by these creatures.\Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you. response:	So I replied...
context: Deep in the mountains where they took me, they implored me, the girl they kidnapped...\Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied... response:	Yes, I shall.
context: Please become our Goddess of Wisdom.\Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied...\Yes, I shall. response:	My Lady!
context: Goddess of Wisdom?\Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied...\Yes, I shall.\My Lady! response:	Ever since then, whenever they have problems or conflicts with one another,
context: Most of these creatures were of low intellect,\so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied...\Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another, response:	they come from all over the country to ask me to mediate or come up with solutions.
context: so they were looking for someone who could help them,\quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied...\Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions. response:	That's hard to believe.
context: quell their fighting, and make peace among them.\Please, please, we beseech you.\So I replied...\Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe. response:	Indeed, it is.
context: Please, please, we beseech you.\So I replied...\Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is. response:	In that case, why don't you go find a newspaper from around July six years ago?
context: So I replied...\Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago? response:	You should be able to find an article about
context: Yes, I shall.\My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about response:	a fifth-grade girl named Iwanaga Kotoko
context: My Lady!\Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko response:	who disappeared from this town and then, two weeks later,
context: Ever since then, whenever they have problems or conflicts with one another,\they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later, response:	was found napping on a park bench.
context: they come from all over the country to ask me to mediate or come up with solutions.\That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench. response:	The little girl's left leg was severed, and her right eye had been gouged out.
context: That's hard to believe.\Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out. response:	Unsurprisingly, the culprit behind this incident was never caught.
context: Indeed, it is.\In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught. response:	Looks like it's time.
context: In that case, why don't you go find a newspaper from around July six years ago?\You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time. response:	We'll continue this another day.
context: You should be able to find an article about\a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day. response:	The doors are closing. Please be careful.
context: a fifth-grade girl named Iwanaga Kotoko\who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful. response:	We are now departing.
context: who disappeared from this town and then, two weeks later,\was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful.\We are now departing. response:	One Eye, One Leg
