context: Why do you dig? response:	Because a new world awaits on the other side.
context: the bride who will bear the next generation of Altair.\There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time. response:	Better take some infiltrator ammo too.
context: There's a good chance that the strongest of the Rare Iguras pilots the Machine Angel.\I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too. response:	Add some heavy armor on top, and...
context: I understand, High Commander Izumo.\I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and... response:	I've got a perfect, flawless shield of iron.
context: I'll go down there myself this time instead of piloting by remote.\Go, Jin.\Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron. response:	Man, I made a total ass of myself.
context: Go, Jin.\Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself. response:	I dunno, an ancient school handbook is a pretty big find itself.
context: Last son of Altair.\I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself. response:	We can donate it to the Neo-Kowloon Museum!
context: I'll dial up the optical sensors...\and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum! response:	Those old guys sure sweat the small stuff.
context: and I'll focus on solid ammo so I don't end up like last time.\Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff. response:	Rules for the length of your hair and skirt?
context: Better take some infiltrator ammo too.\Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt? response:	You're wrong! We can learn from the lessons of history!
context: Add some heavy armor on top, and...\I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history! response:	Neo-Deava should take the wisdom of the ancients and strengthen its own rules!
context: I've got a perfect, flawless shield of iron.\Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules! response:	What?
context: Man, I made a total ass of myself.\I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What? response:	I've always thought that your clothes are too revealing, Zessica!
context: I dunno, an ancient school handbook is a pretty big find itself.\We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica! response:	Have you not thought about guarding yourself from the gaze of those boys?
context: We can donate it to the Neo-Kowloon Museum!\Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys? response:	Really? You think so?
context: Those old guys sure sweat the small stuff.\Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so? response:	To begin with, what do you think the scriptures say about showing your belly?
context: Rules for the length of your hair and skirt?\You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly? response:	You may as well be walking around in just your underwear!
context: You're wrong! We can learn from the lessons of history!\Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear! response:	Just her underwear...
context: Neo-Deava should take the wisdom of the ancients and strengthen its own rules!\What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear... response:	Let's try and fix what we can with a few quick rules.
context: What?\I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules. response:	Zessica, there will be no more exposing yourself from now on!
context: I've always thought that your clothes are too revealing, Zessica!\Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on! response:	You're treating me like some kind of creep!
context: Have you not thought about guarding yourself from the gaze of those boys?\Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep! response:	Amata, do you think it's bad that you can see my belly?
context: Really? You think so?\To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly? response:	Well, I mean, not your...
context: To begin with, what do you think the scriptures say about showing your belly?\You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your... response:	Never have to guess what he's thinking.
context: You may as well be walking around in just your underwear!\Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking. response:	Shush?
context: Just her underwear...\Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking.\Shush? response:	Do you think guys like girls who wear flashy clothes?
context: Let's try and fix what we can with a few quick rules.\Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes? response:	Oh, so you do have clothes like that.
context: Zessica, there will be no more exposing yourself from now on!\You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that. response:	Zessica!
context: You're treating me like some kind of creep!\Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica! response:	Let me see.
context: Amata, do you think it's bad that you can see my belly?\Well, I mean, not your...\Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica!\Let me see. response:	You could show off more.
context: Well, I mean, not your...\Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica!\Let me see.\You could show off more. response:	I think this would look good on you.
context: Never have to guess what he's thinking.\Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica!\Let me see.\You could show off more.\I think this would look good on you. response:	I'm not like you!
context: Shush?\Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica!\Let me see.\You could show off more.\I think this would look good on you.\I'm not like you! response:	Abductors detected in the Neo-Kowloon area.
context: Do you think guys like girls who wear flashy clothes?\Oh, so you do have clothes like that.\Zessica!\Let me see.\You could show off more.\I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area. response:	Come and get me, Machine Angel.
context: Oh, so you do have clothes like that.\Zessica!\Let me see.\You could show off more.\I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel. response:	He'll start attacking Neo-Kowloon if we make him wait.
context: Zessica!\Let me see.\You could show off more.\I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait. response:	He's not here to abduct people this time.
context: Let me see.\You could show off more.\I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time. response:	Fudo, what do you think their goal is?
context: You could show off more.\I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is? response:	Heavy Armor Radius Gniss.
context: I think this would look good on you.\I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss. response:	Send out Aquarion!
context: I'm not like you!\Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion! response:	The head is Amata! With Zessica and Mikono!
context: Abductors detected in the Neo-Kowloon area.\Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono! response:	Mikono?
context: Come and get me, Machine Angel.\He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono? response:	But she...
context: He'll start attacking Neo-Kowloon if we make him wait.\He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono?\But she... response:	Here I go!
context: He's not here to abduct people this time.\Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono?\But she...\Here I go! response:	Vector Z, launching!
context: Fudo, what do you think their goal is?\Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono?\But she...\Here I go!\Vector Z, launching! response:	Vector Y, launching!
context: Heavy Armor Radius Gniss.\Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono?\But she...\Here I go!\Vector Z, launching!\Vector Y, launching! response:	Vector X, launching!
context: Send out Aquarion!\The head is Amata! With Zessica and Mikono!\Mikono?\But she...\Here I go!\Vector Z, launching!\Vector Y, launching!\Vector X, launching! response:	Approaching the enemy Abductor!
context: The head is Amata! With Zessica and Mikono!\Mikono?\But she...\Here I go!\Vector Z, launching!\Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor! response:	Get ready, Mikono!
context: Mikono?\But she...\Here I go!\Vector Z, launching!\Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono! response:	Defensive Union! Go, Aquarion!
context: But she...\Here I go!\Vector Z, launching!\Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion! response:	Aquarion Evol!
context: Here I go!\Vector Z, launching!\Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol! response:	W-What should I do?
context: Vector Z, launching!\Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do? response:	Mikono...
context: Vector Y, launching!\Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do?\Mikono... response:	This ends right here, Abductor!
context: Vector X, launching!\Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do?\Mikono...\This ends right here, Abductor! response:	Infinity Punch!
context: Approaching the enemy Abductor!\Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do?\Mikono...\This ends right here, Abductor!\Infinity Punch! response:	He's tough!
context: Get ready, Mikono!\Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do?\Mikono...\This ends right here, Abductor!\Infinity Punch!\He's tough! response:	You hit me with that before.
context: Defensive Union! Go, Aquarion!\Aquarion Evol!\W-What should I do?\Mikono...\This ends right here, Abductor!\Infinity Punch!\He's tough!\You hit me with that before. response:	I'm not falling for the same thing again.
context: Aquarion Evol!\W-What should I do?\Mikono...\This ends right here, Abductor!\Infinity Punch!\He's tough!\You hit me with that before.\I'm not falling for the same thing again. response:	These are the Rare Iguras?
context: W-What should I do?\Mikono...\This ends right here, Abductor!\Infinity Punch!\He's tough!\You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras? response:	Pff. They're light years below Silvie.
context: Mikono...\This ends right here, Abductor!\Infinity Punch!\He's tough!\You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie. response:	Stop it, Jin! Get back here!
context: This ends right here, Abductor!\Infinity Punch!\He's tough!\You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here! response:	Keep your hands off her! That's my wench!
context: Infinity Punch!\He's tough!\You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench! response:	Your voice is so ugly.
context: He's tough!\You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly. response:	I know you can cry out more beautifully.
context: You hit me with that before.\I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully. response:	Feel the jealousy, Kagura. Feel it harder.
context: I'm not falling for the same thing again.\These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder. response:	Feel the pain of having the one you love stolen away.
context: These are the Rare Iguras?\Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away. response:	Drink it deeply.
context: Pff. They're light years below Silvie.\Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply. response:	Let's see how powerful you Rare Iguras are.
context: Stop it, Jin! Get back here!\Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are. response:	No damage to Aquarion's external armor!
context: Keep your hands off her! That's my wench!\Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor! response:	But it's having an effect on the Elements!
context: Your voice is so ugly.\I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements! response:	He's using infiltrator ammunition?
context: I know you can cry out more beautifully.\Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition? response:	He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...
context: Feel the jealousy, Kagura. Feel it harder.\Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it... response:	Mikono!
context: Feel the pain of having the one you love stolen away.\Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono! response:	Their Union rate is plummeting rapidly!
context: Drink it deeply.\Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly! response:	The Union is breaking!
context: Let's see how powerful you Rare Iguras are.\No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking! response:	Don't look away. Watch closely.
context: No damage to Aquarion's external armor!\But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely. response:	Jin is violating your very own Rare Igura.
context: But it's having an effect on the Elements!\He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura. response:	Stop!
context: He's using infiltrator ammunition?\He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop! response:	Stop iiit!!
context: He's creating shockwaves that resonate through Aquarion, thus dealing damage directly within it...\Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop!\Stop iiit!! response:	Pathetic.
context: Mikono!\Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop!\Stop iiit!!\Pathetic. response:	There's no way one of those weaklings could possibly be our true Eve.
context: Their Union rate is plummeting rapidly!\The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop!\Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve. response:	The Element suits have been heavily damaged!
context: The Union is breaking!\Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop!\Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged! response:	We have to do something or the shock is going to go right to their bodies!
context: Don't look away. Watch closely.\Jin is violating your very own Rare Igura.\Stop!\Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies! response:	Mikono!
context: Jin is violating your very own Rare Igura.\Stop!\Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono! response:	I can't watch this! Element Change me!
context: Stop!\Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me! response:	Let me go, High Commander!
context: Stop iiit!!\Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me!\Let me go, High Commander! response:	Zessica, dodge it!
context: Pathetic.\There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it! response:	What just happened?
context: There's no way one of those weaklings could possibly be our true Eve.\The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it!\What just happened? response:	I can feel the missiles in the air!
context: The Element suits have been heavily damaged!\We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it!\What just happened?\I can feel the missiles in the air! response:	I felt them on my skin!
context: We have to do something or the shock is going to go right to their bodies!\Mikono!\I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it!\What just happened?\I can feel the missiles in the air!\I felt them on my skin! response:	How is Zessica's machine doing that?
context: Mikono!\I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it!\What just happened?\I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that? response:	Fudo, what does this mean?
context: I can't watch this! Element Change me!\Let me go, High Commander!\Zessica, dodge it!\What just happened?\I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean? response:	As people get naked, their senses get sharper.
context: Let me go, High Commander!\Zessica, dodge it!\What just happened?\I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper. response:	Rip off your clothes, let down your guard,
context: Zessica, dodge it!\What just happened?\I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard, response:	and you will sense your enemy's moves with perfect precision.
context: What just happened?\I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision. response:	So the less I'm wearing, the better I'll be able to dodge?
context: I can feel the missiles in the air!\I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge? response:	But we can't possibly do that!
context: I felt them on my skin!\How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that! response:	This isn't the time to be modest!
context: How is Zessica's machine doing that?\Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest! response:	Zessica!
context: Fudo, what does this mean?\As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest!\Zessica! response:	I can do it too!
context: As people get naked, their senses get sharper.\Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest!\Zessica!\I can do it too! response:	Mikono, not you too!
context: Rip off your clothes, let down your guard,\and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest!\Zessica!\I can do it too!\Mikono, not you too! response:	Mikono and Zessica's mind levels are rising!
context: and you will sense your enemy's moves with perfect precision.\So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest!\Zessica!\I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising! response:	They're at a Union-capable level!
context: So the less I'm wearing, the better I'll be able to dodge?\But we can't possibly do that!\This isn't the time to be modest!\Zessica!\I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level! response:	Right now! Union!
context: But we can't possibly do that!\This isn't the time to be modest!\Zessica!\I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union! response:	The head is Zessica Wong!
context: This isn't the time to be modest!\Zessica!\I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong! response:	Unguarded Union! Go, Aquarion!
context: Zessica!\I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion! response:	My skin feels so sensitive...
context: I can do it too!\Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive... response:	I can feel it all over my body...
context: Mikono, not you too!\Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body... response:	So intense!
context: Mikono and Zessica's mind levels are rising!\They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body...\So intense! response:	Aquarion Spada!
context: They're at a Union-capable level!\Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body...\So intense!\Aquarion Spada! response:	I can feel Amata looking at me...
context: Right now! Union!\The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body...\So intense!\Aquarion Spada!\I can feel Amata looking at me... response:	I'm so embarrassed!
