context: Sakura-chan isn't with you, is she? response:	We can't find her anywhere!
context: He really is strong.\I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms? response:	That'd be the worst.
context: I'm not even sure if the two of us together can stop him.\It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst. response:	If the air's filled with water, everyone on Earth
context: It's not too bad now, but if he gets even stronger...\What will happen?\His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth response:	will fall under his spell and dance the Enoshima Dance.
context: What will happen?\His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance. response:	Thinking about it makes me hurt here.
context: His voice might even reach\people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here. response:	Go back to your planet.
context: people through the moisture in the air.\What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet. response:	Let Duck handle this.
context: What if the humidity were to suddenly increase,\such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this. response:	Catching him won't be easy.
context: such as when it rains or storms?\That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this.\Catching him won't be easy. response:	Regardless, you tried to involve humans.
context: That'd be the worst.\If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans. response:	Now that I know that,
context: If the air's filled with water, everyone on Earth\will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that, response:	I cannot allow you to continue what you're doing.
context: will fall under his spell and dance the Enoshima Dance.\Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing. response:	What's a whitebait cafe?
context: Thinking about it makes me hurt here.\Go back to your planet.\Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe? response:	It's a whitebait cafe.
context: Go back to your planet.\Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe. response:	I said...
context: Let Duck handle this.\Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe.\I said... response:	I'm renovating the place.
context: Catching him won't be easy.\Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe.\I said...\I'm renovating the place. response:	Instead of whitebait and Enoshima bowls,
context: Regardless, you tried to involve humans.\Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe.\I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls, response:	I'm gonna sell all kinds of stuff.
context: Now that I know that,\I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe.\I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff. response:	Whitebait bowls, whitebait pizza,
context: I cannot allow you to continue what you're doing.\What's a whitebait cafe?\It's a whitebait cafe.\I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza, response:	whitebait ice cream, whitebait steamed buns.
context: What's a whitebait cafe?\It's a whitebait cafe.\I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns. response:	You're overextending yourself.
context: It's a whitebait cafe.\I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself. response:	You can't be sure until you try.
context: I said...\I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try. response:	Everything's like that.
context: I'm renovating the place.\Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try.\Everything's like that. response:	If you think of something, try it.
context: Instead of whitebait and Enoshima bowls,\I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try.\Everything's like that.\If you think of something, try it. response:	You won't know until you try.
context: I'm gonna sell all kinds of stuff.\Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try.\Everything's like that.\If you think of something, try it.\You won't know until you try. response:	Do whatever you want.
context: Whitebait bowls, whitebait pizza,\whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try.\Everything's like that.\If you think of something, try it.\You won't know until you try.\Do whatever you want. response:	What are you gonna do?
context: whitebait ice cream, whitebait steamed buns.\You're overextending yourself.\You can't be sure until you try.\Everything's like that.\If you think of something, try it.\You won't know until you try.\Do whatever you want.\What are you gonna do? response:	I'll... I'll think about it.
context: You're overextending yourself.\You can't be sure until you try.\Everything's like that.\If you think of something, try it.\You won't know until you try.\Do whatever you want.\What are you gonna do?\I'll... I'll think about it. response:	Do whatever you want.
context: You can't be sure until you try.\Everything's like that.\If you think of something, try it.\You won't know until you try.\Do whatever you want.\What are you gonna do?\I'll... I'll think about it.\Do whatever you want. response:	Just keep moving forward.
context: Everything's like that.\If you think of something, try it.\You won't know until you try.\Do whatever you want.\What are you gonna do?\I'll... I'll think about it.\Do whatever you want.\Just keep moving forward. response:	I'm sure you'll be happier that way.
context: If you think of something, try it.\You won't know until you try.\Do whatever you want.\What are you gonna do?\I'll... I'll think about it.\Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way. response:	As long as you're serious about it,
context: You won't know until you try.\Do whatever you want.\What are you gonna do?\I'll... I'll think about it.\Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it, response:	I'll support you.
context: Do whatever you want.\What are you gonna do?\I'll... I'll think about it.\Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you. response:	Thanks.
context: What are you gonna do?\I'll... I'll think about it.\Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you.\Thanks. response:	When he's by himself, he's thinking about something important.
context: I'll... I'll think about it.\Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you.\Thanks.\When he's by himself, he's thinking about something important. response:	Isn't that right, Nii-chan?
context: Do whatever you want.\Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you.\Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan? response:	Why don't you take a bath?
context: Just keep moving forward.\I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you.\Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath? response:	Okay.
context: I'm sure you'll be happier that way.\As long as you're serious about it,\I'll support you.\Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath?\Okay. response:	I'm glad Sakura-chan is all right.
context: As long as you're serious about it,\I'll support you.\Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right. response:	Yeah.
context: I'll support you.\Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right.\Yeah. response:	Yes?
context: Thanks.\When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right.\Yeah.\Yes? response:	I was so happy we found Sakura-chan.
context: When he's by himself, he's thinking about something important.\Isn't that right, Nii-chan?\Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right.\Yeah.\Yes?\I was so happy we found Sakura-chan. response:	Yes.
context: Isn't that right, Nii-chan?\Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right.\Yeah.\Yes?\I was so happy we found Sakura-chan.\Yes. response:	Natsuki's going to have a new mom.
context: Why don't you take a bath?\Okay.\I'm glad Sakura-chan is all right.\Yeah.\Yes?\I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom. response:	I'm really happy for him.
context: Okay.\I'm glad Sakura-chan is all right.\Yeah.\Yes?\I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom.\I'm really happy for him. response:	Yes.
context: I'm glad Sakura-chan is all right.\Yeah.\Yes?\I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom.\I'm really happy for him.\Yes. response:	You can tell me about it.
context: Yeah.\Yes?\I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom.\I'm really happy for him.\Yes.\You can tell me about it. response:	I don't know anything about families,
context: Yes?\I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom.\I'm really happy for him.\Yes.\You can tell me about it.\I don't know anything about families, response:	so I don't know about parents or how he feels,
context: I was so happy we found Sakura-chan.\Yes.\Natsuki's going to have a new mom.\I'm really happy for him.\Yes.\You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels, response:	but I just wanted to tell Natsuki something.
context: Yes.\Natsuki's going to have a new mom.\I'm really happy for him.\Yes.\You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something. response:	I couldn't help it.
context: Natsuki's going to have a new mom.\I'm really happy for him.\Yes.\You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it. response:	I said I was jealous of him.
context: I'm really happy for him.\Yes.\You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him. response:	Since then...
context: Yes.\You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him.\Since then... response:	I've been messed up inside.
context: You can tell me about it.\I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him.\Since then...\I've been messed up inside. response:	I realized I must have been lonely for a long time.
context: I don't know anything about families,\so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him.\Since then...\I've been messed up inside.\I realized I must have been lonely for a long time. response:	But I could never say it.
context: so I don't know about parents or how he feels,\but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him.\Since then...\I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it. response:	I mean, saying it wouldn't have helped.
context: but I just wanted to tell Natsuki something.\I couldn't help it.\I said I was jealous of him.\Since then...\I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped. response:	I thought saying something would've screwed everything up.
context: I couldn't help it.\I said I was jealous of him.\Since then...\I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up. response:	But I... Grandma, I...
context: I said I was jealous of him.\Since then...\I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I... response:	Yes?
context: Since then...\I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes? response:	I've got people I can talk to about this.
context: I've been messed up inside.\I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes?\I've got people I can talk to about this. response:	When I realized I could tell him anything,
context: I realized I must have been lonely for a long time.\But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes?\I've got people I can talk to about this.\When I realized I could tell him anything, response:	I was just so happy.
context: But I could never say it.\I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes?\I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy. response:	Yes.
context: I mean, saying it wouldn't have helped.\I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes?\I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy.\Yes. response:	I was lonely, but that was fine.
context: I thought saying something would've screwed everything up.\But I... Grandma, I...\Yes?\I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy.\Yes.\I was lonely, but that was fine. response:	I can't go back,
context: But I... Grandma, I...\Yes?\I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy.\Yes.\I was lonely, but that was fine.\I can't go back, response:	and I'm not embarrassed about what happened.
context: Yes?\I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy.\Yes.\I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened. response:	I had you.
context: I've got people I can talk to about this.\When I realized I could tell him anything,\I was just so happy.\Yes.\I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened.\I had you. response:	I've been fine with having you as my dad and mom.
context: When I realized I could tell him anything,\I was just so happy.\Yes.\I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom. response:	That's why I'm grateful to you.
context: I was just so happy.\Yes.\I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you. response:	I love you, Grandma.
context: Yes.\I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma. response:	Yes. I love you, too.
context: I was lonely, but that was fine.\I can't go back,\and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too. response:	Thank you.
context: I can't go back,\and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too.\Thank you. response:	No, thank you.
context: and I'm not embarrassed about what happened.\I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too.\Thank you.\No, thank you. response:	Koko.
context: I had you.\I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too.\Thank you.\No, thank you.\Koko. response:	What?
context: I've been fine with having you as my dad and mom.\That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too.\Thank you.\No, thank you.\Koko.\What? response:	Koko, do you like Enoshima?
context: That's why I'm grateful to you.\I love you, Grandma.\Yes. I love you, too.\Thank you.\No, thank you.\Koko.\What?\Koko, do you like Enoshima? response:	I do.
context: I love you, Grandma.\Yes. I love you, too.\Thank you.\No, thank you.\Koko.\What?\Koko, do you like Enoshima?\I do. response:	The whitebait's good, and everyone's so nice.
context: Yes. I love you, too.\Thank you.\No, thank you.\Koko.\What?\Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice. response:	I love it.
context: Thank you.\No, thank you.\Koko.\What?\Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice.\I love it. response:	I like it, too.
context: No, thank you.\Koko.\What?\Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice.\I love it.\I like it, too. response:	I love it!
context: Koko.\What?\Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice.\I love it.\I like it, too.\I love it! response:	Nii-chan, what's wrong with you?
context: What?\Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice.\I love it.\I like it, too.\I love it!\Nii-chan, what's wrong with you? response:	I've decided. I've decided!
context: Koko, do you like Enoshima?\I do.\The whitebait's good, and everyone's so nice.\I love it.\I like it, too.\I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided! response:	Nii-chan, you're an idiot.
context: I do.\The whitebait's good, and everyone's so nice.\I love it.\I like it, too.\I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot. response:	You really are an idiot.
context: The whitebait's good, and everyone's so nice.\I love it.\I like it, too.\I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot. response:	Oh, come on.
context: I love it.\I like it, too.\I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on. response:	I'm back.
context: I like it, too.\I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on.\I'm back. response:	Is your sadness all better?
context: I love it!\Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on.\I'm back.\Is your sadness all better? response:	A little.
context: Nii-chan, what's wrong with you?\I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on.\I'm back.\Is your sadness all better?\A little. response:	I see.
context: I've decided. I've decided!\Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on.\I'm back.\Is your sadness all better?\A little.\I see. response:	Keito, are you all right?
context: Nii-chan, you're an idiot.\You really are an idiot.\Oh, come on.\I'm back.\Is your sadness all better?\A little.\I see.\Keito, are you all right? response:	Yes. Thank you.
context: You really are an idiot.\Oh, come on.\I'm back.\Is your sadness all better?\A little.\I see.\Keito, are you all right?\Yes. Thank you. response:	Eat lots and rest lots.
context: Oh, come on.\I'm back.\Is your sadness all better?\A little.\I see.\Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots. response:	I will.
context: I'm back.\Is your sadness all better?\A little.\I see.\Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots.\I will. response:	Don't carry anything heavy.
context: Is your sadness all better?\A little.\I see.\Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots.\I will.\Don't carry anything heavy. response:	Okay.
context: A little.\I see.\Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots.\I will.\Don't carry anything heavy.\Okay. response:	That's all.
context: I see.\Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots.\I will.\Don't carry anything heavy.\Okay.\That's all. response:	Haru.
context: Keito, are you all right?\Yes. Thank you.\Eat lots and rest lots.\I will.\Don't carry anything heavy.\Okay.\That's all.\Haru. response:	What?
context: Yes. Thank you.\Eat lots and rest lots.\I will.\Don't carry anything heavy.\Okay.\That's all.\Haru.\What? response:	What do you say when you leave?
context: Eat lots and rest lots.\I will.\Don't carry anything heavy.\Okay.\That's all.\Haru.\What?\What do you say when you leave? response:	Good bye.
context: I will.\Don't carry anything heavy.\Okay.\That's all.\Haru.\What?\What do you say when you leave?\Good bye. response:	That's right. Be sure you say it when the time comes.
context: Don't carry anything heavy.\Okay.\That's all.\Haru.\What?\What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes. response:	Okay.
context: Okay.\That's all.\Haru.\What?\What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes.\Okay. response:	Don't leave without saying anything.
context: That's all.\Haru.\What?\What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything. response:	Okay.
context: Haru.\What?\What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything.\Okay. response:	If you do, I'll be mad.
context: What?\What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything.\Okay.\If you do, I'll be mad. response:	Okay.
context: What do you say when you leave?\Good bye.\That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything.\Okay.\If you do, I'll be mad.\Okay. response:	Be nice to everyone until you leave.
context: Good bye.\That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything.\Okay.\If you do, I'll be mad.\Okay.\Be nice to everyone until you leave. response:	Okay.
context: That's right. Be sure you say it when the time comes.\Okay.\Don't leave without saying anything.\Okay.\If you do, I'll be mad.\Okay.\Be nice to everyone until you leave.\Okay. response:	Smile and hold your head high.
context: Okay.\Don't leave without saying anything.\Okay.\If you do, I'll be mad.\Okay.\Be nice to everyone until you leave.\Okay.\Smile and hold your head high. response:	Smile and hold your head high.
context: Don't leave without saying anything.\Okay.\If you do, I'll be mad.\Okay.\Be nice to everyone until you leave.\Okay.\Smile and hold your head high.\Smile and hold your head high. response:	No fair, guys!
context: Okay.\If you do, I'll be mad.\Okay.\Be nice to everyone until you leave.\Okay.\Smile and hold your head high.\Smile and hold your head high.\No fair, guys! response:	We haven't settled our match yet.
context: If you do, I'll be mad.\Okay.\Be nice to everyone until you leave.\Okay.\Smile and hold your head high.\Smile and hold your head high.\No fair, guys!\We haven't settled our match yet. response:	We'll let size decide.
context: Okay.\Be nice to everyone until you leave.\Okay.\Smile and hold your head high.\Smile and hold your head high.\No fair, guys!\We haven't settled our match yet.\We'll let size decide. response:	The guy who catches the smallest one...
context: Be nice to everyone until you leave.\Okay.\Smile and hold your head high.\Smile and hold your head high.\No fair, guys!\We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one... response:	Another punishment?
context: Okay.\Smile and hold your head high.\Smile and hold your head high.\No fair, guys!\We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one...\Another punishment? response:	I'll play, too!
context: Smile and hold your head high.\Smile and hold your head high.\No fair, guys!\We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one...\Another punishment?\I'll play, too! response:	You said you wouldn't fish any more.
context: Smile and hold your head high.\No fair, guys!\We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one...\Another punishment?\I'll play, too!\You said you wouldn't fish any more. response:	I will. I'll do it!
context: No fair, guys!\We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one...\Another punishment?\I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it! response:	Okay, bring it on.
context: We haven't settled our match yet.\We'll let size decide.\The guy who catches the smallest one...\Another punishment?\I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on. response:	Eno... shima... Bowl!
context: We'll let size decide.\The guy who catches the smallest one...\Another punishment?\I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl! response:	I wish I could stay like this forever.
context: The guy who catches the smallest one...\Another punishment?\I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever. response:	I'm kidding, I'm kidding.
context: Another punishment?\I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding. response:	Forget what I said! How embarrassing.
context: I'll play, too!\You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing. response:	Me, too.
context: You said you wouldn't fish any more.\I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too. response:	I wish I could stay like this, too.
context: I will. I'll do it!\Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too. response:	Even if the world ends tomorrow, I know I'll be fishing.
context: Okay, bring it on.\Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing. response:	The world won't end.
context: Eno... shima... Bowl!\I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end. response:	It'd be sad if it ended. I love Enoshima.
context: I wish I could stay like this forever.\I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima. response:	I had fun. Everything was fun!
context: I'm kidding, I'm kidding.\Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun! response:	Don't talk like you're leaving.
context: Forget what I said! How embarrassing.\Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving. response:	Sorry.
context: Me, too.\I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry. response:	Yeah! What are you talking about, Haru?
context: I wish I could stay like this, too.\Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru? response:	Sorry, sorry.
context: Even if the world ends tomorrow, I know I'll be fishing.\The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry. response:	Got one!
context: The world won't end.\It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one! response:	Seriously?
context: It'd be sad if it ended. I love Enoshima.\I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one!\Seriously? response:	Haru, calm down!
context: I had fun. Everything was fun!\Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one!\Seriously?\Haru, calm down! response:	Okay. Raise your rod, and... What was it?
context: Don't talk like you're leaving.\Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one!\Seriously?\Haru, calm down!\Okay. Raise your rod, and... What was it? response:	You're hopeless.
context: Sorry.\Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one!\Seriously?\Haru, calm down!\Okay. Raise your rod, and... What was it?\You're hopeless. response:	Yuki, it's okay. I can do it myself!
context: Yeah! What are you talking about, Haru?\Sorry, sorry.\Got one!\Seriously?\Haru, calm down!\Okay. Raise your rod, and... What was it?\You're hopeless.\Yuki, it's okay. I can do it myself! response:	Akira, 62 centimeters.
