context: You better hope the beast that comes out of the cave isn't a monster. response:	Hey, are you hungry?
context: A cockroach.\Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything. response:	You're not like any man I've met before.
context: Why did you let it go?\It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before. response:	I guess we both are hungry.
context: It's okay for humans to die, but not bugs?\Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry. response:	Ugh, I'm pooped out.
context: Humans and bugs, they're all the same. Life is life.\I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out. response:	We walked all night for nothing.
context: I've never met a human who speaks like that before.\You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing. response:	Where's that spider monster hiding?
context: You're strange.\Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding? response:	My brain isn't working anymore. Let's sleep while it's still cool.
context: Am I? Anyways, eat up.\And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool. response:	Hey, what's that say?
context: And sleep. That solves everything.\You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say? response:	Another man disappeared last night, so the reward went up.
context: You're not like any man I've met before.\I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up. response:	Last night? But there weren't any signs of monsters.
context: I guess we both are hungry.\Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters. response:	Maybe I was wrong. Maybe it's not a monster...
context: Ugh, I'm pooped out.\We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster... response:	Hey, will the man who takes people away get caught?
context: We walked all night for nothing.\Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught? response:	Don't worry, he won't get caught.
context: Where's that spider monster hiding?\My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught. response:	No man of this village would snitch to the lord no matter the reward.
context: My brain isn't working anymore. Let's sleep while it's still cool.\Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward. response:	We have nothing else to eat here but bugs and weeds.
context: Hey, what's that say?\Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds. response:	Guess we'll chew on herbs and rest till night.
context: Another man disappeared last night, so the reward went up.\Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night. response:	Ohagi, you're growing weaker and weaker. Are you...
context: Last night? But there weren't any signs of monsters.\Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you... response:	You left mighty early this morning.
context: Maybe I was wrong. Maybe it's not a monster...\Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning. response:	It was still dark, but you didn't even take a torch.
context: Hey, will the man who takes people away get caught?\Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch. response:	Do you have another job besides the quarry?
context: Don't worry, he won't get caught.\No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry? response:	Yeah, a bit of a job as the moon sets.
context: No man of this village would snitch to the lord no matter the reward.\We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets. response:	It's actually my main job.
context: We have nothing else to eat here but bugs and weeds.\Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job. response:	Must be tough.
context: Guess we'll chew on herbs and rest till night.\Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough. response:	Ohagi, as far as I can tell, you're sick with something.
context: Ohagi, you're growing weaker and weaker. Are you...\You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something. response:	But this village has no doctors.
context: You left mighty early this morning.\It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors. response:	You can't leave this village without a traveler's pass.
context: It was still dark, but you didn't even take a torch.\Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass. response:	But I can get you out of here.
context: Do you have another job besides the quarry?\Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here. response:	Well, seems like I won't find any young prey here.
context: Yeah, a bit of a job as the moon sets.\It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here. response:	I would leave this place if I could.
context: It's actually my main job.\Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could. response:	But I have nothing to pay you with.
context: Must be tough.\Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with. response:	I just want you to live.
context: Ohagi, as far as I can tell, you're sick with something.\But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live. response:	Yes, that's right.
context: But this village has no doctors.\You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live.\Yes, that's right. response:	I'm the same as a cockroach.
context: You can't leave this village without a traveler's pass.\But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live.\Yes, that's right.\I'm the same as a cockroach. response:	Yes, you are. All lives matter just the same.
context: But I can get you out of here.\Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live.\Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same. response:	I don't wish to die, either.
context: Well, seems like I won't find any young prey here.\I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live.\Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either. response:	Help me, then.
context: I would leave this place if I could.\But I have nothing to pay you with.\I just want you to live.\Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then. response:	Gladly. We should go as soon as possible.
context: But I have nothing to pay you with.\I just want you to live.\Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible. response:	Tonight, after the moon sets and before dawn breaks.
context: I just want you to live.\Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks. response:	Rest until then.
context: Yes, that's right.\I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then. response:	If the kidnapper isn't a monster, we won't be able to find him.
context: I'm the same as a cockroach.\Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him. response:	Anyways, tonight's our last chance.
context: Yes, you are. All lives matter just the same.\I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance. response:	This will be our last night looking for the monster here.
context: I don't wish to die, either.\Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here. response:	We might be hungry, but let's do it.
context: Help me, then.\Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it. response:	Where are we going? The village exit isn't this way.
context: Gladly. We should go as soon as possible.\Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way. response:	There are guards over there. The secret passage is this way.
context: Tonight, after the moon sets and before dawn breaks.\Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way. response:	We'll get there right before dawn.
context: Rest until then.\If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn. response:	You'll have to bear with me.
context: If the kidnapper isn't a monster, we won't be able to find him.\Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me. response:	It's tough on a kid to walk two nights on an empty stomach.
context: Anyways, tonight's our last chance.\This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach. response:	Sorry Hyakkimaru, guess we lucked out this time.
context: This will be our last night looking for the monster here.\We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time. response:	We should give up and go...
context: We might be hungry, but let's do it.\Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go... response:	Ohagi, do you need to rest a little?
context: Where are we going? The village exit isn't this way.\There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little? response:	Who do you think I am? I could suck the life out of you.
context: There are guards over there. The secret passage is this way.\We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you. response:	You're the guy we met yesterday.
context: We'll get there right before dawn.\You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday. response:	The boys after the reward.
context: You'll have to bear with me.\It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward. response:	You again! Have you come to kill me, you little brats!
context: It's tough on a kid to walk two nights on an empty stomach.\Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats! response:	That voice, in the forest. It's her!
context: Sorry Hyakkimaru, guess we lucked out this time.\We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her! response:	This woman is the spider monster.
context: We should give up and go...\Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster. response:	I knew she was the kidnapper!
context: Ohagi, do you need to rest a little?\Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper! response:	Get away from her, old man. She'll suck you dry.
context: Who do you think I am? I could suck the life out of you.\You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry. response:	We can get food if we beat the monster.
context: You're the guy we met yesterday.\The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster. response:	Go get her, Hyakkimaru.
context: The boys after the reward.\You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru. response:	Ohagi, a monster?
context: You again! Have you come to kill me, you little brats!\That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster? response:	Don't you get what I'm saying?
context: That voice, in the forest. It's her!\This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying? response:	That woman is a monster and a kidnapper!
context: This woman is the spider monster.\I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper! response:	I'm the kidnapper.
context: I knew she was the kidnapper!\Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper. response:	I've helped people escape from here.
context: Get away from her, old man. She'll suck you dry.\We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here. response:	Ohagi didn't do it.
context: We can get food if we beat the monster.\Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it. response:	I don't mind being caught, but please let Ohagi go.
context: Go get her, Hyakkimaru.\Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go. response:	She's sick and weakened.
context: Ohagi, a monster?\Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened. response:	Sick? Why protect a monster!
context: Don't you get what I'm saying?\That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster! response:	So you're the one behind it all. We finally got you.
context: That woman is a monster and a kidnapper!\I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you. response:	We're the ones that found him. We can have that reward, right?
context: I'm the kidnapper.\I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right? response:	Yeah, right. We just said that to lure any squealers.
context: I've helped people escape from here.\Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers. response:	That's too cruel.
context: Ohagi didn't do it.\I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel. response:	That's dirty, you guys are villains!
context: I don't mind being caught, but please let Ohagi go.\She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains! response:	Fine with us.
context: She's sick and weakened.\Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains!\Fine with us. response:	If we lose any more workers and work slows down, our heads will go flying.
context: Sick? Why protect a monster!\So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying. response:	Catch that man!
context: So you're the one behind it all. We finally got you.\We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man! response:	Tastes disgusting.
context: We're the ones that found him. We can have that reward, right?\Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting. response:	Bro...
context: Yeah, right. We just said that to lure any squealers.\That's too cruel.\That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting.\Bro... response:	I see you won't let me go.
context: That's too cruel.\That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting.\Bro...\I see you won't let me go. response:	Don't just stand there. Your job isn't done yet. Which way?
context: That's dirty, you guys are villains!\Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting.\Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way? response:	-That way! -Okay.
context: Fine with us.\If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting.\Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay. response:	Hyakkimaru, stay still for a bit.
context: If we lose any more workers and work slows down, our heads will go flying.\Catch that man!\Tastes disgusting.\Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit. response:	I was wrong about the reward, so what now?
context: Catch that man!\Tastes disgusting.\Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now? response:	I'm with ya!
context: Tastes disgusting.\Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya! response:	What, you're scared? They'll catch up to us if we walk.
context: Bro...\I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk. response:	I'm fine.
context: I see you won't let me go.\Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine. response:	Then here we go.
context: Don't just stand there. Your job isn't done yet. Which way?\-That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go. response:	Ready?
context: -That way! -Okay.\Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go.\Ready? response:	You're all in good health now, it seems.
context: Hyakkimaru, stay still for a bit.\I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go.\Ready?\You're all in good health now, it seems. response:	You won't need me anymore, huh.
context: I was wrong about the reward, so what now?\I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go.\Ready?\You're all in good health now, it seems.\You won't need me anymore, huh. response:	I'm not strong enough to cross the mountain.
context: I'm with ya!\What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go.\Ready?\You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain. response:	I need to suck out 5 or 6 more men's life force.
context: What, you're scared? They'll catch up to us if we walk.\I'm fine.\Then here we go.\Ready?\You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force. response:	Do you kill them?
context: I'm fine.\Then here we go.\Ready?\You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them? response:	Humans are precious prey. I don't take their lives.
context: Then here we go.\Ready?\You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives. response:	If they're alive, their life force revives.
context: Ready?\You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives. response:	Then I suck it out again. Living together is the secret to a long life.
context: You're all in good health now, it seems.\You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life. response:	I see. From now on too, right?
context: You won't need me anymore, huh.\I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right? response:	Yeah.
context: I'm not strong enough to cross the mountain.\I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah. response:	Good.
context: I need to suck out 5 or 6 more men's life force.\Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah.\Good. response:	Hyakkimaru!
context: Do you kill them?\Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah.\Good.\Hyakkimaru! response:	Not even you could climb this.
context: Humans are precious prey. I don't take their lives.\If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah.\Good.\Hyakkimaru!\Not even you could climb this. response:	We'll just have to go after them. Let's go.
context: If they're alive, their life force revives.\Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah.\Good.\Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go. response:	This is the secret passage?
context: Then I suck it out again. Living together is the secret to a long life.\I see. From now on too, right?\Yeah.\Good.\Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage? response:	It's small here, but wider inside.
context: I see. From now on too, right?\Yeah.\Good.\Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside. response:	Hear that water?
context: Yeah.\Good.\Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside.\Hear that water? response:	Follow it and you'll reach the stream on the other side.
