context: I'm Kagome Higurashi, a ninth grader. response:	My family are caretakers of a very old, historic shrine...
context: Huh?\I sorta had an inkling.\Huh?\You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood? response:	Huh?
context: I sorta had an inkling.\Huh?\You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood?\Huh? response:	Err... well...
context: Huh?\You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood?\Huh?\Err... well... response:	Anyway, Sango likes Miroku!
context: You're so dense!\Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood?\Huh?\Err... well...\Anyway, Sango likes Miroku! response:	I wonder about that.
context: Well...\You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood?\Huh?\Err... well...\Anyway, Sango likes Miroku!\I wonder about that. response:	Hey! What're you sighing for?
context: You've seen how Sango gets upset when Miroku strokes her buns.\Listen... Women are creatures that cherish mood.\What's mood?\Huh?\Err... well...\Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for? response:	Nothing.
context: Listen... Women are creatures that cherish mood.\What's mood?\Huh?\Err... well...\Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for?\Nothing. response:	Do you get it? We're going to destroy a demon!
context: What's mood?\Huh?\Err... well...\Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon! response:	I know.
context: Huh?\Err... well...\Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon!\I know. response:	According to the villagers,
context: Err... well...\Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon!\I know.\According to the villagers, response:	long ago, defeated soldiers escaped deep into this mountain.
context: Anyway, Sango likes Miroku!\I wonder about that.\Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon!\I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain. response:	And there was a princess among them.
context: I wonder about that.\Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon!\I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them. response:	But all the men who protected her died.
context: Hey! What're you sighing for?\Nothing.\Do you get it? We're going to destroy a demon!\I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died. response:	And eventually, the princess also died.
context: Nothing.\Do you get it? We're going to destroy a demon!\I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died. response:	Oh?
context: Do you get it? We're going to destroy a demon!\I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died.\Oh? response:	And her bitterness turned her into a demon?
context: I know.\According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon? response:	That's about it.
context: According to the villagers,\long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon?\That's about it. response:	Hmm...
context: long ago, defeated soldiers escaped deep into this mountain.\And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon?\That's about it.\Hmm... response:	I guess that's how women are.
context: And there was a princess among them.\But all the men who protected her died.\And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon?\That's about it.\Hmm...\I guess that's how women are. response:	Huh?
context: But all the men who protected her died.\And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon?\That's about it.\Hmm...\I guess that's how women are.\Huh? response:	Well... women certainly are persistent,
context: And eventually, the princess also died.\Oh?\And her bitterness turned her into a demon?\That's about it.\Hmm...\I guess that's how women are.\Huh?\Well... women certainly are persistent, response:	prone to jealousy and bursts of anger, and hatred... I've known so many like that.
context: Oh?\And her bitterness turned her into a demon?\That's about it.\Hmm...\I guess that's how women are.\Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that. response:	You're so experienced.
context: And her bitterness turned her into a demon?\That's about it.\Hmm...\I guess that's how women are.\Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced. response:	However, even I don't know what kind of demon is created...
context: That's about it.\Hmm...\I guess that's how women are.\Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created... response:	from the bitterness of a princess who dies a lonely death.
context: Hmm...\I guess that's how women are.\Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death. response:	l just have to see with my own eyes.
context: I guess that's how women are.\Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes. response:	Still, why decide to go alone?
context: Huh?\Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone? response:	Well... I have my reasons.
context: Well... women certainly are persistent,\prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons. response:	Can you see it, Sango?
context: prone to jealousy and bursts of anger, and hatred... I've known so many like that.\You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango? response:	Huh?
context: You're so experienced.\However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango?\Huh? response:	It's the entrance to the other side.
context: However, even I don't know what kind of demon is created...\from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango?\Huh?\It's the entrance to the other side. response:	Furthermore, this barrier...
context: from the bitterness of a princess who dies a lonely death.\l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango?\Huh?\It's the entrance to the other side.\Furthermore, this barrier... response:	Here.
context: l just have to see with my own eyes.\Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango?\Huh?\It's the entrance to the other side.\Furthermore, this barrier...\Here. response:	Put it on. It may prove helpful.
context: Still, why decide to go alone?\Well... I have my reasons.\Can you see it, Sango?\Huh?\It's the entrance to the other side.\Furthermore, this barrier...\Here.\Put it on. It may prove helpful. response:	Okay.
context: Well... I have my reasons.\Can you see it, Sango?\Huh?\It's the entrance to the other side.\Furthermore, this barrier...\Here.\Put it on. It may prove helpful.\Okay. response:	Let us go!
context: Can you see it, Sango?\Huh?\It's the entrance to the other side.\Furthermore, this barrier...\Here.\Put it on. It may prove helpful.\Okay.\Let us go! response:	Yes!
context: Huh?\It's the entrance to the other side.\Furthermore, this barrier...\Here.\Put it on. It may prove helpful.\Okay.\Let us go!\Yes! response:	Miroku! Easy to enter? You must've been kidding!
context: It's the entrance to the other side.\Furthermore, this barrier...\Here.\Put it on. It may prove helpful.\Okay.\Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding! response:	Such strong resistance!
context: Furthermore, this barrier...\Here.\Put it on. It may prove helpful.\Okay.\Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance! response:	Miroku!
context: Here.\Put it on. It may prove helpful.\Okay.\Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku! response:	Miroku!
context: Put it on. It may prove helpful.\Okay.\Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku!\Miroku! response:	Sango!
context: Okay.\Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku!\Miroku!\Sango! response:	Where are you, Sango?
context: Let us go!\Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku!\Miroku!\Sango!\Where are you, Sango? response:	We've been separated.
context: Yes!\Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku!\Miroku!\Sango!\Where are you, Sango?\We've been separated. response:	A mansion?
context: Miroku! Easy to enter? You must've been kidding!\Such strong resistance!\Miroku!\Miroku!\Sango!\Where are you, Sango?\We've been separated.\A mansion? response:	Who is there?
context: Such strong resistance!\Miroku!\Miroku!\Sango!\Where are you, Sango?\We've been separated.\A mansion?\Who is there? response:	Why are you here so deep in this mountain?
context: Miroku!\Miroku!\Sango!\Where are you, Sango?\We've been separated.\A mansion?\Who is there?\Why are you here so deep in this mountain? response:	A demon... this girl?
context: Miroku!\Sango!\Where are you, Sango?\We've been separated.\A mansion?\Who is there?\Why are you here so deep in this mountain?\A demon... this girl? response:	Well, whatever the reason, come to the house.
context: Sango!\Where are you, Sango?\We've been separated.\A mansion?\Who is there?\Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house. response:	Miroku! Where are you?!
context: Where are you, Sango?\We've been separated.\A mansion?\Who is there?\Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?! response:	Miroku!
context: We've been separated.\A mansion?\Who is there?\Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku! response:	Demons?!
context: A mansion?\Who is there?\Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku!\Demons?! response:	People...
context: Who is there?\Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku!\Demons?!\People... response:	Old men... all of them!
context: Why are you here so deep in this mountain?\A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku!\Demons?!\People...\Old men... all of them! response:	Umm... Old man...
context: A demon... this girl?\Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku!\Demons?!\People...\Old men... all of them!\Umm... Old man... response:	Ehh?
context: Well, whatever the reason, come to the house.\Miroku! Where are you?!\Miroku!\Demons?!\People...\Old men... all of them!\Umm... Old man...\Ehh? response:	Say, old man!
context: Miroku! Where are you?!\Miroku!\Demons?!\People...\Old men... all of them!\Umm... Old man...\Ehh?\Say, old man! response:	Y-You are old.
context: Miroku!\Demons?!\People...\Old men... all of them!\Umm... Old man...\Ehh?\Say, old man!\Y-You are old. response:	I ain't old!
context: Demons?!\People...\Old men... all of them!\Umm... Old man...\Ehh?\Say, old man!\Y-You are old.\I ain't old! response:	I ain't old either.
context: People...\Old men... all of them!\Umm... Old man...\Ehh?\Say, old man!\Y-You are old.\I ain't old!\I ain't old either. response:	Ain't one either.
context: Old men... all of them!\Umm... Old man...\Ehh?\Say, old man!\Y-You are old.\I ain't old!\I ain't old either.\Ain't one either. response:	I ain't an old man!
context: Umm... Old man...\Ehh?\Say, old man!\Y-You are old.\I ain't old!\I ain't old either.\Ain't one either.\I ain't an old man! response:	Ain't old!
context: Ehh?\Say, old man!\Y-You are old.\I ain't old!\I ain't old either.\Ain't one either.\I ain't an old man!\Ain't old! response:	Ain't an old man!
context: Say, old man!\Y-You are old.\I ain't old!\I ain't old either.\Ain't one either.\I ain't an old man!\Ain't old!\Ain't an old man! response:	You're all not... old?
context: Y-You are old.\I ain't old!\I ain't old either.\Ain't one either.\I ain't an old man!\Ain't old!\Ain't an old man!\You're all not... old? response:	Miroku's the problem.
context: I ain't old!\I ain't old either.\Ain't one either.\I ain't an old man!\Ain't old!\Ain't an old man!\You're all not... old?\Miroku's the problem. response:	I wonder how he feels about Sango?
context: I ain't old either.\Ain't one either.\I ain't an old man!\Ain't old!\Ain't an old man!\You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango? response:	Any woman will do for him.
context: Ain't one either.\I ain't an old man!\Ain't old!\Ain't an old man!\You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him. response:	But I think Sango is a special case.
context: I ain't an old man!\Ain't old!\Ain't an old man!\You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case. response:	Well, he does try to feel up Sango's butt often enough.
context: Ain't old!\Ain't an old man!\You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough. response:	C'mon! I don't mean it like that!
context: Ain't an old man!\You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that! response:	I'm tired of all this talk.
context: You're all not... old?\Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk. response:	Huh? You're the men who disappeared from the village?
context: Miroku's the problem.\I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village? response:	What happened?
context: I wonder how he feels about Sango?\Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened? response:	It was like a dream...
context: Any woman will do for him.\But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened?\It was like a dream... response:	I was lost and in trouble when the most beautiful princess appeared...
context: But I think Sango is a special case.\Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared... response:	She brought me to a magnificent villa and I had such a grand time.
context: Well, he does try to feel up Sango's butt often enough.\C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time. response:	Grand time?
context: C'mon! I don't mean it like that!\I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time? response:	It was grand...
context: I'm tired of all this talk.\Huh? You're the men who disappeared from the village?\What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand... response:	Yeah... It sure was grand.
context: Huh? You're the men who disappeared from the village?\What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand...\Yeah... It sure was grand. response:	Then when we snapped out of it, we were like this.
context: What happened?\It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this. response:	The demon sucked the life spirit, the youth, out of the men.
context: It was like a dream...\I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men. response:	You survived the war?
context: I was lost and in trouble when the most beautiful princess appeared...\She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war? response:	Yes...
context: She brought me to a magnificent villa and I had such a grand time.\Grand time?\It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes... response:	And my vassals have all died.
context: Grand time?\It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes...\And my vassals have all died. response:	I am alone... and very lonely.
context: It was grand...\Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes...\And my vassals have all died.\I am alone... and very lonely. response:	How tragic.
context: Yeah... It sure was grand.\Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes...\And my vassals have all died.\I am alone... and very lonely.\How tragic. response:	Monk...
context: Then when we snapped out of it, we were like this.\The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes...\And my vassals have all died.\I am alone... and very lonely.\How tragic.\Monk... response:	Huh?
context: The demon sucked the life spirit, the youth, out of the men.\You survived the war?\Yes...\And my vassals have all died.\I am alone... and very lonely.\How tragic.\Monk...\Huh? response:	I am unable to leave this place.
context: You survived the war?\Yes...\And my vassals have all died.\I am alone... and very lonely.\How tragic.\Monk...\Huh?\I am unable to leave this place. response:	Will you spend at least the night with me?
context: Yes...\And my vassals have all died.\I am alone... and very lonely.\How tragic.\Monk...\Huh?\I am unable to leave this place.\Will you spend at least the night with me? response:	Is that your wish?
context: And my vassals have all died.\I am alone... and very lonely.\How tragic.\Monk...\Huh?\I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish? response:	Monk... Please look into my eyes.
context: I am alone... and very lonely.\How tragic.\Monk...\Huh?\I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes. response:	Anyway, when the princess gazed at you with those eyes...
context: How tragic.\Monk...\Huh?\I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes... response:	I was mesmerized and nothing mattered anymore.
context: Monk...\Huh?\I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore. response:	Kirara, you stay close to these people.
context: Huh?\I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people. response:	Cripes! That womanizing monk will fall right into her trap!
context: I am unable to leave this place.\Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap! response:	Princess!
context: Will you spend at least the night with me?\Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess! response:	Oh Monk!
context: Is that your wish?\Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk! response:	Miroku!
context: Monk... Please look into my eyes.\Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk!\Miroku! response:	Stay alive until I get there!
context: Anyway, when the princess gazed at you with those eyes...\I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk!\Miroku!\Stay alive until I get there! response:	Miroku!
context: I was mesmerized and nothing mattered anymore.\Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk!\Miroku!\Stay alive until I get there!\Miroku! response:	Why that...!
context: Kirara, you stay close to these people.\Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk!\Miroku!\Stay alive until I get there!\Miroku!\Why that...! response:	Wake up, you lecherous monk!
context: Cripes! That womanizing monk will fall right into her trap!\Princess!\Oh Monk!\Miroku!\Stay alive until I get there!\Miroku!\Why that...!\Wake up, you lecherous monk! response:	A woman's voice?!
context: Princess!\Oh Monk!\Miroku!\Stay alive until I get there!\Miroku!\Why that...!\Wake up, you lecherous monk!\A woman's voice?! response:	Princess!
context: Oh Monk!\Miroku!\Stay alive until I get there!\Miroku!\Why that...!\Wake up, you lecherous monk!\A woman's voice?!\Princess! response:	Damn! Where are you?!
context: Miroku!\Stay alive until I get there!\Miroku!\Why that...!\Wake up, you lecherous monk!\A woman's voice?!\Princess!\Damn! Where are you?! response:	You will not interfere!
context: Stay alive until I get there!\Miroku!\Why that...!\Wake up, you lecherous monk!\A woman's voice?!\Princess!\Damn! Where are you?!\You will not interfere! response:	It cannot see me?
context: Miroku!\Why that...!\Wake up, you lecherous monk!\A woman's voice?!\Princess!\Damn! Where are you?!\You will not interfere!\It cannot see me? response:	All right!
context: Why that...!\Wake up, you lecherous monk!\A woman's voice?!\Princess!\Damn! Where are you?!\You will not interfere!\It cannot see me?\All right! response:	Wait, Sango!
context: Wake up, you lecherous monk!\A woman's voice?!\Princess!\Damn! Where are you?!\You will not interfere!\It cannot see me?\All right!\Wait, Sango! response:	Miroku! Weren't you bewitched?
context: A woman's voice?!\Princess!\Damn! Where are you?!\You will not interfere!\It cannot see me?\All right!\Wait, Sango!\Miroku! Weren't you bewitched? response:	Don't speak! If you remain quiet, it won't know where you are.
context: Princess!\Damn! Where are you?!\You will not interfere!\It cannot see me?\All right!\Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are. response:	I see! It's the power of the beads that Miroku gave me.
context: Damn! Where are you?!\You will not interfere!\It cannot see me?\All right!\Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me. response:	But why isn't he destroying the demon?
context: You will not interfere!\It cannot see me?\All right!\Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon? response:	The true form of the demon is a female coyote.
context: It cannot see me?\All right!\Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote. response:	Become part of my power!
context: All right!\Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power! response:	Miroku!
context: Wait, Sango!\Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power!\Miroku! response:	Stay away!
context: Miroku! Weren't you bewitched?\Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power!\Miroku!\Stay away! response:	I wanted to take care of this quietly, but...
context: Don't speak! If you remain quiet, it won't know where you are.\I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power!\Miroku!\Stay away!\I wanted to take care of this quietly, but... response:	Princess! You'll have to endure a bit of pain.
context: I see! It's the power of the beads that Miroku gave me.\But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power!\Miroku!\Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain. response:	Princess?
context: But why isn't he destroying the demon?\The true form of the demon is a female coyote.\Become part of my power!\Miroku!\Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess? response:	Please bear it!
context: The true form of the demon is a female coyote.\Become part of my power!\Miroku!\Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess?\Please bear it! response:	A princess inside the demon?
context: Become part of my power!\Miroku!\Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess?\Please bear it!\A princess inside the demon? response:	Princess!
context: Miroku!\Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess?\Please bear it!\A princess inside the demon?\Princess! response:	Princess!
context: Stay away!\I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess?\Please bear it!\A princess inside the demon?\Princess!\Princess! response:	Damn monk!
context: I wanted to take care of this quietly, but...\Princess! You'll have to endure a bit of pain.\Princess?\Please bear it!\A princess inside the demon?\Princess!\Princess!\Damn monk! response:	I shall show no mercy now!
context: Princess! You'll have to endure a bit of pain.\Princess?\Please bear it!\A princess inside the demon?\Princess!\Princess!\Damn monk!\I shall show no mercy now! response:	Princess!
context: Princess?\Please bear it!\A princess inside the demon?\Princess!\Princess!\Damn monk!\I shall show no mercy now!\Princess! response:	Give back the princess!
context: Please bear it!\A princess inside the demon?\Princess!\Princess!\Damn monk!\I shall show no mercy now!\Princess!\Give back the princess! response:	Sango!
context: A princess inside the demon?\Princess!\Princess!\Damn monk!\I shall show no mercy now!\Princess!\Give back the princess!\Sango! response:	Okay!
context: Princess!\Princess!\Damn monk!\I shall show no mercy now!\Princess!\Give back the princess!\Sango!\Okay! response:	Hiraikotsu!
context: Princess!\Damn monk!\I shall show no mercy now!\Princess!\Give back the princess!\Sango!\Okay!\Hiraikotsu! response:	Why you!
context: Damn monk!\I shall show no mercy now!\Princess!\Give back the princess!\Sango!\Okay!\Hiraikotsu!\Why you! response:	Where are you?!
context: I shall show no mercy now!\Princess!\Give back the princess!\Sango!\Okay!\Hiraikotsu!\Why you!\Where are you?! response:	Where?!
context: Princess!\Give back the princess!\Sango!\Okay!\Hiraikotsu!\Why you!\Where are you?!\Where?! response:	There you are!
context: Give back the princess!\Sango!\Okay!\Hiraikotsu!\Why you!\Where are you?!\Where?!\There you are! response:	My power...
context: Sango!\Okay!\Hiraikotsu!\Why you!\Where are you?!\Where?!\There you are!\My power... response:	The demon power l gathered...
context: Okay!\Hiraikotsu!\Why you!\Where are you?!\Where?!\There you are!\My power...\The demon power l gathered... response:	Miroku... What's the meaning of this?
context: Hiraikotsu!\Why you!\Where are you?!\Where?!\There you are!\My power...\The demon power l gathered...\Miroku... What's the meaning of this? response:	I was very rough.
context: Why you!\Where are you?!\Where?!\There you are!\My power...\The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough. response:	Monk...
context: Where are you?!\Where?!\There you are!\My power...\The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough.\Monk... response:	You were alone for so long. It must've been lonely.
context: Where?!\There you are!\My power...\The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough.\Monk...\You were alone for so long. It must've been lonely. response:	Yes, because I was so weak-hearted, I fell victim to a demon.
context: There you are!\My power...\The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough.\Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon. response:	You'll be all right now. I'll take you to the village.
context: My power...\The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough.\Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village. response:	Thank you very much.
