context: I had no idea that obnoxious guy was Tuxedo Mask. response:	And finally, Zoisite and Tuxedo Mask face off!
context: No! What is this?!\I can't believe this!\You idiot! Why did you follow me?!\Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too. response:	Even the communication device isn't getting through!
context: I can't believe this!\You idiot! Why did you follow me?!\Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through! response:	Something's definitely wrong!
context: You idiot! Why did you follow me?!\Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong! response:	I have a bad feeling about this.
context: Because!\Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this. response:	Anyway, we have to find Usagi!
context: Hikawa Shrine\This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi! response:	She's at Star Light Tower!
context: This is too late, even for slowpoke Usagi.\They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower! response:	What?
context: They said she hasn't been home either.\And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower!\What? response:	Who are you?
context: And she wasn't at school, too.\Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower!\What?\Who are you? response:	Did you forgot about us already?
context: Even the communication device isn't getting through!\Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower!\What?\Who are you?\Did you forgot about us already? response:	Artemis! Then, you're Sailor Venus?
context: Something's definitely wrong!\I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower!\What?\Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus? response:	Normally, I go by Minako Aino.
context: I have a bad feeling about this.\Anyway, we have to find Usagi!\She's at Star Light Tower!\What?\Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino. response:	I'm in the 8th grade just like all of you.
context: Anyway, we have to find Usagi!\She's at Star Light Tower!\What?\Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you. response:	According to our investigation,
context: She's at Star Light Tower!\What?\Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation, response:	the enemy seems to be up to something at Star Light Tower.
context: What?\Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower. response:	If you cannot use the communication devices, that must be it!
context: Who are you?\Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it! response:	I bet Usagi just decided to go there by herself!
context: Did you forgot about us already?\Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself! response:	If Usagi were that kind of girl, I wouldn't have any problems.
context: Artemis! Then, you're Sailor Venus?\Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems. response:	Anyway, let's hurry to Star Light Tower!
context: Normally, I go by Minako Aino.\I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower! response:	Okay!
context: I'm in the 8th grade just like all of you.\According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay! response:	I will leave our rainbow crystals here.
context: According to our investigation,\the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here. response:	Now, hurry up and take yours out, too.
context: the enemy seems to be up to something at Star Light Tower.\If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too. response:	Before that, please let this girl go.
context: If you cannot use the communication devices, that must be it!\I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go. response:	After you take out your rainbow crystals.
context: I bet Usagi just decided to go there by herself!\If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals. response:	All right.
context: If Usagi were that kind of girl, I wouldn't have any problems.\Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals.\All right. response:	What is so funny?!
context: Anyway, let's hurry to Star Light Tower!\Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals.\All right.\What is so funny?! response:	No, I'm just happy because you're so dumb.
context: Okay!\I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals.\All right.\What is so funny?!\No, I'm just happy because you're so dumb. response:	Shoot!
context: I will leave our rainbow crystals here.\Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals.\All right.\What is so funny?!\No, I'm just happy because you're so dumb.\Shoot! response:	These rainbow crystals are mine now.
context: Now, hurry up and take yours out, too.\Before that, please let this girl go.\After you take out your rainbow crystals.\All right.\What is so funny?!\No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now. response:	That's playing dirty!
context: Before that, please let this girl go.\After you take out your rainbow crystals.\All right.\What is so funny?!\No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now.\That's playing dirty! response:	Ah-ah. If you move now, that girl will be burned to a crisp.
context: After you take out your rainbow crystals.\All right.\What is so funny?!\No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp. response:	Zoisite, take care of the rest.
context: All right.\What is so funny?!\No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest. response:	Yes.
context: What is so funny?!\No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes. response:	Damn! Yes.
context: No, I'm just happy because you're so dumb.\Shoot!\These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes.\Damn! Yes. response:	Damn!
context: Shoot!\These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes.\Damn! Yes.\Damn! response:	Zoisite... Why are he and Zoisite...
context: These rainbow crystals are mine now.\That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes.\Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite... response:	You scum! How dare you leave a scar on my face?!
context: That's playing dirty!\Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes.\Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?! response:	Just you remember this!
context: Ah-ah. If you move now, that girl will be burned to a crisp.\Zoisite, take care of the rest.\Yes.\Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this! response:	Mamoru Chiba, if you want the rainbow crystals back,
context: Zoisite, take care of the rest.\Yes.\Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back, response:	come to the observation deck at the top of the building!
context: Yes.\Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building! response:	Rainbow crystals? How does he know about the rainbow crystals?
context: Damn! Yes.\Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals? response:	Now, please enjoy your fill of terror.
context: Damn!\Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror. response:	Watch out!
context: Zoisite... Why are he and Zoisite...\You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out! response:	Run!
context: You scum! How dare you leave a scar on my face?!\Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out!\Run! response:	The injury on his shoulder...
context: Just you remember this!\Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out!\Run!\The injury on his shoulder... response:	Yesterday, Tuxedo Mask was also injured in the shoulder.
context: Mamoru Chiba, if you want the rainbow crystals back,\come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out!\Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder. response:	He couldn't be, right?
context: come to the observation deck at the top of the building!\Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out!\Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right? response:	Oh! I hate this!
context: Rainbow crystals? How does he know about the rainbow crystals?\Now, please enjoy your fill of terror.\Watch out!\Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this! response:	Make it to the elevator!
context: Now, please enjoy your fill of terror.\Watch out!\Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this!\Make it to the elevator! response:	Open, quick! Come on!
context: Watch out!\Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this!\Make it to the elevator!\Open, quick! Come on! response:	We're saved.
context: Run!\The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this!\Make it to the elevator!\Open, quick! Come on!\We're saved. response:	Not really.
context: The injury on his shoulder...\Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this!\Make it to the elevator!\Open, quick! Come on!\We're saved.\Not really. response:	Oh, no! What is this?!
context: Yesterday, Tuxedo Mask was also injured in the shoulder.\He couldn't be, right?\Oh! I hate this!\Make it to the elevator!\Open, quick! Come on!\We're saved.\Not really.\Oh, no! What is this?! response:	It seems like we're trapped.
context: He couldn't be, right?\Oh! I hate this!\Make it to the elevator!\Open, quick! Come on!\We're saved.\Not really.\Oh, no! What is this?!\It seems like we're trapped. response:	So, this is the Star Light Tower.
context: Oh! I hate this!\Make it to the elevator!\Open, quick! Come on!\We're saved.\Not really.\Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower. response:	It looks like just another building.
context: Make it to the elevator!\Open, quick! Come on!\We're saved.\Not really.\Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building. response:	Usagi and Mamoru are in the elevator.
context: Open, quick! Come on!\We're saved.\Not really.\Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator. response:	What?!
context: We're saved.\Not really.\Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator.\What?! response:	What do you mean?! What?!
context: Not really.\Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?! response:	What do you mean?!
context: Oh, no! What is this?!\It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?!\What do you mean?! response:	All the doors are closed!
context: It seems like we're trapped.\So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?!\What do you mean?!\All the doors are closed! response:	Meaning we can't get inside?
context: So, this is the Star Light Tower.\It looks like just another building.\Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?!\What do you mean?!\All the doors are closed!\Meaning we can't get inside? response:	This isn't good.
context: It looks like just another building.\Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?!\What do you mean?!\All the doors are closed!\Meaning we can't get inside?\This isn't good. response:	My guardian, Jupiter!
context: Usagi and Mamoru are in the elevator.\What?!\What do you mean?! What?!\What do you mean?!\All the doors are closed!\Meaning we can't get inside?\This isn't good.\My guardian, Jupiter! response:	Brew a storm! Call the cloud! Bring down the lightning!
context: What?!\What do you mean?! What?!\What do you mean?!\All the doors are closed!\Meaning we can't get inside?\This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning! response:	Supreme Thunder!
context: What do you mean?! What?!\What do you mean?!\All the doors are closed!\Meaning we can't get inside?\This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder! response:	We'll just have to force our way in! Let's go!
context: What do you mean?!\All the doors are closed!\Meaning we can't get inside?\This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go! response:	Right!
context: All the doors are closed!\Meaning we can't get inside?\This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go!\Right! response:	What a bunch of pests!
context: Meaning we can't get inside?\This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go!\Right!\What a bunch of pests! response:	We have gotten a hold of the rainbow crystals,
context: This isn't good.\My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go!\Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals, response:	and Mamoru Chiba is as good as ours.
context: My guardian, Jupiter!\Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go!\Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours. response:	If I could finish off the sailor warriors on top of that...
context: Brew a storm! Call the cloud! Bring down the lightning!\Supreme Thunder!\We'll just have to force our way in! Let's go!\Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that... response:	Go pay them back for what he did to your face.
context: Supreme Thunder!\We'll just have to force our way in! Let's go!\Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face. response:	This elevator is taking so long. It just keeps going up.
context: We'll just have to force our way in! Let's go!\Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up. response:	Hey, why were you talking about the rainbow crystals?
context: Right!\What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals? response:	Oh, sorry. If you don't want to talk about it, that's all right, too.
context: What a bunch of pests!\We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too. response:	I just wanted to recall my past.
context: We have gotten a hold of the rainbow crystals,\and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past. response:	Because, in order to get my memories back,
context: and Mamoru Chiba is as good as ours.\If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back, response:	I have to collect the rainbow crystals,
context: If I could finish off the sailor warriors on top of that...\Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals, response:	and get a hold of the legendary Silver Crystal.
context: Go pay them back for what he did to your face.\This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal. response:	He even knows about the Silver Crystal.
context: This elevator is taking so long. It just keeps going up.\Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal. response:	My parents were killed in a car accident when I was six.
context: Hey, why were you talking about the rainbow crystals?\Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six. response:	I'm sorry, but it was too late for the couple.
context: Oh, sorry. If you don't want to talk about it, that's all right, too.\I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple. response:	But their only son, Mamoru, has miraculously survived.
context: I just wanted to recall my past.\Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived. response:	Who am I?
context: Because, in order to get my memories back,\I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I? response:	I don't know. Who... am I?
context: I have to collect the rainbow crystals,\and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I? response:	Ever since then, I have not been able to remember anything.
context: and get a hold of the legendary Silver Crystal.\He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything. response:	Since then, I started seeing the same dream over and over again.
context: He even knows about the Silver Crystal.\My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again. response:	The Silver Crystal... Please, the legendary Silver Crystal...
context: My parents were killed in a car accident when I was six.\I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal... response:	I want to get a hold of the Silver Crystal,
context: I'm sorry, but it was too late for the couple.\But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal, response:	and get my past back.
context: But their only son, Mamoru, has miraculously survived.\Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back. response:	Why did I just tell you all that?
context: Who am I?\I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that? response:	I thought you were the most obnoxious guy in the world,
context: I don't know. Who... am I?\Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world, response:	but now, I'll move you up to second place.
context: Ever since then, I have not been able to remember anything.\Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place. response:	Thanks.
context: Since then, I started seeing the same dream over and over again.\The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks. response:	Tuxedo Mask?
context: The Silver Crystal... Please, the legendary Silver Crystal...\I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks.\Tuxedo Mask? response:	No, that can't be! Right! There's just no way!
context: I want to get a hold of the Silver Crystal,\and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way! response:	Sailor warriors,
context: and get my past back.\Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors, response:	this is a worthy place for you to die!
context: Why did I just tell you all that?\I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die! response:	What's going on?
context: I thought you were the most obnoxious guy in the world,\but now, I'll move you up to second place.\Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die!\What's going on? response:	Sailor Venus!
context: but now, I'll move you up to second place.\Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die!\What's going on?\Sailor Venus! response:	Power outage?
context: Thanks.\Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die!\What's going on?\Sailor Venus!\Power outage? response:	Farewell.
context: Tuxedo Mask?\No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die!\What's going on?\Sailor Venus!\Power outage?\Farewell. response:	What is it?!
context: No, that can't be! Right! There's just no way!\Sailor warriors,\this is a worthy place for you to die!\What's going on?\Sailor Venus!\Power outage?\Farewell.\What is it?! response:	What should I do? If I transform into Sailor Moon, he'll know who I am.
context: Sailor warriors,\this is a worthy place for you to die!\What's going on?\Sailor Venus!\Power outage?\Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am. response:	But if I stay like this, we'll both die!
context: this is a worthy place for you to die!\What's going on?\Sailor Venus!\Power outage?\Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die! response:	Moon Prism Power Makeup!
context: What's going on?\Sailor Venus!\Power outage?\Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup! response:	What?!
context: Sailor Venus!\Power outage?\Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?! response:	Sailor Moon?
context: Power outage?\Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?!\Sailor Moon? response:	I must report to Queen Beryl
context: Farewell.\What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?!\Sailor Moon?\I must report to Queen Beryl response:	that Mamoru Chiba was killed in an accident.
context: What is it?!\What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?!\Sailor Moon?\I must report to Queen Beryl\that Mamoru Chiba was killed in an accident. response:	What accident?!
context: What should I do? If I transform into Sailor Moon, he'll know who I am.\But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?!\Sailor Moon?\I must report to Queen Beryl\that Mamoru Chiba was killed in an accident.\What accident?! response:	What?!
context: But if I stay like this, we'll both die!\Moon Prism Power Makeup!\What?!\Sailor Moon?\I must report to Queen Beryl\that Mamoru Chiba was killed in an accident.\What accident?!\What?! response:	For misleading everyone with your cowardly tricks,
context: Moon Prism Power Makeup!\What?!\Sailor Moon?\I must report to Queen Beryl\that Mamoru Chiba was killed in an accident.\What accident?!\What?!\For misleading everyone with your cowardly tricks, response:	and for picking on us, I'm going to make sure you pay!
